# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;සිනහ මුහුණ;මුහුණ|සිනහ මුහුණ|සිනහව
😃;කට ඇරුණ සිනාසෙන මුහුණ;කට|කට ඇරුණ සිනාසෙන මුහුණ|මුහුණ|විවෘත|සිනහව
😄;කට ඇරුණ සිනාාසෙන ඇස් සහිත සිනහ මුහුණ;ඇස|කට|කට ඇරුණ සිනාාසෙන ඇස් සහිත සිනහ මුහුණ|මුහුණ|විවෘත|සිනහව
😁;සිනාසෙන ඇස් සහිත දත් විරිතත්න මුහුණ;ඇස|මුහුණ|සිනහව|සිනාසෙන ඇස් සහිත දත් විරිතත්න මුහුණ
😆;කට ඇරුණ ඇස් තදින් වසා ගත් සිනහ මුහුණ;කට|කට ඇරුණ ඇස් තදින් වසා ගත් සිනහ|කට ඇරුණ ඇස් තදින් වසා ගත් සිනහ මුහුණ|තෘප්තිමත්|මුහුණ|විවෘත|සිනහව
😅;කට ඇරුණ දහඩිය දමන සිනහ මුහුණ;කට ඇරුණ දහඩිය දමන සිනහ මුහුණ|දහඩිය|මුහුණ|විවෘත|සිනහව|සීතල
🤣;බිම පෙරළීමෙන් සිනාසීම;පෙරළීම|බිම|බිම පෙරළීමෙන් සිනාසීම|මුහුණ|සිනාසෙනවා
😂;සතුටු කඳුළු සහිත මුහුණ;කඳුළු|මුහුණ|සතුට|සතුටු කඳුළු සහිත මුහුණ|සිනහව
🙂;යන්තම් සිනාවෙන මුහුණ;මුහුණ|යන්තම් සිනාවෙන මුහුණ|සිනහව
🙃;යටිකුරු වූ මුහුණ;උඩු යටිකුරු|මුහුණ|යටිකුරු වූ මුහුණ
🫠;දිය වෙන මුහුණ;අතුරුදහන් වීම|දිය කිරීම|දිය වීම|දිය වෙන මුහුණ|දියර
😉;ඇස් ගසන මුහුණ;ඇස් ගසන මුහුණ|ඇස් ගැසීම|මුහුණ
😊;සිනාසෙන ඇස් සහිිත සිනහ මුහුණ;ඇස|මුහුණ|රතු වීම|සිනහව|සිනාසෙන ඇස් සහිිත සිනහ මුහුණ
😇;රැස් වළල්ල සහිත සිනහ මුහුණ;අහිංසක|රැස් වළල්ල සහිත සිනහ මුහුණ|සුරංගනා කථාව|සුරංගනාවිය|හලෝ
🥰;හදවත් 3ක් සහිත සිනාසී සිටින මුහුණක්;ආදරයෙන් සිටින|කැමති|ගෞරව කරනවා|හදවත් 3ක් සහිත සිනාසී සිටින මුහුණක්
😍;හදවතක හැඩය ගත් ඇස් සහිත සිනහ මුහුණ;ආදරය|ඇස|මුහුණ|සිනහව|හදවත|හදවතක හැඩය ගත් ඇස් සහිත සිනහ මුහුණ
🤩;ඇස් වල තරු ඇති සිනාවෙන මුහුණ;ඇස්|ඇස් වල තරු ඇති සිනාවෙන මුහුණ|තරුව|මුහුණ|සිනාවෙමින්
😘;සිප ගැනීමක් ලබා දෙන මුහුණ;මුහුණ|සිප ගැනීමක් ලබා දෙන මුහුණ|හදවත|හාදුව
😗;සිඹින මුහුණ;මුහුණ|සිඹින මුහුණ|හාදුව
☺️;සිනහ මුුහුණ;කැපී පෙනෙන|මුහුණ|සන්සුන්|සිනහ මුුහුණ|සිනහව
😚;වැසුණු ඇස් සහිත සිඹින මුහුණ;ඇස|මුහුණ|වැසුණු|වැසුණු ඇස් සහිත සිඹින මුහුණ|හාදුව
😙;සිනාසෙන ඇසි සහිත සිඹින මුහුණ;ඇස|මුහුණ|සිනහව|සිනාසෙන ඇසි සහිත සිඹින මුහුණ|හාදුව
🥲;කඳුළු වලින් සිනහ මුසු මුහුණ;ආඩම්බර|කඳුළු|කඳුළු වලින් සිනහ මුසු මුහුණ|ප්‍රසන්න|සහන|සිනාසෙමින්|ස්පර්ශ කළා
😋;රස ආහාරවලින් පිනා යන මුහුණ;මුහුණ|යම්|රස|රස ආහාරවලින් පිනා යන|රස ආහාරවලින් පිනා යන මුහුණ|රසවත්|සිනහව
😛;දිව එළියට දැමූ මුහුණ;දිව|දිව එළියට දැමූ මුහුණ|මුහුණ
😜;දිිව එළියට දැමූ සහ ඇස් ගසන මුහුණ;ඇස් ගැසීම|දිව|දිව එළියට දැමූ සහ ඇස් ගසන මුහුණ|දිිව එළියට දැමූ සහ ඇස් ගසන මුහුණ|මුහුණ|විහිළු
🤪;පිස්සු මුහුණ;ඇස|පිස්සු මුහුණ|පොඩි|ලොකු
😝;දිව එළියට දැමූ සහ තදින් වැසුණ ඇස් සහිත මුහුණ;ඇස|දිව|දිව එළියට දැමූ සහ තදින් වැසුණ ඇස් සහිත මුහුණ|දිව එළිියට දැමූ සහ තදින් වැසුණ ඇස් සහිත මුහුණ|පිළිකුල්|මුහුණ|රසය
🤑;කටේ මුදල් රුවා ගත් මුහුණ;කට|කටේ මුදල් රුවා ගත් මුහුණ|මුහුණ|සල්ලි
🤗;වැළඳ ගන්නා මුහුණ;මුහුණ|වැළඳ ගන්නවා|වැළඳ ගන්නා මුහුණ|වැළඳ ගැනීම
🤭;අතින් කට වැසුණු මුහුණ;අතින් කට වැසුණු මුහුණ|හපොයි
🫢;විවෘත ඇස් ඇති සහ අතින් කට වසා ගත් මුහුණ;අවිශ්වාසය|පුදුමය|බය|ලැජ්ජාව|විවෘත ඇස් ඇති සහ අතින් කට වසා ගත් මුහුණ|විස්මය|විස්මයන්
🫣;හොරෙන් බලන ඇස් සමඟ මුහුණ;ආකර්ශනීය|එබිකම් කරනවා ​|බලාගෙන ඉන්න|හොරෙන් බලන ඇස් සමඟ මුහුණ
🤫;නිශ්ශබ්ද කිරීමේ මුහුණ;නිශ්ශබ්ද|නිශ්ශබ්ද කිරීමේ මුහුණ|නිශ්ශබ්ද වන්න
🤔;කල්පනා කරන මුහුණ;කල්පනා කරන මුහුණ|මුහුණ|සිතීම
🫡;ආචාර කරන මුහුණ;අව්ව|ආචාර කරන මුහුණ|ආචාර කරන්න|ඔව්|හමුදා|හරි
🤐;කටට සිප් එකක් දැමූ මුහුණ;කට|කටට සිප් එකක් දැමූ මුහුණ|මුහුණ|සිප්
🤨;ඉහළ ගිය ඇහි බැමි ඇති මුහුණ;අවිශ්වාසය|ඉහළ ගිය ඇහි බැමි ඇති මුහුණ|සංශයවාදයකි
😐;උදාසීන මුහුණ;උදාසීන|මුහුණ|හැඟීම් රහිත
😑;හැඟීමක් පළ නොකරන මුහුණ;භාව ප්‍රකාශන රහිත|මුහුණ|හැඟීමක් පළ නොකරන මුහුණ|හැඟීම් නැති|හැඟීම් රහිත
😶;කටක් රහිත මුහුණ;කට|කටක් රහිත මුහුණ|නිශ්ශබ්ද|නිහඬ|මුහුණ
🫥;තිත් රේඛා මුහුණ;අතුරුදහන්|අදෘශ්‍යමාන|තිත් රේඛා මුහුණ|මානසික ආතතිය|සඟවන්න
😶‍🌫️;වලාකුළුවල මුහුණ;මීදුමෙහි මුහුණ|වලාකුළුවල මුහුණ|වලාකුළුවල හිස|සිහි කල්පනාව අඩු
😏;නියවන මුහුණ;නියවන මුහුණ|නියවීම|මුහුණ
😒;විනෝදයක් නැති මුහුණ;අසතුටු|මුහුණ|විනෝදයක් නැති|විනෝදයක් නැති මුහුණ
🙄;කරකවන ඇස් ඇති මුහුණ;ඇස්|කරකවන ඇස් ඇති මුහුණ|කරකැවීම|මුහුණ
😬;පුලුටු කර ගත් මුහුණ;පුලුටු කර ගත් මුහුණ|පුලුටු කරගත්|මුහුණ
😮‍💨;හුස්ම හෙළන මුහුණ;අමාරුවෙන් හුස්ම ගැනීම|කෙඳිරිය|කෙඳිරීම|පිඹීම|සහනය|හුස්ම හෙළන මුහුණ|හුස්ම හෙළීම
🤥;බොරුකියන මුහුණ;පිනොකියෝ|බොරුකියන මුහුණ|බොරුව|මුහුණ
🫨;වෙව්ලන මුහුණ;කම්පනය|භූමිකම්පාව|මුහුණ|වෙව්ලන මුහුණ|සෙලවීම
🙂‍↔️;හිස තිරස් අතට සෙලවීම;නැහැ|සොලවන්න|හිස තිරස් අතට සෙලවීම
🙂‍↕️;හිස සිරස් අතට සෙලවීම;ඔව්|හිස වැනුවා|හිස සිරස් අතට සෙලවීම
😌;සැනසුමක් ලත් මුහුණ;මුහුණ|සැනසුමක් ලත්|සැනසුමක් ලත් මුහුණ
😔;කල්පනාවෙහි ගැලුණ මුහුණ;අධෛර්යය|කල්පනාකාරී|කල්පනාවෙහි ගැලුණ මුහුණ|මුහුණ
😪;නිදිබර මුහුණ;නිදිබර මුහුණ|නින්ද|මුහුණ
🤤;කෙළ බේරෙන මුහුණ;කෙළ බේරෙන|කෙළ බේරෙන මුහුණ|මුහුණ
😴;නිදින මුහුණ;නිදින මුහුණ|නින්ද|මුහුණ|ස්ස්ස්
😷;මුකවාඩමක් සහිත මුහුණ;මුකවාඩම|මුකවාඩමක් සහිත මුහුණ|මුහුණ|රෝගී|වෛද්‍යවරයා|සීතල
🤒;උණකටුවක් රඳවා ගත් මුහුණ;අසනීප|උණ කටුව|උණකටුවක් රඳවා ගත් මුහුණ|මුහුණ|ලෙඩ
🤕;හිසට බැන්ඩේජ් දැමූ මුහුණ;තුවාලය|බැන්ඩේජ්|මුහුණ|රිදීම|හිසට බැන්ඩේජ් දැමූ මුහුණ
🤢;පිළිකුල් වූ මුහුණ;පිළිකුල් වූ|පිළිකුල් වූ මුහුණ|මුහුණ|වමනය
🤮;වමනය යන මුහුණ;අසනීපයි|වමනය|වමනය යන මුහුණ
🤧;කිඹුහුම් යවන මුහුණ;කිඹුහුම|කිඹුහුම් යවන මුහුණ|මුහුණ
🥵;රත් වූ මුහුණ;ඇවිස්සුණු|උණුසුම්|දාඩිය දැමීමි|රතු වූ මුහුණ|රත් වූ පහර|රත් වූ මුහුණ
🥶;සීතල මුහුණ;අයිස් කූරු|ඉතා ශ්‍රීතල|නිල් මුහුණැති|සීතල මුහුණ|සීතලයි|හමේ ඇතිවන තුවාල
🥴;දුක්ඛිත මුහුණ;අසමාන ඇස්|ඉස කරකැවිල්ල|දුක්ඛිත මුහුණ|මත් වූ|රැලි සහිත කට|වෙරි වූ
😵;නිදිමත ගතියක් ඇති මුහුණ;නිදිමත ගතියක් ඇති|නිදිමත ගතියක් ඇති මුහුණ|මුහුණ
😵‍💫;සර්පිලාකාර ඇස් ඇති මුහුණ;ආ|කරකැවිල්ල|කරදරය|මෝහනය|සර්පිලාකාර|සර්පිලාකාර ඇස් ඇති මුහුණ
🤯;පිපිරෙන හිස;කම්පාවට පත් වූ මුහුණ|පිපිරෙන හිස
🤠;ගොප තොප්පි මුහුණ;ගොප තොප්පි මුහුණ|ගොපලු කෙල්ල|ගොපලු තොප්පිය|ගොපල්ලා|තොප්පිය|මුහුණ
🥳;උත්සව මුහුණ;උත්සව මුහුණ|උත්සවය|තොපිය|නලාව|සැමරීම
🥸;වෙස්වලාගත් මුහුණ;කණ්නාඩි|නාසය|නොපැහැදිලි|මුහුණ|වෙස්වලාගත් මුහුණ|වෙස්වළාගෙන
😎;අව් කණ්ණාඩි පැළඳි සිනහ මුහුණ;අව් කණ්ණාඩි|අව් කණ්ණාඩි පැළඳි සිනහ මුහුණ|කණ්ණාඩි|දීප්තිමත්|මුහුණ|සන්සුන්|සූර්යයා
🤓;මෝඩ මුහුණ;මුහුණ|මොට්ට|මෝඩ
🧐;තනි කාචයක් සහිත මුහුණ;කේන්ති ගිය|තනි කාචයක් සහිත මුහුණ
😕;ව්‍යාකූල වූ මුහුණ;මුහුණ|ව්‍යාකූල|ව්‍යාකූල වූ මුහුණ
🫤;ඇල වූ කටක් ඇති මුහුණ;ඇල වූ කටක් ඇති මුහුණ|බලාපොරොත්තු සුන් වූ|විශ්වාස නෑ|සැක සහිත
😟;කනගාටුවට පත් මුහුණ;කනගාටුවට පත්|කනගාටුවට පත් මුහුණ|මුහුණ
🙁;මදක් රවන මුහුණ;මදක් රවන මුහුණ|මුහුණ|රැවීම
☹️;රවන මුහුණ;මුහුණ|රවන මුහුණ|රැවීම
😮;කට ඇරුණ මුහුණ;කට|කට ඇරුණ මුහුණ|දුක|මුහුණ|විවෘත
😯;නිශ්ශබ්ද මුහුණ;නිශ්ශබ්ද|නිහඩ|පුදුම|මුහුණ
😲;විස්මයට පත් මුහුණ;පුදුම|මුහුණ|විස්මයට පත්|විස්මයට පත් මුහුණ|සම්පූර්ණයෙන්
😳;රතු වූ මුහුණ;මුහුණ|රතු වූ|රතු වූ මුහුණ|ලැජ්ජාව
🥺;කණගාටුයි මුහුණ;අනුකම්පාව|කණගාටුයි මුහුණ|බලු පැටවූ ඇස්|සිඟාකෑම
🥹;කඳුළු සඟවාගෙන සිටින මුහුණ;අඬනවා|ආඩම්බර|කඳුළු සඟවාගෙන සිටින මුහුණ|තරහ|දුක|ප්‍රතිරෝධ
😦;කට ඇරුණ රවන මුහුණ;කට|කට ඇරුණ රවන මුහුණ|මුහුණ|රැවීම|විවෘත
😧;වේදනාවට පත් වූ මුහුණ;මුහුණ|වේදනාව|වේදනාවට පත් වූ මුහුණ
😨;බියට පත් වූ මුහුණ;බය|බිය|බියජනක|බියට පත් වූ මුහුණ|මුහුණ
😰;කට ඇරුණු දහඩිය දමන මුහුණ;ඇරුණු දහඩිය දමන මුහුණ|කට ඇරුණු දහඩිය දමන මුහුණ|දහඩිය|නිල්|මුහුණ|සීතල
😥;බලාපොරොත්තු සුන්වූ නමුත් සැනසුමක් ලත් මුහුණ;බලාපොරොත්තු සුන්වූ|බලාපොරොත්තු සුන්වූ නමුත් සැනසුමක් ලත් මුහුණ|මුහුණ|විව්|සැනසුමක් ලත්
😢;අඬන මුහුණ;අඬන මුහුණ|ඇඬීම|කඳුළු|දුක|මුහුණ
😭;හයියෙන් අඩන මුහුණ;ඇඬීම|කඳුළු|දුක|මුහුණ|හයියෙන් අඩන මුහුණ
😱;බියෙන් කෑගසන මුහුණ;බිය|බියජනක|බියෙන් කෑගසන|බියෙන් කෑගසන මුහුණ|මුහුණ
😖;අවුල් සහගත වූ මුහුණ;අවුල් සහගත|අවුල් සහගත වූ මුහුණ|මුහුණ
😣;උත්සාහවන්ත මුහුණ;උත්සාහය|උත්සාහවන්ත මුහුණ|මුහුණ
😞;බලාපොරොත්තු සුන් වූ මුහුණ;බලාපොරොත්තු සුන් වූ මුහුණ|බලාපොරොත්තු සුුන්වූ|බලාාපොරොත්තු සුන් වූ මුහුණ|මුහුණ
😓;දහඩිය දමා ගත් මුහුණ;දහඩිය|දහඩිය දමා ගත් මුහුණ|මුුහුණ|සීතල
😩;වෙහෙසට පත් වූ මුහුණ;මහන්සිය|මුහුණ|වෙහෙස|වෙහෙසට පත් වූ මුහුණ
😫;විඩාබර මුහුණ;මහුණ|විඩාබර මුහුණ|වෙහෙසකර
🥱;ඈනුම් අරින මුහුණ;ඈනුම් අරින|ඈනුම් අරින මුහුණ|කම්මැලි|වෙහෙසුණු
😤;නහයෙන් හුමාලය එන මුහුණ;ජයග්‍රහණය|දිනුම|නහයෙන් හුමාලය එන මුහුණ|මුහුණ
😡;අමනාපයෙන් යුතු මුහුණ;අමනාපය|අමනාපයෙන් යුතු මුහුණ|තරහව|පළිගැනීම|මුහුණ|රතු
😠;කේන්තියෙන් යුතු මුහුණ;කේන්තියෙන් යුතු මුහුණ|තරහව|මුහුණ|මෝඩ
🤬;කටේ ලකුණු ඇති මුහුණ;කටේ ලකුණු ඇති මුහුණ|දිව්රුම් දීම
😈;අං සහිත සිනහ මුහුණ;අං|අං සහිත සිනහ මුහුණ|මායාව|මුහුණ|සිනහව|සුරංගනා කථාව
👿;මිත්‍යා කථාවල එන සත්ත්වයා;මායාව|මිත්‍යා කථාවල එන සත්ත්වයා|මුහුණ|යකා|යක්ෂයා|සුරංගනාව
💀;මිනී ඔළුව;මරණය|මිනී ඔළුව|මුහුණ|යක්ෂයා|ශරීරය|සුරංගනා කථාව
☠️;මිනී ඔළුව සහ හරස් ඇටකටු;මරණය|මිනී ඔළුව|මිනී ඔළුව සහ හරස් ඇටකටු|මුහුණ|යක්ෂයා|ශරීරය|හරස් ඇටකටු
💩;අසූචි ගොඩ;අසූචි|අසූචි ගොඩ|කසල|ගොම|මුහුණ
🤡;විකටය මුහුණ;මුහුණ|විකටය මුහුණ|විකටයා
👹;මිනී කන යක්ෂයා;ජපන්|මායාව|මිනී කන යක්ෂයා|මුහුණ|යක්ෂයා|සතා|සුරංගනා කථාව
👺;ගොබ්ලින් යක්ෂයා;ගොබ්ලින් යක්ෂයා|ජපන්|මායාව|මුහුණ|යක්ෂයා|සතා|සුරංගනා කථාව
👻;හොල්මන;ජපන්|මායාව|මුහුණ|යක්ෂයා|සතා|සුරංගනා කථාව|හොල්මන
👽;පිටසක්වල ජීවියා;අභ්‍යවකාශය|පිටසක්වල ජීවියා|පියාඹන පීරිසි|මායාව|මුහුණ|සුරංගනා කථාව
👾;පිටසක්වල යක්ෂයා;අභ්‍යවකාශය|පිටසක්වල ජීවියා|පිටසක්වල යක්ෂයා|පියාඹන පීරිසි|මායාව|මුහුණ|යක්ෂයා
🤖;රොබෝ මුහුණ;මුහුණ|යක්ෂයා|රොබෝ
😺;කට ඇරුණ සිනාසෙන බළල් මුහුණ;කට|කට ඇරුණ සිනාසෙන බළල් මුහුණ|පූසා|මුහුණ|විවෘත|සිනහව
😸;සිනාසෙන ඇස් සහිත දත් විරිතත්න බළල් මුහුණ;ඇස|පූසා|මුහුණ|විරිත්තීම|සිනහව|සිනාසෙන ඇස් සහිත දත් විරිතත්න බළල් මුහුණ
😹;සතුටු කඳුළු සහිත බළල් මුහුණ;පූසා|භය|මුුහුණ|සතුට|සතුටු කඳුළු සහිත බළල් මුහුණ
😻;හදවතක හැඩය ගත් ඇස් සහිත සිනාසෙන බළල් මුහුණ;ආදරය|ඇස|පූසා|මුුහුණ|සිනහව|හදවත|හදවතක හැඩය ගත් ඇස් සහිත සිනාසෙන බළල් මුහුණ
😼;කට ඇදවූ සිනහව සහිත බළල් මුහුණ;ඇද වූ|උපහාසාත්මක|කට ඇදවූ සිනහව සහිත බළල් මුහුණ|පූසා|මුහුුණ|සිනහව
😽;ඇස් වැසුණ සිඹින බළල් මුහුණ;ඇස|ඇස් වැසුණ සිඹින බළලා|ඇස් වැසුණ සිඹින බළල් මුහුණ|පූසා|බළලා|මුහුණ|හාදුව
🙀;වෙහෙසට පත් වූ බළල් මුහුණ;අපොයි|පුදුමයට පත්|පූසා|මුහුණ|විඩාබර|වෙහෙසට පත් වූ බළල් මුහුණ
😿;අඬන බළල් මුහුණ;අඬන බළල් මුහුණ|ඇඩීම|කඳුළු|දුක්මුසු|පූසා|මුහුණ
😾;අමනාපයෙන් යුතු බළල් මුහුණ;අමනාපයෙන් යුතු බළල් මුහුණ|කට උල් කිරීම|පූසා|මුහුණ
🙈;නරක දේවල් නොබලන්න;අභින|තහනම් කළ|දුෂ්ට|නරක දේවල් නොබලන්න|නැත|බැලීම|මුහුණ|වඳුරා
🙉;නරක දේවල් නොඅසන්න;අභින|තහනම් කළ|දුෂ්ට|නරක දේවල් නොඅසන්න|නැත|මුහුණ|වඳුරා|සවන් දීම
🙊;නරක දේවල් කථා නොකරන්න;අභින|කථනය|තහනම් කළ|දුෂ්ට|නරක දේවල් කථා නොකරන්න|නැත|මුහුණ|වඳුුරා
💌;ආදර හසුන;ආදර හසුන|ආදරය|තැපෑල|ප්‍රේමය|ලිපිය
💘;ඊතලය සහිත හදවත;අනංගයා|ඊතලය|ඊතලය සහිත හදවත|ප්‍රේමය|හදවත
💝;පීත්ත පටියක් සහිත හදවත;පීත්ත පටිය|පීත්ත පටියක් සහිත හදවත|වැලන්ටයින්|හදවත
💖;දිදුලන හදවත;දිදුලන|ප්‍රබෝදමත්|හදවත
💗;වැඩෙන හදවත;චංචල|ප්‍රබෝදමත්|වැඩෙන|හදවත|හෘද ස්පන්දනය
💓;ගැහෙන හදවත;ගැහෙන|ස්පන්දනය|හදවත
💞;කරකැවෙන හදවත්;කරකැවෙන|කරකැවෙන හදවත්|හදවත
💕;හදවත් දෙකක්;ආදරය|හදවත|හදවත් දෙකක්
💟;හදවත් සැරසිල්ල;හදවත|හදවත් සැරසිල්ල
❣️;හදවතක හැඩය ගත් විස්මයාර්ථ ලකුණ;ලකුණ|වස්මයාර්ථ|විරාම ලකුණ|හදවතක හැඩය ගත් විස්මයාර්ථ ලකුණ
💔;බිඳුණු හදවත;බිඳීම|බිඳුණු|හදවත
❤️‍🔥;ගිනි ගත් හදවත;ආදරය|ගිනි ගත් හදවත|පිළිස්සීම|පූජනීය හදවත|රාගය|හදවත
❤️‍🩹;සුව වෙන හදවත;ප්‍රකෘතිමත් වීම|යථා තත්ත්වයට පත් වීම|වැඩි දියුණු කිරීම|සුව දීම|සුව වෙන හදවත|සෞඛ්‍ය සම්පන්න|හොඳින්
❤️;රතු හදවත;රතු හදවත|හදවත
🩷;රෝස හදවත;ආදරය|රෝස|වැනි|හදවත|හුරුබුහුටි
🧡;තැඹිලි හදවත;තැඹිලි|තැඹිලි හදවත
💛;කහ හදවත;කහ|හදවත
💚;කොළ හදවත;කොල|කොළ හදවත|හදවත
💙;නිල් හදවත;නිල්|නිල් හදවත|හදචත
🩵;ලා නිල් හදවත;ලා නිල්|ලා නිල් හදවත|සයන්|හදවත
💜;දම් හදවත;දම්|හදවත
🤎;දුඹුරු හදවත;දුඹුරු|හදවත
🖤;කළු හදවත;කළු|දුෂ්ට|නපුරු|හදවත
🩶;අළු හදවත;අළු|රිදී|හදවත
🤍;සුදු හදවත;සුදු|හදවත
💋;හාදු ලකුණ;තොල්|හදවත|හාදු ලකුණ|හාදුව
💯;ලකුණු සියයි;100|ලකුණු|ලකුණු සියයි|සම්පූර්ණ|සියය
💢;තරහ ලකුණ;කේන්ති|තරහ ලකුණ|පිස්සු|හාස්‍යජනක
💥;ඝට්ටනය;ඝට්ටනය|පිපිරීම|හාස්‍යජනක
💫;වල්ග තාරකාව;තරුව|වල්ග තාරකාව|හාස්‍යජනක
💦;දහඩිය බිඳු;දහඩිය|දහඩිය බිඳු|වැගිරීම|හාස්‍යජනක
💨;ලිස්සා යාම;දුවමින්|ලිස්සා යාම|හාස්‍යජනක
🕳️;කුහරය;කුහරය
💬;කථන බැලූනය;කථන බැලුනය|කථන බැලූනය|කථාව|දෙබස|බැලූනය|හාස්‍යජනක
👁️‍🗨️;කථන බුබුළක තිබෙන ඇස;ඇස|කථන බුබුළ|කථන බුබුළක තිබෙන ඇස|සාක්ෂිකරු
🗨️;වම් කථන බුබුළ;කථාව|දෙබස|වම් කථන බුබුළ
🗯️;දකුණු තරහ බුබුළ;කේන්තිි|දකුණු තරහ බුබුළ|පිස්සු|බැලූනය|බුබුල
💭;සිතුවිලි බැලූනය;බැලූූනය|බුබුල|සිතුවිලි|සිතුවිලි බැලුනය|සිතුවිලි බැලූනය|හාස්‍යජනක
💤;ස්ස්ස්;නිදා ගැනීම|ස්ස්ස්|හාස්‍යජනක

[people_body]
👋;අත වැනීම;අත|අත වනමින්|අත වැනීම
	👋🏻;අත වැනීම: සමෙහි වර්ගය-1-2;අත|අත වනමින්|අත වැනීම|අත වැනීම: සමෙහි වර්ගය-1-2|සමෙහි වර්ගය-1-2
	👋🏼;අත වැනීම: සමෙහි වර්ගය-3;අත|අත වනමින්|අත වැනීම|අත වැනීම: සමෙහි වර්ගය-3|සමෙහි වර්ගය-3
	👋🏽;අත වැනීම: සමෙහි වර්ගය-4;අත|අත වනමින්|අත වැනීම|අත වැනීම: සමෙහි වර්ගය-4|සමෙහි වර්ගය-4
	👋🏾;අත වැනීම: සමෙහි වර්ගය-5;අත|අත වනමින්|අත වැනීම|අත වැනීම: සමෙහි වර්ගය-5|සමෙහි වර්ගය-5
	👋🏿;අත වැනීම: සමෙහි වර්ගය-6;අත|අත වනමින්|අත වැනීම|අත වැනීම: සමෙහි වර්ගය-6|සමෙහි වර්ගය-6
🤚;පිටි අත ඔසවන ලදි;ඔසවිම|පිටි අත|පිටි අත ඔසවන ලදි
	🤚🏻;පිටි අත ඔසවන ලදි: සමෙහි වර්ගය-1-2;ඔසවිම|පිටි අත|පිටි අත ඔසවන ලදි|පිටි අත ඔසවන ලදි: සමෙහි වර්ගය-1-2|සමෙහි වර්ගය-1-2
	🤚🏼;පිටි අත ඔසවන ලදි: සමෙහි වර්ගය-3;ඔසවිම|පිටි අත|පිටි අත ඔසවන ලදි|පිටි අත ඔසවන ලදි: සමෙහි වර්ගය-3|සමෙහි වර්ගය-3
	🤚🏽;පිටි අත ඔසවන ලදි: සමෙහි වර්ගය-4;ඔසවිම|පිටි අත|පිටි අත ඔසවන ලදි|පිටි අත ඔසවන ලදි: සමෙහි වර්ගය-4|සමෙහි වර්ගය-4
	🤚🏾;පිටි අත ඔසවන ලදි: සමෙහි වර්ගය-5;ඔසවිම|පිටි අත|පිටි අත ඔසවන ලදි|පිටි අත ඔසවන ලදි: සමෙහි වර්ගය-5|සමෙහි වර්ගය-5
	🤚🏿;පිටි අත ඔසවන ලදි: සමෙහි වර්ගය-6;ඔසවිම|පිටි අත|පිටි අත ඔසවන ලදි|පිටි අත ඔසවන ලදි: සමෙහි වර්ගය-6|සමෙහි වර්ගය-6
🖐️;විදහන ලද ඇඟිලි සහිත එසවූ අත;අත|ඇඟිල්ල|පළල් කළ|විදහන ලද ඇඟිලි සහිත එසවූ අත|ශරීරය
	🖐🏻;විදහන ලද ඇඟිලි සහිත එසවූ අත: සමෙහි වර්ගය-1-2;අත|ඇඟිල්ල|පළල් කළ|විදහන ලද ඇඟිලි සහිත එසවූ අත|විදහන ලද ඇඟිලි සහිත එසවූ අත: සමෙහි වර්ගය-1-2|ශරීරය|සමෙහි වර්ගය-1-2
	🖐🏼;විදහන ලද ඇඟිලි සහිත එසවූ අත: සමෙහි වර්ගය-3;අත|ඇඟිල්ල|පළල් කළ|විදහන ලද ඇඟිලි සහිත එසවූ අත|විදහන ලද ඇඟිලි සහිත එසවූ අත: සමෙහි වර්ගය-3|ශරීරය|සමෙහි වර්ගය-3
	🖐🏽;විදහන ලද ඇඟිලි සහිත එසවූ අත: සමෙහි වර්ගය-4;අත|ඇඟිල්ල|පළල් කළ|විදහන ලද ඇඟිලි සහිත එසවූ අත|විදහන ලද ඇඟිලි සහිත එසවූ අත: සමෙහි වර්ගය-4|ශරීරය|සමෙහි වර්ගය-4
	🖐🏾;විදහන ලද ඇඟිලි සහිත එසවූ අත: සමෙහි වර්ගය-5;අත|ඇඟිල්ල|පළල් කළ|විදහන ලද ඇඟිලි සහිත එසවූ අත|විදහන ලද ඇඟිලි සහිත එසවූ අත: සමෙහි වර්ගය-5|ශරීරය|සමෙහි වර්ගය-5
	🖐🏿;විදහන ලද ඇඟිලි සහිත එසවූ අත: සමෙහි වර්ගය-6;අත|ඇඟිල්ල|පළල් කළ|විදහන ලද ඇඟිලි සහිත එසවූ අත|විදහන ලද ඇඟිලි සහිත එසවූ අත: සමෙහි වර්ගය-6|ශරීරය|සමෙහි වර්ගය-6
✋;එසවූූ අත;අත|එසවූූ අත|ශරීරය
	✋🏻;එසවූූ අත: සමෙහි වර්ගය-1-2;අත|එසවූූ අත|එසවූූ අත: සමෙහි වර්ගය-1-2|ශරීරය|සමෙහි වර්ගය-1-2
	✋🏼;එසවූූ අත: සමෙහි වර්ගය-3;අත|එසවූූ අත|එසවූූ අත: සමෙහි වර්ගය-3|ශරීරය|සමෙහි වර්ගය-3
	✋🏽;එසවූූ අත: සමෙහි වර්ගය-4;අත|එසවූූ අත|එසවූූ අත: සමෙහි වර්ගය-4|ශරීරය|සමෙහි වර්ගය-4
	✋🏾;එසවූූ අත: සමෙහි වර්ගය-5;අත|එසවූූ අත|එසවූූ අත: සමෙහි වර්ගය-5|ශරීරය|සමෙහි වර්ගය-5
