# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kanohi pakiri;kanohi|pakiri
	🏃🏻‍♂️‍➡️;;
	🏃🏼‍♂️‍➡️;;
	🏃🏽‍♂️‍➡️;;
	🏃🏾‍♂️‍➡️;;
	🏃🏿‍♂️‍➡️;;
💃;wahine kanikani;kanikani|wahine
	💃🏻;wahine kanikani: kiri āhua māmā;kanikani|kiri āhua māmā|wahine|wahine kanikani: kiri āhua māmā
	💃🏼;wahine kanikani: kiri āhua māmā-waenga;kanikani|kiri āhua māmā-waenga|wahine|wahine kanikani: kiri āhua māmā-waenga
	💃🏽;wahine kanikani: kiri āhua waenga;kanikani|kiri āhua waenga|wahine|wahine kanikani: kiri āhua waenga
	💃🏾;wahine kanikani: kiri āhua waenga-parauri;kanikani|kiri āhua waenga-parauri|wahine|wahine kanikani: kiri āhua waenga-parauri
	💃🏿;wahine kanikani: kiri āhua parauri;kanikani|kiri āhua parauri|wahine|wahine kanikani: kiri āhua parauri
🕺;tāne kanikani;kanikani|tāne
	🕺🏻;tāne kanikani: kiri āhua māmā;kanikani|kiri āhua māmā|tāne|tāne kanikani: kiri āhua māmā
	🕺🏼;tāne kanikani: kiri āhua māmā-waenga;kanikani|kiri āhua māmā-waenga|tāne|tāne kanikani: kiri āhua māmā-waenga
	🕺🏽;tāne kanikani: kiri āhua waenga;kanikani|kiri āhua waenga|tāne|tāne kanikani: kiri āhua waenga
	🕺🏾;tāne kanikani: kiri āhua waenga-parauri;kanikani|kiri āhua waenga-parauri|tāne|tāne kanikani: kiri āhua waenga-parauri
	🕺🏿;tāne kanikani: kiri āhua parauri;kanikani|kiri āhua parauri|tāne|tāne kanikani: kiri āhua parauri
🕴️;tāne mau hūtu e rewa ana;hūtu|pakihi|tāne|tāne mau hūtu e rewa ana
	🕴🏻;tāne mau hūtu e rewa ana: kiri āhua māmā;hūtu|kiri āhua māmā|pakihi|tāne|tāne mau hūtu e rewa ana|tāne mau hūtu e rewa ana: kiri āhua māmā
	🕴🏼;tāne mau hūtu e rewa ana: kiri āhua māmā-waenga;hūtu|kiri āhua māmā-waenga|pakihi|tāne|tāne mau hūtu e rewa ana|tāne mau hūtu e rewa ana: kiri āhua māmā-waenga
	🕴🏽;tāne mau hūtu e rewa ana: kiri āhua waenga;hūtu|kiri āhua waenga|pakihi|tāne|tāne mau hūtu e rewa ana|tāne mau hūtu e rewa ana: kiri āhua waenga
	🕴🏾;tāne mau hūtu e rewa ana: kiri āhua waenga-parauri;hūtu|kiri āhua waenga-parauri|pakihi|tāne|tāne mau hūtu e rewa ana|tāne mau hūtu e rewa ana: kiri āhua waenga-parauri
	🕴🏿;tāne mau hūtu e rewa ana: kiri āhua parauri;hūtu|kiri āhua parauri|pakihi|tāne|tāne mau hūtu e rewa ana|tāne mau hūtu e rewa ana: kiri āhua parauri
👯;tāngata taringa rāpeti whakangahau;kaikanikani|tāngata taringa rāpeti whakangahau|taringa rāpeti|whakangahau
👯‍♂️;tāne taringa rāpeti whakangahau;kaikanikani|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
👯‍♀️;wāhine taringa rāpeti whakangahau;kaikanikani|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
🧖;tangata rō taiwhanga mamaoa;hāuna|taiwhanga mamaoa|tangata rō taiwhanga mamaoa
	🧖🏻;tangata rō taiwhanga mamaoa: kiri āhua māmā;hāuna|kiri āhua māmā|taiwhanga mamaoa|tangata rō taiwhanga mamaoa|tangata rō taiwhanga mamaoa: kiri āhua māmā
	🧖🏼;tangata rō taiwhanga mamaoa: kiri āhua māmā-waenga;hāuna|kiri āhua māmā-waenga|taiwhanga mamaoa|tangata rō taiwhanga mamaoa|tangata rō taiwhanga mamaoa: kiri āhua māmā-waenga
	🧖🏽;tangata rō taiwhanga mamaoa: kiri āhua waenga;hāuna|kiri āhua waenga|taiwhanga mamaoa|tangata rō taiwhanga mamaoa|tangata rō taiwhanga mamaoa: kiri āhua waenga
	🧖🏾;tangata rō taiwhanga mamaoa: kiri āhua waenga-parauri;hāuna|kiri āhua waenga-parauri|taiwhanga mamaoa|tangata rō taiwhanga mamaoa|tangata rō taiwhanga mamaoa: kiri āhua waenga-parauri
	🧖🏿;tangata rō taiwhanga mamaoa: kiri āhua parauri;hāuna|kiri āhua parauri|taiwhanga mamaoa|tangata rō taiwhanga mamaoa|tangata rō taiwhanga mamaoa: kiri āhua parauri
🧖‍♂️;tāne rō taiwhanga mamaoa;hāuna|taiwhanga mamaoa|tāne rō taiwhanga mamaoa
	🧖🏻‍♂️;tāne rō taiwhanga mamaoa: kiri āhua māmā;hāuna|kiri āhua māmā|taiwhanga mamaoa|tāne rō taiwhanga mamaoa|tāne rō taiwhanga mamaoa: kiri āhua māmā
	🧖🏼‍♂️;tāne rō taiwhanga mamaoa: kiri āhua māmā-waenga;hāuna|kiri āhua māmā-waenga|taiwhanga mamaoa|tāne rō taiwhanga mamaoa|tāne rō taiwhanga mamaoa: kiri āhua māmā-waenga
	🧖🏽‍♂️;tāne rō taiwhanga mamaoa: kiri āhua waenga;hāuna|kiri āhua waenga|taiwhanga mamaoa|tāne rō taiwhanga mamaoa|tāne rō taiwhanga mamaoa: kiri āhua waenga
	🧖🏾‍♂️;tāne rō taiwhanga mamaoa: kiri āhua waenga-parauri;hāuna|kiri āhua waenga-parauri|taiwhanga mamaoa|tāne rō taiwhanga mamaoa|tāne rō taiwhanga mamaoa: kiri āhua waenga-parauri
	🧖🏿‍♂️;tāne rō taiwhanga mamaoa: kiri āhua parauri;hāuna|kiri āhua parauri|taiwhanga mamaoa|tāne rō taiwhanga mamaoa|tāne rō taiwhanga mamaoa: kiri āhua parauri
🧖‍♀️;wahine rō taiwhanga mamaoa;hāuna|taiwhanga mamaoa|wahine rō taiwhanga mamaoa
	🧖🏻‍♀️;wahine rō taiwhanga mamaoa: kiri āhua māmā;hāuna|kiri āhua māmā|taiwhanga mamaoa|wahine rō taiwhanga mamaoa|wahine rō taiwhanga mamaoa: kiri āhua māmā
	🧖🏼‍♀️;wahine rō taiwhanga mamaoa: kiri āhua māmā-waenga;hāuna|kiri āhua māmā-waenga|taiwhanga mamaoa|wahine rō taiwhanga mamaoa|wahine rō taiwhanga mamaoa: kiri āhua māmā-waenga
	🧖🏽‍♀️;wahine rō taiwhanga mamaoa: kiri āhua waenga;hāuna|kiri āhua waenga|taiwhanga mamaoa|wahine rō taiwhanga mamaoa|wahine rō taiwhanga mamaoa: kiri āhua waenga
	🧖🏾‍♀️;wahine rō taiwhanga mamaoa: kiri āhua waenga-parauri;hāuna|kiri āhua waenga-parauri|taiwhanga mamaoa|wahine rō taiwhanga mamaoa|wahine rō taiwhanga mamaoa: kiri āhua waenga-parauri
	🧖🏿‍♀️;wahine rō taiwhanga mamaoa: kiri āhua parauri;hāuna|kiri āhua parauri|taiwhanga mamaoa|wahine rō taiwhanga mamaoa|wahine rō taiwhanga mamaoa: kiri āhua parauri
🧗;tangata piki;kaipiki|tangata piki
	🧗🏻;tangata piki: kiri āhua māmā;kaipiki|kiri āhua māmā|tangata piki|tangata piki: kiri āhua māmā
	🧗🏼;tangata piki: kiri āhua māmā-waenga;kaipiki|kiri āhua māmā-waenga|tangata piki|tangata piki: kiri āhua māmā-waenga
	🧗🏽;tangata piki: kiri āhua waenga;kaipiki|kiri āhua waenga|tangata piki|tangata piki: kiri āhua waenga
	🧗🏾;tangata piki: kiri āhua waenga-parauri;kaipiki|kiri āhua waenga-parauri|tangata piki|tangata piki: kiri āhua waenga-parauri
	🧗🏿;tangata piki: kiri āhua parauri;kaipiki|kiri āhua parauri|tangata piki|tangata piki: kiri āhua parauri
🧗‍♂️;tāne piki;kaipiki|tāne piki
	🧗🏻‍♂️;tāne piki: kiri āhua māmā;kaipiki|kiri āhua māmā|tāne piki|tāne piki: kiri āhua māmā
	🧗🏼‍♂️;tāne piki: kiri āhua māmā-waenga;kaipiki|kiri āhua māmā-waenga|tāne piki|tāne piki: kiri āhua māmā-waenga
	🧗🏽‍♂️;tāne piki: kiri āhua waenga;kaipiki|kiri āhua waenga|tāne piki|tāne piki: kiri āhua waenga
	🧗🏾‍♂️;tāne piki: kiri āhua waenga-parauri;kaipiki|kiri āhua waenga-parauri|tāne piki|tāne piki: kiri āhua waenga-parauri
	🧗🏿‍♂️;tāne piki: kiri āhua parauri;kaipiki|kiri āhua parauri|tāne piki|tāne piki: kiri āhua parauri
🧗‍♀️;wahine piki;kaipiki|wahine piki
	🧗🏻‍♀️;wahine piki: kiri āhua māmā;kaipiki|kiri āhua māmā|wahine piki|wahine piki: kiri āhua māmā
	🧗🏼‍♀️;wahine piki: kiri āhua māmā-waenga;kaipiki|kiri āhua māmā-waenga|wahine piki|wahine piki: kiri āhua māmā-waenga
	🧗🏽‍♀️;wahine piki: kiri āhua waenga;kaipiki|kiri āhua waenga|wahine piki|wahine piki: kiri āhua waenga
	🧗🏾‍♀️;wahine piki: kiri āhua waenga-parauri;kaipiki|kiri āhua waenga-parauri|wahine piki|wahine piki: kiri āhua waenga-parauri
	🧗🏿‍♀️;wahine piki: kiri āhua parauri;kaipiki|kiri āhua parauri|wahine piki|wahine piki: kiri āhua parauri
🤺;tangata matātuhi;hoari|kaimatātuhi|matātuhi hoari|tangata matātuhi
🏇;tauomaoma hoiho;hoiho|hoiho tauoma|kaieke|tauomaoma
	🏇🏻;tauomaoma hoiho: kiri āhua māmā;hoiho|hoiho tauoma|kaieke|kiri āhua māmā|tauomaoma|tauomaoma hoiho: kiri āhua māmā
	🏇🏼;tauomaoma hoiho: kiri āhua māmā-waenga;hoiho|hoiho tauoma|kaieke|kiri āhua māmā-waenga|tauomaoma|tauomaoma hoiho: kiri āhua māmā-waenga
	🏇🏽;tauomaoma hoiho: kiri āhua waenga;hoiho|hoiho tauoma|kaieke|kiri āhua waenga|tauomaoma|tauomaoma hoiho: kiri āhua waenga
	🏇🏾;tauomaoma hoiho: kiri āhua waenga-parauri;hoiho|hoiho tauoma|kaieke|kiri āhua waenga-parauri|tauomaoma|tauomaoma hoiho: kiri āhua waenga-parauri
	🏇🏿;tauomaoma hoiho: kiri āhua parauri;hoiho|hoiho tauoma|kaieke|kiri āhua parauri|tauomaoma|tauomaoma hoiho: kiri āhua parauri
⛷️;kairetihuka;hukarere|kairetihuka|retihuka
🏂;kaipaparetihuka;hukarere|kaipaparetihuka|paparetihuka|retihuka
	🏂🏻;kaipaparetihuka: kiri āhua māmā;hukarere|kaipaparetihuka|kaipaparetihuka: kiri āhua māmā|kiri āhua māmā|paparetihuka|retihuka
	🏂🏼;kaipaparetihuka: kiri āhua māmā-waenga;hukarere|kaipaparetihuka|kaipaparetihuka: kiri āhua māmā-waenga|kiri āhua māmā-waenga|paparetihuka|retihuka
	🏂🏽;kaipaparetihuka: kiri āhua waenga;hukarere|kaipaparetihuka|kaipaparetihuka: kiri āhua waenga|kiri āhua waenga|paparetihuka|retihuka
	🏂🏾;kaipaparetihuka: kiri āhua waenga-parauri;hukarere|kaipaparetihuka|kaipaparetihuka: kiri āhua waenga-parauri|kiri āhua waenga-parauri|paparetihuka|retihuka
	🏂🏿;kaipaparetihuka: kiri āhua parauri;hukarere|kaipaparetihuka|kaipaparetihuka: kiri āhua parauri|kiri āhua parauri|paparetihuka|retihuka
🏌️;tangata haupōro;haupōro|pōro|tangata haupōro
	🏌🏻;tangata haupōro: kiri āhua māmā;haupōro|kiri āhua māmā|pōro|tangata haupōro|tangata haupōro: kiri āhua māmā
	🏌🏼;tangata haupōro: kiri āhua māmā-waenga;haupōro|kiri āhua māmā-waenga|pōro|tangata haupōro|tangata haupōro: kiri āhua māmā-waenga
	🏌🏽;tangata haupōro: kiri āhua waenga;haupōro|kiri āhua waenga|pōro|tangata haupōro|tangata haupōro: kiri āhua waenga
	🏌🏾;tangata haupōro: kiri āhua waenga-parauri;haupōro|kiri āhua waenga-parauri|pōro|tangata haupōro|tangata haupōro: kiri āhua waenga-parauri
	🏌🏿;tangata haupōro: kiri āhua parauri;haupōro|kiri āhua parauri|pōro|tangata haupōro|tangata haupōro: kiri āhua parauri
🏌️‍♂️;tāne haupōro;haupōro|tāne
	🏌🏻‍♂️;tāne haupōro: kiri āhua māmā;haupōro|kiri āhua māmā|tāne|tāne haupōro: kiri āhua māmā
	🏌🏼‍♂️;tāne haupōro: kiri āhua māmā-waenga;haupōro|kiri āhua māmā-waenga|tāne|tāne haupōro: kiri āhua māmā-waenga
	🏌🏽‍♂️;tāne haupōro: kiri āhua waenga;haupōro|kiri āhua waenga|tāne|tāne haupōro: kiri āhua waenga
	🏌🏾‍♂️;tāne haupōro: kiri āhua waenga-parauri;haupōro|kiri āhua waenga-parauri|tāne|tāne haupōro: kiri āhua waenga-parauri
	🏌🏿‍♂️;tāne haupōro: kiri āhua parauri;haupōro|kiri āhua parauri|tāne|tāne haupōro: kiri āhua parauri
🏌️‍♀️;wahine haupōro;haupōro|wahine
	🏌🏻‍♀️;wahine haupōro: kiri āhua māmā;haupōro|kiri āhua māmā|wahine|wahine haupōro: kiri āhua māmā
	🏌🏼‍♀️;wahine haupōro: kiri āhua māmā-waenga;haupōro|kiri āhua māmā-waenga|wahine|wahine haupōro: kiri āhua māmā-waenga
	🏌🏽‍♀️;wahine haupōro: kiri āhua waenga;haupōro|kiri āhua waenga|wahine|wahine haupōro: kiri āhua waenga
	🏌🏾‍♀️;wahine haupōro: kiri āhua waenga-parauri;haupōro|kiri āhua waenga-parauri|wahine|wahine haupōro: kiri āhua waenga-parauri
	🏌🏿‍♀️;wahine haupōro: kiri āhua parauri;haupōro|kiri āhua parauri|wahine|wahine haupōro: kiri āhua parauri
🏄;tangata whakaheke ngaru;tangata whakaheke ngaru|whakaheke ngaru
	🏄🏻;tangata whakaheke ngaru: kiri āhua māmā;kiri āhua māmā|tangata whakaheke ngaru|tangata whakaheke ngaru: kiri āhua māmā|whakaheke ngaru
	🏄🏼;tangata whakaheke ngaru: kiri āhua māmā-waenga;kiri āhua māmā-waenga|tangata whakaheke ngaru|tangata whakaheke ngaru: kiri āhua māmā-waenga|whakaheke ngaru
	🏄🏽;tangata whakaheke ngaru: kiri āhua waenga;kiri āhua waenga|tangata whakaheke ngaru|tangata whakaheke ngaru: kiri āhua waenga|whakaheke ngaru
	🏄🏾;tangata whakaheke ngaru: kiri āhua waenga-parauri;kiri āhua waenga-parauri|tangata whakaheke ngaru|tangata whakaheke ngaru: kiri āhua waenga-parauri|whakaheke ngaru
	🏄🏿;tangata whakaheke ngaru: kiri āhua parauri;kiri āhua parauri|tangata whakaheke ngaru|tangata whakaheke ngaru: kiri āhua parauri|whakaheke ngaru
🏄‍♂️;tāne whakaheke ngaru;tāne|tāne whakaheke ngaru|whakaheke ngaru
	🏄🏻‍♂️;tāne whakaheke ngaru: kiri āhua māmā;kiri āhua māmā|tāne|tāne whakaheke ngaru|tāne whakaheke ngaru: kiri āhua māmā|whakaheke ngaru
	🏄🏼‍♂️;tāne whakaheke ngaru: kiri āhua māmā-waenga;kiri āhua māmā-waenga|tāne|tāne whakaheke ngaru|tāne whakaheke ngaru: kiri āhua māmā-waenga|whakaheke ngaru
	🏄🏽‍♂️;tāne whakaheke ngaru: kiri āhua waenga;kiri āhua waenga|tāne|tāne whakaheke ngaru|tāne whakaheke ngaru: kiri āhua waenga|whakaheke ngaru
	🏄🏾‍♂️;tāne whakaheke ngaru: kiri āhua waenga-parauri;kiri āhua waenga-parauri|tāne|tāne whakaheke ngaru|tāne whakaheke ngaru: kiri āhua waenga-parauri|whakaheke ngaru
	🏄🏿‍♂️;tāne whakaheke ngaru: kiri āhua parauri;kiri āhua parauri|tāne|tāne whakaheke ngaru|tāne whakaheke ngaru: kiri āhua parauri|whakaheke ngaru
🏄‍♀️;wahine whakaheke ngaru;wahine|wahine whakaheke ngaru|whakaheke ngaru
	🏄🏻‍♀️;wahine whakaheke ngaru: kiri āhua māmā;kiri āhua māmā|wahine|wahine whakaheke ngaru|wahine whakaheke ngaru: kiri āhua māmā|whakaheke ngaru
	🏄🏼‍♀️;wahine whakaheke ngaru: kiri āhua māmā-waenga;kiri āhua māmā-waenga|wahine|wahine whakaheke ngaru|wahine whakaheke ngaru: kiri āhua māmā-waenga|whakaheke ngaru
	🏄🏽‍♀️;wahine whakaheke ngaru: kiri āhua waenga;kiri āhua waenga|wahine|wahine whakaheke ngaru|wahine whakaheke ngaru: kiri āhua waenga|whakaheke ngaru
	🏄🏾‍♀️;wahine whakaheke ngaru: kiri āhua waenga-parauri;kiri āhua waenga-parauri|wahine|wahine whakaheke ngaru|wahine whakaheke ngaru: kiri āhua waenga-parauri|whakaheke ngaru
	🏄🏿‍♀️;wahine whakaheke ngaru: kiri āhua parauri;kiri āhua parauri|wahine|wahine whakaheke ngaru|wahine whakaheke ngaru: kiri āhua parauri|whakaheke ngaru
🚣;tangata hoe waka;poti|tangata hoe waka|waka hoe
	🚣🏻;tangata hoe waka: kiri āhua māmā;kiri āhua māmā|poti|tangata hoe waka|tangata hoe waka: kiri āhua māmā|waka hoe
	🚣🏼;tangata hoe waka: kiri āhua māmā-waenga;kiri āhua māmā-waenga|poti|tangata hoe waka|tangata hoe waka: kiri āhua māmā-waenga|waka hoe
	🚣🏽;tangata hoe waka: kiri āhua waenga;kiri āhua waenga|poti|tangata hoe waka|tangata hoe waka: kiri āhua waenga|waka hoe
	🚣🏾;tangata hoe waka: kiri āhua waenga-parauri;kiri āhua waenga-parauri|poti|tangata hoe waka|tangata hoe waka: kiri āhua waenga-parauri|waka hoe
	🚣🏿;tangata hoe waka: kiri āhua parauri;kiri āhua parauri|poti|tangata hoe waka|tangata hoe waka: kiri āhua parauri|waka hoe
🚣‍♂️;tāne hoe waka;poti|tāne|tāne hoe waka|wakahoe
	🚣🏻‍♂️;tāne hoe waka: kiri āhua māmā;kiri āhua māmā|poti|tāne|tāne hoe waka|tāne hoe waka: kiri āhua māmā|wakahoe
	🚣🏼‍♂️;tāne hoe waka: kiri āhua māmā-waenga;kiri āhua māmā-waenga|poti|tāne|tāne hoe waka|tāne hoe waka: kiri āhua māmā-waenga|wakahoe
	🚣🏽‍♂️;tāne hoe waka: kiri āhua waenga;kiri āhua waenga|poti|tāne|tāne hoe waka|tāne hoe waka: kiri āhua waenga|wakahoe
	🚣🏾‍♂️;tāne hoe waka: kiri āhua waenga-parauri;kiri āhua waenga-parauri|poti|tāne|tāne hoe waka|tāne hoe waka: kiri āhua waenga-parauri|wakahoe
	🚣🏿‍♂️;tāne hoe waka: kiri āhua parauri;kiri āhua parauri|poti|tāne|tāne hoe waka|tāne hoe waka: kiri āhua parauri|wakahoe
🚣‍♀️;wahine hoe waka;poti|wahine|wahine hoe waka|wakahoe
	🚣🏻‍♀️;wahine hoe waka: kiri āhua māmā;kiri āhua māmā|poti|wahine|wahine hoe waka|wahine hoe waka: kiri āhua māmā|wakahoe
	🚣🏼‍♀️;wahine hoe waka: kiri āhua māmā-waenga;kiri āhua māmā-waenga|poti|wahine|wahine hoe waka|wahine hoe waka: kiri āhua māmā-waenga|wakahoe
	🚣🏽‍♀️;wahine hoe waka: kiri āhua waenga;kiri āhua waenga|poti|wahine|wahine hoe waka|wahine hoe waka: kiri āhua waenga|wakahoe
	🚣🏾‍♀️;wahine hoe waka: kiri āhua waenga-parauri;kiri āhua waenga-parauri|poti|wahine|wahine hoe waka|wahine hoe waka: kiri āhua waenga-parauri|wakahoe
	🚣🏿‍♀️;wahine hoe waka: kiri āhua parauri;kiri āhua parauri|poti|wahine|wahine hoe waka|wahine hoe waka: kiri āhua parauri|wakahoe
🏊;tangata kauhoe;kauhoe|tangata kauhoe
	🏊🏻;tangata kauhoe: kiri āhua māmā;kauhoe|kiri āhua māmā|tangata kauhoe|tangata kauhoe: kiri āhua māmā
	🏊🏼;tangata kauhoe: kiri āhua māmā-waenga;kauhoe|kiri āhua māmā-waenga|tangata kauhoe|tangata kauhoe: kiri āhua māmā-waenga
	🏊🏽;tangata kauhoe: kiri āhua waenga;kauhoe|kiri āhua waenga|tangata kauhoe|tangata kauhoe: kiri āhua waenga
	🏊🏾;tangata kauhoe: kiri āhua waenga-parauri;kauhoe|kiri āhua waenga-parauri|tangata kauhoe|tangata kauhoe: kiri āhua waenga-parauri
	🏊🏿;tangata kauhoe: kiri āhua parauri;kauhoe|kiri āhua parauri|tangata kauhoe|tangata kauhoe: kiri āhua parauri
🏊‍♂️;tāne kauhoe;kauhoe|tāne
	🏊🏻‍♂️;tāne kauhoe: kiri āhua māmā;kauhoe|kiri āhua māmā|tāne|tāne kauhoe: kiri āhua māmā
	🏊🏼‍♂️;tāne kauhoe: kiri āhua māmā-waenga;kauhoe|kiri āhua māmā-waenga|tāne|tāne kauhoe: kiri āhua māmā-waenga
	🏊🏽‍♂️;tāne kauhoe: kiri āhua waenga;kauhoe|kiri āhua waenga|tāne|tāne kauhoe: kiri āhua waenga
	🏊🏾‍♂️;tāne kauhoe: kiri āhua waenga-parauri;kauhoe|kiri āhua waenga-parauri|tāne|tāne kauhoe: kiri āhua waenga-parauri
	🏊🏿‍♂️;tāne kauhoe: kiri āhua parauri;kauhoe|kiri āhua parauri|tāne|tāne kauhoe: kiri āhua parauri
🏊‍♀️;wahine kauhoe;kauhoe|wahine
	🏊🏻‍♀️;wahine kauhoe: kiri āhua māmā;kauhoe|kiri āhua māmā|wahine|wahine kauhoe: kiri āhua māmā
	🏊🏼‍♀️;wahine kauhoe: kiri āhua māmā-waenga;kauhoe|kiri āhua māmā-waenga|wahine|wahine kauhoe: kiri āhua māmā-waenga
	🏊🏽‍♀️;wahine kauhoe: kiri āhua waenga;kauhoe|kiri āhua waenga|wahine|wahine kauhoe: kiri āhua waenga
	🏊🏾‍♀️;wahine kauhoe: kiri āhua waenga-parauri;kauhoe|kiri āhua waenga-parauri|wahine|wahine kauhoe: kiri āhua waenga-parauri
	🏊🏿‍♀️;wahine kauhoe: kiri āhua parauri;kauhoe|kiri āhua parauri|wahine|wahine kauhoe: kiri āhua parauri
⛹️;tangata tāwhana pōro;pōro|tangata tāwhana pōro
	⛹🏻;tangata tāwhana pōro: kiri āhua māmā;kiri āhua māmā|pōro|tangata tāwhana pōro|tangata tāwhana pōro: kiri āhua māmā
	⛹🏼;tangata tāwhana pōro: kiri āhua māmā-waenga;kiri āhua māmā-waenga|pōro|tangata tāwhana pōro|tangata tāwhana pōro: kiri āhua māmā-waenga
	⛹🏽;tangata tāwhana pōro: kiri āhua waenga;kiri āhua waenga|pōro|tangata tāwhana pōro|tangata tāwhana pōro: kiri āhua waenga
	⛹🏾;tangata tāwhana pōro: kiri āhua waenga-parauri;kiri āhua waenga-parauri|pōro|tangata tāwhana pōro|tangata tāwhana pōro: kiri āhua waenga-parauri
	⛹🏿;tangata tāwhana pōro: kiri āhua parauri;kiri āhua parauri|pōro|tangata tāwhana pōro|tangata tāwhana pōro: kiri āhua parauri
⛹️‍♂️;tāne tāwhana pōro;pōro|tāne|tāne tāwhana pōro
	⛹🏻‍♂️;tāne tāwhana pōro: kiri āhua māmā;kiri āhua māmā|pōro|tāne|tāne tāwhana pōro|tāne tāwhana pōro: kiri āhua māmā
	⛹🏼‍♂️;tāne tāwhana pōro: kiri āhua māmā-waenga;kiri āhua māmā-waenga|pōro|tāne|tāne tāwhana pōro|tāne tāwhana pōro: kiri āhua māmā-waenga
	⛹🏽‍♂️;tāne tāwhana pōro: kiri āhua waenga;kiri āhua waenga|pōro|tāne|tāne tāwhana pōro|tāne tāwhana pōro: kiri āhua waenga
	⛹🏾‍♂️;tāne tāwhana pōro: kiri āhua waenga-parauri;kiri āhua waenga-parauri|pōro|tāne|tāne tāwhana pōro|tāne tāwhana pōro: kiri āhua waenga-parauri
	⛹🏿‍♂️;tāne tāwhana pōro: kiri āhua parauri;kiri āhua parauri|pōro|tāne|tāne tāwhana pōro|tāne tāwhana pōro: kiri āhua parauri
⛹️‍♀️;wahine tāwhana pōro;pōro|wahine|wahine tāwhana pōro
	⛹🏻‍♀️;wahine tāwhana pōro: kiri āhua māmā;kiri āhua māmā|pōro|wahine|wahine tāwhana pōro|wahine tāwhana pōro: kiri āhua māmā
	⛹🏼‍♀️;wahine tāwhana pōro: kiri āhua māmā-waenga;kiri āhua māmā-waenga|pōro|wahine|wahine tāwhana pōro|wahine tāwhana pōro: kiri āhua māmā-waenga
	⛹🏽‍♀️;wahine tāwhana pōro: kiri āhua waenga;kiri āhua waenga|pōro|wahine|wahine tāwhana pōro|wahine tāwhana pōro: kiri āhua waenga
	⛹🏾‍♀️;wahine tāwhana pōro: kiri āhua waenga-parauri;kiri āhua waenga-parauri|pōro|wahine|wahine tāwhana pōro|wahine tāwhana pōro: kiri āhua waenga-parauri
	⛹🏿‍♀️;wahine tāwhana pōro: kiri āhua parauri;kiri āhua parauri|pōro|wahine|wahine tāwhana pōro|wahine tāwhana pōro: kiri āhua parauri
🏋️;tangata hiki taumaha;kaihiki|tangata hiki taumaha|taumaha
	🏋🏻;tangata hiki taumaha: kiri āhua māmā;kaihiki|kiri āhua māmā|tangata hiki taumaha|tangata hiki taumaha: kiri āhua māmā|taumaha
	🏋🏼;tangata hiki taumaha: kiri āhua māmā-waenga;kaihiki|kiri āhua māmā-waenga|tangata hiki taumaha|tangata hiki taumaha: kiri āhua māmā-waenga|taumaha
	🏋🏽;tangata hiki taumaha: kiri āhua waenga;kaihiki|kiri āhua waenga|tangata hiki taumaha|tangata hiki taumaha: kiri āhua waenga|taumaha
	🏋🏾;tangata hiki taumaha: kiri āhua waenga-parauri;kaihiki|kiri āhua waenga-parauri|tangata hiki taumaha|tangata hiki taumaha: kiri āhua waenga-parauri|taumaha
	🏋🏿;tangata hiki taumaha: kiri āhua parauri;kaihiki|kiri āhua parauri|tangata hiki taumaha|tangata hiki taumaha: kiri āhua parauri|taumaha
🏋️‍♂️;tāne hiki taumaha;kaihiki taumaha|tāne|tāne hiki taumaha
	🏋🏻‍♂️;tāne hiki taumaha: kiri āhua māmā;kaihiki taumaha|kiri āhua māmā|tāne|tāne hiki taumaha|tāne hiki taumaha: kiri āhua māmā
	🏋🏼‍♂️;tāne hiki taumaha: kiri āhua māmā-waenga;kaihiki taumaha|kiri āhua māmā-waenga|tāne|tāne hiki taumaha|tāne hiki taumaha: kiri āhua māmā-waenga
	🏋🏽‍♂️;tāne hiki taumaha: kiri āhua waenga;kaihiki taumaha|kiri āhua waenga|tāne|tāne hiki taumaha|tāne hiki taumaha: kiri āhua waenga
	🏋🏾‍♂️;tāne hiki taumaha: kiri āhua waenga-parauri;kaihiki taumaha|kiri āhua waenga-parauri|tāne|tāne hiki taumaha|tāne hiki taumaha: kiri āhua waenga-parauri
	🏋🏿‍♂️;tāne hiki taumaha: kiri āhua parauri;kaihiki taumaha|kiri āhua parauri|tāne|tāne hiki taumaha|tāne hiki taumaha: kiri āhua parauri
🏋️‍♀️;wahine hiki taumaha;kaihiki taumaha|wahine|wahine hiki taumaha
	🏋🏻‍♀️;wahine hiki taumaha: kiri āhua māmā;kaihiki taumaha|kiri āhua māmā|wahine|wahine hiki taumaha|wahine hiki taumaha: kiri āhua māmā
	🏋🏼‍♀️;wahine hiki taumaha: kiri āhua māmā-waenga;kaihiki taumaha|kiri āhua māmā-waenga|wahine|wahine hiki taumaha|wahine hiki taumaha: kiri āhua māmā-waenga
	🏋🏽‍♀️;wahine hiki taumaha: kiri āhua waenga;kaihiki taumaha|kiri āhua waenga|wahine|wahine hiki taumaha|wahine hiki taumaha: kiri āhua waenga
