# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;មុខសើច;មុខ|មុខសើច|សើច
	🤷🏾‍♀️;នារីញាក់ស្មា: សម្បុរខ្មៅល្មម;ឆ្ងល់|ញាក់ស្មា|នារីញាក់ស្មា|នារីញាក់ស្មា: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម|ស្រី|អត់ដឹង
	🤷🏿‍♀️;នារីញាក់ស្មា: សម្បុរខ្មៅ;ឆ្ងល់|ញាក់ស្មា|នារីញាក់ស្មា|នារីញាក់ស្មា: សម្បុរខ្មៅ|សម្បុរខ្មៅ|ស្រី|អត់ដឹង
🧑‍⚕️;ភ្នាក់ងារសុខភាព;ការថែទាំសុខភាព|គិលានុបដ្ឋាក|គ្រូពេទ្យ|ភ្នាក់ងារសុខភាព|វេជ្ជបណ្ឌិត
	🧑🏻‍⚕️;ភ្នាក់ងារសុខភាព: សម្បុរស;ការថែទាំសុខភាព|គិលានុបដ្ឋាក|គ្រូពេទ្យ|ភ្នាក់ងារសុខភាព|ភ្នាក់ងារសុខភាព: សម្បុរស|វេជ្ជបណ្ឌិត|សម្បុរស
	🧑🏼‍⚕️;ភ្នាក់ងារសុខភាព: សម្បុរសល្មម;ការថែទាំសុខភាព|គិលានុបដ្ឋាក|គ្រូពេទ្យ|ភ្នាក់ងារសុខភាព|ភ្នាក់ងារសុខភាព: សម្បុរសល្មម|វេជ្ជបណ្ឌិត|សម្បុរសល្មម
	🧑🏽‍⚕️;ភ្នាក់ងារសុខភាព: សម្បុរស្រអែម;ការថែទាំសុខភាព|គិលានុបដ្ឋាក|គ្រូពេទ្យ|ភ្នាក់ងារសុខភាព|ភ្នាក់ងារសុខភាព: សម្បុរស្រអែម|វេជ្ជបណ្ឌិត|សម្បុរស្រអែម
	🧑🏾‍⚕️;ភ្នាក់ងារសុខភាព: សម្បុរខ្មៅល្មម;ការថែទាំសុខភាព|គិលានុបដ្ឋាក|គ្រូពេទ្យ|ភ្នាក់ងារសុខភាព|ភ្នាក់ងារសុខភាព: សម្បុរខ្មៅល្មម|វេជ្ជបណ្ឌិត|សម្បុរខ្មៅល្មម
	🧑🏿‍⚕️;ភ្នាក់ងារសុខភាព: សម្បុរខ្មៅ;ការថែទាំសុខភាព|គិលានុបដ្ឋាក|គ្រូពេទ្យ|ភ្នាក់ងារសុខភាព|ភ្នាក់ងារសុខភាព: សម្បុរខ្មៅ|វេជ្ជបណ្ឌិត|សម្បុរខ្មៅ
👨‍⚕️;ពេទ្យប្រុស;ការថែទាំសុខភាព|គិលានុបដ្ឋាក|គ្រូពេទ្យ|ប្រុស|ពេទ្យប្រុស
	👨🏻‍⚕️;ពេទ្យប្រុស: សម្បុរស;ការថែទាំសុខភាព|គិលានុបដ្ឋាក|គ្រូពេទ្យ|ប្រុស|ពេទ្យប្រុស|ពេទ្យប្រុស: សម្បុរស|សម្បុរស
	👨🏼‍⚕️;ពេទ្យប្រុស: សម្បុរសល្មម;ការថែទាំសុខភាព|គិលានុបដ្ឋាក|គ្រូពេទ្យ|ប្រុស|ពេទ្យប្រុស|ពេទ្យប្រុស: សម្បុរសល្មម|សម្បុរសល្មម
	👨🏽‍⚕️;ពេទ្យប្រុស: សម្បុរស្រអែម;ការថែទាំសុខភាព|គិលានុបដ្ឋាក|គ្រូពេទ្យ|ប្រុស|ពេទ្យប្រុស|ពេទ្យប្រុស: សម្បុរស្រអែម|សម្បុរស្រអែម
	👨🏾‍⚕️;ពេទ្យប្រុស: សម្បុរខ្មៅល្មម;ការថែទាំសុខភាព|គិលានុបដ្ឋាក|គ្រូពេទ្យ|ប្រុស|ពេទ្យប្រុស|ពេទ្យប្រុស: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម
	👨🏿‍⚕️;ពេទ្យប្រុស: សម្បុរខ្មៅ;ការថែទាំសុខភាព|គិលានុបដ្ឋាក|គ្រូពេទ្យ|ប្រុស|ពេទ្យប្រុស|ពេទ្យប្រុស: សម្បុរខ្មៅ|សម្បុរខ្មៅ
👩‍⚕️;ពេទ្យស្រី;គិលានុបដ្ឋាយិកា|គ្រូពេទ្យ|ពិនិត្យសុខភាព|ពេទ្យស្រី|ព្យាបាល
	👩🏻‍⚕️;ពេទ្យស្រី: សម្បុរស;គិលានុបដ្ឋាយិកា|គ្រូពេទ្យ|ពិនិត្យសុខភាព|ពេទ្យស្រី|ពេទ្យស្រី: សម្បុរស|ព្យាបាល|សម្បុរស
	👩🏼‍⚕️;ពេទ្យស្រី: សម្បុរសល្មម;គិលានុបដ្ឋាយិកា|គ្រូពេទ្យ|ពិនិត្យសុខភាព|ពេទ្យស្រី|ពេទ្យស្រី: សម្បុរសល្មម|ព្យាបាល|សម្បុរសល្មម
	👩🏽‍⚕️;ពេទ្យស្រី: សម្បុរស្រអែម;គិលានុបដ្ឋាយិកា|គ្រូពេទ្យ|ពិនិត្យសុខភាព|ពេទ្យស្រី|ពេទ្យស្រី: សម្បុរស្រអែម|ព្យាបាល|សម្បុរស្រអែម
	👩🏾‍⚕️;ពេទ្យស្រី: សម្បុរខ្មៅល្មម;គិលានុបដ្ឋាយិកា|គ្រូពេទ្យ|ពិនិត្យសុខភាព|ពេទ្យស្រី|ពេទ្យស្រី: សម្បុរខ្មៅល្មម|ព្យាបាល|សម្បុរខ្មៅល្មម
	👩🏿‍⚕️;ពេទ្យស្រី: សម្បុរខ្មៅ;គិលានុបដ្ឋាយិកា|គ្រូពេទ្យ|ពិនិត្យសុខភាព|ពេទ្យស្រី|ពេទ្យស្រី: សម្បុរខ្មៅ|ព្យាបាល|សម្បុរខ្មៅ
🧑‍🎓;សិស្សនិស្សិត;និស្សិត|និស្សិតបញ្ចប់ការសិក្សា|សិស្សនិស្សិត
	🧑🏻‍🎓;សិស្សនិស្សិត: សម្បុរស;និស្សិត|និស្សិតបញ្ចប់ការសិក្សា|សម្បុរស|សិស្សនិស្សិត|សិស្សនិស្សិត: សម្បុរស
	🧑🏼‍🎓;សិស្សនិស្សិត: សម្បុរសល្មម;និស្សិត|និស្សិតបញ្ចប់ការសិក្សា|សម្បុរសល្មម|សិស្សនិស្សិត|សិស្សនិស្សិត: សម្បុរសល្មម
	🧑🏽‍🎓;សិស្សនិស្សិត: សម្បុរស្រអែម;និស្សិត|និស្សិតបញ្ចប់ការសិក្សា|សម្បុរស្រអែម|សិស្សនិស្សិត|សិស្សនិស្សិត: សម្បុរស្រអែម
	🧑🏾‍🎓;សិស្សនិស្សិត: សម្បុរខ្មៅល្មម;និស្សិត|និស្សិតបញ្ចប់ការសិក្សា|សម្បុរខ្មៅល្មម|សិស្សនិស្សិត|សិស្សនិស្សិត: សម្បុរខ្មៅល្មម
	🧑🏿‍🎓;សិស្សនិស្សិត: សម្បុរខ្មៅ;និស្សិត|និស្សិតបញ្ចប់ការសិក្សា|សម្បុរខ្មៅ|សិស្សនិស្សិត|សិស្សនិស្សិត: សម្បុរខ្មៅ
👨‍🎓;សិស្សប្រុស;និស្សិត|បញ្ចប់ការសិក្សា|ប្រុស|សិស្សប្រុស
	👨🏻‍🎓;សិស្សប្រុស: សម្បុរស;និស្សិត|បញ្ចប់ការសិក្សា|ប្រុស|សម្បុរស|សិស្សប្រុស|សិស្សប្រុស: សម្បុរស
	👨🏼‍🎓;សិស្សប្រុស: សម្បុរសល្មម;និស្សិត|បញ្ចប់ការសិក្សា|ប្រុស|សម្បុរសល្មម|សិស្សប្រុស|សិស្សប្រុស: សម្បុរសល្មម
	👨🏽‍🎓;សិស្សប្រុស: សម្បុរស្រអែម;និស្សិត|បញ្ចប់ការសិក្សា|ប្រុស|សម្បុរស្រអែម|សិស្សប្រុស|សិស្សប្រុស: សម្បុរស្រអែម
	👨🏾‍🎓;សិស្សប្រុស: សម្បុរខ្មៅល្មម;និស្សិត|បញ្ចប់ការសិក្សា|ប្រុស|សម្បុរខ្មៅល្មម|សិស្សប្រុស|សិស្សប្រុស: សម្បុរខ្មៅល្មម
	👨🏿‍🎓;សិស្សប្រុស: សម្បុរខ្មៅ;និស្សិត|បញ្ចប់ការសិក្សា|ប្រុស|សម្បុរខ្មៅ|សិស្សប្រុស|សិស្សប្រុស: សម្បុរខ្មៅ
👩‍🎓;សិស្សស្រី;និស្សិត|បញ្ចប់ការសិក្សា|សិស្សស្រី|ស្រី
	👩🏻‍🎓;សិស្សស្រី: សម្បុរស;និស្សិត|បញ្ចប់ការសិក្សា|សម្បុរស|សិស្សស្រី|សិស្សស្រី: សម្បុរស|ស្រី
	👩🏼‍🎓;សិស្សស្រី: សម្បុរសល្មម;និស្សិត|បញ្ចប់ការសិក្សា|សម្បុរសល្មម|សិស្សស្រី|សិស្សស្រី: សម្បុរសល្មម|ស្រី
	👩🏽‍🎓;សិស្សស្រី: សម្បុរស្រអែម;និស្សិត|បញ្ចប់ការសិក្សា|សម្បុរស្រអែម|សិស្សស្រី|សិស្សស្រី: សម្បុរស្រអែម|ស្រី
	👩🏾‍🎓;សិស្សស្រី: សម្បុរខ្មៅល្មម;និស្សិត|បញ្ចប់ការសិក្សា|សម្បុរខ្មៅល្មម|សិស្សស្រី|សិស្សស្រី: សម្បុរខ្មៅល្មម|ស្រី
	👩🏿‍🎓;សិស្សស្រី: សម្បុរខ្មៅ;និស្សិត|បញ្ចប់ការសិក្សា|សម្បុរខ្មៅ|សិស្សស្រី|សិស្សស្រី: សម្បុរខ្មៅ|ស្រី
🧑‍🏫;គ្រូបង្រៀន;គ្រូបង្រៀន|គ្រូបង្វឹក|សាស្ត្រាចារ្យ
	🧑🏻‍🏫;គ្រូបង្រៀន: សម្បុរស;គ្រូបង្រៀន|គ្រូបង្រៀន: សម្បុរស|គ្រូបង្វឹក|សម្បុរស|សាស្ត្រាចារ្យ
	🧑🏼‍🏫;គ្រូបង្រៀន: សម្បុរសល្មម;គ្រូបង្រៀន|គ្រូបង្រៀន: សម្បុរសល្មម|គ្រូបង្វឹក|សម្បុរសល្មម|សាស្ត្រាចារ្យ
	🧑🏽‍🏫;គ្រូបង្រៀន: សម្បុរស្រអែម;គ្រូបង្រៀន|គ្រូបង្រៀន: សម្បុរស្រអែម|គ្រូបង្វឹក|សម្បុរស្រអែម|សាស្ត្រាចារ្យ
	🧑🏾‍🏫;គ្រូបង្រៀន: សម្បុរខ្មៅល្មម;គ្រូបង្រៀន|គ្រូបង្រៀន: សម្បុរខ្មៅល្មម|គ្រូបង្វឹក|សម្បុរខ្មៅល្មម|សាស្ត្រាចារ្យ
	🧑🏿‍🏫;គ្រូបង្រៀន: សម្បុរខ្មៅ;គ្រូបង្រៀន|គ្រូបង្រៀន: សម្បុរខ្មៅ|គ្រូបង្វឹក|សម្បុរខ្មៅ|សាស្ត្រាចារ្យ
👨‍🏫;លោកគ្រូ;គ្រូ|បុរស|ប្រុស|លោកគ្រូ|សាស្ត្រាចារ្យ
	👨🏻‍🏫;លោកគ្រូ: សម្បុរស;គ្រូ|បុរស|ប្រុស|លោកគ្រូ|លោកគ្រូ: សម្បុរស|សម្បុរស|សាស្ត្រាចារ្យ
	👨🏼‍🏫;លោកគ្រូ: សម្បុរសល្មម;គ្រូ|បុរស|ប្រុស|លោកគ្រូ|លោកគ្រូ: សម្បុរសល្មម|សម្បុរសល្មម|សាស្ត្រាចារ្យ
	👨🏽‍🏫;លោកគ្រូ: សម្បុរស្រអែម;គ្រូ|បុរស|ប្រុស|លោកគ្រូ|លោកគ្រូ: សម្បុរស្រអែម|សម្បុរស្រអែម|សាស្ត្រាចារ្យ
	👨🏾‍🏫;លោកគ្រូ: សម្បុរខ្មៅល្មម;គ្រូ|បុរស|ប្រុស|លោកគ្រូ|លោកគ្រូ: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម|សាស្ត្រាចារ្យ
	👨🏿‍🏫;លោកគ្រូ: សម្បុរខ្មៅ;គ្រូ|បុរស|ប្រុស|លោកគ្រូ|លោកគ្រូ: សម្បុរខ្មៅ|សម្បុរខ្មៅ|សាស្ត្រាចារ្យ
👩‍🏫;អ្នកគ្រូ;គ្រូ|នារី|សាស្ត្រាចារ្យ|ស្រី|អ្នកគ្រូ
	👩🏻‍🏫;អ្នកគ្រូ: សម្បុរស;គ្រូ|នារី|សម្បុរស|សាស្ត្រាចារ្យ|ស្រី|អ្នកគ្រូ|អ្នកគ្រូ: សម្បុរស
	👩🏼‍🏫;អ្នកគ្រូ: សម្បុរសល្មម;គ្រូ|នារី|សម្បុរសល្មម|សាស្ត្រាចារ្យ|ស្រី|អ្នកគ្រូ|អ្នកគ្រូ: សម្បុរសល្មម
	👩🏽‍🏫;អ្នកគ្រូ: សម្បុរស្រអែម;គ្រូ|នារី|សម្បុរស្រអែម|សាស្ត្រាចារ្យ|ស្រី|អ្នកគ្រូ|អ្នកគ្រូ: សម្បុរស្រអែម
	👩🏾‍🏫;អ្នកគ្រូ: សម្បុរខ្មៅល្មម;គ្រូ|នារី|សម្បុរខ្មៅល្មម|សាស្ត្រាចារ្យ|ស្រី|អ្នកគ្រូ|អ្នកគ្រូ: សម្បុរខ្មៅល្មម
	👩🏿‍🏫;អ្នកគ្រូ: សម្បុរខ្មៅ;គ្រូ|នារី|សម្បុរខ្មៅ|សាស្ត្រាចារ្យ|ស្រី|អ្នកគ្រូ|អ្នកគ្រូ: សម្បុរខ្មៅ
🧑‍⚖️;ចៅក្រម;ចៅក្រម|ជញ្ជីង
	🧑🏻‍⚖️;ចៅក្រម: សម្បុរស;ចៅក្រម|ចៅក្រម: សម្បុរស|ជញ្ជីង|សម្បុរស
	🧑🏼‍⚖️;ចៅក្រម: សម្បុរសល្មម;ចៅក្រម|ចៅក្រម: សម្បុរសល្មម|ជញ្ជីង|សម្បុរសល្មម
	🧑🏽‍⚖️;ចៅក្រម: សម្បុរស្រអែម;ចៅក្រម|ចៅក្រម: សម្បុរស្រអែម|ជញ្ជីង|សម្បុរស្រអែម
	🧑🏾‍⚖️;ចៅក្រម: សម្បុរខ្មៅល្មម;ចៅក្រម|ចៅក្រម: សម្បុរខ្មៅល្មម|ជញ្ជីង|សម្បុរខ្មៅល្មម
	🧑🏿‍⚖️;ចៅក្រម: សម្បុរខ្មៅ;ចៅក្រម|ចៅក្រម: សម្បុរខ្មៅ|ជញ្ជីង|សម្បុរខ្មៅ
👨‍⚖️;ចៅក្រុមប្រុស;ចៅក្រម|ចៅក្រុមប្រុស|តុលាការ|បុរស|ប្រុស
	👨🏻‍⚖️;ចៅក្រុមប្រុស: សម្បុរស;ចៅក្រម|ចៅក្រុមប្រុស|ចៅក្រុមប្រុស: សម្បុរស|តុលាការ|បុរស|ប្រុស|សម្បុរស
	👨🏼‍⚖️;ចៅក្រុមប្រុស: សម្បុរសល្មម;ចៅក្រម|ចៅក្រុមប្រុស|ចៅក្រុមប្រុស: សម្បុរសល្មម|តុលាការ|បុរស|ប្រុស|សម្បុរសល្មម
	👨🏽‍⚖️;ចៅក្រុមប្រុស: សម្បុរស្រអែម;ចៅក្រម|ចៅក្រុមប្រុស|ចៅក្រុមប្រុស: សម្បុរស្រអែម|តុលាការ|បុរស|ប្រុស|សម្បុរស្រអែម
	👨🏾‍⚖️;ចៅក្រុមប្រុស: សម្បុរខ្មៅល្មម;ចៅក្រម|ចៅក្រុមប្រុស|ចៅក្រុមប្រុស: សម្បុរខ្មៅល្មម|តុលាការ|បុរស|ប្រុស|សម្បុរខ្មៅល្មម
	👨🏿‍⚖️;ចៅក្រុមប្រុស: សម្បុរខ្មៅ;ចៅក្រម|ចៅក្រុមប្រុស|ចៅក្រុមប្រុស: សម្បុរខ្មៅ|តុលាការ|បុរស|ប្រុស|សម្បុរខ្មៅ
👩‍⚖️;ចៅក្រុមស្រី;ចៅក្រម|ចៅក្រុមស្រី|តុលាការ|នារី|ស្រី
	👩🏻‍⚖️;ចៅក្រុមស្រី: សម្បុរស;ចៅក្រម|ចៅក្រុមស្រី|ចៅក្រុមស្រី: សម្បុរស|តុលាការ|នារី|សម្បុរស|ស្រី
	👩🏼‍⚖️;ចៅក្រុមស្រី: សម្បុរសល្មម;ចៅក្រម|ចៅក្រុមស្រី|ចៅក្រុមស្រី: សម្បុរសល្មម|តុលាការ|នារី|សម្បុរសល្មម|ស្រី
	👩🏽‍⚖️;ចៅក្រុមស្រី: សម្បុរស្រអែម;ចៅក្រម|ចៅក្រុមស្រី|ចៅក្រុមស្រី: សម្បុរស្រអែម|តុលាការ|នារី|សម្បុរស្រអែម|ស្រី
	👩🏾‍⚖️;ចៅក្រុមស្រី: សម្បុរខ្មៅល្មម;ចៅក្រម|ចៅក្រុមស្រី|ចៅក្រុមស្រី: សម្បុរខ្មៅល្មម|តុលាការ|នារី|សម្បុរខ្មៅល្មម|ស្រី
	👩🏿‍⚖️;ចៅក្រុមស្រី: សម្បុរខ្មៅ;ចៅក្រម|ចៅក្រុមស្រី|ចៅក្រុមស្រី: សម្បុរខ្មៅ|តុលាការ|នារី|សម្បុរខ្មៅ|ស្រី
🧑‍🌾;កសិករ;កសិករ|ម្ចាស់កសិដ្ឋាន|អ្នកថែសួន
	🧑🏻‍🌾;កសិករ: សម្បុរស;កសិករ|កសិករ: សម្បុរស|ម្ចាស់កសិដ្ឋាន|សម្បុរស|អ្នកថែសួន
	🧑🏼‍🌾;កសិករ: សម្បុរសល្មម;កសិករ|កសិករ: សម្បុរសល្មម|ម្ចាស់កសិដ្ឋាន|សម្បុរសល្មម|អ្នកថែសួន
	🧑🏽‍🌾;កសិករ: សម្បុរស្រអែម;កសិករ|កសិករ: សម្បុរស្រអែម|ម្ចាស់កសិដ្ឋាន|សម្បុរស្រអែម|អ្នកថែសួន
	🧑🏾‍🌾;កសិករ: សម្បុរខ្មៅល្មម;កសិករ|កសិករ: សម្បុរខ្មៅល្មម|ម្ចាស់កសិដ្ឋាន|សម្បុរខ្មៅល្មម|អ្នកថែសួន
	🧑🏿‍🌾;កសិករ: សម្បុរខ្មៅ;កសិករ|កសិករ: សម្បុរខ្មៅ|ម្ចាស់កសិដ្ឋាន|សម្បុរខ្មៅ|អ្នកថែសួន
👨‍🌾;កសិករប្រុស;កសិករ|កសិករប្រុស|បុរស|ប្រុស|អ្នកចម្ការ
	👨🏻‍🌾;កសិករប្រុស: សម្បុរស;កសិករ|កសិករប្រុស|កសិករប្រុស: សម្បុរស|បុរស|ប្រុស|សម្បុរស|អ្នកចម្ការ
	👨🏼‍🌾;កសិករប្រុស: សម្បុរសល្មម;កសិករ|កសិករប្រុស|កសិករប្រុស: សម្បុរសល្មម|បុរស|ប្រុស|សម្បុរសល្មម|អ្នកចម្ការ
	👨🏽‍🌾;កសិករប្រុស: សម្បុរស្រអែម;កសិករ|កសិករប្រុស|កសិករប្រុស: សម្បុរស្រអែម|បុរស|ប្រុស|សម្បុរស្រអែម|អ្នកចម្ការ
	👨🏾‍🌾;កសិករប្រុស: សម្បុរខ្មៅល្មម;កសិករ|កសិករប្រុស|កសិករប្រុស: សម្បុរខ្មៅល្មម|បុរស|ប្រុស|សម្បុរខ្មៅល្មម|អ្នកចម្ការ
	👨🏿‍🌾;កសិករប្រុស: សម្បុរខ្មៅ;កសិករ|កសិករប្រុស|កសិករប្រុស: សម្បុរខ្មៅ|បុរស|ប្រុស|សម្បុរខ្មៅ|អ្នកចម្ការ
👩‍🌾;កសិករស្រី;កសិករ|កសិករស្រី|ស្ត្រី|ស្រី|អ្នកចម្ការ
	👩🏻‍🌾;កសិករស្រី: សម្បុរស;កសិករ|កសិករស្រី|កសិករស្រី: សម្បុរស|សម្បុរស|ស្ត្រី|ស្រី|អ្នកចម្ការ
	👩🏼‍🌾;កសិករស្រី: សម្បុរសល្មម;កសិករ|កសិករស្រី|កសិករស្រី: សម្បុរសល្មម|សម្បុរសល្មម|ស្ត្រី|ស្រី|អ្នកចម្ការ
	👩🏽‍🌾;កសិករស្រី: សម្បុរស្រអែម;កសិករ|កសិករស្រី|កសិករស្រី: សម្បុរស្រអែម|សម្បុរស្រអែម|ស្ត្រី|ស្រី|អ្នកចម្ការ
	👩🏾‍🌾;កសិករស្រី: សម្បុរខ្មៅល្មម;កសិករ|កសិករស្រី|កសិករស្រី: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម|ស្ត្រី|ស្រី|អ្នកចម្ការ
	👩🏿‍🌾;កសិករស្រី: សម្បុរខ្មៅ;កសិករ|កសិករស្រី|កសិករស្រី: សម្បុរខ្មៅ|សម្បុរខ្មៅ|ស្ត្រី|ស្រី|អ្នកចម្ការ
🧑‍🍳;ចុងភៅ;ចុងភៅ|មេចុងភៅ
	🧑🏻‍🍳;ចុងភៅ: សម្បុរស;ចុងភៅ|ចុងភៅ: សម្បុរស|មេចុងភៅ|សម្បុរស
	🧑🏼‍🍳;ចុងភៅ: សម្បុរសល្មម;ចុងភៅ|ចុងភៅ: សម្បុរសល្មម|មេចុងភៅ|សម្បុរសល្មម
	🧑🏽‍🍳;ចុងភៅ: សម្បុរស្រអែម;ចុងភៅ|ចុងភៅ: សម្បុរស្រអែម|មេចុងភៅ|សម្បុរស្រអែម
	🧑🏾‍🍳;ចុងភៅ: សម្បុរខ្មៅល្មម;ចុងភៅ|ចុងភៅ: សម្បុរខ្មៅល្មម|មេចុងភៅ|សម្បុរខ្មៅល្មម
	🧑🏿‍🍳;ចុងភៅ: សម្បុរខ្មៅ;ចុងភៅ|ចុងភៅ: សម្បុរខ្មៅ|មេចុងភៅ|សម្បុរខ្មៅ
👨‍🍳;ចុងភៅប្រុស;ចុងភៅ|ចុងភៅប្រុស|បុរស|ប្រុស|អ្នកចម្អិនអាហារ
	👨🏻‍🍳;ចុងភៅប្រុស: សម្បុរស;ចុងភៅ|ចុងភៅប្រុស|ចុងភៅប្រុស: សម្បុរស|បុរស|ប្រុស|សម្បុរស|អ្នកចម្អិនអាហារ
	👨🏼‍🍳;ចុងភៅប្រុស: សម្បុរសល្មម;ចុងភៅ|ចុងភៅប្រុស|ចុងភៅប្រុស: សម្បុរសល្មម|បុរស|ប្រុស|សម្បុរសល្មម|អ្នកចម្អិនអាហារ
	👨🏽‍🍳;ចុងភៅប្រុស: សម្បុរស្រអែម;ចុងភៅ|ចុងភៅប្រុស|ចុងភៅប្រុស: សម្បុរស្រអែម|បុរស|ប្រុស|សម្បុរស្រអែម|អ្នកចម្អិនអាហារ
	👨🏾‍🍳;ចុងភៅប្រុស: សម្បុរខ្មៅល្មម;ចុងភៅ|ចុងភៅប្រុស|ចុងភៅប្រុស: សម្បុរខ្មៅល្មម|បុរស|ប្រុស|សម្បុរខ្មៅល្មម|អ្នកចម្អិនអាហារ
	👨🏿‍🍳;ចុងភៅប្រុស: សម្បុរខ្មៅ;ចុងភៅ|ចុងភៅប្រុស|ចុងភៅប្រុស: សម្បុរខ្មៅ|បុរស|ប្រុស|សម្បុរខ្មៅ|អ្នកចម្អិនអាហារ
👩‍🍳;ចុងភៅស្រី;ចុងភៅ|ចុងភៅស្រី|នារី|ស្រី|អ្នកចម្អិនអាហារ
	👩🏻‍🍳;ចុងភៅស្រី: សម្បុរស;ចុងភៅ|ចុងភៅស្រី|ចុងភៅស្រី: សម្បុរស|នារី|សម្បុរស|ស្រី|អ្នកចម្អិនអាហារ
	👩🏼‍🍳;ចុងភៅស្រី: សម្បុរសល្មម;ចុងភៅ|ចុងភៅស្រី|ចុងភៅស្រី: សម្បុរសល្មម|នារី|សម្បុរសល្មម|ស្រី|អ្នកចម្អិនអាហារ
	👩🏽‍🍳;ចុងភៅស្រី: សម្បុរស្រអែម;ចុងភៅ|ចុងភៅស្រី|ចុងភៅស្រី: សម្បុរស្រអែម|នារី|សម្បុរស្រអែម|ស្រី|អ្នកចម្អិនអាហារ
	👩🏾‍🍳;ចុងភៅស្រី: សម្បុរខ្មៅល្មម;ចុងភៅ|ចុងភៅស្រី|ចុងភៅស្រី: សម្បុរខ្មៅល្មម|នារី|សម្បុរខ្មៅល្មម|ស្រី|អ្នកចម្អិនអាហារ
	👩🏿‍🍳;ចុងភៅស្រី: សម្បុរខ្មៅ;ចុងភៅ|ចុងភៅស្រី|ចុងភៅស្រី: សម្បុរខ្មៅ|នារី|សម្បុរខ្មៅ|ស្រី|អ្នកចម្អិនអាហារ
🧑‍🔧;ជាងម៉ាស៊ីន;ជាងទុយោ|ជាងម៉ាស៊ីន|ជាងអគ្គិសនី|ឈ្មួញ
	🧑🏻‍🔧;ជាងម៉ាស៊ីន: សម្បុរស;ជាងទុយោ|ជាងម៉ាស៊ីន|ជាងម៉ាស៊ីន: សម្បុរស|ជាងអគ្គិសនី|ឈ្មួញ|សម្បុរស
	🧑🏼‍🔧;ជាងម៉ាស៊ីន: សម្បុរសល្មម;ជាងទុយោ|ជាងម៉ាស៊ីន|ជាងម៉ាស៊ីន: សម្បុរសល្មម|ជាងអគ្គិសនី|ឈ្មួញ|សម្បុរសល្មម
	🧑🏽‍🔧;ជាងម៉ាស៊ីន: សម្បុរស្រអែម;ជាងទុយោ|ជាងម៉ាស៊ីន|ជាងម៉ាស៊ីន: សម្បុរស្រអែម|ជាងអគ្គិសនី|ឈ្មួញ|សម្បុរស្រអែម
	🧑🏾‍🔧;ជាងម៉ាស៊ីន: សម្បុរខ្មៅល្មម;ជាងទុយោ|ជាងម៉ាស៊ីន|ជាងម៉ាស៊ីន: សម្បុរខ្មៅល្មម|ជាងអគ្គិសនី|ឈ្មួញ|សម្បុរខ្មៅល្មម
	🧑🏿‍🔧;ជាងម៉ាស៊ីន: សម្បុរខ្មៅ;ជាងទុយោ|ជាងម៉ាស៊ីន|ជាងម៉ាស៊ីន: សម្បុរខ្មៅ|ជាងអគ្គិសនី|ឈ្មួញ|សម្បុរខ្មៅ
👨‍🔧;ជាងម៉ាស៊ីនប្រុស;ជាង|ជាងទុយោ|ជាងភ្លើង|ជាងម៉ាស៊ីន|ជាងម៉ាស៊ីនប្រុស|ឈ្មួញ|បុរស|ប្រុស
	👨🏻‍🔧;ជាងម៉ាស៊ីនប្រុស: សម្បុរស;ជាង|ជាងទុយោ|ជាងភ្លើង|ជាងម៉ាស៊ីន|ជាងម៉ាស៊ីនប្រុស|ជាងម៉ាស៊ីនប្រុស: សម្បុរស|ឈ្មួញ|បុរស|ប្រុស|សម្បុរស
	👨🏼‍🔧;ជាងម៉ាស៊ីនប្រុស: សម្បុរសល្មម;ជាង|ជាងទុយោ|ជាងភ្លើង|ជាងម៉ាស៊ីន|ជាងម៉ាស៊ីនប្រុស|ជាងម៉ាស៊ីនប្រុស: សម្បុរសល្មម|ឈ្មួញ|បុរស|ប្រុស|សម្បុរសល្មម
	👨🏽‍🔧;ជាងម៉ាស៊ីនប្រុស: សម្បុរស្រអែម;ជាង|ជាងទុយោ|ជាងភ្លើង|ជាងម៉ាស៊ីន|ជាងម៉ាស៊ីនប្រុស|ជាងម៉ាស៊ីនប្រុស: សម្បុរស្រអែម|ឈ្មួញ|បុរស|ប្រុស|សម្បុរស្រអែម
	👨🏾‍🔧;ជាងម៉ាស៊ីនប្រុស: សម្បុរខ្មៅល្មម;ជាង|ជាងទុយោ|ជាងភ្លើង|ជាងម៉ាស៊ីន|ជាងម៉ាស៊ីនប្រុស|ជាងម៉ាស៊ីនប្រុស: សម្បុរខ្មៅល្មម|ឈ្មួញ|បុរស|ប្រុស|សម្បុរខ្មៅល្មម
	👨🏿‍🔧;ជាងម៉ាស៊ីនប្រុស: សម្បុរខ្មៅ;ជាង|ជាងទុយោ|ជាងភ្លើង|ជាងម៉ាស៊ីន|ជាងម៉ាស៊ីនប្រុស|ជាងម៉ាស៊ីនប្រុស: សម្បុរខ្មៅ|ឈ្មួញ|បុរស|ប្រុស|សម្បុរខ្មៅ
