# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;មុខសើច;មុខ|មុខសើច|សើច
😶‍🌫️;មុខនៅក្នុងពពក;ក្បាលនៅក្នុងពពក|មុខនៅក្នុងពពក|មុខនៅក្នុងអ័ព្ទ|ស្លុងអារម្មណ៍
😏;មុខញញឹមចំអក;ចំអក|មុខញញឹមចំអក
😒;មុខស្រពោន;ទុក្ខព្រួយ|មិនសប្បាយចិត្ត|មុខស្រពោន|ស្រពោន
🙄;មុខធ្វើភ្នែកក្រឡេបក្រឡាប់;ក្រឡេបក្រឡាប់|ភ្នែក|មុខធ្វើភ្នែកក្រឡេបក្រឡាប់
😬;មុខស្អេញស្អូញ;ញេញធ្មេញ|ធ្មេញ|មុខស្អេញស្អូញ|ស្អេញ
😮‍💨;មុខដកដង្ហើមចេញ;ខួច|ខ្សឹប|ដកដង្ហើមចេញ|ដង្ហក់|ថ្ងូរ|ធូរចិត្ត|មុខដកដង្ហើមចេញ
🤥;មុខកុហក;pinocchio|កុហក|មុខ|មុខកុហក
🫨;មុខញ័រ;ញ័រ|ញាក់|មុខ|មុខញ័រ|រញ្ជួយដី|រលាក់
🙂‍↔️;គ្រវីក្បាល;គ្រវីក្បាល|គ្រវីក្បាលឆ្វេងស្ដាំ|គ្រវីក្បាលតាមខ្សែផ្ដេក
🙂‍↕️;ងក់ក្បាល;ងក់ក្បាល|ងក់ក្បាលតាមខ្សែបញ្ឈរ|ងាកក្បាលចុះឡើង
😌;មុខធូរស្រាលរឿងអ្វីមួយ;ធូរស្រាល|មុខធូរស្រាលរឿងអ្វីមួយ
😔;មុខក្រៀមក្រំ;ក្រៀមក្រំ|តូចចិត្ត|ធ្លាក់ទឹកមុខ|មុខក្រៀមក្រំ|អន់ចិត្ត
😪;មុខងងុយដេក;ងងុយ|ដេក|មុខងងុយដេក
🤤;មុខហៀរទឹកមាត់;មុខ|មុខហៀរទឹកមាត់|ហៀរទឹកមាត់
😴;មុខកំពុងគេង;គេង|ដេក|មុខកំពុងគេង|ស្រមុក
