# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;چىشلىق كۈلگەن چىراي;چىراي|چىشلىق|چىشلىق كۈلگەن چىراي
😃;ئاغزىنى ئېچىپ كۈلۈمسىرەش;ئاغزىنى ئېچىپ كۈلۈمسىرەش|ئوچۇق|ئېغىز|چىراي|كۈلۈش
😄;ئاغزىنى ئېچىپ كۈلۈمسىرىگەن چىراي;ئاغزىنى ئېچىپ كۈلۈمسىرىگەن چىراي|ئوچۇق|ئېغىز|چىراي|كۆز|كۈلۈش
😁;چىشىنى چىقىرىپ كۈلۈمسىرەش;چىراي|چىش|چىشىنى چىقىرىپ كۈلۈمسىرەش|كۆز|كۈلۈمسىرەش|مۈشۈك
😆;كۆزىنى يۇمۇپ ئاغزىنى ئېچىپ كۈلۈمسىرەش;ئوچۇق|ئېغىز|چىراي|رازى|كۆزىنى يۇمۇپ ئاغزىنى ئېچىپ كۈلۈمسىرەش|كۈلۈش|كۈلۈمسىرەش
😅;ئاغزىنى ئېچىپ سوغۇق تەرلەپ كۈلۈمسىرەش;ئاغزىنى ئېچىپ سوغۇق تەرلەپ كۈلۈمسىرەش|ئوچۇق|تەر|چىراي|سوغۇق|كۈلۈمسىرەش
🤣;كۈلۈپ يېتىۋېلىش;ئېغىناش|چىراي|كۈلۈپ يېتىۋېلىش|كۈلۈش|يەر
😂;خۇش ياش ئاققان چىراي;چىراي|خۇش|خۇش ياش ئاققان چىراي|كۈل|ياش
🙂;ئىللىق خۇش چىراي;ئىللىق خۇش چىراي|چىراي|كۈلۈمسىرەش
🙃;دۈم چىراي;چىراي|دۈم
🫠;;
😉;كۆز قىسىش;چىراي|قىسىش|كۆز قىسىش
😊;تەبەسسۇملۇق كۆز ۋە خۇش چىراي;تەبەسسۇملۇق كۆز ۋە خۇش چىراي|تەڭلىك|چىراي|كۆز|كۈلۈمسىرەش
😇;خۇش سالاملىق چىراي;پەرىشتە|چىراي|خۇش سالاملىق چىراي|رىۋايەت|سالام|سەمىمىي|فانتازىيە|كۈلۈمسىرەش
🥰;;
