# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ᎤᏤᏣᏍᏗ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏤᏣᏍᏗ ᎤᎧᏛ|ᎤᏰᏍᎩ
	👨🏾‍🏭;ᎠᏍᎦᏯ ᎤᏃᏢᏅᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏃᏢᏅᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏍᎦᏯ ᎤᏃᏢᏅᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎾᏓᏟᏌᎲ|ᎤᏃᏢᏅᏗ|ᏧᏂᎸᏫᏍᏓᏁᎯ|ᏧᏂᎸᏫᏍᏓᏁᏗ
	👨🏿‍🏭;ᎠᏍᎦᏯ ᎤᏃᏢᏅᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏃᏢᏅᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏍᎦᏯ ᎤᏃᏢᏅᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎾᏓᏟᏌᎲ|ᎤᏃᏢᏅᏗ|ᏧᏂᎸᏫᏍᏓᏁᎯ|ᏧᏂᎸᏫᏍᏓᏁᏗ
👩‍🏭;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᏂᎦᏓ ᏚᏂᎸᏫᏍᏓᏁᎲᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᎴᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏚᏙᏢᏒᎢ|ᏧᎸᏫᏍᏓᏁᎯ
	👩🏻‍🏭;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏂᎦᏓ ᏚᏂᎸᏫᏍᏓᏁᎲᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᎴᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏚᏙᏢᏒᎢ|ᏧᎸᏫᏍᏓᏁᎯ
	👩🏼‍🏭;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᏂᎦᏓ ᏚᏂᎸᏫᏍᏓᏁᎲᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᎴᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏚᏙᏢᏒᎢ|ᏧᎸᏫᏍᏓᏁᎯ
	👩🏽‍🏭;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏂᎦᏓ ᏚᏂᎸᏫᏍᏓᏁᎲᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᎴᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏚᏙᏢᏒᎢ|ᏧᎸᏫᏍᏓᏁᎯ
	👩🏾‍🏭;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏂᎦᏓ ᏚᏂᎸᏫᏍᏓᏁᎲᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᎴᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏚᏙᏢᏒᎢ|ᏧᎸᏫᏍᏓᏁᎯ
	👩🏿‍🏭;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏂᎦᏓ ᏚᏂᎸᏫᏍᏓᏁᎲᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᎴᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏚᏙᏢᏒᎢ|ᏧᎸᏫᏍᏓᏁᎯ
🧑‍💼;ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ;ᎠᏓᏅᏖᏟᏙᎯ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	🧑🏻‍💼;ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏓᏅᏖᏟᏙᎯ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	🧑🏼‍💼;ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏓᏅᏖᏟᏙᎯ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	🧑🏽‍💼;ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏓᏅᏖᏟᏙᎯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	🧑🏾‍💼;ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏓᏅᏖᏟᏙᎯ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	🧑🏿‍💼;ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏓᏅᏖᏟᏙᎯ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
👨‍💼;ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏓᏅᏖᏟᏙᎯ|ᎤᏁᎦ ᎤᎦᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᎤᏙᏢᏒ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👨🏻‍💼;ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎠᏓᏅᏖᏟᏙᎯ|ᎤᏁᎦ ᎤᎦᏝᏝᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᎤᏙᏢᏒ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👨🏼‍💼;ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎠᏓᏅᏖᏟᏙᎯ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏁᎦ ᎤᎦᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᎤᏙᏢᏒ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👨🏽‍💼;ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏓᏅᏖᏟᏙᎯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏁᎦ ᎤᎦᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᎤᏙᏢᏒ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👨🏾‍💼;ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏓᏅᏖᏟᏙᎯ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏁᎦ ᎤᎦᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᎤᏙᏢᏒ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👨🏿‍💼;ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏓᏅᏖᏟᏙᎯ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏁᎦ ᎤᎦᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᎤᏙᏢᏒ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
👩‍💼;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ|ᎠᏓᏅᏖᏟᏙᎯ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👩🏻‍💼;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎠᏓᏅᏖᏟᏙᎯ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👩🏼‍💼;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎠᏓᏅᏖᏟᏙᎯ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👩🏽‍💼;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏓᏅᏖᏟᏙᎯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👩🏾‍💼;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏓᏅᏖᏟᏙᎯ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👩🏿‍💼;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏓᏅᏖᏟᏙᎯ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
🧑‍🔬;ᎤᎦᏛᎲᏍᎩ;ᎤᎦᏛᎲᏍᎩ|ᎤᎦᏛᏂᏙᎯ|ᎬᏃᏓ ᎤᎦᏛᎲᏍᎩ|ᏗᏎᏍᏗ ᏧᎦᏎᏍᏗ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	🧑🏻‍🔬;ᎤᎦᏛᎲᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎤᎦᏛᎲᏍᎩ|ᎤᎦᏛᎲᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᎦᏛᏂᏙᎯ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎬᏃᏓ ᎤᎦᏛᎲᏍᎩ|ᏗᏎᏍᏗ ᏧᎦᏎᏍᏗ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	🧑🏼‍🔬;ᎤᎦᏛᎲᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᎦᏛᎲᏍᎩ|ᎤᎦᏛᎲᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᎦᏛᏂᏙᎯ|ᎬᏃᏓ ᎤᎦᏛᎲᏍᎩ|ᏗᏎᏍᏗ ᏧᎦᏎᏍᏗ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	🧑🏽‍🔬;ᎤᎦᏛᎲᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎦᏛᎲᏍᎩ|ᎤᎦᏛᎲᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎦᏛᏂᏙᎯ|ᎬᏃᏓ ᎤᎦᏛᎲᏍᎩ|ᏗᏎᏍᏗ ᏧᎦᏎᏍᏗ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	🧑🏾‍🔬;ᎤᎦᏛᎲᏍᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎦᏛᎲᏍᎩ|ᎤᎦᏛᎲᏍᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎦᏛᏂᏙᎯ|ᎬᏃᏓ ᎤᎦᏛᎲᏍᎩ|ᏗᏎᏍᏗ ᏧᎦᏎᏍᏗ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	🧑🏿‍🔬;ᎤᎦᏛᎲᏍᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎤᎦᏛᎲᏍᎩ|ᎤᎦᏛᎲᏍᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎦᏛᏂᏙᎯ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎬᏃᏓ ᎤᎦᏛᎲᏍᎩ|ᏗᏎᏍᏗ ᏧᎦᏎᏍᏗ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
👨‍🔬;ᎠᏍᎦᏯ ᎤᎦᏛᎲᏍᎩ;ᎠᏍᎦᏯ|ᎤᎦᏛᎲᏍᎩ|ᎤᎦᏛᏂᏙᎯ|ᏗᏎᏍᏗ ᏧᎦᏎᏍᏗ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👨🏻‍🔬;ᎠᏍᎦᏯ ᎤᎦᏛᎲᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᎦᏛᎲᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᎦᏛᎲᏍᎩ|ᎤᎦᏛᏂᏙᎯ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏗᏎᏍᏗ ᏧᎦᏎᏍᏗ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
