# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ᎤᏤᏣᏍᏗ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏤᏣᏍᏗ ᎤᎧᏛ|ᎤᏰᏍᎩ
😚;ᎠᏓᏔᏪᏙᏍᎩ ᎤᎧᏛ ᏚᎦᏔᏍᏛᎢ;ᎠᏓᏔᏪᏙᏍᎩ ᎤᎧᏛ ᏚᎦᏔᏍᏛᎢ|ᎠᏔᏪᏙᏅᎢ|ᎤᎧᏛ|ᏓᏍᏚᎭ|ᏗᎦᏔ
😙;ᎠᏓᏔᏪᏙᏍᎩ ᎤᎧᏛ ᎤᏤᏣᏍᏗ ᏗᎧᏂ;ᎠᎦᏘ|ᎠᏓᏔᏪᏙᏍᎩ ᎤᎧᏛ ᎤᏤᏣᏍᏗ ᏗᎧᏂ|ᎠᏓᏔᏪᏙᏗ|ᎤᎧᏛ|ᎤᏤᏣᏍᏗ
🥲;ᎭᏰᏍᎩ ᎤᎧᏛ ᎭᏠᏯᏍᏗ ᎤᏰᏍᎩ;ᎠᎵᎮᎵᎩ|ᎠᏓᏍᏕᎸᏗ|ᎤᎵᎮᎵᏍᏗ|ᎤᏒᏂᎸ|ᎤᏢᏉᏗ|ᎤᏰᏍᎩ|ᎭᏰᏍᎩ ᎤᎧᏛ ᎭᏠᏯᏍᏗ ᎤᏰᏍᎩ
😋;ᎤᎧᏛᎢ ᎠᏓᏍᏓᏴᎲᏍᎬ ᎤᎦᎾᏍᏛ ᎠᎵᏍᏓᏴᏗ;ᎣᏍᏓ ᎠᎩᏍᏗ|ᎣᏍᏓᎥᏰᎸᏍᎬᎢ|ᎤᎧᏛ|ᎤᎧᏛᎢ ᎠᏓᏍᏓᏴᎲᏍᎬ ᎤᎦᎾᏍᏛ ᎠᎵᏍᏓᏴᏗ|ᎤᏤᏣᏍᏗ|ᏴᎻ
😛;ᎤᎧᏛ ᎾᎿ ᎦᏅᎪ;ᎤᎧᏛ|ᎤᎧᏛ ᎾᎿ ᎦᏅᎪ|ᎦᏅᎪ
😜;ᏚᎦᏔᏍᏓ ᎤᎧᏛ ᎾᎿ ᎦᏅᎪ;ᎠᎦᏔᎾᏫᏍᎦ|ᎠᎦᏘ|ᎤᎧᏛ|ᎦᏅᎪ|ᎦᏪᏢᏅᏗ|ᏚᎦᏔᏍᏓ ᎤᎧᏛ ᎾᎿ ᎦᏅᎪ
🤪;ᎤᎷᎶᏨ ᎤᎧᏛ;ᎠᎦᏘ|ᎤᎷᎶᏨ|ᎤᎷᎶᏨ ᎤᎧᏛ|ᎤᏍᏗ|ᎤᏔᎾ
😝;ᏍᏈᏘ ᎤᎧᏛ ᎾᎿ ᎦᏅᎪ;ᎠᎦᏘ|ᎠᎩᏍᏗ|ᎤᎧᏛ|ᎤᏁᎩᏟᏗ|ᎦᏅᎪ|ᏍᏈᏘ ᎤᎧᏛ ᎾᎿ ᎦᏅᎪ
🤑;ᎠᏕᎳ-ᎠᎰᎵ ᎤᎧᏛ;ᎠᎰᎵ|ᎠᏕᎳ|ᎠᏕᎳ-ᎠᎰᎵ ᎤᎧᏛ|ᎤᎧᏛ
🤗;ᎠᏄᎩᏢᏍᎩ ᎤᎧᏛ;ᎠᏄᎩᏟᏗ|ᎠᏄᎩᏢᏍᎩ ᎤᎧᏛ|ᎠᏓᏄᎩᏢᏍᎩ|ᎤᎧᏛ
