# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;Ojú tó rẹ́rìn;fẹyín|ojú|Ojú tó rẹ́rìn
	🙋🏾‍♀️;obìnrin tí ń nawọ́ sókè: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|fọwọ́júwè|nawọ́ sókè|obìnrin|obìnrin tí ń nawọ́ sókè|obìnrin tí ń nawọ́ sókè: adúláwọ̀ díẹ̀
	🙋🏿‍♀️;obìnrin tí ń nawọ́ sókè: adúláwọ̀;adúláwọ̀|fọwọ́júwè|nawọ́ sókè|obìnrin|obìnrin tí ń nawọ́ sókè|obìnrin tí ń nawọ́ sókè: adúláwọ̀
🧏;odi;etí|gbọ́|odi|odí ènìyàn
	🧏🏻;odi: amọ́lára;amọ́lára|etí|gbọ́|odi|odí ènìyàn|odi: amọ́lára
	🧏🏼;odi: amọ́lára díẹ̀;amọ́lára díẹ̀|etí|gbọ́|odi|odí ènìyàn|odi: amọ́lára díẹ̀
	🧏🏽;odi: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|etí|gbọ́|odi|odí ènìyàn|odi: amọ́láwọ̀ díẹ̀
	🧏🏾;odi: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|etí|gbọ́|odi|odí ènìyàn|odi: adúláwọ̀ díẹ̀
	🧏🏿;odi: adúláwọ̀;adúláwọ̀|etí|gbọ́|odi|odí ènìyàn|odi: adúláwọ̀
🧏‍♂️;ọkùnrin adití;adití|ọkùnrin
	🧏🏻‍♂️;ọkùnrin adití: amọ́lára;adití|amọ́lára|ọkùnrin|ọkùnrin adití: amọ́lára
	🧏🏼‍♂️;ọkùnrin adití: amọ́lára díẹ̀;adití|amọ́lára díẹ̀|ọkùnrin|ọkùnrin adití: amọ́lára díẹ̀
	🧏🏽‍♂️;ọkùnrin adití: amọ́láwọ̀ díẹ̀;adití|amọ́láwọ̀ díẹ̀|ọkùnrin|ọkùnrin adití: amọ́láwọ̀ díẹ̀
	🧏🏾‍♂️;ọkùnrin adití: adúláwọ̀ díẹ̀;adití|adúláwọ̀ díẹ̀|ọkùnrin|ọkùnrin adití: adúláwọ̀ díẹ̀
	🧏🏿‍♂️;ọkùnrin adití: adúláwọ̀;adití|adúláwọ̀|ọkùnrin|ọkùnrin adití: adúláwọ̀
🧏‍♀️;obìnrin adití;adití|obìnrin
	🧏🏻‍♀️;obìnrin adití: amọ́lára;adití|amọ́lára|obìnrin|obìnrin adití: amọ́lára
	🧏🏼‍♀️;obìnrin adití: amọ́lára díẹ̀;adití|amọ́lára díẹ̀|obìnrin|obìnrin adití: amọ́lára díẹ̀
	🧏🏽‍♀️;obìnrin adití: amọ́láwọ̀ díẹ̀;adití|amọ́láwọ̀ díẹ̀|obìnrin|obìnrin adití: amọ́láwọ̀ díẹ̀
	🧏🏾‍♀️;obìnrin adití: adúláwọ̀ díẹ̀;adití|adúláwọ̀ díẹ̀|obìnrin|obìnrin adití: adúláwọ̀ díẹ̀
	🧏🏿‍♀️;obìnrin adití: adúláwọ̀;adití|adúláwọ̀|obìnrin|obìnrin adití: adúláwọ̀
🙇;Ẹni N Tẹriba;bẹ̀bẹ̀|Ẹni N Tẹriba|fọwọ́júwè|pẹ̀lẹ́|tẹríba
	🙇🏻;Ẹni N Tẹriba: amọ́lára;amọ́lára|bẹ̀bẹ̀|Ẹni N Tẹriba|Ẹni N Tẹriba: amọ́lára|fọwọ́júwè|pẹ̀lẹ́|tẹríba
	🙇🏼;Ẹni N Tẹriba: amọ́lára díẹ̀;amọ́lára díẹ̀|bẹ̀bẹ̀|Ẹni N Tẹriba|Ẹni N Tẹriba: amọ́lára díẹ̀|fọwọ́júwè|pẹ̀lẹ́|tẹríba
	🙇🏽;Ẹni N Tẹriba: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|bẹ̀bẹ̀|Ẹni N Tẹriba|Ẹni N Tẹriba: amọ́láwọ̀ díẹ̀|fọwọ́júwè|pẹ̀lẹ́|tẹríba
	🙇🏾;Ẹni N Tẹriba: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|bẹ̀bẹ̀|Ẹni N Tẹriba|Ẹni N Tẹriba: adúláwọ̀ díẹ̀|fọwọ́júwè|pẹ̀lẹ́|tẹríba
	🙇🏿;Ẹni N Tẹriba: adúláwọ̀;adúláwọ̀|bẹ̀bẹ̀|Ẹni N Tẹriba|Ẹni N Tẹriba: adúláwọ̀|fọwọ́júwè|pẹ̀lẹ́|tẹríba
🙇‍♂️;ọkùnrin tí ń tẹríba;àànú|bẹ̀bẹ̀|fọwọ́júwè|ọkùnrin|ọkùnrin tí ń tẹríba|pẹ̀lẹ́|títẹríba
	🙇🏻‍♂️;ọkùnrin tí ń tẹríba: amọ́lára;àànú|amọ́lára|bẹ̀bẹ̀|fọwọ́júwè|ọkùnrin|ọkùnrin tí ń tẹríba|ọkùnrin tí ń tẹríba: amọ́lára|pẹ̀lẹ́|títẹríba
	🙇🏼‍♂️;ọkùnrin tí ń tẹríba: amọ́lára díẹ̀;àànú|amọ́lára díẹ̀|bẹ̀bẹ̀|fọwọ́júwè|ọkùnrin|ọkùnrin tí ń tẹríba|ọkùnrin tí ń tẹríba: amọ́lára díẹ̀|pẹ̀lẹ́|títẹríba
	🙇🏽‍♂️;ọkùnrin tí ń tẹríba: amọ́láwọ̀ díẹ̀;àànú|amọ́láwọ̀ díẹ̀|bẹ̀bẹ̀|fọwọ́júwè|ọkùnrin|ọkùnrin tí ń tẹríba|ọkùnrin tí ń tẹríba: amọ́láwọ̀ díẹ̀|pẹ̀lẹ́|títẹríba
	🙇🏾‍♂️;ọkùnrin tí ń tẹríba: adúláwọ̀ díẹ̀;àànú|adúláwọ̀ díẹ̀|bẹ̀bẹ̀|fọwọ́júwè|ọkùnrin|ọkùnrin tí ń tẹríba|ọkùnrin tí ń tẹríba: adúláwọ̀ díẹ̀|pẹ̀lẹ́|títẹríba
	🙇🏿‍♂️;ọkùnrin tí ń tẹríba: adúláwọ̀;àànú|adúláwọ̀|bẹ̀bẹ̀|fọwọ́júwè|ọkùnrin|ọkùnrin tí ń tẹríba|ọkùnrin tí ń tẹríba: adúláwọ̀|pẹ̀lẹ́|títẹríba
🙇‍♀️;obìnrin tí ń tẹríba;àànú|bẹ̀bẹ̀|fọwọ́júwè|obìnrin|obìnrin tí ń tẹríba|pẹ̀lẹ́|títẹríba
	🙇🏻‍♀️;obìnrin tí ń tẹríba: amọ́lára;àànú|amọ́lára|bẹ̀bẹ̀|fọwọ́júwè|obìnrin|obìnrin tí ń tẹríba|obìnrin tí ń tẹríba: amọ́lára|pẹ̀lẹ́|títẹríba
	🙇🏼‍♀️;obìnrin tí ń tẹríba: amọ́lára díẹ̀;àànú|amọ́lára díẹ̀|bẹ̀bẹ̀|fọwọ́júwè|obìnrin|obìnrin tí ń tẹríba|obìnrin tí ń tẹríba: amọ́lára díẹ̀|pẹ̀lẹ́|títẹríba
	🙇🏽‍♀️;obìnrin tí ń tẹríba: amọ́láwọ̀ díẹ̀;àànú|amọ́láwọ̀ díẹ̀|bẹ̀bẹ̀|fọwọ́júwè|obìnrin|obìnrin tí ń tẹríba|obìnrin tí ń tẹríba: amọ́láwọ̀ díẹ̀|pẹ̀lẹ́|títẹríba
	🙇🏾‍♀️;obìnrin tí ń tẹríba: adúláwọ̀ díẹ̀;àànú|adúláwọ̀ díẹ̀|bẹ̀bẹ̀|fọwọ́júwè|obìnrin|obìnrin tí ń tẹríba|obìnrin tí ń tẹríba: adúláwọ̀ díẹ̀|pẹ̀lẹ́|títẹríba
	🙇🏿‍♀️;obìnrin tí ń tẹríba: adúláwọ̀;àànú|adúláwọ̀|bẹ̀bẹ̀|fọwọ́júwè|obìnrin|obìnrin tí ń tẹríba|obìnrin tí ń tẹríba: adúláwọ̀|pẹ̀lẹ́|títẹríba
🤦;Ẹni Fọwọ Boju;àìgbàgbọ́|àtẹ́lẹ́ ọwa|Ẹni Fọwọ Boju|ìkórira|ojú
	🤦🏻;Ẹni Fọwọ Boju: amọ́lára;àìgbàgbọ́|amọ́lára|àtẹ́lẹ́ ọwa|Ẹni Fọwọ Boju|Ẹni Fọwọ Boju: amọ́lára|ìkórira|ojú
	🤦🏼;Ẹni Fọwọ Boju: amọ́lára díẹ̀;àìgbàgbọ́|amọ́lára díẹ̀|àtẹ́lẹ́ ọwa|Ẹni Fọwọ Boju|Ẹni Fọwọ Boju: amọ́lára díẹ̀|ìkórira|ojú
	🤦🏽;Ẹni Fọwọ Boju: amọ́láwọ̀ díẹ̀;àìgbàgbọ́|amọ́láwọ̀ díẹ̀|àtẹ́lẹ́ ọwa|Ẹni Fọwọ Boju|Ẹni Fọwọ Boju: amọ́láwọ̀ díẹ̀|ìkórira|ojú
	🤦🏾;Ẹni Fọwọ Boju: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|àìgbàgbọ́|àtẹ́lẹ́ ọwa|Ẹni Fọwọ Boju|Ẹni Fọwọ Boju: adúláwọ̀ díẹ̀|ìkórira|ojú
	🤦🏿;Ẹni Fọwọ Boju: adúláwọ̀;adúláwọ̀|àìgbàgbọ́|àtẹ́lẹ́ ọwa|Ẹni Fọwọ Boju|Ẹni Fọwọ Boju: adúláwọ̀|ìkórira|ojú
🤦‍♂️;ọkùnrin tín fọwọ́bojú;àìgbàgbọ́|fọwọ́bojú|ìkórira|okùnrin|ọkùnrin tín fọwọ́bojú
	🤦🏻‍♂️;ọkùnrin tín fọwọ́bojú: amọ́lára;àìgbàgbọ́|amọ́lára|fọwọ́bojú|ìkórira|okùnrin|ọkùnrin tín fọwọ́bojú|ọkùnrin tín fọwọ́bojú: amọ́lára
	🤦🏼‍♂️;ọkùnrin tín fọwọ́bojú: amọ́lára díẹ̀;àìgbàgbọ́|amọ́lára díẹ̀|fọwọ́bojú|ìkórira|okùnrin|ọkùnrin tín fọwọ́bojú|ọkùnrin tín fọwọ́bojú: amọ́lára díẹ̀
	🤦🏽‍♂️;ọkùnrin tín fọwọ́bojú: amọ́láwọ̀ díẹ̀;àìgbàgbọ́|amọ́láwọ̀ díẹ̀|fọwọ́bojú|ìkórira|okùnrin|ọkùnrin tín fọwọ́bojú|ọkùnrin tín fọwọ́bojú: amọ́láwọ̀ díẹ̀
	🤦🏾‍♂️;ọkùnrin tín fọwọ́bojú: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|àìgbàgbọ́|fọwọ́bojú|ìkórira|okùnrin|ọkùnrin tín fọwọ́bojú|ọkùnrin tín fọwọ́bojú: adúláwọ̀ díẹ̀
	🤦🏿‍♂️;ọkùnrin tín fọwọ́bojú: adúláwọ̀;adúláwọ̀|àìgbàgbọ́|fọwọ́bojú|ìkórira|okùnrin|ọkùnrin tín fọwọ́bojú|ọkùnrin tín fọwọ́bojú: adúláwọ̀
🤦‍♀️;obìnrí tín fọwọ́bojú;àìgbàgbọ́|fọwọ́bojú|ìkórira|obìnrí tín fọwọ́bojú|obìnrin
	🤦🏻‍♀️;obìnrí tín fọwọ́bojú: amọ́lára;àìgbàgbọ́|amọ́lára|fọwọ́bojú|ìkórira|obìnrí tín fọwọ́bojú|obìnrí tín fọwọ́bojú: amọ́lára|obìnrin
	🤦🏼‍♀️;obìnrí tín fọwọ́bojú: amọ́lára díẹ̀;àìgbàgbọ́|amọ́lára díẹ̀|fọwọ́bojú|ìkórira|obìnrí tín fọwọ́bojú|obìnrí tín fọwọ́bojú: amọ́lára díẹ̀|obìnrin
	🤦🏽‍♀️;obìnrí tín fọwọ́bojú: amọ́láwọ̀ díẹ̀;àìgbàgbọ́|amọ́láwọ̀ díẹ̀|fọwọ́bojú|ìkórira|obìnrí tín fọwọ́bojú|obìnrí tín fọwọ́bojú: amọ́láwọ̀ díẹ̀|obìnrin
	🤦🏾‍♀️;obìnrí tín fọwọ́bojú: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|àìgbàgbọ́|fọwọ́bojú|ìkórira|obìnrí tín fọwọ́bojú|obìnrí tín fọwọ́bojú: adúláwọ̀ díẹ̀|obìnrin
	🤦🏿‍♀️;obìnrí tín fọwọ́bojú: adúláwọ̀;adúláwọ̀|àìgbàgbọ́|fọwọ́bojú|ìkórira|obìnrí tín fọwọ́bojú|obìnrí tín fọwọ́bojú: adúláwọ̀|obìnrin
🤷;Ẹni N Gunpa;àìmọ̀kan|àìnání|Ẹni N Gunpa|gúnpá|iyèméjì
	🤷🏻;Ẹni N Gunpa: amọ́lára;àìmọ̀kan|àìnání|amọ́lára|Ẹni N Gunpa|Ẹni N Gunpa: amọ́lára|gúnpá|iyèméjì
	🤷🏼;Ẹni N Gunpa: amọ́lára díẹ̀;àìmọ̀kan|àìnání|amọ́lára díẹ̀|Ẹni N Gunpa|Ẹni N Gunpa: amọ́lára díẹ̀|gúnpá|iyèméjì
	🤷🏽;Ẹni N Gunpa: amọ́láwọ̀ díẹ̀;àìmọ̀kan|àìnání|amọ́láwọ̀ díẹ̀|Ẹni N Gunpa|Ẹni N Gunpa: amọ́láwọ̀ díẹ̀|gúnpá|iyèméjì
	🤷🏾;Ẹni N Gunpa: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|àìmọ̀kan|àìnání|Ẹni N Gunpa|Ẹni N Gunpa: adúláwọ̀ díẹ̀|gúnpá|iyèméjì
	🤷🏿;Ẹni N Gunpa: adúláwọ̀;adúláwọ̀|àìmọ̀kan|àìnání|Ẹni N Gunpa|Ẹni N Gunpa: adúláwọ̀|gúnpá|iyèméjì
🤷‍♂️;ọkùnrin tí ń gúnpá;àìmọ̀kan|àìnání|gúnpá|iyèméjì|ọkùnrin|ọkùnrin tí ń gúnpá
	🤷🏻‍♂️;ọkùnrin tí ń gúnpá: amọ́lára;àìmọ̀kan|àìnání|amọ́lára|gúnpá|iyèméjì|ọkùnrin|ọkùnrin tí ń gúnpá|ọkùnrin tí ń gúnpá: amọ́lára
	🤷🏼‍♂️;ọkùnrin tí ń gúnpá: amọ́lára díẹ̀;àìmọ̀kan|àìnání|amọ́lára díẹ̀|gúnpá|iyèméjì|ọkùnrin|ọkùnrin tí ń gúnpá|ọkùnrin tí ń gúnpá: amọ́lára díẹ̀
	🤷🏽‍♂️;ọkùnrin tí ń gúnpá: amọ́láwọ̀ díẹ̀;àìmọ̀kan|àìnání|amọ́láwọ̀ díẹ̀|gúnpá|iyèméjì|ọkùnrin|ọkùnrin tí ń gúnpá|ọkùnrin tí ń gúnpá: amọ́láwọ̀ díẹ̀
	🤷🏾‍♂️;ọkùnrin tí ń gúnpá: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|àìmọ̀kan|àìnání|gúnpá|iyèméjì|ọkùnrin|ọkùnrin tí ń gúnpá|ọkùnrin tí ń gúnpá: adúláwọ̀ díẹ̀
	🤷🏿‍♂️;ọkùnrin tí ń gúnpá: adúláwọ̀;adúláwọ̀|àìmọ̀kan|àìnání|gúnpá|iyèméjì|ọkùnrin|ọkùnrin tí ń gúnpá|ọkùnrin tí ń gúnpá: adúláwọ̀
🤷‍♀️;obìǹrin tí ń gúnpa;àìmọ̀kan|àìnánní|gúnpá|iyèméjì|obìnrin|obìǹrin tí ń gúnpa
	🤷🏻‍♀️;obìǹrin tí ń gúnpa: amọ́lára;àìmọ̀kan|àìnánní|amọ́lára|gúnpá|iyèméjì|obìnrin|obìǹrin tí ń gúnpa|obìǹrin tí ń gúnpa: amọ́lára
	🤷🏼‍♀️;obìǹrin tí ń gúnpa: amọ́lára díẹ̀;àìmọ̀kan|àìnánní|amọ́lára díẹ̀|gúnpá|iyèméjì|obìnrin|obìǹrin tí ń gúnpa|obìǹrin tí ń gúnpa: amọ́lára díẹ̀
	🤷🏽‍♀️;obìǹrin tí ń gúnpa: amọ́láwọ̀ díẹ̀;àìmọ̀kan|àìnánní|amọ́láwọ̀ díẹ̀|gúnpá|iyèméjì|obìnrin|obìǹrin tí ń gúnpa|obìǹrin tí ń gúnpa: amọ́láwọ̀ díẹ̀
	🤷🏾‍♀️;obìǹrin tí ń gúnpa: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|àìmọ̀kan|àìnánní|gúnpá|iyèméjì|obìnrin|obìǹrin tí ń gúnpa|obìǹrin tí ń gúnpa: adúláwọ̀ díẹ̀
	🤷🏿‍♀️;obìǹrin tí ń gúnpa: adúláwọ̀;adúláwọ̀|àìmọ̀kan|àìnánní|gúnpá|iyèméjì|obìnrin|obìǹrin tí ń gúnpa|obìǹrin tí ń gúnpa: adúláwọ̀
🧑‍⚕️;òṣìṣẹ́ ìlera;aṣèwòsàn nípasẹ̀ ìmọ̀ràn|dọ̀kítà|ìtọ́jú ìlera|nọ́ọ̀sì|òṣìṣẹ́ ìlera
	🧑🏻‍⚕️;òṣìṣẹ́ ìlera: amọ́lára;amọ́lára|aṣèwòsàn nípasẹ̀ ìmọ̀ràn|dọ̀kítà|ìtọ́jú ìlera|nọ́ọ̀sì|òṣìṣẹ́ ìlera|òṣìṣẹ́ ìlera: amọ́lára
	🧑🏼‍⚕️;òṣìṣẹ́ ìlera: amọ́lára díẹ̀;amọ́lára díẹ̀|aṣèwòsàn nípasẹ̀ ìmọ̀ràn|dọ̀kítà|ìtọ́jú ìlera|nọ́ọ̀sì|òṣìṣẹ́ ìlera|òṣìṣẹ́ ìlera: amọ́lára díẹ̀
	🧑🏽‍⚕️;òṣìṣẹ́ ìlera: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|aṣèwòsàn nípasẹ̀ ìmọ̀ràn|dọ̀kítà|ìtọ́jú ìlera|nọ́ọ̀sì|òṣìṣẹ́ ìlera|òṣìṣẹ́ ìlera: amọ́láwọ̀ díẹ̀
	🧑🏾‍⚕️;òṣìṣẹ́ ìlera: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|aṣèwòsàn nípasẹ̀ ìmọ̀ràn|dọ̀kítà|ìtọ́jú ìlera|nọ́ọ̀sì|òṣìṣẹ́ ìlera|òṣìṣẹ́ ìlera: adúláwọ̀ díẹ̀
	🧑🏿‍⚕️;òṣìṣẹ́ ìlera: adúláwọ̀;adúláwọ̀|aṣèwòsàn nípasẹ̀ ìmọ̀ràn|dọ̀kítà|ìtọ́jú ìlera|nọ́ọ̀sì|òṣìṣẹ́ ìlera|òṣìṣẹ́ ìlera: adúláwọ̀
👨‍⚕️;ọkùnrín òṣìṣẹ́ ètò ìlera;ajọ ìlera|dókítà|nọ́ọ̀sì|ọkùnrin|ọkùnrín òṣìṣẹ́ ètò ìlera|olùdámọ̀ràn
	👨🏻‍⚕️;ọkùnrín òṣìṣẹ́ ètò ìlera: amọ́lára;ajọ ìlera|amọ́lára|dókítà|nọ́ọ̀sì|ọkùnrin|ọkùnrín òṣìṣẹ́ ètò ìlera|ọkùnrín òṣìṣẹ́ ètò ìlera: amọ́lára|olùdámọ̀ràn
	👨🏼‍⚕️;ọkùnrín òṣìṣẹ́ ètò ìlera: amọ́lára díẹ̀;ajọ ìlera|amọ́lára díẹ̀|dókítà|nọ́ọ̀sì|ọkùnrin|ọkùnrín òṣìṣẹ́ ètò ìlera|ọkùnrín òṣìṣẹ́ ètò ìlera: amọ́lára díẹ̀|olùdámọ̀ràn
	👨🏽‍⚕️;ọkùnrín òṣìṣẹ́ ètò ìlera: amọ́láwọ̀ díẹ̀;ajọ ìlera|amọ́láwọ̀ díẹ̀|dókítà|nọ́ọ̀sì|ọkùnrin|ọkùnrín òṣìṣẹ́ ètò ìlera|ọkùnrín òṣìṣẹ́ ètò ìlera: amọ́láwọ̀ díẹ̀|olùdámọ̀ràn
	👨🏾‍⚕️;ọkùnrín òṣìṣẹ́ ètò ìlera: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ajọ ìlera|dókítà|nọ́ọ̀sì|ọkùnrin|ọkùnrín òṣìṣẹ́ ètò ìlera|ọkùnrín òṣìṣẹ́ ètò ìlera: adúláwọ̀ díẹ̀|olùdámọ̀ràn
	👨🏿‍⚕️;ọkùnrín òṣìṣẹ́ ètò ìlera: adúláwọ̀;adúláwọ̀|ajọ ìlera|dókítà|nọ́ọ̀sì|ọkùnrin|ọkùnrín òṣìṣẹ́ ètò ìlera|ọkùnrín òṣìṣẹ́ ètò ìlera: adúláwọ̀|olùdámọ̀ràn
👩‍⚕️;obìrin òṣìṣẹ́ ètò ìlera;ajọ ìlera|dókítà|nọ́ọ̀sì|obìrin|obìrin òṣìṣẹ́ ètò ìlera|olùdámọ̀ràn
	👩🏻‍⚕️;obìrin òṣìṣẹ́ ètò ìlera: amọ́lára;ajọ ìlera|amọ́lára|dókítà|nọ́ọ̀sì|obìrin|obìrin òṣìṣẹ́ ètò ìlera|obìrin òṣìṣẹ́ ètò ìlera: amọ́lára|olùdámọ̀ràn
	👩🏼‍⚕️;obìrin òṣìṣẹ́ ètò ìlera: amọ́lára díẹ̀;ajọ ìlera|amọ́lára díẹ̀|dókítà|nọ́ọ̀sì|obìrin|obìrin òṣìṣẹ́ ètò ìlera|obìrin òṣìṣẹ́ ètò ìlera: amọ́lára díẹ̀|olùdámọ̀ràn
	👩🏽‍⚕️;obìrin òṣìṣẹ́ ètò ìlera: amọ́láwọ̀ díẹ̀;ajọ ìlera|amọ́láwọ̀ díẹ̀|dókítà|nọ́ọ̀sì|obìrin|obìrin òṣìṣẹ́ ètò ìlera|obìrin òṣìṣẹ́ ètò ìlera: amọ́láwọ̀ díẹ̀|olùdámọ̀ràn
	👩🏾‍⚕️;obìrin òṣìṣẹ́ ètò ìlera: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ajọ ìlera|dókítà|nọ́ọ̀sì|obìrin|obìrin òṣìṣẹ́ ètò ìlera|obìrin òṣìṣẹ́ ètò ìlera: adúláwọ̀ díẹ̀|olùdámọ̀ràn
	👩🏿‍⚕️;obìrin òṣìṣẹ́ ètò ìlera: adúláwọ̀;adúláwọ̀|ajọ ìlera|dókítà|nọ́ọ̀sì|obìrin|obìrin òṣìṣẹ́ ètò ìlera|obìrin òṣìṣẹ́ ètò ìlera: adúláwọ̀|olùdámọ̀ràn
🧑‍🎓;akẹ́kọ̀ọ́;akẹ́kọ̀ọ́|akẹ́kọ̀ọ́gboyè
	🧑🏻‍🎓;akẹ́kọ̀ọ́: amọ́lára;akẹ́kọ̀ọ́|akẹ́kọ̀ọ́: amọ́lára|akẹ́kọ̀ọ́gboyè|amọ́lára
	🧑🏼‍🎓;akẹ́kọ̀ọ́: amọ́lára díẹ̀;akẹ́kọ̀ọ́|akẹ́kọ̀ọ́: amọ́lára díẹ̀|akẹ́kọ̀ọ́gboyè|amọ́lára díẹ̀
	🧑🏽‍🎓;akẹ́kọ̀ọ́: amọ́láwọ̀ díẹ̀;akẹ́kọ̀ọ́|akẹ́kọ̀ọ́: amọ́láwọ̀ díẹ̀|akẹ́kọ̀ọ́gboyè|amọ́láwọ̀ díẹ̀
	🧑🏾‍🎓;akẹ́kọ̀ọ́: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|akẹ́kọ̀ọ́|akẹ́kọ̀ọ́: adúláwọ̀ díẹ̀|akẹ́kọ̀ọ́gboyè
	🧑🏿‍🎓;akẹ́kọ̀ọ́: adúláwọ̀;adúláwọ̀|akẹ́kọ̀ọ́|akẹ́kọ̀ọ́: adúláwọ̀|akẹ́kọ̀ọ́gboyè
👨‍🎓;ọkùnrin akẹ́kọ̀ọ́;akẹ́kọ̀ọ́|kàwégboyè|ọkùnrin
	👨🏻‍🎓;ọkùnrin akẹ́kọ̀ọ́: amọ́lára;akẹ́kọ̀ọ́|amọ́lára|kàwégboyè|ọkùnrin|ọkùnrin akẹ́kọ̀ọ́: amọ́lára
	👨🏼‍🎓;ọkùnrin akẹ́kọ̀ọ́: amọ́lára díẹ̀;akẹ́kọ̀ọ́|amọ́lára díẹ̀|kàwégboyè|ọkùnrin|ọkùnrin akẹ́kọ̀ọ́: amọ́lára díẹ̀
	👨🏽‍🎓;ọkùnrin akẹ́kọ̀ọ́: amọ́láwọ̀ díẹ̀;akẹ́kọ̀ọ́|amọ́láwọ̀ díẹ̀|kàwégboyè|ọkùnrin|ọkùnrin akẹ́kọ̀ọ́: amọ́láwọ̀ díẹ̀
	👨🏾‍🎓;ọkùnrin akẹ́kọ̀ọ́: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|akẹ́kọ̀ọ́|kàwégboyè|ọkùnrin|ọkùnrin akẹ́kọ̀ọ́: adúláwọ̀ díẹ̀
	👨🏿‍🎓;ọkùnrin akẹ́kọ̀ọ́: adúláwọ̀;adúláwọ̀|akẹ́kọ̀ọ́|kàwégboyè|ọkùnrin|ọkùnrin akẹ́kọ̀ọ́: adúláwọ̀
👩‍🎓;obìrin akẹ́kọ̀ọ́;akẹ́kọ̀ọ́|kàwégboyè|obìrin
	👩🏻‍🎓;obìrin akẹ́kọ̀ọ́: amọ́lára;akẹ́kọ̀ọ́|amọ́lára|kàwégboyè|obìrin|obìrin akẹ́kọ̀ọ́: amọ́lára
	👩🏼‍🎓;obìrin akẹ́kọ̀ọ́: amọ́lára díẹ̀;akẹ́kọ̀ọ́|amọ́lára díẹ̀|kàwégboyè|obìrin|obìrin akẹ́kọ̀ọ́: amọ́lára díẹ̀
	👩🏽‍🎓;obìrin akẹ́kọ̀ọ́: amọ́láwọ̀ díẹ̀;akẹ́kọ̀ọ́|amọ́láwọ̀ díẹ̀|kàwégboyè|obìrin|obìrin akẹ́kọ̀ọ́: amọ́láwọ̀ díẹ̀
	👩🏾‍🎓;obìrin akẹ́kọ̀ọ́: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|akẹ́kọ̀ọ́|kàwégboyè|obìrin|obìrin akẹ́kọ̀ọ́: adúláwọ̀ díẹ̀
	👩🏿‍🎓;obìrin akẹ́kọ̀ọ́: adúláwọ̀;adúláwọ̀|akẹ́kọ̀ọ́|kàwégboyè|obìrin|obìrin akẹ́kọ̀ọ́: adúláwọ̀
🧑‍🏫;olùkọ́;ọ̀jọ̀gbọ́n|olùkọ́|olùtọ́sọ́nà
	🧑🏻‍🏫;olùkọ́: amọ́lára;amọ́lára|ọ̀jọ̀gbọ́n|olùkọ́|olùkọ́: amọ́lára|olùtọ́sọ́nà
	🧑🏼‍🏫;olùkọ́: amọ́lára díẹ̀;amọ́lára díẹ̀|ọ̀jọ̀gbọ́n|olùkọ́|olùkọ́: amọ́lára díẹ̀|olùtọ́sọ́nà
	🧑🏽‍🏫;olùkọ́: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ọ̀jọ̀gbọ́n|olùkọ́|olùkọ́: amọ́láwọ̀ díẹ̀|olùtọ́sọ́nà
	🧑🏾‍🏫;olùkọ́: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ọ̀jọ̀gbọ́n|olùkọ́|olùkọ́: adúláwọ̀ díẹ̀|olùtọ́sọ́nà
	🧑🏿‍🏫;olùkọ́: adúláwọ̀;adúláwọ̀|ọ̀jọ̀gbọ́n|olùkọ́|olùkọ́: adúláwọ̀|olùtọ́sọ́nà
👨‍🏫;ọkùnrin olùkọ́;ọkùnrin|olùkọ́|olùtanisọ́nà|ọ̀mọ̀wé àgbà
	👨🏻‍🏫;ọkùnrin olùkọ́: amọ́lára;amọ́lára|ọkùnrin|ọkùnrin olùkọ́: amọ́lára|olùkọ́|olùtanisọ́nà|ọ̀mọ̀wé àgbà
	👨🏼‍🏫;ọkùnrin olùkọ́: amọ́lára díẹ̀;amọ́lára díẹ̀|ọkùnrin|ọkùnrin olùkọ́: amọ́lára díẹ̀|olùkọ́|olùtanisọ́nà|ọ̀mọ̀wé àgbà
