# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;Ojú tó rẹ́rìn;fẹyín|ojú|Ojú tó rẹ́rìn
🫡;ojú bíbọ̀wọ́;àwọn ológun|bẹ́ẹ̀nì|bọ̀wọ̀|Ó dáa|ojú bíbọ̀wọ́|ojú tó ń bọ̀wọ̀|òrùn ríràn
🤐;Oju Ẹni Ti A Tipa;ẹnu|ojú|Oju Ẹni Ti A Tipa|tìpa
🤨;Ìrun ojú ta gbé sókè;àìgbàgbọ́|Ìrun ojú ta gbé sókè|Oníyèméjì
😐;Ojú Ìbíìbí;àárín|àìpani lẹ́rìń|ojú|Ojú Ìbíìbí
😑;Oju Ti Ko Fanimọra;àìfanimọ́ra|àìlè sọ̀rọ̀|àìlèsọ̀rọ̀|ojú|Oju Ti Ko Fanimọra
😶;Ojú tí kò ní Ẹnu;dáké|ẹnu|ojú|Ojú tí kò ní Ẹnu
🫥;ojú ìlà tótótó;aikinsoro|airi|banuje|ojú ìlà tótótó|poora|sapamo
😶‍🌫️;ojú nínú àwọ̀sánmà;àìfọkànsí|ojú ní kùrukùru|ojú nínú àwọ̀sánmà|orí nínú àwọ̀sánmọ̀
😏;Oju Ẹrin Abosi;ojú|Oju Ẹrin Abosi|rẹ́rín àbòsí
😒;Oju Aifanimọra;àìdunú|àìfanimọ́ra|ojú|Oju Aifanimọra
🙄;Ojú Pẹ̀lú Ẹyinjú tó yín;àwọn ẹyinjú|ojú|Ojú Pẹ̀lú Ẹyinjú tó yín|tó yín
😬;Oju Ifaro;ìfaro|ojú|Oju Ifaro
😮‍💨;ojú ń mí síta;ìtura|kérora|mí hẹlẹhẹlẹ|mí síta|ojú ń mí síta|sọ̀rọ̀ kẹ́lẹ́kẹ́lẹ́|súfèé
🤥;Oju Irọ;irọ́|ojú|Oju Irọ|onímú gígùn
🫨;ojú gbígbọ̀n;eru|gbigbọ̀n|gbọ̀n|iji|ojú|ojú gbígbọ̀n
🙂‍↔️;orí mímì látọ̀tún-sósì;gbọn orí|orí mímì látọ̀tún-sósì|rárá
🙂‍↕️;orí mímì látòkè-sílẹ̀;bẹ́ẹ̀ni|fi orí dáhùn|orí mímì látòkè-sílẹ̀
😌;Oju Itura;ìtura|ojú|Oju Itura
😔;Oju Ironu;ìpòruru|jákulẹ̀|ojú|Oju Ironu
😪;Oju Iloorun;ojú|Oju Iloorun|sùn
🤤;oju adatọ;adatọ|ojú|oju adatọ
😴;Oju Ti O N Sun;ojú|Oju Ti O N Sun|sss|sùn
😷;Oju Pẹlu Iboju Iṣoogun;àárẹ̀|dókítà|ìbòjú|ògùn|ojú|Oju Pẹlu Iboju Iṣoogun|otútù
🤒;oju pẹlu oṣuwọn igbona;àárẹ̀|ìlera|ojú|oju pẹlu oṣuwọn igbona|òṣùwọ̀n ìgbóná
🤕;Oju Pẹlu Ori ti a de Lọja;egbò|farapa|ìdì|ojú|Oju Pẹlu Ori ti a de Lọja
🤢;Oju Ailera;àìlera|èébì|ojú|Oju Ailera
🤮;Èébì ajẹmọ́jú;àìsàn|èébì|Èébì ajẹmọ́jú
🤧;Oju Sinsin;gesundheit|ojú|Oju Sinsin|sín
🥵;ojú gbígbóná;gbona|iba|ojú gbígbóná|oju to gbona|ooru
🥶;ojú tútú;oju bulu|oju tutu|ojú tútú|otutu n mú|tutu
🥴;ojú to wópọ̀;ojú to wópọ̀|oorun kíkún
😵;Oju Itoogbe;itoogbe|ojú|Oju Itoogbe
😵‍💫;ojú pẹ̀lú ẹyinjú lílọ́pọ̀;háà|ìràníyè|lílọ́pọ̀|ojú pẹ̀lú ẹyinjú lílọ́pọ̀|òòyì|wàhálà
🤯;Orí tó bú gbàmù;Ìjayà|Orí tó bú gbàmù
🤠;Oju Fila Adaran;adaran|fìlà|obìnrin ẹlẹ́ṣin|ojú|Oju Fila Adaran
🥳;ojú patí;àsè|ayọ̀|fìlà|ìho|ojú àsè|ojú patí
🥸;ojú ìsápamọ́;àìmọ̀|gíláàsì|imú|ojú|ojú ìsápamọ́|ojú tó sapamọ|sápamọ
😎;Oju Ti O N Rẹrin Pẹlu Digi Oju;àwọn gílásì|àwọn gílásì òrùn|ẹyinjú|ìbojú|mọ́lẹ̀|ojú|Oju Ti O N Rẹrin Pẹlu Digi Oju|òrùn|rẹ́rìń músẹ́|tutù
🤓;Oju Ọmọwe Ti Ko Jafafa;ojú|Oju Ọmọwe Ti Ko Jafafa|ọ̀mọ̀wé|ọ̀mọ̀wé tí kò jáfáfá
🧐;Ojú tó súnkì;Ojú tó súnkì|Sítọ́fì
😕;Oju Iporuru;iporuru|ojú|Oju Iporuru
🫤;ojú pẹ̀lú ẹnu ẹ̀gbẹ́;àìmọ̀|kojú pẹ̀lú ẹnu ẹ̀gbẹ́|mẹ́|nijakulẹ̀|ojú pẹ̀lú ẹnu ẹ̀gbẹ́|siyẹ̀méjì
😟;Oju Idamu;ìdàmú|ojú|Oju Idamu
🙁;Oju Ifajuro Diẹ;fajúro|ojú|Oju Ifajuro Diẹ
☹️;ojú tó fajúro;fajúro|ojú|ojú tó fajúro
😮;Oju Pẹlu Ẹnu Lila;ẹnu|kẹ́dùn|ojú|Oju Pẹlu Ẹnu Lila|ṣí
😯;Oju Idakẹjẹ;dákẹ́jẹ́|ìyàlẹ́nu|ojú|Oju Idakẹjẹ
😲;ojú ìyalẹnu;ìpaláyà|ìyàlẹ́nu|ojú|ojú ìyalẹnu|pátápátá
😳;Oju Idunnu;ìdùnú|ojú|Oju Idunnu|yàlẹ́nu
🥺;ojú tónbẹ̀bẹ̀;àánú|bẹ̀bẹ̀|ojú ọmọ ajá|ojú tí ń bẹ̀bẹ̀|ojú tónbẹ̀bẹ̀
🥹;ojú tón mu ẹkún dúró;banújẹ́|bínú|gbẹ́raga|kọ̀|ojú tí ò fẹ́ sunkún|ojú tón mu ẹkún dúró|sunkún
😦;Oju Ti o Faro Pẹlu Ẹnu lila silẹ;ẹnu|fajúro|ojú|Oju Ti o Faro Pẹlu Ẹnu lila silẹ|ṣí
😧;ojú ìrora;ìrora|ojú
😨;Oju Ẹru;ìbẹ̀rù|ojú|Oju Ẹru
😰;ojú pẹ̀lú ẹnu lílà sílẹ̀ àti òógùn tútù;búlù|ẹnu|ojú|ojú pẹ̀lú ẹnu lílà sílẹ̀ àti òógùn tútù|òógùn|sáré|ṣí|tútù
😥;Oju Ijakulẹ Ṣugbọn Itura;hmmm|ìjákulẹ̀|ìtura|ojú|Oju Ijakulẹ Ṣugbọn Itura
😢;Oju Ẹkun;ẹkún|ìbànújẹ|ojú|Oju Ẹkun
😭;Oju Ti n Sunkun Gidi;ẹkún|ìbànújẹ|ojú|Oju Ti n Sunkun Gidi|sunkún
😱;Oju Fifi Ẹru han an;bẹ̀rù|han|ìbẹ̀rù|jẹ|ojú|Oju Fifi Ẹru han an
😖;Oju Itiju;itiju|ojú|Oju Itiju
😣;Oju Ifarada;ìfaradà|ojú|Oju Ifarada
😞;ojú ìjakulẹ̀;ìjakulẹ|ojú|ojú ìjakulẹ̀
😓;Oju Pẹlu Ilaagun Tutu;ojú|Oju Pẹlu Ilaagun Tutu|òógùn|òtútù
😩;Oju Ti o Rẹ̀;ojú|Oju Ti o Rẹ̀|rírẹ̀
😫;Oju Rirẹ;ojú|Oju Rirẹ|rírẹ̀
🥱;ojú tón yán;ojú tón yán|ojú yíyán|rẹ̀|sú|yán
😤;Oju Pẹlu Ikun Nimu;ìjagunmólú|ojú|Oju Pẹlu Ikun Nimu|yege
😡;Oju Iyaahan;bínú|ojú|Oju Iyaahan|yànhàn
😠;Oju Ibinu;bínú|ìbínú|ojú|Oju Ibinu
🤬;Àmì ojú tó rékọjá ẹnu;Àmì ojú tó rékọjá ẹnu|bíbúra
😈;Oju Ẹrin Pẹlu Awọn Iho;àlá|ìtàn ọmọdé|ìwo|ojú|Oju Ẹrin Pẹlu Awọn Iho|rẹ́rìn músẹ́
👿;Oju Ibinu Pẹlu Iho;àlá|èṣù|ẹṣù|imp|ìtàn ọmọdé|ojú|Oju Ibinu Pẹlu Iho
💀;Ipakọ;abàmì|ikú|Ipakọ|ìtán ọmọdé|ojú
☠️;ìpàkọ́ àti àwọn egun àgbélébù;àwọn egun àgbélébù|ikú|ìpàkọ́|ìpàkọ́ àti àwọn egun àgbélébù|ojú
💩;Okiti Igbẹ;abàmì|apanilẹ́rìń|ìgbẹ́|ògùn|ojú|Okiti Igbẹ
🤡;ojú apanilẹrin;apanilẹrin|ojú
👹;Omiran Ajẹniyan;abàmì|àlá|ẹ̀dá|ìtàn ọmọdé|ojú|Omiran Ajẹniyan
👺;abàmì aràrá;abàmì|abàmì aràrá|àlá|ẹ̀dá|ìtàn ọmọdé|ojú
👻;òkú;abàmì|àlá|ẹ̀dá|ìtàn ọmọdé|ojú|òkú
👽;àjòjì;àbàmì|àjòjì|àlá|ẹ̀dá|ìtàn ọmọdé|ojú|ufo
👾;Àjòjì Abami;àbàmì|àjòjì|Àjòjì Abami|àlá|ẹ̀dá|ìtàn ọmọdé|ojú|ufo
🤖;Oju Ṣigidi;abàmì|ojú|Oju Ṣigidi|ṣìgìdì
😺;Oju Arẹrin Ologbo Pẹlu Ẹnu Yiya;ẹnu|ojú|Oju Arẹrin Ologbo Pẹlu Ẹnu Yiya|olóngbò|rẹ́rìń músẹ́|ṣí
