# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ырсайган бет;бет|ырсай|ырсайган бет
	🙎🏼‍♂️;тултуюп таарынган эркек: буудай жүздүү;буудай жүздүү|ишарат|тултуюп таарынган эркек|тултуюп таарынган эркек: буудай жүздүү|тултуюу|эркек
	🙎🏽‍♂️;тултуюп таарынган эркек: орточо;ишарат|орточо|тултуюп таарынган эркек|тултуюп таарынган эркек: орточо|тултуюу|эркек
	🙎🏾‍♂️;тултуюп таарынган эркек: кара тору;ишарат|кара тору|тултуюп таарынган эркек|тултуюп таарынган эркек: кара тору|тултуюу|эркек
	🙎🏿‍♂️;тултуюп таарынган эркек: кара;ишарат|кара|тултуюп таарынган эркек|тултуюп таарынган эркек: кара|тултуюу|эркек
🙎‍♀️;тултуюп таарынган аял;аял|ишарат|тултуюп таарынган аял|тултуюу
	🙎🏻‍♀️;тултуюп таарынган аял: акжуумал;акжуумал|аял|ишарат|тултуюп таарынган аял|тултуюп таарынган аял: акжуумал|тултуюу
	🙎🏼‍♀️;тултуюп таарынган аял: буудай жүздүү;аял|буудай жүздүү|ишарат|тултуюп таарынган аял|тултуюп таарынган аял: буудай жүздүү|тултуюу
	🙎🏽‍♀️;тултуюп таарынган аял: орточо;аял|ишарат|орточо|тултуюп таарынган аял|тултуюп таарынган аял: орточо|тултуюу
	🙎🏾‍♀️;тултуюп таарынган аял: кара тору;аял|ишарат|кара тору|тултуюп таарынган аял|тултуюп таарынган аял: кара тору|тултуюу
	🙎🏿‍♀️;тултуюп таарынган аял: кара;аял|ишарат|кара|тултуюп таарынган аял|тултуюп таарынган аял: кара|тултуюу
🙅;«жок» деген ишарат;«жок» деген ишарат|жок|ишарат|кол|тыюу салынган
	🙅🏻;«жок» деген ишарат: акжуумал;«жок» деген ишарат|«жок» деген ишарат: акжуумал|акжуумал|жок|ишарат|кол|тыюу салынган
	🙅🏼;«жок» деген ишарат: буудай жүздүү;«жок» деген ишарат|«жок» деген ишарат: буудай жүздүү|буудай жүздүү|жок|ишарат|кол|тыюу салынган
	🙅🏽;«жок» деген ишарат: орточо;«жок» деген ишарат|«жок» деген ишарат: орточо|жок|ишарат|кол|орточо|тыюу салынган
	🙅🏾;«жок» деген ишарат: кара тору;«жок» деген ишарат|«жок» деген ишарат: кара тору|жок|ишарат|кара тору|кол|тыюу салынган
	🙅🏿;«жок» деген ишарат: кара;«жок» деген ишарат|«жок» деген ишарат: кара|жок|ишарат|кара|кол|тыюу салынган
🙅‍♂️;ЖОК деп жаткан эркек;«жок» деп жаткан эркек|ЖОК деп жаткан эркек|каршы|макул эмес|эркек
	🙅🏻‍♂️;ЖОК деп жаткан эркек: акжуумал;«жок» деп жаткан эркек|акжуумал|ЖОК деп жаткан эркек|ЖОК деп жаткан эркек: акжуумал|каршы|макул эмес|эркек
	🙅🏼‍♂️;ЖОК деп жаткан эркек: буудай жүздүү;«жок» деп жаткан эркек|буудай жүздүү|ЖОК деп жаткан эркек|ЖОК деп жаткан эркек: буудай жүздүү|каршы|макул эмес|эркек
	🙅🏽‍♂️;ЖОК деп жаткан эркек: орточо;«жок» деп жаткан эркек|ЖОК деп жаткан эркек|ЖОК деп жаткан эркек: орточо|каршы|макул эмес|орточо|эркек
	🙅🏾‍♂️;ЖОК деп жаткан эркек: кара тору;«жок» деп жаткан эркек|ЖОК деп жаткан эркек|ЖОК деп жаткан эркек: кара тору|кара тору|каршы|макул эмес|эркек
	🙅🏿‍♂️;ЖОК деп жаткан эркек: кара;«жок» деп жаткан эркек|ЖОК деп жаткан эркек|ЖОК деп жаткан эркек: кара|кара|каршы|макул эмес|эркек
🙅‍♀️;«жок» деп жаткан аял;«жок» деп жаткан аял|аял|каршы|макул эмес
	🙅🏻‍♀️;«жок» деп жаткан аял: акжуумал;«жок» деп жаткан аял|«жок» деп жаткан аял: акжуумал|акжуумал|аял|каршы|макул эмес
	🙅🏼‍♀️;«жок» деп жаткан аял: буудай жүздүү;«жок» деп жаткан аял|«жок» деп жаткан аял: буудай жүздүү|аял|буудай жүздүү|каршы|макул эмес
	🙅🏽‍♀️;«жок» деп жаткан аял: орточо;«жок» деп жаткан аял|«жок» деп жаткан аял: орточо|аял|каршы|макул эмес|орточо
	🙅🏾‍♀️;«жок» деп жаткан аял: кара тору;«жок» деп жаткан аял|«жок» деп жаткан аял: кара тору|аял|кара тору|каршы|макул эмес
	🙅🏿‍♀️;«жок» деп жаткан аял: кара;«жок» деп жаткан аял|«жок» деп жаткан аял: кара|аял|кара|каршы|макул эмес
🙆;«жарайт» деп жаткан адам;«жарайт» деген ишарат|«жарайт» деп жаткан адам|жарайт|ишарат|кол
	🙆🏻;«жарайт» деп жаткан адам: акжуумал;«жарайт» деген ишарат|«жарайт» деп жаткан адам|«жарайт» деп жаткан адам: акжуумал|акжуумал|жарайт|ишарат|кол
	🙆🏼;«жарайт» деп жаткан адам: буудай жүздүү;«жарайт» деген ишарат|«жарайт» деп жаткан адам|«жарайт» деп жаткан адам: буудай жүздүү|буудай жүздүү|жарайт|ишарат|кол
	🙆🏽;«жарайт» деп жаткан адам: орточо;«жарайт» деген ишарат|«жарайт» деп жаткан адам|«жарайт» деп жаткан адам: орточо|жарайт|ишарат|кол|орточо
	🙆🏾;«жарайт» деп жаткан адам: кара тору;«жарайт» деген ишарат|«жарайт» деп жаткан адам|«жарайт» деп жаткан адам: кара тору|жарайт|ишарат|кара тору|кол
	🙆🏿;«жарайт» деп жаткан адам: кара;«жарайт» деген ишарат|«жарайт» деп жаткан адам|«жарайт» деп жаткан адам: кара|жарайт|ишарат|кара|кол
🙆‍♂️;«жарайт» деп жаткан эркек;«жарайт» деп жаткан эркек|макулдук|ооба|эркек
	🙆🏻‍♂️;«жарайт» деп жаткан эркек: акжуумал;«жарайт» деп жаткан эркек|«жарайт» деп жаткан эркек: акжуумал|акжуумал|макулдук|ооба|эркек
	🙆🏼‍♂️;«жарайт» деп жаткан эркек: буудай жүздүү;«жарайт» деп жаткан эркек|«жарайт» деп жаткан эркек: буудай жүздүү|буудай жүздүү|макулдук|ооба|эркек
	🙆🏽‍♂️;«жарайт» деп жаткан эркек: орточо;«жарайт» деп жаткан эркек|«жарайт» деп жаткан эркек: орточо|макулдук|ооба|орточо|эркек
	🙆🏾‍♂️;«жарайт» деп жаткан эркек: кара тору;«жарайт» деп жаткан эркек|«жарайт» деп жаткан эркек: кара тору|кара тору|макулдук|ооба|эркек
	🙆🏿‍♂️;«жарайт» деп жаткан эркек: кара;«жарайт» деп жаткан эркек|«жарайт» деп жаткан эркек: кара|кара|макулдук|ооба|эркек
🙆‍♀️;«жарайт» деп жаткан аял;«жарайт» деп жаткан аял|аял|макулдук|ооба
	🙆🏻‍♀️;«жарайт» деп жаткан аял: акжуумал;«жарайт» деп жаткан аял|«жарайт» деп жаткан аял: акжуумал|акжуумал|аял|макулдук|ооба
	🙆🏼‍♀️;«жарайт» деп жаткан аял: буудай жүздүү;«жарайт» деп жаткан аял|«жарайт» деп жаткан аял: буудай жүздүү|аял|буудай жүздүү|макулдук|ооба
	🙆🏽‍♀️;«жарайт» деп жаткан аял: орточо;«жарайт» деп жаткан аял|«жарайт» деп жаткан аял: орточо|аял|макулдук|ооба|орточо
	🙆🏾‍♀️;«жарайт» деп жаткан аял: кара тору;«жарайт» деп жаткан аял|«жарайт» деп жаткан аял: кара тору|аял|кара тору|макулдук|ооба
	🙆🏿‍♀️;«жарайт» деп жаткан аял: кара;«жарайт» деп жаткан аял|«жарайт» деп жаткан аял: кара|аял|кара|макулдук|ооба
💁;маалымат тактасындагы адам;жардам|кол|маалымат|маалымат тактасындагы адам|орой
	💁🏻;маалымат тактасындагы адам: акжуумал;акжуумал|жардам|кол|маалымат|маалымат тактасындагы адам|маалымат тактасындагы адам: акжуумал|орой
	💁🏼;маалымат тактасындагы адам: буудай жүздүү;буудай жүздүү|жардам|кол|маалымат|маалымат тактасындагы адам|маалымат тактасындагы адам: буудай жүздүү|орой
	💁🏽;маалымат тактасындагы адам: орточо;жардам|кол|маалымат|маалымат тактасындагы адам|маалымат тактасындагы адам: орточо|орой|орточо
	💁🏾;маалымат тактасындагы адам: кара тору;жардам|кара тору|кол|маалымат|маалымат тактасындагы адам|маалымат тактасындагы адам: кара тору|орой
	💁🏿;маалымат тактасындагы адам: кара;жардам|кара|кол|маалымат|маалымат тактасындагы адам|маалымат тактасындагы адам: кара|орой
💁‍♂️;Баш кийимин чечип учурашкан эркек;Баш кийимин чечип учурашкан эркек|орой|сырын айтуу|эркек
	💁🏻‍♂️;Баш кийимин чечип учурашкан эркек: акжуумал;акжуумал|Баш кийимин чечип учурашкан эркек|Баш кийимин чечип учурашкан эркек: акжуумал|орой|сырын айтуу|эркек
	💁🏼‍♂️;Баш кийимин чечип учурашкан эркек: буудай жүздүү;Баш кийимин чечип учурашкан эркек|Баш кийимин чечип учурашкан эркек: буудай жүздүү|буудай жүздүү|орой|сырын айтуу|эркек
	💁🏽‍♂️;Баш кийимин чечип учурашкан эркек: орточо;Баш кийимин чечип учурашкан эркек|Баш кийимин чечип учурашкан эркек: орточо|орой|орточо|сырын айтуу|эркек
	💁🏾‍♂️;Баш кийимин чечип учурашкан эркек: кара тору;Баш кийимин чечип учурашкан эркек|Баш кийимин чечип учурашкан эркек: кара тору|кара тору|орой|сырын айтуу|эркек
	💁🏿‍♂️;Баш кийимин чечип учурашкан эркек: кара;Баш кийимин чечип учурашкан эркек|Баш кийимин чечип учурашкан эркек: кара|кара|орой|сырын айтуу|эркек
💁‍♀️;Баш кийимин чечип учурашкан аял;аял|Баш кийимин чечип учурашкан аял|орой|сырын айтуу
	💁🏻‍♀️;Баш кийимин чечип учурашкан аял: акжуумал;акжуумал|аял|Баш кийимин чечип учурашкан аял|Баш кийимин чечип учурашкан аял: акжуумал|орой|сырын айтуу
	💁🏼‍♀️;Баш кийимин чечип учурашкан аял: буудай жүздүү;аял|Баш кийимин чечип учурашкан аял|Баш кийимин чечип учурашкан аял: буудай жүздүү|буудай жүздүү|орой|сырын айтуу
	💁🏽‍♀️;Баш кийимин чечип учурашкан аял: орточо;аял|Баш кийимин чечип учурашкан аял|Баш кийимин чечип учурашкан аял: орточо|орой|орточо|сырын айтуу
	💁🏾‍♀️;Баш кийимин чечип учурашкан аял: кара тору;аял|Баш кийимин чечип учурашкан аял|Баш кийимин чечип учурашкан аял: кара тору|кара тору|орой|сырын айтуу
	💁🏿‍♀️;Баш кийимин чечип учурашкан аял: кара;аял|Баш кийимин чечип учурашкан аял|Баш кийимин чечип учурашкан аял: кара|кара|орой|сырын айтуу
🙋;кол көтөрүп жаткан бактылуу адам;бактылуу|ишарат|кол|кол көтөрүп жаткан адам|кол көтөрүп жаткан бактылуу адам|көтөрүлгөн
	🙋🏻;кол көтөрүп жаткан бактылуу адам: акжуумал;акжуумал|бактылуу|ишарат|кол|кол көтөрүп жаткан адам|кол көтөрүп жаткан бактылуу адам|кол көтөрүп жаткан бактылуу адам: акжуумал|көтөрүлгөн
	🙋🏼;кол көтөрүп жаткан бактылуу адам: буудай жүздүү;бактылуу|буудай жүздүү|ишарат|кол|кол көтөрүп жаткан адам|кол көтөрүп жаткан бактылуу адам|кол көтөрүп жаткан бактылуу адам: буудай жүздүү|көтөрүлгөн
	🙋🏽;кол көтөрүп жаткан бактылуу адам: орточо;бактылуу|ишарат|кол|кол көтөрүп жаткан адам|кол көтөрүп жаткан бактылуу адам|кол көтөрүп жаткан бактылуу адам: орточо|көтөрүлгөн|орточо
	🙋🏾;кол көтөрүп жаткан бактылуу адам: кара тору;бактылуу|ишарат|кара тору|кол|кол көтөрүп жаткан адам|кол көтөрүп жаткан бактылуу адам|кол көтөрүп жаткан бактылуу адам: кара тору|көтөрүлгөн
	🙋🏿;кол көтөрүп жаткан бактылуу адам: кара;бактылуу|ишарат|кара|кол|кол көтөрүп жаткан адам|кол көтөрүп жаткан бактылуу адам|кол көтөрүп жаткан бактылуу адам: кара|көтөрүлгөн
🙋‍♂️;колун көтөрүп жаткан эркек;ишарат|кол көтөрүү|колун көтөрүп жаткан эркек|эркек
	🙋🏻‍♂️;колун көтөрүп жаткан эркек: акжуумал;акжуумал|ишарат|кол көтөрүү|колун көтөрүп жаткан эркек|колун көтөрүп жаткан эркек: акжуумал|эркек
	🙋🏼‍♂️;колун көтөрүп жаткан эркек: буудай жүздүү;буудай жүздүү|ишарат|кол көтөрүү|колун көтөрүп жаткан эркек|колун көтөрүп жаткан эркек: буудай жүздүү|эркек
	🙋🏽‍♂️;колун көтөрүп жаткан эркек: орточо;ишарат|кол көтөрүү|колун көтөрүп жаткан эркек|колун көтөрүп жаткан эркек: орточо|орточо|эркек
	🙋🏾‍♂️;колун көтөрүп жаткан эркек: кара тору;ишарат|кара тору|кол көтөрүү|колун көтөрүп жаткан эркек|колун көтөрүп жаткан эркек: кара тору|эркек
	🙋🏿‍♂️;колун көтөрүп жаткан эркек: кара;ишарат|кара|кол көтөрүү|колун көтөрүп жаткан эркек|колун көтөрүп жаткан эркек: кара|эркек
🙋‍♀️;колун көтөрүп жаткан аял;аял|ишарат|кол көтөрүү|колун көтөрүп жаткан аял
	🙋🏻‍♀️;колун көтөрүп жаткан аял: акжуумал;акжуумал|аял|ишарат|кол көтөрүү|колун көтөрүп жаткан аял|колун көтөрүп жаткан аял: акжуумал
	🙋🏼‍♀️;колун көтөрүп жаткан аял: буудай жүздүү;аял|буудай жүздүү|ишарат|кол көтөрүү|колун көтөрүп жаткан аял|колун көтөрүп жаткан аял: буудай жүздүү
	🙋🏽‍♀️;колун көтөрүп жаткан аял: орточо;аял|ишарат|кол көтөрүү|колун көтөрүп жаткан аял|колун көтөрүп жаткан аял: орточо|орточо
	🙋🏾‍♀️;колун көтөрүп жаткан аял: кара тору;аял|ишарат|кара тору|кол көтөрүү|колун көтөрүп жаткан аял|колун көтөрүп жаткан аял: кара тору
	🙋🏿‍♀️;колун көтөрүп жаткан аял: кара;аял|ишарат|кара|кол көтөрүү|колун көтөрүп жаткан аял|колун көтөрүп жаткан аял: кара
🧏;дүлөй киши;атайын мүмкүндүк|дүлөй|дүлөй киши|кулак|угуу
	🧏🏻;дүлөй киши: акжуумал;акжуумал|атайын мүмкүндүк|дүлөй|дүлөй киши|дүлөй киши: акжуумал|кулак|угуу
	🧏🏼;дүлөй киши: буудай жүздүү;атайын мүмкүндүк|буудай жүздүү|дүлөй|дүлөй киши|дүлөй киши: буудай жүздүү|кулак|угуу
	🧏🏽;дүлөй киши: орточо;атайын мүмкүндүк|дүлөй|дүлөй киши|дүлөй киши: орточо|кулак|орточо|угуу
	🧏🏾;дүлөй киши: кара тору;атайын мүмкүндүк|дүлөй|дүлөй киши|дүлөй киши: кара тору|кара тору|кулак|угуу
	🧏🏿;дүлөй киши: кара;атайын мүмкүндүк|дүлөй|дүлөй киши|дүлөй киши: кара|кара|кулак|угуу
🧏‍♂️;дүлөй адам;дүлөй|дүлөй адам|киши
	🧏🏻‍♂️;дүлөй адам: акжуумал;акжуумал|дүлөй|дүлөй адам|дүлөй адам: акжуумал|киши
	🧏🏼‍♂️;дүлөй адам: буудай жүздүү;буудай жүздүү|дүлөй|дүлөй адам|дүлөй адам: буудай жүздүү|киши
	🧏🏽‍♂️;дүлөй адам: орточо;дүлөй|дүлөй адам|дүлөй адам: орточо|киши|орточо
	🧏🏾‍♂️;дүлөй адам: кара тору;дүлөй|дүлөй адам|дүлөй адам: кара тору|кара тору|киши
	🧏🏿‍♂️;дүлөй адам: кара;дүлөй|дүлөй адам|дүлөй адам: кара|кара|киши
🧏‍♀️;дүлөй аял;аял|дүлөй
	🧏🏻‍♀️;дүлөй аял: акжуумал;акжуумал|аял|дүлөй|дүлөй аял: акжуумал
	🧏🏼‍♀️;дүлөй аял: буудай жүздүү;аял|буудай жүздүү|дүлөй|дүлөй аял: буудай жүздүү
	🧏🏽‍♀️;дүлөй аял: орточо;аял|дүлөй|дүлөй аял: орточо|орточо
	🧏🏾‍♀️;дүлөй аял: кара тору;аял|дүлөй|дүлөй аял: кара тору|кара тору
	🧏🏿‍♀️;дүлөй аял: кара;аял|дүлөй|дүлөй аял: кара|кара
🙇;жүгүнүп жаткан адам;жүгүн|жүгүнүп жаткан адам|ишарат|кечирим
	🙇🏻;жүгүнүп жаткан адам: акжуумал;акжуумал|жүгүн|жүгүнүп жаткан адам|жүгүнүп жаткан адам: акжуумал|ишарат|кечирим
	🙇🏼;жүгүнүп жаткан адам: буудай жүздүү;буудай жүздүү|жүгүн|жүгүнүп жаткан адам|жүгүнүп жаткан адам: буудай жүздүү|ишарат|кечирим
	🙇🏽;жүгүнүп жаткан адам: орточо;жүгүн|жүгүнүп жаткан адам|жүгүнүп жаткан адам: орточо|ишарат|кечирим|орточо
	🙇🏾;жүгүнүп жаткан адам: кара тору;жүгүн|жүгүнүп жаткан адам|жүгүнүп жаткан адам: кара тору|ишарат|кара тору|кечирим
	🙇🏿;жүгүнүп жаткан адам: кара;жүгүн|жүгүнүп жаткан адам|жүгүнүп жаткан адам: кара|ишарат|кара|кечирим
🙇‍♂️;жүгүнүп жаткан эркек;жүгүнүп жаткан эркек|жүгүнүү|ишарат|кечирим суроо|эркек
	🙇🏻‍♂️;жүгүнүп жаткан эркек: акжуумал;акжуумал|жүгүнүп жаткан эркек|жүгүнүп жаткан эркек: акжуумал|жүгүнүү|ишарат|кечирим суроо|эркек
	🙇🏼‍♂️;жүгүнүп жаткан эркек: буудай жүздүү;буудай жүздүү|жүгүнүп жаткан эркек|жүгүнүп жаткан эркек: буудай жүздүү|жүгүнүү|ишарат|кечирим суроо|эркек
	🙇🏽‍♂️;жүгүнүп жаткан эркек: орточо;жүгүнүп жаткан эркек|жүгүнүп жаткан эркек: орточо|жүгүнүү|ишарат|кечирим суроо|орточо|эркек
	🙇🏾‍♂️;жүгүнүп жаткан эркек: кара тору;жүгүнүп жаткан эркек|жүгүнүп жаткан эркек: кара тору|жүгүнүү|ишарат|кара тору|кечирим суроо|эркек
	🙇🏿‍♂️;жүгүнүп жаткан эркек: кара;жүгүнүп жаткан эркек|жүгүнүп жаткан эркек: кара|жүгүнүү|ишарат|кара|кечирим суроо|эркек
🙇‍♀️;жүгүнүп жаткан аял;аял|жүгүнүп жаткан аял|жүгүнүү|ишарат|кечирим суроо
	🙇🏻‍♀️;жүгүнүп жаткан аял: акжуумал;акжуумал|аял|жүгүнүп жаткан аял|жүгүнүп жаткан аял: акжуумал|жүгүнүү|ишарат|кечирим суроо
	🙇🏼‍♀️;жүгүнүп жаткан аял: буудай жүздүү;аял|буудай жүздүү|жүгүнүп жаткан аял|жүгүнүп жаткан аял: буудай жүздүү|жүгүнүү|ишарат|кечирим суроо
	🙇🏽‍♀️;жүгүнүп жаткан аял: орточо;аял|жүгүнүп жаткан аял|жүгүнүп жаткан аял: орточо|жүгүнүү|ишарат|кечирим суроо|орточо
	🙇🏾‍♀️;жүгүнүп жаткан аял: кара тору;аял|жүгүнүп жаткан аял|жүгүнүп жаткан аял: кара тору|жүгүнүү|ишарат|кара тору|кечирим суроо
	🙇🏿‍♀️;жүгүнүп жаткан аял: кара;аял|жүгүнүп жаткан аял|жүгүнүп жаткан аял: кара|жүгүнүү|ишарат|кара|кечирим суроо
🤦;сөз жок ишараты;алакан|ачуулануу|бет|ишенбөө|сөз жок ишараты
	🤦🏻;сөз жок ишараты: акжуумал;акжуумал|алакан|ачуулануу|бет|ишенбөө|сөз жок ишараты|сөз жок ишараты: акжуумал
	🤦🏼;сөз жок ишараты: буудай жүздүү;алакан|ачуулануу|бет|буудай жүздүү|ишенбөө|сөз жок ишараты|сөз жок ишараты: буудай жүздүү
	🤦🏽;сөз жок ишараты: орточо;алакан|ачуулануу|бет|ишенбөө|орточо|сөз жок ишараты|сөз жок ишараты: орточо
	🤦🏾;сөз жок ишараты: кара тору;алакан|ачуулануу|бет|ишенбөө|кара тору|сөз жок ишараты|сөз жок ишараты: кара тору
	🤦🏿;сөз жок ишараты: кара;алакан|ачуулануу|бет|ишенбөө|кара|сөз жок ишараты|сөз жок ишараты: кара
🤦‍♂️;бетин кармаган эркек;бетин кармаган эркек|бетин колу менен жабуу|ишенбегендик|кыжырдануу|эркек
	🤦🏻‍♂️;бетин кармаган эркек: акжуумал;акжуумал|бетин кармаган эркек|бетин кармаган эркек: акжуумал|бетин колу менен жабуу|ишенбегендик|кыжырдануу|эркек
	🤦🏼‍♂️;бетин кармаган эркек: буудай жүздүү;бетин кармаган эркек|бетин кармаган эркек: буудай жүздүү|бетин колу менен жабуу|буудай жүздүү|ишенбегендик|кыжырдануу|эркек
	🤦🏽‍♂️;бетин кармаган эркек: орточо;бетин кармаган эркек|бетин кармаган эркек: орточо|бетин колу менен жабуу|ишенбегендик|кыжырдануу|орточо|эркек
	🤦🏾‍♂️;бетин кармаган эркек: кара тору;бетин кармаган эркек|бетин кармаган эркек: кара тору|бетин колу менен жабуу|ишенбегендик|кара тору|кыжырдануу|эркек
	🤦🏿‍♂️;бетин кармаган эркек: кара;бетин кармаган эркек|бетин кармаган эркек: кара|бетин колу менен жабуу|ишенбегендик|кара|кыжырдануу|эркек
🤦‍♀️;бетин кармаган аял;аял|бетин кармаган аял|бетин колу менен жабуу|ишенбегендик|кыжырдануу
	🤦🏻‍♀️;бетин кармаган аял: акжуумал;акжуумал|аял|бетин кармаган аял|бетин кармаган аял: акжуумал|бетин колу менен жабуу|ишенбегендик|кыжырдануу
	🤦🏼‍♀️;бетин кармаган аял: буудай жүздүү;аял|бетин кармаган аял|бетин кармаган аял: буудай жүздүү|бетин колу менен жабуу|буудай жүздүү|ишенбегендик|кыжырдануу
	🤦🏽‍♀️;бетин кармаган аял: орточо;аял|бетин кармаган аял|бетин кармаган аял: орточо|бетин колу менен жабуу|ишенбегендик|кыжырдануу|орточо
	🤦🏾‍♀️;бетин кармаган аял: кара тору;аял|бетин кармаган аял|бетин кармаган аял: кара тору|бетин колу менен жабуу|ишенбегендик|кара тору|кыжырдануу
	🤦🏿‍♀️;бетин кармаган аял: кара;аял|бетин кармаган аял|бетин кармаган аял: кара|бетин колу менен жабуу|ишенбегендик|кара|кыжырдануу
🤷;ийиндерин куушуруу;билбейм|ийиндерин куушуруу|күмөн саноо|мага баары бир
	🤷🏻;ийиндерин куушуруу: акжуумал;акжуумал|билбейм|ийиндерин куушуруу|ийиндерин куушуруу: акжуумал|күмөн саноо|мага баары бир
	🤷🏼;ийиндерин куушуруу: буудай жүздүү;билбейм|буудай жүздүү|ийиндерин куушуруу|ийиндерин куушуруу: буудай жүздүү|күмөн саноо|мага баары бир
	🤷🏽;ийиндерин куушуруу: орточо;билбейм|ийиндерин куушуруу|ийиндерин куушуруу: орточо|күмөн саноо|мага баары бир|орточо
	🤷🏾;ийиндерин куушуруу: кара тору;билбейм|ийиндерин куушуруу|ийиндерин куушуруу: кара тору|кара тору|күмөн саноо|мага баары бир
	🤷🏿;ийиндерин куушуруу: кара;билбейм|ийиндерин куушуруу|ийиндерин куушуруу: кара|кара|күмөн саноо|мага баары бир
🤷‍♂️;ийинин куушурган эркек;ийинин куушурган эркек|ийинин куушуруу|кайдыгерлик|шектенүү|эркек
	🤷🏻‍♂️;ийинин куушурган эркек: акжуумал;акжуумал|ийинин куушурган эркек|ийинин куушурган эркек: акжуумал|ийинин куушуруу|кайдыгерлик|шектенүү|эркек
	🤷🏼‍♂️;ийинин куушурган эркек: буудай жүздүү;буудай жүздүү|ийинин куушурган эркек|ийинин куушурган эркек: буудай жүздүү|ийинин куушуруу|кайдыгерлик|шектенүү|эркек
	🤷🏽‍♂️;ийинин куушурган эркек: орточо;ийинин куушурган эркек|ийинин куушурган эркек: орточо|ийинин куушуруу|кайдыгерлик|орточо|шектенүү|эркек
	🤷🏾‍♂️;ийинин куушурган эркек: кара тору;ийинин куушурган эркек|ийинин куушурган эркек: кара тору|ийинин куушуруу|кайдыгерлик|кара тору|шектенүү|эркек
	🤷🏿‍♂️;ийинин куушурган эркек: кара;ийинин куушурган эркек|ийинин куушурган эркек: кара|ийинин куушуруу|кайдыгерлик|кара|шектенүү|эркек
🤷‍♀️;ийинин куушурган аял;аял|ийинин куушурган аял|ийинин куушуруу|кайдыгерлик|олку-солку болуу
	🤷🏻‍♀️;ийинин куушурган аял: акжуумал;акжуумал|аял|ийинин куушурган аял|ийинин куушурган аял: акжуумал|ийинин куушуруу|кайдыгерлик|олку-солку болуу
	🤷🏼‍♀️;ийинин куушурган аял: буудай жүздүү;аял|буудай жүздүү|ийинин куушурган аял|ийинин куушурган аял: буудай жүздүү|ийинин куушуруу|кайдыгерлик|олку-солку болуу
	🤷🏽‍♀️;ийинин куушурган аял: орточо;аял|ийинин куушурган аял|ийинин куушурган аял: орточо|ийинин куушуруу|кайдыгерлик|олку-солку болуу|орточо
	🤷🏾‍♀️;ийинин куушурган аял: кара тору;аял|ийинин куушурган аял|ийинин куушурган аял: кара тору|ийинин куушуруу|кайдыгерлик|кара тору|олку-солку болуу
	🤷🏿‍♀️;ийинин куушурган аял: кара;аял|ийинин куушурган аял|ийинин куушурган аял: кара|ийинин куушуруу|кайдыгерлик|кара|олку-солку болуу
🧑‍⚕️;медицина кызматкери;медицина кызматкери
	🧑🏻‍⚕️;медицина кызматкери: акжуумал;акжуумал|медицина кызматкери|медицина кызматкери: акжуумал
	🧑🏼‍⚕️;медицина кызматкери: буудай жүздүү;буудай жүздүү|медицина кызматкери|медицина кызматкери: буудай жүздүү
	🧑🏽‍⚕️;медицина кызматкери: орточо;медицина кызматкери|медицина кызматкери: орточо|орточо
	🧑🏾‍⚕️;медицина кызматкери: кара тору;кара тору|медицина кызматкери|медицина кызматкери: кара тору
	🧑🏿‍⚕️;медицина кызматкери: кара;кара|медицина кызматкери|медицина кызматкери: кара
👨‍⚕️;эркек медицина кызматкери;доктор|медага|саламаттыкты сактоо|терапевт|эркек доктор|эркек медицина кызматкери
	👨🏻‍⚕️;эркек медицина кызматкери: акжуумал;акжуумал|доктор|медага|саламаттыкты сактоо|терапевт|эркек доктор|эркек медицина кызматкери|эркек медицина кызматкери: акжуумал
	👨🏼‍⚕️;эркек медицина кызматкери: буудай жүздүү;буудай жүздүү|доктор|медага|саламаттыкты сактоо|терапевт|эркек доктор|эркек медицина кызматкери|эркек медицина кызматкери: буудай жүздүү
	👨🏽‍⚕️;эркек медицина кызматкери: орточо;доктор|медага|орточо|саламаттыкты сактоо|терапевт|эркек доктор|эркек медицина кызматкери|эркек медицина кызматкери: орточо
	👨🏾‍⚕️;эркек медицина кызматкери: кара тору;доктор|кара тору|медага|саламаттыкты сактоо|терапевт|эркек доктор|эркек медицина кызматкери|эркек медицина кызматкери: кара тору
	👨🏿‍⚕️;эркек медицина кызматкери: кара;доктор|кара|медага|саламаттыкты сактоо|терапевт|эркек доктор|эркек медицина кызматкери|эркек медицина кызматкери: кара
👩‍⚕️;аял медицина кызматкери;аял|аял медицина кызматкери|доктор|медайым|саламаттыкты сактоо|терапевт
	👩🏻‍⚕️;аял медицина кызматкери: акжуумал;акжуумал|аял|аял медицина кызматкери|аял медицина кызматкери: акжуумал|доктор|медайым|саламаттыкты сактоо|терапевт
	👩🏼‍⚕️;аял медицина кызматкери: буудай жүздүү;аял|аял медицина кызматкери|аял медицина кызматкери: буудай жүздүү|буудай жүздүү|доктор|медайым|саламаттыкты сактоо|терапевт
	👩🏽‍⚕️;аял медицина кызматкери: орточо;аял|аял медицина кызматкери|аял медицина кызматкери: орточо|доктор|медайым|орточо|саламаттыкты сактоо|терапевт
	👩🏾‍⚕️;аял медицина кызматкери: кара тору;аял|аял медицина кызматкери|аял медицина кызматкери: кара тору|доктор|кара тору|медайым|саламаттыкты сактоо|терапевт
