# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kusisqa uya;kusi|kusisqa uya|uya
	🙅🏽‍♀️;warmi MANA gestowan: tunpa qara niraq;amasqa|amatasqa|gesto|tunpa qara niraq|warmi|warmi MANA gestowan|warmi MANA gestowan: tunpa qara niraq
	🙅🏾‍♀️;warmi MANA gestowan: tunpa yana qara niraq;amasqa|amatasqa|gesto|tunpa yana qara niraq|warmi|warmi MANA gestowan|warmi MANA gestowan: tunpa yana qara niraq
	🙅🏿‍♀️;warmi MANA gestowan: yana qara niraq;amasqa|amatasqa|gesto|warmi|warmi MANA gestowan|warmi MANA gestowan: yana qara niraq|yana qara niraq
🙆;runa UYAKUY rikuy;gesto|maki|runa UYAKUY rikuy|UYAKUY
	🙆🏻;runa UYAKUY rikuy: chuya qara niraq;chuya qara niraq|gesto|maki|runa UYAKUY rikuy|runa UYAKUY rikuy: chuya qara niraq|UYAKUY
	🙆🏼;runa UYAKUY rikuy: tunpa chuya qara niraq;gesto|maki|runa UYAKUY rikuy|runa UYAKUY rikuy: tunpa chuya qara niraq|tunpa chuya qara niraq|UYAKUY
	🙆🏽;runa UYAKUY rikuy: tunpa qara niraq;gesto|maki|runa UYAKUY rikuy|runa UYAKUY rikuy: tunpa qara niraq|tunpa qara niraq|UYAKUY
	🙆🏾;runa UYAKUY rikuy: tunpa yana qara niraq;gesto|maki|runa UYAKUY rikuy|runa UYAKUY rikuy: tunpa yana qara niraq|tunpa yana qara niraq|UYAKUY
	🙆🏿;runa UYAKUY rikuy: yana qara niraq;gesto|maki|runa UYAKUY rikuy|runa UYAKUY rikuy: yana qara niraq|UYAKUY|yana qara niraq
🙆‍♂️;tata UYAKUY gestowan;gesto|maki|tata|tata UYAKUY gestowan|UYAKUY
	🙆🏻‍♂️;tata UYAKUY gestowan: chuya qara niraq;chuya qara niraq|gesto|maki|tata|tata UYAKUY gestowan|tata UYAKUY gestowan: chuya qara niraq|UYAKUY
	🙆🏼‍♂️;tata UYAKUY gestowan: tunpa chuya qara niraq;gesto|maki|tata|tata UYAKUY gestowan|tata UYAKUY gestowan: tunpa chuya qara niraq|tunpa chuya qara niraq|UYAKUY
	🙆🏽‍♂️;tata UYAKUY gestowan: tunpa qara niraq;gesto|maki|tata|tata UYAKUY gestowan|tata UYAKUY gestowan: tunpa qara niraq|tunpa qara niraq|UYAKUY
	🙆🏾‍♂️;tata UYAKUY gestowan: tunpa yana qara niraq;gesto|maki|tata|tata UYAKUY gestowan|tata UYAKUY gestowan: tunpa yana qara niraq|tunpa yana qara niraq|UYAKUY
	🙆🏿‍♂️;tata UYAKUY gestowan: yana qara niraq;gesto|maki|tata|tata UYAKUY gestowan|tata UYAKUY gestowan: yana qara niraq|UYAKUY|yana qara niraq
🙆‍♀️;warmi UYAKUY gestowan;gesto|maki|UYAKUY|warmi|warmi UYAKUY gestowan
	🙆🏻‍♀️;warmi UYAKUY gestowan: chuya qara niraq;chuya qara niraq|gesto|maki|UYAKUY|warmi|warmi UYAKUY gestowan|warmi UYAKUY gestowan: chuya qara niraq
	🙆🏼‍♀️;warmi UYAKUY gestowan: tunpa chuya qara niraq;gesto|maki|tunpa chuya qara niraq|UYAKUY|warmi|warmi UYAKUY gestowan|warmi UYAKUY gestowan: tunpa chuya qara niraq
	🙆🏽‍♀️;warmi UYAKUY gestowan: tunpa qara niraq;gesto|maki|tunpa qara niraq|UYAKUY|warmi|warmi UYAKUY gestowan|warmi UYAKUY gestowan: tunpa qara niraq
	🙆🏾‍♀️;warmi UYAKUY gestowan: tunpa yana qara niraq;gesto|maki|tunpa yana qara niraq|UYAKUY|warmi|warmi UYAKUY gestowan|warmi UYAKUY gestowan: tunpa yana qara niraq
	🙆🏿‍♀️;warmi UYAKUY gestowan: yana qara niraq;gesto|maki|UYAKUY|warmi|warmi UYAKUY gestowan|warmi UYAKUY gestowan: yana qara niraq|yana qara niraq
💁;runa willakuy kitipi;maki|mana p’inakuy|qillqasqa|runa willakuy kitipi|willakuy|yanapakuy
	💁🏻;runa willakuy kitipi: chuya qara niraq;chuya qara niraq|maki|mana p’inakuy|qillqasqa|runa willakuy kitipi|runa willakuy kitipi: chuya qara niraq|willakuy|yanapakuy
	💁🏼;runa willakuy kitipi: tunpa chuya qara niraq;maki|mana p’inakuy|qillqasqa|runa willakuy kitipi|runa willakuy kitipi: tunpa chuya qara niraq|tunpa chuya qara niraq|willakuy|yanapakuy
	💁🏽;runa willakuy kitipi: tunpa qara niraq;maki|mana p’inakuy|qillqasqa|runa willakuy kitipi|runa willakuy kitipi: tunpa qara niraq|tunpa qara niraq|willakuy|yanapakuy
	💁🏾;runa willakuy kitipi: tunpa yana qara niraq;maki|mana p’inakuy|qillqasqa|runa willakuy kitipi|runa willakuy kitipi: tunpa yana qara niraq|tunpa yana qara niraq|willakuy|yanapakuy
	💁🏿;runa willakuy kitipi: yana qara niraq;maki|mana p’inakuy|qillqasqa|runa willakuy kitipi|runa willakuy kitipi: yana qara niraq|willakuy|yana qara niraq|yanapakuy
💁‍♂️;tata willakuy kitipi;mana p’inakuy|qillqasqa maki|tata|tata willakuy kitipi
	💁🏻‍♂️;tata willakuy kitipi: chuya qara niraq;chuya qara niraq|mana p’inakuy|qillqasqa maki|tata|tata willakuy kitipi|tata willakuy kitipi: chuya qara niraq
	💁🏼‍♂️;tata willakuy kitipi: tunpa chuya qara niraq;mana p’inakuy|qillqasqa maki|tata|tata willakuy kitipi|tata willakuy kitipi: tunpa chuya qara niraq|tunpa chuya qara niraq
	💁🏽‍♂️;tata willakuy kitipi: tunpa qara niraq;mana p’inakuy|qillqasqa maki|tata|tata willakuy kitipi|tata willakuy kitipi: tunpa qara niraq|tunpa qara niraq
	💁🏾‍♂️;tata willakuy kitipi: tunpa yana qara niraq;mana p’inakuy|qillqasqa maki|tata|tata willakuy kitipi|tata willakuy kitipi: tunpa yana qara niraq|tunpa yana qara niraq
	💁🏿‍♂️;tata willakuy kitipi: yana qara niraq;mana p’inakuy|qillqasqa maki|tata|tata willakuy kitipi|tata willakuy kitipi: yana qara niraq|yana qara niraq
💁‍♀️;warmi willakuy kitipi;mana p’inakuy|qillqasqa maki|warmi|warmi willakuy kitipi
	💁🏻‍♀️;warmi willakuy kitipi: chuya qara niraq;chuya qara niraq|mana p’inakuy|qillqasqa maki|warmi|warmi willakuy kitipi|warmi willakuy kitipi: chuya qara niraq
	💁🏼‍♀️;warmi willakuy kitipi: tunpa chuya qara niraq;mana p’inakuy|qillqasqa maki|tunpa chuya qara niraq|warmi|warmi willakuy kitipi|warmi willakuy kitipi: tunpa chuya qara niraq
	💁🏽‍♀️;warmi willakuy kitipi: tunpa qara niraq;mana p’inakuy|qillqasqa maki|tunpa qara niraq|warmi|warmi willakuy kitipi|warmi willakuy kitipi: tunpa qara niraq
	💁🏾‍♀️;warmi willakuy kitipi: tunpa yana qara niraq;mana p’inakuy|qillqasqa maki|tunpa yana qara niraq|warmi|warmi willakuy kitipi|warmi willakuy kitipi: tunpa yana qara niraq
	💁🏿‍♀️;warmi willakuy kitipi: yana qara niraq;mana p’inakuy|qillqasqa maki|warmi|warmi willakuy kitipi|warmi willakuy kitipi: yana qara niraq|yana qara niraq
🙋;runa makita hatarichiy;gesto|hatarichisqa|kusi|maki|runa makita hatarichiy
	🙋🏻;runa makita hatarichiy: chuya qara niraq;chuya qara niraq|gesto|hatarichisqa|kusi|maki|runa makita hatarichiy|runa makita hatarichiy: chuya qara niraq
	🙋🏼;runa makita hatarichiy: tunpa chuya qara niraq;gesto|hatarichisqa|kusi|maki|runa makita hatarichiy|runa makita hatarichiy: tunpa chuya qara niraq|tunpa chuya qara niraq
	🙋🏽;runa makita hatarichiy: tunpa qara niraq;gesto|hatarichisqa|kusi|maki|runa makita hatarichiy|runa makita hatarichiy: tunpa qara niraq|tunpa qara niraq
	🙋🏾;runa makita hatarichiy: tunpa yana qara niraq;gesto|hatarichisqa|kusi|maki|runa makita hatarichiy|runa makita hatarichiy: tunpa yana qara niraq|tunpa yana qara niraq
	🙋🏿;runa makita hatarichiy: yana qara niraq;gesto|hatarichisqa|kusi|maki|runa makita hatarichiy|runa makita hatarichiy: yana qara niraq|yana qara niraq
🙋‍♂️;tata makita hatarichiy;gesto|hatarichisqa maki|tata|tata makita hatarichiy
	🙋🏻‍♂️;tata makita hatarichiy: chuya qara niraq;chuya qara niraq|gesto|hatarichisqa maki|tata|tata makita hatarichiy|tata makita hatarichiy: chuya qara niraq
	🙋🏼‍♂️;tata makita hatarichiy: tunpa chuya qara niraq;gesto|hatarichisqa maki|tata|tata makita hatarichiy|tata makita hatarichiy: tunpa chuya qara niraq|tunpa chuya qara niraq
	🙋🏽‍♂️;tata makita hatarichiy: tunpa qara niraq;gesto|hatarichisqa maki|tata|tata makita hatarichiy|tata makita hatarichiy: tunpa qara niraq|tunpa qara niraq
	🙋🏾‍♂️;tata makita hatarichiy: tunpa yana qara niraq;gesto|hatarichisqa maki|tata|tata makita hatarichiy|tata makita hatarichiy: tunpa yana qara niraq|tunpa yana qara niraq
	🙋🏿‍♂️;tata makita hatarichiy: yana qara niraq;gesto|hatarichisqa maki|tata|tata makita hatarichiy|tata makita hatarichiy: yana qara niraq|yana qara niraq
🙋‍♀️;warmi makita hatarichiy;gesto|hatarichisqa maki|warmi|warmi makita hatarichiy
	🙋🏻‍♀️;warmi makita hatarichiy: chuya qara niraq;chuya qara niraq|gesto|hatarichisqa maki|warmi|warmi makita hatarichiy|warmi makita hatarichiy: chuya qara niraq
	🙋🏼‍♀️;warmi makita hatarichiy: tunpa chuya qara niraq;gesto|hatarichisqa maki|tunpa chuya qara niraq|warmi|warmi makita hatarichiy|warmi makita hatarichiy: tunpa chuya qara niraq
	🙋🏽‍♀️;warmi makita hatarichiy: tunpa qara niraq;gesto|hatarichisqa maki|tunpa qara niraq|warmi|warmi makita hatarichiy|warmi makita hatarichiy: tunpa qara niraq
	🙋🏾‍♀️;warmi makita hatarichiy: tunpa yana qara niraq;gesto|hatarichisqa maki|tunpa yana qara niraq|warmi|warmi makita hatarichiy|warmi makita hatarichiy: tunpa yana qara niraq
	🙋🏿‍♀️;warmi makita hatarichiy: yana qara niraq;gesto|hatarichisqa maki|warmi|warmi makita hatarichiy|warmi makita hatarichiy: yana qara niraq|yana qara niraq
🧏;luqtʼu runa;haykurinalla|luqtʼu|luqtʼu runa|ninri|uyariy
	🧏🏻;luqtʼu runa: chuya qara niraq;chuya qara niraq|haykurinalla|luqtʼu|luqtʼu runa|luqtʼu runa: chuya qara niraq|ninri|uyariy
	🧏🏼;luqtʼu runa: tunpa chuya qara niraq;haykurinalla|luqtʼu|luqtʼu runa|luqtʼu runa: tunpa chuya qara niraq|ninri|tunpa chuya qara niraq|uyariy
	🧏🏽;luqtʼu runa: tunpa qara niraq;haykurinalla|luqtʼu|luqtʼu runa|luqtʼu runa: tunpa qara niraq|ninri|tunpa qara niraq|uyariy
	🧏🏾;luqtʼu runa: tunpa yana qara niraq;haykurinalla|luqtʼu|luqtʼu runa|luqtʼu runa: tunpa yana qara niraq|ninri|tunpa yana qara niraq|uyariy
	🧏🏿;luqtʼu runa: yana qara niraq;haykurinalla|luqtʼu|luqtʼu runa|luqtʼu runa: yana qara niraq|ninri|uyariy|yana qara niraq
🧏‍♂️;ruqtʼu runa;runa|ruqtʼu
	🧏🏻‍♂️;ruqtʼu runa: chuya qara niraq;chuya qara niraq|runa|ruqtʼu|ruqtʼu runa: chuya qara niraq
	🧏🏼‍♂️;ruqtʼu runa: tunpa chuya qara niraq;runa|ruqtʼu|ruqtʼu runa: tunpa chuya qara niraq|tunpa chuya qara niraq
	🧏🏽‍♂️;ruqtʼu runa: tunpa qara niraq;runa|ruqtʼu|ruqtʼu runa: tunpa qara niraq|tunpa qara niraq
	🧏🏾‍♂️;ruqtʼu runa: tunpa yana qara niraq;runa|ruqtʼu|ruqtʼu runa: tunpa yana qara niraq|tunpa yana qara niraq
	🧏🏿‍♂️;ruqtʼu runa: yana qara niraq;runa|ruqtʼu|ruqtʼu runa: yana qara niraq|yana qara niraq
🧏‍♀️;luqʼu warmi;luqtʼu|luqʼu warmi|warmi
	🧏🏻‍♀️;luqʼu warmi: chuya qara niraq;chuya qara niraq|luqtʼu|luqʼu warmi|luqʼu warmi: chuya qara niraq|warmi
	🧏🏼‍♀️;luqʼu warmi: tunpa chuya qara niraq;luqtʼu|luqʼu warmi|luqʼu warmi: tunpa chuya qara niraq|tunpa chuya qara niraq|warmi
	🧏🏽‍♀️;luqʼu warmi: tunpa qara niraq;luqtʼu|luqʼu warmi|luqʼu warmi: tunpa qara niraq|tunpa qara niraq|warmi
	🧏🏾‍♀️;luqʼu warmi: tunpa yana qara niraq;luqtʼu|luqʼu warmi|luqʼu warmi: tunpa yana qara niraq|tunpa yana qara niraq|warmi
	🧏🏿‍♀️;luqʼu warmi: yana qara niraq;luqtʼu|luqʼu warmi|luqʼu warmi: yana qara niraq|warmi|yana qara niraq
🙇;upaykusqa runa;gesto|qhispichiway|qhispichiy|upaykusqa runa|upaykuy
	🙇🏻;upaykusqa runa: chuya qara niraq;chuya qara niraq|gesto|qhispichiway|qhispichiy|upaykusqa runa|upaykusqa runa: chuya qara niraq|upaykuy
	🙇🏼;upaykusqa runa: tunpa chuya qara niraq;gesto|qhispichiway|qhispichiy|tunpa chuya qara niraq|upaykusqa runa|upaykusqa runa: tunpa chuya qara niraq|upaykuy
	🙇🏽;upaykusqa runa: tunpa qara niraq;gesto|qhispichiway|qhispichiy|tunpa qara niraq|upaykusqa runa|upaykusqa runa: tunpa qara niraq|upaykuy
	🙇🏾;upaykusqa runa: tunpa yana qara niraq;gesto|qhispichiway|qhispichiy|tunpa yana qara niraq|upaykusqa runa|upaykusqa runa: tunpa yana qara niraq|upaykuy
	🙇🏿;upaykusqa runa: yana qara niraq;gesto|qhispichiway|qhispichiy|upaykusqa runa|upaykusqa runa: yana qara niraq|upaykuy|yana qara niraq
🙇‍♂️;upaykusqa tata;gesto|khuyay|qhispichiway|qhispichiy|tata|upaykusqa
	🙇🏻‍♂️;upaykusqa tata: chuya qara niraq;chuya qara niraq|gesto|khuyay|qhispichiway|qhispichiy|tata|upaykusqa|upaykusqa tata: chuya qara niraq
	🙇🏼‍♂️;upaykusqa tata: tunpa chuya qara niraq;gesto|khuyay|qhispichiway|qhispichiy|tata|tunpa chuya qara niraq|upaykusqa|upaykusqa tata: tunpa chuya qara niraq
	🙇🏽‍♂️;upaykusqa tata: tunpa qara niraq;gesto|khuyay|qhispichiway|qhispichiy|tata|tunpa qara niraq|upaykusqa|upaykusqa tata: tunpa qara niraq
	🙇🏾‍♂️;upaykusqa tata: tunpa yana qara niraq;gesto|khuyay|qhispichiway|qhispichiy|tata|tunpa yana qara niraq|upaykusqa|upaykusqa tata: tunpa yana qara niraq
	🙇🏿‍♂️;upaykusqa tata: yana qara niraq;gesto|khuyay|qhispichiway|qhispichiy|tata|upaykusqa|upaykusqa tata: yana qara niraq|yana qara niraq
🙇‍♀️;upaykusqa warmi;gesto|khuyay|qhispichiway|qhispichiy|upaykusqa|warmi
	🙇🏻‍♀️;upaykusqa warmi: chuya qara niraq;chuya qara niraq|gesto|khuyay|qhispichiway|qhispichiy|upaykusqa|upaykusqa warmi: chuya qara niraq|warmi
	🙇🏼‍♀️;upaykusqa warmi: tunpa chuya qara niraq;gesto|khuyay|qhispichiway|qhispichiy|tunpa chuya qara niraq|upaykusqa|upaykusqa warmi: tunpa chuya qara niraq|warmi
	🙇🏽‍♀️;upaykusqa warmi: tunpa qara niraq;gesto|khuyay|qhispichiway|qhispichiy|tunpa qara niraq|upaykusqa|upaykusqa warmi: tunpa qara niraq|warmi
	🙇🏾‍♀️;upaykusqa warmi: tunpa yana qara niraq;gesto|khuyay|qhispichiway|qhispichiy|tunpa yana qara niraq|upaykusqa|upaykusqa warmi: tunpa yana qara niraq|warmi
	🙇🏿‍♀️;upaykusqa warmi: yana qara niraq;gesto|khuyay|qhispichiway|qhispichiy|upaykusqa|upaykusqa warmi: yana qara niraq|warmi|yana qara niraq
🤦;runa makian uyapi;chunta|iñiynin|runa makian uyapi|tapuna|uya
	🤦🏻;runa makian uyapi: chuya qara niraq;chunta|chuya qara niraq|iñiynin|runa makian uyapi|runa makian uyapi: chuya qara niraq|tapuna|uya
	🤦🏼;runa makian uyapi: tunpa chuya qara niraq;chunta|iñiynin|runa makian uyapi|runa makian uyapi: tunpa chuya qara niraq|tapuna|tunpa chuya qara niraq|uya
	🤦🏽;runa makian uyapi: tunpa qara niraq;chunta|iñiynin|runa makian uyapi|runa makian uyapi: tunpa qara niraq|tapuna|tunpa qara niraq|uya
	🤦🏾;runa makian uyapi: tunpa yana qara niraq;chunta|iñiynin|runa makian uyapi|runa makian uyapi: tunpa yana qara niraq|tapuna|tunpa yana qara niraq|uya
	🤦🏿;runa makian uyapi: yana qara niraq;chunta|iñiynin|runa makian uyapi|runa makian uyapi: yana qara niraq|tapuna|uya|yana qara niraq
🤦‍♂️;tata makiwan uyapi;iñiynin|maki t’aqlla|tapuna|tata|tata makiwan uyapi
	🤦🏻‍♂️;tata makiwan uyapi: chuya qara niraq;chuya qara niraq|iñiynin|maki t’aqlla|tapuna|tata|tata makiwan uyapi|tata makiwan uyapi: chuya qara niraq
	🤦🏼‍♂️;tata makiwan uyapi: tunpa chuya qara niraq;iñiynin|maki t’aqlla|tapuna|tata|tata makiwan uyapi|tata makiwan uyapi: tunpa chuya qara niraq|tunpa chuya qara niraq
	🤦🏽‍♂️;tata makiwan uyapi: tunpa qara niraq;iñiynin|maki t’aqlla|tapuna|tata|tata makiwan uyapi|tata makiwan uyapi: tunpa qara niraq|tunpa qara niraq
	🤦🏾‍♂️;tata makiwan uyapi: tunpa yana qara niraq;iñiynin|maki t’aqlla|tapuna|tata|tata makiwan uyapi|tata makiwan uyapi: tunpa yana qara niraq|tunpa yana qara niraq
	🤦🏿‍♂️;tata makiwan uyapi: yana qara niraq;iñiynin|maki t’aqlla|tapuna|tata|tata makiwan uyapi|tata makiwan uyapi: yana qara niraq|yana qara niraq
🤦‍♀️;warmi makian uyapi;iñiynin|maki t’aqlla|tapuna|warmi|warmi makian uyapi
	🤦🏻‍♀️;warmi makian uyapi: chuya qara niraq;chuya qara niraq|iñiynin|maki t’aqlla|tapuna|warmi|warmi makian uyapi|warmi makian uyapi: chuya qara niraq
	🤦🏼‍♀️;warmi makian uyapi: tunpa chuya qara niraq;iñiynin|maki t’aqlla|tapuna|tunpa chuya qara niraq|warmi|warmi makian uyapi|warmi makian uyapi: tunpa chuya qara niraq
	🤦🏽‍♀️;warmi makian uyapi: tunpa qara niraq;iñiynin|maki t’aqlla|tapuna|tunpa qara niraq|warmi|warmi makian uyapi|warmi makian uyapi: tunpa qara niraq
	🤦🏾‍♀️;warmi makian uyapi: tunpa yana qara niraq;iñiynin|maki t’aqlla|tapuna|tunpa yana qara niraq|warmi|warmi makian uyapi|warmi makian uyapi: tunpa yana qara niraq
	🤦🏿‍♀️;warmi makian uyapi: yana qara niraq;iñiynin|maki t’aqlla|tapuna|warmi|warmi makian uyapi|warmi makian uyapi: yana qara niraq|yana qara niraq
🤷;runa rikrakunayuq hatarichiy;chiri sunqu|hatarichiy|pantay|runa rikrakunayuq hatarichiy|thuki
	🤷🏻;runa rikrakunayuq hatarichiy: chuya qara niraq;chiri sunqu|chuya qara niraq|hatarichiy|pantay|runa rikrakunayuq hatarichiy|runa rikrakunayuq hatarichiy: chuya qara niraq|thuki
	🤷🏼;runa rikrakunayuq hatarichiy: tunpa chuya qara niraq;chiri sunqu|hatarichiy|pantay|runa rikrakunayuq hatarichiy|runa rikrakunayuq hatarichiy: tunpa chuya qara niraq|thuki|tunpa chuya qara niraq
	🤷🏽;runa rikrakunayuq hatarichiy: tunpa qara niraq;chiri sunqu|hatarichiy|pantay|runa rikrakunayuq hatarichiy|runa rikrakunayuq hatarichiy: tunpa qara niraq|thuki|tunpa qara niraq
	🤷🏾;runa rikrakunayuq hatarichiy: tunpa yana qara niraq;chiri sunqu|hatarichiy|pantay|runa rikrakunayuq hatarichiy|runa rikrakunayuq hatarichiy: tunpa yana qara niraq|thuki|tunpa yana qara niraq
	🤷🏿;runa rikrakunayuq hatarichiy: yana qara niraq;chiri sunqu|hatarichiy|pantay|runa rikrakunayuq hatarichiy|runa rikrakunayuq hatarichiy: yana qara niraq|thuki|yana qara niraq
🤷‍♂️;tata rikrakunayuq hatarichiy;chiri sunqu|hatarichiy|pantay|tata|tata rikrakunayuq hatarichiy|thuki
	🤷🏻‍♂️;tata rikrakunayuq hatarichiy: chuya qara niraq;chiri sunqu|chuya qara niraq|hatarichiy|pantay|tata|tata rikrakunayuq hatarichiy|tata rikrakunayuq hatarichiy: chuya qara niraq|thuki
	🤷🏼‍♂️;tata rikrakunayuq hatarichiy: tunpa chuya qara niraq;chiri sunqu|hatarichiy|pantay|tata|tata rikrakunayuq hatarichiy|tata rikrakunayuq hatarichiy: tunpa chuya qara niraq|thuki|tunpa chuya qara niraq
	🤷🏽‍♂️;tata rikrakunayuq hatarichiy: tunpa qara niraq;chiri sunqu|hatarichiy|pantay|tata|tata rikrakunayuq hatarichiy|tata rikrakunayuq hatarichiy: tunpa qara niraq|thuki|tunpa qara niraq
	🤷🏾‍♂️;tata rikrakunayuq hatarichiy: tunpa yana qara niraq;chiri sunqu|hatarichiy|pantay|tata|tata rikrakunayuq hatarichiy|tata rikrakunayuq hatarichiy: tunpa yana qara niraq|thuki|tunpa yana qara niraq
	🤷🏿‍♂️;tata rikrakunayuq hatarichiy: yana qara niraq;chiri sunqu|hatarichiy|pantay|tata|tata rikrakunayuq hatarichiy|tata rikrakunayuq hatarichiy: yana qara niraq|thuki|yana qara niraq
🤷‍♀️;warmi rikrakunayuq hatarichiy;chiri sunqu|hatarichiy|pantay|thuki|warmi|warmi rikrakunayuq hatarichiy
	🤷🏻‍♀️;warmi rikrakunayuq hatarichiy: chuya qara niraq;chiri sunqu|chuya qara niraq|hatarichiy|pantay|thuki|warmi|warmi rikrakunayuq hatarichiy|warmi rikrakunayuq hatarichiy: chuya qara niraq
	🤷🏼‍♀️;warmi rikrakunayuq hatarichiy: tunpa chuya qara niraq;chiri sunqu|hatarichiy|pantay|thuki|tunpa chuya qara niraq|warmi|warmi rikrakunayuq hatarichiy|warmi rikrakunayuq hatarichiy: tunpa chuya qara niraq
	🤷🏽‍♀️;warmi rikrakunayuq hatarichiy: tunpa qara niraq;chiri sunqu|hatarichiy|pantay|thuki|tunpa qara niraq|warmi|warmi rikrakunayuq hatarichiy|warmi rikrakunayuq hatarichiy: tunpa qara niraq
	🤷🏾‍♀️;warmi rikrakunayuq hatarichiy: tunpa yana qara niraq;chiri sunqu|hatarichiy|pantay|thuki|tunpa yana qara niraq|warmi|warmi rikrakunayuq hatarichiy|warmi rikrakunayuq hatarichiy: tunpa yana qara niraq
	🤷🏿‍♀️;warmi rikrakunayuq hatarichiy: yana qara niraq;chiri sunqu|hatarichiy|pantay|thuki|warmi|warmi rikrakunayuq hatarichiy|warmi rikrakunayuq hatarichiy: yana qara niraq|yana qara niraq
🧑‍⚕️;qhali kaywan llamkaq;enfermera|hanpiq|qhali kay|qhali kaywan llamkaq|terapista
	🧑🏻‍⚕️;qhali kaywan llamkaq: chuya qara niraq;chuya qara niraq|enfermera|hanpiq|qhali kay|qhali kaywan llamkaq|qhali kaywan llamkaq: chuya qara niraq|terapista
	🧑🏼‍⚕️;qhali kaywan llamkaq: tunpa chuya qara niraq;enfermera|hanpiq|qhali kay|qhali kaywan llamkaq|qhali kaywan llamkaq: tunpa chuya qara niraq|terapista|tunpa chuya qara niraq
	🧑🏽‍⚕️;qhali kaywan llamkaq: tunpa qara niraq;enfermera|hanpiq|qhali kay|qhali kaywan llamkaq|qhali kaywan llamkaq: tunpa qara niraq|terapista|tunpa qara niraq
	🧑🏾‍⚕️;qhali kaywan llamkaq: tunpa yana qara niraq;enfermera|hanpiq|qhali kay|qhali kaywan llamkaq|qhali kaywan llamkaq: tunpa yana qara niraq|terapista|tunpa yana qara niraq
	🧑🏿‍⚕️;qhali kaywan llamkaq: yana qara niraq;enfermera|hanpiq|qhali kay|qhali kaywan llamkaq|qhali kaywan llamkaq: yana qara niraq|terapista|yana qara niraq
👨‍⚕️;tata qhali kaywan llamkaq;enfermera|hanpiq|qhali kay|tata|tata qhali kaywan llamkaq|terapista
	👨🏻‍⚕️;tata qhali kaywan llamkaq: chuya qara niraq;chuya qara niraq|enfermera|hanpiq|qhali kay|tata|tata qhali kaywan llamkaq|tata qhali kaywan llamkaq: chuya qara niraq|terapista
	👨🏼‍⚕️;tata qhali kaywan llamkaq: tunpa chuya qara niraq;enfermera|hanpiq|qhali kay|tata|tata qhali kaywan llamkaq|tata qhali kaywan llamkaq: tunpa chuya qara niraq|terapista|tunpa chuya qara niraq
	👨🏽‍⚕️;tata qhali kaywan llamkaq: tunpa qara niraq;enfermera|hanpiq|qhali kay|tata|tata qhali kaywan llamkaq|tata qhali kaywan llamkaq: tunpa qara niraq|terapista|tunpa qara niraq
	👨🏾‍⚕️;tata qhali kaywan llamkaq: tunpa yana qara niraq;enfermera|hanpiq|qhali kay|tata|tata qhali kaywan llamkaq|tata qhali kaywan llamkaq: tunpa yana qara niraq|terapista|tunpa yana qara niraq
	👨🏿‍⚕️;tata qhali kaywan llamkaq: yana qara niraq;enfermera|hanpiq|qhali kay|tata|tata qhali kaywan llamkaq|tata qhali kaywan llamkaq: yana qara niraq|terapista|yana qara niraq
👩‍⚕️;warmi qhali kaywan llamkaq;enfermera|hanpiq|qhali kay|terapista|warmi|warmi qhali kaywan llamkaq
	👩🏻‍⚕️;warmi qhali kaywan llamkaq: chuya qara niraq;chuya qara niraq|enfermera|hanpiq|qhali kay|terapista|warmi|warmi qhali kaywan llamkaq|warmi qhali kaywan llamkaq: chuya qara niraq
	👩🏼‍⚕️;warmi qhali kaywan llamkaq: tunpa chuya qara niraq;enfermera|hanpiq|qhali kay|terapista|tunpa chuya qara niraq|warmi|warmi qhali kaywan llamkaq|warmi qhali kaywan llamkaq: tunpa chuya qara niraq
	👩🏽‍⚕️;warmi qhali kaywan llamkaq: tunpa qara niraq;enfermera|hanpiq|qhali kay|terapista|tunpa qara niraq|warmi|warmi qhali kaywan llamkaq|warmi qhali kaywan llamkaq: tunpa qara niraq
	👩🏾‍⚕️;warmi qhali kaywan llamkaq: tunpa yana qara niraq;enfermera|hanpiq|qhali kay|terapista|tunpa yana qara niraq|warmi|warmi qhali kaywan llamkaq|warmi qhali kaywan llamkaq: tunpa yana qara niraq
	👩🏿‍⚕️;warmi qhali kaywan llamkaq: yana qara niraq;enfermera|hanpiq|qhali kay|terapista|warmi|warmi qhali kaywan llamkaq|warmi qhali kaywan llamkaq: yana qara niraq|yana qara niraq
🧑‍🎓;yachakuq;graduado|yachakuq
	🧑🏻‍🎓;yachakuq: chuya qara niraq;chuya qara niraq|graduado|yachakuq|yachakuq: chuya qara niraq
	🧑🏼‍🎓;yachakuq: tunpa chuya qara niraq;graduado|tunpa chuya qara niraq|yachakuq|yachakuq: tunpa chuya qara niraq
	🧑🏽‍🎓;yachakuq: tunpa qara niraq;graduado|tunpa qara niraq|yachakuq|yachakuq: tunpa qara niraq
	🧑🏾‍🎓;yachakuq: tunpa yana qara niraq;graduado|tunpa yana qara niraq|yachakuq|yachakuq: tunpa yana qara niraq
	🧑🏿‍🎓;yachakuq: yana qara niraq;graduado|yachakuq|yachakuq: yana qara niraq|yana qara niraq
👨‍🎓;tata yachakuq;graduado|tata|yachakuq
