# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kusisqa uya;kusi|kusisqa uya|uya
🤯;tuqyasqa uma;mancharisqa|tuqyasqa|tuqyasqa uma
🤠;baquero uya chukuwan;baquera|baquero|baquero uya chukuwan|chuku|uya
🥳;qʼuchukusqa uya;chuku|jarana|qʼuchukusqa uya|raymi|waqra
🥸;pakasqa uya;lentekuna|mana riqsiqisqa|pakasqa|sinqa|uya
😎;kusisqa uya lenteswan;allinlla|inti|kusisqa uya lenteswan|kʼanchay|lentes de sol nisqa|uya
🤓;yuyaq uya;friki|uya|yuyaq
🧐;uya monoculowan;maskasqa|uya monoculowan
😕;chaqrusqa uya;chaqrusqa uya|eh|uya
🫤;uya wiksu simiwan;chinkachisqa|eseptiku|mana uyakusqa|mmm|uya wiksu simiwan
😟;llakisqa uya;llakisqa|uya
🙁;pisi llakisqa uya;llaki|pisi llakisqa uya|uya
☹️;sipʼusqa uya;sipʼusqa uya|sipʼuy|uya
😮;uya kichasqa simiwan;kichay|kʼacha|simi|uya|uya kichasqa simiwan
😯;chin kasqa uya;chin kasqa uya|chin niy|manchakusqa uya|mancharisqa
😲;añasqa uya;añasqa|chaqrusqa|llapan|uya
😳;manchakusqa uya;kuyusqa|manchakusqa|uya
🫪;distorsionado uya;chʼaqwasqa|hinchado|llakikuy|mancharikuy|musphasqa|unpu
🥺;uyllasqa uya;khuyakuy|llullu uya|uyllasqa uya|uyllay
🥹;uya wiqikunawan hapisqa;orgulloso|piña|uya wiqikunawan hapisqa|waqasqa|waqay
😦;añasqa uya kichasqa simiwan;añasqa uya kichasqa simiwan|añay|kichay|simi|uya
😧;ñakʼari uya;ñakʼari uya
😨;mancharisqa uya;manchachisqa|mancharisqa|manchariy|uya
😰;takurisqa uya sutʼuwan;anqas|chiri|sutʼu|takurisqa uya sutʼuwan|usqhasqa|uya
😥;llakisqa ichaqa llamsayasqa uya;llakisqa ichaqa llamkayasqa uya|llakisqa ichaqa llamsayasqa uya|llamsayasqa|sunqunnasqa uya|uf|uya
😢;waqasqa uya;llakisqa|uya|waqasqa uya|waqay|wiqi
😭;waqasqa uya wiqikunawan;llaki|llakisqa|uya|waqasqa uya wiqikunawan|wiqi
😱;uya qaparisqa manchanawan;khastuy|manay|manchasqa|qhapariy|uya|uya qaparisqa manchanawan
😖;pantasqa uya;pantasqa uya
😣;yanapakusqa uya;uya|yanapakusqa uya|yanapakuy
😞;sunqunnasqa uya;sunqunnasqa uya
😓;llakisqa uya sutʼuwan;chiri|llakisqa uya sutʼuwan|sutʼu|uya
😩;ayqusqa uya;ayqusqa|sayk’usqa|uya
😫;saykusqa uya;saykusqa|uya
🥱;hanyasqa uya;hanyasqa|hanyasqa uya|maji|majisqa
😤;uya qʼusñiwan sinqamanta;atipasqa|triunfo|uya|uya qʼusñiwan sinqamanta
😡;piñasqa uya;piña|piñasqa|piñay|puka|uya
😠;phiñakusqa uya;phiñakusqa|uya
🤬;uya unanchakunawan simipi;sullullchachkan|uya unanchakunawan simipi
😈;kusisqa uya waqrakunawan;fantasia|hadas willana|kusisqa|kusisqa uya waqrakunawan|uya|waqra
👿;phiñakusqa uya waqrakunawan;challi|fantasia|phiñakusqa uya waqrakunawan|saqra|supay|uya
💀;saqru;hadas willana|monstruo|saqru|uya|wañuy
☠️;saqru chaymanta chakatasqa tullukuna;chakatasqa tullukuna|monstruo|saqru|saqru chaymanta chakatasqa tullukuna|uya|wañuy
💩;aka;achka aka|aka|kaka|monstruo|popo|uya
🤡;pʼaqpaku uya;pʼaqpaku uya
👹;ogro;criatura|fantasia|hadas willana|monstruo|ogro|uya
