# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kusisqa uya;kusi|kusisqa uya|uya
	👩🏼‍💼;warmi oficina llamkaq: tunpa chuya qara niraq;kamachiq|oficinista|qatuna|tunpa chuya qara niraq|warmi|warmi oficina llamkaq|wasi k’achanchaq
	👩🏽‍💼;warmi oficina llamkaq: tunpa qara niraq;kamachiq|oficinista|qatuna|tunpa qara niraq|warmi|warmi oficina llamkaq|wasi k’achanchaq
	👩🏾‍💼;warmi oficina llamkaq: tunpa yana qara niraq;kamachiq|oficinista|qatuna|tunpa yana qara niraq|warmi|warmi oficina llamkaq|wasi k’achanchaq
	👩🏿‍💼;warmi oficina llamkaq: yana qara niraq;kamachiq|oficinista|qatuna|warmi|warmi oficina llamkaq|wasi k’achanchaq|yana qara niraq
🧑‍🔬;hamut’asqa;biologo|fisico|hamut’asqa|ingeniero|quimico
	🧑🏻‍🔬;hamut’asqa: chuya qara niraq;biologo|chuya qara niraq|fisico|hamut’asqa|ingeniero|quimico
	🧑🏼‍🔬;hamut’asqa: tunpa chuya qara niraq;biologo|fisico|hamut’asqa|ingeniero|quimico|tunpa chuya qara niraq
	🧑🏽‍🔬;hamut’asqa: tunpa qara niraq;biologo|fisico|hamut’asqa|ingeniero|quimico|tunpa qara niraq
	🧑🏾‍🔬;hamut’asqa: tunpa yana qara niraq;biologo|fisico|hamut’asqa|ingeniero|quimico|tunpa yana qara niraq
	🧑🏿‍🔬;hamut’asqa: yana qara niraq;biologo|fisico|hamut’asqa|ingeniero|quimico|yana qara niraq
👨‍🔬;tata hamut’asqa;biologo|fisico|hamut’asqa|ingeniero|quimico|tata
	👨🏻‍🔬;tata hamut’asqa: chuya qara niraq;biologo|chuya qara niraq|fisico|hamut’asqa|ingeniero|quimico|tata
	👨🏼‍🔬;tata hamut’asqa: tunpa chuya qara niraq;biologo|fisico|hamut’asqa|ingeniero|quimico|tata|tunpa chuya qara niraq
	👨🏽‍🔬;tata hamut’asqa: tunpa qara niraq;biologo|fisico|hamut’asqa|ingeniero|quimico|tata|tunpa qara niraq
	👨🏾‍🔬;tata hamut’asqa: tunpa yana qara niraq;biologo|fisico|hamut’asqa|ingeniero|quimico|tata|tunpa yana qara niraq
	👨🏿‍🔬;tata hamut’asqa: yana qara niraq;biologo|fisico|hamut’asqa|ingeniero|quimico|tata|yana qara niraq
👩‍🔬;warmi hamut’asqa;biologa|fisica|hamut’asqa|ingeniera|quimica|warmi
	👩🏻‍🔬;warmi hamut’asqa: chuya qara niraq;biologa|chuya qara niraq|fisica|hamut’asqa|ingeniera|quimica|warmi
	👩🏼‍🔬;warmi hamut’asqa: tunpa chuya qara niraq;biologa|fisica|hamut’asqa|ingeniera|quimica|tunpa chuya qara niraq|warmi
	👩🏽‍🔬;warmi hamut’asqa: tunpa qara niraq;biologa|fisica|hamut’asqa|ingeniera|quimica|tunpa qara niraq|warmi
	👩🏾‍🔬;warmi hamut’asqa: tunpa yana qara niraq;biologa|fisica|hamut’asqa|ingeniera|quimica|tunpa yana qara niraq|warmi
	👩🏿‍🔬;warmi hamut’asqa: yana qara niraq;biologa|fisica|hamut’asqa|ingeniera|quimica|warmi|yana qara niraq
🧑‍💻;tecnico;descifrador|kamaq|paqariq|software|tecnico
	🧑🏻‍💻;tecnico: chuya qara niraq;chuya qara niraq|descifrador|kamaq|paqariq|software|tecnico
	🧑🏼‍💻;tecnico: tunpa chuya qara niraq;descifrador|kamaq|paqariq|software|tecnico|tunpa chuya qara niraq
	🧑🏽‍💻;tecnico: tunpa qara niraq;descifrador|kamaq|paqariq|software|tecnico|tunpa qara niraq
	🧑🏾‍💻;tecnico: tunpa yana qara niraq;descifrador|kamaq|paqariq|software|tecnico|tunpa yana qara niraq
	🧑🏿‍💻;tecnico: yana qara niraq;descifrador|kamaq|paqariq|software|tecnico|yana qara niraq
👨‍💻;tata tecnico;descifrador|kamaq|paqariq|software|tata|tecnico
	👨🏻‍💻;tata tecnico: chuya qara niraq;chuya qara niraq|descifrador|kamaq|paqariq|software|tata|tecnico
	👨🏼‍💻;tata tecnico: tunpa chuya qara niraq;descifrador|kamaq|paqariq|software|tata|tecnico|tunpa chuya qara niraq
	👨🏽‍💻;tata tecnico: tunpa qara niraq;descifrador|kamaq|paqariq|software|tata|tecnico|tunpa qara niraq
	👨🏾‍💻;tata tecnico: tunpa yana qara niraq;descifrador|kamaq|paqariq|software|tata|tecnico|tunpa yana qara niraq
	👨🏿‍💻;tata tecnico: yana qara niraq;descifrador|kamaq|paqariq|software|tata|tecnico|yana qara niraq
👩‍💻;warmi tecnico;descifrador|kamaq|paqariq|software|tecnico|warmi
	👩🏻‍💻;warmi tecnico: chuya qara niraq;chuya qara niraq|descifrador|kamaq|paqariq|software|tecnico|warmi
	👩🏼‍💻;warmi tecnico: tunpa chuya qara niraq;descifrador|kamaq|paqariq|software|tecnico|tunpa chuya qara niraq|warmi
	👩🏽‍💻;warmi tecnico: tunpa qara niraq;descifrador|kamaq|paqariq|software|tecnico|tunpa qara niraq|warmi
	👩🏾‍💻;warmi tecnico: tunpa yana qara niraq;descifrador|kamaq|paqariq|software|tecnico|tunpa yana qara niraq|warmi
	👩🏿‍💻;warmi tecnico: yana qara niraq;descifrador|kamaq|paqariq|software|tecnico|warmi|yana qara niraq
🧑‍🎤;takiq;artista|imaymana yanakuq|quyllur|rock|takiq
	🧑🏻‍🎤;takiq: chuya qara niraq;artista|chuya qara niraq|imaymana yanakuq|quyllur|rock|takiq
	🧑🏼‍🎤;takiq: tunpa chuya qara niraq;artista|imaymana yanakuq|quyllur|rock|takiq|tunpa chuya qara niraq
	🧑🏽‍🎤;takiq: tunpa qara niraq;artista|imaymana yanakuq|quyllur|rock|takiq|tunpa qara niraq
	🧑🏾‍🎤;takiq: tunpa yana qara niraq;artista|imaymana yanakuq|quyllur|rock|takiq|tunpa yana qara niraq
	🧑🏿‍🎤;takiq: yana qara niraq;artista|imaymana yanakuq|quyllur|rock|takiq|yana qara niraq
👨‍🎤;tata takiq;artista|imaymana yanakuq|quyllur|rock|takiq|tata
	👨🏻‍🎤;tata takiq: chuya qara niraq;artista|chuya qara niraq|imaymana yanakuq|quyllur|rock|takiq|tata
	👨🏼‍🎤;tata takiq: tunpa chuya qara niraq;artista|imaymana yanakuq|quyllur|rock|takiq|tata|tunpa chuya qara niraq
	👨🏽‍🎤;tata takiq: tunpa qara niraq;artista|imaymana yanakuq|quyllur|rock|takiq|tata|tunpa qara niraq
	👨🏾‍🎤;tata takiq: tunpa yana qara niraq;artista|imaymana yanakuq|quyllur|rock|takiq|tata|tunpa yana qara niraq
	👨🏿‍🎤;tata takiq: yana qara niraq;artista|imaymana yanakuq|quyllur|rock|takiq|tata|yana qara niraq
👩‍🎤;warmi takiq;artista|imaymana yanakuq|quyllur|rock|takiq|warmi
	👩🏻‍🎤;warmi takiq: chuya qara niraq;artista|chuya qara niraq|imaymana yanakuq|quyllur|rock|takiq|warmi
	👩🏼‍🎤;warmi takiq: tunpa chuya qara niraq;artista|imaymana yanakuq|quyllur|rock|takiq|tunpa chuya qara niraq|warmi
	👩🏽‍🎤;warmi takiq: tunpa qara niraq;artista|imaymana yanakuq|quyllur|rock|takiq|tunpa qara niraq|warmi
	👩🏾‍🎤;warmi takiq: tunpa yana qara niraq;artista|imaymana yanakuq|quyllur|rock|takiq|tunpa yana qara niraq|warmi
	👩🏿‍🎤;warmi takiq: yana qara niraq;artista|imaymana yanakuq|quyllur|rock|takiq|warmi|yana qara niraq
🧑‍🎨;llimpiq;llimpiq|paleta
	🧑🏻‍🎨;llimpiq: chuya qara niraq;chuya qara niraq|llimpiq|paleta
	🧑🏼‍🎨;llimpiq: tunpa chuya qara niraq;llimpiq|paleta|tunpa chuya qara niraq
	🧑🏽‍🎨;llimpiq: tunpa qara niraq;llimpiq|paleta|tunpa qara niraq
	🧑🏾‍🎨;llimpiq: tunpa yana qara niraq;llimpiq|paleta|tunpa yana qara niraq
	🧑🏿‍🎨;llimpiq: yana qara niraq;llimpiq|paleta|yana qara niraq
👨‍🎨;tata llimpiq;llimpiq|paleta|tata
	👨🏻‍🎨;tata llimpiq: chuya qara niraq;chuya qara niraq|llimpiq|paleta|tata
	👨🏼‍🎨;tata llimpiq: tunpa chuya qara niraq;llimpiq|paleta|tata|tunpa chuya qara niraq
	👨🏽‍🎨;tata llimpiq: tunpa qara niraq;llimpiq|paleta|tata|tunpa qara niraq
	👨🏾‍🎨;tata llimpiq: tunpa yana qara niraq;llimpiq|paleta|tata|tunpa yana qara niraq
	👨🏿‍🎨;tata llimpiq: yana qara niraq;llimpiq|paleta|tata|yana qara niraq
👩‍🎨;warmi llimpiq;llimpiq|paleta|warmi
	👩🏻‍🎨;warmi llimpiq: chuya qara niraq;chuya qara niraq|llimpiq|paleta|warmi
	👩🏼‍🎨;warmi llimpiq: tunpa chuya qara niraq;llimpiq|paleta|tunpa chuya qara niraq|warmi
	👩🏽‍🎨;warmi llimpiq: tunpa qara niraq;llimpiq|paleta|tunpa qara niraq|warmi
	👩🏾‍🎨;warmi llimpiq: tunpa yana qara niraq;llimpiq|paleta|tunpa yana qara niraq|warmi
	👩🏿‍🎨;warmi llimpiq: yana qara niraq;llimpiq|paleta|warmi|yana qara niraq
🧑‍✈️;piloto;latap’isqu|piloto
	🧑🏻‍✈️;piloto: chuya qara niraq;chuya qara niraq|latap’isqu|piloto
	🧑🏼‍✈️;piloto: tunpa chuya qara niraq;latap’isqu|piloto|tunpa chuya qara niraq
	🧑🏽‍✈️;piloto: tunpa qara niraq;latap’isqu|piloto|tunpa qara niraq
	🧑🏾‍✈️;piloto: tunpa yana qara niraq;latap’isqu|piloto|tunpa yana qara niraq
	🧑🏿‍✈️;piloto: yana qara niraq;latap’isqu|piloto|yana qara niraq
👨‍✈️;tata piloto;latap’isqu|piloto|tata
	👨🏻‍✈️;tata piloto: chuya qara niraq;chuya qara niraq|latap’isqu|piloto|tata
	👨🏼‍✈️;tata piloto: tunpa chuya qara niraq;latap’isqu|piloto|tata|tunpa chuya qara niraq
	👨🏽‍✈️;tata piloto: tunpa qara niraq;latap’isqu|piloto|tata|tunpa qara niraq
	👨🏾‍✈️;tata piloto: tunpa yana qara niraq;latap’isqu|piloto|tata|tunpa yana qara niraq
	👨🏿‍✈️;tata piloto: yana qara niraq;latap’isqu|piloto|tata|yana qara niraq
👩‍✈️;warmi piloto;latap’isqu|piloto|warmi
	👩🏻‍✈️;warmi piloto: chuya qara niraq;chuya qara niraq|latap’isqu|piloto|warmi
	👩🏼‍✈️;warmi piloto: tunpa chuya qara niraq;latap’isqu|piloto|tunpa chuya qara niraq|warmi
	👩🏽‍✈️;warmi piloto: tunpa qara niraq;latap’isqu|piloto|tunpa qara niraq|warmi
	👩🏾‍✈️;warmi piloto: tunpa yana qara niraq;latap’isqu|piloto|tunpa yana qara niraq|warmi
	👩🏿‍✈️;warmi piloto: yana qara niraq;latap’isqu|piloto|warmi|yana qara niraq
🧑‍🚀;astronauta;astronauta|cohete
	🧑🏻‍🚀;astronauta: chuya qara niraq;astronauta|chuya qara niraq|cohete
	🧑🏼‍🚀;astronauta: tunpa chuya qara niraq;astronauta|cohete|tunpa chuya qara niraq
	🧑🏽‍🚀;astronauta: tunpa qara niraq;astronauta|cohete|tunpa qara niraq
	🧑🏾‍🚀;astronauta: tunpa yana qara niraq;astronauta|cohete|tunpa yana qara niraq
	🧑🏿‍🚀;astronauta: yana qara niraq;astronauta|cohete|yana qara niraq
👨‍🚀;tata astronauta;astronauta|cohete|tata
	👨🏻‍🚀;tata astronauta: chuya qara niraq;astronauta|chuya qara niraq|cohete|tata
	👨🏼‍🚀;tata astronauta: tunpa chuya qara niraq;astronauta|cohete|tata|tunpa chuya qara niraq
	👨🏽‍🚀;tata astronauta: tunpa qara niraq;astronauta|cohete|tata|tunpa qara niraq
	👨🏾‍🚀;tata astronauta: tunpa yana qara niraq;astronauta|cohete|tata|tunpa yana qara niraq
	👨🏿‍🚀;tata astronauta: yana qara niraq;astronauta|cohete|tata|yana qara niraq
👩‍🚀;warmi astronauta;astronauta|cohete|warmi
	👩🏻‍🚀;warmi astronauta: chuya qara niraq;astronauta|chuya qara niraq|cohete|warmi
	👩🏼‍🚀;warmi astronauta: tunpa chuya qara niraq;astronauta|cohete|tunpa chuya qara niraq|warmi
	👩🏽‍🚀;warmi astronauta: tunpa qara niraq;astronauta|cohete|tunpa qara niraq|warmi
	👩🏾‍🚀;warmi astronauta: tunpa yana qara niraq;astronauta|cohete|tunpa yana qara niraq|warmi
	👩🏿‍🚀;warmi astronauta: yana qara niraq;astronauta|cohete|warmi|yana qara niraq
🧑‍🚒;bombero;bombero|carru bombero
	🧑🏻‍🚒;bombero: chuya qara niraq;bombero|carru bombero|chuya qara niraq
	🧑🏼‍🚒;bombero: tunpa chuya qara niraq;bombero|carru bombero|tunpa chuya qara niraq
	🧑🏽‍🚒;bombero: tunpa qara niraq;bombero|carru bombero|tunpa qara niraq
	🧑🏾‍🚒;bombero: tunpa yana qara niraq;bombero|carru bombero|tunpa yana qara niraq
	🧑🏿‍🚒;bombero: yana qara niraq;bombero|carru bombero|yana qara niraq
👨‍🚒;tata bombero;bombero|carru bombero|tata
	👨🏻‍🚒;tata bombero: chuya qara niraq;bombero|carru bombero|chuya qara niraq|tata
	👨🏼‍🚒;tata bombero: tunpa chuya qara niraq;bombero|carru bombero|tata|tunpa chuya qara niraq
	👨🏽‍🚒;tata bombero: tunpa qara niraq;bombero|carru bombero|tata|tunpa qara niraq
	👨🏾‍🚒;tata bombero: tunpa yana qara niraq;bombero|carru bombero|tata|tunpa yana qara niraq
	👨🏿‍🚒;tata bombero: yana qara niraq;bombero|carru bombero|tata|yana qara niraq
👩‍🚒;warmi bombera;bombera|carru bombero|warmi
	👩🏻‍🚒;warmi bombera: chuya qara niraq;bombera|carru bombero|chuya qara niraq|warmi
	👩🏼‍🚒;warmi bombera: tunpa chuya qara niraq;bombera|carru bombero|tunpa chuya qara niraq|warmi
	👩🏽‍🚒;warmi bombera: tunpa qara niraq;bombera|carru bombero|tunpa qara niraq|warmi
	👩🏾‍🚒;warmi bombera: tunpa yana qara niraq;bombera|carru bombero|tunpa yana qara niraq|warmi
	👩🏿‍🚒;warmi bombera: yana qara niraq;bombera|carru bombero|warmi|yana qara niraq
👮;policia;hachu|oficial|paco|policia
	👮🏻;policia: chuya qara niraq;chuya qara niraq|hachu|oficial|paco|policia
	👮🏼;policia: tunpa chuya qara niraq;hachu|oficial|paco|policia|tunpa chuya qara niraq
	👮🏽;policia: tunpa qara niraq;hachu|oficial|paco|policia|tunpa qara niraq
	👮🏾;policia: tunpa yana qara niraq;hachu|oficial|paco|policia|tunpa yana qara niraq
	👮🏿;policia: yana qara niraq;hachu|oficial|paco|policia|yana qara niraq
👮‍♂️;tata policia;jach’u|oficial|paco|tata|tata policia
	👮🏻‍♂️;tata policia: chuya qara niraq;chuya qara niraq|jach’u|oficial|paco|tata|tata policia
	👮🏼‍♂️;tata policia: tunpa chuya qara niraq;jach’u|oficial|paco|tata|tata policia|tunpa chuya qara niraq
	👮🏽‍♂️;tata policia: tunpa qara niraq;jach’u|oficial|paco|tata|tata policia|tunpa qara niraq
	👮🏾‍♂️;tata policia: tunpa yana qara niraq;jach’u|oficial|paco|tata|tata policia|tunpa yana qara niraq
	👮🏿‍♂️;tata policia: yana qara niraq;jach’u|oficial|paco|tata|tata policia|yana qara niraq
👮‍♀️;warmi policia;jach’u|oficial|paco|warmi|warmi policia
	👮🏻‍♀️;warmi policia: chuya qara niraq;chuya qara niraq|jach’u|oficial|paco|warmi|warmi policia
	👮🏼‍♀️;warmi policia: tunpa chuya qara niraq;jach’u|oficial|paco|tunpa chuya qara niraq|warmi|warmi policia
	👮🏽‍♀️;warmi policia: tunpa qara niraq;jach’u|oficial|paco|tunpa qara niraq|warmi|warmi policia
	👮🏾‍♀️;warmi policia: tunpa yana qara niraq;jach’u|oficial|paco|tunpa yana qara niraq|warmi|warmi policia
	👮🏿‍♀️;warmi policia: yana qara niraq;jach’u|oficial|paco|warmi|warmi policia|yana qara niraq
🕵️;qhamiyaq;qawariy|qawmiwa|qhamiyaq
	🕵🏻;qhamiyaq: chuya qara niraq;chuya qara niraq|qawariy|qawmiwa|qhamiyaq
	🕵🏼;qhamiyaq: tunpa chuya qara niraq;qawariy|qawmiwa|qhamiyaq|tunpa chuya qara niraq
	🕵🏽;qhamiyaq: tunpa qara niraq;qawariy|qawmiwa|qhamiyaq|tunpa qara niraq
	🕵🏾;qhamiyaq: tunpa yana qara niraq;qawariy|qawmiwa|qhamiyaq|tunpa yana qara niraq
	🕵🏿;qhamiyaq: yana qara niraq;qawariy|qawmiwa|qhamiyaq|yana qara niraq
🕵️‍♂️;tata qhamiyaq;qawariy|qawmiwa|qhamiyaq|tata
	🕵🏻‍♂️;tata qhamiyaq: chuya qara niraq;chuya qara niraq|qawariy|qawmiwa|qhamiyaq|tata
	🕵🏼‍♂️;tata qhamiyaq: tunpa chuya qara niraq;qawariy|qawmiwa|qhamiyaq|tata|tunpa chuya qara niraq
	🕵🏽‍♂️;tata qhamiyaq: tunpa qara niraq;qawariy|qawmiwa|qhamiyaq|tata|tunpa qara niraq
	🕵🏾‍♂️;tata qhamiyaq: tunpa yana qara niraq;qawariy|qawmiwa|qhamiyaq|tata|tunpa yana qara niraq
	🕵🏿‍♂️;tata qhamiyaq: yana qara niraq;qawariy|qawmiwa|qhamiyaq|tata|yana qara niraq
🕵️‍♀️;warmi qhamiyaq;qawariy|qawmiwa|qhamiyaq|warmi
	🕵🏻‍♀️;warmi qhamiyaq: chuya qara niraq;chuya qara niraq|qawariy|qawmiwa|qhamiyaq|warmi
	🕵🏼‍♀️;warmi qhamiyaq: tunpa chuya qara niraq;qawariy|qawmiwa|qhamiyaq|tunpa chuya qara niraq|warmi
	🕵🏽‍♀️;warmi qhamiyaq: tunpa qara niraq;qawariy|qawmiwa|qhamiyaq|tunpa qara niraq|warmi
	🕵🏾‍♀️;warmi qhamiyaq: tunpa yana qara niraq;qawariy|qawmiwa|qhamiyaq|tunpa yana qara niraq|warmi
	🕵🏿‍♀️;warmi qhamiyaq: yana qara niraq;qawariy|qawmiwa|qhamiyaq|warmi|yana qara niraq
💂;guardia;guardia
	💂🏻;guardia: chuya qara niraq;chuya qara niraq|guardia
	💂🏼;guardia: tunpa chuya qara niraq;guardia|tunpa chuya qara niraq
	💂🏽;guardia: tunpa qara niraq;guardia|tunpa qara niraq
	💂🏾;guardia: tunpa yana qara niraq;guardia|tunpa yana qara niraq
	💂🏿;guardia: yana qara niraq;guardia|yana qara niraq
💂‍♂️;tata guardia;guardia|tata
	💂🏻‍♂️;tata guardia: chuya qara niraq;chuya qara niraq|guardia|tata
	💂🏼‍♂️;tata guardia: tunpa chuya qara niraq;guardia|tata|tunpa chuya qara niraq
	💂🏽‍♂️;tata guardia: tunpa qara niraq;guardia|tata|tunpa qara niraq
	💂🏾‍♂️;tata guardia: tunpa yana qara niraq;guardia|tata|tunpa yana qara niraq
	💂🏿‍♂️;tata guardia: yana qara niraq;guardia|tata|yana qara niraq
💂‍♀️;warmi guardia;guardia|warmi
	💂🏻‍♀️;warmi guardia: chuya qara niraq;chuya qara niraq|guardia|warmi
	💂🏼‍♀️;warmi guardia: tunpa chuya qara niraq;guardia|tunpa chuya qara niraq|warmi
	💂🏽‍♀️;warmi guardia: tunpa qara niraq;guardia|tunpa qara niraq|warmi
	💂🏾‍♀️;warmi guardia: tunpa yana qara niraq;guardia|tunpa yana qara niraq|warmi
	💂🏿‍♀️;warmi guardia: yana qara niraq;guardia|warmi|yana qara niraq
🥷;ninja;maqanakuy|ninja|pakasqa|siqilo
	🥷🏻;ninja: chuya qara niraq;chuya qara niraq|maqanakuy|ninja|pakasqa|siqilo
	🥷🏼;ninja: tunpa chuya qara niraq;maqanakuy|ninja|pakasqa|siqilo|tunpa chuya qara niraq
	🥷🏽;ninja: tunpa qara niraq;maqanakuy|ninja|pakasqa|siqilo|tunpa qara niraq
	🥷🏾;ninja: tunpa yana qara niraq;maqanakuy|ninja|pakasqa|siqilo|tunpa yana qara niraq
	🥷🏿;ninja: yana qara niraq;maqanakuy|ninja|pakasqa|siqilo|yana qara niraq
👷;Pirqaq;allichanapaq|allichay|chuku|llamkaq|llamkay|pirqaq|pirqay|runa
	👷🏻;Pirqaq: chuya qara niraq;allichanapaq|allichay|chuku|chuya qara niraq|llamkaq|llamkay|pirqaq|pirqay|runa
	👷🏼;Pirqaq: tunpa chuya qara niraq;allichanapaq|allichay|chuku|llamkaq|llamkay|pirqaq|pirqay|runa|tunpa chuya qara niraq
	👷🏽;Pirqaq: tunpa qara niraq;allichanapaq|allichay|chuku|llamkaq|llamkay|pirqaq|pirqay|runa|tunpa qara niraq
	👷🏾;Pirqaq: tunpa yana qara niraq;allichanapaq|allichay|chuku|llamkaq|llamkay|pirqaq|pirqay|runa|tunpa yana qara niraq
	👷🏿;Pirqaq: yana qara niraq;allichanapaq|allichay|chuku|llamkaq|llamkay|pirqaq|pirqay|runa|yana qara niraq
👷‍♂️;tata pirqaq;llamkaq|pirqaq|tata
	👷🏻‍♂️;tata pirqaq: chuya qara niraq;chuya qara niraq|llamkaq|pirqaq|tata
	👷🏼‍♂️;tata pirqaq: tunpa chuya qara niraq;llamkaq|pirqaq|tata|tunpa chuya qara niraq
	👷🏽‍♂️;tata pirqaq: tunpa qara niraq;llamkaq|pirqaq|tata|tunpa qara niraq
	👷🏾‍♂️;tata pirqaq: tunpa yana qara niraq;llamkaq|pirqaq|tata|tunpa yana qara niraq
	👷🏿‍♂️;tata pirqaq: yana qara niraq;llamkaq|pirqaq|tata|yana qara niraq
👷‍♀️;warmi pirqaq;llamkaq|pirqaq|warmi
	👷🏻‍♀️;warmi pirqaq: chuya qara niraq;chuya qara niraq|llamkaq|pirqaq|warmi
	👷🏼‍♀️;warmi pirqaq: tunpa chuya qara niraq;llamkaq|pirqaq|tunpa chuya qara niraq|warmi
	👷🏽‍♀️;warmi pirqaq: tunpa qara niraq;llamkaq|pirqaq|tunpa qara niraq|warmi
	👷🏾‍♀️;warmi pirqaq: tunpa yana qara niraq;llamkaq|pirqaq|tunpa yana qara niraq|warmi
	👷🏿‍♀️;warmi pirqaq: yana qara niraq;llamkaq|pirqaq|warmi|yana qara niraq
🫅;runa kurunawan;inka|qapaq|runa kurunawan|tata inka|uma runa
	🫅🏻;runa kurunawan: chuya qara niraq;chuya qara niraq|inka|qapaq|runa kurunawan|tata inka|uma runa
	🫅🏼;runa kurunawan: tunpa chuya qara niraq;inka|qapaq|runa kurunawan|tata inka|tunpa chuya qara niraq|uma runa
	🫅🏽;runa kurunawan: tunpa qara niraq;inka|qapaq|runa kurunawan|tata inka|tunpa qara niraq|uma runa
	🫅🏾;runa kurunawan: tunpa yana qara niraq;inka|qapaq|runa kurunawan|tata inka|tunpa yana qara niraq|uma runa
	🫅🏿;runa kurunawan: yana qara niraq;inka|qapaq|runa kurunawan|tata inka|uma runa|yana qara niraq
🤴;awki;awki
	🤴🏻;awki: chuya qara niraq;awki|chuya qara niraq
	🤴🏼;awki: tunpa chuya qara niraq;awki|tunpa chuya qara niraq
	🤴🏽;awki: tunpa qara niraq;awki|tunpa qara niraq
	🤴🏾;awki: tunpa yana qara niraq;awki|tunpa yana qara niraq
	🤴🏿;awki: yana qara niraq;awki|yana qara niraq
👸;ñusta;fantasia|hadas willarina|ñusta
	👸🏻;ñusta: chuya qara niraq;chuya qara niraq|fantasia|hadas willarina|ñusta
	👸🏼;ñusta: tunpa chuya qara niraq;fantasia|hadas willarina|ñusta|tunpa chuya qara niraq
	👸🏽;ñusta: tunpa qara niraq;fantasia|hadas willarina|ñusta|tunpa qara niraq
	👸🏾;ñusta: tunpa yana qara niraq;fantasia|hadas willarina|ñusta|tunpa yana qara niraq
	👸🏿;ñusta: yana qara niraq;fantasia|hadas willarina|ñusta|yana qara niraq
👳;runa turbantewan;runa turbantewan|turban
	👳🏻;runa turbantewan: chuya qara niraq;chuya qara niraq|runa turbantewan|turban
	👳🏼;runa turbantewan: tunpa chuya qara niraq;runa turbantewan|tunpa chuya qara niraq|turban
	👳🏽;runa turbantewan: tunpa qara niraq;runa turbantewan|tunpa qara niraq|turban
	👳🏾;runa turbantewan: tunpa yana qara niraq;runa turbantewan|tunpa yana qara niraq|turban
	👳🏿;runa turbantewan: yana qara niraq;runa turbantewan|turban|yana qara niraq
👳‍♂️;tata turbantewan;tata|tata turbantewan|turbante
	👳🏻‍♂️;tata turbantewan: chuya qara niraq;chuya qara niraq|tata|tata turbantewan|turbante
	👳🏼‍♂️;tata turbantewan: tunpa chuya qara niraq;tata|tata turbantewan|tunpa chuya qara niraq|turbante
	👳🏽‍♂️;tata turbantewan: tunpa qara niraq;tata|tata turbantewan|tunpa qara niraq|turbante
	👳🏾‍♂️;tata turbantewan: tunpa yana qara niraq;tata|tata turbantewan|tunpa yana qara niraq|turbante
	👳🏿‍♂️;tata turbantewan: yana qara niraq;tata|tata turbantewan|turbante|yana qara niraq
👳‍♀️;warmi turbantewan;turbante|warmi|warmi turbantewan
	👳🏻‍♀️;warmi turbantewan: chuya qara niraq;chuya qara niraq|turbante|warmi|warmi turbantewan
	👳🏼‍♀️;warmi turbantewan: tunpa chuya qara niraq;tunpa chuya qara niraq|turbante|warmi|warmi turbantewan
	👳🏽‍♀️;warmi turbantewan: tunpa qara niraq;tunpa qara niraq|turbante|warmi|warmi turbantewan
	👳🏾‍♀️;warmi turbantewan: tunpa yana qara niraq;tunpa yana qara niraq|turbante|warmi|warmi turbantewan
	👳🏿‍♀️;warmi turbantewan: yana qara niraq;turbante|warmi|warmi turbantewan|yana qara niraq
👲;runa casquetewan;casquete|chʼullu|gorra|gua pi mao|runa|runa casquetewan
	👲🏻;runa casquetewan: chuya qara niraq;casquete|chuya qara niraq|chʼullu|gorra|gua pi mao|runa|runa casquetewan
	👲🏼;runa casquetewan: tunpa chuya qara niraq;casquete|chʼullu|gorra|gua pi mao|runa|runa casquetewan|tunpa chuya qara niraq
	👲🏽;runa casquetewan: tunpa qara niraq;casquete|chʼullu|gorra|gua pi mao|runa|runa casquetewan|tunpa qara niraq
	👲🏾;runa casquetewan: tunpa yana qara niraq;casquete|chʼullu|gorra|gua pi mao|runa|runa casquetewan|tunpa yana qara niraq
	👲🏿;runa casquetewan: yana qara niraq;casquete|chʼullu|gorra|gua pi mao|runa|runa casquetewan|yana qara niraq
🧕;warmi barbijowan;barbijo|hijab|mantilla|tichel|warmi barbijiwan|warmi barbijowan
	🧕🏻;warmi barbijowan: chuya qara niraq;barbijo|chuya qara niraq|hijab|mantilla|tichel|warmi barbijiwan|warmi barbijowan
	🧕🏼;warmi barbijowan: tunpa chuya qara niraq;barbijo|hijab|mantilla|tichel|tunpa chuya qara niraq|warmi barbijiwan|warmi barbijowan
	🧕🏽;warmi barbijowan: tunpa qara niraq;barbijo|hijab|mantilla|tichel|tunpa qara niraq|warmi barbijiwan|warmi barbijowan
	🧕🏾;warmi barbijowan: tunpa yana qara niraq;barbijo|hijab|mantilla|tichel|tunpa yana qara niraq|warmi barbijiwan|warmi barbijowan
	🧕🏿;warmi barbijowan: yana qara niraq;barbijo|hijab|mantilla|tichel|warmi barbijiwan|warmi barbijowan|yana qara niraq
🤵;runa tuxedopi;machu wayna|runa|runa tuxedopi|tuxedo
	🤵🏻;runa tuxedopi: chuya qara niraq;chuya qara niraq|machu wayna|runa|runa tuxedopi|tuxedo
	🤵🏼;runa tuxedopi: tunpa chuya qara niraq;machu wayna|runa|runa tuxedopi|tunpa chuya qara niraq|tuxedo
