# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ubuso obuhlekayo;hleka|ubuso|ubuso obuhlekayo
	👯🏼;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba esikhanyayo phakathi;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo phakathi|umdanisi
	👯🏽;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba esiphakathi;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esiphakathi|umdanisi
	👯🏾;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba esiphakathi mnyama;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esiphakathi mnyama|umdanisi
	👯🏿;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba emnyama;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba emnyama|umdanisi
👯‍♂️;amadoda aneneendlebe zomvundla akwitheko;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|umdanisi
	👯🏻‍♂️;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esikhanyayo;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba esikhanyayo|umdanisi
	👯🏼‍♂️;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esikhanyayo phakathi;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba esikhanyayo phakathi|umdanisi
	👯🏽‍♂️;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esiphakathi;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba esiphakathi|umdanisi
	👯🏾‍♂️;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esiphakathi mnyama;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba esiphakathi mnyama|umdanisi
	👯🏿‍♂️;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba emnyama;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba emnyama|umdanisi
👯‍♀️;ibhinqa elineendlebe zomvundla elikwitheko;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|umdanisi
	👯🏻‍♀️;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esikhanyayo;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo|umdanisi
	👯🏼‍♀️;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esikhanyayo phakathi;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo phakathi|umdanisi
	👯🏽‍♀️;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esiphakathi;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esiphakathi|umdanisi
	👯🏾‍♀️;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esiphakathi mnyama;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esiphakathi mnyama|umdanisi
	👯🏿‍♀️;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba emnyama;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba emnyama|umdanisi
	🧑🏻‍🐰‍🧑🏼;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba esikhanyayo, ithoni yesikhumba esikhanyayo phakathi;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|umdanisi
	🧑🏻‍🐰‍🧑🏽;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|umdanisi
	🧑🏻‍🐰‍🧑🏾;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi mnyama;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|umdanisi
	🧑🏻‍🐰‍🧑🏿;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba esikhanyayo, ithoni yesikhumba emnyama;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|umdanisi
	🧑🏼‍🐰‍🧑🏻;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esikhanyayo;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|umdanisi
	🧑🏼‍🐰‍🧑🏽;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|umdanisi
	🧑🏼‍🐰‍🧑🏾;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi mnyama;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|umdanisi
	🧑🏼‍🐰‍🧑🏿;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba emnyama;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|umdanisi
	🧑🏽‍🐰‍🧑🏻;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|umdanisi
	🧑🏽‍🐰‍🧑🏼;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo phakathi;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|umdanisi
	🧑🏽‍🐰‍🧑🏾;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba esiphakathi, ithoni yesikhumba esiphakathi mnyama;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|umdanisi
	🧑🏽‍🐰‍🧑🏿;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba esiphakathi, ithoni yesikhumba emnyama;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|umdanisi
	🧑🏾‍🐰‍🧑🏻;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|umdanisi
	🧑🏾‍🐰‍🧑🏼;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo phakathi;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|umdanisi
	🧑🏾‍🐰‍🧑🏽;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esiphakathi;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|umdanisi
	🧑🏾‍🐰‍🧑🏿;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba emnyama;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|umdanisi
	🧑🏿‍🐰‍🧑🏻;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|umdanisi
	🧑🏿‍🐰‍🧑🏼;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo phakathi;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|umdanisi
	🧑🏿‍🐰‍🧑🏽;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|umdanisi
	🧑🏿‍🐰‍🧑🏾;abantu abaneendlebe zomvundla abakwitheko: ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi mnyama;abantu abaneendlebe zomvundla abakwitheko|indlebe yomvundla|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|umdanisi
	👨🏻‍🐰‍👨🏼;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esikhanyayo, ithoni yesikhumba esikhanyayo phakathi;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|umdanisi
	👨🏻‍🐰‍👨🏽;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|umdanisi
	👨🏻‍🐰‍👨🏾;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi mnyama;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|umdanisi
	👨🏻‍🐰‍👨🏿;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esikhanyayo, ithoni yesikhumba emnyama;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|umdanisi
	👨🏼‍🐰‍👨🏻;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esikhanyayo;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|umdanisi
	👨🏼‍🐰‍👨🏽;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|umdanisi
	👨🏼‍🐰‍👨🏾;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi mnyama;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|umdanisi
	👨🏼‍🐰‍👨🏿;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba emnyama;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|umdanisi
	👨🏽‍🐰‍👨🏻;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|umdanisi
	👨🏽‍🐰‍👨🏼;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo phakathi;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|umdanisi
	👨🏽‍🐰‍👨🏾;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esiphakathi, ithoni yesikhumba esiphakathi mnyama;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|umdanisi
	👨🏽‍🐰‍👨🏿;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esiphakathi, ithoni yesikhumba emnyama;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|umdanisi
	👨🏾‍🐰‍👨🏻;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|umdanisi
	👨🏾‍🐰‍👨🏼;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo phakathi;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|umdanisi
	👨🏾‍🐰‍👨🏽;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esiphakathi;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|umdanisi
	👨🏾‍🐰‍👨🏿;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba emnyama;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|umdanisi
	👨🏿‍🐰‍👨🏻;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|umdanisi
	👨🏿‍🐰‍👨🏼;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo phakathi;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|umdanisi
	👨🏿‍🐰‍👨🏽;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|umdanisi
	👨🏿‍🐰‍👨🏾;amadoda aneneendlebe zomvundla akwitheko: ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi mnyama;amadoda aneneendlebe zomvundla akwitheko|indlebe yomvundla|indoda|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|umdanisi
	👩🏻‍🐰‍👩🏼;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esikhanyayo, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|umdanisi
	👩🏻‍🐰‍👩🏽;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|umdanisi
	👩🏻‍🐰‍👩🏾;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi mnyama;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|umdanisi
	👩🏻‍🐰‍👩🏿;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esikhanyayo, ithoni yesikhumba emnyama;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|umdanisi
	👩🏼‍🐰‍👩🏻;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esikhanyayo;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|umdanisi
	👩🏼‍🐰‍👩🏽;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|umdanisi
	👩🏼‍🐰‍👩🏾;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi mnyama;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|umdanisi
	👩🏼‍🐰‍👩🏿;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba emnyama;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|umdanisi
	👩🏽‍🐰‍👩🏻;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|umdanisi
	👩🏽‍🐰‍👩🏼;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|umdanisi
	👩🏽‍🐰‍👩🏾;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esiphakathi, ithoni yesikhumba esiphakathi mnyama;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|umdanisi
	👩🏽‍🐰‍👩🏿;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esiphakathi, ithoni yesikhumba emnyama;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|umdanisi
	👩🏾‍🐰‍👩🏻;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|umdanisi
	👩🏾‍🐰‍👩🏼;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|umdanisi
	👩🏾‍🐰‍👩🏽;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esiphakathi;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|umdanisi
	👩🏾‍🐰‍👩🏿;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba emnyama;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|umdanisi
	👩🏿‍🐰‍👩🏻;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|umdanisi
	👩🏿‍🐰‍👩🏼;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|umdanisi
	👩🏿‍🐰‍👩🏽;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|umdanisi
	👩🏿‍🐰‍👩🏾;ibhinqa elineendlebe zomvundla elikwitheko: ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi mnyama;ibhinqa|ibhinqa elineendlebe zomvundla elikwitheko|indlebe yomvundla|itheko|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|umdanisi
🧖;umntu okwigumbi lomphunga;i-sauna|igumbi lomphunga|umntu okwigumbi lomphunga
	🧖🏻;umntu okwigumbi lomphunga: ithoni yesikhumba esikhanyayo;i-sauna|igumbi lomphunga|ithoni yesikhumba esikhanyayo|umntu okwigumbi lomphunga
	🧖🏼;umntu okwigumbi lomphunga: ithoni yesikhumba esikhanyayo phakathi;i-sauna|igumbi lomphunga|ithoni yesikhumba esikhanyayo phakathi|umntu okwigumbi lomphunga
	🧖🏽;umntu okwigumbi lomphunga: ithoni yesikhumba esiphakathi;i-sauna|igumbi lomphunga|ithoni yesikhumba esiphakathi|umntu okwigumbi lomphunga
	🧖🏾;umntu okwigumbi lomphunga: ithoni yesikhumba esiphakathi mnyama;i-sauna|igumbi lomphunga|ithoni yesikhumba esiphakathi mnyama|umntu okwigumbi lomphunga
	🧖🏿;umntu okwigumbi lomphunga: ithoni yesikhumba emnyama;i-sauna|igumbi lomphunga|ithoni yesikhumba emnyama|umntu okwigumbi lomphunga
🧖‍♂️;indoda ekwigumbi lomphunga;i-sauna|igumbi lomphunga|indoda ekwigumbi lomphunga
	🧖🏻‍♂️;indoda ekwigumbi lomphunga: ithoni yesikhumba esikhanyayo;i-sauna|igumbi lomphunga|indoda ekwigumbi lomphunga|ithoni yesikhumba esikhanyayo
	🧖🏼‍♂️;indoda ekwigumbi lomphunga: ithoni yesikhumba esikhanyayo phakathi;i-sauna|igumbi lomphunga|indoda ekwigumbi lomphunga|ithoni yesikhumba esikhanyayo phakathi
	🧖🏽‍♂️;indoda ekwigumbi lomphunga: ithoni yesikhumba esiphakathi;i-sauna|igumbi lomphunga|indoda ekwigumbi lomphunga|ithoni yesikhumba esiphakathi
	🧖🏾‍♂️;indoda ekwigumbi lomphunga: ithoni yesikhumba esiphakathi mnyama;i-sauna|igumbi lomphunga|indoda ekwigumbi lomphunga|ithoni yesikhumba esiphakathi mnyama
	🧖🏿‍♂️;indoda ekwigumbi lomphunga: ithoni yesikhumba emnyama;i-sauna|igumbi lomphunga|indoda ekwigumbi lomphunga|ithoni yesikhumba emnyama
🧖‍♀️;ibhinqa elikwigumbi lomphunga;i-sauna|ibhinqa elikwigumbi lomphunga|igumbi lomphunga
	🧖🏻‍♀️;ibhinqa elikwigumbi lomphunga: ithoni yesikhumba esikhanyayo;i-sauna|ibhinqa elikwigumbi lomphunga|igumbi lomphunga|ithoni yesikhumba esikhanyayo
	🧖🏼‍♀️;ibhinqa elikwigumbi lomphunga: ithoni yesikhumba esikhanyayo phakathi;i-sauna|ibhinqa elikwigumbi lomphunga|igumbi lomphunga|ithoni yesikhumba esikhanyayo phakathi
	🧖🏽‍♀️;ibhinqa elikwigumbi lomphunga: ithoni yesikhumba esiphakathi;i-sauna|ibhinqa elikwigumbi lomphunga|igumbi lomphunga|ithoni yesikhumba esiphakathi
	🧖🏾‍♀️;ibhinqa elikwigumbi lomphunga: ithoni yesikhumba esiphakathi mnyama;i-sauna|ibhinqa elikwigumbi lomphunga|igumbi lomphunga|ithoni yesikhumba esiphakathi mnyama
	🧖🏿‍♀️;ibhinqa elikwigumbi lomphunga: ithoni yesikhumba emnyama;i-sauna|ibhinqa elikwigumbi lomphunga|igumbi lomphunga|ithoni yesikhumba emnyama
🧗;umntu onyukayo;umntu onobuvhule bokunyuka|umntu onyukayo
	🧗🏻;umntu onyukayo: ithoni yesikhumba esikhanyayo;ithoni yesikhumba esikhanyayo|umntu onobuvhule bokunyuka|umntu onyukayo
	🧗🏼;umntu onyukayo: ithoni yesikhumba esikhanyayo phakathi;ithoni yesikhumba esikhanyayo phakathi|umntu onobuvhule bokunyuka|umntu onyukayo
	🧗🏽;umntu onyukayo: ithoni yesikhumba esiphakathi;ithoni yesikhumba esiphakathi|umntu onobuvhule bokunyuka|umntu onyukayo
	🧗🏾;umntu onyukayo: ithoni yesikhumba esiphakathi mnyama;ithoni yesikhumba esiphakathi mnyama|umntu onobuvhule bokunyuka|umntu onyukayo
	🧗🏿;umntu onyukayo: ithoni yesikhumba emnyama;ithoni yesikhumba emnyama|umntu onobuvhule bokunyuka|umntu onyukayo
🧗‍♂️;indoda enyukayo;indoda enyukayo|umntu onobuvhule bokunyuka
	🧗🏻‍♂️;indoda enyukayo: ithoni yesikhumba esikhanyayo;indoda enyukayo|ithoni yesikhumba esikhanyayo|umntu onobuvhule bokunyuka
	🧗🏼‍♂️;indoda enyukayo: ithoni yesikhumba esikhanyayo phakathi;indoda enyukayo|ithoni yesikhumba esikhanyayo phakathi|umntu onobuvhule bokunyuka
