# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;leveä hymy;hymy|kasvot|leveä hymy|naama|virnistys
😃;hymy suu auki;auki|hymy|iloinen|kasvot|naama|suu
😄;hymyilevät silmät ja suu;auki|hymy|hymyilevät silmät ja suu|kasvot|naama|silmä|suu
😁;virnistys ja hymyilevät silmät;hymy|kasvot|naama|silmä|virnistys|virnistys ja hymyilevät silmät
😆;hymy ja tiukasti suljetut silmät;auki|hymy|hymy ja tiukasti suljetut silmät|naama|nauru|suu|tyytyväinen
😅;hymy ja kylmänhiki;auki|hiki|hymy|hymy ja kylmänhiki|kylmä|naama
🤣;nauraa kippurassa;kasvot|kippura|naama|nauraa|nauraa kippurassa|nauru
😂;kasvot naurunkyynelissä;ilo|itkunauru|kasvot|kasvot naurunkyynelissä|naama|naurunkyyneleet
🙂;pieni hymy;hymy|naama|pieni hymy
🙃;ylösalainen naama;naama|väärinpäin|ylösalainen
🫠;sulava naama;kadota|kuuma|liueta|nolo|pehmenevä|sarkasmi|sulaa|sulava naama|sulavat kasvot|valuva
😉;silmänisku;flirtti|huumori|kasvot|naama|salaisuus|silmä|silmänisku
😊;punastunut hymy;hymy|naama|punastunut|silmä
😇;hymy ja sädekehä;enkeli|hymy|hymy ja sädekehä|naama|sädekehä|satu|viaton
🥰;hymy ja kolme sydäntä;hymy|hymy ja kolme sydäntä|ihailla|ihastunut|kasvot|rakastunut
😍;hymy ja sydänsilmät;hymy|hymy ja sydänsilmät|naama|rakkaus|silmä|sydän
🤩;tähtisilmä;iloinen|kasvot|naama|silmät|tähdet|tähtisilmä|virnistys
😘;lentosuukko;lentosuukko|naama|pusu|sydän
😗;pusunaama;naama|pusu|pusunaama|suudelma|suukko
☺️;hymynaama;hymy|hymynaama|naama|punoitus|rento
😚;pusunaama ja suljetut silmät;naama|pusu|pusunaama ja suljetut silmät|silmä|suljettu
😙;pusunaama ja hymyilevät silmät;hymy|naama|pusu|pusunaama ja hymyilevät silmät|silmä
🥲;hymyilevät kasvot ja kyynel;helpottunut|hymiö|hymyilee|hymyilevät kasvot ja kyynel|itku|kiitollinen|kyynel|liikuttunut|ylpeä
😋;herkullista ruokaa nauttinut;herkullinen|herkullista ruokaa nauttinut|hymy|naama|nam|nami|nautiskeleva
