# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;mata fiefia;fiefia|mata|ngutu
🙅‍♂️;tangata kaunima fetuiaki;tangata kaunima fetuiaki
	🙅🏻‍♂️;tangata kaunima fetuiaki: kili hinehina;kili hinehina|tangata kaunima fetuiaki
	🙅🏼‍♂️;tangata kaunima fetuiaki: kili kelokelo;kili kelokelo|tangata kaunima fetuiaki
	🙅🏽‍♂️;tangata kaunima fetuiaki: kili melomelo;kili melomelo|tangata kaunima fetuiaki
	🙅🏾‍♂️;tangata kaunima fetuiaki: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata kaunima fetuiaki
	🙅🏿‍♂️;tangata kaunima fetuiaki: kili ʻuliʻuli;kili ʻuliʻuli|tangata kaunima fetuiaki
🙅‍♀️;fefine kaunima fetuiaki;fefine kaunima fetuiaki
	🙅🏻‍♀️;fefine kaunima fetuiaki: kili hinehina;fefine kaunima fetuiaki|kili hinehina
	🙅🏼‍♀️;fefine kaunima fetuiaki: kili kelokelo;fefine kaunima fetuiaki|kili kelokelo
	🙅🏽‍♀️;fefine kaunima fetuiaki: kili melomelo;fefine kaunima fetuiaki|kili melomelo
	🙅🏾‍♀️;fefine kaunima fetuiaki: kili melomelo-ʻuliʻuli;fefine kaunima fetuiaki|kili melomelo-ʻuliʻuli
	🙅🏿‍♀️;fefine kaunima fetuiaki: kili ʻuliʻuli;fefine kaunima fetuiaki|kili ʻuliʻuli
🙆;tokotaha kaunima fetuiaki ʻolunga;ʻolunga|kaunima fetuiaki|tokotaha kaunima fetuiaki ʻolunga
	🙆🏻;tokotaha kaunima fetuiaki ʻolunga: kili hinehina;ʻolunga|kaunima fetuiaki|kili hinehina|tokotaha kaunima fetuiaki ʻolunga
	🙆🏼;tokotaha kaunima fetuiaki ʻolunga: kili kelokelo;ʻolunga|kaunima fetuiaki|kili kelokelo|tokotaha kaunima fetuiaki ʻolunga
	🙆🏽;tokotaha kaunima fetuiaki ʻolunga: kili melomelo;ʻolunga|kaunima fetuiaki|kili melomelo|tokotaha kaunima fetuiaki ʻolunga
	🙆🏾;tokotaha kaunima fetuiaki ʻolunga: kili melomelo-ʻuliʻuli;ʻolunga|kaunima fetuiaki|kili melomelo-ʻuliʻuli|tokotaha kaunima fetuiaki ʻolunga
	🙆🏿;tokotaha kaunima fetuiaki ʻolunga: kili ʻuliʻuli;ʻolunga|kaunima fetuiaki|kili ʻuliʻuli|tokotaha kaunima fetuiaki ʻolunga
🙆‍♂️;tangata kaunima fetuiaki ʻolunga;tangata kaunima fetuiaki ʻolunga
	🙆🏻‍♂️;tangata kaunima fetuiaki ʻolunga: kili hinehina;kili hinehina|tangata kaunima fetuiaki ʻolunga
	🙆🏼‍♂️;tangata kaunima fetuiaki ʻolunga: kili kelokelo;kili kelokelo|tangata kaunima fetuiaki ʻolunga
	🙆🏽‍♂️;tangata kaunima fetuiaki ʻolunga: kili melomelo;kili melomelo|tangata kaunima fetuiaki ʻolunga
	🙆🏾‍♂️;tangata kaunima fetuiaki ʻolunga: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata kaunima fetuiaki ʻolunga
	🙆🏿‍♂️;tangata kaunima fetuiaki ʻolunga: kili ʻuliʻuli;kili ʻuliʻuli|tangata kaunima fetuiaki ʻolunga
🙆‍♀️;fefine kaunima fetuiaki ʻolunga;fefine kaunima fetuiaki ʻolunga
	🙆🏻‍♀️;fefine kaunima fetuiaki ʻolunga: kili hinehina;fefine kaunima fetuiaki ʻolunga|kili hinehina
	🙆🏼‍♀️;fefine kaunima fetuiaki ʻolunga: kili kelokelo;fefine kaunima fetuiaki ʻolunga|kili kelokelo
	🙆🏽‍♀️;fefine kaunima fetuiaki ʻolunga: kili melomelo;fefine kaunima fetuiaki ʻolunga|kili melomelo
	🙆🏾‍♀️;fefine kaunima fetuiaki ʻolunga: kili melomelo-ʻuliʻuli;fefine kaunima fetuiaki ʻolunga|kili melomelo-ʻuliʻuli
	🙆🏿‍♀️;fefine kaunima fetuiaki ʻolunga: kili ʻuliʻuli;fefine kaunima fetuiaki ʻolunga|kili ʻuliʻuli
💁;tokotaha nima mafola;mafola|nima|tokotaha nima mafola
	💁🏻;tokotaha nima mafola: kili hinehina;kili hinehina|mafola|nima|tokotaha nima mafola
	💁🏼;tokotaha nima mafola: kili kelokelo;kili kelokelo|mafola|nima|tokotaha nima mafola
	💁🏽;tokotaha nima mafola: kili melomelo;kili melomelo|mafola|nima|tokotaha nima mafola
	💁🏾;tokotaha nima mafola: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|mafola|nima|tokotaha nima mafola
	💁🏿;tokotaha nima mafola: kili ʻuliʻuli;kili ʻuliʻuli|mafola|nima|tokotaha nima mafola
💁‍♂️;tangata nima mafola;tangata nima mafola
	💁🏻‍♂️;tangata nima mafola: kili hinehina;kili hinehina|tangata nima mafola
	💁🏼‍♂️;tangata nima mafola: kili kelokelo;kili kelokelo|tangata nima mafola
	💁🏽‍♂️;tangata nima mafola: kili melomelo;kili melomelo|tangata nima mafola
	💁🏾‍♂️;tangata nima mafola: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata nima mafola
	💁🏿‍♂️;tangata nima mafola: kili ʻuliʻuli;kili ʻuliʻuli|tangata nima mafola
💁‍♀️;fefine nima mafola;fefine nima mafola
	💁🏻‍♀️;fefine nima mafola: kili hinehina;fefine nima mafola|kili hinehina
	💁🏼‍♀️;fefine nima mafola: kili kelokelo;fefine nima mafola|kili kelokelo
	💁🏽‍♀️;fefine nima mafola: kili melomelo;fefine nima mafola|kili melomelo
	💁🏾‍♀️;fefine nima mafola: kili melomelo-ʻuliʻuli;fefine nima mafola|kili melomelo-ʻuliʻuli
	💁🏿‍♀️;fefine nima mafola: kili ʻuliʻuli;fefine nima mafola|kili ʻuliʻuli
🙋;tokotaha nima ʻi ʻolunga;ʻolunga|nima|tokotaha nima ʻi ʻolunga
	🙋🏻;tokotaha nima ʻi ʻolunga: kili hinehina;ʻolunga|kili hinehina|nima|tokotaha nima ʻi ʻolunga
	🙋🏼;tokotaha nima ʻi ʻolunga: kili kelokelo;ʻolunga|kili kelokelo|nima|tokotaha nima ʻi ʻolunga
	🙋🏽;tokotaha nima ʻi ʻolunga: kili melomelo;ʻolunga|kili melomelo|nima|tokotaha nima ʻi ʻolunga
	🙋🏾;tokotaha nima ʻi ʻolunga: kili melomelo-ʻuliʻuli;ʻolunga|kili melomelo-ʻuliʻuli|nima|tokotaha nima ʻi ʻolunga
	🙋🏿;tokotaha nima ʻi ʻolunga: kili ʻuliʻuli;ʻolunga|kili ʻuliʻuli|nima|tokotaha nima ʻi ʻolunga
🙋‍♂️;tangata nima ʻi ʻolunga;tangata nima ʻi ʻolunga
	🙋🏻‍♂️;tangata nima ʻi ʻolunga: kili hinehina;kili hinehina|tangata nima ʻi ʻolunga
	🙋🏼‍♂️;tangata nima ʻi ʻolunga: kili kelokelo;kili kelokelo|tangata nima ʻi ʻolunga
	🙋🏽‍♂️;tangata nima ʻi ʻolunga: kili melomelo;kili melomelo|tangata nima ʻi ʻolunga
	🙋🏾‍♂️;tangata nima ʻi ʻolunga: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata nima ʻi ʻolunga
	🙋🏿‍♂️;tangata nima ʻi ʻolunga: kili ʻuliʻuli;kili ʻuliʻuli|tangata nima ʻi ʻolunga
🙋‍♀️;fefine nima ʻi ʻolunga;fefine nima ʻi ʻolunga
	🙋🏻‍♀️;fefine nima ʻi ʻolunga: kili hinehina;fefine nima ʻi ʻolunga|kili hinehina
	🙋🏼‍♀️;fefine nima ʻi ʻolunga: kili kelokelo;fefine nima ʻi ʻolunga|kili kelokelo
	🙋🏽‍♀️;fefine nima ʻi ʻolunga: kili melomelo;fefine nima ʻi ʻolunga|kili melomelo
	🙋🏾‍♀️;fefine nima ʻi ʻolunga: kili melomelo-ʻuliʻuli;fefine nima ʻi ʻolunga|kili melomelo-ʻuliʻuli
	🙋🏿‍♀️;fefine nima ʻi ʻolunga: kili ʻuliʻuli;fefine nima ʻi ʻolunga|kili ʻuliʻuli
🧏;tokotaha tuli;tokotaha tuli|tuli
	🧏🏻;tokotaha tuli: kili hinehina;kili hinehina|tokotaha tuli|tuli
	🧏🏼;tokotaha tuli: kili kelokelo;kili kelokelo|tokotaha tuli|tuli
	🧏🏽;tokotaha tuli: kili melomelo;kili melomelo|tokotaha tuli|tuli
	🧏🏾;tokotaha tuli: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tokotaha tuli|tuli
	🧏🏿;tokotaha tuli: kili ʻuliʻuli;kili ʻuliʻuli|tokotaha tuli|tuli
🧏‍♂️;tangata tuli;tangata tuli
	🧏🏻‍♂️;tangata tuli: kili hinehina;kili hinehina|tangata tuli
	🧏🏼‍♂️;tangata tuli: kili kelokelo;kili kelokelo|tangata tuli
	🧏🏽‍♂️;tangata tuli: kili melomelo;kili melomelo|tangata tuli
	🧏🏾‍♂️;tangata tuli: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata tuli
	🧏🏿‍♂️;tangata tuli: kili ʻuliʻuli;kili ʻuliʻuli|tangata tuli
🧏‍♀️;fefine tuli;fefine tuli
	🧏🏻‍♀️;fefine tuli: kili hinehina;fefine tuli|kili hinehina
	🧏🏼‍♀️;fefine tuli: kili kelokelo;fefine tuli|kili kelokelo
	🧏🏽‍♀️;fefine tuli: kili melomelo;fefine tuli|kili melomelo
	🧏🏾‍♀️;fefine tuli: kili melomelo-ʻuliʻuli;fefine tuli|kili melomelo-ʻuliʻuli
	🧏🏿‍♀️;fefine tuli: kili ʻuliʻuli;fefine tuli|kili ʻuliʻuli
🙇;tokotaha punou;punou|tokotaha punou
	🙇🏻;tokotaha punou: kili hinehina;kili hinehina|punou|tokotaha punou
	🙇🏼;tokotaha punou: kili kelokelo;kili kelokelo|punou|tokotaha punou
	🙇🏽;tokotaha punou: kili melomelo;kili melomelo|punou|tokotaha punou
	🙇🏾;tokotaha punou: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|punou|tokotaha punou
	🙇🏿;tokotaha punou: kili ʻuliʻuli;kili ʻuliʻuli|punou|tokotaha punou
🙇‍♂️;tangata punou;tangata punou
	🙇🏻‍♂️;tangata punou: kili hinehina;kili hinehina|tangata punou
	🙇🏼‍♂️;tangata punou: kili kelokelo;kili kelokelo|tangata punou
	🙇🏽‍♂️;tangata punou: kili melomelo;kili melomelo|tangata punou
	🙇🏾‍♂️;tangata punou: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata punou
	🙇🏿‍♂️;tangata punou: kili ʻuliʻuli;kili ʻuliʻuli|tangata punou
🙇‍♀️;fefine punou;fefine punou
	🙇🏻‍♀️;fefine punou: kili hinehina;fefine punou|kili hinehina
	🙇🏼‍♀️;fefine punou: kili kelokelo;fefine punou|kili kelokelo
	🙇🏽‍♀️;fefine punou: kili melomelo;fefine punou|kili melomelo
	🙇🏾‍♀️;fefine punou: kili melomelo-ʻuliʻuli;fefine punou|kili melomelo-ʻuliʻuli
	🙇🏿‍♀️;fefine punou: kili ʻuliʻuli;fefine punou|kili ʻuliʻuli
🤦;tokotaha nima ʻihe mata;mata|nima|tokotaha nima ʻihe mata
	🤦🏻;tokotaha nima ʻihe mata: kili hinehina;kili hinehina|mata|nima|tokotaha nima ʻihe mata
	🤦🏼;tokotaha nima ʻihe mata: kili kelokelo;kili kelokelo|mata|nima|tokotaha nima ʻihe mata
	🤦🏽;tokotaha nima ʻihe mata: kili melomelo;kili melomelo|mata|nima|tokotaha nima ʻihe mata
	🤦🏾;tokotaha nima ʻihe mata: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|mata|nima|tokotaha nima ʻihe mata
	🤦🏿;tokotaha nima ʻihe mata: kili ʻuliʻuli;kili ʻuliʻuli|mata|nima|tokotaha nima ʻihe mata
🤦‍♂️;tangata nima ʻihe mata;tangata nima ʻihe mata
	🤦🏻‍♂️;tangata nima ʻihe mata: kili hinehina;kili hinehina|tangata nima ʻihe mata
	🤦🏼‍♂️;tangata nima ʻihe mata: kili kelokelo;kili kelokelo|tangata nima ʻihe mata
	🤦🏽‍♂️;tangata nima ʻihe mata: kili melomelo;kili melomelo|tangata nima ʻihe mata
	🤦🏾‍♂️;tangata nima ʻihe mata: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata nima ʻihe mata
	🤦🏿‍♂️;tangata nima ʻihe mata: kili ʻuliʻuli;kili ʻuliʻuli|tangata nima ʻihe mata
🤦‍♀️;fefine nima ʻihe mata;fefine nima ʻihe mata
	🤦🏻‍♀️;fefine nima ʻihe mata: kili hinehina;fefine nima ʻihe mata|kili hinehina
	🤦🏼‍♀️;fefine nima ʻihe mata: kili kelokelo;fefine nima ʻihe mata|kili kelokelo
	🤦🏽‍♀️;fefine nima ʻihe mata: kili melomelo;fefine nima ʻihe mata|kili melomelo
	🤦🏾‍♀️;fefine nima ʻihe mata: kili melomelo-ʻuliʻuli;fefine nima ʻihe mata|kili melomelo-ʻuliʻuli
	🤦🏿‍♀️;fefine nima ʻihe mata: kili ʻuliʻuli;fefine nima ʻihe mata|kili ʻuliʻuli
🤷;tokotaha fakamahiki;fakamahiki|tokotaha fakamahiki
	🤷🏻;tokotaha fakamahiki: kili hinehina;fakamahiki|kili hinehina|tokotaha fakamahiki
	🤷🏼;tokotaha fakamahiki: kili kelokelo;fakamahiki|kili kelokelo|tokotaha fakamahiki
	🤷🏽;tokotaha fakamahiki: kili melomelo;fakamahiki|kili melomelo|tokotaha fakamahiki
	🤷🏾;tokotaha fakamahiki: kili melomelo-ʻuliʻuli;fakamahiki|kili melomelo-ʻuliʻuli|tokotaha fakamahiki
	🤷🏿;tokotaha fakamahiki: kili ʻuliʻuli;fakamahiki|kili ʻuliʻuli|tokotaha fakamahiki
🤷‍♂️;tangata fakamahiki;tangata fakamahiki
	🤷🏻‍♂️;tangata fakamahiki: kili hinehina;kili hinehina|tangata fakamahiki
	🤷🏼‍♂️;tangata fakamahiki: kili kelokelo;kili kelokelo|tangata fakamahiki
	🤷🏽‍♂️;tangata fakamahiki: kili melomelo;kili melomelo|tangata fakamahiki
	🤷🏾‍♂️;tangata fakamahiki: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata fakamahiki
	🤷🏿‍♂️;tangata fakamahiki: kili ʻuliʻuli;kili ʻuliʻuli|tangata fakamahiki
🤷‍♀️;fefine fakamahiki;fefine fakamahiki
	🤷🏻‍♀️;fefine fakamahiki: kili hinehina;fefine fakamahiki|kili hinehina
	🤷🏼‍♀️;fefine fakamahiki: kili kelokelo;fefine fakamahiki|kili kelokelo
	🤷🏽‍♀️;fefine fakamahiki: kili melomelo;fefine fakamahiki|kili melomelo
	🤷🏾‍♀️;fefine fakamahiki: kili melomelo-ʻuliʻuli;fefine fakamahiki|kili melomelo-ʻuliʻuli
	🤷🏿‍♀️;fefine fakamahiki: kili ʻuliʻuli;fefine fakamahiki|kili ʻuliʻuli
🧑‍⚕️;neesi;neesi
	🧑🏻‍⚕️;neesi: kili hinehina;kili hinehina|neesi
	🧑🏼‍⚕️;neesi: kili kelokelo;kili kelokelo|neesi
	🧑🏽‍⚕️;neesi: kili melomelo;kili melomelo|neesi
	🧑🏾‍⚕️;neesi: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|neesi
	🧑🏿‍⚕️;neesi: kili ʻuliʻuli;kili ʻuliʻuli|neesi
👨‍⚕️;neesi tangata;neesi tangata
	👨🏻‍⚕️;neesi tangata: kili hinehina;kili hinehina|neesi tangata
	👨🏼‍⚕️;neesi tangata: kili kelokelo;kili kelokelo|neesi tangata
	👨🏽‍⚕️;neesi tangata: kili melomelo;kili melomelo|neesi tangata
	👨🏾‍⚕️;neesi tangata: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|neesi tangata
	👨🏿‍⚕️;neesi tangata: kili ʻuliʻuli;kili ʻuliʻuli|neesi tangata
👩‍⚕️;neesi fefine;neesi fefine
	👩🏻‍⚕️;neesi fefine: kili hinehina;kili hinehina|neesi fefine
	👩🏼‍⚕️;neesi fefine: kili kelokelo;kili kelokelo|neesi fefine
	👩🏽‍⚕️;neesi fefine: kili melomelo;kili melomelo|neesi fefine
	👩🏾‍⚕️;neesi fefine: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|neesi fefine
	👩🏿‍⚕️;neesi fefine: kili ʻuliʻuli;kili ʻuliʻuli|neesi fefine
🧑‍🎓;tokotaha ako;tokotaha ako
	🧑🏻‍🎓;tokotaha ako: kili hinehina;kili hinehina|tokotaha ako
	🧑🏼‍🎓;tokotaha ako: kili kelokelo;kili kelokelo|tokotaha ako
	🧑🏽‍🎓;tokotaha ako: kili melomelo;kili melomelo|tokotaha ako
	🧑🏾‍🎓;tokotaha ako: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tokotaha ako
	🧑🏿‍🎓;tokotaha ako: kili ʻuliʻuli;kili ʻuliʻuli|tokotaha ako
👨‍🎓;tamasiʻi ako;tamasiʻi ako
	👨🏻‍🎓;tamasiʻi ako: kili hinehina;kili hinehina|tamasiʻi ako
	👨🏼‍🎓;tamasiʻi ako: kili kelokelo;kili kelokelo|tamasiʻi ako
	👨🏽‍🎓;tamasiʻi ako: kili melomelo;kili melomelo|tamasiʻi ako
	👨🏾‍🎓;tamasiʻi ako: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tamasiʻi ako
	👨🏿‍🎓;tamasiʻi ako: kili ʻuliʻuli;kili ʻuliʻuli|tamasiʻi ako
👩‍🎓;taʻahine ako;taʻahine ako
	👩🏻‍🎓;taʻahine ako: kili hinehina;kili hinehina|taʻahine ako
	👩🏼‍🎓;taʻahine ako: kili kelokelo;kili kelokelo|taʻahine ako
	👩🏽‍🎓;taʻahine ako: kili melomelo;kili melomelo|taʻahine ako
	👩🏾‍🎓;taʻahine ako: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|taʻahine ako
	👩🏿‍🎓;taʻahine ako: kili ʻuliʻuli;kili ʻuliʻuli|taʻahine ako
🧑‍🏫;faiako;faiako
	🧑🏻‍🏫;faiako: kili hinehina;faiako|kili hinehina
	🧑🏼‍🏫;faiako: kili kelokelo;faiako|kili kelokelo
	🧑🏽‍🏫;faiako: kili melomelo;faiako|kili melomelo
	🧑🏾‍🏫;faiako: kili melomelo-ʻuliʻuli;faiako|kili melomelo-ʻuliʻuli
	🧑🏿‍🏫;faiako: kili ʻuliʻuli;faiako|kili ʻuliʻuli
👨‍🏫;faiako tangata;faiako tangata
	👨🏻‍🏫;faiako tangata: kili hinehina;faiako tangata|kili hinehina
	👨🏼‍🏫;faiako tangata: kili kelokelo;faiako tangata|kili kelokelo
	👨🏽‍🏫;faiako tangata: kili melomelo;faiako tangata|kili melomelo
	👨🏾‍🏫;faiako tangata: kili melomelo-ʻuliʻuli;faiako tangata|kili melomelo-ʻuliʻuli
	👨🏿‍🏫;faiako tangata: kili ʻuliʻuli;faiako tangata|kili ʻuliʻuli
👩‍🏫;faiako fefine;faiako fefine
	👩🏻‍🏫;faiako fefine: kili hinehina;faiako fefine|kili hinehina
	👩🏼‍🏫;faiako fefine: kili kelokelo;faiako fefine|kili kelokelo
	👩🏽‍🏫;faiako fefine: kili melomelo;faiako fefine|kili melomelo
	👩🏾‍🏫;faiako fefine: kili melomelo-ʻuliʻuli;faiako fefine|kili melomelo-ʻuliʻuli
	👩🏿‍🏫;faiako fefine: kili ʻuliʻuli;faiako fefine|kili ʻuliʻuli
🧑‍⚖️;fakamaau;fakamaau
	🧑🏻‍⚖️;fakamaau: kili hinehina;fakamaau|kili hinehina
	🧑🏼‍⚖️;fakamaau: kili kelokelo;fakamaau|kili kelokelo
	🧑🏽‍⚖️;fakamaau: kili melomelo;fakamaau|kili melomelo
	🧑🏾‍⚖️;fakamaau: kili melomelo-ʻuliʻuli;fakamaau|kili melomelo-ʻuliʻuli
	🧑🏿‍⚖️;fakamaau: kili ʻuliʻuli;fakamaau|kili ʻuliʻuli
👨‍⚖️;fakamaau tangata;fakamaau tangata
	👨🏻‍⚖️;fakamaau tangata: kili hinehina;fakamaau tangata|kili hinehina
	👨🏼‍⚖️;fakamaau tangata: kili kelokelo;fakamaau tangata|kili kelokelo
	👨🏽‍⚖️;fakamaau tangata: kili melomelo;fakamaau tangata|kili melomelo
	👨🏾‍⚖️;fakamaau tangata: kili melomelo-ʻuliʻuli;fakamaau tangata|kili melomelo-ʻuliʻuli
	👨🏿‍⚖️;fakamaau tangata: kili ʻuliʻuli;fakamaau tangata|kili ʻuliʻuli
👩‍⚖️;fakamaau fefine;fakamaau fefine
	👩🏻‍⚖️;fakamaau fefine: kili hinehina;fakamaau fefine|kili hinehina
	👩🏼‍⚖️;fakamaau fefine: kili kelokelo;fakamaau fefine|kili kelokelo
	👩🏽‍⚖️;fakamaau fefine: kili melomelo;fakamaau fefine|kili melomelo
	👩🏾‍⚖️;fakamaau fefine: kili melomelo-ʻuliʻuli;fakamaau fefine|kili melomelo-ʻuliʻuli
	👩🏿‍⚖️;fakamaau fefine: kili ʻuliʻuli;fakamaau fefine|kili ʻuliʻuli
🧑‍🌾;tokotaha ngoue;tokotaha ngoue
	🧑🏻‍🌾;tokotaha ngoue: kili hinehina;kili hinehina|tokotaha ngoue
	🧑🏼‍🌾;tokotaha ngoue: kili kelokelo;kili kelokelo|tokotaha ngoue
	🧑🏽‍🌾;tokotaha ngoue: kili melomelo;kili melomelo|tokotaha ngoue
	🧑🏾‍🌾;tokotaha ngoue: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tokotaha ngoue
	🧑🏿‍🌾;tokotaha ngoue: kili ʻuliʻuli;kili ʻuliʻuli|tokotaha ngoue
👨‍🌾;tangata ngoue;tangata ngoue
	👨🏻‍🌾;tangata ngoue: kili hinehina;kili hinehina|tangata ngoue
	👨🏼‍🌾;tangata ngoue: kili kelokelo;kili kelokelo|tangata ngoue
	👨🏽‍🌾;tangata ngoue: kili melomelo;kili melomelo|tangata ngoue
	👨🏾‍🌾;tangata ngoue: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata ngoue
	👨🏿‍🌾;tangata ngoue: kili ʻuliʻuli;kili ʻuliʻuli|tangata ngoue
👩‍🌾;fefine ngoue;fefine ngoue
	👩🏻‍🌾;fefine ngoue: kili hinehina;fefine ngoue|kili hinehina
	👩🏼‍🌾;fefine ngoue: kili kelokelo;fefine ngoue|kili kelokelo
	👩🏽‍🌾;fefine ngoue: kili melomelo;fefine ngoue|kili melomelo
	👩🏾‍🌾;fefine ngoue: kili melomelo-ʻuliʻuli;fefine ngoue|kili melomelo-ʻuliʻuli
	👩🏿‍🌾;fefine ngoue: kili ʻuliʻuli;fefine ngoue|kili ʻuliʻuli
🧑‍🍳;tokotaha ngaohikai;tokotaha ngaohikai
	🧑🏻‍🍳;tokotaha ngaohikai: kili hinehina;kili hinehina|tokotaha ngaohikai
	🧑🏼‍🍳;tokotaha ngaohikai: kili kelokelo;kili kelokelo|tokotaha ngaohikai
	🧑🏽‍🍳;tokotaha ngaohikai: kili melomelo;kili melomelo|tokotaha ngaohikai
	🧑🏾‍🍳;tokotaha ngaohikai: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tokotaha ngaohikai
	🧑🏿‍🍳;tokotaha ngaohikai: kili ʻuliʻuli;kili ʻuliʻuli|tokotaha ngaohikai
👨‍🍳;tangata ngaohikai;tangata ngaohikai
	👨🏻‍🍳;tangata ngaohikai: kili hinehina;kili hinehina|tangata ngaohikai
	👨🏼‍🍳;tangata ngaohikai: kili kelokelo;kili kelokelo|tangata ngaohikai
	👨🏽‍🍳;tangata ngaohikai: kili melomelo;kili melomelo|tangata ngaohikai
	👨🏾‍🍳;tangata ngaohikai: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata ngaohikai
	👨🏿‍🍳;tangata ngaohikai: kili ʻuliʻuli;kili ʻuliʻuli|tangata ngaohikai
👩‍🍳;fefine ngaohikai;fefine ngaohikai
	👩🏻‍🍳;fefine ngaohikai: kili hinehina;fefine ngaohikai|kili hinehina
	👩🏼‍🍳;fefine ngaohikai: kili kelokelo;fefine ngaohikai|kili kelokelo
	👩🏽‍🍳;fefine ngaohikai: kili melomelo;fefine ngaohikai|kili melomelo
	👩🏾‍🍳;fefine ngaohikai: kili melomelo-ʻuliʻuli;fefine ngaohikai|kili melomelo-ʻuliʻuli
	👩🏿‍🍳;fefine ngaohikai: kili ʻuliʻuli;fefine ngaohikai|kili ʻuliʻuli
🧑‍🔧;ʻenisia;ʻenisia
	🧑🏻‍🔧;ʻenisia: kili hinehina;ʻenisia|kili hinehina
	🧑🏼‍🔧;ʻenisia: kili kelokelo;ʻenisia|kili kelokelo
	🧑🏽‍🔧;ʻenisia: kili melomelo;ʻenisia|kili melomelo
	🧑🏾‍🔧;ʻenisia: kili melomelo-ʻuliʻuli;ʻenisia|kili melomelo-ʻuliʻuli
	🧑🏿‍🔧;ʻenisia: kili ʻuliʻuli;ʻenisia|kili ʻuliʻuli
👨‍🔧;ʻenisinia tangata;ʻenisinia tangata
	👨🏻‍🔧;ʻenisinia tangata: kili hinehina;ʻenisinia tangata|kili hinehina
	👨🏼‍🔧;ʻenisinia tangata: kili kelokelo;ʻenisinia tangata|kili kelokelo
	👨🏽‍🔧;ʻenisinia tangata: kili melomelo;ʻenisinia tangata|kili melomelo
	👨🏾‍🔧;ʻenisinia tangata: kili melomelo-ʻuliʻuli;ʻenisinia tangata|kili melomelo-ʻuliʻuli
	👨🏿‍🔧;ʻenisinia tangata: kili ʻuliʻuli;ʻenisinia tangata|kili ʻuliʻuli
👩‍🔧;ʻenisinia fefine;ʻenisinia fefine
	👩🏻‍🔧;ʻenisinia fefine: kili hinehina;ʻenisinia fefine|kili hinehina
	👩🏼‍🔧;ʻenisinia fefine: kili kelokelo;ʻenisinia fefine|kili kelokelo
	👩🏽‍🔧;ʻenisinia fefine: kili melomelo;ʻenisinia fefine|kili melomelo
	👩🏾‍🔧;ʻenisinia fefine: kili melomelo-ʻuliʻuli;ʻenisinia fefine|kili melomelo-ʻuliʻuli
	👩🏿‍🔧;ʻenisinia fefine: kili ʻuliʻuli;ʻenisinia fefine|kili ʻuliʻuli
🧑‍🏭;tokotaha ngāue fale faʻuʻanga;tokotaha ngāue fale faʻuʻanga
	🧑🏻‍🏭;tokotaha ngāue fale faʻuʻanga: kili hinehina;kili hinehina|tokotaha ngāue fale faʻuʻanga
	🧑🏼‍🏭;tokotaha ngāue fale faʻuʻanga: kili kelokelo;kili kelokelo|tokotaha ngāue fale faʻuʻanga
	🧑🏽‍🏭;tokotaha ngāue fale faʻuʻanga: kili melomelo;kili melomelo|tokotaha ngāue fale faʻuʻanga
	🧑🏾‍🏭;tokotaha ngāue fale faʻuʻanga: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tokotaha ngāue fale faʻuʻanga
	🧑🏿‍🏭;tokotaha ngāue fale faʻuʻanga: kili ʻuliʻuli;kili ʻuliʻuli|tokotaha ngāue fale faʻuʻanga
👨‍🏭;tangata ngāue fale faʻuʻanga;tangata ngāue fale faʻuʻanga
	👨🏻‍🏭;tangata ngāue fale faʻuʻanga: kili hinehina;kili hinehina|tangata ngāue fale faʻuʻanga
	👨🏼‍🏭;tangata ngāue fale faʻuʻanga: kili kelokelo;kili kelokelo|tangata ngāue fale faʻuʻanga
