# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;анлӑн кулать;кулӑ|пит-куҫ|савӑнӑҫ|телей
😃;кулать;кулӑ|кулать|пит|савӑнӑҫ|савӑнӑҫлӑ|ҫӑвар
😄;куҫне хупса кулать;кулать|кулни|куҫӗсем|пичӗ|савӑнӑҫ|хупӑннӑ
😁;телейпе ҫуталать;кӗҫенни|кулӑ|кулли|кулли / сарлака|куҫ|пит|телей|хавас|шӑл
😆;куҫне хӗссе кулать;ахӑлтатса кулни|кулӑшла|кулли|куҫӗсем|лол|савӑнӑҫ|сӗрӗм|ха-ха|хупӑннӑ
😅;ҫилӗллӗн кулать;кулӑ|кулли|лол|нерв|сарлака|стресс|ҫӑвар|ҫӑмӑллӑх|тар|уҫӑ
🤣;каҫса кайсах кулать;ахӑлтатса кулни|куҫ|куҫҫуль|макӑру|ржак|умора|урай|ха-ха|ярӑнатӑп
😂;куҫҫуль тухичченех кулать;йӗр|кулӑшла|куҫ / лол|куҫҫуль|ржак|ржунимаг|умора|ха-ха
🙂;кӑшт кулакан пит;кулӑ|пит|савӑнӑҫ|сайлик|ҫӑмӑл
🙃;кутӑн-пуҫӑн кутӑн;кулӑ|кутӑн-пуҫӑн|пит|ҫӳлелле|ура / ӳпӗнтернӗ
🫠;ирӗлет;вӑтанма|ирӗлет|сайл|сарказм|ҫухалать|хаха|шӑрӑх|шӗвек
😉;куҫ хӗсет;аван|калаҫса татӑлтӑмӑр|кулли|куҫ|куҫ хӗсет|ой|ҫӑмӑл|тӑрӑхласа|флирт|шӳт
😊;кӑмӑллӑн кулать;куҫӗсем|питҫӑмартисем|савӑнӑҫ|ҫӑмӑл|тулли|хӗрелет|хӗрлӗ / кулӑ|хупӑннӑ
😇;нимблӑ;айӑпсӑрлӑх|айванлӑх|ангел|кулли|нимб|нимб / святой|пит|юмах
🥰;чӗреллӗ кулӑ;ачашлӑх|кулӑ|любовь|романтика|савӑнӑҫ|туйӑмсем|хӗрлӗ / чӗре|юрататӑп
😍;юратса пӑрахнӑ пит;куҫ|пит / юрату|туйӑмсем|чӗрене|юратма|юратма / юрататӑп|юратнӑран ӑсран тайӑлатӑп|юратрӑм|юратса пӑрахнӑ пит
🤩;куҫри ҫӑлтӑрсем;ватӑ|диско|кулма|куҫ вырӑнне ҫӑлтӑрсем / савӑнӑҫ|куҫри ҫӑлтӑрсем|супер / ватӑ / кулӑ|ҫӑлтӑрсем|тӗлӗнтермӗш пуласса кӗтсе|шоу|ялтӑр
😘;сывлӑш чуптӑвӑвӗ;манран чупту|питрен чупту|савни|тунсӑхлатӑп каҫ|тунсӑхлатӑп каҫсерен|флирт|юрататӑп сана
😗;чуптӑвать;ачашлӑх|романтика|тунсӑхлатӑп|флирт|чмок|чупту|юрататӑп|юрату
☺️;йӑл кулать;кулӑ|кулать|лайӑх|савӑнӑҫ|смайлик|ҫитет|телей|хӗрлӗ
😚;куҫа хупса чуптӑвать;куҫсем|флирт|хӗрлӗ|хупӑннӑ|черккене|чупту
😙;телейлӗ чупту;кулӑ|куҫ|пит|телейлӗ чупту|тӗлпулу|цем|чмок|чупту
🥲;кулакан пит-куҫ;кулӑ|куҫҫуль|мӑнкӑмӑллӑх|пит|савӑнӑҫ|ҫӑмӑллӑх|ҫемҫелӳ|тав|чӗрене тивекен|ырату
😋;тутлӑ;апат|пит|ҫимелли|тутӑ|тутлӑ|чӗлхене йӗпетмелле
😛;чӗлхе кӑтартать;бе-е|йӗкӗлтет|пите|сиенлӗ|чее|чӗлхе кӑтартать|чӗлхене кӑларатӑп|чӗлхене кӑтартма
😜;чӗлхине кӑтартать те куҫне хӗсет;выляс|йӗкӗлтени|куҫ хӗскелени|пит-куҫ|чӗлхе|чӗлхине кӑтартать тата куҫне хӗскелет|шӳт
🤪;ухмахлашкалакан пит;куҫ|пӗчӗк|пит|пит-куҫ|псих|пысӑк|тӗлӗнтермӗш|тӗрлӗ виҫеллӗ|ухмаха ернӗ|фаза тӑрӑх куҫӑм|хӑрах куҫ|шаклаттарнӑ
😝;пит-куҫне пӗркелентерет, чӗлхине кӑтартать;бяк|ирсӗрлӗх|йӗрӗнӳ|куҫне хӗсет|пит-куҫне пӗркелентерет те чӗлхене кӑтартать|тутлах мар|тьфу|чӗлхене|чӗлхене кӑтартать
🤑;куҫ умӗнче укҫа;джек тар|джек-тар|доллар|куҫра укҫа|миллион|пит|рота|ҫӑткӑн|тупӑш|укҫа|фортуна
🤗;ыталать;алӑсем|кулӑ|пит|савӑнӑҫлӑ|саламлӑ|шанчӑклӑ|ыталатӑп|ыталать
🤭;ҫӑвара аллипе хуплать;кулни|ляппет|ой|сӑмах хушрӗ|секрет|сюрприз|ҫӑварне аллипе хуплать|ҫӑварне хуплать|хи-хи|ытлашши
🫢;ҫӑварне аллипе хуплать;вӑтанни|кӗтмен ҫӗртен|куҫне уҫнӑ аллипе ҫӑварне хуплать|ох|смайл|тӗлӗнмелле|тӗлӗнни|хӑрани|шанманни|шок
🫣;пӑхать;вӑрттӑн|вӑрттӑн ҫухалса|вӑтанма|иккӗленме|куҫ|куҫ илмесӗр|пӑхать|пӑхни|пытанма|смайл|тинкерсе пӑхать
🤫;тс-с-с.;ан шарла|вӑрттӑн|пӑшӑлтатни|секрет|тс-с-с|ш-ш-ш|шӑплӑх|шӑппӑн|шшшшшш
🤔;шухӑшлать;пӳрнесене|сӑн-пит|хм|шухӑшлама пар|шухӑшлас пулать|шухӑшлатӑп|шухӑшлать|шухӑшсене
🫡;ҫар саламӗ;ӑнлану|килӗшӳ|ой|пур|сайл|солнечно|ҫар|ҫар саламӗ|ҫирӗплетӳ|чыс
🤐;калаçмасть;никама та каламастӑп|пит|секрет|ҫӑвар|ҫӑвар ҫӑра ҫинче|хупӑ|чӗмсӗрлӗх
🤨;ӗненмест;ӗненмест|ӗненместӗп|килӗшместӗп|скептик|ҫӗкленӗ куҫ харши|тӗлӗннӗ|хм|шанманни|шанмастӑп
😐;пурпӗрех;аван мар|нимӗнпе те интересленменни|пит|пурӗпӗрех|тӗлӗнмелле
😑;эмоцисӗр;кӗвӗҫӳ|килӗшӳсӗр|мелсӗр|нимӗн те|пит|сӳрӗк|ҫук|эмоцисем|эмоцисемсӗр
😶;ҫӑварсӑр пит;пит|пулӑ пек чӗмсӗрлӗх|пушӑ|секрет|ҫӑварсӑр|ҫук|чӗмсӗрлӗх|шӑплӑх|шӑппӑн
🫥;пит-куҫ пунктирпа;депрессийӗ|интроверт|куҫа курӑнман|пит пунктир|пунктир|пусӑрӑнчӑк|пусмӑрлӑх|пытанма|сайл|ҫухалма|хуйхӑ|юрать
😶‍🌫️;пӗлӗтлӗ пит;арпашса кайнӑ|пӗлӗтре вӗҫекен|пӗлӗтсем хушшинчи пуҫ|пӗлӗтсем хушшинчи сӑн-пит|тӗтре ӑшӗнчи пит
😏;кулкалать;кулкалать|куҫ хӗссе|куҫа|лекрӗ|чее|шанман|шӳт|шӳтлерӗ
😒;кӑмӑлсӑр;...|анкӑ-минкӗ|ахтуртур|кӗвӗҫекен|кичемрех|савӑнӑҫсӑр|ҫаплапульҫав|тем те пуль|тептепӗр|тьфу|ӳсӗртерех|уххх|юмахрипек кичем
🙄;куҫа хупать;антар|кичем|кӳренӳ|куҫ|куҫсене хупать|пите|смайл
😬;гримас;аван мар|гримаса|пит|упс|шӑл
😮‍💨;сывлать;ассӑн сывлани|ӗшенни|пӑшӑлтатни|сайл|сывлать|ҫӑмӑллӑх|тӗтӗм|шӑхӑрни
🤥;суеҫӗ;буратино|вӑрӑм сӑмса|кинокио|пинокио|суйма
🫨;чӗтревлӗ пит;вибраци|ой|паника|питне|сехӗрленӳ|ҫӗр чӗтрет|тӗлӗнӳ|турӑҫӑм|ухмаха ермелле|ухмаха ерни|хӑрушӑ|чӗтрет|шок
🙂‍↔️;килӗшмесӗр пуҫне сулкалать;килӗшменни|килӗшмесӗр пуҫне пӑркалать|ҫук|хирӗҫлени
🙂‍↕️;килӗшӳллӗн пуҫне сулкалать;килӗшӳ|пуҫне сӗлтсе|ҫапла|ҫирӗплетӳ
😌;ҫӑмӑллӑх туять;айккипе|иртрӗ|иртсе|иртсе кайрӗ|кулӑ|лӑпкӑлӑх|пичӗ|ҫӑмӑллӑх|тӗрӗслет
😔;шухӑшлӑ пит;вӑй ҫук|ӗшенчӗк|каях|кичем|сӑн|ҫухатнӑ|хурлӑхлӑ|шел|шухӑш|шухӑшлӑ|шухӑшлать|япӑх
😪;ҫывӑрас килет;пит-куҫ|сахал|ҫывӑрас килет|ывӑнни|ыйхӑ
🤤;сӗлеке юхтарать;пите|сӗлеке юхтарать|сӗлеке ярать
😴;ҫывӑрать;zzz|кану|пит|сайл|ҫывӑратӑп|ҫывӑрать|тӗлӗр|харлаттар|ыйхӑ
🫩;куҫ айӗнчи михӗсем;куҫ айӗнчи михӗсем|халсӑр|халтан кайни|ывӑнни|ыйхӑллӑ|ырханланни
😷;медицина маскипе;вирус|ерекен|каратин|маска|медик|медицина маскинче|микроб|пит|чир
🤒;ҫӑвара градусник хыпнӑ;градусник|грипп|пит|ҫӑвар|ҫӳллӗ температура|термометр|чир|чирленӗ
🤕;пуҫне ҫыхнӑ;пит|пластырь|пуҫне ҫыхнӑ|ҫамка|ҫыхни|шар курнӑ|ыратни|япӑх
🤢;хӑсас килет;наркӑмӑшланас|начар|начар туяс|питне|тавӑрас|тинӗс чирӗ|хӑсас|хӑсас килет|чир
🤮;хӑсӑк;сурас|хӑсас|хӑсас килет
🤧;апчху тӑвать;апчху|пит|сунас|сунаслать|учху
🥵;вӗри;вӗри|пит|сивчир|ҫӳллӗ температура|тарлать|тарпа|температура|хӗвел ҫапни|хӗрӳ|чӗлхе|чирлет
🥶;шӑнать;кӑвакарнӑ|пӑр|пит|сивӗ|тӑм илнӗ|шӑлсем шаккаҫҫӗ|шӑнать
🥴;пуҫ ҫаврӑннине туять;ӑш пӑтраннине|дезориентаци|куҫ умӗнче ишет|пит|пуҫ ҫаврӑнни|пуҫ ҫаврӑннине туять|ӳсӗр|ӳсӗрӗлсе|хӑрах ҫӑвар|чалӑшса|япӑх
😵;пуҫ ҫаврӑнни;вилнӗ|ӗшеннӗ|пит|пуҫ ҫаврӑнать|пуҫ ҫаврӑнни|чирлеме
😵‍💫;ӑнран кайни;omg|ӑнран кайни|именӳ|инкек|омг|пӑтрану|пуҫ ҫаврӑнни|смайл|спираль|тупикра
🤯;миме сирпӗнни;акӑ ку|аптрамасть|пуҫ|пуҫ мими сирпӗнни|шок|шокра|эпӗ шокра
🤠;ковбой шлепке тӑхӑннӑ;ковбой|ковбой пуҫӗ|ковбой шлепки|пичӗ|техас|хӗвеланӑҫ|шлепке
🥳;вечеринкӑра;вечеринка|вечеринкӑра|калпак|пит|савӑнӑҫ|сайл|ҫуралнӑ|ура|уяв
🥸;маскировка;инкогнит|куҫлӑх|куҫхаршисем|маска|маскировка|пит|сӑмса|смайл|усси|шпион
😎;хура куҫлӑхлӑ пит;клево|кулӑ кӑмӑллӑ|куҫлӑх|отпуск|пит|пляж|ҫутӑ|хӗвел|хӗвел хӳтӗлекен|хӗвел хӳтӗлекен куҫлӑхлӑ пит|хура куҫлӑхлӑ пит|хӳтӗлев|чӑнкӑ
🤓;куҫлӑхҫӑ;всенайка|заучка|куҫлӑх|куҫлӑхлӑ|отличник|очкарик|пит|шӑл
🧐;монокльлӗ;детектив|задака|кивӗ модӑллӑ|мӑнтӑр|монокль|пуян
😕;пӑтрашу;ĕненместӗп|анкӑ-минкӗленнӗ|ӑнланман|вӑтану|именӳ|пӑтрашу|пит|тӗлӗнмелле|япӑх
🫤;ҫӑвар чалӑшнӑ;ӑнланмалла мар|ӑнланманни|иккӗленӳ|кӑмӑлсӑрланни|кӳренӳ|мда|перекос|скептик|смайл|тӗлӗнмелле|чалӑшнӑ ҫӑварлӑ|юрать
😟;канӑҫсӑр;инкек|кӑмӑлсӑрланни|канӑҫсӑрлӑх|пӑлханни|пӑшӑрханать|пӑшӑрхану|сӑн|стресс|тревога|тунсӑх|шиклӗ
🙁;кӑштах хурланать;кӑмӑлсӑр|кӑштах салхуллӑрах|кӑштах тӗксӗмленетӗп|кӑштах хуйхӑрать|килӗшмест|начар|сӑн-пит|тӗксӗм
☹️;тӗксӗм;кӑмӑлсӑр|кӑштах салхуллӑрах|кӑштах тӗксӗмленетӗп|кӑштах хуйхӑрать|килӗшмест|начар|сӑн-пит|тӗксӗм
😮;тӗлӗнӳ;ӗненместӗп|охо|пит|ҫӑварӗ|тӗлӗннӗ|тӗлӗнни|уҫӑ|хӑйне нимӗн те|шокировка тунӑ|шокра
😯;илемсӗр сюрприз;аван мар|сӑн-пит|тӗлӗннӗ|тӗлӗнни|чӗмсӗрлӗх|ырӑ мар сюрприз
😲;шокра;кисренӳ|нимех те мар|пит|тӗлӗнӳ|шок|шокра
😳;хӗрелет;вӑтанни|намӑс|пит|питҫӑмартисем|хӗрелет|хӗрелсе|хӗрелсе каять|хӗрлӗ
🫪;пӑсӑк сӑн-пит;суранланни|тӗлӗнни|тревога|шок|шыҫни
🥺;тархаслать;йӑлӑну|куҫ|куҫҫуль|пит|пысӑк куҫ|тархаслать|тархасшӑн|хурлӑх
🥹;куҫҫульне аран чарать;куҫҫуль|куҫҫульне аран-аран чарать|мӑнкӑмӑллӑх|савӑнӑҫ|смайл|ҫырлаху|тав|тарӑху|тунсӑх|чӑтӑм
😦;тӗлӗннипе;ӗшенни|кӑмӑлсӑр тӗлӗннӗ|пичӗ|ҫӑварӗ|тӗксӗмленнӗ|тӗлӗнни|тӗлӗннипе|уҫӑ ҫӑварӗ
😧;асапланать;асап|асапланатӑп|асапланать|маннӑ|начар|пит|сюрприз|тӗлӗннӗ|тунсӑх|хӑрани|ыратни
😨;хӑрать;кулянма|пӑшӑрханма|сӑн-пит|ҫӑвар|хӑрама|хӑрани|хӑранипе шуралма|хӑратӑп|хӑрать|хӑрушӑ
😰;хытӑ пӑшӑрханать;макӑрма|пӑшӑрхану|сивӗ|тар|уҫӑ ҫӑвар|хӑрани|хӑрать|хӑрушӑ|хурлӑхлӑ|хытӑ пӑшӑрханатӑп|хытӑ пӑшӑрханать
😥;иртсе кайрӗ;иртрӗ|иртсе кайрӗ|йывӑр|кӑмӑлсӑрланни|пит|ҫӑмӑллӑх|тумлам тар|фу|хурлӑхлӑн
😢;макӑрать;кӳренӳ|куҫҫуль|макӑрать|пит|тунсӑх|хуйхӑру|хурлӑхлӑ|шел
😭;куҫҫуль юхать;ӗсӗклени|крокодил куҫҫулӗ|куҫҫуль юхни|макӑрни|пит|тунсӑх|хыттӑн
😱;хӑранипе;кӑшкӑру|пит|сехӗрленӳ|сехре хӑпнипе|ҫухӑрса|шок
😖;ҫухалса кай;аптраса ӳкнипе|аташать|йӗрӗнмелле|килӗшмест|пит|ҫухалса кайни|тупик|усси
😣;кутӑнлӑх;пит|пытанӑр|пытанма|сайлик|ҫине тӑни|ҫине тӑни палӑрать
😞;кӑмӑлсӑрланни;ӑнӑҫсӑр|выляса яни|ӗшенни|кӑмӑлсӑр|кӑмӑлсӑрланать|кӳренет|сӑн-пит|ҫухату|тунсӑх|фрустраци|шанчӑка ҫухатни|шел
😓;сивӗ тарпа;канӑҫсӑрлӑх|кулянни|нервӑсем|пӑлханать|пит|сивӗ тар|сивӗ тарра|тар|хӑрани|чир
😩;ывӑнни;инкек|макӑру|начар|пит|тунсӑх|ывӑнтӑм
😫;хытӑ ывӑнни;вӑйлӑн ывӑнни|ӗҫ|кану|макӑру|пит|питӗ ывӑннӑ|ҫывӑрма|хуйхӑ|ывӑнни
🥱;анаслакан;анасла|ӗшенни|кичем|смайл|ҫывӑрма|ывӑнни|ыйхӑ|ыйхӑллӑ
😤;ӑнӑҫу пуласса кӗтсе;ӑнӑҫу пуласса кӗтсе|кӑмӑлсӑрланни|мӑнкӑмӑллӑх|мӑшӑр|пит|сӑмса|сӑмсаран мӑшӑр|тарӑхни
😡;тарӑхать;вӗрет|вӗчӗрхенет|курайманлӑх|пит|ҫиленнӗ|тарӑхать|тарӑху|урнӑ|хӑйне хӑй чарма|хаяр|хаярлӑх|хӗрлӗ
😠;ҫилленет;кӑмӑлсӑр|сӑн-пит|ҫилленет|ҫилленетӗп|тӗксӗм|хаяр
🤬;цензура;вӑрҫма|мат|матюксем|ҫӑвар патӗнчи символлӑ пит|тарӑху|усал|усал сӑмахсем|хаяр|цензор|цензура|ылхан|ятлаҫма|ятлаҫу
😈;йӑл кулакан шуйттан;йӑл кулакан шуйттан|кӑвак|кулли|мӑйраки|пичӗ|фэнтези|шӑллӗ|шуйттан ҫури|юмах
👿;усал шуйттан;демон|мифологи|пит|сиенлӗ|усал шуйттан|фольклор|чун|шуйттан|шуйттан ҫури|юмах
💀;пуҫ купташки;вилӗм|пуҫ|пуҫ купташки|скелет|хӑрушлӑх
☠️;пуҫ шӑммипе пуҫ шӑмми;вилӗм|пират|пуҫ шӑмми|пуҫ шӑммипе шӑмми|хӑрушлӑх|шӑмӑ
💩;пăх;купа|пăх|тислӗк|усал шăршă кăлар|фекали
🤡;клоун;клоун|клоун сӑн-пичӗ|цирк|шут
👹;тискер кайӑк;аҫтаха|карнавал|мифологи|монср|пит|ҫӗлен|таса мар|хӑравҫӑ|хӑрушӑ|чӗрчун|япони
👺;япони гоблинӗ;вӑрӑм сӑмса|гоблин|маска|монстр|пит|сӑмсаллӑ чудище|ҫилӗ|фольклор|юмах|япони
👻;мӗлке;мӗлке|сӑн-пит|хӑрани|хӑрушӑ|чӗлхе|чун|юмах
👽;ют ҫын;килнӗ|космос|НЛО|фантазика|чун|ют|ют халӑх ҫынни
👾;космос монстрӗ;вӑйӑ монстрӗ|килнӗ|космос|космос монстрӗ|нло|пит|фантазика|фантастика|ют
🤖;робот;монстр|пит-куҫ|робот|хӑрани
😺;кулакан кушак;кулӑ|кулакан кушак|кушак|пит-куҫ|савӑнӑҫ|сарлака кулӑ|сарлака кулӑллӑ|телей|шӑлсем
😸;ахӑлтатса кулакан кушак;кулӑ|кулакан кушак|куҫӗсем|куҫӗсене хупнӑ кушак|кушак|кушак аҫи кулать|кушак аҫи сарлака кулӑпа, куҫӗсене хупса|кушак йӑл кулса|пит-куҫ
😹;куҫҫуль тухичченех кулакан кушак;кулакан кушак|куҫҫуль тухичченех кулакан кушак|кушак|кушак кулать|кушак куҫҫуль тухичченех кулать|пит-куҫ|савӑнӑҫ|телей|телей куҫҫулӗ
😻;юратса пӑрахнӑ кушак аҫи;кулӑ|кушак|пит-куҫ|телей|чӗре|юратма|юратса пӑрахнӑ кушак аҫи|юрату
😼;ейкеленӳ кушак;кулакан кушак|кулӑпа|кушак аҫи|кушак аҫи кулӑпа|сарказм|чее
😽;чуптӑвакан кушак;аҫа|куҫ|кушак|пит-куҫ|сӑмсасем|тута|чупту
🙀;шоклӑ кушак;кушак|кушак пӑлханать|пит-куҫ|сӑмсасем|тӗлӗнни|шокра|ывӑнни
😿;макӑракан кушак;куҫҫулӗ|кушак|кушак макӑрать|макӑракан кушак|макӑру|пит-куҫ|хуйхӑ|хурлӑхлӑ|шел
😾;усал кушак;вӗчӗрхенсе|кӑмӑлсӑр|кушак|кушак аҫи ҫилӗпе|пит-куҫ|ҫилленетӗп|усал|чӗрчун
🙈;нимӗн те курмастӑп;курасшӑн мар|куҫӑм|куҫӑм ан куртӑр|нимӗн те курмастӑп|упӑте|чарнӑ|юрамасть
🙉;нимӗн те илтместӗп;нимӗн те илтместӗп|секрет|упӑте|ура|хӑлха|чарнӑ|юрамасть
🙊;никама та нимӗн те каламастӑп;анчах ан кала|никама та нимӗн те каламастӑп|секрет|ҫӑвар|упӑте|ура|хупнӑ|чарнӑ|чӗмсӗрлӗх|шӑппӑн
💌;юрату ҫырӑвӗ;валентинка|вӑрттӑнлӑх|почта|ҫыру|юрату|юрату ҫырӑвӗ
💘;ухӑ йӗппи шӑтарнӑ чӗре;романтикаллă|ҫӗмрен|чӗрене лектернĕ ухă йĕппи|эрешсем|юратма пуçларăм|юрату
💝;хӑюлӑ чӗре;валентинка|лента|лентӑллӑ чӗре|любовь|парне|чӗре|юрататӑп
💖;ялтӑркка чӗре;ялтӑркка чӗре
💗;ӳсекен чӗре;виҫи|ритм|тапни|туйӑмсем|чӗре|ытларах|юрату
💓;тапакан чӗре;кардио|кӗрен|тапать|хӗрлӗ чӗре|чӗре|чӗри тапать|юрату
💞;ҫаврӑнакан чӗре;икӗ ҫаврашка|ҫаврӑнакан чӗресем|ҫаврӑну|чӗре|юрату ташши
💕;икӗ чӗре;икӗ чӗре|тӗлпулу|чӗре|чуптӑву|юрататакан
💟;&quot;чӗре&quot; палли;&quot;чӗре&quot; значок|куб|тӑваткал|хӗрлӗ|чӗре|чӗре значокӗ|шурӑ
❣️;чӗре евӗрлӗ кӑшкӑру палли;кӑшкӑру палли|кӑшкӑру палли евӗр чӗре|чару палли|чӗре|чӗре евӗр
💔;ҫӗмрӗк чӗре;пайланман юрату|пайсем|ҫӗмрӗк|чӗре|шанӑҫсӑр
❤️‍🔥;ҫунакан чӗре;вут|ҫулӑм|ҫулӑмлӑ чӗре|ҫунакан чӗре|хӗрӳлӗх|юрату
❤️‍🩹;тӳрленекен чӗре;лайӑх|сывални|тӳрленекен чӗре
❤️;хӗп-хӗрлӗ чӗре;туйӑмсем|хӗрлӗ|чӗре|юрататӑп|юратать|юрату
🩷;кӗрен чӗре;кӗрен|килĕштеретĕп|килӗшет|саватăп|савнӑ|уйрӑмах|чӗре|ытарайми|юрататăп|юрататăп çапла|юратни манăн|юрату
🧡;хӗрлӗрех чӗре;хӗрлӗрех|чӗре
💛;сарă чĕре;сарӑ|уйрӑлу|чӗре|юрату
💚;симӗс чӗре;симӗс|чӗре|юрату
💙;кӑвак чӗре;кӑвак|чӗре|юрату
🩵;ҫутӑ кӑвак чӗре;ҫутӑ кӑвак чӗре
💜;хĕрхĕлтĕм чӗре;хĕрхĕлтĕм|чӗре|юрату
🤎;хӑмӑр чӗре;хӑмӑр|чӗре|юрату
🖤;хура чӗре;курайманлӑх|хаярлӑх|хура|чӗре
🩶;сӑрӑ чӗре;тӗттӗм чӗре
🤍;шурӑ чӗре;чӗре|шурӑ|юрату
💋;чуптӑву йӗрӗ;курнӑҫу|помада|романтика|туйӑмсене|тутасем|чупту|чуптуни|эмоцисем|юрату
💯;ҫӗр балл;100|100 процент|çапла çав|аха ҫав|идеаллӑ результат|килӗшетӗп|пĕтĕмпех килĕштеретĕп|питĕ те тĕрĕс|ҫӗр|ҫӗр хут малалла|тӗп тӗрӗс|тӗрӗс|точно|тӳррӗн|шӳтлетӗп
💢;&quot;ҫилли&quot; палли;палли|ҫилли|тарӑху|хаярлӑх
🫯;пӗлӗтпе тытӑҫ;дебатсем|килӗшменни|ресторинг|ҫапӑҫу|тавлашу|шумиха
💥;шартлату;бомба|бум|хӗм|шартлату
💫;ҫаврӑнакан ҫӑлтӑр;астероид|метеорит|пуҫ ҫаврӑнни|ҫӑлтӑр
💦;тар тумламӗсем;йӗпе|тар|тренировка|тумлам|шыв|шыв тумламӗсем
💨;ҫухални;куҫран ҫухални|пӗлӗт|тарса ӳкни|тӗтӗм|тусан|хӑвӑрт
🕳️;шӑтӑк;тӗпсӗр шӑтӑк|уҫӑ люк|хура|шӑтӑк
💬;мӑлатуклӑ пӗлӗт;вӗҫленмен шухӑш|малаллах|мӗн шухӑшлатӑн эсӗ?|нумай мӑлатуклӑ|пӗлӗт|сӑмах|шухӑшсем
👁️‍🗨️;свидетель значокӗ;йӗрлеве хирӗҫ|куҫ|сӑнаса тӑмалла|свидетель|свидетель значокӗ
🗨️;пушӑ пӗлӗт;кӑвак пӗлӗт|пӗлӗт|пустуй пӗлӗт|сӑмах|сулахайра|хура|шухӑш
🗯️;ҫилӗллӗ пӗлӗт;негатив|пӗлӗт|сылтӑмалла|ҫилӗ|хаяр пӗлӗт|хаярлӑх
💭;шухӑшлӑ пӗлӗт;аса илме|ӗмӗтленме|идея|пӗлӗт|пӗлӗтсем|шухӑшлӑ|шухӑшлама|шухӑшсем
💤;тӗлӗк;соня|ҫывӑратӑп|ҫывӑрать|ҫывӑрма|харлаттар|харлаттаратӑп|ХрХрр|ыйхӑ

[people_body]
👋;аллипе сулать;алӑ|аллипе|алтупанӗ|салам|сулать|халлӗхе
	👋🏻;аллипе сулать: сӑран ҫутӑ тӗсӗ;алӑ|аллипе|алтупанӗ|салам|сӑран ҫутӑ тӗсӗ|сулать|халлӗхе
	👋🏼;аллипе сулать: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ;алӑ|аллипе|алтупанӗ|салам|сулать|ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ|халлӗхе
	👋🏽;аллипе сулать: сӑран вӑтам тонӗ;алӑ|аллипе|алтупанӗ|салам|сӑран вӑтам тонӗ|сулать|халлӗхе
	👋🏾;аллипе сулать: сӑран вӑтам тӗксӗм тонӗ;алӑ|аллипе|алтупанӗ|салам|сӑран вӑтам тӗксӗм тонӗ|сулать|халлӗхе
	👋🏿;аллипе сулать: сӑран тӗксӗм тонӗ;алӑ|аллипе|алтупанӗ|салам|сӑран тӗксӗм тонӗ|сулать|халлӗхе
🤚;ҫӗкленӗ алӑ;алтупанӗ|салам|стоп|ҫӗкленӗ|ҫӗкленӗ алӑ|халлӗхе
	🤚🏻;ҫӗкленӗ алӑ: сӑран ҫутӑ тӗсӗ;алтупанӗ|салам|сӑран ҫутӑ тӗсӗ|стоп|ҫӗкленӗ|ҫӗкленӗ алӑ|халлӗхе
	🤚🏼;ҫӗкленӗ алӑ: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ;алтупанӗ|салам|стоп|ҫӗкленӗ|ҫӗкленӗ алӑ|ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ|халлӗхе
	🤚🏽;ҫӗкленӗ алӑ: сӑран вӑтам тонӗ;алтупанӗ|салам|сӑран вӑтам тонӗ|стоп|ҫӗкленӗ|ҫӗкленӗ алӑ|халлӗхе
	🤚🏾;ҫӗкленӗ алӑ: сӑран вӑтам тӗксӗм тонӗ;алтупанӗ|салам|сӑран вӑтам тӗксӗм тонӗ|стоп|ҫӗкленӗ|ҫӗкленӗ алӑ|халлӗхе
	🤚🏿;ҫӗкленӗ алӑ: сӑран тӗксӗм тонӗ;алтупанӗ|салам|сӑран тӗксӗм тонӗ|стоп|ҫӗкленӗ|ҫӗкленӗ алӑ|халлӗхе
🖐️;карнӑ ал тупанӗ;5|алӑ|алтупанне|пиллӗк|пӳрнесене|сулла|уҫнӑ
	🖐🏻;карнӑ ал тупанӗ: сӑран ҫутӑ тӗсӗ;5|алӑ|алтупанне|пиллӗк|пӳрнесене|сӑран ҫутӑ тӗсӗ|сулла|уҫнӑ
	🖐🏼;карнӑ ал тупанӗ: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ;5|алӑ|алтупанне|пиллӗк|пӳрнесене|сулла|уҫнӑ|ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
	🖐🏽;карнӑ ал тупанӗ: сӑран вӑтам тонӗ;5|алӑ|алтупанне|пиллӗк|пӳрнесене|сӑран вӑтам тонӗ|сулла|уҫнӑ
	🖐🏾;карнӑ ал тупанӗ: сӑран вӑтам тӗксӗм тонӗ;5|алӑ|алтупанне|пиллӗк|пӳрнесене|сӑран вӑтам тӗксӗм тонӗ|сулла|уҫнӑ
	🖐🏿;карнӑ ал тупанӗ: сӑран тӗксӗм тонӗ;5|алӑ|алтупанне|пиллӗк|пӳрнесене|сӑран тӗксӗм тонӗ|сулла|уҫнӑ
