# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ihu ọchị;ezé|ihu|mara mma|na-achị ọchị|na-amụmụ ọnụ ọchị|nke ọma|obi ụtọ|ọchị
😃;Ihu Amụ Nwere Ọnụ Ghe oghe;anya|dị egwu|ee|eze|ihu|mepere|na-achị ọchị|na-amụmụ ọnụ ọchị|nnukwu|obi ụtọ|ọchị|ọnụ
😄;ihu amụ nwere mmepe ọnụ &amp; anya amụ;anya|ihu|lol|mepere|na-achị ọchị|na-amụmụ ọnụ ọchị|obi ụtọ|ọchị|ọnụ
😁;ihu ọchị nwere anya amụ;anya|ezé|ihu|mara mma|na-achị ọchị|na-amụmụ ọnụ ọchị|na-egbuke egbuke|obi ụtọ|ọchị
😆;ihu amụ nwere mmepe ọnụ &amp; anya mechiri emechi;anya|haha|hahaha|ihu|lol|mechiri|mepere emepe|na-achị ọchị|na-akpị anya|na-amụmụ ọnụ ọchị|obi ụtọ|ọchị|ọnụ|rofl
😅;ihu amụ nwere mmepe ọnụ &amp; okpofufu oyi;ihu|mepere emepe|mesiri ike|na-achị ọchị|na-amụmụ ọnụ ọchị|nrụgide|obi mgbawa|obi ụtọ|ọchị|ọnụ|ọsụsọ|oyi|ụjọ
🤣;na-atụgharị n’ala na-achị ọchị;ala|anya mmiri|haha|hehe|ihu|lol|mmuo|na-akpa ọchị|na-atụgharị|na-ebe akwa|obi ụtọ|ọchị|ọṅụ|rofl|roflmao
😂;ihu nwere anya mmiri nke aṅụrị;anya mmiri|haha|hehe|ihu|lol|mmuo|na-akpa ọchị|na-ebe akwa|na-enwe mmetụta|obi ụtọ|ọchị|ọṅụ|rofl|roflmao
🙂;nwa obere ihu na-amụ amụ;amụ|ihu|na-amụmụ ọchị|nwa obere|ọchị
🙃;ihu nsụgharị-isi n’ala;hehe|ihu|nsụgharị-isi n’ala|ọchị
🫠;ihu agbaze;agbaze|haha|igbari|ihere|ihu|lol|mkparị|mmiri mmiri|na-agbaze|na-ekpo ọkụ|okpomọkụ|okwu mkparị|pụọ
😉;Ihu na-atabi anya;agụ mmekọ ahụ|ichu nwanyị|ihu|mmife|na-atabi anya|njakịrị|ntabi anya|onye na-agbawa obi
😊;ihu amụ nwere anya amụ;afọ juru|anya|ihere|ihu|na-amụmụ ọnụ ọchị|obi ụtọ|ọchị
😇;ihu amụ nwere okirikiri okụ;agọzịrị agọzị|aka ịdị ọcha|akụkọ|akụkọ ifo|ihu|mmụọ|mmụọ ozi|na-amụmụ ọnụ ọchị|ndị mmụọ ozi|nrọ|obi ụtọ|ọchị|okirikiri ọkụ|udo
🥰;ihu nwere obi;3|ahụrụm gị na anya|gị|ihu|ihunanya|na-amụmụ ọnụ ọchị|obi|ọnụ ọchị
😍;ihu amụ nwere anya-obi ọcha;143|ahụrụ m gị n’anya|anya|ihu|ịhụnanya|mmetụta|nsusu ọnụ|nwere ihunanya|obi|ọnụ ọchị|xoxo
🤩;kpakpando-mere;anya|chaị|ihu|kpakpando|kpakpando-mere|na-achị ọchị|obi ụtọ|ọchị
😘;ihu dị mma nsusò ọnụ;ahụrụ m gị n’anya|ihu|ihunanya|mmekọ ahụ|muah|na-afụ|nsusò ọnụ|obi|onye hụrụ n’anya|xoxo
😗;ihu nsusò ọnụ;143|gị|ihu|ihunanya|mkpakọrịta nwoke na nwaanyị|mmekọ ahụ ahụrụ m gị n’anya|nsusò ọnụ|xoxo
☺️;ihu na-amụ amụ;amụ|edepụtara|ihu|na-amụ amụ|obi ụtọ|ọchị|zuru ike
😚;ihu nsusò ọnụ emechiri anya;143|ahụrụ m gị n’anya|emechiri|ịchụ nwaanyị|ihu|ime ọyị nwoke na nwaanyị|mmekọ ahụ|nsusò ọnụ|ọyị|xoxo
😙;Ihu Na-Eme Nsusu Nwere Anya Amụ;143|abalị|ahụrụ m gị n’anya|emechiri|ịchụ nwaanyị|ihu|ihunanya|ime ọyị nwoke na nwaanyị|na-amụ ọnụ ọchị|nsusò ọnụ|ọnụ ọchị|ọyị
🥲;ihu na-amụ amụ nwere anya mmirị;anya mmirị|ekele|ihu|ihu ọchị|metụtara|na-amụ amụ|nganga|obi ekele|obi iru ala|obi ụtọ|ụfụ
😋;ihu nri dị ezigbo ụtọ;agụụ|dị ụtọ|ihu|na-amụmụ ọnụ ọchị|nri|ọchị|rie|tọrọ ụtọ|um|ụtọ|yum|zuru
😛;ihu nwere mmipụta ire;dị egwu|ewepụrụ|ihu|ire|mara mma|mma|oriri|ụtọ
😜;ihu nwere mmipụta ire &amp; ntaji anya;anya|ara|dị egwu|egwu|ihu|ire|loopy|mmubi anya|na-akpa ọchị|na-amubi anya|njakịrị|nutty|oriri|uri|wepụ|yolo
🤪;ihu ara;anya|ara|ihu|nnukwu|nzuzu|obere|zany
😝;ihu nwere mmipụta ire &amp; nwere mmechi anya;anya|atọ|dị oké njọ|ihe ọ bụla|ihu|ire|jọgburu onwe|mechiri|na-akpị anya|ochim|pụtara iche|yolo
🤑;Ihu ọnụ-ego;akwụọla ụgwọ|ego|ego-ọnụ|ihu|ọnụ
🤗;ihu ọchị nwere aka mepere emepe;aka|ihu|mepere|mmakọ|na-amụmụ ọnụ ọchị|na-mmakọ
🤭;ihu n’iji aka mechie ọnụ;aka|cheii|chịa ọchị|ihu|ịtụnanya|mberede|mmata|na-achị ọchị|nkụja|nzuzo|ọnụ
🫢;ihu mwute;aka|anya|egwu|ekweghiekwe|gafere|ihe ijuanya|ihere|ihu|ịtụnanya|jụụ|mepere|ochim|ọnụ|ujo
🫣;ihu anya inyocha;anya|dọtara mmasị|egwu|ihere|ihu|ile anya|na-ezo|nyo|nyogharị anya|zoo
🤫;ihu mechie onụ;ihu|mechie onụ|mmechiọnụ|na-emechi ọnụ|nwayọ
🤔;ihu na-eche echiche;agba|hmm|iche echiche|ihu|na-atụgharị uche|na-eche|tụlee
🫡;ihu na-ekele;chioma|ee|ekele|ihu|mazi|mma|na-ekele|ndị agha|nkwanye ùgwù|nne|ọ dị mma
🤐;ihu mgbachi ọnụ;debe|ihu|jụụ|mechie|mkpọchị uwe|nzuzo|ọnụ|ọnụ mkpọchị uwe
🤨;ihu weliri anya elu;anabataghị|ekweghiekwe|emoji|enweghị ntụkwasị obi|ewelitere|hmm|ihu|ịtụnanya|kedu|nku anya|obere|obi abụọ|onye obi abụọ
😐;ihu nkịtị;dị egwu|ekworo|ekwughị okwu|enweghị mmasị|enweghị mmetụta|enweghị obi ụtọ|ihe ọ bụla|ihu|kwụ ọtọ|meh|na-anọpụ iche|oghere|oh|onwu
😑;ihu enweghị ngosipụta;anwụọla|dị egwu|ehh|ekworo|emeghị ngosipụta|enweghị mmasị|enweghị nkọwa|enweghị obi ụtọ|ihe ọ bụla|ihu|kwụ ọtọ|meh|mma|ọ bụghị|ochim|oh
😶;ihu enweghị ọnụ;dị egwu|ekwughi okwu|enweghị ngosipụta|enweghị ọnụ|gbachi nkịtị|ihu|juu|jụụ|nzuzo|ogbi|oghere|ọnụ
🫥;ihu;anaghị ahu anya|dara mbà n’obi|ihu|onye néme ihere|pụọ|zoó
😶‍🌫️;ihu nọ n’ígwé;gbara nkịtị|ihu nọ n’ígwé|ihu nọ n’urukpuru|isi nọ n’ígwé
😏;ihu na-eme nka ọchị;a na-enyo|aghụghọ|egwu egwu|ichu nwanyị|ihu|izu|kacha ma mma|mkpakọ|na-amị amị|nwanna|ọchị ọjọọ|onyeisi|sniker
😒;uhu atọghị ọchị;...|atọghị ọchị|efufe isi|ehh|ekworo|enweghị obi ụtọ|ihe ntachi anya|ihe ọ bụla|ihu|ike gwụrụ|jel|jelii|mma|na-ewe iwe|ugh
🙄;ihu nwere kpụrụkpụrụ anya na-akpọgharị akpọgharị;anya|anya na-akpọgharị akpọgharị|ihe ọ bụla|ihu|na-akpọgharị
😬;ihu ntachị anya;dọkịta eze|ihu|na-achị ọchị|na-akpa ọchị|na-amụmụ ọnụ ọchị|ntachi anya|ọchị|ọnụ ọchị
😮‍💨;ihu na-ekuda ume;ịfụ ụfụ|ihu na-ekuda ume|ijuanya|isu ude|nkuda ume|ntakwu|obi iru ala
🤥;Ihu asị;ịgha ụgha|ihu|onye ugha|pinocchio|ụgha
🫨;ihu na-ama jijiji;ajụ|ala ọma jijiji|ara|cheii|ihu|ịtụnanya|maa jijiji|na-ama jijiji|ochim|ujo|ụjọ
🙂‍↔️;efufe isi site n’aka nri ga n’aka ekpe;anaghị|efufe|efufe isi site n’aka nri ga n’aka ekpe
🙂‍↕️;ekwe n’isi site n’elu ga n’ala;ee|ekwe n’isi|ekwe n’isi site n’elu ga n’ala
😌;ihu nnwere onwe;enyemaka|ihu|jụụ|obi iru ala|udo|zen
😔;ihu echiche;dị egwu|dị nzuzu|efu|egwu|ihu|ike gwụrụ|mwute|na-efunahụ|ndakpọ olileanya|nwụrụ|obi mgbawa
😪;ihu anya ụra;abalị|akwa|dị mma|ihu|ike gwụrụ|mwute|na-ehi ụra|ura|ụra
🤤;ihu na-agụsị asọ mmiri;ihu|ihu na-agụsị asọ mmiri|na-agụsị asọ mmiri
😴;ihu na-ehi ụra;abalị|akwa ndina|dị mma|ihe ọ bụla|ihu|ike gwụrụ|ka chi foo|na-ehi ụra|obere ụra|oge ụra|ughere|ụra|zzz
🫩;ihu nwere anya ụra;anya ụra|ike gwụrụ|ike ọgwụgwụ
😷;ihu nwere mkpuchi ihu ngwaọrụ ụlọ ọgwụ;dọkịta|dọkịta anụ ahụ|dọkịta eze|dr|ihu|na-arịa ọrịa|nje|nkpuchi|ọgwụ|oyi
🤒;ihu nwere ngwa ogologo;ihu|ihu nwere ngwa ogologo|ngwa ogologo|onye|ọrịa
🤕;ihu nwere akwà mkpuchi;bandeeji|bandeji-isi|ewoo|ihu|merụrụ|mmerụ ahụ
🤢;ihu nkoropu;agbọ agbọ|dị oke njọ|ihu|jọrọ njọ|na-arịa ọrịa|ọgbụgbọ
🤮;ihu na-agbọ agbọ;agbọ|dị oke njọ|elu|ew|gbụọ|gbụpụ|ihu|na-agbọ agbọ|na-anwa agbọ|na-arịa ọrịa
🤧;ihu nfụkọ;ahụ ọkụ|flu|gesundheit|ihu|na-ama uzere|na-arịa ọrịa|uzere
🥵;ihu ọkụ;ahụ ọkụ|ihu|ihu uhie|ire|na-anwụ|na-ekpo ọkụ|na-eku|okpomọkụ|ọrịa strok|ọsụsọ
🥶;ihu oyi;acha anụnụ anụnụ|aiz|ezé|ihu|ihu-acha anụnụ anụnụ|na-atụ oyi|oke oyi|oyi
🥴;ihu kpọrọ asị;ajụ|anya|gbagọrọ agbagọ|ihu|mmanya|mmanya na-egbu|na-ekwekọghị ekwekọ|ọnụ
😵;ihu nwere anya a kachiri;ajụ|akachiri|anwụọla|anya|ihu|ike gwụrụ|kụrụ|na-arịa ọrịa|na-enwe mmetụta|pụọ
😵‍💫;ihu nwere anya na-agba gburugburu;ajụ|ihu nwere anya na-agba gburugburu|mmegharị anya|na-agba gburugburu|nsogbu|whoa
🤯;isi mere nkụwa;akpata oyi|gbawa|gbawara|iju anya|isi|mba|na-agbawa|uche|ụzọ
🤠;ihu okpu onye ọchụụ nnama;ihu|ihu okpu onye ọchụụ nnama|nwanyị ọchụụ nnama|nwoke ọchụụ nnama|okpu
🥳;ihu oriri na mmanya;eme ememe|ememe|ihu|mpi|na-eme oriri|obi ụtọ|okpu|orire|ụbọchị ọmụmụ
🥸;ihu nwogharia;afụ ọnụ|igbanwe|ihu|imi|mmadu|nku anya|nzuzo|onye nledo|tache|tash|ugegbe anya
😎;ihu amụ nwere ugogbe anya anyanwụ;akụkụ osimiri|dị egwu|ezuike|ihu|izuike|kpa nganga|merie|mma|na-egbuke egbuke|nwanne|ọchị|rad|ụdị|ugogbe anya maka anwụ
🤓;ihu eze ọchị;amamihe|ihu|ma akwụkwọ|nwere ọgụgụ isi|nwere onyinye|ọkachamara|onye nwere amamihe|uche|ugbegbe anya
🧐;ihu nwere ahụọnụ;ihu|mara mma|nke juru|nwere ugwu|ọgaranya|ugbe otu anya
😕;ihu mgbagwoju anya;amaghị|doro anya|gbagwojuru anya|hm|ihu|meh|mgbagwoju anya|mgbarụ ihu|mwute|ndo|ọ bụghị
🫤;ihu nwere onụ ufodụ;ejighi n’aka|ihe ọ bụla|ihu|mgbagwoju anya|n’akụkụ|ndakpọ olileanya|obi abụọ|obi nkoropụ|ọnụ
😟;ihu nwere nchekasị ahụ;akwara|ihu|mgbagwoju anya|mwute|na-echegbu|nchekasị ahụ|ụjọ|urukurubụba
🙁;nwa obere mgbarụ ihu;ihu|mgbarụ ihu|mwute|na-agbarụ ihu|nwa obere
☹️;na-agbarụ ihu;ihu|mgbarụ ihu|mwute|na-agbarụ ihu
😮;ihu nwere mmepe ọnụ;akpata oyi|chai|chefuru|ekweghiekwe|emeghi eme|gị|ihu|ịtụnanya|kwere|mepere|o chim|ọmịiko|ọnụ
😯;ihu dara jụụ;chai|dara jụụ|ihu|ihu dara jụụ|o chim|tụrụ n’anya
😲;ihu nwere ịtụnanya;ihu|ịtụnanya|kpamkpam|mba|nwere mgbagwoju anya|o chim|ọnụego|tụrụ n’anya
😳;ihu nchagharị ọbara;chaị|dị egwu|ekweghiekwe|gbagwojuru anya|gbara ara|gịnị|ihere|ihu|masịrị|na-ekpo ọkụ|nwụrụ anwụ|okpomọkụ|tụrụ n’anya
🫪;ihu gbagọrọ agbagọ;adịghị ike|egwu|ijuanya|mgbagwoju anya|nchegbu|ujo
🥺;ihu na-ayọ ayiyọ;anya|arịọ arịrịọ|biko|ebere|ihe kpatara ya|ihu|mara mma|mwute|na-arịọ|nnukwu|nwa nkita|ọ bụghị
🥹;ihu choro ị be akwà;akwà|anya mmiri|aww|azụ|biko|ekele|iguzogide|ihere|ihu|ijide|mmasị|mmetụta|mpako|mwute|ọṅụ
😦;ihu mgbarụ nwere mmepe ọnụ;chaị|egwu|gịnị|ihu|ịtụnanya|jidere|mepere|mgbarụ ihu|na-ewe iwe|nche|ọnụ
😧;ihu nwere ọnụma;chaị|chefuru|egwu|enweghị obi ụtọ|gịnị|ihu|ịtụnanya|na - enwe nchekasị|nkpagbu
😨;ihu ujọ;egwu|ihu|na-atụ egwu|na-echegbu|na-echegbu onwe ya|ụta
😰;ihu nwere mmepe ọnụ &amp; okpofufu oyi;acha anụnụ|cheii|eek|egwu|gbara ọsọ|ihu|mepere|na-echegbu|ọnụ|ọsụsọ|oyi|ụjọ
😥;ihu ngharịpụ mana nwere nkuda ume;hewu|ihu|kpọọ|mgbagwoju anya|mwute|na-echegbu|ndakpọ olileanya|nso|ọ bụghị|obi iru ala|oge|ọsụsọ
😢;ihu na-ebe akwa;akwa|anya mmiri|dị egwu|echefu|enweghị obi ụtọ|ihu|mwute|na-ebe akwa|na-eche
😭;ihu akwa mkpu;akwa|anya mmiri|dara ụda|enweghị obi ụtọ|ihu|ịsụ ude|mwute|na-ebe akwa
😱;ihu na-eti n’ụjọ;akpata oyi|cheii|egwu|ihe egwu|ihu|ịtụnanya|na-atụ egwu|na-eti mkpu|onye na-eti mkpu|taa|tie mkpu|ụjọ
😖;ihu nwere mgbagwoju anya;ara|egwu|gbagwojuru anya|ihu|iwe|mgbagwoju anya|mwute|na-eche|na-ewute|nkụda mmụọ
😣;ihu na-enwe ntachi obi;ihu|isi ọwụwa|itinye uche|lekwasịrị anya|na-anọgidesi ike|nọgidesie ike|ntinye uche
😞;ihu nwere ngharịpụ;dara|dị egwu|enweghị obi ụtọ|ihu|mwute|na-efunahụ|ndakpọ olileanya|obi mgbawa|ụta
😓;ihu nwere okpofufu oyi;cheii|egwu|ihu|isi ọwụwa|mechie|mmetụta|mwute|nweda ala|ọsụsọ|oyi|ụjọ
😩;ihu ike ọgwụgwụ;agụụ|ara|dara|enweghị obi ụtọ|ihu|ike gwụrụ|ike ọgwụgwụ|mba|mwute|na-ebe akwa|na-enwe mmetụta|ura
😫;ihu ume ọgwụgwụ;ihu|ike ọgwụgwụ|mwute|na-enwe mmetụta|ọnụ ahịa|ụra|uzere
🥱;ihu na-asụ ude;abalị|anya ura|ihe ọ bụla|ihu|ike ogwụgwụ|ike ọgwụgwụ|ka chi bọ|na-eku ughere|oge ụra|ughere|ụra|zzz
😤;ihu nwere mpụta anwụrụ ọkụ n’imi;ara|enweghị obi ụtọ|ihu|imi|iwe|meriri|mmeri|na-ekpo ọkụ|na-enwe mmetụta|oké iwe|uzuọkụ
😡;ihu nsụpụta iwe;ara|enweghị obi ụtọ|ihu|iwe|na-afụ ọnụ|na-agba ara|na-eche|ndo|ọnụma|uhie
😠;ihu iwe;ara|enweghị obi ụtọ|ihu|iwe|na-agba ara|na-enwe mmetụta|ndo|nkụda mmụọ|ọnụma|ụta
🤬;ihu nwere akara n’elu onụ;akara|ara|ịbụ ọnụ|ihu|na-aṅụ iyi|na-ewe iwe|nkọcha|ọnụ|zoo
😈;ihu amụ nwere mpi;akụkọ|akụkọ ifo|arọmarọ|ekwensu|ihu|mmụọ ọjọọ|mpi|na-amụmụ ọnụ ọchị|ọchị|odo odo|ọjọọ|ọnụ ọchị
👿;ihu iwe nwere mpi;akụkọ|akụkọ ifo|ekwensu|ihe ojoo|ihu|imp|iwe|mmụọ ọjọọ|mpi|nrọ|odo odo|ọjọọ
💀;okpokoro isi;abum|ahu|akụkọ|akụkọ ifo|anwụọla|ihe egwu|ihu|lmao|okpokoro isi|ọnwụ|yolo
☠️;okpokoroisi na ndochiọkpụkpụ;anwụọla|ihe egwu|ihu|ndochiọkpụkpụ|okpokoroisi|ọkpụkpụ|ọnwụ
💩;ikpo nke nsi;bs|doo|fml|ihe ọchị|ihu|ikpo|ísì|na-efufe isi|na-esi ísì|nnukwu|nsị|okpu nsị
🤡;ihu njakịrị;ihu|njakịrị
👹;ihe egwu;akụkọ|akụkọ ifo|anụ ọjọọ|arọmarọ|egwu|ekwensu|ihe egwu|ihu|nkpuchi|okike
👺;gọblịn;akụkọ|akụkọ ifo|arọmarọ|gọblịn|ihe e kere eke|ihe egwu|ihu|iwe|nkpuchi|pụtara
👻;mmụọ;akụkọ|akụkọ ifo|arọmarọ|boo|halloween|ihe e kere eke|ihe egwu|ihu|mmụọ|na-atụ egwu|na-eme ụjọọ|nzuzu|obi ụtọ
👽;ihe nsina mba ọzọ;akụkọ|akụkọ ifo|arọmarọ|ihe e kere eke|ihe egwu|ihe si n’elu ụwa|ihu|ọbịa|oghere|ufo
👾;ihe egwu ihe nsina mba ọzọ;akụkọ|akụkọ ifo|arọmarọ|egwuregwu|ihe e kere eke|ihe egwu|ihe si n’elu ụwa|ihu|nwere pịkselu|ọbịa|oghere|onye egwuregwu|ufo
🤖;ihu rọbọtụ;ihe egwu|ihu|rọbọtụ
😺;nwamba na-achị ọchị;amụ|anụmanụ|ihu|mmepe|na-amụmụ ọnụ ọchị|nwamba|ọnụ|ọnụ ọchị
😸;ihu ọchị nwamba nwere anya amụ;amụ|anụmanụ|anya|ihu|mmepe|na-amụmụ ọnụ ọchị|nwamba|ọnụ|ọnụ ọchị
😹;ihu nwamba nwere anya mmiri anụrị;anụmanụ|anụrị|anya mmiri|ihu|na-achị ọchị|nwamba|ọchị
😻;ihu ọchị nwamba nwere obi ebere;anụmanụ|anya|anya-obi|ihu|ịhụnanya|ịmụmụ ọnụ ọchị|nwamba|obi|ọnụ ọchị
😼;ihu nwamba nwere amụ pụrụiche;anụmanụ|ihu|na-eme ihe ike|nwamba|ọnụ ọchị|pụrụiche
😽;nsusu ihu nwamba nwere mmechi anya;anụmanụ|anya|ihu|mmechi anya|nsusu|nsusu ọnụ|nwamba
🙀;ihu ike ọgwụgwụ nwamba;anụmanụ|ihu|ike ọgwụgwụ|nwamba|nwere mgbagwojuanya|oh
😿;ihu akwa nwamba;akwa|anụmanụ|anya mmiri|ihu|na mwute|na-ebe akwa|nwamba
😾;na-asụpụta ọnụ nwamba;anụmanụ|ihu|nsụpụta ọnụ|nwamba
🙈;ahụkwala-ènwè-ọjọọ;amachibidoro|chefuru|egwu|enwe|ihere|ihu|lelee|mba|mmegharị ahụ|nzuzo|ochim|ọjọọ|smh|zoo
🙉;anụkwala-ènwè-ọjọọ;amachibidoro|anụmanụ|enwe|gee ntị|ihu|mba|mmegharị ahụ|ntị|nụ|nzuzo|ọ bụghị|ọjọọ|shh|tmi
🙊;ekwukwala-ènwè-ọjọọ;amachibidoro|anụmanụ|enwe|ihu|jụụ|kwuo|mba|mmegharị ahụ|nzuzo|ọ bụghị|ọjọọ|ooh
💌;leta ihụ̀nanya;ịhụnanya|leta|obi|ozi|valentine
💘;obi nwere akụ;143|adorb|akụ|ịhụnanya|ily|kupid|mmetụta|obi|ụbọchị|valentine
💝;obi nwere ọmarịcha eriri;143|ily|mmetụta|ncheta|nsusu|obi|rịbọn|valentine|xoxo
💖;obi mmuke;143|abalị|ily|mma|mmetụta|na-egbuke egbuke|nsusu|obi|obi ụtọ|ụtụtụ|xoxo
💗;obi na-eto eto;143|ily|mkpatụ|mmetụta|muah|na-eto eto|nsusu|obi|obi ụtọ|ụjọ|xoxo
💓;obi na-akụ akụ;143|ihunanya|ily|metụtara obi|mkpatụ|mmetụta|na-eme mkpadụ|na-eti|obi|ụdaobi
💞;obi na-agba okirikiri;143|adorb|mmetụta|na-agba okirikiri|ncheta|obi
💕;obi àbụọ;143|abụọ|ihunanya|ịhụnanya|ily|mkpakọrịta nwoke na nwaanyị|mmetụta|ncheta|nsusu|obi|ụbọchị|xoxo
💟;ịchọ mma obi;143|ihe ịchọ mma|mmetụta|obi|ọcha|odo odo
❣️;nnukwu obi ntimkpu;akara|akara edemede|dị arọ|ntimkpu|obi
💔;obi ntiwa;egweriri|gbajie|gbajiri|mmetụta|mwute|obi|obi gbawara|owu
❤️‍🔥;mkpụrụobi n’ere ọkụ;agụụ mmekọahụ|ịhụnanya|mkpụrụobi|mkpụrụobi n’ere ọkụ|n’ere ọkụ|obi dị nsọ
❤️‍🩹;mkpụrụobi nwere mmedo;dị mma|mkpụrụobi nwere mmedo|na-adịmma|na-agbake|na-edozi|nwere ahụike|nwere mmedo
❤️;obi ọbara;ihunanya|mmetụta|obi|uhie
🩷;obi na-acha pink;143|ihunanya|ily|mara mma|mmasị|mmetụta|obi|pink|pụrụ iche|ụtọ
🧡;obi orenji;obi orenji|orenji
💛;obi na-acha èdò èdò;143|edo edo|ihunanya|ily|mmetụta|obi
💚;obi na-acha ndụ ndụ;143|ịhụnanya|ily|mmetụta|na-acha akwụkwọ ndụ|obi
💙;obi na-acha anụnụ anụnụ;143|ịhụnanya|ily|mmetụta|na-acha anụnụ anụnụ|obi
🩵;obi na-acha blụ;143|acha anụnụ anụnụ|agba tii|cyan|elu igwe|ìhè|ịhụnanya|ily|mara mma|mmasị|mmetụta|obi|pụrụ iche
💜;obi na-acha pọpụl;143|ịhụnanya|ily|kacha mma|mmetụta|obi|odo odo
🤎;obi na-acha brown;obi na-acha brown
🖤;obi ojii;obi|ojii|ọjọọ
🩶;obi na-acha gré;143|ìgbe ndesịta|ịhụnanya|ily|mmetụta|na-acha ntụ|obi|ọlaọcha|pụrụ iche
🤍;obi na-acha ọcha;obi|obi na-acha ọcha|ọcha
💋;akara nsusu;akara nsusu|akpali agụụ mmekọahụ|egbugbereọnụ gasị|ịhụnanya|na-eme oyi|na-esusu ọnụ|nsusu ọnụ|obi
💯;pọịntị narị gasị;100|a+|akara|doro anya|ee|eziokwu|EZIOKWU|kpọmkwem|kwenyere|kwesịrị ntụkwasị obi|mfe|na-edebe|otu narị|zuru ezu|zuru okè
💢;akara iwe;akara|ara|iwe|mkpaọchị
🫯;igwe ojii ọgụ;arụmụka|esemokwu|ịlụ ọgụ|mgba|nghọtahie
💥;nkụkọrịta;mgbawa|mkpaọchị|nkụkọrịta|ogbunigwe
💫;ajụ;ajụ|kpakpandò|mkpaọchị|na-agba agba|na-egbuke egbuke
💦;ntụpụta okpoofù;awụ awụ|mkpaọchị|mmega ahụ|mmiri|na-egosipụta|na-ehi|ntụpụta|ọrụ|ọsụsọ
💨;na-apụ apụ;anwụrụ|arụ|igwe ojii|kwesiri|mkpaọchị|na-agba ọsọ|na-apụ apụ|na-emebe|ngwa ngwa|ọpụpụ
🕳️;ọnụ oghere;ọnụ oghere
💬;blonblon okwu;blonblo|ederede|kwuo|mkpaọchị|na-ede|okwu|ozi|sms|ụbụbọ
👁️‍🗨️;anya na blonblo okwu;akaebe|anya|blonblo|okwu|ụfụfọ
🗨️;blonblo okwu akaèkpè;akaèkpè|blonblo|mkparịtaụka|okwu|ụfụfọ
🗯️;blonblo iwe akanri;ara|blonblo|blonblo iwe akanri|blonblon|iwe
💭;blonblon echichè;afụfọ|blonblon|chee|chepụta|echichè|ghọta|igwe ojii|ijuanya|katuunu|mkpaọchị|mkpebi|mmepụta|nrọ
💤;ZZZ;abalị|anya ụra|ike ọgwụgwụ|mkpaọchị|na-ehi ụra|ụra|zzz

[people_body]
👋;na-efe aka;aka|apụọla|cya|daalụ|ekele|emesia|g2g|gị|gtg|ife|ka|ndewo|ttfn|ttyl
	👋🏻;na-efe aka: ọtanjele ahụ maka ọcha;aka|apụọla|cya|daalụ|ekele|emesia|g2g|gị|gtg|ife|ka|ndewo|ọtanjele ahụ maka ọcha|ttfn|ttyl
	👋🏼;na-efe aka: ọtanjele ahụ maka ọcha-ndịna etiti;aka|apụọla|cya|daalụ|ekele|emesia|g2g|gị|gtg|ife|ka|ndewo|ọtanjele ahụ maka ọcha-ndịna etiti|ttfn|ttyl
	👋🏽;na-efe aka: ọtanjele ahụ ndịna etiti;aka|apụọla|cya|daalụ|ekele|emesia|g2g|gị|gtg|ife|ka|ndewo|ọtanjele ahụ ndịna etiti|ttfn|ttyl
	👋🏾;na-efe aka: ọtanjele ahụ maka òji-ndịna etiti;aka|apụọla|cya|daalụ|ekele|emesia|g2g|gị|gtg|ife|ka|ndewo|ọtanjele ahụ maka òji-ndịna etiti|ttfn|ttyl
	👋🏿;na-efe aka: ọtanjele ahụ maka òji;aka|apụọla|cya|daalụ|ekele|emesia|g2g|gị|gtg|ife|ka|ndewo|ọtanjele ahụ maka òji|ttfn|ttyl
🤚;azụ aka nke ewelitere elu;azụ aka|azụ aka nke ewelitere elu|ewelitere elu
	🤚🏻;azụ aka nke ewelitere elu: ọtanjele ahụ maka ọcha;azụ aka|azụ aka nke ewelitere elu|ewelitere elu|ọtanjele ahụ maka ọcha
	🤚🏼;azụ aka nke ewelitere elu: ọtanjele ahụ maka ọcha-ndịna etiti;azụ aka|azụ aka nke ewelitere elu|ewelitere elu|ọtanjele ahụ maka ọcha-ndịna etiti
	🤚🏽;azụ aka nke ewelitere elu: ọtanjele ahụ ndịna etiti;azụ aka|azụ aka nke ewelitere elu|ewelitere elu|ọtanjele ahụ ndịna etiti
	🤚🏾;azụ aka nke ewelitere elu: ọtanjele ahụ maka òji-ndịna etiti;azụ aka|azụ aka nke ewelitere elu|ewelitere elu|ọtanjele ahụ maka òji-ndịna etiti
	🤚🏿;azụ aka nke ewelitere elu: ọtanjele ahụ maka òji;azụ aka|azụ aka nke ewelitere elu|ewelitere elu|ọtanjele ahụ maka òji
🖐️;welitere aka elu n’iji mgbasa mkpịsịaka;aka|ewelitere|kwụsị|mkpịsị aka|splayed
	🖐🏻;welitere aka elu n’iji mgbasa mkpịsịaka: ọtanjele ahụ maka ọcha;aka|ewelitere|kwụsị|mkpịsị aka|ọtanjele ahụ maka ọcha|splayed
	🖐🏼;welitere aka elu n’iji mgbasa mkpịsịaka: ọtanjele ahụ maka ọcha-ndịna etiti;aka|ewelitere|kwụsị|mkpịsị aka|ọtanjele ahụ maka ọcha-ndịna etiti|splayed
