# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ырсайган бет;бет|ырсай|ырсайган бет
	🧏🏽‍♀️;дүлөй аял: орточо;аял|дүлөй|орточо
	🧏🏾‍♀️;дүлөй аял: кара тору;аял|дүлөй|кара тору
	🧏🏿‍♀️;дүлөй аял: кара;аял|дүлөй|кара
🙇;жүгүнүп жаткан адам;жүгүн|жүгүнүп жаткан адам|ишарат|кечирим
	🙇🏻;жүгүнүп жаткан адам: акжуумал;акжуумал|жүгүн|жүгүнүп жаткан адам|ишарат|кечирим
	🙇🏼;жүгүнүп жаткан адам: буудай жүздүү;буудай жүздүү|жүгүн|жүгүнүп жаткан адам|ишарат|кечирим
	🙇🏽;жүгүнүп жаткан адам: орточо;жүгүн|жүгүнүп жаткан адам|ишарат|кечирим|орточо
	🙇🏾;жүгүнүп жаткан адам: кара тору;жүгүн|жүгүнүп жаткан адам|ишарат|кара тору|кечирим
	🙇🏿;жүгүнүп жаткан адам: кара;жүгүн|жүгүнүп жаткан адам|ишарат|кара|кечирим
🙇‍♂️;жүгүнүп жаткан эркек;жүгүнүп жаткан эркек|жүгүнүү|ишарат|кечирим суроо|эркек
	🙇🏻‍♂️;жүгүнүп жаткан эркек: акжуумал;акжуумал|жүгүнүп жаткан эркек|жүгүнүү|ишарат|кечирим суроо|эркек
	🙇🏼‍♂️;жүгүнүп жаткан эркек: буудай жүздүү;буудай жүздүү|жүгүнүп жаткан эркек|жүгүнүү|ишарат|кечирим суроо|эркек
	🙇🏽‍♂️;жүгүнүп жаткан эркек: орточо;жүгүнүп жаткан эркек|жүгүнүү|ишарат|кечирим суроо|орточо|эркек
	🙇🏾‍♂️;жүгүнүп жаткан эркек: кара тору;жүгүнүп жаткан эркек|жүгүнүү|ишарат|кара тору|кечирим суроо|эркек
	🙇🏿‍♂️;жүгүнүп жаткан эркек: кара;жүгүнүп жаткан эркек|жүгүнүү|ишарат|кара|кечирим суроо|эркек
🙇‍♀️;жүгүнүп жаткан аял;аял|жүгүнүп жаткан аял|жүгүнүү|ишарат|кечирим суроо
	🙇🏻‍♀️;жүгүнүп жаткан аял: акжуумал;акжуумал|аял|жүгүнүп жаткан аял|жүгүнүү|ишарат|кечирим суроо
	🙇🏼‍♀️;жүгүнүп жаткан аял: буудай жүздүү;аял|буудай жүздүү|жүгүнүп жаткан аял|жүгүнүү|ишарат|кечирим суроо
	🙇🏽‍♀️;жүгүнүп жаткан аял: орточо;аял|жүгүнүп жаткан аял|жүгүнүү|ишарат|кечирим суроо|орточо
	🙇🏾‍♀️;жүгүнүп жаткан аял: кара тору;аял|жүгүнүп жаткан аял|жүгүнүү|ишарат|кара тору|кечирим суроо
	🙇🏿‍♀️;жүгүнүп жаткан аял: кара;аял|жүгүнүп жаткан аял|жүгүнүү|ишарат|кара|кечирим суроо
🤦;сөз жок ишараты;алакан|ачуулануу|бет|ишенбөө|сөз жок ишараты
	🤦🏻;сөз жок ишараты: акжуумал;акжуумал|алакан|ачуулануу|бет|ишенбөө|сөз жок ишараты
	🤦🏼;сөз жок ишараты: буудай жүздүү;алакан|ачуулануу|бет|буудай жүздүү|ишенбөө|сөз жок ишараты
	🤦🏽;сөз жок ишараты: орточо;алакан|ачуулануу|бет|ишенбөө|орточо|сөз жок ишараты
	🤦🏾;сөз жок ишараты: кара тору;алакан|ачуулануу|бет|ишенбөө|кара тору|сөз жок ишараты
	🤦🏿;сөз жок ишараты: кара;алакан|ачуулануу|бет|ишенбөө|кара|сөз жок ишараты
🤦‍♂️;бетин кармаган эркек;бетин кармаган эркек|бетин колу менен жабуу|ишенбегендик|кыжырдануу|эркек
	🤦🏻‍♂️;бетин кармаган эркек: акжуумал;акжуумал|бетин кармаган эркек|бетин колу менен жабуу|ишенбегендик|кыжырдануу|эркек
	🤦🏼‍♂️;бетин кармаган эркек: буудай жүздүү;бетин кармаган эркек|бетин колу менен жабуу|буудай жүздүү|ишенбегендик|кыжырдануу|эркек
	🤦🏽‍♂️;бетин кармаган эркек: орточо;бетин кармаган эркек|бетин колу менен жабуу|ишенбегендик|кыжырдануу|орточо|эркек
	🤦🏾‍♂️;бетин кармаган эркек: кара тору;бетин кармаган эркек|бетин колу менен жабуу|ишенбегендик|кара тору|кыжырдануу|эркек
	🤦🏿‍♂️;бетин кармаган эркек: кара;бетин кармаган эркек|бетин колу менен жабуу|ишенбегендик|кара|кыжырдануу|эркек
🤦‍♀️;бетин кармаган аял;аял|бетин кармаган аял|бетин колу менен жабуу|ишенбегендик|кыжырдануу
	🤦🏻‍♀️;бетин кармаган аял: акжуумал;акжуумал|аял|бетин кармаган аял|бетин колу менен жабуу|ишенбегендик|кыжырдануу
	🤦🏼‍♀️;бетин кармаган аял: буудай жүздүү;аял|бетин кармаган аял|бетин колу менен жабуу|буудай жүздүү|ишенбегендик|кыжырдануу
	🤦🏽‍♀️;бетин кармаган аял: орточо;аял|бетин кармаган аял|бетин колу менен жабуу|ишенбегендик|кыжырдануу|орточо
	🤦🏾‍♀️;бетин кармаган аял: кара тору;аял|бетин кармаган аял|бетин колу менен жабуу|ишенбегендик|кара тору|кыжырдануу
	🤦🏿‍♀️;бетин кармаган аял: кара;аял|бетин кармаган аял|бетин колу менен жабуу|ишенбегендик|кара|кыжырдануу
🤷;ийиндерин куушуруу;билбейм|ийиндерин куушуруу|күмөн саноо|мага баары бир
	🤷🏻;ийиндерин куушуруу: акжуумал;акжуумал|билбейм|ийиндерин куушуруу|күмөн саноо|мага баары бир
	🤷🏼;ийиндерин куушуруу: буудай жүздүү;билбейм|буудай жүздүү|ийиндерин куушуруу|күмөн саноо|мага баары бир
	🤷🏽;ийиндерин куушуруу: орточо;билбейм|ийиндерин куушуруу|күмөн саноо|мага баары бир|орточо
	🤷🏾;ийиндерин куушуруу: кара тору;билбейм|ийиндерин куушуруу|кара тору|күмөн саноо|мага баары бир
	🤷🏿;ийиндерин куушуруу: кара;билбейм|ийиндерин куушуруу|кара|күмөн саноо|мага баары бир
🤷‍♂️;ийинин куушурган эркек;ийинин куушурган эркек|ийинин куушуруу|кайдыгерлик|шектенүү|эркек
	🤷🏻‍♂️;ийинин куушурган эркек: акжуумал;акжуумал|ийинин куушурган эркек|ийинин куушуруу|кайдыгерлик|шектенүү|эркек
	🤷🏼‍♂️;ийинин куушурган эркек: буудай жүздүү;буудай жүздүү|ийинин куушурган эркек|ийинин куушуруу|кайдыгерлик|шектенүү|эркек
	🤷🏽‍♂️;ийинин куушурган эркек: орточо;ийинин куушурган эркек|ийинин куушуруу|кайдыгерлик|орточо|шектенүү|эркек
	🤷🏾‍♂️;ийинин куушурган эркек: кара тору;ийинин куушурган эркек|ийинин куушуруу|кайдыгерлик|кара тору|шектенүү|эркек
	🤷🏿‍♂️;ийинин куушурган эркек: кара;ийинин куушурган эркек|ийинин куушуруу|кайдыгерлик|кара|шектенүү|эркек
🤷‍♀️;ийинин куушурган аял;аял|ийинин куушурган аял|ийинин куушуруу|кайдыгерлик|олку-солку болуу
	🤷🏻‍♀️;ийинин куушурган аял: акжуумал;акжуумал|аял|ийинин куушурган аял|ийинин куушуруу|кайдыгерлик|олку-солку болуу
	🤷🏼‍♀️;ийинин куушурган аял: буудай жүздүү;аял|буудай жүздүү|ийинин куушурган аял|ийинин куушуруу|кайдыгерлик|олку-солку болуу
	🤷🏽‍♀️;ийинин куушурган аял: орточо;аял|ийинин куушурган аял|ийинин куушуруу|кайдыгерлик|олку-солку болуу|орточо
	🤷🏾‍♀️;ийинин куушурган аял: кара тору;аял|ийинин куушурган аял|ийинин куушуруу|кайдыгерлик|кара тору|олку-солку болуу
	🤷🏿‍♀️;ийинин куушурган аял: кара;аял|ийинин куушурган аял|ийинин куушуруу|кайдыгерлик|кара|олку-солку болуу
🧑‍⚕️;медицина кызматкери;медицина кызматкери
	🧑🏻‍⚕️;медицина кызматкери: акжуумал;акжуумал|медицина кызматкери
	🧑🏼‍⚕️;медицина кызматкери: буудай жүздүү;буудай жүздүү|медицина кызматкери
	🧑🏽‍⚕️;медицина кызматкери: орточо;медицина кызматкери|орточо
	🧑🏾‍⚕️;медицина кызматкери: кара тору;кара тору|медицина кызматкери
	🧑🏿‍⚕️;медицина кызматкери: кара;кара|медицина кызматкери
👨‍⚕️;эркек медицина кызматкери;доктор|медага|саламаттыкты сактоо|терапевт|эркек доктор|эркек медицина кызматкери
	👨🏻‍⚕️;эркек медицина кызматкери: акжуумал;акжуумал|доктор|медага|саламаттыкты сактоо|терапевт|эркек доктор|эркек медицина кызматкери
	👨🏼‍⚕️;эркек медицина кызматкери: буудай жүздүү;буудай жүздүү|доктор|медага|саламаттыкты сактоо|терапевт|эркек доктор|эркек медицина кызматкери
	👨🏽‍⚕️;эркек медицина кызматкери: орточо;доктор|медага|орточо|саламаттыкты сактоо|терапевт|эркек доктор|эркек медицина кызматкери
	👨🏾‍⚕️;эркек медицина кызматкери: кара тору;доктор|кара тору|медага|саламаттыкты сактоо|терапевт|эркек доктор|эркек медицина кызматкери
	👨🏿‍⚕️;эркек медицина кызматкери: кара;доктор|кара|медага|саламаттыкты сактоо|терапевт|эркек доктор|эркек медицина кызматкери
👩‍⚕️;аял медицина кызматкери;аял|аял медицина кызматкери|доктор|медайым|саламаттыкты сактоо|терапевт
	👩🏻‍⚕️;аял медицина кызматкери: акжуумал;акжуумал|аял|аял медицина кызматкери|доктор|медайым|саламаттыкты сактоо|терапевт
	👩🏼‍⚕️;аял медицина кызматкери: буудай жүздүү;аял|аял медицина кызматкери|буудай жүздүү|доктор|медайым|саламаттыкты сактоо|терапевт
	👩🏽‍⚕️;аял медицина кызматкери: орточо;аял|аял медицина кызматкери|доктор|медайым|орточо|саламаттыкты сактоо|терапевт
	👩🏾‍⚕️;аял медицина кызматкери: кара тору;аял|аял медицина кызматкери|доктор|кара тору|медайым|саламаттыкты сактоо|терапевт
	👩🏿‍⚕️;аял медицина кызматкери: кара;аял|аял медицина кызматкери|доктор|кара|медайым|саламаттыкты сактоо|терапевт
🧑‍🎓;студент;студент
	🧑🏻‍🎓;студент: акжуумал;акжуумал|студент
	🧑🏼‍🎓;студент: буудай жүздүү;буудай жүздүү|студент
	🧑🏽‍🎓;студент: орточо;орточо|студент
	🧑🏾‍🎓;студент: кара тору;кара тору|студент
	🧑🏿‍🎓;студент: кара;кара|студент
👨‍🎓;эркек студент;бүтүрүүчү|студент|эркек
	👨🏻‍🎓;эркек студент: акжуумал;акжуумал|бүтүрүүчү|студент|эркек
	👨🏼‍🎓;эркек студент: буудай жүздүү;буудай жүздүү|бүтүрүүчү|студент|эркек
	👨🏽‍🎓;эркек студент: орточо;бүтүрүүчү|орточо|студент|эркек
	👨🏾‍🎓;эркек студент: кара тору;бүтүрүүчү|кара тору|студент|эркек
	👨🏿‍🎓;эркек студент: кара;бүтүрүүчү|кара|студент|эркек
👩‍🎓;аял студент;аял|бүтүрүүчү|студент
	👩🏻‍🎓;аял студент: акжуумал;акжуумал|аял|бүтүрүүчү|студент
	👩🏼‍🎓;аял студент: буудай жүздүү;аял|буудай жүздүү|бүтүрүүчү|студент
	👩🏽‍🎓;аял студент: орточо;аял|бүтүрүүчү|орточо|студент
	👩🏾‍🎓;аял студент: кара тору;аял|бүтүрүүчү|кара тору|студент
	👩🏿‍🎓;аял студент: кара;аял|бүтүрүүчү|кара|студент
🧑‍🏫;мугалим;мугалим
	🧑🏻‍🏫;мугалим: акжуумал;акжуумал|мугалим
	🧑🏼‍🏫;мугалим: буудай жүздүү;буудай жүздүү|мугалим
	🧑🏽‍🏫;мугалим: орточо;мугалим|орточо
	🧑🏾‍🏫;мугалим: кара тору;кара тору|мугалим
	🧑🏿‍🏫;мугалим: кара;кара|мугалим
👨‍🏫;эркек мугалим;мугалим|окутуучу|профессор|эркек
	👨🏻‍🏫;эркек мугалим: акжуумал;акжуумал|мугалим|окутуучу|профессор|эркек
	👨🏼‍🏫;эркек мугалим: буудай жүздүү;буудай жүздүү|мугалим|окутуучу|профессор|эркек
	👨🏽‍🏫;эркек мугалим: орточо;мугалим|окутуучу|орточо|профессор|эркек
	👨🏾‍🏫;эркек мугалим: кара тору;кара тору|мугалим|окутуучу|профессор|эркек
	👨🏿‍🏫;эркек мугалим: кара;кара|мугалим|окутуучу|профессор|эркек
👩‍🏫;аял мугалим;аял|мугалим|окутуучу|профессор
	👩🏻‍🏫;аял мугалим: акжуумал;акжуумал|аял|мугалим|окутуучу|профессор
	👩🏼‍🏫;аял мугалим: буудай жүздүү;аял|буудай жүздүү|мугалим|окутуучу|профессор
	👩🏽‍🏫;аял мугалим: орточо;аял|мугалим|окутуучу|орточо|профессор
	👩🏾‍🏫;аял мугалим: кара тору;аял|кара тору|мугалим|окутуучу|профессор
	👩🏿‍🏫;аял мугалим: кара;аял|кара|мугалим|окутуучу|профессор
🧑‍⚖️;сот;сот
	🧑🏻‍⚖️;сот: акжуумал;акжуумал|сот
	🧑🏼‍⚖️;сот: буудай жүздүү;буудай жүздүү|сот
	🧑🏽‍⚖️;сот: орточо;орточо|сот
	🧑🏾‍⚖️;сот: кара тору;кара тору|сот
	🧑🏿‍⚖️;сот: кара;кара|сот
👨‍⚖️;эркек сот;сот|тараза|эркек
	👨🏻‍⚖️;эркек сот: акжуумал;акжуумал|сот|тараза|эркек
	👨🏼‍⚖️;эркек сот: буудай жүздүү;буудай жүздүү|сот|тараза|эркек
	👨🏽‍⚖️;эркек сот: орточо;орточо|сот|тараза|эркек
	👨🏾‍⚖️;эркек сот: кара тору;кара тору|сот|тараза|эркек
	👨🏿‍⚖️;эркек сот: кара;кара|сот|тараза|эркек
👩‍⚖️;аял сот;аял|сот|тараза
	👩🏻‍⚖️;аял сот: акжуумал;акжуумал|аял|сот|тараза
	👩🏼‍⚖️;аял сот: буудай жүздүү;аял|буудай жүздүү|сот|тараза
	👩🏽‍⚖️;аял сот: орточо;аял|орточо|сот|тараза
	👩🏾‍⚖️;аял сот: кара тору;аял|кара тору|сот|тараза
	👩🏿‍⚖️;аял сот: кара;аял|кара|сот|тараза
🧑‍🌾;фермер;фермер
	🧑🏻‍🌾;фермер: акжуумал;акжуумал|фермер
	🧑🏼‍🌾;фермер: буудай жүздүү;буудай жүздүү|фермер
	🧑🏽‍🌾;фермер: орточо;орточо|фермер
	🧑🏾‍🌾;фермер: кара тору;кара тору|фермер
	🧑🏿‍🌾;фермер: кара;кара|фермер
👨‍🌾;эркек фермер;багбан|малчы|фермер|эркек
	👨🏻‍🌾;эркек фермер: акжуумал;акжуумал|багбан|малчы|фермер|эркек
	👨🏼‍🌾;эркек фермер: буудай жүздүү;багбан|буудай жүздүү|малчы|фермер|эркек
	👨🏽‍🌾;эркек фермер: орточо;багбан|малчы|орточо|фермер|эркек
	👨🏾‍🌾;эркек фермер: кара тору;багбан|кара тору|малчы|фермер|эркек
	👨🏿‍🌾;эркек фермер: кара;багбан|кара|малчы|фермер|эркек
👩‍🌾;аял фермер;аял|багбан|малчы|фермер
	👩🏻‍🌾;аял фермер: акжуумал;акжуумал|аял|багбан|малчы|фермер
	👩🏼‍🌾;аял фермер: буудай жүздүү;аял|багбан|буудай жүздүү|малчы|фермер
	👩🏽‍🌾;аял фермер: орточо;аял|багбан|малчы|орточо|фермер
	👩🏾‍🌾;аял фермер: кара тору;аял|багбан|кара тору|малчы|фермер
	👩🏿‍🌾;аял фермер: кара;аял|багбан|кара|малчы|фермер
🧑‍🍳;ашпозчу;ашпозчу
	🧑🏻‍🍳;ашпозчу: акжуумал;акжуумал|ашпозчу
	🧑🏼‍🍳;ашпозчу: буудай жүздүү;ашпозчу|буудай жүздүү
	🧑🏽‍🍳;ашпозчу: орточо;ашпозчу|орточо
	🧑🏾‍🍳;ашпозчу: кара тору;ашпозчу|кара тору
	🧑🏿‍🍳;ашпозчу: кара;ашпозчу|кара
👨‍🍳;эркек ашпозчу;ашпозчу|эркек
	👨🏻‍🍳;эркек ашпозчу: акжуумал;акжуумал|ашпозчу|эркек
	👨🏼‍🍳;эркек ашпозчу: буудай жүздүү;ашпозчу|буудай жүздүү|эркек
	👨🏽‍🍳;эркек ашпозчу: орточо;ашпозчу|орточо|эркек
	👨🏾‍🍳;эркек ашпозчу: кара тору;ашпозчу|кара тору|эркек
	👨🏿‍🍳;эркек ашпозчу: кара;ашпозчу|кара|эркек
👩‍🍳;аял ашпозчу;ашпозчу|аял
	👩🏻‍🍳;аял ашпозчу: акжуумал;акжуумал|ашпозчу|аял
	👩🏼‍🍳;аял ашпозчу: буудай жүздүү;ашпозчу|аял|буудай жүздүү
	👩🏽‍🍳;аял ашпозчу: орточо;ашпозчу|аял|орточо
	👩🏾‍🍳;аял ашпозчу: кара тору;ашпозчу|аял|кара тору
	👩🏿‍🍳;аял ашпозчу: кара;ашпозчу|аял|кара
🧑‍🔧;механик;механик
	🧑🏻‍🔧;механик: акжуумал;акжуумал|механик
	🧑🏼‍🔧;механик: буудай жүздүү;буудай жүздүү|механик
	🧑🏽‍🔧;механик: орточо;механик|орточо
	🧑🏾‍🔧;механик: кара тору;кара тору|механик
	🧑🏿‍🔧;механик: кара;кара|механик
👨‍🔧;эркек механик;механик|сантехник|соодагер|электрик|эркек
	👨🏻‍🔧;эркек механик: акжуумал;акжуумал|механик|сантехник|соодагер|электрик|эркек
	👨🏼‍🔧;эркек механик: буудай жүздүү;буудай жүздүү|механик|сантехник|соодагер|электрик|эркек
	👨🏽‍🔧;эркек механик: орточо;механик|орточо|сантехник|соодагер|электрик|эркек
	👨🏾‍🔧;эркек механик: кара тору;кара тору|механик|сантехник|соодагер|электрик|эркек
	👨🏿‍🔧;эркек механик: кара;кара|механик|сантехник|соодагер|электрик|эркек
👩‍🔧;аял механик;аял|механик|сантехник|соодагер|электрик
	👩🏻‍🔧;аял механик: акжуумал;акжуумал|аял|механик|сантехник|соодагер|электрик
	👩🏼‍🔧;аял механик: буудай жүздүү;аял|буудай жүздүү|механик|сантехник|соодагер|электрик
	👩🏽‍🔧;аял механик: орточо;аял|механик|орточо|сантехник|соодагер|электрик
	👩🏾‍🔧;аял механик: кара тору;аял|кара тору|механик|сантехник|соодагер|электрик
	👩🏿‍🔧;аял механик: кара;аял|кара|механик|сантехник|соодагер|электрик
🧑‍🏭;завод жумушчусу;завод жумушчусу
	🧑🏻‍🏭;завод жумушчусу: акжуумал;акжуумал|завод жумушчусу
	🧑🏼‍🏭;завод жумушчусу: буудай жүздүү;буудай жүздүү|завод жумушчусу
	🧑🏽‍🏭;завод жумушчусу: орточо;завод жумушчусу|орточо
	🧑🏾‍🏭;завод жумушчусу: кара тору;завод жумушчусу|кара тору
	🧑🏿‍🏭;завод жумушчусу: кара;завод жумушчусу|кара
👨‍🏭;эркек завод жумушчусу;жумушчу|завод|фабрика|цех|эркек|эркек завод жумушчусу
	👨🏻‍🏭;эркек завод жумушчусу: акжуумал;акжуумал|жумушчу|завод|фабрика|цех|эркек|эркек завод жумушчусу
	👨🏼‍🏭;эркек завод жумушчусу: буудай жүздүү;буудай жүздүү|жумушчу|завод|фабрика|цех|эркек|эркек завод жумушчусу
	👨🏽‍🏭;эркек завод жумушчусу: орточо;жумушчу|завод|орточо|фабрика|цех|эркек|эркек завод жумушчусу
	👨🏾‍🏭;эркек завод жумушчусу: кара тору;жумушчу|завод|кара тору|фабрика|цех|эркек|эркек завод жумушчусу
	👨🏿‍🏭;эркек завод жумушчусу: кара;жумушчу|завод|кара|фабрика|цех|эркек|эркек завод жумушчусу
👩‍🏭;аял завод жумушчусу;аял|аял завод жумушчусу|жумушчу|завод|фабрика|цех
	👩🏻‍🏭;аял завод жумушчусу: акжуумал;акжуумал|аял|аял завод жумушчусу|жумушчу|завод|фабрика|цех
	👩🏼‍🏭;аял завод жумушчусу: буудай жүздүү;аял|аял завод жумушчусу|буудай жүздүү|жумушчу|завод|фабрика|цех
	👩🏽‍🏭;аял завод жумушчусу: орточо;аял|аял завод жумушчусу|жумушчу|завод|орточо|фабрика|цех
	👩🏾‍🏭;аял завод жумушчусу: кара тору;аял|аял завод жумушчусу|жумушчу|завод|кара тору|фабрика|цех
	👩🏿‍🏭;аял завод жумушчусу: кара;аял|аял завод жумушчусу|жумушчу|завод|кара|фабрика|цех
🧑‍💼;кеңсе кызматкери;кеңсе кызматкери
	🧑🏻‍💼;кеңсе кызматкери: акжуумал;акжуумал|кеңсе кызматкери
	🧑🏼‍💼;кеңсе кызматкери: буудай жүздүү;буудай жүздүү|кеңсе кызматкери
	🧑🏽‍💼;кеңсе кызматкери: орточо;кеңсе кызматкери|орточо
	🧑🏾‍💼;кеңсе кызматкери: кара тору;кара тору|кеңсе кызматкери
	🧑🏿‍💼;кеңсе кызматкери: кара;кара|кеңсе кызматкери
👨‍💼;эркек офис жумушчусу;архитектор|бизнес|мамлекеттик кызматкер|офис менеджер|эркек|эркек офис жумушчусу
	👨🏻‍💼;эркек офис жумушчусу: акжуумал;акжуумал|архитектор|бизнес|мамлекеттик кызматкер|офис менеджер|эркек|эркек офис жумушчусу
	👨🏼‍💼;эркек офис жумушчусу: буудай жүздүү;архитектор|бизнес|буудай жүздүү|мамлекеттик кызматкер|офис менеджер|эркек|эркек офис жумушчусу
	👨🏽‍💼;эркек офис жумушчусу: орточо;архитектор|бизнес|мамлекеттик кызматкер|орточо|офис менеджер|эркек|эркек офис жумушчусу
	👨🏾‍💼;эркек офис жумушчусу: кара тору;архитектор|бизнес|кара тору|мамлекеттик кызматкер|офис менеджер|эркек|эркек офис жумушчусу
	👨🏿‍💼;эркек офис жумушчусу: кара;архитектор|бизнес|кара|мамлекеттик кызматкер|офис менеджер|эркек|эркек офис жумушчусу
👩‍💼;аял офис жумушчусу;архитектор|аял|аял офис жумушчусу|бизнес|мамлекеттик кызматкер|офис менеджер
	👩🏻‍💼;аял офис жумушчусу: акжуумал;акжуумал|архитектор|аял|аял офис жумушчусу|бизнес|мамлекеттик кызматкер|офис менеджер
	👩🏼‍💼;аял офис жумушчусу: буудай жүздүү;архитектор|аял|аял офис жумушчусу|бизнес|буудай жүздүү|мамлекеттик кызматкер|офис менеджер
	👩🏽‍💼;аял офис жумушчусу: орточо;архитектор|аял|аял офис жумушчусу|бизнес|мамлекеттик кызматкер|орточо|офис менеджер
	👩🏾‍💼;аял офис жумушчусу: кара тору;архитектор|аял|аял офис жумушчусу|бизнес|кара тору|мамлекеттик кызматкер|офис менеджер
	👩🏿‍💼;аял офис жумушчусу: кара;архитектор|аял|аял офис жумушчусу|бизнес|кара|мамлекеттик кызматкер|офис менеджер
🧑‍🔬;илимпоз;илимпоз
	🧑🏻‍🔬;илимпоз: акжуумал;акжуумал|илимпоз
	🧑🏼‍🔬;илимпоз: буудай жүздүү;буудай жүздүү|илимпоз
	🧑🏽‍🔬;илимпоз: орточо;илимпоз|орточо
	🧑🏾‍🔬;илимпоз: кара тору;илимпоз|кара тору
	🧑🏿‍🔬;илимпоз: кара;илимпоз|кара
👨‍🔬;эркек илимпоз;биолог|инженер|окумуштуу|химик|эркек|эркек илимпоз
	👨🏻‍🔬;эркек илимпоз: акжуумал;акжуумал|биолог|инженер|окумуштуу|химик|эркек|эркек илимпоз
	👨🏼‍🔬;эркек илимпоз: буудай жүздүү;биолог|буудай жүздүү|инженер|окумуштуу|химик|эркек|эркек илимпоз
	👨🏽‍🔬;эркек илимпоз: орточо;биолог|инженер|окумуштуу|орточо|химик|эркек|эркек илимпоз
	👨🏾‍🔬;эркек илимпоз: кара тору;биолог|инженер|кара тору|окумуштуу|химик|эркек|эркек илимпоз
	👨🏿‍🔬;эркек илимпоз: кара;биолог|инженер|кара|окумуштуу|химик|эркек|эркек илимпоз
👩‍🔬;аял илимпоз;аял|аял илимпоз|инженер|окумуштуу|химик
	👩🏻‍🔬;аял илимпоз: акжуумал;акжуумал|аял|аял илимпоз|инженер|окумуштуу|химик
	👩🏼‍🔬;аял илимпоз: буудай жүздүү;аял|аял илимпоз|буудай жүздүү|инженер|окумуштуу|химик
	👩🏽‍🔬;аял илимпоз: орточо;аял|аял илимпоз|инженер|окумуштуу|орточо|химик
	👩🏾‍🔬;аял илимпоз: кара тору;аял|аял илимпоз|инженер|кара тору|окумуштуу|химик
	👩🏿‍🔬;аял илимпоз: кара;аял|аял илимпоз|инженер|кара|окумуштуу|химик
🧑‍💻;IT адиси;IT адиси
	🧑🏻‍💻;IT адиси: акжуумал;IT адиси|акжуумал
	🧑🏼‍💻;IT адиси: буудай жүздүү;IT адиси|буудай жүздүү
	🧑🏽‍💻;IT адиси: орточо;IT адиси|орточо
	🧑🏾‍💻;IT адиси: кара тору;IT адиси|кара тору
	🧑🏿‍💻;IT адиси: кара;IT адиси|кара
👨‍💻;эркек технолог;иштеп чыгуучу|коддогуч|ойлоп тапкыч|программачы|эркек|эркек технолог
	👨🏻‍💻;эркек технолог: акжуумал;акжуумал|иштеп чыгуучу|коддогуч|ойлоп тапкыч|программачы|эркек|эркек технолог
	👨🏼‍💻;эркек технолог: буудай жүздүү;буудай жүздүү|иштеп чыгуучу|коддогуч|ойлоп тапкыч|программачы|эркек|эркек технолог
	👨🏽‍💻;эркек технолог: орточо;иштеп чыгуучу|коддогуч|ойлоп тапкыч|орточо|программачы|эркек|эркек технолог
	👨🏾‍💻;эркек технолог: кара тору;иштеп чыгуучу|кара тору|коддогуч|ойлоп тапкыч|программачы|эркек|эркек технолог
	👨🏿‍💻;эркек технолог: кара;иштеп чыгуучу|кара|коддогуч|ойлоп тапкыч|программачы|эркек|эркек технолог
👩‍💻;аял технолог;аял|аял технолог|иштеп чыгуучу|коддогуч|ойлоп тапкыч|программачы
	👩🏻‍💻;аял технолог: акжуумал;акжуумал|аял|аял технолог|иштеп чыгуучу|коддогуч|ойлоп тапкыч|программачы
	👩🏼‍💻;аял технолог: буудай жүздүү;аял|аял технолог|буудай жүздүү|иштеп чыгуучу|коддогуч|ойлоп тапкыч|программачы
	👩🏽‍💻;аял технолог: орточо;аял|аял технолог|иштеп чыгуучу|коддогуч|ойлоп тапкыч|орточо|программачы
	👩🏾‍💻;аял технолог: кара тору;аял|аял технолог|иштеп чыгуучу|кара тору|коддогуч|ойлоп тапкыч|программачы
	👩🏿‍💻;аял технолог: кара;аял|аял технолог|иштеп чыгуучу|кара|коддогуч|ойлоп тапкыч|программачы
🧑‍🎤;ырчы;ырчы
	🧑🏻‍🎤;ырчы: акжуумал;акжуумал|ырчы
	🧑🏼‍🎤;ырчы: буудай жүздүү;буудай жүздүү|ырчы
	🧑🏽‍🎤;ырчы: орточо;орточо|ырчы
	🧑🏾‍🎤;ырчы: кара тору;кара тору|ырчы
	🧑🏿‍🎤;ырчы: кара;кара|ырчы
👨‍🎤;эркек ырчы;актер|алып баруучу|рок|ырчы|эркек
	👨🏻‍🎤;эркек ырчы: акжуумал;акжуумал|актер|алып баруучу|рок|ырчы|эркек
	👨🏼‍🎤;эркек ырчы: буудай жүздүү;актер|алып баруучу|буудай жүздүү|рок|ырчы|эркек
	👨🏽‍🎤;эркек ырчы: орточо;актер|алып баруучу|орточо|рок|ырчы|эркек
	👨🏾‍🎤;эркек ырчы: кара тору;актер|алып баруучу|кара тору|рок|ырчы|эркек
	👨🏿‍🎤;эркек ырчы: кара;актер|алып баруучу|кара|рок|ырчы|эркек
👩‍🎤;аял ырчы;актриса|алып баруучу|аял|рок|ырчы
	👩🏻‍🎤;аял ырчы: акжуумал;акжуумал|актриса|алып баруучу|аял|рок|ырчы
	👩🏼‍🎤;аял ырчы: буудай жүздүү;актриса|алып баруучу|аял|буудай жүздүү|рок|ырчы
	👩🏽‍🎤;аял ырчы: орточо;актриса|алып баруучу|аял|орточо|рок|ырчы
	👩🏾‍🎤;аял ырчы: кара тору;актриса|алып баруучу|аял|кара тору|рок|ырчы
