# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kanohi pakiri;kanohi|pakiri
	🧑🏿‍🐰‍🧑🏻;tāngata taringa rāpeti whakangahau: kiri āhua parauri, kiri āhua māmā;kaikanikani|kiri āhua māmā|kiri āhua parauri|tāngata taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	🧑🏿‍🐰‍🧑🏼;tāngata taringa rāpeti whakangahau: kiri āhua parauri, kiri āhua māmā-waenga;kaikanikani|kiri āhua māmā-waenga|kiri āhua parauri|tāngata taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	🧑🏿‍🐰‍🧑🏽;tāngata taringa rāpeti whakangahau: kiri āhua parauri, kiri āhua waenga;kaikanikani|kiri āhua parauri|kiri āhua waenga|tāngata taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	🧑🏿‍🐰‍🧑🏾;tāngata taringa rāpeti whakangahau: kiri āhua parauri, kiri āhua waenga-parauri;kaikanikani|kiri āhua parauri|kiri āhua waenga-parauri|tāngata taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏻‍🐰‍👨🏼;tāne taringa rāpeti whakangahau: kiri āhua māmā, kiri āhua māmā-waenga;kaikanikani|kiri āhua māmā|kiri āhua māmā-waenga|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏻‍🐰‍👨🏽;tāne taringa rāpeti whakangahau: kiri āhua māmā, kiri āhua waenga;kaikanikani|kiri āhua māmā|kiri āhua waenga|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏻‍🐰‍👨🏾;tāne taringa rāpeti whakangahau: kiri āhua māmā, kiri āhua waenga-parauri;kaikanikani|kiri āhua māmā|kiri āhua waenga-parauri|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏻‍🐰‍👨🏿;tāne taringa rāpeti whakangahau: kiri āhua māmā, kiri āhua parauri;kaikanikani|kiri āhua māmā|kiri āhua parauri|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏼‍🐰‍👨🏻;tāne taringa rāpeti whakangahau: kiri āhua māmā-waenga, kiri āhua māmā;kaikanikani|kiri āhua māmā|kiri āhua māmā-waenga|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏼‍🐰‍👨🏽;tāne taringa rāpeti whakangahau: kiri āhua māmā-waenga, kiri āhua waenga;kaikanikani|kiri āhua māmā-waenga|kiri āhua waenga|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏼‍🐰‍👨🏾;tāne taringa rāpeti whakangahau: kiri āhua māmā-waenga, kiri āhua waenga-parauri;kaikanikani|kiri āhua māmā-waenga|kiri āhua waenga-parauri|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏼‍🐰‍👨🏿;tāne taringa rāpeti whakangahau: kiri āhua māmā-waenga, kiri āhua parauri;kaikanikani|kiri āhua māmā-waenga|kiri āhua parauri|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏽‍🐰‍👨🏻;tāne taringa rāpeti whakangahau: kiri āhua waenga, kiri āhua māmā;kaikanikani|kiri āhua māmā|kiri āhua waenga|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏽‍🐰‍👨🏼;tāne taringa rāpeti whakangahau: kiri āhua waenga, kiri āhua māmā-waenga;kaikanikani|kiri āhua māmā-waenga|kiri āhua waenga|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏽‍🐰‍👨🏾;tāne taringa rāpeti whakangahau: kiri āhua waenga, kiri āhua waenga-parauri;kaikanikani|kiri āhua waenga|kiri āhua waenga-parauri|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏽‍🐰‍👨🏿;tāne taringa rāpeti whakangahau: kiri āhua waenga, kiri āhua parauri;kaikanikani|kiri āhua parauri|kiri āhua waenga|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏾‍🐰‍👨🏻;tāne taringa rāpeti whakangahau: kiri āhua waenga-parauri, kiri āhua māmā;kaikanikani|kiri āhua māmā|kiri āhua waenga-parauri|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏾‍🐰‍👨🏼;tāne taringa rāpeti whakangahau: kiri āhua waenga-parauri, kiri āhua māmā-waenga;kaikanikani|kiri āhua māmā-waenga|kiri āhua waenga-parauri|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏾‍🐰‍👨🏽;tāne taringa rāpeti whakangahau: kiri āhua waenga-parauri, kiri āhua waenga;kaikanikani|kiri āhua waenga|kiri āhua waenga-parauri|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏾‍🐰‍👨🏿;tāne taringa rāpeti whakangahau: kiri āhua waenga-parauri, kiri āhua parauri;kaikanikani|kiri āhua parauri|kiri āhua waenga-parauri|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏿‍🐰‍👨🏻;tāne taringa rāpeti whakangahau: kiri āhua parauri, kiri āhua māmā;kaikanikani|kiri āhua māmā|kiri āhua parauri|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏿‍🐰‍👨🏼;tāne taringa rāpeti whakangahau: kiri āhua parauri, kiri āhua māmā-waenga;kaikanikani|kiri āhua māmā-waenga|kiri āhua parauri|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏿‍🐰‍👨🏽;tāne taringa rāpeti whakangahau: kiri āhua parauri, kiri āhua waenga;kaikanikani|kiri āhua parauri|kiri āhua waenga|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👨🏿‍🐰‍👨🏾;tāne taringa rāpeti whakangahau: kiri āhua parauri, kiri āhua waenga-parauri;kaikanikani|kiri āhua parauri|kiri āhua waenga-parauri|tāne|tāne taringa rāpeti whakangahau|taringa rāpeti|whakangahau
	👩🏻‍🐰‍👩🏼;wāhine taringa rāpeti whakangahau: kiri āhua māmā, kiri āhua māmā-waenga;kaikanikani|kiri āhua māmā|kiri āhua māmā-waenga|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
	👩🏻‍🐰‍👩🏽;wāhine taringa rāpeti whakangahau: kiri āhua māmā, kiri āhua waenga;kaikanikani|kiri āhua māmā|kiri āhua waenga|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
	👩🏻‍🐰‍👩🏾;wāhine taringa rāpeti whakangahau: kiri āhua māmā, kiri āhua waenga-parauri;kaikanikani|kiri āhua māmā|kiri āhua waenga-parauri|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
	👩🏻‍🐰‍👩🏿;wāhine taringa rāpeti whakangahau: kiri āhua māmā, kiri āhua parauri;kaikanikani|kiri āhua māmā|kiri āhua parauri|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
	👩🏼‍🐰‍👩🏻;wāhine taringa rāpeti whakangahau: kiri āhua māmā-waenga, kiri āhua māmā;kaikanikani|kiri āhua māmā|kiri āhua māmā-waenga|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
	👩🏼‍🐰‍👩🏽;wāhine taringa rāpeti whakangahau: kiri āhua māmā-waenga, kiri āhua waenga;kaikanikani|kiri āhua māmā-waenga|kiri āhua waenga|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
	👩🏼‍🐰‍👩🏾;wāhine taringa rāpeti whakangahau: kiri āhua māmā-waenga, kiri āhua waenga-parauri;kaikanikani|kiri āhua māmā-waenga|kiri āhua waenga-parauri|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
	👩🏼‍🐰‍👩🏿;wāhine taringa rāpeti whakangahau: kiri āhua māmā-waenga, kiri āhua parauri;kaikanikani|kiri āhua māmā-waenga|kiri āhua parauri|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
	👩🏽‍🐰‍👩🏻;wāhine taringa rāpeti whakangahau: kiri āhua waenga, kiri āhua māmā;kaikanikani|kiri āhua māmā|kiri āhua waenga|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
	👩🏽‍🐰‍👩🏼;wāhine taringa rāpeti whakangahau: kiri āhua waenga, kiri āhua māmā-waenga;kaikanikani|kiri āhua māmā-waenga|kiri āhua waenga|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
	👩🏽‍🐰‍👩🏾;wāhine taringa rāpeti whakangahau: kiri āhua waenga, kiri āhua waenga-parauri;kaikanikani|kiri āhua waenga|kiri āhua waenga-parauri|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
	👩🏽‍🐰‍👩🏿;wāhine taringa rāpeti whakangahau: kiri āhua waenga, kiri āhua parauri;kaikanikani|kiri āhua parauri|kiri āhua waenga|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
	👩🏾‍🐰‍👩🏻;wāhine taringa rāpeti whakangahau: kiri āhua waenga-parauri, kiri āhua māmā;kaikanikani|kiri āhua māmā|kiri āhua waenga-parauri|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
	👩🏾‍🐰‍👩🏼;wāhine taringa rāpeti whakangahau: kiri āhua waenga-parauri, kiri āhua māmā-waenga;kaikanikani|kiri āhua māmā-waenga|kiri āhua waenga-parauri|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
	👩🏾‍🐰‍👩🏽;wāhine taringa rāpeti whakangahau: kiri āhua waenga-parauri, kiri āhua waenga;kaikanikani|kiri āhua waenga|kiri āhua waenga-parauri|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
	👩🏾‍🐰‍👩🏿;wāhine taringa rāpeti whakangahau: kiri āhua waenga-parauri, kiri āhua parauri;kaikanikani|kiri āhua parauri|kiri āhua waenga-parauri|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
	👩🏿‍🐰‍👩🏻;wāhine taringa rāpeti whakangahau: kiri āhua parauri, kiri āhua māmā;kaikanikani|kiri āhua māmā|kiri āhua parauri|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
	👩🏿‍🐰‍👩🏼;wāhine taringa rāpeti whakangahau: kiri āhua parauri, kiri āhua māmā-waenga;kaikanikani|kiri āhua māmā-waenga|kiri āhua parauri|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
	👩🏿‍🐰‍👩🏽;wāhine taringa rāpeti whakangahau: kiri āhua parauri, kiri āhua waenga;kaikanikani|kiri āhua parauri|kiri āhua waenga|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
	👩🏿‍🐰‍👩🏾;wāhine taringa rāpeti whakangahau: kiri āhua parauri, kiri āhua waenga-parauri;kaikanikani|kiri āhua parauri|kiri āhua waenga-parauri|taringa rāpeti|wāhine|wāhine taringa rāpeti whakangahau|whakangahau
🧖;tangata rō taiwhanga mamaoa;hāuna|taiwhanga mamaoa|tangata rō taiwhanga mamaoa
	🧖🏻;tangata rō taiwhanga mamaoa: kiri āhua māmā;hāuna|kiri āhua māmā|taiwhanga mamaoa|tangata rō taiwhanga mamaoa
	🧖🏼;tangata rō taiwhanga mamaoa: kiri āhua māmā-waenga;hāuna|kiri āhua māmā-waenga|taiwhanga mamaoa|tangata rō taiwhanga mamaoa
	🧖🏽;tangata rō taiwhanga mamaoa: kiri āhua waenga;hāuna|kiri āhua waenga|taiwhanga mamaoa|tangata rō taiwhanga mamaoa
	🧖🏾;tangata rō taiwhanga mamaoa: kiri āhua waenga-parauri;hāuna|kiri āhua waenga-parauri|taiwhanga mamaoa|tangata rō taiwhanga mamaoa
	🧖🏿;tangata rō taiwhanga mamaoa: kiri āhua parauri;hāuna|kiri āhua parauri|taiwhanga mamaoa|tangata rō taiwhanga mamaoa
🧖‍♂️;tāne rō taiwhanga mamaoa;hāuna|taiwhanga mamaoa|tāne rō taiwhanga mamaoa
	🧖🏻‍♂️;tāne rō taiwhanga mamaoa: kiri āhua māmā;hāuna|kiri āhua māmā|taiwhanga mamaoa|tāne rō taiwhanga mamaoa
	🧖🏼‍♂️;tāne rō taiwhanga mamaoa: kiri āhua māmā-waenga;hāuna|kiri āhua māmā-waenga|taiwhanga mamaoa|tāne rō taiwhanga mamaoa
	🧖🏽‍♂️;tāne rō taiwhanga mamaoa: kiri āhua waenga;hāuna|kiri āhua waenga|taiwhanga mamaoa|tāne rō taiwhanga mamaoa
	🧖🏾‍♂️;tāne rō taiwhanga mamaoa: kiri āhua waenga-parauri;hāuna|kiri āhua waenga-parauri|taiwhanga mamaoa|tāne rō taiwhanga mamaoa
	🧖🏿‍♂️;tāne rō taiwhanga mamaoa: kiri āhua parauri;hāuna|kiri āhua parauri|taiwhanga mamaoa|tāne rō taiwhanga mamaoa
🧖‍♀️;wahine rō taiwhanga mamaoa;hāuna|taiwhanga mamaoa|wahine rō taiwhanga mamaoa
	🧖🏻‍♀️;wahine rō taiwhanga mamaoa: kiri āhua māmā;hāuna|kiri āhua māmā|taiwhanga mamaoa|wahine rō taiwhanga mamaoa
	🧖🏼‍♀️;wahine rō taiwhanga mamaoa: kiri āhua māmā-waenga;hāuna|kiri āhua māmā-waenga|taiwhanga mamaoa|wahine rō taiwhanga mamaoa
	🧖🏽‍♀️;wahine rō taiwhanga mamaoa: kiri āhua waenga;hāuna|kiri āhua waenga|taiwhanga mamaoa|wahine rō taiwhanga mamaoa
	🧖🏾‍♀️;wahine rō taiwhanga mamaoa: kiri āhua waenga-parauri;hāuna|kiri āhua waenga-parauri|taiwhanga mamaoa|wahine rō taiwhanga mamaoa
	🧖🏿‍♀️;wahine rō taiwhanga mamaoa: kiri āhua parauri;hāuna|kiri āhua parauri|taiwhanga mamaoa|wahine rō taiwhanga mamaoa
🧗;tangata piki;kaipiki|tangata piki
	🧗🏻;tangata piki: kiri āhua māmā;kaipiki|kiri āhua māmā|tangata piki
	🧗🏼;tangata piki: kiri āhua māmā-waenga;kaipiki|kiri āhua māmā-waenga|tangata piki
	🧗🏽;tangata piki: kiri āhua waenga;kaipiki|kiri āhua waenga|tangata piki
	🧗🏾;tangata piki: kiri āhua waenga-parauri;kaipiki|kiri āhua waenga-parauri|tangata piki
	🧗🏿;tangata piki: kiri āhua parauri;kaipiki|kiri āhua parauri|tangata piki
🧗‍♂️;tāne piki;kaipiki|tāne piki
	🧗🏻‍♂️;tāne piki: kiri āhua māmā;kaipiki|kiri āhua māmā|tāne piki
	🧗🏼‍♂️;tāne piki: kiri āhua māmā-waenga;kaipiki|kiri āhua māmā-waenga|tāne piki
	🧗🏽‍♂️;tāne piki: kiri āhua waenga;kaipiki|kiri āhua waenga|tāne piki
	🧗🏾‍♂️;tāne piki: kiri āhua waenga-parauri;kaipiki|kiri āhua waenga-parauri|tāne piki
	🧗🏿‍♂️;tāne piki: kiri āhua parauri;kaipiki|kiri āhua parauri|tāne piki
🧗‍♀️;wahine piki;kaipiki|wahine piki
	🧗🏻‍♀️;wahine piki: kiri āhua māmā;kaipiki|kiri āhua māmā|wahine piki
	🧗🏼‍♀️;wahine piki: kiri āhua māmā-waenga;kaipiki|kiri āhua māmā-waenga|wahine piki
	🧗🏽‍♀️;wahine piki: kiri āhua waenga;kaipiki|kiri āhua waenga|wahine piki
	🧗🏾‍♀️;wahine piki: kiri āhua waenga-parauri;kaipiki|kiri āhua waenga-parauri|wahine piki
	🧗🏿‍♀️;wahine piki: kiri āhua parauri;kaipiki|kiri āhua parauri|wahine piki
🤺;tangata matātuhi;hoari|kaimatātuhi|matātuhi hoari|tangata matātuhi
🏇;tauomaoma hoiho;hoiho|hoiho tauoma|kaieke|tauomaoma
	🏇🏻;tauomaoma hoiho: kiri āhua māmā;hoiho|hoiho tauoma|kaieke|kiri āhua māmā|tauomaoma
	🏇🏼;tauomaoma hoiho: kiri āhua māmā-waenga;hoiho|hoiho tauoma|kaieke|kiri āhua māmā-waenga|tauomaoma
	🏇🏽;tauomaoma hoiho: kiri āhua waenga;hoiho|hoiho tauoma|kaieke|kiri āhua waenga|tauomaoma
	🏇🏾;tauomaoma hoiho: kiri āhua waenga-parauri;hoiho|hoiho tauoma|kaieke|kiri āhua waenga-parauri|tauomaoma
	🏇🏿;tauomaoma hoiho: kiri āhua parauri;hoiho|hoiho tauoma|kaieke|kiri āhua parauri|tauomaoma
⛷️;kairetihuka;hukarere|kairetihuka|retihuka
🏂;kaipaparetihuka;hukarere|kaipaparetihuka|paparetihuka|retihuka
	🏂🏻;kaipaparetihuka: kiri āhua māmā;hukarere|kaipaparetihuka|kiri āhua māmā|paparetihuka|retihuka
	🏂🏼;kaipaparetihuka: kiri āhua māmā-waenga;hukarere|kaipaparetihuka|kiri āhua māmā-waenga|paparetihuka|retihuka
	🏂🏽;kaipaparetihuka: kiri āhua waenga;hukarere|kaipaparetihuka|kiri āhua waenga|paparetihuka|retihuka
	🏂🏾;kaipaparetihuka: kiri āhua waenga-parauri;hukarere|kaipaparetihuka|kiri āhua waenga-parauri|paparetihuka|retihuka
	🏂🏿;kaipaparetihuka: kiri āhua parauri;hukarere|kaipaparetihuka|kiri āhua parauri|paparetihuka|retihuka
🏌️;tangata haupōro;haupōro|pōro|tangata haupōro
	🏌🏻;tangata haupōro: kiri āhua māmā;haupōro|kiri āhua māmā|pōro|tangata haupōro
	🏌🏼;tangata haupōro: kiri āhua māmā-waenga;haupōro|kiri āhua māmā-waenga|pōro|tangata haupōro
	🏌🏽;tangata haupōro: kiri āhua waenga;haupōro|kiri āhua waenga|pōro|tangata haupōro
	🏌🏾;tangata haupōro: kiri āhua waenga-parauri;haupōro|kiri āhua waenga-parauri|pōro|tangata haupōro
	🏌🏿;tangata haupōro: kiri āhua parauri;haupōro|kiri āhua parauri|pōro|tangata haupōro
🏌️‍♂️;tāne haupōro;haupōro|tāne
	🏌🏻‍♂️;tāne haupōro: kiri āhua māmā;haupōro|kiri āhua māmā|tāne
	🏌🏼‍♂️;tāne haupōro: kiri āhua māmā-waenga;haupōro|kiri āhua māmā-waenga|tāne
	🏌🏽‍♂️;tāne haupōro: kiri āhua waenga;haupōro|kiri āhua waenga|tāne
	🏌🏾‍♂️;tāne haupōro: kiri āhua waenga-parauri;haupōro|kiri āhua waenga-parauri|tāne
	🏌🏿‍♂️;tāne haupōro: kiri āhua parauri;haupōro|kiri āhua parauri|tāne
🏌️‍♀️;wahine haupōro;haupōro|wahine
	🏌🏻‍♀️;wahine haupōro: kiri āhua māmā;haupōro|kiri āhua māmā|wahine
	🏌🏼‍♀️;wahine haupōro: kiri āhua māmā-waenga;haupōro|kiri āhua māmā-waenga|wahine
	🏌🏽‍♀️;wahine haupōro: kiri āhua waenga;haupōro|kiri āhua waenga|wahine
	🏌🏾‍♀️;wahine haupōro: kiri āhua waenga-parauri;haupōro|kiri āhua waenga-parauri|wahine
	🏌🏿‍♀️;wahine haupōro: kiri āhua parauri;haupōro|kiri āhua parauri|wahine
🏄;tangata whakaheke ngaru;tangata whakaheke ngaru|whakaheke ngaru
	🏄🏻;tangata whakaheke ngaru: kiri āhua māmā;kiri āhua māmā|tangata whakaheke ngaru|whakaheke ngaru
	🏄🏼;tangata whakaheke ngaru: kiri āhua māmā-waenga;kiri āhua māmā-waenga|tangata whakaheke ngaru|whakaheke ngaru
	🏄🏽;tangata whakaheke ngaru: kiri āhua waenga;kiri āhua waenga|tangata whakaheke ngaru|whakaheke ngaru
	🏄🏾;tangata whakaheke ngaru: kiri āhua waenga-parauri;kiri āhua waenga-parauri|tangata whakaheke ngaru|whakaheke ngaru
	🏄🏿;tangata whakaheke ngaru: kiri āhua parauri;kiri āhua parauri|tangata whakaheke ngaru|whakaheke ngaru
🏄‍♂️;tāne whakaheke ngaru;tāne|tāne whakaheke ngaru|whakaheke ngaru
	🏄🏻‍♂️;tāne whakaheke ngaru: kiri āhua māmā;kiri āhua māmā|tāne|tāne whakaheke ngaru|whakaheke ngaru
	🏄🏼‍♂️;tāne whakaheke ngaru: kiri āhua māmā-waenga;kiri āhua māmā-waenga|tāne|tāne whakaheke ngaru|whakaheke ngaru
	🏄🏽‍♂️;tāne whakaheke ngaru: kiri āhua waenga;kiri āhua waenga|tāne|tāne whakaheke ngaru|whakaheke ngaru
	🏄🏾‍♂️;tāne whakaheke ngaru: kiri āhua waenga-parauri;kiri āhua waenga-parauri|tāne|tāne whakaheke ngaru|whakaheke ngaru
	🏄🏿‍♂️;tāne whakaheke ngaru: kiri āhua parauri;kiri āhua parauri|tāne|tāne whakaheke ngaru|whakaheke ngaru
🏄‍♀️;wahine whakaheke ngaru;wahine|wahine whakaheke ngaru|whakaheke ngaru
	🏄🏻‍♀️;wahine whakaheke ngaru: kiri āhua māmā;kiri āhua māmā|wahine|wahine whakaheke ngaru|whakaheke ngaru
	🏄🏼‍♀️;wahine whakaheke ngaru: kiri āhua māmā-waenga;kiri āhua māmā-waenga|wahine|wahine whakaheke ngaru|whakaheke ngaru
	🏄🏽‍♀️;wahine whakaheke ngaru: kiri āhua waenga;kiri āhua waenga|wahine|wahine whakaheke ngaru|whakaheke ngaru
	🏄🏾‍♀️;wahine whakaheke ngaru: kiri āhua waenga-parauri;kiri āhua waenga-parauri|wahine|wahine whakaheke ngaru|whakaheke ngaru
	🏄🏿‍♀️;wahine whakaheke ngaru: kiri āhua parauri;kiri āhua parauri|wahine|wahine whakaheke ngaru|whakaheke ngaru
🚣;tangata hoe waka;poti|tangata hoe waka|waka hoe
	🚣🏻;tangata hoe waka: kiri āhua māmā;kiri āhua māmā|poti|tangata hoe waka|waka hoe
	🚣🏼;tangata hoe waka: kiri āhua māmā-waenga;kiri āhua māmā-waenga|poti|tangata hoe waka|waka hoe
	🚣🏽;tangata hoe waka: kiri āhua waenga;kiri āhua waenga|poti|tangata hoe waka|waka hoe
	🚣🏾;tangata hoe waka: kiri āhua waenga-parauri;kiri āhua waenga-parauri|poti|tangata hoe waka|waka hoe
	🚣🏿;tangata hoe waka: kiri āhua parauri;kiri āhua parauri|poti|tangata hoe waka|waka hoe
🚣‍♂️;tāne hoe waka;poti|tāne|tāne hoe waka|wakahoe
	🚣🏻‍♂️;tāne hoe waka: kiri āhua māmā;kiri āhua māmā|poti|tāne|tāne hoe waka|wakahoe
	🚣🏼‍♂️;tāne hoe waka: kiri āhua māmā-waenga;kiri āhua māmā-waenga|poti|tāne|tāne hoe waka|wakahoe
	🚣🏽‍♂️;tāne hoe waka: kiri āhua waenga;kiri āhua waenga|poti|tāne|tāne hoe waka|wakahoe
	🚣🏾‍♂️;tāne hoe waka: kiri āhua waenga-parauri;kiri āhua waenga-parauri|poti|tāne|tāne hoe waka|wakahoe
	🚣🏿‍♂️;tāne hoe waka: kiri āhua parauri;kiri āhua parauri|poti|tāne|tāne hoe waka|wakahoe
🚣‍♀️;wahine hoe waka;poti|wahine|wahine hoe waka|wakahoe
	🚣🏻‍♀️;wahine hoe waka: kiri āhua māmā;kiri āhua māmā|poti|wahine|wahine hoe waka|wakahoe
	🚣🏼‍♀️;wahine hoe waka: kiri āhua māmā-waenga;kiri āhua māmā-waenga|poti|wahine|wahine hoe waka|wakahoe
	🚣🏽‍♀️;wahine hoe waka: kiri āhua waenga;kiri āhua waenga|poti|wahine|wahine hoe waka|wakahoe
	🚣🏾‍♀️;wahine hoe waka: kiri āhua waenga-parauri;kiri āhua waenga-parauri|poti|wahine|wahine hoe waka|wakahoe
	🚣🏿‍♀️;wahine hoe waka: kiri āhua parauri;kiri āhua parauri|poti|wahine|wahine hoe waka|wakahoe
🏊;tangata kauhoe;kauhoe|tangata kauhoe
	🏊🏻;tangata kauhoe: kiri āhua māmā;kauhoe|kiri āhua māmā|tangata kauhoe
	🏊🏼;tangata kauhoe: kiri āhua māmā-waenga;kauhoe|kiri āhua māmā-waenga|tangata kauhoe
	🏊🏽;tangata kauhoe: kiri āhua waenga;kauhoe|kiri āhua waenga|tangata kauhoe
	🏊🏾;tangata kauhoe: kiri āhua waenga-parauri;kauhoe|kiri āhua waenga-parauri|tangata kauhoe
	🏊🏿;tangata kauhoe: kiri āhua parauri;kauhoe|kiri āhua parauri|tangata kauhoe
🏊‍♂️;tāne kauhoe;kauhoe|tāne
	🏊🏻‍♂️;tāne kauhoe: kiri āhua māmā;kauhoe|kiri āhua māmā|tāne
	🏊🏼‍♂️;tāne kauhoe: kiri āhua māmā-waenga;kauhoe|kiri āhua māmā-waenga|tāne
	🏊🏽‍♂️;tāne kauhoe: kiri āhua waenga;kauhoe|kiri āhua waenga|tāne
	🏊🏾‍♂️;tāne kauhoe: kiri āhua waenga-parauri;kauhoe|kiri āhua waenga-parauri|tāne
	🏊🏿‍♂️;tāne kauhoe: kiri āhua parauri;kauhoe|kiri āhua parauri|tāne
🏊‍♀️;wahine kauhoe;kauhoe|wahine
	🏊🏻‍♀️;wahine kauhoe: kiri āhua māmā;kauhoe|kiri āhua māmā|wahine
	🏊🏼‍♀️;wahine kauhoe: kiri āhua māmā-waenga;kauhoe|kiri āhua māmā-waenga|wahine
	🏊🏽‍♀️;wahine kauhoe: kiri āhua waenga;kauhoe|kiri āhua waenga|wahine
	🏊🏾‍♀️;wahine kauhoe: kiri āhua waenga-parauri;kauhoe|kiri āhua waenga-parauri|wahine
	🏊🏿‍♀️;wahine kauhoe: kiri āhua parauri;kauhoe|kiri āhua parauri|wahine
⛹️;tangata tāwhana pōro;pōro|tangata tāwhana pōro
	⛹🏻;tangata tāwhana pōro: kiri āhua māmā;kiri āhua māmā|pōro|tangata tāwhana pōro
	⛹🏼;tangata tāwhana pōro: kiri āhua māmā-waenga;kiri āhua māmā-waenga|pōro|tangata tāwhana pōro
	⛹🏽;tangata tāwhana pōro: kiri āhua waenga;kiri āhua waenga|pōro|tangata tāwhana pōro
	⛹🏾;tangata tāwhana pōro: kiri āhua waenga-parauri;kiri āhua waenga-parauri|pōro|tangata tāwhana pōro
	⛹🏿;tangata tāwhana pōro: kiri āhua parauri;kiri āhua parauri|pōro|tangata tāwhana pōro
⛹️‍♂️;tāne tāwhana pōro;pōro|tāne|tāne tāwhana pōro
	⛹🏻‍♂️;tāne tāwhana pōro: kiri āhua māmā;kiri āhua māmā|pōro|tāne|tāne tāwhana pōro
	⛹🏼‍♂️;tāne tāwhana pōro: kiri āhua māmā-waenga;kiri āhua māmā-waenga|pōro|tāne|tāne tāwhana pōro
	⛹🏽‍♂️;tāne tāwhana pōro: kiri āhua waenga;kiri āhua waenga|pōro|tāne|tāne tāwhana pōro
	⛹🏾‍♂️;tāne tāwhana pōro: kiri āhua waenga-parauri;kiri āhua waenga-parauri|pōro|tāne|tāne tāwhana pōro
	⛹🏿‍♂️;tāne tāwhana pōro: kiri āhua parauri;kiri āhua parauri|pōro|tāne|tāne tāwhana pōro
⛹️‍♀️;wahine tāwhana pōro;pōro|wahine|wahine tāwhana pōro
	⛹🏻‍♀️;wahine tāwhana pōro: kiri āhua māmā;kiri āhua māmā|pōro|wahine|wahine tāwhana pōro
	⛹🏼‍♀️;wahine tāwhana pōro: kiri āhua māmā-waenga;kiri āhua māmā-waenga|pōro|wahine|wahine tāwhana pōro
	⛹🏽‍♀️;wahine tāwhana pōro: kiri āhua waenga;kiri āhua waenga|pōro|wahine|wahine tāwhana pōro
	⛹🏾‍♀️;wahine tāwhana pōro: kiri āhua waenga-parauri;kiri āhua waenga-parauri|pōro|wahine|wahine tāwhana pōro
