# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kanohi pakiri;kanohi|pakiri
🤬;kanohi tohu runga waha;kanga ana|kanohi tohu runga waha
😈;kanohi menemene whai pihi;kanohi|kanohi menemene whai pihi|kōrero pakiwaitara|menemene|moemoeā|pihi
👿;kanohi riri whai pihi;kanohi|kanohi riri whai pihi|kōrero pakiwaitara|moemoeā|patupaiarehe|rēwera|tēmoni
💀;angaanga;angaanga|kanohi|kōrero pakiwaitara|mate|taniwha
☠️;angaanga me ngā kōiwi-whiri;angaanga|angaanga me ngā kōiwi-whiri|kanohi|kōiwi-whiri|mate|taniwha
💩;putunga tiko;kanohi|putunga tiko|tae|taniwha|tiko|tūtae|whakakata
🤡;kanohi hangareka;hangareka|kanohi
👹;kaurehe;kanohi|kaurehe|kīrehe|kōrero pakiwaitara|moemoeā|taniwha
👺;taipō;kanohi|kīrehe|kōrero pakiwaitara|moemoeā|taipō|taniwha
👻;kēhua;kanohi|kēhua|kīrehe|kōrero pakiwaitara|moemoeā|taniwha
👽;manene aokē;kanohi|kīrehe|kīrehe aokē|kōrero pakiwaitara|manene aokē|moemoeā|taniwha|ufo
👾;ngārara aokē;kanohi|kīrehe|kōrero pakiwaitara|manene aokē|moemoeā|ngārara aokē|taniwha|ufo
🤖;kanohi karetao;kanohi|karetao|taniwha
😺;kanohi ngeru menemene waha tuwhera;kanohi|menemene|ngeru|tuwhera|waha
😸;kanohi ngeru pakiri karu menemene;kanohi|karu|menemene|ngeru|pakiri
😹;kanohi ngeru me ngā roimata harikoa;harikoa|kanohi|kanohi ngeru me ngā roimata harikoa|ngeru|roimata
😻;kanohi ngeru menemene karu-manawa;aroha|kanohi|kanohi ngeru menemene karu-manawa|karu|menemene|ngeru
😼;kanohi ngeru menemene pūkawa;kanohi|menemene|ngeru|pūkawa|takahiri
😽;kanohi ngeru kihikihi karu kopi;kanohi|kanohi ngeru kihikihi karu kopi|karu|kihi|ngeru
🙀;kanohi ngeru ruha;kanohi|ngeru|oho|ohorere|ruha
😿;kanohi ngeru tatangi;kanohi|kanohi ngeru tatangi|ngeru|pōuri|roimata|tangi
😾;kanohi ngeru tupere;kanohi|ngeru|tupere
🙈;makimaki kore-kite-kino;kanohi|kāo|kāore|kino|kite|makimaki|makimaki kore-kite-kino|tohu ā-ringa|whakakāhore|whakakore
🙉;makimaki kore-rongo-kino;kanohi|kāo|kāore|kino|makimaki|makimaki kore-rongo-kino|rongo|tohu ā-ringa|whakakāhore|whakakore
🙊;makimaki kore-kōrero-kino;kanohi|kāo|kāore|kino|kōrero|makimaki|makimaki kore-kōrero-kino|tohu ā-ringa|whakakāhore|whakakore
💌;reta aroha;aroha|manawa|mēra|reta
💘;manawa me te pere;kupiti|manawa me te pere|pere
💝;manawa mau rīpene;manawa mau rīpene|rīpene|tohu aroha
💖;manawa tīaho;hiamo|manawa tīaho|tīaho
💗;manawa tipu haere;hiamo|kapakapa|manawa tipu haere|taiatea|tipu ana
💓;manawa patupatu;kapakapa|manawa patupatu|patu manawa|patupatu
💞;ngā manawa takahurihuri;ngā manawa takahurihuri|takahurihuri
💕;rua manawa;aroha|rua manawa
💟;rākeitanga manawa;manawa|rākeitanga manawa
❣️;tohuhā manawa pā;tohu|tohu reo|tohuhā|tohuhā manawa pā
💔;manawa whati;manawa whati|pakaru|whati
❤️‍🔥;;
❤️‍🩹;;
❤️;manawa whero;manawa|manawa whero
🩷;;
🧡;manawa karaka;karaka|manawa karaka
💛;manawa kōwhai;kōwhai|manawa kōwhai
💚;manawa kākāriki;kākariki|manawa kākāriki
💙;manawa kikorangi;kikorangi|manawa kikorangi
🩵;;
💜;manawa poroporo;manawa poroporo|poroporo
🤎;;
🖤;manawa pango;kino|manawa pango|nanakia|pango
🩶;;
🤍;;
💋;tohu kihi;kihi|ngutu|tohu kihi
💯;rau piro;100|kī|kotahi rau|piro|rau piro
💢;tohu riri;pōrangi|pukuriri|tohu riri|whakakata
🫯;;
💥;tutukitanga;pahū|tutukitanga|whakakata
💫;whakaamai;whakaamai|whakakata|whetū
💦;ngā kōpata werawera;ngā kōpata werawera|paratī|werawera|whakakata
💨;rere atu ana;oma ana|rere|rere atu ana|whakakata
🕳️;puare;puare
💬;pūangi kōrero;kōrero|mirumiru|pūangi|whakakata
👁️‍🗨️;karu rō mirumiru kōrero;kaiwhakaatu|karu|karu rō mirumiru kōrero|mirumiru kōrero
🗨️;mirumiru kōrero mauī;kōrero|mirumiru kōrero mauī
🗯️;mirumiru riri matau;mirumiru|mirumiru riri matau|pōrangi|pūangi|riri
💭;pūangi whakaaro;mirumiru|pūangi|whakaaro|whakakata
💤;zzz;moe|whakakata|zzz

[people_body]
👋;ringa pōhirihiri;pōhiri|pōhirihiri|ringa
	👋🏻;ringa pōhirihiri: kiri āhua māmā;kiri āhua māmā|pōhiri|pōhirihiri|ringa
	👋🏼;ringa pōhirihiri: kiri āhua māmā-waenga;kiri āhua māmā-waenga|pōhiri|pōhirihiri|ringa
	👋🏽;ringa pōhirihiri: kiri āhua waenga;kiri āhua waenga|pōhiri|pōhirihiri|ringa
	👋🏾;ringa pōhirihiri: kiri āhua waenga-parauri;kiri āhua waenga-parauri|pōhiri|pōhirihiri|ringa
	👋🏿;ringa pōhirihiri: kiri āhua parauri;kiri āhua parauri|pōhiri|pōhirihiri|ringa
🤚;tāmuri tū;tāmuri|tū
	🤚🏻;tāmuri tū: kiri āhua māmā;kiri āhua māmā|tāmuri|tū
	🤚🏼;tāmuri tū: kiri āhua māmā-waenga;kiri āhua māmā-waenga|tāmuri|tū
	🤚🏽;tāmuri tū: kiri āhua waenga;kiri āhua waenga|tāmuri|tū
	🤚🏾;tāmuri tū: kiri āhua waenga-parauri;kiri āhua waenga-parauri|tāmuri|tū
	🤚🏿;tāmuri tū: kiri āhua parauri;kiri āhua parauri|tāmuri|tū
🖐️;ringa tū matimati paraha;matimati|paraha|ringa|ringa tū matimati paraha
	🖐🏻;ringa tū matimati paraha: kiri āhua māmā;kiri āhua māmā|matimati|paraha|ringa|ringa tū matimati paraha
	🖐🏼;ringa tū matimati paraha: kiri āhua māmā-waenga;kiri āhua māmā-waenga|matimati|paraha|ringa|ringa tū matimati paraha
	🖐🏽;ringa tū matimati paraha: kiri āhua waenga;kiri āhua waenga|matimati|paraha|ringa|ringa tū matimati paraha
	🖐🏾;ringa tū matimati paraha: kiri āhua waenga-parauri;kiri āhua waenga-parauri|matimati|paraha|ringa|ringa tū matimati paraha
	🖐🏿;ringa tū matimati paraha: kiri āhua parauri;kiri āhua parauri|matimati|paraha|ringa|ringa tū matimati paraha
✋;ringa tū;ringa|ringa tū
	✋🏻;ringa tū: kiri āhua māmā;kiri āhua māmā|ringa|ringa tū
	✋🏼;ringa tū: kiri āhua māmā-waenga;kiri āhua māmā-waenga|ringa|ringa tū
	✋🏽;ringa tū: kiri āhua waenga;kiri āhua waenga|ringa|ringa tū
	✋🏾;ringa tū: kiri āhua waenga-parauri;kiri āhua waenga-parauri|ringa|ringa tū
	✋🏿;ringa tū: kiri āhua parauri;kiri āhua parauri|ringa|ringa tū
🖖;whakakōtua vulcan;matimati|ringa|spock|vulcan|whakakōtua vulcan
	🖖🏻;whakakōtua vulcan: kiri āhua māmā;kiri āhua māmā|matimati|ringa|spock|vulcan|whakakōtua vulcan
	🖖🏼;whakakōtua vulcan: kiri āhua māmā-waenga;kiri āhua māmā-waenga|matimati|ringa|spock|vulcan|whakakōtua vulcan
	🖖🏽;whakakōtua vulcan: kiri āhua waenga;kiri āhua waenga|matimati|ringa|spock|vulcan|whakakōtua vulcan
	🖖🏾;whakakōtua vulcan: kiri āhua waenga-parauri;kiri āhua waenga-parauri|matimati|ringa|spock|vulcan|whakakōtua vulcan
	🖖🏿;whakakōtua vulcan: kiri āhua parauri;kiri āhua parauri|matimati|ringa|spock|vulcan|whakakōtua vulcan
🫱;;
	🫱🏻;;
	🫱🏼;;
	🫱🏽;;
	🫱🏾;;
	🫱🏿;;
🫲;;
	🫲🏻;;
	🫲🏼;;
	🫲🏽;;
	🫲🏾;;
	🫲🏿;;
🫳;;
	🫳🏻;;
	🫳🏼;;
	🫳🏽;;
	🫳🏾;;
	🫳🏿;;
🫴;;
	🫴🏻;;
	🫴🏼;;
	🫴🏽;;
	🫴🏾;;
	🫴🏿;;
🫷;;
	🫷🏻;;
	🫷🏼;;
	🫷🏽;;
	🫷🏾;;
	🫷🏿;;
🫸;;
	🫸🏻;;
	🫸🏼;;
	🫸🏽;;
	🫸🏾;;
	🫸🏿;;
👌;ringa ĀE;ĀE|ringa
	👌🏻;ringa ĀE: kiri āhua māmā;ĀE|kiri āhua māmā|ringa
	👌🏼;ringa ĀE: kiri āhua māmā-waenga;ĀE|kiri āhua māmā-waenga|ringa
	👌🏽;ringa ĀE: kiri āhua waenga;ĀE|kiri āhua waenga|ringa
	👌🏾;ringa ĀE: kiri āhua waenga-parauri;ĀE|kiri āhua waenga-parauri|ringa
	👌🏿;ringa ĀE: kiri āhua parauri;ĀE|kiri āhua parauri|ringa
🤌;;
	🤌🏻;;
	🤌🏼;;
	🤌🏽;;
	🤌🏾;;
	🤌🏿;;
🤏;;
	🤏🏻;;
	🤏🏼;;
	🤏🏽;;
	🤏🏾;;
	🤏🏿;;
✌️;ringa wikitōria;ringa|v|wikitōria
	✌🏻;ringa wikitōria: kiri āhua māmā;kiri āhua māmā|ringa|v|wikitōria
	✌🏼;ringa wikitōria: kiri āhua māmā-waenga;kiri āhua māmā-waenga|ringa|v|wikitōria
	✌🏽;ringa wikitōria: kiri āhua waenga;kiri āhua waenga|ringa|v|wikitōria
	✌🏾;ringa wikitōria: kiri āhua waenga-parauri;kiri āhua waenga-parauri|ringa|v|wikitōria
	✌🏿;ringa wikitōria: kiri āhua parauri;kiri āhua parauri|ringa|v|wikitōria
🤞;matimati whiri;matimati|ringa|waimarie|whiri
	🤞🏻;matimati whiri: kiri āhua māmā;kiri āhua māmā|matimati|ringa|waimarie|whiri
	🤞🏼;matimati whiri: kiri āhua māmā-waenga;kiri āhua māmā-waenga|matimati|ringa|waimarie|whiri
	🤞🏽;matimati whiri: kiri āhua waenga;kiri āhua waenga|matimati|ringa|waimarie|whiri
	🤞🏾;matimati whiri: kiri āhua waenga-parauri;kiri āhua waenga-parauri|matimati|ringa|waimarie|whiri
	🤞🏿;matimati whiri: kiri āhua parauri;kiri āhua parauri|matimati|ringa|waimarie|whiri
🫰;;
	🫰🏻;;
	🫰🏼;;
	🫰🏽;;
	🫰🏾;;
	🫰🏿;;
🤟;tohu aroha-ki-a-koe;aroha|ringa|tohu aroha-ki-a-koe
	🤟🏻;tohu aroha-ki-a-koe: kiri āhua māmā;aroha|kiri āhua māmā|ringa|tohu aroha-ki-a-koe
	🤟🏼;tohu aroha-ki-a-koe: kiri āhua māmā-waenga;aroha|kiri āhua māmā-waenga|ringa|tohu aroha-ki-a-koe
	🤟🏽;tohu aroha-ki-a-koe: kiri āhua waenga;aroha|kiri āhua waenga|ringa|tohu aroha-ki-a-koe
	🤟🏾;tohu aroha-ki-a-koe: kiri āhua waenga-parauri;aroha|kiri āhua waenga-parauri|ringa|tohu aroha-ki-a-koe
	🤟🏿;tohu aroha-ki-a-koe: kiri āhua parauri;aroha|kiri āhua parauri|ringa|tohu aroha-ki-a-koe
🤘;tohu o ngā pihi;kai kaha|matimati|pihi|ringa|tohu o ngā pihi
	🤘🏻;tohu o ngā pihi: kiri āhua māmā;kai kaha|kiri āhua māmā|matimati|pihi|ringa|tohu o ngā pihi
	🤘🏼;tohu o ngā pihi: kiri āhua māmā-waenga;kai kaha|kiri āhua māmā-waenga|matimati|pihi|ringa|tohu o ngā pihi
	🤘🏽;tohu o ngā pihi: kiri āhua waenga;kai kaha|kiri āhua waenga|matimati|pihi|ringa|tohu o ngā pihi
	🤘🏾;tohu o ngā pihi: kiri āhua waenga-parauri;kai kaha|kiri āhua waenga-parauri|matimati|pihi|ringa|tohu o ngā pihi
	🤘🏿;tohu o ngā pihi: kiri āhua parauri;kai kaha|kiri āhua parauri|matimati|pihi|ringa|tohu o ngā pihi
🤙;ringa waea mai;ringa|ringa waea mai|waea
	🤙🏻;ringa waea mai: kiri āhua māmā;kiri āhua māmā|ringa|ringa waea mai|waea
	🤙🏼;ringa waea mai: kiri āhua māmā-waenga;kiri āhua māmā-waenga|ringa|ringa waea mai|waea
	🤙🏽;ringa waea mai: kiri āhua waenga;kiri āhua waenga|ringa|ringa waea mai|waea
	🤙🏾;ringa waea mai: kiri āhua waenga-parauri;kiri āhua waenga-parauri|ringa|ringa waea mai|waea
	🤙🏿;ringa waea mai: kiri āhua parauri;kiri āhua parauri|ringa|ringa waea mai|waea
👈;kōroa tāmuri tohu mauī;kōroa|kōroa tāmuri tohu mauī|matimati|ringa|tāmuri|tohu
	👈🏻;kōroa tāmuri tohu mauī: kiri āhua māmā;kiri āhua māmā|kōroa|kōroa tāmuri tohu mauī|matimati|ringa|tāmuri|tohu
	👈🏼;kōroa tāmuri tohu mauī: kiri āhua māmā-waenga;kiri āhua māmā-waenga|kōroa|kōroa tāmuri tohu mauī|matimati|ringa|tāmuri|tohu
	👈🏽;kōroa tāmuri tohu mauī: kiri āhua waenga;kiri āhua waenga|kōroa|kōroa tāmuri tohu mauī|matimati|ringa|tāmuri|tohu
	👈🏾;kōroa tāmuri tohu mauī: kiri āhua waenga-parauri;kiri āhua waenga-parauri|kōroa|kōroa tāmuri tohu mauī|matimati|ringa|tāmuri|tohu
	👈🏿;kōroa tāmuri tohu mauī: kiri āhua parauri;kiri āhua parauri|kōroa|kōroa tāmuri tohu mauī|matimati|ringa|tāmuri|tohu
👉;kōroa tāmuri tohu matau;kōroa|kōroa tāmuri tohu matau|matimati|ringa|tāmuri|tohu
	👉🏻;kōroa tāmuri tohu matau: kiri āhua māmā;kiri āhua māmā|kōroa|kōroa tāmuri tohu matau|matimati|ringa|tāmuri|tohu
	👉🏼;kōroa tāmuri tohu matau: kiri āhua māmā-waenga;kiri āhua māmā-waenga|kōroa|kōroa tāmuri tohu matau|matimati|ringa|tāmuri|tohu
	👉🏽;kōroa tāmuri tohu matau: kiri āhua waenga;kiri āhua waenga|kōroa|kōroa tāmuri tohu matau|matimati|ringa|tāmuri|tohu
	👉🏾;kōroa tāmuri tohu matau: kiri āhua waenga-parauri;kiri āhua waenga-parauri|kōroa|kōroa tāmuri tohu matau|matimati|ringa|tāmuri|tohu
	👉🏿;kōroa tāmuri tohu matau: kiri āhua parauri;kiri āhua parauri|kōroa|kōroa tāmuri tohu matau|matimati|ringa|tāmuri|tohu
👆;kōroa tāmuri tohu ake;ake|kōroa|matimati|ringa|tāmuri|tohu
	👆🏻;kōroa tāmuri tohu ake: kiri āhua māmā;ake|kiri āhua māmā|kōroa|matimati|ringa|tāmuri|tohu
	👆🏼;kōroa tāmuri tohu ake: kiri āhua māmā-waenga;ake|kiri āhua māmā-waenga|kōroa|matimati|ringa|tāmuri|tohu
	👆🏽;kōroa tāmuri tohu ake: kiri āhua waenga;ake|kiri āhua waenga|kōroa|matimati|ringa|tāmuri|tohu
	👆🏾;kōroa tāmuri tohu ake: kiri āhua waenga-parauri;ake|kiri āhua waenga-parauri|kōroa|matimati|ringa|tāmuri|tohu
	👆🏿;kōroa tāmuri tohu ake: kiri āhua parauri;ake|kiri āhua parauri|kōroa|matimati|ringa|tāmuri|tohu
🖕;māpere;māpere|matimati|ringa
	🖕🏻;māpere: kiri āhua māmā;kiri āhua māmā|māpere|matimati|ringa
	🖕🏼;māpere: kiri āhua māmā-waenga;kiri āhua māmā-waenga|māpere|matimati|ringa
	🖕🏽;māpere: kiri āhua waenga;kiri āhua waenga|māpere|matimati|ringa
	🖕🏾;māpere: kiri āhua waenga-parauri;kiri āhua waenga-parauri|māpere|matimati|ringa
	🖕🏿;māpere: kiri āhua parauri;kiri āhua parauri|māpere|matimati|ringa
👇;kōroa tāmuri tohu iho;iho|kōroa|matimati|ringa|tāmuri|tohu
	👇🏻;kōroa tāmuri tohu iho: kiri āhua māmā;iho|kiri āhua māmā|kōroa|matimati|ringa|tāmuri|tohu
	👇🏼;kōroa tāmuri tohu iho: kiri āhua māmā-waenga;iho|kiri āhua māmā-waenga|kōroa|matimati|ringa|tāmuri|tohu
	👇🏽;kōroa tāmuri tohu iho: kiri āhua waenga;iho|kiri āhua waenga|kōroa|matimati|ringa|tāmuri|tohu
	👇🏾;kōroa tāmuri tohu iho: kiri āhua waenga-parauri;iho|kiri āhua waenga-parauri|kōroa|matimati|ringa|tāmuri|tohu
	👇🏿;kōroa tāmuri tohu iho: kiri āhua parauri;iho|kiri āhua parauri|kōroa|matimati|ringa|tāmuri|tohu
☝️;kōroa tohu ake;ake|kōroa|matimati|ringa|tohu
	☝🏻;kōroa tohu ake: kiri āhua māmā;ake|kiri āhua māmā|kōroa|matimati|ringa|tohu
	☝🏼;kōroa tohu ake: kiri āhua māmā-waenga;ake|kiri āhua māmā-waenga|kōroa|matimati|ringa|tohu
	☝🏽;kōroa tohu ake: kiri āhua waenga;ake|kiri āhua waenga|kōroa|matimati|ringa|tohu
	☝🏾;kōroa tohu ake: kiri āhua waenga-parauri;ake|kiri āhua waenga-parauri|kōroa|matimati|ringa|tohu
	☝🏿;kōroa tohu ake: kiri āhua parauri;ake|kiri āhua parauri|kōroa|matimati|ringa|tohu
🫵;;
	🫵🏻;;
	🫵🏼;;
	🫵🏽;;
	🫵🏾;;
	🫵🏿;;
👍;kōnui ake;+1|ake|kōnui|ringa
	👍🏻;kōnui ake: kiri āhua māmā;+1|ake|kiri āhua māmā|kōnui|ringa
	👍🏼;kōnui ake: kiri āhua māmā-waenga;+1|ake|kiri āhua māmā-waenga|kōnui|ringa
	👍🏽;kōnui ake: kiri āhua waenga;+1|ake|kiri āhua waenga|kōnui|ringa
	👍🏾;kōnui ake: kiri āhua waenga-parauri;+1|ake|kiri āhua waenga-parauri|kōnui|ringa
	👍🏿;kōnui ake: kiri āhua parauri;+1|ake|kiri āhua parauri|kōnui|ringa
👎;kōnui iho;-1|iho|kōnui|ringa
	👎🏻;kōnui iho: kiri āhua māmā;-1|iho|kiri āhua māmā|kōnui|ringa
	👎🏼;kōnui iho: kiri āhua māmā-waenga;-1|iho|kiri āhua māmā-waenga|kōnui|ringa
	👎🏽;kōnui iho: kiri āhua waenga;-1|iho|kiri āhua waenga|kōnui|ringa
	👎🏾;kōnui iho: kiri āhua waenga-parauri;-1|iho|kiri āhua waenga-parauri|kōnui|ringa
	👎🏿;kōnui iho: kiri āhua parauri;-1|iho|kiri āhua parauri|kōnui|ringa
✊;meke tū;kumu|meke|meke tū|ringa|tuki
	✊🏻;meke tū: kiri āhua māmā;kiri āhua māmā|kumu|meke|meke tū|ringa|tuki
	✊🏼;meke tū: kiri āhua māmā-waenga;kiri āhua māmā-waenga|kumu|meke|meke tū|ringa|tuki
	✊🏽;meke tū: kiri āhua waenga;kiri āhua waenga|kumu|meke|meke tū|ringa|tuki
	✊🏾;meke tū: kiri āhua waenga-parauri;kiri āhua waenga-parauri|kumu|meke|meke tū|ringa|tuki
	✊🏿;meke tū: kiri āhua parauri;kiri āhua parauri|kumu|meke|meke tū|ringa|tuki
👊;meke anga mai;kumu|meke|meke anga mai|ringa|tuki
	👊🏻;meke anga mai: kiri āhua māmā;kiri āhua māmā|kumu|meke|meke anga mai|ringa|tuki
	👊🏼;meke anga mai: kiri āhua māmā-waenga;kiri āhua māmā-waenga|kumu|meke|meke anga mai|ringa|tuki
	👊🏽;meke anga mai: kiri āhua waenga;kiri āhua waenga|kumu|meke|meke anga mai|ringa|tuki
	👊🏾;meke anga mai: kiri āhua waenga-parauri;kiri āhua waenga-parauri|kumu|meke|meke anga mai|ringa|tuki
	👊🏿;meke anga mai: kiri āhua parauri;kiri āhua parauri|kumu|meke|meke anga mai|ringa|tuki
