[smileys_emotion]
😀;دند پیسدی شکل;داند پیسنا|دند پیسدی شکل|دی شکل
🤠;گوالے دے کلاے دی شکل;دی شکل|گوالا|گوالن|گوالے دے کلاے دی شکل|ہیٹ
🥳;;
🥸;;
😎;دُھوب آلی عینک نال مسکراندی شکل;اکھ|اکھ پُوش|چَنگا|دُھوب آلی عینک نال مسکراندی شکل|دھوپ آلیاں عینکاں|دی شکل|روشن|سورج|عینک|مسکرانا
🤓;بیوقوف شکل;احمق|بیوقوف شکل|دی شکل|نگاہ
🧐;یک چشمی شکل;حبس آلا|یک چشمی شکل
😕;متذبذب شکل;دی شکل|متذبذب|متذبذب شکل
🫤;;
😟;پریشان ہوئی شکل;پریشان ہوئی شکل|پریشان ہونا|دی شکل
🙁;ہلکی تیوری آلی شکل;تیوری چڑھونا|دی شکل|ہلکی تیوری آلی شکل
☹️;تیوری آلی شکل;تیوری آلی شکل|تیوری چڑھونا|دی شکل
😮;کھلے منہ آلی شکل;دی شکل|کُھلا|کھلے منہ آلی شکل|منہ|ہمدردی
😯;منہ بند کیتی شکل;چُپ کیتا ہوئیا|حیرت انگیز|دنگ رہ جانا|دی شکل|منہ بند کیتی شکل
😲;حیرت زدہ شکل;حیران ہونا|حیرت زدہ شکل|دی شکل|متعجب ہونا|مکمل طور تے
😳;جوشیلی شکل;بے دخل|جوشیلی شکل|دی شکل|ہکا بکا
🥺;;
🥹;;
😦;کھلے منہ نال تیوری آلی شکل;تیوری چڑھونا|دی شکل|کُھلا|کھلے منہ نال تیوری آلی شکل|منہ
😧;دُکھی شکل;دُکھی|دُکھی شکل|دی شکل
😨;خوفزدہ شکل;خوف|خوفزدہ|خوفزدہ شکل|دی شکل|ڈریا ہوئیا
😰;کُھلے منہ اتے مڑکے آلی شکل;ٹھنڈا|دی شکل|کُھلا|کُھلے منہ اتے مڑکے آلی شکل|گھس جانا|مُڑکا|منہ|نیلا
😥;مایوس پر آرام دہ شکل;دی شکل|سبکدوش ہونا|مایوس|مایوس پر آرام دہ شکل|واہ
😢;روندی شکل;اتھرو|دی شکل|رونا|روندی شکل|غمگین
😭;اوچا روندی شکل;اتھرو|اوچا روندی شکل|دی شکل|رونا|غمگین|ہچکی لینا
😱;خوف وچ چیخدی شکل;چیکنا|خوف|خوف وچ چیخدی شکل|خوفزدہ|دی شکل|ڈریا ہوئیا|واج نال چبنا
😖;ہکّی بکّی شکل;دی شکل|ہکّا بکّا|ہکّی بکّی شکل
😣;ثابت قدم شکل;ثابت قدم رہنا|ثابت قدم شکل|دی شکل
😞;مایوس شکل;دی شکل|مایوس|مایوس شکل
😓;ٹھنڈے پسینے آلی شکل;ٹھنڈا|ٹھنڈے پسینے آلی شکل|دی شکل|مُڑکا
😩;بیزار شکل;بیزار شکل|تھکیا ہوئیا|دی شکل
😫;تھکی شکل;تھکی شکل|تھکیا ہوئیا|دی شکل
🥱;;
