# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;mukhang nakangiti;malaking ngiti|mukha|mukhang nakangisi|mukhang nakangiti|nakangiti|ngiti
🙎‍♂️;lalaking nakanguso;lalaki|lalaking nakanguso|nakalabi|nakanguso
	🙎🏻‍♂️;lalaking nakanguso: light na kulay ng balat;lalaki|lalaking nakanguso|lalaking nakanguso: light na kulay ng balat|light na kulay ng balat|nakalabi|nakanguso
	🙎🏼‍♂️;lalaking nakanguso: katamtamang light na kulay ng balat;katamtamang light na kulay ng balat|lalaki|lalaking nakanguso|lalaking nakanguso: katamtamang light na kulay ng balat|nakalabi|nakanguso
	🙎🏽‍♂️;lalaking nakanguso: katamtamang kulay ng balat;katamtamang kulay ng balat|lalaki|lalaking nakanguso|lalaking nakanguso: katamtamang kulay ng balat|nakalabi|nakanguso
	🙎🏾‍♂️;lalaking nakanguso: katamtamang dark na kulay ng balat;katamtamang dark na kulay ng balat|lalaki|lalaking nakanguso|lalaking nakanguso: katamtamang dark na kulay ng balat|nakalabi|nakanguso
	🙎🏿‍♂️;lalaking nakanguso: dark na kulay ng balat;dark na kulay ng balat|lalaki|lalaking nakanguso|lalaking nakanguso: dark na kulay ng balat|nakalabi|nakanguso
🙎‍♀️;babaeng nakanguso;babae|babaeng nakanguso|nakalabi|nakanguso
	🙎🏻‍♀️;babaeng nakanguso: light na kulay ng balat;babae|babaeng nakanguso|babaeng nakanguso: light na kulay ng balat|light na kulay ng balat|nakalabi|nakanguso
	🙎🏼‍♀️;babaeng nakanguso: katamtamang light na kulay ng balat;babae|babaeng nakanguso|babaeng nakanguso: katamtamang light na kulay ng balat|katamtamang light na kulay ng balat|nakalabi|nakanguso
	🙎🏽‍♀️;babaeng nakanguso: katamtamang kulay ng balat;babae|babaeng nakanguso|babaeng nakanguso: katamtamang kulay ng balat|katamtamang kulay ng balat|nakalabi|nakanguso
	🙎🏾‍♀️;babaeng nakanguso: katamtamang dark na kulay ng balat;babae|babaeng nakanguso|babaeng nakanguso: katamtamang dark na kulay ng balat|katamtamang dark na kulay ng balat|nakalabi|nakanguso
	🙎🏿‍♀️;babaeng nakanguso: dark na kulay ng balat;babae|babaeng nakanguso|babaeng nakanguso: dark na kulay ng balat|dark na kulay ng balat|nakalabi|nakanguso
🙅;nagpapahiwatig na hindi pwede;bawal|gesture|hindi pwede|huwag|ipinagbabawal|kamay|nagpapahiwatig na hindi pwede
	🙅🏻;nagpapahiwatig na hindi pwede: light na kulay ng balat;bawal|gesture|hindi pwede|huwag|ipinagbabawal|kamay|light na kulay ng balat|nagpapahiwatig na hindi pwede|nagpapahiwatig na hindi pwede: light na kulay ng balat
	🙅🏼;nagpapahiwatig na hindi pwede: katamtamang light na kulay ng balat;bawal|gesture|hindi pwede|huwag|ipinagbabawal|kamay|katamtamang light na kulay ng balat|nagpapahiwatig na hindi pwede|nagpapahiwatig na hindi pwede: katamtamang light na kulay ng balat
	🙅🏽;nagpapahiwatig na hindi pwede: katamtamang kulay ng balat;bawal|gesture|hindi pwede|huwag|ipinagbabawal|kamay|katamtamang kulay ng balat|nagpapahiwatig na hindi pwede|nagpapahiwatig na hindi pwede: katamtamang kulay ng balat
	🙅🏾;nagpapahiwatig na hindi pwede: katamtamang dark na kulay ng balat;bawal|gesture|hindi pwede|huwag|ipinagbabawal|kamay|katamtamang dark na kulay ng balat|nagpapahiwatig na hindi pwede|nagpapahiwatig na hindi pwede: katamtamang dark na kulay ng balat
	🙅🏿;nagpapahiwatig na hindi pwede: dark na kulay ng balat;bawal|dark na kulay ng balat|gesture|hindi pwede|huwag|ipinagbabawal|kamay|nagpapahiwatig na hindi pwede|nagpapahiwatig na hindi pwede: dark na kulay ng balat
🙅‍♂️;lalaking kumukumpas na hindi ok;ayaw|bawal|hindi|hindi pwede|lalaking kumukumpas na hindi ok
	🙅🏻‍♂️;lalaking kumukumpas na hindi ok: light na kulay ng balat;ayaw|bawal|hindi|hindi pwede|lalaking kumukumpas na hindi ok|lalaking kumukumpas na hindi ok: light na kulay ng balat|light na kulay ng balat
	🙅🏼‍♂️;lalaking kumukumpas na hindi ok: katamtamang light na kulay ng balat;ayaw|bawal|hindi|hindi pwede|katamtamang light na kulay ng balat|lalaking kumukumpas na hindi ok|lalaking kumukumpas na hindi ok: katamtamang light na kulay ng balat
	🙅🏽‍♂️;lalaking kumukumpas na hindi ok: katamtamang kulay ng balat;ayaw|bawal|hindi|hindi pwede|katamtamang kulay ng balat|lalaking kumukumpas na hindi ok|lalaking kumukumpas na hindi ok: katamtamang kulay ng balat
	🙅🏾‍♂️;lalaking kumukumpas na hindi ok: katamtamang dark na kulay ng balat;ayaw|bawal|hindi|hindi pwede|katamtamang dark na kulay ng balat|lalaking kumukumpas na hindi ok|lalaking kumukumpas na hindi ok: katamtamang dark na kulay ng balat
	🙅🏿‍♂️;lalaking kumukumpas na hindi ok: dark na kulay ng balat;ayaw|bawal|dark na kulay ng balat|hindi|hindi pwede|lalaking kumukumpas na hindi ok|lalaking kumukumpas na hindi ok: dark na kulay ng balat
🙅‍♀️;babaeng kumukumpas na hindi ok;ayaw|babaeng kumukumpas na hindi ok|bawal|hindi|hindi pwede
	🙅🏻‍♀️;babaeng kumukumpas na hindi ok: light na kulay ng balat;ayaw|babaeng kumukumpas na hindi ok|babaeng kumukumpas na hindi ok: light na kulay ng balat|bawal|hindi|hindi pwede|light na kulay ng balat
	🙅🏼‍♀️;babaeng kumukumpas na hindi ok: katamtamang light na kulay ng balat;ayaw|babaeng kumukumpas na hindi ok|babaeng kumukumpas na hindi ok: katamtamang light na kulay ng balat|bawal|hindi|hindi pwede|katamtamang light na kulay ng balat
	🙅🏽‍♀️;babaeng kumukumpas na hindi ok: katamtamang kulay ng balat;ayaw|babaeng kumukumpas na hindi ok|babaeng kumukumpas na hindi ok: katamtamang kulay ng balat|bawal|hindi|hindi pwede|katamtamang kulay ng balat
	🙅🏾‍♀️;babaeng kumukumpas na hindi ok: katamtamang dark na kulay ng balat;ayaw|babaeng kumukumpas na hindi ok|babaeng kumukumpas na hindi ok: katamtamang dark na kulay ng balat|bawal|hindi|hindi pwede|katamtamang dark na kulay ng balat
	🙅🏿‍♀️;babaeng kumukumpas na hindi ok: dark na kulay ng balat;ayaw|babaeng kumukumpas na hindi ok|babaeng kumukumpas na hindi ok: dark na kulay ng balat|bawal|dark na kulay ng balat|hindi|hindi pwede
🙆;nagpapahiwatig na ok;gesture|kamay|nagpapahiwatig na ok|ok|pwede
	🙆🏻;nagpapahiwatig na ok: light na kulay ng balat;gesture|kamay|light na kulay ng balat|nagpapahiwatig na ok|nagpapahiwatig na ok: light na kulay ng balat|ok|pwede
	🙆🏼;nagpapahiwatig na ok: katamtamang light na kulay ng balat;gesture|kamay|katamtamang light na kulay ng balat|nagpapahiwatig na ok|nagpapahiwatig na ok: katamtamang light na kulay ng balat|ok|pwede
	🙆🏽;nagpapahiwatig na ok: katamtamang kulay ng balat;gesture|kamay|katamtamang kulay ng balat|nagpapahiwatig na ok|nagpapahiwatig na ok: katamtamang kulay ng balat|ok|pwede
	🙆🏾;nagpapahiwatig na ok: katamtamang dark na kulay ng balat;gesture|kamay|katamtamang dark na kulay ng balat|nagpapahiwatig na ok|nagpapahiwatig na ok: katamtamang dark na kulay ng balat|ok|pwede
	🙆🏿;nagpapahiwatig na ok: dark na kulay ng balat;dark na kulay ng balat|gesture|kamay|nagpapahiwatig na ok|nagpapahiwatig na ok: dark na kulay ng balat|ok|pwede
🙆‍♂️;lalaking kumukumpas na ok;lalaki|lalaking kumukumpas na ok|okay|oo|pwede
	🙆🏻‍♂️;lalaking kumukumpas na ok: light na kulay ng balat;lalaki|lalaking kumukumpas na ok|lalaking kumukumpas na ok: light na kulay ng balat|light na kulay ng balat|okay|oo|pwede
	🙆🏼‍♂️;lalaking kumukumpas na ok: katamtamang light na kulay ng balat;katamtamang light na kulay ng balat|lalaki|lalaking kumukumpas na ok|lalaking kumukumpas na ok: katamtamang light na kulay ng balat|okay|oo|pwede
	🙆🏽‍♂️;lalaking kumukumpas na ok: katamtamang kulay ng balat;katamtamang kulay ng balat|lalaki|lalaking kumukumpas na ok|lalaking kumukumpas na ok: katamtamang kulay ng balat|okay|oo|pwede
	🙆🏾‍♂️;lalaking kumukumpas na ok: katamtamang dark na kulay ng balat;katamtamang dark na kulay ng balat|lalaki|lalaking kumukumpas na ok|lalaking kumukumpas na ok: katamtamang dark na kulay ng balat|okay|oo|pwede
	🙆🏿‍♂️;lalaking kumukumpas na ok: dark na kulay ng balat;dark na kulay ng balat|lalaki|lalaking kumukumpas na ok|lalaking kumukumpas na ok: dark na kulay ng balat|okay|oo|pwede
🙆‍♀️;babaeng kumukumpas na ok;babae|babaeng kumukumpas na ok|okay|oo|pwede
	🙆🏻‍♀️;babaeng kumukumpas na ok: light na kulay ng balat;babae|babaeng kumukumpas na ok|babaeng kumukumpas na ok: light na kulay ng balat|light na kulay ng balat|okay|oo|pwede
	🙆🏼‍♀️;babaeng kumukumpas na ok: katamtamang light na kulay ng balat;babae|babaeng kumukumpas na ok|babaeng kumukumpas na ok: katamtamang light na kulay ng balat|katamtamang light na kulay ng balat|okay|oo|pwede
	🙆🏽‍♀️;babaeng kumukumpas na ok: katamtamang kulay ng balat;babae|babaeng kumukumpas na ok|babaeng kumukumpas na ok: katamtamang kulay ng balat|katamtamang kulay ng balat|okay|oo|pwede
	🙆🏾‍♀️;babaeng kumukumpas na ok: katamtamang dark na kulay ng balat;babae|babaeng kumukumpas na ok|babaeng kumukumpas na ok: katamtamang dark na kulay ng balat|katamtamang dark na kulay ng balat|okay|oo|pwede
	🙆🏿‍♀️;babaeng kumukumpas na ok: dark na kulay ng balat;babae|babaeng kumukumpas na ok|babaeng kumukumpas na ok: dark na kulay ng balat|dark na kulay ng balat|okay|oo|pwede
💁;taong nakatikwas ang kamay;impormasyon|kamay|tao sa information desk|taong nakatikwas ang kamay|tulong
	💁🏻;taong nakatikwas ang kamay: light na kulay ng balat;impormasyon|kamay|light na kulay ng balat|tao sa information desk|taong nakatikwas ang kamay|taong nakatikwas ang kamay: light na kulay ng balat|tulong
	💁🏼;taong nakatikwas ang kamay: katamtamang light na kulay ng balat;impormasyon|kamay|katamtamang light na kulay ng balat|tao sa information desk|taong nakatikwas ang kamay|taong nakatikwas ang kamay: katamtamang light na kulay ng balat|tulong
	💁🏽;taong nakatikwas ang kamay: katamtamang kulay ng balat;impormasyon|kamay|katamtamang kulay ng balat|tao sa information desk|taong nakatikwas ang kamay|taong nakatikwas ang kamay: katamtamang kulay ng balat|tulong
	💁🏾;taong nakatikwas ang kamay: katamtamang dark na kulay ng balat;impormasyon|kamay|katamtamang dark na kulay ng balat|tao sa information desk|taong nakatikwas ang kamay|taong nakatikwas ang kamay: katamtamang dark na kulay ng balat|tulong
	💁🏿;taong nakatikwas ang kamay: dark na kulay ng balat;dark na kulay ng balat|impormasyon|kamay|tao sa information desk|taong nakatikwas ang kamay|taong nakatikwas ang kamay: dark na kulay ng balat|tulong
💁‍♂️;lalaking nakatikwas ang kamay;lalaki|lalaking nakatikwas ang kamay|nakakumpas|nakatikwas
	💁🏻‍♂️;lalaking nakatikwas ang kamay: light na kulay ng balat;lalaki|lalaking nakatikwas ang kamay|lalaking nakatikwas ang kamay: light na kulay ng balat|light na kulay ng balat|nakakumpas|nakatikwas
	💁🏼‍♂️;lalaking nakatikwas ang kamay: katamtamang light na kulay ng balat;katamtamang light na kulay ng balat|lalaki|lalaking nakatikwas ang kamay|lalaking nakatikwas ang kamay: katamtamang light na kulay ng balat|nakakumpas|nakatikwas
	💁🏽‍♂️;lalaking nakatikwas ang kamay: katamtamang kulay ng balat;katamtamang kulay ng balat|lalaki|lalaking nakatikwas ang kamay|lalaking nakatikwas ang kamay: katamtamang kulay ng balat|nakakumpas|nakatikwas
	💁🏾‍♂️;lalaking nakatikwas ang kamay: katamtamang dark na kulay ng balat;katamtamang dark na kulay ng balat|lalaki|lalaking nakatikwas ang kamay|lalaking nakatikwas ang kamay: katamtamang dark na kulay ng balat|nakakumpas|nakatikwas
	💁🏿‍♂️;lalaking nakatikwas ang kamay: dark na kulay ng balat;dark na kulay ng balat|lalaki|lalaking nakatikwas ang kamay|lalaking nakatikwas ang kamay: dark na kulay ng balat|nakakumpas|nakatikwas
💁‍♀️;babaeng nakatikwas ang kamay;babae|babaeng nakatikwas ang kamay|nakakumpas|nakatikwas
	💁🏻‍♀️;babaeng nakatikwas ang kamay: light na kulay ng balat;babae|babaeng nakatikwas ang kamay|babaeng nakatikwas ang kamay: light na kulay ng balat|light na kulay ng balat|nakakumpas|nakatikwas
	💁🏼‍♀️;babaeng nakatikwas ang kamay: katamtamang light na kulay ng balat;babae|babaeng nakatikwas ang kamay|babaeng nakatikwas ang kamay: katamtamang light na kulay ng balat|katamtamang light na kulay ng balat|nakakumpas|nakatikwas
	💁🏽‍♀️;babaeng nakatikwas ang kamay: katamtamang kulay ng balat;babae|babaeng nakatikwas ang kamay|babaeng nakatikwas ang kamay: katamtamang kulay ng balat|katamtamang kulay ng balat|nakakumpas|nakatikwas
	💁🏾‍♀️;babaeng nakatikwas ang kamay: katamtamang dark na kulay ng balat;babae|babaeng nakatikwas ang kamay|babaeng nakatikwas ang kamay: katamtamang dark na kulay ng balat|katamtamang dark na kulay ng balat|nakakumpas|nakatikwas
	💁🏿‍♀️;babaeng nakatikwas ang kamay: dark na kulay ng balat;babae|babaeng nakatikwas ang kamay|babaeng nakatikwas ang kamay: dark na kulay ng balat|dark na kulay ng balat|nakakumpas|nakatikwas
🙋;masayang tao na nakataas ang kamay;gesture|kamay|masaya|masayang tao na nakataas ang kamay|nakataas ang kamay
	🙋🏻;masayang tao na nakataas ang kamay: light na kulay ng balat;gesture|kamay|light na kulay ng balat|masaya|masayang tao na nakataas ang kamay|masayang tao na nakataas ang kamay: light na kulay ng balat|nakataas ang kamay
	🙋🏼;masayang tao na nakataas ang kamay: katamtamang light na kulay ng balat;gesture|kamay|katamtamang light na kulay ng balat|masaya|masayang tao na nakataas ang kamay|masayang tao na nakataas ang kamay: katamtamang light na kulay ng balat|nakataas ang kamay
	🙋🏽;masayang tao na nakataas ang kamay: katamtamang kulay ng balat;gesture|kamay|katamtamang kulay ng balat|masaya|masayang tao na nakataas ang kamay|masayang tao na nakataas ang kamay: katamtamang kulay ng balat|nakataas ang kamay
	🙋🏾;masayang tao na nakataas ang kamay: katamtamang dark na kulay ng balat;gesture|kamay|katamtamang dark na kulay ng balat|masaya|masayang tao na nakataas ang kamay|masayang tao na nakataas ang kamay: katamtamang dark na kulay ng balat|nakataas ang kamay
	🙋🏿;masayang tao na nakataas ang kamay: dark na kulay ng balat;dark na kulay ng balat|gesture|kamay|masaya|masayang tao na nakataas ang kamay|masayang tao na nakataas ang kamay: dark na kulay ng balat|nakataas ang kamay
🙋‍♂️;lalaking nakataas ang kamay;lalaki|lalaking nakataas ang kamay|nakataas ang kamay
	🙋🏻‍♂️;lalaking nakataas ang kamay: light na kulay ng balat;lalaki|lalaking nakataas ang kamay|lalaking nakataas ang kamay: light na kulay ng balat|light na kulay ng balat|nakataas ang kamay
	🙋🏼‍♂️;lalaking nakataas ang kamay: katamtamang light na kulay ng balat;katamtamang light na kulay ng balat|lalaki|lalaking nakataas ang kamay|lalaking nakataas ang kamay: katamtamang light na kulay ng balat|nakataas ang kamay
	🙋🏽‍♂️;lalaking nakataas ang kamay: katamtamang kulay ng balat;katamtamang kulay ng balat|lalaki|lalaking nakataas ang kamay|lalaking nakataas ang kamay: katamtamang kulay ng balat|nakataas ang kamay
	🙋🏾‍♂️;lalaking nakataas ang kamay: katamtamang dark na kulay ng balat;katamtamang dark na kulay ng balat|lalaki|lalaking nakataas ang kamay|lalaking nakataas ang kamay: katamtamang dark na kulay ng balat|nakataas ang kamay
	🙋🏿‍♂️;lalaking nakataas ang kamay: dark na kulay ng balat;dark na kulay ng balat|lalaki|lalaking nakataas ang kamay|lalaking nakataas ang kamay: dark na kulay ng balat|nakataas ang kamay
🙋‍♀️;babaeng nakataas ang kamay;babae|babaeng nakataas ang kamay|nakataas ang kamay
	🙋🏻‍♀️;babaeng nakataas ang kamay: light na kulay ng balat;babae|babaeng nakataas ang kamay|babaeng nakataas ang kamay: light na kulay ng balat|light na kulay ng balat|nakataas ang kamay
	🙋🏼‍♀️;babaeng nakataas ang kamay: katamtamang light na kulay ng balat;babae|babaeng nakataas ang kamay|babaeng nakataas ang kamay: katamtamang light na kulay ng balat|katamtamang light na kulay ng balat|nakataas ang kamay
	🙋🏽‍♀️;babaeng nakataas ang kamay: katamtamang kulay ng balat;babae|babaeng nakataas ang kamay|babaeng nakataas ang kamay: katamtamang kulay ng balat|katamtamang kulay ng balat|nakataas ang kamay
	🙋🏾‍♀️;babaeng nakataas ang kamay: katamtamang dark na kulay ng balat;babae|babaeng nakataas ang kamay|babaeng nakataas ang kamay: katamtamang dark na kulay ng balat|katamtamang dark na kulay ng balat|nakataas ang kamay
	🙋🏿‍♀️;babaeng nakataas ang kamay: dark na kulay ng balat;babae|babaeng nakataas ang kamay|babaeng nakataas ang kamay: dark na kulay ng balat|dark na kulay ng balat|nakataas ang kamay
🧏;taong bingi;bingi|pagiging naa-access|pandinig|tainga|taong bingi
	🧏🏻;taong bingi: light na kulay ng balat;bingi|light na kulay ng balat|pagiging naa-access|pandinig|tainga|taong bingi|taong bingi: light na kulay ng balat
	🧏🏼;taong bingi: katamtamang light na kulay ng balat;bingi|katamtamang light na kulay ng balat|pagiging naa-access|pandinig|tainga|taong bingi|taong bingi: katamtamang light na kulay ng balat
	🧏🏽;taong bingi: katamtamang kulay ng balat;bingi|katamtamang kulay ng balat|pagiging naa-access|pandinig|tainga|taong bingi|taong bingi: katamtamang kulay ng balat
	🧏🏾;taong bingi: katamtamang dark na kulay ng balat;bingi|katamtamang dark na kulay ng balat|pagiging naa-access|pandinig|tainga|taong bingi|taong bingi: katamtamang dark na kulay ng balat
	🧏🏿;taong bingi: dark na kulay ng balat;bingi|dark na kulay ng balat|pagiging naa-access|pandinig|tainga|taong bingi|taong bingi: dark na kulay ng balat
🧏‍♂️;lalaking bingi;bingi|lalaki|lalaking bingi
	🧏🏻‍♂️;lalaking bingi: light na kulay ng balat;bingi|lalaki|lalaking bingi|lalaking bingi: light na kulay ng balat|light na kulay ng balat
	🧏🏼‍♂️;lalaking bingi: katamtamang light na kulay ng balat;bingi|katamtamang light na kulay ng balat|lalaki|lalaking bingi|lalaking bingi: katamtamang light na kulay ng balat
	🧏🏽‍♂️;lalaking bingi: katamtamang kulay ng balat;bingi|katamtamang kulay ng balat|lalaki|lalaking bingi|lalaking bingi: katamtamang kulay ng balat
	🧏🏾‍♂️;lalaking bingi: katamtamang dark na kulay ng balat;bingi|katamtamang dark na kulay ng balat|lalaki|lalaking bingi|lalaking bingi: katamtamang dark na kulay ng balat
	🧏🏿‍♂️;lalaking bingi: dark na kulay ng balat;bingi|dark na kulay ng balat|lalaki|lalaking bingi|lalaking bingi: dark na kulay ng balat
🧏‍♀️;babaeng bingi;babae|babaeng bingi|bingi
	🧏🏻‍♀️;babaeng bingi: light na kulay ng balat;babae|babaeng bingi|babaeng bingi: light na kulay ng balat|bingi|light na kulay ng balat
	🧏🏼‍♀️;babaeng bingi: katamtamang light na kulay ng balat;babae|babaeng bingi|babaeng bingi: katamtamang light na kulay ng balat|bingi|katamtamang light na kulay ng balat
	🧏🏽‍♀️;babaeng bingi: katamtamang kulay ng balat;babae|babaeng bingi|babaeng bingi: katamtamang kulay ng balat|bingi|katamtamang kulay ng balat
	🧏🏾‍♀️;babaeng bingi: katamtamang dark na kulay ng balat;babae|babaeng bingi|babaeng bingi: katamtamang dark na kulay ng balat|bingi|katamtamang dark na kulay ng balat
	🧏🏿‍♀️;babaeng bingi: dark na kulay ng balat;babae|babaeng bingi|babaeng bingi: dark na kulay ng balat|bingi|dark na kulay ng balat
🙇;yumuyukong tao;paggalang|paghingi ng paumanhin|sorry|tao|yuko|yumuyuko|yumuyukong tao
	🙇🏻;yumuyukong tao: light na kulay ng balat;light na kulay ng balat|paggalang|paghingi ng paumanhin|sorry|tao|yuko|yumuyuko|yumuyukong tao|yumuyukong tao: light na kulay ng balat
	🙇🏼;yumuyukong tao: katamtamang light na kulay ng balat;katamtamang light na kulay ng balat|paggalang|paghingi ng paumanhin|sorry|tao|yuko|yumuyuko|yumuyukong tao|yumuyukong tao: katamtamang light na kulay ng balat
	🙇🏽;yumuyukong tao: katamtamang kulay ng balat;katamtamang kulay ng balat|paggalang|paghingi ng paumanhin|sorry|tao|yuko|yumuyuko|yumuyukong tao|yumuyukong tao: katamtamang kulay ng balat
	🙇🏾;yumuyukong tao: katamtamang dark na kulay ng balat;katamtamang dark na kulay ng balat|paggalang|paghingi ng paumanhin|sorry|tao|yuko|yumuyuko|yumuyukong tao|yumuyukong tao: katamtamang dark na kulay ng balat
	🙇🏿;yumuyukong tao: dark na kulay ng balat;dark na kulay ng balat|paggalang|paghingi ng paumanhin|sorry|tao|yuko|yumuyuko|yumuyukong tao|yumuyukong tao: dark na kulay ng balat
🙇‍♂️;lalaking nakayuko;lalaking nakayuko|nakayuko|paggalang|paumanhin|yumuyuko
	🙇🏻‍♂️;lalaking nakayuko: light na kulay ng balat;lalaking nakayuko|lalaking nakayuko: light na kulay ng balat|light na kulay ng balat|nakayuko|paggalang|paumanhin|yumuyuko
	🙇🏼‍♂️;lalaking nakayuko: katamtamang light na kulay ng balat;katamtamang light na kulay ng balat|lalaking nakayuko|lalaking nakayuko: katamtamang light na kulay ng balat|nakayuko|paggalang|paumanhin|yumuyuko
	🙇🏽‍♂️;lalaking nakayuko: katamtamang kulay ng balat;katamtamang kulay ng balat|lalaking nakayuko|lalaking nakayuko: katamtamang kulay ng balat|nakayuko|paggalang|paumanhin|yumuyuko
	🙇🏾‍♂️;lalaking nakayuko: katamtamang dark na kulay ng balat;katamtamang dark na kulay ng balat|lalaking nakayuko|lalaking nakayuko: katamtamang dark na kulay ng balat|nakayuko|paggalang|paumanhin|yumuyuko
	🙇🏿‍♂️;lalaking nakayuko: dark na kulay ng balat;dark na kulay ng balat|lalaking nakayuko|lalaking nakayuko: dark na kulay ng balat|nakayuko|paggalang|paumanhin|yumuyuko
🙇‍♀️;babaeng nakayuko;babaeng nakayuko|nakayuko|paggalang|paumanhin|yumuyuko
	🙇🏻‍♀️;babaeng nakayuko: light na kulay ng balat;babaeng nakayuko|babaeng nakayuko: light na kulay ng balat|light na kulay ng balat|nakayuko|paggalang|paumanhin|yumuyuko
	🙇🏼‍♀️;babaeng nakayuko: katamtamang light na kulay ng balat;babaeng nakayuko|babaeng nakayuko: katamtamang light na kulay ng balat|katamtamang light na kulay ng balat|nakayuko|paggalang|paumanhin|yumuyuko
	🙇🏽‍♀️;babaeng nakayuko: katamtamang kulay ng balat;babaeng nakayuko|babaeng nakayuko: katamtamang kulay ng balat|katamtamang kulay ng balat|nakayuko|paggalang|paumanhin|yumuyuko
	🙇🏾‍♀️;babaeng nakayuko: katamtamang dark na kulay ng balat;babaeng nakayuko|babaeng nakayuko: katamtamang dark na kulay ng balat|katamtamang dark na kulay ng balat|nakayuko|paggalang|paumanhin|yumuyuko
	🙇🏿‍♀️;babaeng nakayuko: dark na kulay ng balat;babaeng nakayuko|babaeng nakayuko: dark na kulay ng balat|dark na kulay ng balat|nakayuko|paggalang|paumanhin|yumuyuko
🤦;naka-facepalm;di makapaniwala|mukha|naka-facepalm|palad
	🤦🏻;naka-facepalm: light na kulay ng balat;di makapaniwala|light na kulay ng balat|mukha|naka-facepalm|naka-facepalm: light na kulay ng balat|palad
	🤦🏼;naka-facepalm: katamtamang light na kulay ng balat;di makapaniwala|katamtamang light na kulay ng balat|mukha|naka-facepalm|naka-facepalm: katamtamang light na kulay ng balat|palad
	🤦🏽;naka-facepalm: katamtamang kulay ng balat;di makapaniwala|katamtamang kulay ng balat|mukha|naka-facepalm|naka-facepalm: katamtamang kulay ng balat|palad
	🤦🏾;naka-facepalm: katamtamang dark na kulay ng balat;di makapaniwala|katamtamang dark na kulay ng balat|mukha|naka-facepalm|naka-facepalm: katamtamang dark na kulay ng balat|palad
	🤦🏿;naka-facepalm: dark na kulay ng balat;dark na kulay ng balat|di makapaniwala|mukha|naka-facepalm|naka-facepalm: dark na kulay ng balat|palad
🤦‍♂️;lalaking naka-facepalm;facepalm|lalaki|lalaking naka-facepalm|palad
	🤦🏻‍♂️;lalaking naka-facepalm: light na kulay ng balat;facepalm|lalaki|lalaking naka-facepalm|lalaking naka-facepalm: light na kulay ng balat|light na kulay ng balat|palad
	🤦🏼‍♂️;lalaking naka-facepalm: katamtamang light na kulay ng balat;facepalm|katamtamang light na kulay ng balat|lalaki|lalaking naka-facepalm|lalaking naka-facepalm: katamtamang light na kulay ng balat|palad
	🤦🏽‍♂️;lalaking naka-facepalm: katamtamang kulay ng balat;facepalm|katamtamang kulay ng balat|lalaki|lalaking naka-facepalm|lalaking naka-facepalm: katamtamang kulay ng balat|palad
	🤦🏾‍♂️;lalaking naka-facepalm: katamtamang dark na kulay ng balat;facepalm|katamtamang dark na kulay ng balat|lalaki|lalaking naka-facepalm|lalaking naka-facepalm: katamtamang dark na kulay ng balat|palad
	🤦🏿‍♂️;lalaking naka-facepalm: dark na kulay ng balat;dark na kulay ng balat|facepalm|lalaki|lalaking naka-facepalm|lalaking naka-facepalm: dark na kulay ng balat|palad
🤦‍♀️;babaeng naka-facepalm;babae|babaeng naka-facepalm|facepalm|palad
	🤦🏻‍♀️;babaeng naka-facepalm: light na kulay ng balat;babae|babaeng naka-facepalm|babaeng naka-facepalm: light na kulay ng balat|facepalm|light na kulay ng balat|palad
	🤦🏼‍♀️;babaeng naka-facepalm: katamtamang light na kulay ng balat;babae|babaeng naka-facepalm|babaeng naka-facepalm: katamtamang light na kulay ng balat|facepalm|katamtamang light na kulay ng balat|palad
	🤦🏽‍♀️;babaeng naka-facepalm: katamtamang kulay ng balat;babae|babaeng naka-facepalm|babaeng naka-facepalm: katamtamang kulay ng balat|facepalm|katamtamang kulay ng balat|palad
	🤦🏾‍♀️;babaeng naka-facepalm: katamtamang dark na kulay ng balat;babae|babaeng naka-facepalm|babaeng naka-facepalm: katamtamang dark na kulay ng balat|facepalm|katamtamang dark na kulay ng balat|palad
	🤦🏿‍♀️;babaeng naka-facepalm: dark na kulay ng balat;babae|babaeng naka-facepalm|babaeng naka-facepalm: dark na kulay ng balat|dark na kulay ng balat|facepalm|palad
🤷;nagkikibit-balikat;di-alam|nagkikibit-balikat|nagtataka|shrug|walang pakialam
	🤷🏻;nagkikibit-balikat: light na kulay ng balat;di-alam|light na kulay ng balat|nagkikibit-balikat|nagkikibit-balikat: light na kulay ng balat|nagtataka|shrug|walang pakialam
	🤷🏼;nagkikibit-balikat: katamtamang light na kulay ng balat;di-alam|katamtamang light na kulay ng balat|nagkikibit-balikat|nagkikibit-balikat: katamtamang light na kulay ng balat|nagtataka|shrug|walang pakialam
	🤷🏽;nagkikibit-balikat: katamtamang kulay ng balat;di-alam|katamtamang kulay ng balat|nagkikibit-balikat|nagkikibit-balikat: katamtamang kulay ng balat|nagtataka|shrug|walang pakialam
	🤷🏾;nagkikibit-balikat: katamtamang dark na kulay ng balat;di-alam|katamtamang dark na kulay ng balat|nagkikibit-balikat|nagkikibit-balikat: katamtamang dark na kulay ng balat|nagtataka|shrug|walang pakialam
	🤷🏿;nagkikibit-balikat: dark na kulay ng balat;dark na kulay ng balat|di-alam|nagkikibit-balikat|nagkikibit-balikat: dark na kulay ng balat|nagtataka|shrug|walang pakialam
