[smileys_emotion]
😀;aodann le gàire;aodann|aodann le gàire|fiamh-ghàire|gàire
😃;aodann le gàire is sùilean fosgailte;aodann|aodann le gàire is sùilean fosgailte|beul|fiamh-ghàire|fosgailte
😄;aodann le gàire na shùilean;aodann|aodann le gàire na shùilean|beul|fiamh-ghàire|fosgailte|sùil
😁;aodann le gàire mhòr;aodann|aodann le gàire mhòr|fiamh-ghàire|sùil
😆;aodann caog-shùileach le gàire;aodann|aodann caog-shùileach le gàire|beul|fiamh-ghàire|fosgailte|gàire|sàsaichte
😅;aodann le gàire a’ cur fallas;aodann|aodann le gàire a’ cur fallas|fallas|fiamh-ghàire|fosgailte|fuar
🤣;a’ ruidhleadh air an làr a’ gàireachdainn;a’ ruidhleadh air an làr a’ gàireachdainn|aodann|gàire|gàireachdainn|làr|roladh|ruidhleadh
😂;aodann le deòir shona;aodann|aodann le deòir shona|deur|gàire|sona
🙂;aodann le fiamh gàire beag;aodann|aodann le fiamh gàire beag|fiamh-ghàire
🙃;aodann bun os cionn;aodann|aodann bun os cionn|bun os cionn
🫠;aodann a’ leaghadh;aodann a’ leaghadh|dol à sealladh|leagh|leaghadh|lionnach|rach à sealladh
😉;aodann le sùil bheag;aodann|aodann le sùil bheag|priobadh|sùil bheag
😊;aodann le gàire agus sùilean toilichte;aodann|aodann le gàire agus sùilean toilichte|fiamh-ghàire|ruadhadh|sùil
😇;aodann le gàire agus riomball;aingeal|aodann|aodann le gàire agus riomball|fantastach|faoinsgeul|fiamh-ghàire|neoichiontach|riomball
🥰;aodann le fiamh-ghàire is cridheachan;ann an gaol|aodann le fiamh-ghàire is cridheachan|gaol|sùil mhòr ort|trom-ghràdh
😍;aodann le gàire ⁊ sùilean nan cridheachan;aodann|aodann le gàire ⁊ sùilean nan cridheachan|aodann le gàire agus sùilean nan cridheachan|cridhe|fiamh-ghàire|gaol|sùil
🤩;aodann toilichte le rionnagan na shùilean;aodann|aodann toilichte le rionnagan na shùilean|fiamh-ghàire|rionnag|sùilean
😘;aodann a’ caitheamh pòg;aodann|aodann a’ caitheamh pòg|pòg
😗;aodann pòige;aodann|aodann pòige|pòg
☺️;aodann le fiamh-ghàire;aodann|aodann le fiamh-ghàire|fiamh-ghàire|oir-loidhne|socair
😚;aodann a’ pògadh le sùilean dùinte;aodann|aodann a’ pògadh le sùilean dùinte|dùinte|pòg|sùil
😙;aodann a’ pògadh le sùilean toilichte;aodann|aodann a’ pògadh le sùilean toilichte|fiamh-ghàire|pòg|sùil
🥲;aodann le fiamh-ghàire is deur;aodann le fiamh-ghàire is deur|deòir|deur|faochadh|fiamh-ghàire beag|moiteil|pròiseil|taingeil
😋;aodann ag ithe biadh blasta;aodann|aodann ag ithe biadh blasta|biadh|blasta|fiamh-ghàire|math
😛;aodann a’ cur a-mach na teanga;aodann|aodann a’ cur a-mach na teanga|teanga
😜;aodann le theanga a-mach ⁊ sùil bheag;aodann|aodann le theanga a-mach ⁊ sùil bheag|aodann le theanga a-mach agus sùil bheag|fealla-dhà|priobadh|sùil|sùil bheag|teanga
🤪;aodann às a rian;aodann às a rian|beag|mòr|sùil
😝;aodann caog-shùileach le theanga a-mach;aodann|aodann caog-shùileach le theanga a-mach|blas|sùil|teanga|uabhasach
🤑;aodann le sùilean is teanga airgid;airgead|aodann|aodann le sùilean is teanga airgid|beul
🤗;aodann a’ pasgadh gàirdeanan timcheall;aodann|aodann a’ pasgadh gàirdeanan timcheall|gàirdeanan|pasgadh|timcheall
🤭;aodann le làmh air a beul;aodann le làmh air a beul|oich
🫢;aodann le sùilean fosgailte ⁊ làmh air beul;aodann le sùilean fosgailte ⁊ làmh air beul|aodann le sùilean fosgailte agus làmh air beul|clisg|eagal|iongantach|iongnadh|nàire
🫣;aodann le sùil a’ dìdeadh;aodann le sùil a’ dìdeadh|beò-ghlacte|dìdeach|dìdeil|fàthadaireachd|spleuchd
🤫;aodann “Ist!”;aodann “Ist!”|ist|sàmhach|tost
🤔;aodann ri smaoineachadh;aodann|aodann ri smaoineachadh|smaoineachadh
🫡;aodann ag altachadh;aidh|altachadh|aodann ag altachadh|arm|ceart ma-thà|feachd|grianach
🤐;aodann le bilean seulaichte;aodann|aodann le bilean seulaichte|beul|bilean|seulaichte
🤨;aodann le mala togta;aodann le mala togta|dì-earbsa|teagamh|teagamhaiche
😐;aodann gun fhiamh;aodann|aodann gun fhiamh|bàn|gun fhaireachdainn|gun fhiamh
😑;aodann gun fhaireachdainn;aodann|aodann gun fhaireachdainn|bàn|gun fhaireachdainn|gun fhiamh
😶;aodann gun bheul;aodann|aodann gun bheul|beul|sàmhach|tost
🫥;aodann le loidhne dhotagach;aodann le loidhne dhotagach|dol à sealladh|falach|falaich|lionn-dubh|neo-fhaicsinneach|neo-fhosgarra|rach à sealladh|trom-inntinn
😶‍🌫️;aodan sna neòil;air seachran|ann an ceò|aodan sna neòil
😏;aodann le plìonas;aodann|aodann le plìonas|plìonas
😒;aodann nuair nach eil e èibhinn;aodann|aodann nuair nach eil e èibhinn|mì-thoilichte
🙄;aodann a’ casadh nan sùilean;aodann|aodann a’ casadh nan sùilean|casadh|sùilean
😬;aodann le drèin air;aodann|aodann le drèin air|drèin
😮‍💨;aodan a’ leigeil anail;anail|aodan a’ leigeil anail|cagar|cnead|cogar|faochadh|fead|leig anail|leig d’ anail|leigeil anail|plosg
🤥;aodann nam breug;aodann|aodann nam breug|breug|pinocchio
🫨;aodann le crathadh air;aodann|aodann le crathadh air|clisgeadh|crath|crathadh|crith|crith-talmhainn
🙂‍↔️;crathadh-cinn;àicheadh|an aghaidh|chan eil|còmhnard|crathadh|crathadh-cinn
🙂‍↕️;cromadh-cinn;air a shon|aontachadh|crathadh|crathadh-cinn|cromadh|cromadh-cinn|inghearach|tha
😌;aodann a fhuair faochadh;aodann|aodann a fhuair faochadh|faochadh
😔;aodann fo throm-smuain;aodann|aodann fo throm-smuain|sprochd|throm-smuain|trom-inntinneach
😪;aodann cadalach;aodann|aodann cadalach|cadal
🤤;aodann a’ sileadh sglongaid;aodann|aodann a’ sileadh sglongaid|sglongaid|sileadh
😴;aodann na chadal;aodann|aodann na chadal|cadal|zzz
😷;aodann le masg dotair air;aodann|aodann le masg dotair air|bochd|dotair|fuar|leigheas|lighiche|masg|tinn
🤒;aodann le teas-mheidh;aodann|aodann le teas-mheidh|bochd|teas-mheidh|tinn
🤕;aodann le clobhd air a’ cheann;aodann|aodann le clobhd air a’ cheann|clobhd|leòinte|leònta
🤢;aodann sgreamha;aodann|aodann sgreamha|cur a-mach|sgreamh
🤮;aodann a’ cur a-mach;aodann a’ cur a-mach|bochd|cuir a-mach|cur a-mach|tinn
🤧;aodann ri sreothairt;aodann|aodann ri sreothairt|dia leat|sreothairt
🥵;aodann teth;a’ cur fallas|aodann dearg|aodann teth|fallas|fiabhras|teas|teth
🥶;aodann fuar;aodann fuar|aodann ghorm|deigh|eigheanach|eighreachadh|eighrich|fuar|reòite
🥴;aodann misgeach;aodann misgeach|daorach|froighleach|misg|smoid|smoideag|smùid|smùideag|stealladh|tuaineal
😵;aodann na thuaineal;aodann|aodann na thuaineal|tuaineal
😵‍💫;aodann le sùilean snìomhanach;aodann le sùilean snìomhanach|ceann na cheò|luairean|snìomh|suainealachadh|suainealaich|trioblaid|tuainealach
🤯;ceann a’ spreadhadh;annas|ceann a’ spreadhadh
🤠;aodann le ad cowboy;ad|aodann|aodann le ad cowboy|cowboy|cowgirl
🥳;aodann aig pàrtaidh;ad|aodann aig pàrtaidh|cèilidh|comharrachadh|dùdag|pàrtaidh
🥸;aodann le riochd air;aodann|aodann le riochd air|incognito|riochd|speuclairean|sròn
😎;aodann toilichte le speuclairean-grèine;aodann|aodann toilichte le speuclairean-grèine|fiamh-ghàire|gasta|grian|smodaig|soilleir|speuclairean|speuclairean-grèine|sùil
🤓;aodann gìog;aodann|gìog
🧐;aodann le leth-speuclair;aodann le leth-speuclair|seann-fhasanta
😕;aodann tro chèile;aodann|aodann tro chèile|tro chèile
🫤;aodann le beul trastanach;ana-chreideamhach|aodann le beul trastanach|às-chreideamhach|briseadh dùil|mì-chreideamhach|neo-chinnteach|teagmhach
😟;aodann fo dhragh;aodann|aodann fo dhragh|dragh
🙁;aodann le fiamh drèin beag;aodann|aodann le fiamh drèin beag|drèin
☹️;aodann le fiamh drèin;aodann|aodann le fiamh drèin|drèin
😮;aodann le beul fosgailte;aodann|aodann le beul fosgailte|beul|co-fhulangas|fosgailte|truaghas|truas
😯;aodann iongnaidh le sùilean fosgailte;aodann|aodann iongnaidh le sùilean fosgailte|iongnadh|tost
😲;aodann a ghabh mòr-iongnadh;annas|aodann|aodann a ghabh mòr-iongnadh|gu tur|iongnadh
😳;aodann air ruadhadh;aodann|aodann air ruadhadh|ruadhadh
🥺;aodann tagrach;aodann tagrach|faoighe|grìos|grìosadh|gur|guradh
🥹;aodann le deòir na sùil;aodann le deòir na sùil|brònach|feargach|moiteil|rànail|strì
😦;aodann le drèin is beul fosgailte;aodann|aodann le drèin is beul fosgailte|beul|drèin|fosgailte
😧;aodann àmhghair;àmhghar|aodann|aodann àmhghair
😨;aodann fo eagal;an t-eagal air|aodann|aodann fo eagal|eagal|eagalach
😰;aodann le beul fosgailte a’ cur fallas;aodann|aodann le beul fosgailte a’ cur fallas|beul|cabhag|fallas|fosgailte|fuar|gorm
😥;aodann a fhuair briseadh-dùil ⁊ faochadh;aodann|aodann a fhuair briseadh-dùil ⁊ faochadh|aodann a fhuair briseadh-dùil agus faochadh|briseadh-dùil|faochadh
😢;aodann a’ caoineadh;aodann a’ caoineadh|brònach|caoineadh|deur
😭;aodann a’ rànaich;aodann a’ rànaich|brònach|caoineadh|deur|gal|rànaich
😱;aodann a’ leigeil sgreuch eagail;an t-eagal air|aodann|aodann a’ leigeil sgreuch eagail|eagal|eagalach|munch|sgread|sgreuch
😖;aodann am breislich;aodann|aodann am breislich|breisleach
😣;aodann rag;aodann|rag
😞;aodann a fhuair briseadh-dùil;aodann|aodann a fhuair briseadh-dùil|briseadh-dùil
😓;aodann a’ cur fallas fuar;aodann|aodann a’ cur fallas fuar|fallas|fuar
😩;aodann air chlaoidh;aodann|aodann air chlaoidh|claoidh|sgìth
😫;aodann sgìth;aodann|sgìth
🥱;aodann a’ mèananaich;aodann a’ mèananaich|dòrainneach|fadal|mèalanaich|mèanan|mèananaich|mèaran|mèaranaich|ràsanach|sàraichte|sgìth
😤;aodann le toit às a chuinneanan;aodann|aodann le toit às a chuinneanan|bhuannaich|buaidh
😡;aodann busach;aodann|busach|dearg|fearg|feargach
😠;aodann feargach;aodann|feargach
🤬;aodann le samhlaidhean air a beul;aodann le samhlaidhean air a beul|mionnachadh
😈;aodann le gàire agus adharcan;adharcan|aodann|aodann le gàire agus adharcan|fantastach|faoinsgeul|fiamh-ghàire
👿;aodann feargach le adharcan;aodann|aodann feargach le adharcan|deamhan|diabhal|fantastach|faoinsgeul
💀;claigeann;aodann|bàs|claigeann|faoinsgeul|uilebheist
☠️;claigeann le cnàmhan;aodann|bàs|claigeann|claigeann le cnàmhan|cnàmhan|uilebheist
💩;càrn cac;aodann|bab|cac|càrn cac|dealbh-èibhinn|sgigean|uilebheist
🤡;aodann tuaisteir;aodann|aodann tuaisteir|tuaistear
👹;diabhal Seapanach;aodann|creutair|diabhal Seapanach|fantastach|faoinsgeul|uilebheist
👺;bòcan Seapanach;aodann|bòcan Seapanach|creutair|fantastach|faoinsgeul|uilebheist
👻;taibhse;aodann|creutair|fantastach|faoinsgeul|taibhse|uilebheist
👽;creutair neo-thalmhaidh;aodann|creutair|creutair-fànais|fantastach|faoinsgeul|neo-thalmhaidh|ufo|uilebheist
👾;uilebheist neo-thalmhaidh;aodann|creutair|creutair-fànais|fantastach|faoinsgeul|neo-thalmhaidh|ufo|uilebheist
🤖;robotair;aodann|robotair|uilebheist
😺;cat le gàire;aodann|beul|cat|cat le gàire|fiamh-ghàire|fosgailte|gàire
😸;cat le gàire agus sùilean toilichte;aodann|cat|cat le gàire agus sùilean toilichte|fiamh-ghàire|gàire|sùil|toilichte
😹;cat le deòir shona;aodann|cat|cat le deòir shona|deòir|deur|sona
😻;cat le gàire agus sùilean an cumadh cridhe;aodann|cat|cat le gàire agus sùilean an cumadh cridhe|cridhe|fiamh-ghàire|gàire|gaol|sùil|sùilean
😼;cat le gàire cham;aodann|cam|cat|cat le gàire cham|fiamh-ghàire|ìoranta
😽;cat a’ pògadh;aodann|cat|cat a’ pògadh|pòg|pògadh|sùil
🙀;cat air chlaoidh;aodann|cat|cat air chlaoidh|claoidh|iongnadh|ò|sgìth
😿;cat a’ caoineadh;brònach|caoineadh|cat|cat a’ caoineadh|deòir|deur
😾;cat busach;aodann|busach|cat
🙈;muncaidh nach fhaic olc;àicheadh|aodann|diùltadh|faic|faicinn|gluasad|muncaidh|muncaidh nach fhaic olc|olc|toirmisgte
🙉;muncaidh nach cluinn olc;àicheadh|aodann|cluinn|cluinntinn|diùltadh|gluasad|muncaidh|muncaidh nach cluinn olc|olc|toirmisgte
🙊;muncaidh nach can olc;àicheadh|aodann|bruidhinn|can|diùltadh|gluasad|muncaidh|muncaidh nach can olc|olc|toirmisgte
💌;litir gaoil;cridhe|gaol|litir|litir gaoil|post
💘;cridhe le saighead;cridhe le saighead|cupaid|saighead
💝;cridhe le ribean;bhaileintin|cridhe le ribean|là nam pòg|ribean
💖;cridhe lainnireach;air bhioran|cridhe lainnireach|lainnir
💗;cridhe a’ fàs;air bhioran|cridhe a’ fàs|cuisle|cuisleachadh|cuislich|fàs|iomagaineach|nearbhasach
💓;cridhe a’ bualadh;bualadh|cridhe|cridhe a’ bualadh
💞;cridheachan a’ dol mun cuairt;cridheachan a’ dol mun cuairt|cuairt|dol mun cuairt
💕;dà chridhe;dà chridhe|gaol
💟;sgeadas cridhe;cridhe|sgeadas cridhe
❣️;clisg-phuing cridhe;!|clisg-phuing|comharra|cridhe|puingeachadh
💔;cridhe briste;briseadh|briste|cridhe briste
❤️‍🔥;cridhe air theine;connan|cridhe|cridhe air theine|cridhe naoimh|deòthas|drùis|gaol|gràdh|lasair|loisg|losgadh
❤️‍🩹;slànachadh cridhe;fallainn|feabhas|gu math|nas fhallainne|nas fheàrr|slàn|slànachadh cridhe
❤️;cridhe dearg;cridhe|cridhe dearg
🩷;crithe pinc;cridhe|crithe pinc|gaol|pinc|stampa|toil
🧡;cridhe orains;cridhe orains|orains
💛;cridhe buidhe;buidhe|cridhe buidhe
💚;cridhe uaine;cridhe uaine|uaine
💙;cridhe gorm;cridhe gorm|gorm
🩵;cridhe solleir-ghorm;crann-lach|cridhe|cridhe solleir-ghorm|saidhean|soilleir-ghorm
💜;cridhe purpaidh;cridhe purpaidh|purpaidh
🤎;cridhe donn;cridhe|donn
🖤;cridhe dubh;cridhe dubh|dubh|olc
🩶;cridhe glas;airgead|cridhe|glas|liath|sgleat
🤍;cridhe geal;cridhe|geal
💋;làrach pòige;bilean|làrach pòige|pòg
💯;ceud puing;100|ceud|puing|sgòr|slàn
💢;samhla feirge;aodann|dealbh-èibhinn|feargach|samhla feirge
💥;bualadh ri chèile;bualadh ri chèile|dealbh-èibhinn|spreadhadh
💫;tuaineal;dealbh-èibhinn|rionnag|tuaineal
💦;boinneagan fallais;boinneag|boinneagan fallais|dealbh-èibhinn|fallas|splaiseadh
💨;a’ falbh nad dheann;a’ falbh nad dheann|dealbh-èibhinn|deann|luath|ruith
🕳️;toll;toll
💬;builgean còmhraidh;bailiùn|bruidhinn|builgean|builgean còmhraidh|cainnt|còmhradh|dealbh-èibhinn
👁️‍🗨️;sùil ann am builgean còmhraidh;builgean còmhraidh|fianais|sùil|sùil ann am builgean còmhraidh
🗨️;builgean còmhraidh dhan taobh chlì;bruidhinn|builgean còmhraidh dhan taobh chlì|cainnt|còmhradh
🗯️;builgean feirg dhan taobh deas;bailiùn|builgean|builgean feirg dhan taobh deas|feargach
💭;builgean smaoineachaidh;bailiùn|builgean|builgean smaoineachaidh|dealbh-èibhinn|smaoineachadh|smaointinn
💤;suain;cadal|dealbh-èibhinn|suain|zzz

[people_body]
👋;làmh a’ smèideadh;làmh|làmh a’ smèideadh|smèid|smèideadh
	👋🏻;làmh a’ smèideadh: tòna soilleir a’ chraicinn;làmh|làmh a’ smèideadh|làmh a’ smèideadh: tòna soilleir a’ chraicinn|smèid|smèideadh|tòna soilleir a’ chraicinn
	👋🏼;làmh a’ smèideadh: tòna meadhanach soilleir a’ chraicinn;làmh|làmh a’ smèideadh|làmh a’ smèideadh: tòna meadhanach soilleir a’ chraicinn|smèid|smèideadh|tòna meadhanach soilleir a’ chraicinn
	👋🏽;làmh a’ smèideadh: tòna meadhanach a’ chraicinn;làmh|làmh a’ smèideadh|làmh a’ smèideadh: tòna meadhanach a’ chraicinn|smèid|smèideadh|tòna meadhanach a’ chraicinn
	👋🏾;làmh a’ smèideadh: tòna meadhanach doilleir a’ chraicinn;làmh|làmh a’ smèideadh|làmh a’ smèideadh: tòna meadhanach doilleir a’ chraicinn|smèid|smèideadh|tòna meadhanach doilleir a’ chraicinn
	👋🏿;làmh a’ smèideadh: tòna doilleir a’ chraicinn;làmh|làmh a’ smèideadh|làmh a’ smèideadh: tòna doilleir a’ chraicinn|smèid|smèideadh|tòna doilleir a’ chraicinn
🤚;cùl làimhe air a thogail;cùl|cùl làimhe air a thogail|làmh|togail
	🤚🏻;cùl làimhe air a thogail: tòna soilleir a’ chraicinn;cùl|cùl làimhe air a thogail|cùl làimhe air a thogail: tòna soilleir a’ chraicinn|làmh|togail|tòna soilleir a’ chraicinn
	🤚🏼;cùl làimhe air a thogail: tòna meadhanach soilleir a’ chraicinn;cùl|cùl làimhe air a thogail|cùl làimhe air a thogail: tòna meadhanach soilleir a’ chraicinn|làmh|togail|tòna meadhanach soilleir a’ chraicinn
	🤚🏽;cùl làimhe air a thogail: tòna meadhanach a’ chraicinn;cùl|cùl làimhe air a thogail|cùl làimhe air a thogail: tòna meadhanach a’ chraicinn|làmh|togail|tòna meadhanach a’ chraicinn
	🤚🏾;cùl làimhe air a thogail: tòna meadhanach doilleir a’ chraicinn;cùl|cùl làimhe air a thogail|cùl làimhe air a thogail: tòna meadhanach doilleir a’ chraicinn|làmh|togail|tòna meadhanach doilleir a’ chraicinn
	🤚🏿;cùl làimhe air a thogail: tòna doilleir a’ chraicinn;cùl|cùl làimhe air a thogail|cùl làimhe air a thogail: tòna doilleir a’ chraicinn|làmh|togail|tòna doilleir a’ chraicinn
🖐️;làmh air a togail le corragan sìnte;corrag|làmh|làmh air a togail le corragan sìnte|meur|sìnte
	🖐🏻;làmh air a togail le corragan sìnte: tòna soilleir a’ chraicinn;corrag|làmh|làmh air a togail le corragan sìnte|làmh air a togail le corragan sìnte: tòna soilleir a’ chraicinn|meur|sìnte|tòna soilleir a’ chraicinn
	🖐🏼;làmh air a togail le corragan sìnte: tòna meadhanach soilleir a’ chraicinn;corrag|làmh|làmh air a togail le corragan sìnte|làmh air a togail le corragan sìnte: tòna meadhanach soilleir a’ chraicinn|meur|sìnte|tòna meadhanach soilleir a’ chraicinn
	🖐🏽;làmh air a togail le corragan sìnte: tòna meadhanach a’ chraicinn;corrag|làmh|làmh air a togail le corragan sìnte|làmh air a togail le corragan sìnte: tòna meadhanach a’ chraicinn|meur|sìnte|tòna meadhanach a’ chraicinn
	🖐🏾;làmh air a togail le corragan sìnte: tòna meadhanach doilleir a’ chraicinn;corrag|làmh|làmh air a togail le corragan sìnte|làmh air a togail le corragan sìnte: tòna meadhanach doilleir a’ chraicinn|meur|sìnte|tòna meadhanach doilleir a’ chraicinn
	🖐🏿;làmh air a togail le corragan sìnte: tòna doilleir a’ chraicinn;corrag|làmh|làmh air a togail le corragan sìnte|làmh air a togail le corragan sìnte: tòna doilleir a’ chraicinn|meur|sìnte|tòna doilleir a’ chraicinn
✋;làmh air a togail;5 àrd|còig àrd|làmh|làmh air a togail|taghta
	✋🏻;làmh air a togail: tòna soilleir a’ chraicinn;5 àrd|còig àrd|làmh|làmh air a togail|làmh air a togail: tòna soilleir a’ chraicinn|taghta|tòna soilleir a’ chraicinn
	✋🏼;làmh air a togail: tòna meadhanach soilleir a’ chraicinn;5 àrd|còig àrd|làmh|làmh air a togail|làmh air a togail: tòna meadhanach soilleir a’ chraicinn|taghta|tòna meadhanach soilleir a’ chraicinn
	✋🏽;làmh air a togail: tòna meadhanach a’ chraicinn;5 àrd|còig àrd|làmh|làmh air a togail|làmh air a togail: tòna meadhanach a’ chraicinn|taghta|tòna meadhanach a’ chraicinn
	✋🏾;làmh air a togail: tòna meadhanach doilleir a’ chraicinn;5 àrd|còig àrd|làmh|làmh air a togail|làmh air a togail: tòna meadhanach doilleir a’ chraicinn|taghta|tòna meadhanach doilleir a’ chraicinn
	✋🏿;làmh air a togail: tòna doilleir a’ chraicinn;5 àrd|còig àrd|làmh|làmh air a togail|làmh air a togail: tòna doilleir a’ chraicinn|taghta|tòna doilleir a’ chraicinn
🖖;beannachd muinntir Vulcan;beannachd muinntir Vulcan|corrag|làmh|meur|spock|vulcan
	🖖🏻;beannachd muinntir Vulcan: tòna soilleir a’ chraicinn;beannachd muinntir Vulcan|beannachd muinntir Vulcan: tòna soilleir a’ chraicinn|corrag|làmh|meur|spock|tòna soilleir a’ chraicinn|vulcan
	🖖🏼;beannachd muinntir Vulcan: tòna meadhanach soilleir a’ chraicinn;beannachd muinntir Vulcan|beannachd muinntir Vulcan: tòna meadhanach soilleir a’ chraicinn|corrag|làmh|meur|spock|tòna meadhanach soilleir a’ chraicinn|vulcan
	🖖🏽;beannachd muinntir Vulcan: tòna meadhanach a’ chraicinn;beannachd muinntir Vulcan|beannachd muinntir Vulcan: tòna meadhanach a’ chraicinn|corrag|làmh|meur|spock|tòna meadhanach a’ chraicinn|vulcan
	🖖🏾;beannachd muinntir Vulcan: tòna meadhanach doilleir a’ chraicinn;beannachd muinntir Vulcan|beannachd muinntir Vulcan: tòna meadhanach doilleir a’ chraicinn|corrag|làmh|meur|spock|tòna meadhanach doilleir a’ chraicinn|vulcan
	🖖🏿;beannachd muinntir Vulcan: tòna doilleir a’ chraicinn;beannachd muinntir Vulcan|beannachd muinntir Vulcan: tòna doilleir a’ chraicinn|corrag|làmh|meur|spock|tòna doilleir a’ chraicinn|vulcan
🫱;làmh ris an taobh deas;deas|làmh|làmh ris an taobh deas|taobh deas
	🫱🏻;làmh ris an taobh deas: tòna soilleir a’ chraicinn;deas|làmh|làmh ris an taobh deas|làmh ris an taobh deas: tòna soilleir a’ chraicinn|taobh deas|tòna soilleir a’ chraicinn
	🫱🏼;làmh ris an taobh deas: tòna meadhanach soilleir a’ chraicinn;deas|làmh|làmh ris an taobh deas|làmh ris an taobh deas: tòna meadhanach soilleir a’ chraicinn|taobh deas|tòna meadhanach soilleir a’ chraicinn
	🫱🏽;làmh ris an taobh deas: tòna meadhanach a’ chraicinn;deas|làmh|làmh ris an taobh deas|làmh ris an taobh deas: tòna meadhanach a’ chraicinn|taobh deas|tòna meadhanach a’ chraicinn
	🫱🏾;làmh ris an taobh deas: tòna meadhanach doilleir a’ chraicinn;deas|làmh|làmh ris an taobh deas|làmh ris an taobh deas: tòna meadhanach doilleir a’ chraicinn|taobh deas|tòna meadhanach doilleir a’ chraicinn
	🫱🏿;làmh ris an taobh deas: tòna doilleir a’ chraicinn;deas|làmh|làmh ris an taobh deas|làmh ris an taobh deas: tòna doilleir a’ chraicinn|taobh deas|tòna doilleir a’ chraicinn
🫲;làmh ris an taobh chlì;clì|làmh|làmh ris an taobh chlì|taobh clì
	🫲🏻;làmh ris an taobh chlì: tòna soilleir a’ chraicinn;clì|làmh|làmh ris an taobh chlì|làmh ris an taobh chlì: tòna soilleir a’ chraicinn|taobh clì|tòna soilleir a’ chraicinn
	🫲🏼;làmh ris an taobh chlì: tòna meadhanach soilleir a’ chraicinn;clì|làmh|làmh ris an taobh chlì|làmh ris an taobh chlì: tòna meadhanach soilleir a’ chraicinn|taobh clì|tòna meadhanach soilleir a’ chraicinn
	🫲🏽;làmh ris an taobh chlì: tòna meadhanach a’ chraicinn;clì|làmh|làmh ris an taobh chlì|làmh ris an taobh chlì: tòna meadhanach a’ chraicinn|taobh clì|tòna meadhanach a’ chraicinn
	🫲🏾;làmh ris an taobh chlì: tòna meadhanach doilleir a’ chraicinn;clì|làmh|làmh ris an taobh chlì|làmh ris an taobh chlì: tòna meadhanach doilleir a’ chraicinn|taobh clì|tòna meadhanach doilleir a’ chraicinn
	🫲🏿;làmh ris an taobh chlì: tòna doilleir a’ chraicinn;clì|làmh|làmh ris an taobh chlì|làmh ris an taobh chlì: tòna doilleir a’ chraicinn|taobh clì|tòna doilleir a’ chraicinn
🫳;làmh le a bas sìos;cut|dàrna taobh|làmh le a bas sìos|leig às|leig seachad|leigeil às
	🫳🏻;làmh le a bas sìos: tòna soilleir a’ chraicinn;cut|dàrna taobh|làmh le a bas sìos|làmh le a bas sìos: tòna soilleir a’ chraicinn|leig às|leig seachad|leigeil às|tòna soilleir a’ chraicinn
	🫳🏼;làmh le a bas sìos: tòna meadhanach soilleir a’ chraicinn;cut|dàrna taobh|làmh le a bas sìos|làmh le a bas sìos: tòna meadhanach soilleir a’ chraicinn|leig às|leig seachad|leigeil às|tòna meadhanach soilleir a’ chraicinn
	🫳🏽;làmh le a bas sìos: tòna meadhanach a’ chraicinn;cut|dàrna taobh|làmh le a bas sìos|làmh le a bas sìos: tòna meadhanach a’ chraicinn|leig às|leig seachad|leigeil às|tòna meadhanach a’ chraicinn
	🫳🏾;làmh le a bas sìos: tòna meadhanach doilleir a’ chraicinn;cut|dàrna taobh|làmh le a bas sìos|làmh le a bas sìos: tòna meadhanach doilleir a’ chraicinn|leig às|leig seachad|leigeil às|tòna meadhanach doilleir a’ chraicinn
	🫳🏿;làmh le a bas sìos: tòna doilleir a’ chraicinn;cut|dàrna taobh|làmh le a bas sìos|làmh le a bas sìos: tòna doilleir a’ chraicinn|leig às|leig seachad|leigeil às|tòna doilleir a’ chraicinn
🫴;làmh le a bas suas;glac|làmh le a bas suas|smèid|tairgse|tairgsinn|thig|tiugainn
	🫴🏻;làmh le a bas suas: tòna soilleir a’ chraicinn;glac|làmh le a bas suas|làmh le a bas suas: tòna soilleir a’ chraicinn|smèid|tairgse|tairgsinn|thig|tiugainn|tòna soilleir a’ chraicinn
	🫴🏼;làmh le a bas suas: tòna meadhanach soilleir a’ chraicinn;glac|làmh le a bas suas|làmh le a bas suas: tòna meadhanach soilleir a’ chraicinn|smèid|tairgse|tairgsinn|thig|tiugainn|tòna meadhanach soilleir a’ chraicinn
	🫴🏽;làmh le a bas suas: tòna meadhanach a’ chraicinn;glac|làmh le a bas suas|làmh le a bas suas: tòna meadhanach a’ chraicinn|smèid|tairgse|tairgsinn|thig|tiugainn|tòna meadhanach a’ chraicinn
	🫴🏾;làmh le a bas suas: tòna meadhanach doilleir a’ chraicinn;glac|làmh le a bas suas|làmh le a bas suas: tòna meadhanach doilleir a’ chraicinn|smèid|tairgse|tairgsinn|thig|tiugainn|tòna meadhanach doilleir a’ chraicinn
	🫴🏿;làmh le a bas suas: tòna doilleir a’ chraicinn;glac|làmh le a bas suas|làmh le a bas suas: tòna doilleir a’ chraicinn|smèid|tairgse|tairgsinn|thig|tiugainn|tòna doilleir a’ chraicinn
🫷;làmh a’ putadh dhan taobh chlì;5 àrd|còig àrd|diùlt|fuirich|làmh a’ putadh dhan taobh chlì|mol|put|ris an taobh chlì|stad
