# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;широко улыбается;лицо|радость|счастье|улыбка|широкая улыбка|широко улыбается
😃;смеется;лицо|радость|рот|смеется|смех|улыбка
😄;смеется с закрытыми глазами;закрытые глаза|радость|смеется с закрытыми глазами|смех|улыбка с закрытыми глазами
😁;светится от счастья;зубы|светится от счастья|счастливое лицо|улыбающиеся глаза|широкая улыбка
😆;смеется с прищуренными глазами;прищуренные глаза|смеется с закрытыми глазами|смеется с прищуренными глазами|смех|смех с прищуренными глазами
😅;нервно смеется;нервно смеется|нервный смех|облегчение|пот|холодный пот
🤣;катается со смеху;rofl|катается со смеху|кататься от хохота|смех|смеяться
😂;смеется до слез;лицо|радость|слезы|смеется до слез|смех|смех до слез
🙂;слегка улыбается;легкая улыбка|лицо|радость|слегка улыбается|улыбка|хорошо
🙃;вверх тормашками;вверх|вверх тормашками|лицо|ногами|перевернутое
🫠;тает;жидкое|исчезает|плавится|растворяется|тает
😉;подмигивает;глаз|лицо|мигать|подмигивает|подмигивать|прищур
😊;довольно улыбается;глаза|довольно улыбается|лицо|румянец|улыбка|щеки
😇;с нимбом;ангел|лицо|невинность|с нимбом|святость|сказка
🥰;улыбающееся лицо с сердечками;влюбленность|влюбленный|сердечки|улыбающееся лицо с сердечками|улыбка с сердечками
😍;влюбленное лицо;влюбленное лицо|глаза|лицо|любовь|сердце|чувства
🤩;звезды в глазах;звезды|звезды в глазах|радость|смеяться|улыбка
😘;воздушный поцелуй;воздушный|воздушный поцелуй|любовь|отправляет воздушный поцелуй|сердечко|целует|целую
😗;целует;лицо|любовь|поцелуй|целует
☺️;улыбается;довольный|лицо|смайлик|счастье|улыбается|улыбка|хорошо
😚;целует с закрытыми глазами;глаза|закрытые|лицо|поцелуй|поцелуй с закрытыми глазами|целует с закрытыми глазами
😙;счастливый поцелуй;глаза|лицо|поцелуй|счастливый поцелуй|улыбка
🥲;улыбающееся лицо со слезой;гордость|признательность|слеза|трогательный|улыбающееся лицо со слезой|улыбка
😋;вкусно;вкус|вкусно|еда|пища|смак
😛;показывает язык;дразнит|лицо|показывает язык|хитрый|язык
😜;показывает язык и подмигивает;лицо|подмигивание|подтрунивание|показывает язык и подмигивает|розыгрыш|язык
🤪;сумасшедшее лицо;большой|глаз|кривой|лицо|маленький|рожа|сумасшедшее лицо
😝;морщится и показывает язык;гадость|зажмуривается|морщится и показывает язык|отвращение|показывает язык
🤑;деньги в глазах;деньги в глазах|жадный|лицо|прибыль|рот
🤗;обнимает;лицо|обнимает|объятие|руки
🤭;прикрывает рот рукой;лишнего|лишнее|ляпнуть|ой|прикрывает рот рукой|проговориться|хи-хи
🫢;прикрывает рот рукой с открытыми глазами;изумление|испуг|недоверие|прикрывает рот рукой с открытыми глазами|смущение|страх|удивление|шок
🫣;подсматривает;взгляд|глаз не отвести|глаз не оторвать|загляденье|подсматривает|подсматривать|пристально смотреть|украдкой
🤫;тс-с-с;молчи|секрет|тайна|тихо|тишина|тс-с-с
🤔;думает;думает|задумчивость|лицо|пальцы|размышления
🫡;воинское приветствие;воинское приветствие|войска|да|есть|окей|отдать честь|солнечно
🤐;рот на замке;закрытый|лицо|молчание|рот|рот на замке|секрет
🤨;не верит;не верит|недоверие|подозрение|скептик|скептически
😐;все равно;все равно|лицо|ничего|равнодушие
😑;без эмоций;без эмоций|безразличие|лицо|нет|ничего|эмоции
😶;лицо без рта;без рта|лицо без рта|молчание|тихо|тишина
🫥;лицо пунктиром;депрессия|интроверт|исчезать|лицо пунктиром|невидимый|печаль|подавленность|прятаться
😶‍🌫️;лицо в облаках;витающий в облаках|голова в облаках|лицо в облаках|лицо в тумане|рассеянный
😏;ухмыляется;задумал|лицо|ухмылка|ухмыляется|хитрый
😒;скучает;лицо|недовольный|скука|скусно|скучает|тоска
🙄;закатывает глаза;глаза|досада|закатить|закатывает глаза|лицо|скука
😬;гримаса;гримаса|зубы|лицо|рожа
😮‍💨;выдыхает;вздох|выдох|выдыхает|облегчение|одышка|свист|шепот
🤥;лжец;буратино|врать|длинный нос|лжец|обманывать
🫨;трясущееся лицо;вибрация|вибрирует|землетрясение|лицо|трясется|трясущееся лицо|шок
🙂‍↔️;отрицательно качает головой;несогласие|нет|отрицание|отрицательно качает головой
🙂‍↕️;положительно качает головой;да|кивок|подтверждение|положительно качает головой|согласие
😌;испытывает облегчение;испытывает облегчение|лицо|минуло|облегчение|обошло|спокойствие|стороной
😔;размышляет;задумчивость|лицо|мысли|размышления|размышляет
😪;хочет спать;лицо|мало|сон|сонливость|усталость|хочет спать
🤤;пускает слюни;лицо|пускает слюни|слюни
😴;спит;дрема|лицо|отдых|сон|спит
😷;в медицинской маске;больной|в медицинской маске|врач|защита|лицо|маска|медик
🤒;с градусником во рту;болезнь|лицо|недуг|рот|с градусником во рту|термометр
🤕;с перевязанной головой;боль|лицо|лоб|плохо|повязка|с перевязанной головой
🤢;тошнит;болезнь|лицо|морская болезнь|тошнит|тошно
🤮;рвота;блевать|рвота|тошнит|тошнота
🤧;чихает;апчхи|лицо|насморк|пчхи|чихает
🥵;жар;болеет|высокая температура|жар|лихорадка|потеет
🥶;мерзнет;замерз|мерзнет|морозно|посинел|холодно
🥴;чувствует головокружение;головокружение|дезориентация|плохо|тошнота|чувствует головокружение
😵;головокружение;голова кружится|головокружение|головокружительный|лицо
😵‍💫;ошеломление;беда|в тупике|головокружение|ошеломление|смятение|спираль
🤯;взрыв мозга;в шоке|взрыв мозга|голова|шок
🤠;в ковбойской шляпе;в ковбойской шляпе|в шляпе|ковбой|лицо|шляпа
🥳;на вечеринке;веселится|вечеринка|день рождения|на вечеринке|праздник
🥸;маскировка;инкогнито|лицо|маскировка|нос|очки
😎;лицо в темных очках;клево|круто|лицо в солнцезащитный очках|лицо в темных очках|солнцезащитные очки
🤓;очкарик;в очках|всезнайка|отличник|очкарик|очки
🧐;с моноклем;задавака|монокль|напыщенный|с моноклем|старомодный
😕;в замешательстве;в замешательстве|замешательство|конфуз|лицо|стеснение
🫤;с перекошенным ртом;досада|недовольство|с перекошенным ртом|скептик|сомнения
😟;беспокоится;беспокоится|беспокойство|лицо|расстройство|тревога|тревожность
🙁;немного грустит;лицо|недовольный|немного грустит|немного грустное лицо|плохо|хмурый
☹️;грустит;грустит|грустное лицо|грусть|лицо|печаль|плохо|хмурый
😮;удивление;лицо|открытый|рот|удивление
😯;неприятный сюрприз;лицо|молчание|неприятно|неприятный сюрприз|сюрприз|удивление
😲;в шоке;в шоке|лицо|потрясение|удивление|шок
😳;краснеет;краснеет|красный|лицо|смущение|щеки
🥺;умоляет;большие глаза|глаза|просит|слезы|умоляет
🥹;еле сдерживает слезы;гордость|грусть|еле сдерживает слезы|злость|сдерживаться|слезы
😦;в изумлении;в изумлении|изумление|лицо|открыт|рот|удивление|хмурый
😧;страдает;боль|лицо|муки|плохо|страдает|страдание|тоска
😨;боится;боится|жуть|испуг|лицо|рот|страх
😰;сильно беспокоится;боится|открытый рот|пот|сильно беспокоится|страх
😥;обошлось;лицо|облегчение|обошлось|прошло|разочарование|фух
😢;плачет;грусть|лицо|печаль|плачет|слезы
😭;слезы рекой;крокодильи слезы|плач|плачет|рев|слезы рекой
😱;в ужасе;в ужасе|испуг|крик|страх|ужас
😖;в растерянности;в растерянности|лицо|растерянность|сбит|сбит с толку|толк|тупик
😣;упорство;зажмурился|лицо|настойчивость|проявляет настойчивость|смайлик|упорство
😞;разочарование;испытывает разочарование|лицо|недоволен|разочарование|фрустрация
😓;в холодном поту;болезнь|в холодном поту|нервничает|пот|страх
😩;усталость;истощен|лицо|устал|усталость
😫;сильная усталость;лицо|отдых|работа|сильная усталость|спать|усталость
🥱;зевает;зевает|зевота|сонный|спать|усталость|утомлен
😤;в ожидании успеха;в ожидании успеха|гордость|гордый|пар из носа
😡;злится;злится|злой|красный|лицо|рассерженный|сердитый
😠;сердится;злой|лицо|недовольный|сердится|сердитый
🤬;цензура;браниться|брань|мат|материться|ругань|ругаться|цензура
😈;улыбающийся чертенок;лицо|рога|сказка|улыбающийся чертенок|улыбка|фэнтези
👿;злой чертенок;демон|злой чертенок|мифология|чертенок|чертик
💀;череп;голова|опасность|смерть|страх|череп
☠️;череп и кости;кости|опасность|смерть|череп|череп и кости
💩;какашка;какашка|лицо|смех|фекалии|шутка
🤡;клоун;клоун|лицо
👹;чудовище;лицо|мифология|монстр|страх|существо|чудовище
👺;японский гоблин;гоблин|монстр|носатое чудище|сказка|японский гоблин
👻;привидение;лицо|привидение|сказки|страх|существо
👽;инопланетянин;инопланетянин|космос|пришелец|существо|фантастика|чужой
👾;космический монстр;космический монстр|космос|лицо|нло|пришелец|фантастика|чужой
🤖;робот;лицо|монстр|робот|страх
😺;улыбающийся кот;кот|кот с широкой улыбкой|морда|улыбающийся кот|широкая улыбка
😸;смеющийся кот;кот|кот с закрытыми глазами|кот с широкой улыбкой и закрытыми глазами|морда|смеющийся кот
😹;смеющийся до слез кот;кот|кот смеется до слез|морда|смеющийся до слез кот|смеющийся кот
😻;влюбленный кот;влюбленный кот|кот|морда|сердечки|счастье|улыбка
😼;ухмыляющийся кот;кот|кот с ухмылкой|улыбка|ухмылка|ухмыляющийся кот|хитрость|хитрый
😽;целующий кот;глаза|губы|кот|кот целует|морда|целующий кот
🙀;кот в шоке;кот|кот в шоке|морда|удивление
😿;плачущий кот;кот|кот плачет|морда|печаль|плач|плачущий кот|слезы
😾;злой кот;злой|кот|морда|недовольный|раздраженный
🙈;ничего не вижу;глаза|запрещено|зрение|нельзя|ничего не вижу|обезьяна
🙉;ничего не слышу;запрещено|лапы|нельзя|ничего не слышу|обезьяна|слух|уши
🙊;ничего никому не скажу;закрыт|запрещено|лапы|молчание|ничего никому не скажу|обезьяна|рот
💌;любовное письмо;записка|любовное письмо|любовь|письмо|почта|тайна
💘;сердце, пронзенное стрелой;купидон|лук|любовь|пронзенное стрелой|сердце|сердце, пронзенное стрелой|стрела
💝;сердце с лентой;валентин|лента|перевязано|сердце|сердце с лентой
💖;сверкающее сердце;блеск|звездочки|радость|сверкающее сердце|сердце
💗;растущее сердце;биение|больше|размер|растущее сердце|ритм|сердце
💓;пульсирующее сердце;бьется|красное сердце|пульсирует|пульсирующее сердце|сердце
💞;вращающиеся сердца;вращающиеся сердца|вращение|два|круги|сердца
💕;два сердца;влюбленные|два сердца|любовь|чувства
💟;значок «сердце»;белое|значок &quot;сердце&quot;|значок «сердце»|квадрат|красное|куб|розовый|сердце
❣️;восклицательный знак в виде сердца;восклицание|восклицательный знак в виде сердца|знак|препинания|сердце|сердце в виде восклицательного знака
💔;разбитое сердце;разбитое|разочарование|сердце|части
❤️‍🔥;горящее сердце;горящее сердце|любовь|огонь|пламенное сердце|пламя|страсть
❤️‍🩹;заживающее сердце;выздоровление|заживающее сердце|излечение|поправка|улучшение|хорошо
❤️;алое сердце;алое|красное|сердце|чувства
🩷;розовое сердце;люблю|любовь|мило|нравится|розовое|сердце
🧡;оранжевое сердце;оранжевое|сердце
💛;желтое сердце;желтое|сердце
💚;зеленое сердце;зеленое|сердце
💙;синее сердце;сердце|синее
🩵;голубое сердце;голубое|сердце
💜;фиолетовое сердце;сердце|фиолетовое
🤎;коричневое сердце;бурый|коричневое|коричневый|сердце
🖤;черное сердце;злоба|сердце|черное
🩶;серое сердце;сердце|серебряное|серое
🤍;белое сердце;белое|белый|сердце
💋;след от поцелуя;движение|поцелуй|романтика|след от поцелуя|чувства
💯;сто баллов;100|очки|очков|сто|сто баллов
💢;значок «гнев»;гнев|злость|значок «гнев»|ярость
💥;взрыв;бум|взрыв|столкновение
💫;кружащаяся звезда;головокружение|звезда|звезды|кружащаяся звезда
💦;капли пота;брызги|брызги воды|вода|капли|капли пота|пот
💨;исчезновение;исчезновение|облако|облачко|пыли|пыль
🕳️;дыра;дыра|отверстие|пропасть|черная
💬;облачко с многоточием;многоточие|мысли|облако|облако с многоточием|облачко|облачко с многоточием|речь
👁️‍🗨️;значок свидетеля;глаз|значок свидетеля|против преследования|свидетель
🗨️;пустое облачко;голубое облачко|облачко|пустое облачко|речь|черное облачко
🗯️;гневное облачко;вправо|гнев|гневное облачко|негатив|облачко|ярость
💭;облачко с мыслями;мысли|облако|облачко|облачко с мыслями|размышления
💤;сон;сон|храп

[people_body]
👋;машет рукой;взмах|машет рукой|привет|приветствие|рука
	👋🏻;машет рукой: очень светлый тон кожи;взмах|машет рукой|машет рукой: очень светлый тон кожи|очень светлый тон кожи|привет|приветствие|рука
	👋🏼;машет рукой: светлый тон кожи;взмах|машет рукой|машет рукой: светлый тон кожи|привет|приветствие|рука|светлый тон кожи
	👋🏽;машет рукой: средний тон кожи;взмах|машет рукой|машет рукой: средний тон кожи|привет|приветствие|рука|средний тон кожи
	👋🏾;машет рукой: темный тон кожи;взмах|машет рукой|машет рукой: темный тон кожи|привет|приветствие|рука|темный тон кожи
	👋🏿;машет рукой: очень темный тон кожи;взмах|машет рукой|машет рукой: очень темный тон кожи|очень темный тон кожи|привет|приветствие|рука
🤚;поднятая рука;ладонь|поднятая|поднятая рука
	🤚🏻;поднятая рука: очень светлый тон кожи;ладонь|очень светлый тон кожи|поднятая|поднятая рука|поднятая рука: очень светлый тон кожи
	🤚🏼;поднятая рука: светлый тон кожи;ладонь|поднятая|поднятая рука|поднятая рука: светлый тон кожи|светлый тон кожи
	🤚🏽;поднятая рука: средний тон кожи;ладонь|поднятая|поднятая рука|поднятая рука: средний тон кожи|средний тон кожи
	🤚🏾;поднятая рука: темный тон кожи;ладонь|поднятая|поднятая рука|поднятая рука: темный тон кожи|темный тон кожи
	🤚🏿;поднятая рука: очень темный тон кожи;ладонь|очень темный тон кожи|поднятая|поднятая рука|поднятая рука: очень темный тон кожи
🖐️;раскрытая ладонь;ладонь|пальцы|раскрытая|рука
	🖐🏻;раскрытая ладонь: очень светлый тон кожи;ладонь|очень светлый тон кожи|пальцы|раскрытая|раскрытая ладонь: очень светлый тон кожи|рука
	🖐🏼;раскрытая ладонь: светлый тон кожи;ладонь|пальцы|раскрытая|раскрытая ладонь: светлый тон кожи|рука|светлый тон кожи
	🖐🏽;раскрытая ладонь: средний тон кожи;ладонь|пальцы|раскрытая|раскрытая ладонь: средний тон кожи|рука|средний тон кожи
	🖐🏾;раскрытая ладонь: темный тон кожи;ладонь|пальцы|раскрытая|раскрытая ладонь: темный тон кожи|рука|темный тон кожи
	🖐🏿;раскрытая ладонь: очень темный тон кожи;ладонь|очень темный тон кожи|пальцы|раскрытая|раскрытая ладонь: очень темный тон кожи|рука
✋;поднятая ладонь;вверх|пальцы|поднятая ладонь|рука
	✋🏻;поднятая ладонь: очень светлый тон кожи;вверх|очень светлый тон кожи|пальцы|поднятая ладонь|поднятая ладонь: очень светлый тон кожи|рука
	✋🏼;поднятая ладонь: светлый тон кожи;вверх|пальцы|поднятая ладонь|поднятая ладонь: светлый тон кожи|рука|светлый тон кожи
	✋🏽;поднятая ладонь: средний тон кожи;вверх|пальцы|поднятая ладонь|поднятая ладонь: средний тон кожи|рука|средний тон кожи
	✋🏾;поднятая ладонь: темный тон кожи;вверх|пальцы|поднятая ладонь|поднятая ладонь: темный тон кожи|рука|темный тон кожи
	✋🏿;поднятая ладонь: очень темный тон кожи;вверх|очень темный тон кожи|пальцы|поднятая ладонь|поднятая ладонь: очень темный тон кожи|рука
🖖;вулканский салют;вулканский салют|жест|нимой|приветствие|рука|спок
	🖖🏻;вулканский салют: очень светлый тон кожи;вулканский салют|вулканский салют: очень светлый тон кожи|жест|нимой|очень светлый тон кожи|приветствие|рука|спок
	🖖🏼;вулканский салют: светлый тон кожи;вулканский салют|вулканский салют: светлый тон кожи|жест|нимой|приветствие|рука|светлый тон кожи|спок
	🖖🏽;вулканский салют: средний тон кожи;вулканский салют|вулканский салют: средний тон кожи|жест|нимой|приветствие|рука|спок|средний тон кожи
	🖖🏾;вулканский салют: темный тон кожи;вулканский салют|вулканский салют: темный тон кожи|жест|нимой|приветствие|рука|спок|темный тон кожи
	🖖🏿;вулканский салют: очень темный тон кожи;вулканский салют|вулканский салют: очень темный тон кожи|жест|нимой|очень темный тон кожи|приветствие|рука|спок
🫱;рука вправо;кисть вправо|рука вправо|рука пальцами вправо
	🫱🏻;рука вправо: очень светлый тон кожи;кисть вправо|очень светлый тон кожи|рука вправо|рука вправо: очень светлый тон кожи|рука пальцами вправо
	🫱🏼;рука вправо: светлый тон кожи;кисть вправо|рука вправо|рука вправо: светлый тон кожи|рука пальцами вправо|светлый тон кожи
	🫱🏽;рука вправо: средний тон кожи;кисть вправо|рука вправо|рука вправо: средний тон кожи|рука пальцами вправо|средний тон кожи
	🫱🏾;рука вправо: темный тон кожи;кисть вправо|рука вправо|рука вправо: темный тон кожи|рука пальцами вправо|темный тон кожи
	🫱🏿;рука вправо: очень темный тон кожи;кисть вправо|очень темный тон кожи|рука вправо|рука вправо: очень темный тон кожи|рука пальцами вправо
🫲;рука влево;кисть влево|рука влево|рука пальцами влево
	🫲🏻;рука влево: очень светлый тон кожи;кисть влево|очень светлый тон кожи|рука влево|рука влево: очень светлый тон кожи|рука пальцами влево
	🫲🏼;рука влево: светлый тон кожи;кисть влево|рука влево|рука влево: светлый тон кожи|рука пальцами влево|светлый тон кожи
	🫲🏽;рука влево: средний тон кожи;кисть влево|рука влево|рука влево: средний тон кожи|рука пальцами влево|средний тон кожи
	🫲🏾;рука влево: темный тон кожи;кисть влево|рука влево|рука влево: темный тон кожи|рука пальцами влево|темный тон кожи
	🫲🏿;рука влево: очень темный тон кожи;кисть влево|очень темный тон кожи|рука влево|рука влево: очень темный тон кожи|рука пальцами влево
🫳;рука ладонью вниз;бросить|ладонь вниз|отпустить|рука|рука ладонью вниз
	🫳🏻;рука ладонью вниз: очень светлый тон кожи;бросить|ладонь вниз|отпустить|очень светлый тон кожи|рука|рука ладонью вниз|рука ладонью вниз: очень светлый тон кожи
	🫳🏼;рука ладонью вниз: светлый тон кожи;бросить|ладонь вниз|отпустить|рука|рука ладонью вниз|рука ладонью вниз: светлый тон кожи|светлый тон кожи
	🫳🏽;рука ладонью вниз: средний тон кожи;бросить|ладонь вниз|отпустить|рука|рука ладонью вниз|рука ладонью вниз: средний тон кожи|средний тон кожи
	🫳🏾;рука ладонью вниз: темный тон кожи;бросить|ладонь вниз|отпустить|рука|рука ладонью вниз|рука ладонью вниз: темный тон кожи|темный тон кожи
	🫳🏿;рука ладонью вниз: очень темный тон кожи;бросить|ладонь вниз|отпустить|очень темный тон кожи|рука|рука ладонью вниз|рука ладонью вниз: очень темный тон кожи
🫴;рука ладонью вверх;ладонь вверх|манить|подзывать|позвать|поймать|рука|рука ладонью вверх
	🫴🏻;рука ладонью вверх: очень светлый тон кожи;ладонь вверх|манить|очень светлый тон кожи|подзывать|позвать|поймать|рука|рука ладонью вверх|рука ладонью вверх: очень светлый тон кожи
	🫴🏼;рука ладонью вверх: светлый тон кожи;ладонь вверх|манить|подзывать|позвать|поймать|рука|рука ладонью вверх|рука ладонью вверх: светлый тон кожи|светлый тон кожи
	🫴🏽;рука ладонью вверх: средний тон кожи;ладонь вверх|манить|подзывать|позвать|поймать|рука|рука ладонью вверх|рука ладонью вверх: средний тон кожи|средний тон кожи
	🫴🏾;рука ладонью вверх: темный тон кожи;ладонь вверх|манить|подзывать|позвать|поймать|рука|рука ладонью вверх|рука ладонью вверх: темный тон кожи|темный тон кожи
	🫴🏿;рука ладонью вверх: очень темный тон кожи;ладонь вверх|манить|очень темный тон кожи|подзывать|позвать|поймать|рука|рука ладонью вверх|рука ладонью вверх: очень темный тон кожи
🫷;рука ладонью влево;влево|дай пять|отказ|подожди|рука ладонью влево|стоп|толкать
	🫷🏻;рука ладонью влево: очень светлый тон кожи;влево|дай пять|отказ|очень светлый тон кожи|подожди|рука ладонью влево|рука ладонью влево: очень светлый тон кожи|стоп|толкать
	🫷🏼;рука ладонью влево: светлый тон кожи;влево|дай пять|отказ|подожди|рука ладонью влево|рука ладонью влево: светлый тон кожи|светлый тон кожи|стоп|толкать
	🫷🏽;рука ладонью влево: средний тон кожи;влево|дай пять|отказ|подожди|рука ладонью влево|рука ладонью влево: средний тон кожи|средний тон кожи|стоп|толкать
	🫷🏾;рука ладонью влево: темный тон кожи;влево|дай пять|отказ|подожди|рука ладонью влево|рука ладонью влево: темный тон кожи|стоп|темный тон кожи|толкать
	🫷🏿;рука ладонью влево: очень темный тон кожи;влево|дай пять|отказ|очень темный тон кожи|подожди|рука ладонью влево|рука ладонью влево: очень темный тон кожи|стоп|толкать
🫸;рука ладонью вправо;вправо|дай пять|отказ|подожди|рука ладонью вправо|стоп|толкать
	🫸🏻;рука ладонью вправо: очень светлый тон кожи;вправо|дай пять|отказ|очень светлый тон кожи|подожди|рука ладонью вправо|рука ладонью вправо: очень светлый тон кожи|стоп|толкать
	🫸🏼;рука ладонью вправо: светлый тон кожи;вправо|дай пять|отказ|подожди|рука ладонью вправо|рука ладонью вправо: светлый тон кожи|светлый тон кожи|стоп|толкать
	🫸🏽;рука ладонью вправо: средний тон кожи;вправо|дай пять|отказ|подожди|рука ладонью вправо|рука ладонью вправо: средний тон кожи|средний тон кожи|стоп|толкать
	🫸🏾;рука ладонью вправо: темный тон кожи;вправо|дай пять|отказ|подожди|рука ладонью вправо|рука ладонью вправо: темный тон кожи|стоп|темный тон кожи|толкать
	🫸🏿;рука ладонью вправо: очень темный тон кожи;вправо|дай пять|отказ|очень темный тон кожи|подожди|рука ладонью вправо|рука ладонью вправо: очень темный тон кожи|стоп|толкать
👌;жест «все хорошо»;жест|жест &quot;все хорошо&quot;|жест «все хорошо»|ок|окей|рука|хорошо
	👌🏻;жест «все хорошо»: очень светлый тон кожи;жест|жест &quot;все хорошо&quot;|жест «все хорошо»|жест «все хорошо»: очень светлый тон кожи|ок|окей|очень светлый тон кожи|рука|хорошо
	👌🏼;жест «все хорошо»: светлый тон кожи;жест|жест &quot;все хорошо&quot;|жест «все хорошо»|жест «все хорошо»: светлый тон кожи|ок|окей|рука|светлый тон кожи|хорошо
	👌🏽;жест «все хорошо»: средний тон кожи;жест|жест &quot;все хорошо&quot;|жест «все хорошо»|жест «все хорошо»: средний тон кожи|ок|окей|рука|средний тон кожи|хорошо
	👌🏾;жест «все хорошо»: темный тон кожи;жест|жест &quot;все хорошо&quot;|жест «все хорошо»|жест «все хорошо»: темный тон кожи|ок|окей|рука|темный тон кожи|хорошо
	👌🏿;жест «все хорошо»: очень темный тон кожи;жест|жест &quot;все хорошо&quot;|жест «все хорошо»|жест «все хорошо»: очень темный тон кожи|ок|окей|очень темный тон кожи|рука|хорошо
🤌;щепоть;вопрос|жест|пальцы|рега|сарказм|щепотка|щепоть
	🤌🏻;щепоть: очень светлый тон кожи;вопрос|жест|очень светлый тон кожи|пальцы|рега|сарказм|щепотка|щепоть|щепоть: очень светлый тон кожи
	🤌🏼;щепоть: светлый тон кожи;вопрос|жест|пальцы|рега|сарказм|светлый тон кожи|щепотка|щепоть|щепоть: светлый тон кожи
	🤌🏽;щепоть: средний тон кожи;вопрос|жест|пальцы|рега|сарказм|средний тон кожи|щепотка|щепоть|щепоть: средний тон кожи
	🤌🏾;щепоть: темный тон кожи;вопрос|жест|пальцы|рега|сарказм|темный тон кожи|щепотка|щепоть|щепоть: темный тон кожи
	🤌🏿;щепоть: очень темный тон кожи;вопрос|жест|очень темный тон кожи|пальцы|рега|сарказм|щепотка|щепоть|щепоть: очень темный тон кожи
🤏;жест «мало»;жест «мало»|мало|небольшое количество|немного|чуть-чуть
	🤏🏻;жест «мало»: очень светлый тон кожи;жест «мало»|жест «мало»: очень светлый тон кожи|мало|небольшое количество|немного|очень светлый тон кожи|чуть-чуть
	🤏🏼;жест «мало»: светлый тон кожи;жест «мало»|жест «мало»: светлый тон кожи|мало|небольшое количество|немного|светлый тон кожи|чуть-чуть
	🤏🏽;жест «мало»: средний тон кожи;жест «мало»|жест «мало»: средний тон кожи|мало|небольшое количество|немного|средний тон кожи|чуть-чуть
	🤏🏾;жест «мало»: темный тон кожи;жест «мало»|жест «мало»: темный тон кожи|мало|небольшое количество|немного|темный тон кожи|чуть-чуть
	🤏🏿;жест «мало»: очень темный тон кожи;жест «мало»|жест «мало»: очень темный тон кожи|мало|небольшое количество|немного|очень темный тон кожи|чуть-чуть
✌️;жест V;виктория|жест V|пальцы|победа|рука|триумф
	✌🏻;жест V: очень светлый тон кожи;виктория|жест V|жест V: очень светлый тон кожи|очень светлый тон кожи|пальцы|победа|рука|триумф
	✌🏼;жест V: светлый тон кожи;виктория|жест V|жест V: светлый тон кожи|пальцы|победа|рука|светлый тон кожи|триумф
	✌🏽;жест V: средний тон кожи;виктория|жест V|жест V: средний тон кожи|пальцы|победа|рука|средний тон кожи|триумф
	✌🏾;жест V: темный тон кожи;виктория|жест V|жест V: темный тон кожи|пальцы|победа|рука|темный тон кожи|триумф
	✌🏿;жест V: очень темный тон кожи;виктория|жест V|жест V: очень темный тон кожи|очень темный тон кожи|пальцы|победа|рука|триумф
🤞;скрещенные пальцы;жест удачи|пальцы|скрестить|скрещенные пальцы|удача
	🤞🏻;скрещенные пальцы: очень светлый тон кожи;жест удачи|очень светлый тон кожи|пальцы|скрестить|скрещенные пальцы|скрещенные пальцы: очень светлый тон кожи|удача
	🤞🏼;скрещенные пальцы: светлый тон кожи;жест удачи|пальцы|светлый тон кожи|скрестить|скрещенные пальцы|скрещенные пальцы: светлый тон кожи|удача
	🤞🏽;скрещенные пальцы: средний тон кожи;жест удачи|пальцы|скрестить|скрещенные пальцы|скрещенные пальцы: средний тон кожи|средний тон кожи|удача
	🤞🏾;скрещенные пальцы: темный тон кожи;жест удачи|пальцы|скрестить|скрещенные пальцы|скрещенные пальцы: темный тон кожи|темный тон кожи|удача
	🤞🏿;скрещенные пальцы: очень темный тон кожи;жест удачи|очень темный тон кожи|пальцы|скрестить|скрещенные пальцы|скрещенные пальцы: очень темный тон кожи|удача
🫰;жест «деньги»;деньги|дорого|жест «деньги»|сердечко|щелчок
	🫰🏻;жест «деньги»: очень светлый тон кожи;деньги|дорого|жест «деньги»|жест «деньги»: очень светлый тон кожи|очень светлый тон кожи|сердечко|щелчок
	🫰🏼;жест «деньги»: светлый тон кожи;деньги|дорого|жест «деньги»|жест «деньги»: светлый тон кожи|светлый тон кожи|сердечко|щелчок
	🫰🏽;жест «деньги»: средний тон кожи;деньги|дорого|жест «деньги»|жест «деньги»: средний тон кожи|сердечко|средний тон кожи|щелчок
	🫰🏾;жест «деньги»: темный тон кожи;деньги|дорого|жест «деньги»|жест «деньги»: темный тон кожи|сердечко|темный тон кожи|щелчок
	🫰🏿;жест «деньги»: очень темный тон кожи;деньги|дорого|жест «деньги»|жест «деньги»: очень темный тон кожи|очень темный тон кожи|сердечко|щелчок
