[smileys_emotion]
😀;cara sonriendo;cara|cara sonriendo|contento|divertido|sonrisa
	🤸🏼;persona haciendo una vuelta de carro: tono de piel claro medio;deporte|gimnasia|persona|persona haciendo una vuelta de carro|persona haciendo una vuelta de carro: tono de piel claro medio|persona haciendo voltereta lateral|pirueta|tono de piel claro medio|voletereta lateral
	🤸🏽;persona haciendo una vuelta de carro: tono de piel medio;deporte|gimnasia|persona|persona haciendo una vuelta de carro|persona haciendo una vuelta de carro: tono de piel medio|persona haciendo voltereta lateral|pirueta|tono de piel medio|voletereta lateral
	🤸🏾;persona haciendo una vuelta de carro: tono de piel oscuro medio;deporte|gimnasia|persona|persona haciendo una vuelta de carro|persona haciendo una vuelta de carro: tono de piel oscuro medio|persona haciendo voltereta lateral|pirueta|tono de piel oscuro medio|voletereta lateral
	🤸🏿;persona haciendo una vuelta de carro: tono de piel oscuro;deporte|gimnasia|persona|persona haciendo una vuelta de carro|persona haciendo una vuelta de carro: tono de piel oscuro|persona haciendo voltereta lateral|pirueta|tono de piel oscuro|voletereta lateral
🤸‍♂️;hombre haciendo una vuelta de carro;hombre haciendo una vuelta de carro
	🤸🏻‍♂️;hombre haciendo una vuelta de carro: tono de piel claro;hombre haciendo una vuelta de carro|hombre haciendo una vuelta de carro: tono de piel claro|tono de piel claro
	🤸🏼‍♂️;hombre haciendo una vuelta de carro: tono de piel claro medio;hombre haciendo una vuelta de carro|hombre haciendo una vuelta de carro: tono de piel claro medio|tono de piel claro medio
	🤸🏽‍♂️;hombre haciendo una vuelta de carro: tono de piel medio;hombre haciendo una vuelta de carro|hombre haciendo una vuelta de carro: tono de piel medio|tono de piel medio
	🤸🏾‍♂️;hombre haciendo una vuelta de carro: tono de piel oscuro medio;hombre haciendo una vuelta de carro|hombre haciendo una vuelta de carro: tono de piel oscuro medio|tono de piel oscuro medio
	🤸🏿‍♂️;hombre haciendo una vuelta de carro: tono de piel oscuro;hombre haciendo una vuelta de carro|hombre haciendo una vuelta de carro: tono de piel oscuro|tono de piel oscuro
🤸‍♀️;mujer haciendo una vuelta de carro;mujer haciendo una vuelta de carro
	🤸🏻‍♀️;mujer haciendo una vuelta de carro: tono de piel claro;mujer haciendo una vuelta de carro|mujer haciendo una vuelta de carro: tono de piel claro|tono de piel claro
	🤸🏼‍♀️;mujer haciendo una vuelta de carro: tono de piel claro medio;mujer haciendo una vuelta de carro|mujer haciendo una vuelta de carro: tono de piel claro medio|tono de piel claro medio
	🤸🏽‍♀️;mujer haciendo una vuelta de carro: tono de piel medio;mujer haciendo una vuelta de carro|mujer haciendo una vuelta de carro: tono de piel medio|tono de piel medio
	🤸🏾‍♀️;mujer haciendo una vuelta de carro: tono de piel oscuro medio;mujer haciendo una vuelta de carro|mujer haciendo una vuelta de carro: tono de piel oscuro medio|tono de piel oscuro medio
	🤸🏿‍♀️;mujer haciendo una vuelta de carro: tono de piel oscuro;mujer haciendo una vuelta de carro|mujer haciendo una vuelta de carro: tono de piel oscuro|tono de piel oscuro
🤼;↑↑↑;↑↑↑
🤼‍♂️;↑↑↑;↑↑↑
🤼‍♀️;↑↑↑;↑↑↑
🤽;↑↑↑;deporte acuático|deportista|persona|persona jugando al waterpolo|waterpolo
	🤽🏻;;deporte acuático|deportista|persona|persona jugando al waterpolo|tono de piel claro|waterpolo
	🤽🏼;;deporte acuático|deportista|persona|persona jugando al waterpolo|tono de piel claro medio|waterpolo
	🤽🏽;;deporte acuático|deportista|persona|persona jugando al waterpolo|tono de piel medio|waterpolo
	🤽🏾;;deporte acuático|deportista|persona|persona jugando al waterpolo|tono de piel oscuro medio|waterpolo
	🤽🏿;;deporte acuático|deportista|persona|persona jugando al waterpolo|tono de piel oscuro|waterpolo
🤽‍♂️;↑↑↑;↑↑↑
	🤽🏻‍♂️;;
	🤽🏼‍♂️;;
	🤽🏽‍♂️;;
	🤽🏾‍♂️;;
	🤽🏿‍♂️;;
🤽‍♀️;↑↑↑;↑↑↑
	🤽🏻‍♀️;;
	🤽🏼‍♀️;;
	🤽🏽‍♀️;;
	🤽🏾‍♀️;;
	🤽🏿‍♀️;;
🤾;↑↑↑;↑↑↑
	🤾🏻;;
	🤾🏼;;
	🤾🏽;;
	🤾🏾;;
	🤾🏿;;
🤾‍♂️;↑↑↑;↑↑↑
	🤾🏻‍♂️;;
	🤾🏼‍♂️;;
	🤾🏽‍♂️;;
	🤾🏾‍♂️;;
	🤾🏿‍♂️;;
🤾‍♀️;↑↑↑;↑↑↑
	🤾🏻‍♀️;;
	🤾🏼‍♀️;;
	🤾🏽‍♀️;;
	🤾🏾‍♀️;;
	🤾🏿‍♀️;;
🤹;malabarista;malabarista
	🤹🏻;malabarista: tono de piel claro;malabarista|malabarista: tono de piel claro|tono de piel claro
	🤹🏼;malabarista: tono de piel claro medio;malabarista|malabarista: tono de piel claro medio|tono de piel claro medio
	🤹🏽;malabarista: tono de piel medio;malabarista|malabarista: tono de piel medio|tono de piel medio
	🤹🏾;malabarista: tono de piel oscuro medio;malabarista|malabarista: tono de piel oscuro medio|tono de piel oscuro medio
	🤹🏿;malabarista: tono de piel oscuro;malabarista|malabarista: tono de piel oscuro|tono de piel oscuro
🤹‍♂️;↑↑↑;↑↑↑
	🤹🏻‍♂️;;
	🤹🏼‍♂️;;
	🤹🏽‍♂️;;
	🤹🏾‍♂️;;
	🤹🏿‍♂️;;
🤹‍♀️;↑↑↑;↑↑↑
	🤹🏻‍♀️;;
	🤹🏼‍♀️;;
	🤹🏽‍♀️;;
	🤹🏾‍♀️;;
	🤹🏿‍♀️;;
🧘;↑↑↑;↑↑↑
	🧘🏻;;
	🧘🏼;;
	🧘🏽;;
	🧘🏾;;
	🧘🏿;;
🧘‍♂️;↑↑↑;↑↑↑
	🧘🏻‍♂️;;
	🧘🏼‍♂️;;
	🧘🏽‍♂️;;
	🧘🏾‍♂️;;
	🧘🏿‍♂️;;
🧘‍♀️;↑↑↑;↑↑↑
	🧘🏻‍♀️;;
	🧘🏼‍♀️;;
	🧘🏽‍♀️;;
	🧘🏾‍♀️;;
	🧘🏿‍♀️;;
🛀;persona en tina;persona en tina
	🛀🏻;persona en tina: tono de piel claro;persona en tina|persona en tina: tono de piel claro|tono de piel claro
	🛀🏼;persona en tina: tono de piel claro medio;persona en tina|persona en tina: tono de piel claro medio|tono de piel claro medio
	🛀🏽;persona en tina: tono de piel medio;persona en tina|persona en tina: tono de piel medio|tono de piel medio
	🛀🏾;persona en tina: tono de piel oscuro medio;persona en tina|persona en tina: tono de piel oscuro medio|tono de piel oscuro medio
	🛀🏿;persona en tina: tono de piel oscuro;persona en tina|persona en tina: tono de piel oscuro|tono de piel oscuro
🛌;↑↑↑;↑↑↑
	🛌🏻;;
	🛌🏼;;
	🛌🏽;;
	🛌🏾;;
	🛌🏿;;
🧑‍🤝‍🧑;↑↑↑;↑↑↑
	🧑🏻‍🤝‍🧑🏻;;
	🧑🏻‍🤝‍🧑🏼;;
	🧑🏻‍🤝‍🧑🏽;;
	🧑🏻‍🤝‍🧑🏾;;
	🧑🏻‍🤝‍🧑🏿;;
	🧑🏼‍🤝‍🧑🏻;;
	🧑🏼‍🤝‍🧑🏼;;
	🧑🏼‍🤝‍🧑🏽;;
	🧑🏼‍🤝‍🧑🏾;;
	🧑🏼‍🤝‍🧑🏿;;
	🧑🏽‍🤝‍🧑🏻;;
	🧑🏽‍🤝‍🧑🏼;;
	🧑🏽‍🤝‍🧑🏽;;
	🧑🏽‍🤝‍🧑🏾;;
	🧑🏽‍🤝‍🧑🏿;;
	🧑🏾‍🤝‍🧑🏻;;
	🧑🏾‍🤝‍🧑🏼;;
	🧑🏾‍🤝‍🧑🏽;;
	🧑🏾‍🤝‍🧑🏾;;
	🧑🏾‍🤝‍🧑🏿;;
	🧑🏿‍🤝‍🧑🏻;;
	🧑🏿‍🤝‍🧑🏼;;
	🧑🏿‍🤝‍🧑🏽;;
	🧑🏿‍🤝‍🧑🏾;;
	🧑🏿‍🤝‍🧑🏿;;
👭;↑↑↑;amor|gemelas|mujeres|mujeres de la mano|pareja
	👭🏻;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel claro
	👩🏻‍🤝‍👩🏼;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel claro|tono de piel claro medio
	👩🏻‍🤝‍👩🏽;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel claro|tono de piel medio
	👩🏻‍🤝‍👩🏾;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel claro|tono de piel oscuro medio
	👩🏻‍🤝‍👩🏿;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel claro|tono de piel oscuro
	👩🏼‍🤝‍👩🏻;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel claro|tono de piel claro medio
	👭🏼;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel claro medio
	👩🏼‍🤝‍👩🏽;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel claro medio|tono de piel medio
	👩🏼‍🤝‍👩🏾;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel claro medio|tono de piel oscuro medio
	👩🏼‍🤝‍👩🏿;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel claro medio|tono de piel oscuro
	👩🏽‍🤝‍👩🏻;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel claro|tono de piel medio
	👩🏽‍🤝‍👩🏼;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel claro medio|tono de piel medio
	👭🏽;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel medio
	👩🏽‍🤝‍👩🏾;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel medio|tono de piel oscuro medio
	👩🏽‍🤝‍👩🏿;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel medio|tono de piel oscuro
	👩🏾‍🤝‍👩🏻;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel claro|tono de piel oscuro medio
	👩🏾‍🤝‍👩🏼;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel claro medio|tono de piel oscuro medio
	👩🏾‍🤝‍👩🏽;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel medio|tono de piel oscuro medio
	👭🏾;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel oscuro medio
	👩🏾‍🤝‍👩🏿;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel oscuro|tono de piel oscuro medio
	👩🏿‍🤝‍👩🏻;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel claro|tono de piel oscuro
	👩🏿‍🤝‍👩🏼;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel claro medio|tono de piel oscuro
	👩🏿‍🤝‍👩🏽;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel medio|tono de piel oscuro
	👩🏿‍🤝‍👩🏾;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel oscuro|tono de piel oscuro medio
	👭🏿;;amor|gemelas|mujeres|mujeres de la mano|pareja|tono de piel oscuro
👫;↑↑↑;↑↑↑
	👫🏻;;
	👩🏻‍🤝‍👨🏼;;
	👩🏻‍🤝‍👨🏽;;
	👩🏻‍🤝‍👨🏾;;
	👩🏻‍🤝‍👨🏿;;
	👩🏼‍🤝‍👨🏻;;
	👫🏼;;
	👩🏼‍🤝‍👨🏽;;
	👩🏼‍🤝‍👨🏾;;
	👩🏼‍🤝‍👨🏿;;
	👩🏽‍🤝‍👨🏻;;
	👩🏽‍🤝‍👨🏼;;
	👫🏽;;
	👩🏽‍🤝‍👨🏾;;
	👩🏽‍🤝‍👨🏿;;
	👩🏾‍🤝‍👨🏻;;
	👩🏾‍🤝‍👨🏼;;
	👩🏾‍🤝‍👨🏽;;
	👫🏾;;
	👩🏾‍🤝‍👨🏿;;
	👩🏿‍🤝‍👨🏻;;
	👩🏿‍🤝‍👨🏼;;
	👩🏿‍🤝‍👨🏽;;
	👩🏿‍🤝‍👨🏾;;
	👫🏿;;
👬;↑↑↑;amor|dos hombres de la mano|gemelos|hombres|pareja
	👬🏻;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel claro
	👨🏻‍🤝‍👨🏼;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel claro|tono de piel claro medio
	👨🏻‍🤝‍👨🏽;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel claro|tono de piel medio
	👨🏻‍🤝‍👨🏾;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel claro|tono de piel oscuro medio
	👨🏻‍🤝‍👨🏿;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel claro|tono de piel oscuro
	👨🏼‍🤝‍👨🏻;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel claro|tono de piel claro medio
	👬🏼;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel claro medio
	👨🏼‍🤝‍👨🏽;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel claro medio|tono de piel medio
	👨🏼‍🤝‍👨🏾;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel claro medio|tono de piel oscuro medio
	👨🏼‍🤝‍👨🏿;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel claro medio|tono de piel oscuro
	👨🏽‍🤝‍👨🏻;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel claro|tono de piel medio
	👨🏽‍🤝‍👨🏼;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel claro medio|tono de piel medio
	👬🏽;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel medio
	👨🏽‍🤝‍👨🏾;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel medio|tono de piel oscuro medio
	👨🏽‍🤝‍👨🏿;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel medio|tono de piel oscuro
	👨🏾‍🤝‍👨🏻;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel claro|tono de piel oscuro medio
	👨🏾‍🤝‍👨🏼;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel claro medio|tono de piel oscuro medio
	👨🏾‍🤝‍👨🏽;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel medio|tono de piel oscuro medio
	👬🏾;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel oscuro medio
	👨🏾‍🤝‍👨🏿;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel oscuro|tono de piel oscuro medio
	👨🏿‍🤝‍👨🏻;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel claro|tono de piel oscuro
	👨🏿‍🤝‍👨🏼;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel claro medio|tono de piel oscuro
	👨🏿‍🤝‍👨🏽;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel medio|tono de piel oscuro
	👨🏿‍🤝‍👨🏾;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel oscuro|tono de piel oscuro medio
	👬🏿;;amor|dos hombres de la mano|gemelos|hombres|pareja|tono de piel oscuro
💏;beso;↑↑↑
	💏🏻;beso: tono de piel claro;beso|beso: tono de piel claro|pareja|pareja besándose|personas|romance|romántico|tono de piel claro
	💏🏼;beso: tono de piel claro medio;beso|beso: tono de piel claro medio|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio
	💏🏽;beso: tono de piel medio;beso|beso: tono de piel medio|pareja|pareja besándose|personas|romance|romántico|tono de piel medio
	💏🏾;beso: tono de piel oscuro medio;beso|beso: tono de piel oscuro medio|pareja|pareja besándose|personas|romance|romántico|tono de piel oscuro medio
	💏🏿;beso: tono de piel oscuro;beso|beso: tono de piel oscuro|pareja|pareja besándose|personas|romance|romántico|tono de piel oscuro
	🧑🏻‍❤️‍💋‍🧑🏼;beso: persona, persona, tono de piel claro, tono de piel claro medio;beso|beso: persona, persona, tono de piel claro, tono de piel claro medio|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel claro|tono de piel claro medio
	🧑🏻‍❤️‍💋‍🧑🏽;beso: persona, persona, tono de piel claro, tono de piel medio;beso|beso: persona, persona, tono de piel claro, tono de piel medio|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel claro|tono de piel medio
	🧑🏻‍❤️‍💋‍🧑🏾;beso: persona, persona, tono de piel claro, tono de piel oscuro medio;beso|beso: persona, persona, tono de piel claro, tono de piel oscuro medio|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel claro|tono de piel oscuro medio
	🧑🏻‍❤️‍💋‍🧑🏿;beso: persona, persona, tono de piel claro, tono de piel oscuro;beso|beso: persona, persona, tono de piel claro, tono de piel oscuro|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel claro|tono de piel oscuro
	🧑🏼‍❤️‍💋‍🧑🏻;beso: persona, persona, tono de piel claro medio, tono de piel claro;beso|beso: persona, persona, tono de piel claro medio, tono de piel claro|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel claro|tono de piel claro medio
	🧑🏼‍❤️‍💋‍🧑🏽;beso: persona, persona, tono de piel claro medio, tono de piel medio;beso|beso: persona, persona, tono de piel claro medio, tono de piel medio|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel claro medio|tono de piel medio
	🧑🏼‍❤️‍💋‍🧑🏾;beso: persona, persona, tono de piel claro medio, tono de piel oscuro medio;beso|beso: persona, persona, tono de piel claro medio, tono de piel oscuro medio|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel claro medio|tono de piel oscuro medio
	🧑🏼‍❤️‍💋‍🧑🏿;beso: persona, persona, tono de piel claro medio, tono de piel oscuro;beso|beso: persona, persona, tono de piel claro medio, tono de piel oscuro|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel claro medio|tono de piel oscuro
	🧑🏽‍❤️‍💋‍🧑🏻;beso: persona, persona, tono de piel medio, tono de piel claro;beso|beso: persona, persona, tono de piel medio, tono de piel claro|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel claro|tono de piel medio
	🧑🏽‍❤️‍💋‍🧑🏼;beso: persona, persona, tono de piel medio, tono de piel claro medio;beso|beso: persona, persona, tono de piel medio, tono de piel claro medio|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel claro medio|tono de piel medio
	🧑🏽‍❤️‍💋‍🧑🏾;beso: persona, persona, tono de piel medio, tono de piel oscuro medio;beso|beso: persona, persona, tono de piel medio, tono de piel oscuro medio|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel medio|tono de piel oscuro medio
	🧑🏽‍❤️‍💋‍🧑🏿;beso: persona, persona, tono de piel medio, tono de piel oscuro;beso|beso: persona, persona, tono de piel medio, tono de piel oscuro|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel medio|tono de piel oscuro
	🧑🏾‍❤️‍💋‍🧑🏻;beso: persona, persona, tono de piel oscuro medio, tono de piel claro;beso|beso: persona, persona, tono de piel oscuro medio, tono de piel claro|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel claro|tono de piel oscuro medio
	🧑🏾‍❤️‍💋‍🧑🏼;beso: persona, persona, tono de piel oscuro medio, tono de piel claro medio;beso|beso: persona, persona, tono de piel oscuro medio, tono de piel claro medio|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel claro medio|tono de piel oscuro medio
	🧑🏾‍❤️‍💋‍🧑🏽;beso: persona, persona, tono de piel oscuro medio, tono de piel medio;beso|beso: persona, persona, tono de piel oscuro medio, tono de piel medio|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel medio|tono de piel oscuro medio
	🧑🏾‍❤️‍💋‍🧑🏿;beso: persona, persona, tono de piel oscuro medio, tono de piel oscuro;beso|beso: persona, persona, tono de piel oscuro medio, tono de piel oscuro|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel oscuro|tono de piel oscuro medio
	🧑🏿‍❤️‍💋‍🧑🏻;beso: persona, persona, tono de piel oscuro, tono de piel claro;beso|beso: persona, persona, tono de piel oscuro, tono de piel claro|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel claro|tono de piel oscuro
	🧑🏿‍❤️‍💋‍🧑🏼;beso: persona, persona, tono de piel oscuro, tono de piel claro medio;beso|beso: persona, persona, tono de piel oscuro, tono de piel claro medio|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel claro medio|tono de piel oscuro
	🧑🏿‍❤️‍💋‍🧑🏽;beso: persona, persona, tono de piel oscuro, tono de piel medio;beso|beso: persona, persona, tono de piel oscuro, tono de piel medio|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel medio|tono de piel oscuro
	🧑🏿‍❤️‍💋‍🧑🏾;beso: persona, persona, tono de piel oscuro, tono de piel oscuro medio;beso|beso: persona, persona, tono de piel oscuro, tono de piel oscuro medio|pareja|pareja besándose|persona|personas|romance|romántico|tono de piel oscuro|tono de piel oscuro medio
👩‍❤️‍💋‍👨;beso: mujer y hombre;beso|beso: mujer y hombre|hombre|mujer|pareja|pareja besándose|personas|romance|romántico
	👩🏻‍❤️‍💋‍👨🏻;beso: mujer, hombre, tono de piel claro;beso|beso: mujer, hombre, tono de piel claro|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro
	👩🏻‍❤️‍💋‍👨🏼;beso: mujer, hombre, tono de piel claro, tono de piel claro medio;beso|beso: mujer, hombre, tono de piel claro, tono de piel claro medio|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel claro medio
	👩🏻‍❤️‍💋‍👨🏽;beso: mujer, hombre, tono de piel claro, tono de piel medio;beso|beso: mujer, hombre, tono de piel claro, tono de piel medio|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel medio
	👩🏻‍❤️‍💋‍👨🏾;beso: mujer, hombre, tono de piel claro, tono de piel oscuro medio;beso|beso: mujer, hombre, tono de piel claro, tono de piel oscuro medio|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel oscuro medio
	👩🏻‍❤️‍💋‍👨🏿;beso: mujer, hombre, tono de piel claro, tono de piel oscuro;beso|beso: mujer, hombre, tono de piel claro, tono de piel oscuro|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel oscuro
	👩🏼‍❤️‍💋‍👨🏻;beso: mujer, hombre, tono de piel claro medio, tono de piel claro;beso|beso: mujer, hombre, tono de piel claro medio, tono de piel claro|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel claro medio
	👩🏼‍❤️‍💋‍👨🏼;beso: mujer, hombre, tono de piel claro medio;beso|beso: mujer, hombre, tono de piel claro medio|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio
	👩🏼‍❤️‍💋‍👨🏽;beso: mujer, hombre, tono de piel claro medio, tono de piel medio;beso|beso: mujer, hombre, tono de piel claro medio, tono de piel medio|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio|tono de piel medio
	👩🏼‍❤️‍💋‍👨🏾;beso: mujer, hombre, tono de piel claro medio, tono de piel oscuro medio;beso|beso: mujer, hombre, tono de piel claro medio, tono de piel oscuro medio|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio|tono de piel oscuro medio
	👩🏼‍❤️‍💋‍👨🏿;beso: mujer, hombre, tono de piel claro medio, tono de piel oscuro;beso|beso: mujer, hombre, tono de piel claro medio, tono de piel oscuro|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio|tono de piel oscuro
	👩🏽‍❤️‍💋‍👨🏻;beso: mujer, hombre, tono de piel medio, tono de piel claro;beso|beso: mujer, hombre, tono de piel medio, tono de piel claro|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel medio
	👩🏽‍❤️‍💋‍👨🏼;beso: mujer, hombre, tono de piel medio, tono de piel claro medio;beso|beso: mujer, hombre, tono de piel medio, tono de piel claro medio|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio|tono de piel medio
	👩🏽‍❤️‍💋‍👨🏽;beso: mujer, hombre, tono de piel medio;beso|beso: mujer, hombre, tono de piel medio|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel medio
	👩🏽‍❤️‍💋‍👨🏾;beso: mujer, hombre, tono de piel medio, tono de piel oscuro medio;beso|beso: mujer, hombre, tono de piel medio, tono de piel oscuro medio|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel medio|tono de piel oscuro medio
	👩🏽‍❤️‍💋‍👨🏿;beso: mujer, hombre, tono de piel medio, tono de piel oscuro;beso|beso: mujer, hombre, tono de piel medio, tono de piel oscuro|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel medio|tono de piel oscuro
	👩🏾‍❤️‍💋‍👨🏻;beso: mujer, hombre, tono de piel oscuro medio, tono de piel claro;beso|beso: mujer, hombre, tono de piel oscuro medio, tono de piel claro|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel oscuro medio
	👩🏾‍❤️‍💋‍👨🏼;beso: mujer, hombre, tono de piel oscuro medio, tono de piel claro medio;beso|beso: mujer, hombre, tono de piel oscuro medio, tono de piel claro medio|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio|tono de piel oscuro medio
	👩🏾‍❤️‍💋‍👨🏽;beso: mujer, hombre, tono de piel oscuro medio, tono de piel medio;beso|beso: mujer, hombre, tono de piel oscuro medio, tono de piel medio|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel medio|tono de piel oscuro medio
	👩🏾‍❤️‍💋‍👨🏾;beso: mujer, hombre, tono de piel oscuro medio;beso|beso: mujer, hombre, tono de piel oscuro medio|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel oscuro medio
	👩🏾‍❤️‍💋‍👨🏿;beso: mujer, hombre, tono de piel oscuro medio, tono de piel oscuro;beso|beso: mujer, hombre, tono de piel oscuro medio, tono de piel oscuro|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel oscuro|tono de piel oscuro medio
	👩🏿‍❤️‍💋‍👨🏻;beso: mujer, hombre, tono de piel oscuro, tono de piel claro;beso|beso: mujer, hombre, tono de piel oscuro, tono de piel claro|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel oscuro
	👩🏿‍❤️‍💋‍👨🏼;beso: mujer, hombre, tono de piel oscuro, tono de piel claro medio;beso|beso: mujer, hombre, tono de piel oscuro, tono de piel claro medio|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio|tono de piel oscuro
	👩🏿‍❤️‍💋‍👨🏽;beso: mujer, hombre, tono de piel oscuro, tono de piel medio;beso|beso: mujer, hombre, tono de piel oscuro, tono de piel medio|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel medio|tono de piel oscuro
	👩🏿‍❤️‍💋‍👨🏾;beso: mujer, hombre, tono de piel oscuro, tono de piel oscuro medio;beso|beso: mujer, hombre, tono de piel oscuro, tono de piel oscuro medio|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel oscuro|tono de piel oscuro medio
	👩🏿‍❤️‍💋‍👨🏿;beso: mujer, hombre, tono de piel oscuro;beso|beso: mujer, hombre, tono de piel oscuro|hombre|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel oscuro
👨‍❤️‍💋‍👨;beso: hombre y hombre;beso|beso: hombre y hombre|hombre|pareja|pareja besándose|personas|romance|romántico
	👨🏻‍❤️‍💋‍👨🏻;beso: hombre, hombre, tono de piel claro;beso|beso: hombre, hombre, tono de piel claro|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel claro
