[smileys_emotion]
😀;cara sonriendo;cara|cara sonriendo|contento|divertido|sonrisa
☠️;calavera y huesos cruzados;calavera y huesos cruzados|cara|huesos
💩;caca con ojos;caca con ojos|cara|estiércol|gracioso
🤡;↑↑↑;↑↑↑
👹;demonio japonés oni;demonio japonés oni|fantasía|japonés|ogro|oni
👺;↑↑↑;↑↑↑
👻;↑↑↑;↑↑↑
👽;alienígena;alien|alienígena|cara|extraterrestre|ovni
👾;monstruo alienígena;cara|extraterrestre|monstruo alienígena|ovni
🤖;cara de robot;cara|cara de robot|monstruo
😺;cara de gato sonriendo;abierta|boca|cara|cara de gato sonriendo|gato
😸;↑↑↑;cara|cara de gato sonriendo con ojos sonrientes|gato|gato sonriendo con ojos sonrientes|sonriente|sonrisa
😹;cara de gato llorando de risa;alegría|cara|cara de gato llorando de risa|gato|lágrimas|llorando
😻;gato con ojos de corazón;amor|cara|cara de gato sonriendo con ojos de corazón|corazones|gato|gato con ojos de corazón
😼;cara de gato con sonrisa irónica;cara de gato con sonrisa irónica|gato|irónico|sarcástico|sonrisa
😽;cara de gato besando;beso|cara de gato besando|cerrados|gato|ojos
🙀;cara de gato asustado;↑↑↑
😿;cara de gato llorando;cara de gato llorando|gato|lágrima|llanto|llorar|triste
😾;↑↑↑;cara|cara de gato enfadado|enfadado|enojado|gato
🙈;mono con los ojos tapados;cara|mono|mono con los ojos tapados|no ver
🙉;mono con los oídos tapados;cara|mono|mono con los oídos tapados|no oír
🙊;mono con la boca tapada;cara|mono|mono con la boca tapada|no hablar
💌;↑↑↑;↑↑↑
💘;↑↑↑;↑↑↑
💝;corazón con lazo;amor|corazón|corazón con lazo|emoción|moño
💖;↑↑↑;↑↑↑
💗;corazón creciente;amor|corazón|corazón creciente|emoción|entusiasmado
💓;corazón latiendo;corazón|corazón latiendo|emoción|latidos|palpitar
💞;corazones giratorios;amor|corazón|corazones giratorios|emoción|girar
💕;↑↑↑;↑↑↑
💟;adorno de corazón;adorno de corazón|corazón
❣️;↑↑↑;↑↑↑
💔;↑↑↑;corazón|mal|roto|sufrir|triste
❤️‍🔥;↑↑↑;↑↑↑
❤️‍🩹;↑↑↑;↑↑↑
❤️;↑↑↑;amor|corazón|emoción|rojo
🩷;↑↑↑;↑↑↑
🧡;↑↑↑;↑↑↑
💛;↑↑↑;↑↑↑
💚;↑↑↑;↑↑↑
💙;↑↑↑;↑↑↑
🩵;corazón azul claro;corazón azul claro
💜;↑↑↑;corazón|emoción|morado
🤎;corazón café;corazón|corazón café|emoción|marrón
🖤;↑↑↑;↑↑↑
🩶;↑↑↑;↑↑↑
🤍;↑↑↑;↑↑↑
💋;↑↑↑;↑↑↑
💯;↑↑↑;100|perfecto|puntaje|puntos|puntuación
💢;símbolo de enfado;cómics|emoción|señal de enojo|símbolo de enfado
💥;↑↑↑;choque|colisión|cómics|emoción|explosión
💫;símbolo de mareo;cómics|emoción|estrellas|mareo|símbolo de mareo
💦;↑↑↑;↑↑↑
💨;↑↑↑;correr|corriendo|emoción|escapar|huir|salir corriendo
🕳️;↑↑↑;agujero|cómics|pozo
💬;↑↑↑;burbuja|cómics|diálogo|globo|globo de diálogo
👁️‍🗨️;ojo en un globo de texto;ojo en un globo de texto
🗨️;↑↑↑;burbuja|cómics|diálogo|globo|globo de diálogo izquierdo
🗯️;↑↑↑;burbuja|cómics|derecho|enojado|globo|globo de enojo derecho
💭;↑↑↑;burbuja|cómics|globo|globo de pensamiento|pensamiento
💤;↑↑↑;cómics|emoción|estar durmiendo|roncar|símbolo de sueño

[people_body]
👋;↑↑↑;↑↑↑
	👋🏻;;
	👋🏼;;
	👋🏽;;
	👋🏾;;
	👋🏿;;
🤚;dorso de la mano;dorso|dorso de la mano|dorso de la mano alzado|mano
	🤚🏻;dorso de la mano: tono de piel claro;dorso|dorso de la mano|dorso de la mano alzado|dorso de la mano: tono de piel claro|mano|tono de piel claro
	🤚🏼;dorso de la mano: tono de piel claro medio;dorso|dorso de la mano|dorso de la mano alzado|dorso de la mano: tono de piel claro medio|mano|tono de piel claro medio
	🤚🏽;dorso de la mano: tono de piel medio;dorso|dorso de la mano|dorso de la mano alzado|dorso de la mano: tono de piel medio|mano|tono de piel medio
	🤚🏾;dorso de la mano: tono de piel oscuro medio;dorso|dorso de la mano|dorso de la mano alzado|dorso de la mano: tono de piel oscuro medio|mano|tono de piel oscuro medio
	🤚🏿;dorso de la mano: tono de piel oscuro;dorso|dorso de la mano|dorso de la mano alzado|dorso de la mano: tono de piel oscuro|mano|tono de piel oscuro
🖐️;↑↑↑;dedos|mano|mano abierta|palma de la mano
	🖐🏻;;dedos|mano|mano abierta|palma de la mano|tono de piel claro
	🖐🏼;;dedos|mano|mano abierta|palma de la mano|tono de piel claro medio
	🖐🏽;;dedos|mano|mano abierta|palma de la mano|tono de piel medio
	🖐🏾;;dedos|mano|mano abierta|palma de la mano|tono de piel oscuro medio
	🖐🏿;;dedos|mano|mano abierta|palma de la mano|tono de piel oscuro
✋;↑↑↑;mano|mano abierta|mano levantada|palma de la mano
	✋🏻;;mano|mano abierta|mano levantada|palma de la mano|tono de piel claro
	✋🏼;;mano|mano abierta|mano levantada|palma de la mano|tono de piel claro medio
	✋🏽;;mano|mano abierta|mano levantada|palma de la mano|tono de piel medio
	✋🏾;;mano|mano abierta|mano levantada|palma de la mano|tono de piel oscuro medio
	✋🏿;;mano|mano abierta|mano levantada|palma de la mano|tono de piel oscuro
🖖;↑↑↑;saludo|spock|star|trek|vulcano
	🖖🏻;;saludo|spock|star|tono de piel claro|trek|vulcano
	🖖🏼;;saludo|spock|star|tono de piel claro medio|trek|vulcano
	🖖🏽;;saludo|spock|star|tono de piel medio|trek|vulcano
	🖖🏾;;saludo|spock|star|tono de piel oscuro medio|trek|vulcano
	🖖🏿;;saludo|spock|star|tono de piel oscuro|trek|vulcano
🫱;↑↑↑;↑↑↑
	🫱🏻;;
	🫱🏼;;
	🫱🏽;;
	🫱🏾;;
	🫱🏿;;
🫲;↑↑↑;↑↑↑
	🫲🏻;;
	🫲🏼;;
	🫲🏽;;
	🫲🏾;;
	🫲🏿;;
🫳;↑↑↑;↑↑↑
	🫳🏻;;
	🫳🏼;;
	🫳🏽;;
	🫳🏾;;
	🫳🏿;;
🫴;↑↑↑;↑↑↑
	🫴🏻;;
	🫴🏼;;
	🫴🏽;;
	🫴🏾;;
	🫴🏿;;
🫷;↑↑↑;↑↑↑
	🫷🏻;;
	🫷🏼;;
	🫷🏽;;
	🫷🏾;;
	🫷🏿;;
🫸;↑↑↑;↑↑↑
	🫸🏻;;
	🫸🏼;;
	🫸🏽;;
	🫸🏾;;
	🫸🏿;;
👌;señal de aprobación con la mano;gesto|mano|ok|señal|señal de aprobación con la mano
	👌🏻;señal de aprobación con la mano: tono de piel claro;gesto|mano|ok|señal|señal de aprobación con la mano|señal de aprobación con la mano: tono de piel claro|tono de piel claro
	👌🏼;señal de aprobación con la mano: tono de piel claro medio;gesto|mano|ok|señal|señal de aprobación con la mano|señal de aprobación con la mano: tono de piel claro medio|tono de piel claro medio
	👌🏽;señal de aprobación con la mano: tono de piel medio;gesto|mano|ok|señal|señal de aprobación con la mano|señal de aprobación con la mano: tono de piel medio|tono de piel medio
	👌🏾;señal de aprobación con la mano: tono de piel oscuro medio;gesto|mano|ok|señal|señal de aprobación con la mano|señal de aprobación con la mano: tono de piel oscuro medio|tono de piel oscuro medio
	👌🏿;señal de aprobación con la mano: tono de piel oscuro;gesto|mano|ok|señal|señal de aprobación con la mano|señal de aprobación con la mano: tono de piel oscuro|tono de piel oscuro
🤌;dedos unidos;dedos|dedos juntos apuntando hacia arriba|dedos unidos|gesto|italia|italiano|mano|sarcasmo
	🤌🏻;dedos unidos: tono de piel claro;dedos|dedos juntos apuntando hacia arriba|dedos unidos|dedos unidos: tono de piel claro|gesto|italia|italiano|mano|sarcasmo|tono de piel claro
	🤌🏼;dedos unidos: tono de piel claro medio;dedos|dedos juntos apuntando hacia arriba|dedos unidos|dedos unidos: tono de piel claro medio|gesto|italia|italiano|mano|sarcasmo|tono de piel claro medio
	🤌🏽;dedos unidos: tono de piel medio;dedos|dedos juntos apuntando hacia arriba|dedos unidos|dedos unidos: tono de piel medio|gesto|italia|italiano|mano|sarcasmo|tono de piel medio
	🤌🏾;dedos unidos: tono de piel oscuro medio;dedos|dedos juntos apuntando hacia arriba|dedos unidos|dedos unidos: tono de piel oscuro medio|gesto|italia|italiano|mano|sarcasmo|tono de piel oscuro medio
	🤌🏿;dedos unidos: tono de piel oscuro;dedos|dedos juntos apuntando hacia arriba|dedos unidos|dedos unidos: tono de piel oscuro|gesto|italia|italiano|mano|sarcasmo|tono de piel oscuro
🤏;↑↑↑;↑↑↑
	🤏🏻;;
	🤏🏼;;
	🤏🏽;;
	🤏🏾;;
	🤏🏿;;
✌️;mano con señal de victoria;amor y paz|mano con señal de victoria|tijera|victoria
	✌🏻;mano con señal de victoria: tono de piel claro;amor y paz|mano con señal de victoria|mano con señal de victoria: tono de piel claro|tijera|tono de piel claro|victoria
	✌🏼;mano con señal de victoria: tono de piel claro medio;amor y paz|mano con señal de victoria|mano con señal de victoria: tono de piel claro medio|tijera|tono de piel claro medio|victoria
	✌🏽;mano con señal de victoria: tono de piel medio;amor y paz|mano con señal de victoria|mano con señal de victoria: tono de piel medio|tijera|tono de piel medio|victoria
	✌🏾;mano con señal de victoria: tono de piel oscuro medio;amor y paz|mano con señal de victoria|mano con señal de victoria: tono de piel oscuro medio|tijera|tono de piel oscuro medio|victoria
	✌🏿;mano con señal de victoria: tono de piel oscuro;amor y paz|mano con señal de victoria|mano con señal de victoria: tono de piel oscuro|tijera|tono de piel oscuro|victoria
🤞;↑↑↑;dedos cruzados|mano|suerte
	🤞🏻;;dedos cruzados|mano|suerte|tono de piel claro
	🤞🏼;;dedos cruzados|mano|suerte|tono de piel claro medio
	🤞🏽;;dedos cruzados|mano|suerte|tono de piel medio
	🤞🏾;;dedos cruzados|mano|suerte|tono de piel oscuro medio
	🤞🏿;;dedos cruzados|mano|suerte|tono de piel oscuro
🫰;↑↑↑;↑↑↑
	🫰🏻;;
	🫰🏼;;
	🫰🏽;;
	🫰🏾;;
	🫰🏿;;
🤟;↑↑↑;↑↑↑
	🤟🏻;;
	🤟🏼;;
	🤟🏽;;
	🤟🏾;;
	🤟🏿;;
🤘;mano haciendo los cuernos;cuernos|dedos|mano haciendo los cuernos|rock|roll
	🤘🏻;mano haciendo los cuernos: tono de piel claro;cuernos|dedos|mano haciendo los cuernos|mano haciendo los cuernos: tono de piel claro|rock|roll|tono de piel claro
	🤘🏼;mano haciendo los cuernos: tono de piel claro medio;cuernos|dedos|mano haciendo los cuernos|mano haciendo los cuernos: tono de piel claro medio|rock|roll|tono de piel claro medio
	🤘🏽;mano haciendo los cuernos: tono de piel medio;cuernos|dedos|mano haciendo los cuernos|mano haciendo los cuernos: tono de piel medio|rock|roll|tono de piel medio
	🤘🏾;mano haciendo los cuernos: tono de piel oscuro medio;cuernos|dedos|mano haciendo los cuernos|mano haciendo los cuernos: tono de piel oscuro medio|rock|roll|tono de piel oscuro medio
	🤘🏿;mano haciendo los cuernos: tono de piel oscuro;cuernos|dedos|mano haciendo los cuernos|mano haciendo los cuernos: tono de piel oscuro|rock|roll|tono de piel oscuro
🤙;mano haciendo el gesto de llamar;gesto|llamada|mano|mano haciendo el gesto de llamar
	🤙🏻;mano haciendo el gesto de llamar: tono de piel claro;gesto|llamada|mano|mano haciendo el gesto de llamar|mano haciendo el gesto de llamar: tono de piel claro|tono de piel claro
	🤙🏼;mano haciendo el gesto de llamar: tono de piel claro medio;gesto|llamada|mano|mano haciendo el gesto de llamar|mano haciendo el gesto de llamar: tono de piel claro medio|tono de piel claro medio
	🤙🏽;mano haciendo el gesto de llamar: tono de piel medio;gesto|llamada|mano|mano haciendo el gesto de llamar|mano haciendo el gesto de llamar: tono de piel medio|tono de piel medio
	🤙🏾;mano haciendo el gesto de llamar: tono de piel oscuro medio;gesto|llamada|mano|mano haciendo el gesto de llamar|mano haciendo el gesto de llamar: tono de piel oscuro medio|tono de piel oscuro medio
	🤙🏿;mano haciendo el gesto de llamar: tono de piel oscuro;gesto|llamada|mano|mano haciendo el gesto de llamar|mano haciendo el gesto de llamar: tono de piel oscuro|tono de piel oscuro
👈;mano apuntando índice a la izquierda;apuntar|dedo|dorso|índice|índice hacia la izquierda|mano apuntando índice a la izquierda|mano con dedo índice hacia la izquierda
	👈🏻;mano apuntando índice a la izquierda: tono de piel claro;apuntar|dedo|dorso|índice|índice hacia la izquierda|mano apuntando índice a la izquierda|mano apuntando índice a la izquierda: tono de piel claro|mano con dedo índice hacia la izquierda|tono de piel claro
