[smileys_emotion]
😀;cara feliz;cara|cara feliz|contento|divertido|sonrisa
😠;cara de enojado;cara|cara de enojado|enojado|enojo
🤬;↑↑↑;↑↑↑
😈;sonriente con cuernos;cara|cuernos|diablo|pícaro|sonriente con cuernos|sonrisa
👿;granuja;cara|diablo|fantasía|granuja
💀;cráneo;calavera|cara|cráneo|miedo|monstruo|muerte
☠️;calavera;calavera|cara|huesos
💩;caca;caca|cara|estiércol|gracioso
🤡;↑↑↑;↑↑↑
👹;cara de ogro japonés;cara|cara de ogro japonés|cuento|fantasía|japonés|ogro|oni
👺;cara de demonio japonés;cara|cara de demonio japonés|cuento|demonio|japonés|tengu
👻;↑↑↑;cuento|fantasía|fantasma|monstruo
👽;extraterrestre;↑↑↑
👾;monstruo extraterrestre;alien|cara|criatura|extraterrestre|monstruo alienígena|monstruo extraterrestre|ovni
🤖;↑↑↑;↑↑↑
😺;↑↑↑;↑↑↑
😸;↑↑↑;cara|gato|gato llorando de risa|gato sonriendo con ojos sonrientes|sonriente|sonrisa
😹;↑↑↑;alegría|cara|gato|gato llorando de risa|lágrimas|llorando
😻;↑↑↑;amor|cara|corazones|gato|gato sonriendo con ojos de corazón|gato sonriente con corazones
😼;gato sarcástico;cara|gato|irónico|sarcástico|sonrisa
😽;gato mandando un beso;beso|cara|cerrados|gato|gato mandando un beso|ojos
🙀;↑↑↑;cara de gato asustado|gato asustado
😿;↑↑↑;cara de gato llorando|gato llorando
😾;cara de gato enfadado;cara de gato enfadado
🙈;mono con ojos tapados;cara|mono|mono con ojos tapados|no|ojos|tapados|ver
🙉;mono con orejas tapadas;cara|mono|mono con orejas tapadas|no|oír|orejas|tapadas
🙊;mono con boca tapada;boca|callado|cara|hablar|mono|mono con boca tapada|no|secreto|silencio|tapada
💌;↑↑↑;carta|carta de amor|corazón|romance|sobre con corazón
💘;↑↑↑;↑↑↑
💝;corazón con moño;amor|corazón|corazón con moño|emoción|moño
💖;↑↑↑;↑↑↑
💗;corazón que crece;amor|corazón|corazón que crece|emoción|entusiasmado|nervioso
💓;corazón que palpita;amor|corazón|corazón que palpita|emoción|latidos|palpitar
