[smileys_emotion]
😀;cara feliz;cara|cara feliz|contento|divertido|sonrisa
🙆‍♂️;↑↑↑;↑↑↑
	🙆🏻‍♂️;;
	🙆🏼‍♂️;;
	🙆🏽‍♂️;;
	🙆🏾‍♂️;;
	🙆🏿‍♂️;;
🙆‍♀️;↑↑↑;↑↑↑
	🙆🏻‍♀️;;
	🙆🏼‍♀️;;
	🙆🏽‍♀️;;
	🙆🏾‍♀️;;
	🙆🏿‍♀️;;
💁;↑↑↑;↑↑↑
	💁🏻;;
	💁🏼;;
	💁🏽;;
	💁🏾;;
	💁🏿;;
💁‍♂️;↑↑↑;↑↑↑
	💁🏻‍♂️;;
	💁🏼‍♂️;;
	💁🏽‍♂️;;
	💁🏾‍♂️;;
	💁🏿‍♂️;;
💁‍♀️;↑↑↑;↑↑↑
	💁🏻‍♀️;;
	💁🏼‍♀️;;
	💁🏽‍♀️;;
	💁🏾‍♀️;;
	💁🏿‍♀️;;
🙋;persona levantando la mano;contenta|levantar|mano|persona|persona levantando la mano|yo
	🙋🏻;persona levantando la mano: tono de piel claro;contenta|levantar|mano|persona|persona levantando la mano|persona levantando la mano: tono de piel claro|tono de piel claro|yo
	🙋🏼;persona levantando la mano: tono de piel claro medio;contenta|levantar|mano|persona|persona levantando la mano|persona levantando la mano: tono de piel claro medio|tono de piel claro medio|yo
	🙋🏽;persona levantando la mano: tono de piel medio;contenta|levantar|mano|persona|persona levantando la mano|persona levantando la mano: tono de piel medio|tono de piel medio|yo
	🙋🏾;persona levantando la mano: tono de piel oscuro medio;contenta|levantar|mano|persona|persona levantando la mano|persona levantando la mano: tono de piel oscuro medio|tono de piel oscuro medio|yo
	🙋🏿;persona levantando la mano: tono de piel oscuro;contenta|levantar|mano|persona|persona levantando la mano|persona levantando la mano: tono de piel oscuro|tono de piel oscuro|yo
🙋‍♂️;↑↑↑;↑↑↑
	🙋🏻‍♂️;;
	🙋🏼‍♂️;;
	🙋🏽‍♂️;;
	🙋🏾‍♂️;;
	🙋🏿‍♂️;;
🙋‍♀️;↑↑↑;↑↑↑
	🙋🏻‍♀️;;
	🙋🏼‍♀️;;
	🙋🏽‍♀️;;
	🙋🏾‍♀️;;
	🙋🏿‍♀️;;
🧏;↑↑↑;↑↑↑
	🧏🏻;;
	🧏🏼;;
	🧏🏽;;
	🧏🏾;;
	🧏🏿;;
🧏‍♂️;↑↑↑;↑↑↑
	🧏🏻‍♂️;;
	🧏🏼‍♂️;;
	🧏🏽‍♂️;;
	🧏🏾‍♂️;;
	🧏🏿‍♂️;;
🧏‍♀️;↑↑↑;↑↑↑
	🧏🏻‍♀️;;
	🧏🏼‍♀️;;
	🧏🏽‍♀️;;
	🧏🏾‍♀️;;
	🧏🏿‍♀️;;
🙇;↑↑↑;gesto|perdón|persona|persona haciendo una reverencia|reverencia
	🙇🏻;;gesto|perdón|persona|persona haciendo una reverencia|persona haciendo una reverencia: tono de piel claro|reverencia|tono de piel claro
	🙇🏼;;gesto|perdón|persona|persona haciendo una reverencia|persona haciendo una reverencia: tono de piel claro medio|reverencia|tono de piel claro medio
	🙇🏽;;gesto|perdón|persona|persona haciendo una reverencia|persona haciendo una reverencia: tono de piel medio|reverencia|tono de piel medio
	🙇🏾;;gesto|perdón|persona|persona haciendo una reverencia|persona haciendo una reverencia: tono de piel oscuro medio|reverencia|tono de piel oscuro medio
	🙇🏿;;gesto|perdón|persona|persona haciendo una reverencia|persona haciendo una reverencia: tono de piel oscuro|reverencia|tono de piel oscuro
🙇‍♂️;↑↑↑;↑↑↑
	🙇🏻‍♂️;;
	🙇🏼‍♂️;;
	🙇🏽‍♂️;;
	🙇🏾‍♂️;;
	🙇🏿‍♂️;;
🙇‍♀️;↑↑↑;↑↑↑
	🙇🏻‍♀️;;
	🙇🏼‍♀️;;
	🙇🏽‍♀️;;
	🙇🏾‍♀️;;
	🙇🏿‍♀️;;
🤦;↑↑↑;↑↑↑
	🤦🏻;;
	🤦🏼;;
	🤦🏽;;
	🤦🏾;;
	🤦🏿;;
🤦‍♂️;↑↑↑;↑↑↑
	🤦🏻‍♂️;;
	🤦🏼‍♂️;;
	🤦🏽‍♂️;;
	🤦🏾‍♂️;;
	🤦🏿‍♂️;;
🤦‍♀️;↑↑↑;↑↑↑
	🤦🏻‍♀️;;
	🤦🏼‍♀️;;
	🤦🏽‍♀️;;
	🤦🏾‍♀️;;
	🤦🏿‍♀️;;
🤷;↑↑↑;↑↑↑
	🤷🏻;;
	🤷🏼;;
	🤷🏽;;
	🤷🏾;;
	🤷🏿;;
🤷‍♂️;↑↑↑;↑↑↑
	🤷🏻‍♂️;;
	🤷🏼‍♂️;;
	🤷🏽‍♂️;;
	🤷🏾‍♂️;;
	🤷🏿‍♂️;;
🤷‍♀️;↑↑↑;↑↑↑
	🤷🏻‍♀️;;
	🤷🏼‍♀️;;
	🤷🏽‍♀️;;
	🤷🏾‍♀️;;
	🤷🏿‍♀️;;
🧑‍⚕️;↑↑↑;↑↑↑
	🧑🏻‍⚕️;;
	🧑🏼‍⚕️;;
	🧑🏽‍⚕️;;
	🧑🏾‍⚕️;;
	🧑🏿‍⚕️;;
👨‍⚕️;↑↑↑;↑↑↑
	👨🏻‍⚕️;;
	👨🏼‍⚕️;;
	👨🏽‍⚕️;;
	👨🏾‍⚕️;;
	👨🏿‍⚕️;;
👩‍⚕️;↑↑↑;↑↑↑
	👩🏻‍⚕️;;
	👩🏼‍⚕️;;
	👩🏽‍⚕️;;
	👩🏾‍⚕️;;
	👩🏿‍⚕️;;
🧑‍🎓;↑↑↑;↑↑↑
	🧑🏻‍🎓;;
	🧑🏼‍🎓;;
	🧑🏽‍🎓;;
	🧑🏾‍🎓;;
	🧑🏿‍🎓;;
👨‍🎓;↑↑↑;↑↑↑
	👨🏻‍🎓;;
	👨🏼‍🎓;;
	👨🏽‍🎓;;
	👨🏾‍🎓;;
	👨🏿‍🎓;;
👩‍🎓;↑↑↑;↑↑↑
	👩🏻‍🎓;;
	👩🏼‍🎓;;
	👩🏽‍🎓;;
	👩🏾‍🎓;;
	👩🏿‍🎓;;
🧑‍🏫;↑↑↑;↑↑↑
	🧑🏻‍🏫;;
	🧑🏼‍🏫;;
	🧑🏽‍🏫;;
	🧑🏾‍🏫;;
	🧑🏿‍🏫;;
👨‍🏫;↑↑↑;↑↑↑
	👨🏻‍🏫;;
	👨🏼‍🏫;;
	👨🏽‍🏫;;
	👨🏾‍🏫;;
	👨🏿‍🏫;;
👩‍🏫;↑↑↑;↑↑↑
	👩🏻‍🏫;;
	👩🏼‍🏫;;
	👩🏽‍🏫;;
	👩🏾‍🏫;;
	👩🏿‍🏫;;
🧑‍⚖️;↑↑↑;↑↑↑
	🧑🏻‍⚖️;;
	🧑🏼‍⚖️;;
	🧑🏽‍⚖️;;
	🧑🏾‍⚖️;;
	🧑🏿‍⚖️;;
👨‍⚖️;↑↑↑;↑↑↑
	👨🏻‍⚖️;;
	👨🏼‍⚖️;;
	👨🏽‍⚖️;;
	👨🏾‍⚖️;;
	👨🏿‍⚖️;;
👩‍⚖️;↑↑↑;↑↑↑
	👩🏻‍⚖️;;
	👩🏼‍⚖️;;
	👩🏽‍⚖️;;
	👩🏾‍⚖️;;
	👩🏿‍⚖️;;
🧑‍🌾;↑↑↑;↑↑↑
	🧑🏻‍🌾;;
	🧑🏼‍🌾;;
	🧑🏽‍🌾;;
	🧑🏾‍🌾;;
	🧑🏿‍🌾;;
👨‍🌾;↑↑↑;↑↑↑
	👨🏻‍🌾;;
	👨🏼‍🌾;;
	👨🏽‍🌾;;
	👨🏾‍🌾;;
	👨🏿‍🌾;;
👩‍🌾;↑↑↑;↑↑↑
	👩🏻‍🌾;;
	👩🏼‍🌾;;
	👩🏽‍🌾;;
	👩🏾‍🌾;;
	👩🏿‍🌾;;
🧑‍🍳;↑↑↑;↑↑↑
	🧑🏻‍🍳;;
	🧑🏼‍🍳;;
	🧑🏽‍🍳;;
	🧑🏾‍🍳;;
	🧑🏿‍🍳;;
👨‍🍳;↑↑↑;↑↑↑
	👨🏻‍🍳;;
	👨🏼‍🍳;;
	👨🏽‍🍳;;
	👨🏾‍🍳;;
	👨🏿‍🍳;;
👩‍🍳;↑↑↑;↑↑↑
	👩🏻‍🍳;;
	👩🏼‍🍳;;
	👩🏽‍🍳;;
	👩🏾‍🍳;;
	👩🏿‍🍳;;
🧑‍🔧;↑↑↑;↑↑↑
	🧑🏻‍🔧;;
	🧑🏼‍🔧;;
	🧑🏽‍🔧;;
	🧑🏾‍🔧;;
	🧑🏿‍🔧;;
👨‍🔧;↑↑↑;↑↑↑
	👨🏻‍🔧;;
	👨🏼‍🔧;;
	👨🏽‍🔧;;
	👨🏾‍🔧;;
	👨🏿‍🔧;;
👩‍🔧;↑↑↑;↑↑↑
	👩🏻‍🔧;;
	👩🏼‍🔧;;
	👩🏽‍🔧;;
	👩🏾‍🔧;;
	👩🏿‍🔧;;
🧑‍🏭;↑↑↑;↑↑↑
	🧑🏻‍🏭;;
	🧑🏼‍🏭;;
	🧑🏽‍🏭;;
	🧑🏾‍🏭;;
	🧑🏿‍🏭;;
👨‍🏭;↑↑↑;↑↑↑
	👨🏻‍🏭;;
	👨🏼‍🏭;;
	👨🏽‍🏭;;
	👨🏾‍🏭;;
	👨🏿‍🏭;;
👩‍🏭;↑↑↑;↑↑↑
	👩🏻‍🏭;;
	👩🏼‍🏭;;
	👩🏽‍🏭;;
	👩🏾‍🏭;;
	👩🏿‍🏭;;
🧑‍💼;↑↑↑;↑↑↑
	🧑🏻‍💼;;
	🧑🏼‍💼;;
	🧑🏽‍💼;;
	🧑🏾‍💼;;
	🧑🏿‍💼;;
👨‍💼;↑↑↑;↑↑↑
	👨🏻‍💼;;
	👨🏼‍💼;;
	👨🏽‍💼;;
	👨🏾‍💼;;
	👨🏿‍💼;;
👩‍💼;↑↑↑;↑↑↑
	👩🏻‍💼;;
	👩🏼‍💼;;
	👩🏽‍💼;;
	👩🏾‍💼;;
	👩🏿‍💼;;
🧑‍🔬;↑↑↑;↑↑↑
	🧑🏻‍🔬;;
	🧑🏼‍🔬;;
	🧑🏽‍🔬;;
	🧑🏾‍🔬;;
	🧑🏿‍🔬;;
👨‍🔬;↑↑↑;↑↑↑
	👨🏻‍🔬;;
	👨🏼‍🔬;;
	👨🏽‍🔬;;
	👨🏾‍🔬;;
	👨🏿‍🔬;;
👩‍🔬;↑↑↑;↑↑↑
	👩🏻‍🔬;;
	👩🏼‍🔬;;
	👩🏽‍🔬;;
	👩🏾‍🔬;;
	👩🏿‍🔬;;
🧑‍💻;↑↑↑;↑↑↑
	🧑🏻‍💻;;
	🧑🏼‍💻;;
	🧑🏽‍💻;;
	🧑🏾‍💻;;
	🧑🏿‍💻;;
👨‍💻;↑↑↑;↑↑↑
	👨🏻‍💻;;
	👨🏼‍💻;;
	👨🏽‍💻;;
	👨🏾‍💻;;
	👨🏿‍💻;;
👩‍💻;↑↑↑;↑↑↑
	👩🏻‍💻;;
	👩🏼‍💻;;
	👩🏽‍💻;;
	👩🏾‍💻;;
	👩🏿‍💻;;
🧑‍🎤;↑↑↑;↑↑↑
	🧑🏻‍🎤;;
	🧑🏼‍🎤;;
	🧑🏽‍🎤;;
	🧑🏾‍🎤;;
	🧑🏿‍🎤;;
👨‍🎤;↑↑↑;↑↑↑
	👨🏻‍🎤;;
	👨🏼‍🎤;;
	👨🏽‍🎤;;
	👨🏾‍🎤;;
	👨🏿‍🎤;;
👩‍🎤;↑↑↑;↑↑↑
	👩🏻‍🎤;;
	👩🏼‍🎤;;
	👩🏽‍🎤;;
	👩🏾‍🎤;;
	👩🏿‍🎤;;
🧑‍🎨;↑↑↑;↑↑↑
	🧑🏻‍🎨;;
	🧑🏼‍🎨;;
	🧑🏽‍🎨;;
	🧑🏾‍🎨;;
	🧑🏿‍🎨;;
👨‍🎨;↑↑↑;↑↑↑
	👨🏻‍🎨;;
	👨🏼‍🎨;;
	👨🏽‍🎨;;
	👨🏾‍🎨;;
	👨🏿‍🎨;;
👩‍🎨;↑↑↑;↑↑↑
	👩🏻‍🎨;;
	👩🏼‍🎨;;
	👩🏽‍🎨;;
	👩🏾‍🎨;;
	👩🏿‍🎨;;
🧑‍✈️;↑↑↑;↑↑↑
	🧑🏻‍✈️;;
	🧑🏼‍✈️;;
	🧑🏽‍✈️;;
	🧑🏾‍✈️;;
	🧑🏿‍✈️;;
👨‍✈️;↑↑↑;↑↑↑
	👨🏻‍✈️;;
	👨🏼‍✈️;;
	👨🏽‍✈️;;
	👨🏾‍✈️;;
	👨🏿‍✈️;;
👩‍✈️;↑↑↑;↑↑↑
	👩🏻‍✈️;;
	👩🏼‍✈️;;
	👩🏽‍✈️;;
	👩🏾‍✈️;;
	👩🏿‍✈️;;
🧑‍🚀;↑↑↑;↑↑↑
	🧑🏻‍🚀;;
	🧑🏼‍🚀;;
	🧑🏽‍🚀;;
	🧑🏾‍🚀;;
	🧑🏿‍🚀;;
👨‍🚀;↑↑↑;↑↑↑
	👨🏻‍🚀;;
	👨🏼‍🚀;;
	👨🏽‍🚀;;
	👨🏾‍🚀;;
	👨🏿‍🚀;;
👩‍🚀;↑↑↑;↑↑↑
	👩🏻‍🚀;;
	👩🏼‍🚀;;
	👩🏽‍🚀;;
	👩🏾‍🚀;;
	👩🏿‍🚀;;
🧑‍🚒;↑↑↑;↑↑↑
	🧑🏻‍🚒;;
	🧑🏼‍🚒;;
	🧑🏽‍🚒;;
	🧑🏾‍🚒;;
	🧑🏿‍🚒;;
👨‍🚒;↑↑↑;↑↑↑
	👨🏻‍🚒;;
	👨🏼‍🚒;;
	👨🏽‍🚒;;
	👨🏾‍🚒;;
	👨🏿‍🚒;;
👩‍🚒;↑↑↑;↑↑↑
	👩🏻‍🚒;;
	👩🏼‍🚒;;
	👩🏽‍🚒;;
	👩🏾‍🚒;;
	👩🏿‍🚒;;
👮;↑↑↑;agente de policía|cara|oficial|persona|policía
	👮🏻;;agente de policía|agente de policía: tono de piel claro|cara|oficial|persona|policía|tono de piel claro
	👮🏼;;agente de policía|agente de policía: tono de piel claro medio|cara|oficial|persona|policía|tono de piel claro medio
	👮🏽;;agente de policía|agente de policía: tono de piel medio|cara|oficial|persona|policía|tono de piel medio
	👮🏾;;agente de policía|agente de policía: tono de piel oscuro medio|cara|oficial|persona|policía|tono de piel oscuro medio
	👮🏿;;agente de policía|agente de policía: tono de piel oscuro|cara|oficial|persona|policía|tono de piel oscuro
👮‍♂️;↑↑↑;↑↑↑
	👮🏻‍♂️;;
	👮🏼‍♂️;;
	👮🏽‍♂️;;
	👮🏾‍♂️;;
	👮🏿‍♂️;;
👮‍♀️;↑↑↑;↑↑↑
	👮🏻‍♀️;;
	👮🏼‍♀️;;
	👮🏽‍♀️;;
	👮🏾‍♀️;;
	👮🏿‍♀️;;
🕵️;↑↑↑;agente|búsqueda|detective|espía|investigación|persona
	🕵🏻;;agente|búsqueda|detective|espía|investigación|persona|tono de piel claro
	🕵🏼;;agente|búsqueda|detective|espía|investigación|persona|tono de piel claro medio
	🕵🏽;;agente|búsqueda|detective|espía|investigación|persona|tono de piel medio
	🕵🏾;;agente|búsqueda|detective|espía|investigación|persona|tono de piel oscuro medio
	🕵🏿;;agente|búsqueda|detective|espía|investigación|persona|tono de piel oscuro
🕵️‍♂️;↑↑↑;↑↑↑
	🕵🏻‍♂️;;
	🕵🏼‍♂️;;
	🕵🏽‍♂️;;
	🕵🏾‍♂️;;
	🕵🏿‍♂️;;
🕵️‍♀️;↑↑↑;↑↑↑
	🕵🏻‍♀️;;
	🕵🏼‍♀️;;
	🕵🏽‍♀️;;
	🕵🏾‍♀️;;
	🕵🏿‍♀️;;
💂;↑↑↑;cara|guardia|hombre|inglés|sombrero
	💂🏻;;cara|guardia|guardia: tono de piel claro|hombre|inglés|sombrero|tono de piel claro
	💂🏼;;cara|guardia|guardia: tono de piel claro medio|hombre|inglés|sombrero|tono de piel claro medio
	💂🏽;;cara|guardia|guardia: tono de piel medio|hombre|inglés|sombrero|tono de piel medio
	💂🏾;;cara|guardia|guardia: tono de piel oscuro medio|hombre|inglés|sombrero|tono de piel oscuro medio
	💂🏿;;cara|guardia|guardia: tono de piel oscuro|hombre|inglés|sombrero|tono de piel oscuro
💂‍♂️;↑↑↑;↑↑↑
	💂🏻‍♂️;;
	💂🏼‍♂️;;
	💂🏽‍♂️;;
	💂🏾‍♂️;;
	💂🏿‍♂️;;
💂‍♀️;↑↑↑;↑↑↑
	💂🏻‍♀️;;
	💂🏼‍♀️;;
	💂🏽‍♀️;;
	💂🏾‍♀️;;
	💂🏿‍♀️;;
🥷;↑↑↑;↑↑↑
	🥷🏻;;
	🥷🏼;;
	🥷🏽;;
	🥷🏾;;
	🥷🏿;;
👷;↑↑↑;↑↑↑
	👷🏻;;
	👷🏼;;
	👷🏽;;
	👷🏾;;
	👷🏿;;
👷‍♂️;↑↑↑;↑↑↑
	👷🏻‍♂️;;
	👷🏼‍♂️;;
	👷🏽‍♂️;;
	👷🏾‍♂️;;
	👷🏿‍♂️;;
👷‍♀️;↑↑↑;↑↑↑
	👷🏻‍♀️;;
	👷🏼‍♀️;;
	👷🏽‍♀️;;
	👷🏾‍♀️;;
	👷🏿‍♀️;;
🫅;↑↑↑;↑↑↑
	🫅🏻;;
	🫅🏼;;
	🫅🏽;;
	🫅🏾;;
	🫅🏿;;
🤴;↑↑↑;príncipe
	🤴🏻;;príncipe|tono de piel claro
	🤴🏼;;príncipe|tono de piel claro medio
	🤴🏽;;príncipe|tono de piel medio
	🤴🏾;;príncipe|tono de piel oscuro medio
	🤴🏿;;príncipe|tono de piel oscuro
👸;↑↑↑;↑↑↑
	👸🏻;;
	👸🏼;;
	👸🏽;;
	👸🏾;;
	👸🏿;;
👳;↑↑↑;cara|hombre|persona|persona con turbante|turbante
	👳🏻;;cara|hombre|persona|persona con turbante|persona con turbante: tono de piel claro|tono de piel claro|turbante
	👳🏼;;cara|hombre|persona|persona con turbante|persona con turbante: tono de piel claro medio|tono de piel claro medio|turbante
	👳🏽;;cara|hombre|persona|persona con turbante|persona con turbante: tono de piel medio|tono de piel medio|turbante
	👳🏾;;cara|hombre|persona|persona con turbante|persona con turbante: tono de piel oscuro medio|tono de piel oscuro medio|turbante
	👳🏿;;cara|hombre|persona|persona con turbante|persona con turbante: tono de piel oscuro|tono de piel oscuro|turbante
👳‍♂️;↑↑↑;↑↑↑
	👳🏻‍♂️;;
	👳🏼‍♂️;;
	👳🏽‍♂️;;
	👳🏾‍♂️;;
	👳🏿‍♂️;;
👳‍♀️;↑↑↑;↑↑↑
	👳🏻‍♀️;;
	👳🏼‍♀️;;
	👳🏽‍♀️;;
	👳🏾‍♀️;;
	👳🏿‍♀️;;
👲;↑↑↑;↑↑↑
	👲🏻;;
	👲🏼;;
	👲🏽;;
	👲🏾;;
	👲🏿;;
🧕;↑↑↑;↑↑↑
	🧕🏻;;
	🧕🏼;;
	🧕🏽;;
	🧕🏾;;
	🧕🏿;;
🤵;↑↑↑;↑↑↑
	🤵🏻;;
	🤵🏼;;
	🤵🏽;;
	🤵🏾;;
	🤵🏿;;
🤵‍♂️;↑↑↑;↑↑↑
	🤵🏻‍♂️;;
	🤵🏼‍♂️;;
	🤵🏽‍♂️;;
	🤵🏾‍♂️;;
	🤵🏿‍♂️;;
🤵‍♀️;↑↑↑;↑↑↑
	🤵🏻‍♀️;;
	🤵🏼‍♀️;;
	🤵🏽‍♀️;;
	🤵🏾‍♀️;;
	🤵🏿‍♀️;;
👰;↑↑↑;boda|persona|persona con velo|velo
	👰🏻;;boda|persona|persona con velo|persona con velo: tono de piel claro|tono de piel claro|velo
	👰🏼;;boda|persona|persona con velo|persona con velo: tono de piel claro medio|tono de piel claro medio|velo
	👰🏽;;boda|persona|persona con velo|persona con velo: tono de piel medio|tono de piel medio|velo
	👰🏾;;boda|persona|persona con velo|persona con velo: tono de piel oscuro medio|tono de piel oscuro medio|velo
	👰🏿;;boda|persona|persona con velo|persona con velo: tono de piel oscuro|tono de piel oscuro|velo
👰‍♂️;↑↑↑;↑↑↑
	👰🏻‍♂️;;
	👰🏼‍♂️;;
	👰🏽‍♂️;;
	👰🏾‍♂️;;
	👰🏿‍♂️;;
👰‍♀️;↑↑↑;↑↑↑
	👰🏻‍♀️;;
	👰🏼‍♀️;;
	👰🏽‍♀️;;
	👰🏾‍♀️;;
	👰🏿‍♀️;;
🤰;↑↑↑;embarazada|embarazo|mujer
	🤰🏻;;embarazada|embarazo|mujer|mujer embarazada: tono de piel claro|tono de piel claro
	🤰🏼;;embarazada|embarazo|mujer|mujer embarazada: tono de piel claro medio|tono de piel claro medio
	🤰🏽;;embarazada|embarazo|mujer|mujer embarazada: tono de piel medio|tono de piel medio
	🤰🏾;;embarazada|embarazo|mujer|mujer embarazada: tono de piel oscuro medio|tono de piel oscuro medio
	🤰🏿;;embarazada|embarazo|mujer|mujer embarazada: tono de piel oscuro|tono de piel oscuro
🫃;↑↑↑;↑↑↑
	🫃🏻;;
	🫃🏼;;
	🫃🏽;;
	🫃🏾;;
	🫃🏿;;
🫄;↑↑↑;↑↑↑
	🫄🏻;;
	🫄🏼;;
	🫄🏽;;
	🫄🏾;;
	🫄🏿;;
🤱;↑↑↑;↑↑↑
	🤱🏻;;
	🤱🏼;;
	🤱🏽;;
	🤱🏾;;
	🤱🏿;;
👩‍🍼;↑↑↑;↑↑↑
	👩🏻‍🍼;;
	👩🏼‍🍼;;
	👩🏽‍🍼;;
	👩🏾‍🍼;;
	👩🏿‍🍼;;
👨‍🍼;↑↑↑;↑↑↑
	👨🏻‍🍼;;
	👨🏼‍🍼;;
	👨🏽‍🍼;;
	👨🏾‍🍼;;
	👨🏿‍🍼;;
🧑‍🍼;↑↑↑;↑↑↑
	🧑🏻‍🍼;;
	🧑🏼‍🍼;;
	🧑🏽‍🍼;;
	🧑🏾‍🍼;;
	🧑🏿‍🍼;;
👼;cara de ángel bebé;ángel|bebé|cara|cara de ángel bebé|cuento
	👼🏻;cara de ángel bebé: tono de piel claro;ángel|bebé|cara|cara de ángel bebé|cara de ángel bebé: tono de piel claro|cuento|tono de piel claro
	👼🏼;cara de ángel bebé: tono de piel claro medio;ángel|bebé|cara|cara de ángel bebé|cara de ángel bebé: tono de piel claro medio|cuento|tono de piel claro medio
	👼🏽;cara de ángel bebé: tono de piel medio;ángel|bebé|cara|cara de ángel bebé|cara de ángel bebé: tono de piel medio|cuento|tono de piel medio
	👼🏾;cara de ángel bebé: tono de piel oscuro medio;ángel|bebé|cara|cara de ángel bebé|cara de ángel bebé: tono de piel oscuro medio|cuento|tono de piel oscuro medio
	👼🏿;cara de ángel bebé: tono de piel oscuro;ángel|bebé|cara|cara de ángel bebé|cara de ángel bebé: tono de piel oscuro|cuento|tono de piel oscuro
🎅;Santa Claus;fiesta|Navidad|noel|papá|santa|Santa Claus
	🎅🏻;Santa Claus: tono de piel claro;fiesta|Navidad|noel|papá|santa|Santa Claus|Santa Claus: tono de piel claro|tono de piel claro
	🎅🏼;Santa Claus: tono de piel claro medio;fiesta|Navidad|noel|papá|santa|Santa Claus|Santa Claus: tono de piel claro medio|tono de piel claro medio
	🎅🏽;Santa Claus: tono de piel medio;fiesta|Navidad|noel|papá|santa|Santa Claus|Santa Claus: tono de piel medio|tono de piel medio
	🎅🏾;Santa Claus: tono de piel oscuro medio;fiesta|Navidad|noel|papá|santa|Santa Claus|Santa Claus: tono de piel oscuro medio|tono de piel oscuro medio
	🎅🏿;Santa Claus: tono de piel oscuro;fiesta|Navidad|noel|papá|santa|Santa Claus|Santa Claus: tono de piel oscuro|tono de piel oscuro
🤶;↑↑↑;↑↑↑
	🤶🏻;;
	🤶🏼;;
	🤶🏽;;
	🤶🏾;;
	🤶🏿;;
🧑‍🎄;papá noel;Claus|Navidad|Papá Noel|Santa
	🧑🏻‍🎄;papá noel: tono de piel claro;Claus|Navidad|Papá Noel|papá noel: tono de piel claro|Santa|tono de piel claro
	🧑🏼‍🎄;papá noel: tono de piel claro medio;Claus|Navidad|Papá Noel|papá noel: tono de piel claro medio|Santa|tono de piel claro medio
	🧑🏽‍🎄;papá noel: tono de piel medio;Claus|Navidad|Papá Noel|papá noel: tono de piel medio|Santa|tono de piel medio
	🧑🏾‍🎄;papá noel: tono de piel oscuro medio;Claus|Navidad|Papá Noel|papá noel: tono de piel oscuro medio|Santa|tono de piel oscuro medio
	🧑🏿‍🎄;papá noel: tono de piel oscuro;Claus|Navidad|Papá Noel|papá noel: tono de piel oscuro|Santa|tono de piel oscuro
🦸;↑↑↑;↑↑↑
	🦸🏻;;
	🦸🏼;;
	🦸🏽;;
	🦸🏾;;
	🦸🏿;;
🦸‍♂️;↑↑↑;↑↑↑
	🦸🏻‍♂️;;
	🦸🏼‍♂️;;
	🦸🏽‍♂️;;
	🦸🏾‍♂️;;
	🦸🏿‍♂️;;
🦸‍♀️;↑↑↑;↑↑↑
	🦸🏻‍♀️;;
	🦸🏼‍♀️;;
	🦸🏽‍♀️;;
	🦸🏾‍♀️;;
	🦸🏿‍♀️;;
🦹;↑↑↑;↑↑↑
	🦹🏻;;
	🦹🏼;;
	🦹🏽;;
	🦹🏾;;
	🦹🏿;;
🦹‍♂️;↑↑↑;↑↑↑
	🦹🏻‍♂️;;
	🦹🏼‍♂️;;
	🦹🏽‍♂️;;
	🦹🏾‍♂️;;
	🦹🏿‍♂️;;
🦹‍♀️;↑↑↑;↑↑↑
	🦹🏻‍♀️;;
	🦹🏼‍♀️;;
	🦹🏽‍♀️;;
	🦹🏾‍♀️;;
	🦹🏿‍♀️;;
🧙;↑↑↑;↑↑↑
	🧙🏻;;
	🧙🏼;;
	🧙🏽;;
	🧙🏾;;
	🧙🏿;;
🧙‍♂️;↑↑↑;↑↑↑
	🧙🏻‍♂️;;
	🧙🏼‍♂️;;
	🧙🏽‍♂️;;
	🧙🏾‍♂️;;
	🧙🏿‍♂️;;
🧙‍♀️;↑↑↑;↑↑↑
	🧙🏻‍♀️;;
	🧙🏼‍♀️;;
	🧙🏽‍♀️;;
	🧙🏾‍♀️;;
	🧙🏿‍♀️;;
🧚;↑↑↑;↑↑↑
	🧚🏻;;
	🧚🏼;;
	🧚🏽;;
	🧚🏾;;
	🧚🏿;;
🧚‍♂️;↑↑↑;↑↑↑
	🧚🏻‍♂️;;
	🧚🏼‍♂️;;
	🧚🏽‍♂️;;
	🧚🏾‍♂️;;
	🧚🏿‍♂️;;
🧚‍♀️;↑↑↑;↑↑↑
	🧚🏻‍♀️;;
	🧚🏼‍♀️;;
	🧚🏽‍♀️;;
	🧚🏾‍♀️;;
	🧚🏿‍♀️;;
🧛;↑↑↑;↑↑↑
	🧛🏻;;
	🧛🏼;;
	🧛🏽;;
	🧛🏾;;
	🧛🏿;;
🧛‍♂️;↑↑↑;↑↑↑
	🧛🏻‍♂️;;
	🧛🏼‍♂️;;
	🧛🏽‍♂️;;
	🧛🏾‍♂️;;
	🧛🏿‍♂️;;
🧛‍♀️;↑↑↑;↑↑↑
	🧛🏻‍♀️;;
	🧛🏼‍♀️;;
	🧛🏽‍♀️;;
	🧛🏾‍♀️;;
	🧛🏿‍♀️;;
🧜;↑↑↑;persona sirena|sirena|sireno
	🧜🏻;;persona sirena|persona sirena: tono de piel claro|sirena|sireno|tono de piel claro
	🧜🏼;;persona sirena|persona sirena: tono de piel claro medio|sirena|sireno|tono de piel claro medio
	🧜🏽;;persona sirena|persona sirena: tono de piel medio|sirena|sireno|tono de piel medio
	🧜🏾;;persona sirena|persona sirena: tono de piel oscuro medio|sirena|sireno|tono de piel oscuro medio
	🧜🏿;;persona sirena|persona sirena: tono de piel oscuro|sirena|sireno|tono de piel oscuro
🧜‍♂️;sireno;sirena|sirena hombre|sireno|tritón
