# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;হাস্য মুখী;মুখ|হাস্য মুখী|হাঁহি
😜;জিভা মেলি চিৎকাৰ কৰা মুখ;কৌতুক|চকু|চিৎকাৰ|জিভা|জিভা মেলি চিৎকাৰ কৰা মুখ|মুখ
🤪;ব্যংগ মুখ;চকু|নিৰ্বোধ|বিশাল|ব্যংগ মুখ|সৰু
😝;জিভা মেলি মুখ বেকা কৰা চেহেৰা;চকু|জিভা|জিভা মেলি মুখ বেকা কৰা চেহেৰা|ভয়ানক|মুখ|সোৱাদ
🤑;ধন-মুখী চেহেৰা;ধন|ধন-মুখী চেহেৰা|মুখ
🤗;আলিঙ্গন কৰা মুখ;আলিঙ্গন|আলিঙ্গন কৰা|আলিঙ্গন কৰা মুখ|মুখ
🤭;মুখত হাত দিয়া চেহেৰা;উফ|মুখত হাত দিয়া চেহেৰা
🫢;খুলা চকু আৰু মুখত হাত দি থকা চেহেৰা;অবিশ্বাস|আশ্চৰ্য|খুলা চকু আৰু মুখত হাত দি থকা চেহেৰা|বিস্ময়|বিস্মিত|ভয় খোৱা|লজ্জিত
🫣;লুকাই লুকাই চাই থকা মুখ;নজৰ ৰখা|মনোমুগ্ধ|লুকাই লুকাই চাই থকা মুখ|লুকাই লুকাই চোৱা
🤫;শান্ত মুখ;নীৰৱ|শান্ত|শান্ত মুখ
🤔;চিন্তাশীল মুখ;চিন্তা|চিন্তা কৰা মুখ|চিন্তাশীল মুখ|মুখ
🫡;চালাম কৰি থকা মুখ;চালাম|চালাম কৰি থকা মুখ|ঠিক আছে|ৰ’দময়|সেনা|হয়
🤐;মুখ বন্ধ ৰখা চেহেৰা;বন্ধ ৰখা|মুখ|মুখ বন্ধ ৰখা চেহেৰা
🤨;চেলাউৰি দাং খাই থকা মুখ;অবিশ্বাস|চেলাউৰি দাং খাই থকা মুখ|সন্দেহবাদী
😐;উদাসীন মুখ;উদাসীন|বিভোৰ|মুখ
