# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;হাস্য মুখী;মুখ|হাস্য মুখী|হাঁহি
	🫱🏼‍🫲🏻;কৰমৰ্দন: মধ্যমীয়া-পাতল ছালৰ ৰং, পাতল ছালৰ ৰং;কৰমৰ্দন|কৰমৰ্দন: মধ্যমীয়া-পাতল ছালৰ ৰং, পাতল ছালৰ ৰং|চুক্তি|পাতল ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং|মিটিং|লৰোৱা|হাত
	🫱🏼‍🫲🏽;কৰমৰ্দন: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং;কৰমৰ্দন|কৰমৰ্দন: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং|চুক্তি|মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং|মিটিং|লৰোৱা|হাত
	🫱🏼‍🫲🏾;কৰমৰ্দন: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং;কৰমৰ্দন|কৰমৰ্দন: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং|চুক্তি|মধ্যমীয়া-ক’লা ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং|মিটিং|লৰোৱা|হাত
	🫱🏼‍🫲🏿;কৰমৰ্দন: মধ্যমীয়া-পাতল ছালৰ ৰং, ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|কৰমৰ্দন|কৰমৰ্দন: মধ্যমীয়া-পাতল ছালৰ ৰং, ক’লা ছালৰ ৰং|চুক্তি|মধ্যমীয়া-পাতল ছালৰ ৰং|মিটিং|লৰোৱা|হাত
	🫱🏽‍🫲🏻;কৰমৰ্দন: মধ্যমীয়া ছালৰ ৰং, পাতল ছালৰ ৰং;কৰমৰ্দন|কৰমৰ্দন: মধ্যমীয়া ছালৰ ৰং, পাতল ছালৰ ৰং|চুক্তি|পাতল ছালৰ ৰং|মধ্যমীয়া ছালৰ ৰং|মিটিং|লৰোৱা|হাত
	🫱🏽‍🫲🏼;কৰমৰ্দন: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং;কৰমৰ্দন|কৰমৰ্দন: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং|চুক্তি|মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং|মিটিং|লৰোৱা|হাত
	🫱🏽‍🫲🏾;কৰমৰ্দন: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং;কৰমৰ্দন|কৰমৰ্দন: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং|চুক্তি|মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং|মিটিং|লৰোৱা|হাত
	🫱🏽‍🫲🏿;কৰমৰ্দন: মধ্যমীয়া ছালৰ ৰং, ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|কৰমৰ্দন|কৰমৰ্দন: মধ্যমীয়া ছালৰ ৰং, ক’লা ছালৰ ৰং|চুক্তি|মধ্যমীয়া ছালৰ ৰং|মিটিং|লৰোৱা|হাত
	🫱🏾‍🫲🏻;কৰমৰ্দন: মধ্যমীয়া-ক’লা ছালৰ ৰং, পাতল ছালৰ ৰং;কৰমৰ্দন|কৰমৰ্দন: মধ্যমীয়া-ক’লা ছালৰ ৰং, পাতল ছালৰ ৰং|চুক্তি|পাতল ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং|মিটিং|লৰোৱা|হাত
	🫱🏾‍🫲🏼;কৰমৰ্দন: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং;কৰমৰ্দন|কৰমৰ্দন: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং|চুক্তি|মধ্যমীয়া-ক’লা ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং|মিটিং|লৰোৱা|হাত
	🫱🏾‍🫲🏽;কৰমৰ্দন: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং;কৰমৰ্দন|কৰমৰ্দন: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং|চুক্তি|মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং|মিটিং|লৰোৱা|হাত
	🫱🏾‍🫲🏿;কৰমৰ্দন: মধ্যমীয়া-ক’লা ছালৰ ৰং, ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|কৰমৰ্দন|কৰমৰ্দন: মধ্যমীয়া-ক’লা ছালৰ ৰং, ক’লা ছালৰ ৰং|চুক্তি|মধ্যমীয়া-ক’লা ছালৰ ৰং|মিটিং|লৰোৱা|হাত
	🫱🏿‍🫲🏻;কৰমৰ্দন: ক’লা ছালৰ ৰং, পাতল ছালৰ ৰং;ক’লা ছালৰ ৰং|কৰমৰ্দন|কৰমৰ্দন: ক’লা ছালৰ ৰং, পাতল ছালৰ ৰং|চুক্তি|পাতল ছালৰ ৰং|মিটিং|লৰোৱা|হাত
	🫱🏿‍🫲🏼;কৰমৰ্দন: ক’লা ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং;ক’লা ছালৰ ৰং|কৰমৰ্দন|কৰমৰ্দন: ক’লা ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং|চুক্তি|মধ্যমীয়া-পাতল ছালৰ ৰং|মিটিং|লৰোৱা|হাত
	🫱🏿‍🫲🏽;কৰমৰ্দন: ক’লা ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং;ক’লা ছালৰ ৰং|কৰমৰ্দন|কৰমৰ্দন: ক’লা ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং|চুক্তি|মধ্যমীয়া ছালৰ ৰং|মিটিং|লৰোৱা|হাত
	🫱🏿‍🫲🏾;কৰমৰ্দন: ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|কৰমৰ্দন|কৰমৰ্দন: ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং|চুক্তি|মধ্যমীয়া-ক’লা ছালৰ ৰং|মিটিং|লৰোৱা|হাত
🙏;হাত জোৰ কৰা;অনুগ্ৰহ|ধন্যবাদ|প্ৰাৰ্থনা|সোধা|হাত|হাত জোৰ কৰা
	🙏🏻;হাত জোৰ কৰা: পাতল ছালৰ ৰং;অনুগ্ৰহ|ধন্যবাদ|পাতল ছালৰ ৰং|প্ৰাৰ্থনা|সোধা|হাত|হাত জোৰ কৰা|হাত জোৰ কৰা: পাতল ছালৰ ৰং
	🙏🏼;হাত জোৰ কৰা: মধ্যমীয়া-পাতল ছালৰ ৰং;অনুগ্ৰহ|ধন্যবাদ|প্ৰাৰ্থনা|মধ্যমীয়া-পাতল ছালৰ ৰং|সোধা|হাত|হাত জোৰ কৰা|হাত জোৰ কৰা: মধ্যমীয়া-পাতল ছালৰ ৰং
	🙏🏽;হাত জোৰ কৰা: মধ্যমীয়া ছালৰ ৰং;অনুগ্ৰহ|ধন্যবাদ|প্ৰাৰ্থনা|মধ্যমীয়া ছালৰ ৰং|সোধা|হাত|হাত জোৰ কৰা|হাত জোৰ কৰা: মধ্যমীয়া ছালৰ ৰং
	🙏🏾;হাত জোৰ কৰা: মধ্যমীয়া-ক’লা ছালৰ ৰং;অনুগ্ৰহ|ধন্যবাদ|প্ৰাৰ্থনা|মধ্যমীয়া-ক’লা ছালৰ ৰং|সোধা|হাত|হাত জোৰ কৰা|হাত জোৰ কৰা: মধ্যমীয়া-ক’লা ছালৰ ৰং
	🙏🏿;হাত জোৰ কৰা: ক’লা ছালৰ ৰং;অনুগ্ৰহ|ক’লা ছালৰ ৰং|ধন্যবাদ|প্ৰাৰ্থনা|সোধা|হাত|হাত জোৰ কৰা|হাত জোৰ কৰা: ক’লা ছালৰ ৰং
✍️;লিখি থকা হাত;লিখা|লিখি থকা হাত|হাত
	✍🏻;লিখি থকা হাত: পাতল ছালৰ ৰং;পাতল ছালৰ ৰং|লিখা|লিখি থকা হাত|লিখি থকা হাত: পাতল ছালৰ ৰং|হাত
	✍🏼;লিখি থকা হাত: মধ্যমীয়া-পাতল ছালৰ ৰং;মধ্যমীয়া-পাতল ছালৰ ৰং|লিখা|লিখি থকা হাত|লিখি থকা হাত: মধ্যমীয়া-পাতল ছালৰ ৰং|হাত
	✍🏽;লিখি থকা হাত: মধ্যমীয়া ছালৰ ৰং;মধ্যমীয়া ছালৰ ৰং|লিখা|লিখি থকা হাত|লিখি থকা হাত: মধ্যমীয়া ছালৰ ৰং|হাত
	✍🏾;লিখি থকা হাত: মধ্যমীয়া-ক’লা ছালৰ ৰং;মধ্যমীয়া-ক’লা ছালৰ ৰং|লিখা|লিখি থকা হাত|লিখি থকা হাত: মধ্যমীয়া-ক’লা ছালৰ ৰং|হাত
	✍🏿;লিখি থকা হাত: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|লিখা|লিখি থকা হাত|লিখি থকা হাত: ক’লা ছালৰ ৰং|হাত
💅;নেইল প’লিচ;কছমেটিক্স|নখ|নেইল প’লিচ|প’লিচ|মেনিকিয়ৰ|যত্ন
	💅🏻;নেইল প’লিচ: পাতল ছালৰ ৰং;কছমেটিক্স|নখ|নেইল প’লিচ|নেইল প’লিচ: পাতল ছালৰ ৰং|প’লিচ|পাতল ছালৰ ৰং|মেনিকিয়ৰ|যত্ন
	💅🏼;নেইল প’লিচ: মধ্যমীয়া-পাতল ছালৰ ৰং;কছমেটিক্স|নখ|নেইল প’লিচ|নেইল প’লিচ: মধ্যমীয়া-পাতল ছালৰ ৰং|প’লিচ|মধ্যমীয়া-পাতল ছালৰ ৰং|মেনিকিয়ৰ|যত্ন
	💅🏽;নেইল প’লিচ: মধ্যমীয়া ছালৰ ৰং;কছমেটিক্স|নখ|নেইল প’লিচ|নেইল প’লিচ: মধ্যমীয়া ছালৰ ৰং|প’লিচ|মধ্যমীয়া ছালৰ ৰং|মেনিকিয়ৰ|যত্ন
	💅🏾;নেইল প’লিচ: মধ্যমীয়া-ক’লা ছালৰ ৰং;কছমেটিক্স|নখ|নেইল প’লিচ|নেইল প’লিচ: মধ্যমীয়া-ক’লা ছালৰ ৰং|প’লিচ|মধ্যমীয়া-ক’লা ছালৰ ৰং|মেনিকিয়ৰ|যত্ন
	💅🏿;নেইল প’লিচ: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|কছমেটিক্স|নখ|নেইল প’লিচ|নেইল প’লিচ: ক’লা ছালৰ ৰং|প’লিচ|মেনিকিয়ৰ|যত্ন
🤳;ছেল্‌ফি;কেমেৰা|ছেল্‌ফি|ফোন
	🤳🏻;ছেল্‌ফি: পাতল ছালৰ ৰং;কেমেৰা|ছেল্‌ফি|ছেল্‌ফি: পাতল ছালৰ ৰং|পাতল ছালৰ ৰং|ফোন
	🤳🏼;ছেল্‌ফি: মধ্যমীয়া-পাতল ছালৰ ৰং;কেমেৰা|ছেল্‌ফি|ছেল্‌ফি: মধ্যমীয়া-পাতল ছালৰ ৰং|ফোন|মধ্যমীয়া-পাতল ছালৰ ৰং
	🤳🏽;ছেল্‌ফি: মধ্যমীয়া ছালৰ ৰং;কেমেৰা|ছেল্‌ফি|ছেল্‌ফি: মধ্যমীয়া ছালৰ ৰং|ফোন|মধ্যমীয়া ছালৰ ৰং
	🤳🏾;ছেল্‌ফি: মধ্যমীয়া-ক’লা ছালৰ ৰং;কেমেৰা|ছেল্‌ফি|ছেল্‌ফি: মধ্যমীয়া-ক’লা ছালৰ ৰং|ফোন|মধ্যমীয়া-ক’লা ছালৰ ৰং
	🤳🏿;ছেল্‌ফি: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|কেমেৰা|ছেল্‌ফি|ছেল্‌ফি: ক’লা ছালৰ ৰং|ফোন
💪;ফুলা বাইচেপ;কমিক|ফুলা|বাইচেপ|মাংসপেশী
	💪🏻;ফুলা বাইচেপ: পাতল ছালৰ ৰং;কমিক|পাতল ছালৰ ৰং|ফুলা|ফুলা বাইচেপ: পাতল ছালৰ ৰং|বাইচেপ|মাংসপেশী
	💪🏼;ফুলা বাইচেপ: মধ্যমীয়া-পাতল ছালৰ ৰং;কমিক|ফুলা|ফুলা বাইচেপ: মধ্যমীয়া-পাতল ছালৰ ৰং|বাইচেপ|মধ্যমীয়া-পাতল ছালৰ ৰং|মাংসপেশী
	💪🏽;ফুলা বাইচেপ: মধ্যমীয়া ছালৰ ৰং;কমিক|ফুলা|ফুলা বাইচেপ: মধ্যমীয়া ছালৰ ৰং|বাইচেপ|মধ্যমীয়া ছালৰ ৰং|মাংসপেশী
	💪🏾;ফুলা বাইচেপ: মধ্যমীয়া-ক’লা ছালৰ ৰং;কমিক|ফুলা|ফুলা বাইচেপ: মধ্যমীয়া-ক’লা ছালৰ ৰং|বাইচেপ|মধ্যমীয়া-ক’লা ছালৰ ৰং|মাংসপেশী
	💪🏿;ফুলা বাইচেপ: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|কমিক|ফুলা|ফুলা বাইচেপ: ক’লা ছালৰ ৰং|বাইচেপ|মাংসপেশী
🦾;যান্ত্ৰিক হাত;কৃত্ৰিম|দিব্যাংগ|যান্ত্ৰিক হাত
🦿;যান্ত্ৰিক ভৰি;কৃত্ৰিম|দিব্যাংগ|যান্ত্ৰিক ভৰি
🦵;ঠেং;অংগ|গোৰ|ঠেং
	🦵🏻;ঠেং: পাতল ছালৰ ৰং;অংগ|গোৰ|ঠেং|ঠেং: পাতল ছালৰ ৰং|পাতল ছালৰ ৰং
	🦵🏼;ঠেং: মধ্যমীয়া-পাতল ছালৰ ৰং;অংগ|গোৰ|ঠেং|ঠেং: মধ্যমীয়া-পাতল ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং
	🦵🏽;ঠেং: মধ্যমীয়া ছালৰ ৰং;অংগ|গোৰ|ঠেং|ঠেং: মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া ছালৰ ৰং
	🦵🏾;ঠেং: মধ্যমীয়া-ক’লা ছালৰ ৰং;অংগ|গোৰ|ঠেং|ঠেং: মধ্যমীয়া-ক’লা ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং
	🦵🏿;ঠেং: ক’লা ছালৰ ৰং;অংগ|ক’লা ছালৰ ৰং|গোৰ|ঠেং|ঠেং: ক’লা ছালৰ ৰং
🦶;ভৰি;গোৰ|ভৰি|ভৰি পেলাই যোৱা
	🦶🏻;ভৰি: পাতল ছালৰ ৰং;গোৰ|পাতল ছালৰ ৰং|ভৰি|ভৰি পেলাই যোৱা|ভৰি: পাতল ছালৰ ৰং
	🦶🏼;ভৰি: মধ্যমীয়া-পাতল ছালৰ ৰং;গোৰ|ভৰি|ভৰি পেলাই যোৱা|ভৰি: মধ্যমীয়া-পাতল ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং
	🦶🏽;ভৰি: মধ্যমীয়া ছালৰ ৰং;গোৰ|ভৰি|ভৰি পেলাই যোৱা|ভৰি: মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া ছালৰ ৰং
	🦶🏾;ভৰি: মধ্যমীয়া-ক’লা ছালৰ ৰং;গোৰ|ভৰি|ভৰি পেলাই যোৱা|ভৰি: মধ্যমীয়া-ক’লা ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং
	🦶🏿;ভৰি: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|গোৰ|ভৰি|ভৰি পেলাই যোৱা|ভৰি: ক’লা ছালৰ ৰং
👂;কাণ;কাণ|শৰীৰ
	👂🏻;কাণ: পাতল ছালৰ ৰং;কাণ|কাণ: পাতল ছালৰ ৰং|পাতল ছালৰ ৰং|শৰীৰ
	👂🏼;কাণ: মধ্যমীয়া-পাতল ছালৰ ৰং;কাণ|কাণ: মধ্যমীয়া-পাতল ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং|শৰীৰ
	👂🏽;কাণ: মধ্যমীয়া ছালৰ ৰং;কাণ|কাণ: মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া ছালৰ ৰং|শৰীৰ
	👂🏾;কাণ: মধ্যমীয়া-ক’লা ছালৰ ৰং;কাণ|কাণ: মধ্যমীয়া-ক’লা ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং|শৰীৰ
	👂🏿;কাণ: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|কাণ|কাণ: ক’লা ছালৰ ৰং|শৰীৰ
🦻;শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি;কলা|দিব্যাংগ|শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি
	🦻🏻;শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি: পাতল ছালৰ ৰং;কলা|দিব্যাংগ|পাতল ছালৰ ৰং|শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি|শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি: পাতল ছালৰ ৰং
	🦻🏼;শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি: মধ্যমীয়া-পাতল ছালৰ ৰং;কলা|দিব্যাংগ|মধ্যমীয়া-পাতল ছালৰ ৰং|শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি|শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি: মধ্যমীয়া-পাতল ছালৰ ৰং
	🦻🏽;শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি: মধ্যমীয়া ছালৰ ৰং;কলা|দিব্যাংগ|মধ্যমীয়া ছালৰ ৰং|শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি|শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি: মধ্যমীয়া ছালৰ ৰং
	🦻🏾;শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি: মধ্যমীয়া-ক’লা ছালৰ ৰং;কলা|দিব্যাংগ|মধ্যমীয়া-ক’লা ছালৰ ৰং|শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি|শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি: মধ্যমীয়া-ক’লা ছালৰ ৰং
	🦻🏿;শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|কলা|দিব্যাংগ|শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি|শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি: ক’লা ছালৰ ৰং
👃;নাক;নাক|শৰীৰ
	👃🏻;নাক: পাতল ছালৰ ৰং;নাক|নাক: পাতল ছালৰ ৰং|পাতল ছালৰ ৰং|শৰীৰ
	👃🏼;নাক: মধ্যমীয়া-পাতল ছালৰ ৰং;নাক|নাক: মধ্যমীয়া-পাতল ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং|শৰীৰ
	👃🏽;নাক: মধ্যমীয়া ছালৰ ৰং;নাক|নাক: মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া ছালৰ ৰং|শৰীৰ
	👃🏾;নাক: মধ্যমীয়া-ক’লা ছালৰ ৰং;নাক|নাক: মধ্যমীয়া-ক’লা ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং|শৰীৰ
	👃🏿;নাক: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|নাক|নাক: ক’লা ছালৰ ৰং|শৰীৰ
🧠;মস্তিষ্ক;বুদ্ধিমান|মস্তিষ্ক
🫀;হৃদয়;অংগ|শাৰীৰিক|স্পন্দন|হৃদয়|হৃদয় বিজ্ঞান
🫁;হাওঁফাওঁ;অংগ|উশাহ|শ্বসন|শ্বাসগ্ৰহণ|শ্বাসত্যাগ|হাওঁফাওঁ
🦷;দাঁত;দন্ত-চিকিৎসক|দাঁত
🦴;হাঁড়;কংকাল|হাঁড়
👀;চকুজুৰি;চকু|চকুজুৰি|মুখ
👁️;চকু;চকু|শৰীৰ
👅;জিভা;জিভা|শৰীৰ
👄;মুখ;ওঁঠ|মুখ
🫦;ওঠ কামোৰা;অসুবিধা|অস্থিৰ|উদ্বিগ্ন|ওঠ কামোৰা|চিন্তিত|ফ্লাৰ্টিং|ভয়
👶;কেচুৱা;কেচুৱা|তৰুণ
	👶🏻;কেচুৱা: পাতল ছালৰ ৰং;কেচুৱা|কেচুৱা: পাতল ছালৰ ৰং|তৰুণ|পাতল ছালৰ ৰং
	👶🏼;কেচুৱা: মধ্যমীয়া-পাতল ছালৰ ৰং;কেচুৱা|কেচুৱা: মধ্যমীয়া-পাতল ছালৰ ৰং|তৰুণ|মধ্যমীয়া-পাতল ছালৰ ৰং
	👶🏽;কেচুৱা: মধ্যমীয়া ছালৰ ৰং;কেচুৱা|কেচুৱা: মধ্যমীয়া ছালৰ ৰং|তৰুণ|মধ্যমীয়া ছালৰ ৰং
	👶🏾;কেচুৱা: মধ্যমীয়া-ক’লা ছালৰ ৰং;কেচুৱা|কেচুৱা: মধ্যমীয়া-ক’লা ছালৰ ৰং|তৰুণ|মধ্যমীয়া-ক’লা ছালৰ ৰং
	👶🏿;কেচুৱা: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|কেচুৱা|কেচুৱা: ক’লা ছালৰ ৰং|তৰুণ
🧒;শিশু;তৰুণ|লিংগ নিউট্ৰেল|শিশু
	🧒🏻;শিশু: পাতল ছালৰ ৰং;তৰুণ|পাতল ছালৰ ৰং|লিংগ নিউট্ৰেল|শিশু|শিশু: পাতল ছালৰ ৰং
	🧒🏼;শিশু: মধ্যমীয়া-পাতল ছালৰ ৰং;তৰুণ|মধ্যমীয়া-পাতল ছালৰ ৰং|লিংগ নিউট্ৰেল|শিশু|শিশু: মধ্যমীয়া-পাতল ছালৰ ৰং
	🧒🏽;শিশু: মধ্যমীয়া ছালৰ ৰং;তৰুণ|মধ্যমীয়া ছালৰ ৰং|লিংগ নিউট্ৰেল|শিশু|শিশু: মধ্যমীয়া ছালৰ ৰং
	🧒🏾;শিশু: মধ্যমীয়া-ক’লা ছালৰ ৰং;তৰুণ|মধ্যমীয়া-ক’লা ছালৰ ৰং|লিংগ নিউট্ৰেল|শিশু|শিশু: মধ্যমীয়া-ক’লা ছালৰ ৰং
	🧒🏿;শিশু: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|তৰুণ|লিংগ নিউট্ৰেল|শিশু|শিশু: ক’লা ছালৰ ৰং
👦;ল’ৰা;তৰুণ|ল’ৰা
	👦🏻;ল’ৰা: পাতল ছালৰ ৰং;তৰুণ|পাতল ছালৰ ৰং|ল’ৰা|ল’ৰা: পাতল ছালৰ ৰং
	👦🏼;ল’ৰা: মধ্যমীয়া-পাতল ছালৰ ৰং;তৰুণ|মধ্যমীয়া-পাতল ছালৰ ৰং|ল’ৰা|ল’ৰা: মধ্যমীয়া-পাতল ছালৰ ৰং
	👦🏽;ল’ৰা: মধ্যমীয়া ছালৰ ৰং;তৰুণ|মধ্যমীয়া ছালৰ ৰং|ল’ৰা|ল’ৰা: মধ্যমীয়া ছালৰ ৰং
	👦🏾;ল’ৰা: মধ্যমীয়া-ক’লা ছালৰ ৰং;তৰুণ|মধ্যমীয়া-ক’লা ছালৰ ৰং|ল’ৰা|ল’ৰা: মধ্যমীয়া-ক’লা ছালৰ ৰং
	👦🏿;ল’ৰা: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|তৰুণ|ল’ৰা|ল’ৰা: ক’লা ছালৰ ৰং
👧;ছোৱালী;কন্যাৰাশি|ছোৱালী|তৰুণ|ৰাশি
	👧🏻;ছোৱালী: পাতল ছালৰ ৰং;কন্যাৰাশি|ছোৱালী|ছোৱালী: পাতল ছালৰ ৰং|তৰুণ|পাতল ছালৰ ৰং|ৰাশি
	👧🏼;ছোৱালী: মধ্যমীয়া-পাতল ছালৰ ৰং;কন্যাৰাশি|ছোৱালী|ছোৱালী: মধ্যমীয়া-পাতল ছালৰ ৰং|তৰুণ|মধ্যমীয়া-পাতল ছালৰ ৰং|ৰাশি
	👧🏽;ছোৱালী: মধ্যমীয়া ছালৰ ৰং;কন্যাৰাশি|ছোৱালী|ছোৱালী: মধ্যমীয়া ছালৰ ৰং|তৰুণ|মধ্যমীয়া ছালৰ ৰং|ৰাশি
	👧🏾;ছোৱালী: মধ্যমীয়া-ক’লা ছালৰ ৰং;কন্যাৰাশি|ছোৱালী|ছোৱালী: মধ্যমীয়া-ক’লা ছালৰ ৰং|তৰুণ|মধ্যমীয়া-ক’লা ছালৰ ৰং|ৰাশি
	👧🏿;ছোৱালী: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|কন্যাৰাশি|ছোৱালী|ছোৱালী: ক’লা ছালৰ ৰং|তৰুণ|ৰাশি
🧑;প্ৰাপ্তবয়স্ক;প্ৰাপ্তবয়স্ক|লিংগ নিউট্ৰেল
	🧑🏻;প্ৰাপ্তবয়স্ক: পাতল ছালৰ ৰং;পাতল ছালৰ ৰং|প্ৰাপ্তবয়স্ক|প্ৰাপ্তবয়স্ক: পাতল ছালৰ ৰং|লিংগ নিউট্ৰেল
	🧑🏼;প্ৰাপ্তবয়স্ক: মধ্যমীয়া-পাতল ছালৰ ৰং;প্ৰাপ্তবয়স্ক|প্ৰাপ্তবয়স্ক: মধ্যমীয়া-পাতল ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং|লিংগ নিউট্ৰেল
	🧑🏽;প্ৰাপ্তবয়স্ক: মধ্যমীয়া ছালৰ ৰং;প্ৰাপ্তবয়স্ক|প্ৰাপ্তবয়স্ক: মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া ছালৰ ৰং|লিংগ নিউট্ৰেল
	🧑🏾;প্ৰাপ্তবয়স্ক: মধ্যমীয়া-ক’লা ছালৰ ৰং;প্ৰাপ্তবয়স্ক|প্ৰাপ্তবয়স্ক: মধ্যমীয়া-ক’লা ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং|লিংগ নিউট্ৰেল
	🧑🏿;প্ৰাপ্তবয়স্ক: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|প্ৰাপ্তবয়স্ক|প্ৰাপ্তবয়স্ক: ক’লা ছালৰ ৰং|লিংগ নিউট্ৰেল
👱;ব্যক্তি: সোণালী চুলি;চুলি|ব্যক্তি: সোণালী চুলি|সোণালী চুলিৰ ব্যক্তি|স্বৰ্ণকেশী
	👱🏻;ব্যক্তি: পাতল ছালৰ ৰং, সোণালী চুলি;চুলি|পাতল ছালৰ ৰং|ব্যক্তি: পাতল ছালৰ ৰং, সোণালী চুলি|ব্যক্তি: সোণালী চুলি|সোণালী চুলি|সোণালী চুলিৰ ব্যক্তি|স্বৰ্ণকেশী
