# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;barre egiten ari den aurpegia;aurpegi|barre egiten ari den aurpegia|irribarre
👦;mutila;gizona|mutila
	👦🏻;mutila: 1–2. mota;1–2. mota|gizona|mutila|mutila: 1–2. mota
	👦🏼;mutila: 3. mota;3. mota|gizona|mutila|mutila: 3. mota
	👦🏽;mutila: bitarteko azal-tonua;bitarteko azal-tonua|gizona|mutila|mutila: bitarteko azal-tonua
	👦🏾;mutila: 5. mota;5. mota|gizona|mutila|mutila: 5. mota
	👦🏿;mutila: 6. mota;6. mota|gizona|mutila|mutila: 6. mota
👧;neska;emakume|neska
	👧🏻;neska: 1–2. mota;1–2. mota|emakume|neska|neska: 1–2. mota
	👧🏼;neska: 3. mota;3. mota|emakume|neska|neska: 3. mota
	👧🏽;neska: bitarteko azal-tonua;bitarteko azal-tonua|emakume|neska|neska: bitarteko azal-tonua
	👧🏾;neska: 5. mota;5. mota|emakume|neska|neska: 5. mota
	👧🏿;neska: 6. mota;6. mota|emakume|neska|neska: 6. mota
🧑;pertsona;genero neutroko|heldu|pertsona
	🧑🏻;pertsona: 1–2. mota;1–2. mota|genero neutroko|heldu|pertsona|pertsona: 1–2. mota
	🧑🏼;pertsona: 3. mota;3. mota|genero neutroko|heldu|pertsona|pertsona: 3. mota
	🧑🏽;pertsona: bitarteko azal-tonua;bitarteko azal-tonua|genero neutroko|heldu|pertsona|pertsona: bitarteko azal-tonua
	🧑🏾;pertsona: 5. mota;5. mota|genero neutroko|heldu|pertsona|pertsona: 5. mota
	🧑🏿;pertsona: 6. mota;6. mota|genero neutroko|heldu|pertsona|pertsona: 6. mota
👱;pertsona ilehoria;ile|ilehori|pertsona ilehoria
	👱🏻;pertsona ilehoria: 1–2. mota;1–2. mota|ile|ilehori|pertsona ilehoria|pertsona ilehoria: 1–2. mota
	👱🏼;pertsona ilehoria: 3. mota;3. mota|ile|ilehori|pertsona ilehoria|pertsona ilehoria: 3. mota
	👱🏽;pertsona ilehoria: bitarteko azal-tonua;bitarteko azal-tonua|ile|ilehori|pertsona ilehoria|pertsona ilehoria: bitarteko azal-tonua
	👱🏾;pertsona ilehoria: 5. mota;5. mota|ile|ilehori|pertsona ilehoria|pertsona ilehoria: 5. mota
	👱🏿;pertsona ilehoria: 6. mota;6. mota|ile|ilehori|pertsona ilehoria|pertsona ilehoria: 6. mota
👨;gizona;gizon|gizona|gizonezko
	👨🏻;gizona: 1–2. mota;1–2. mota|gizon|gizona|gizona: 1–2. mota|gizonezko
	👨🏼;gizona: 3. mota;3. mota|gizon|gizona|gizona: 3. mota|gizonezko
	👨🏽;gizona: bitarteko azal-tonua;bitarteko azal-tonua|gizon|gizona|gizona: bitarteko azal-tonua|gizonezko
	👨🏾;gizona: 5. mota;5. mota|gizon|gizona|gizona: 5. mota|gizonezko
	👨🏿;gizona: 6. mota;6. mota|gizon|gizona|gizona: 6. mota|gizonezko
🧔;pertsona bizarduna;bizar|pertsona bizarduna
	🧔🏻;pertsona bizarduna: 1–2. mota;1–2. mota|bizar|pertsona bizarduna|pertsona bizarduna: 1–2. mota
	🧔🏼;pertsona bizarduna: 3. mota;3. mota|bizar|pertsona bizarduna|pertsona bizarduna: 3. mota
	🧔🏽;pertsona bizarduna: bitarteko azal-tonua;bitarteko azal-tonua|bizar|pertsona bizarduna|pertsona bizarduna: bitarteko azal-tonua
	🧔🏾;pertsona bizarduna: 5. mota;5. mota|bizar|pertsona bizarduna|pertsona bizarduna: 5. mota
	🧔🏿;pertsona bizarduna: 6. mota;6. mota|bizar|pertsona bizarduna|pertsona bizarduna: 6. mota
🧔‍♂️;gizona: bizarra;bizarra|gizona|gizona: bizarra
	🧔🏻‍♂️;gizona: 1–2. mota eta bizarra;1–2. mota|bizarra|gizona|gizona: 1–2. mota eta bizarra|gizona: bizarra
	🧔🏼‍♂️;gizona: 3. mota eta bizarra;3. mota|bizarra|gizona|gizona: 3. mota eta bizarra|gizona: bizarra
	🧔🏽‍♂️;gizona: bitarteko azal-tonua eta bizarra;bitarteko azal-tonua|bizarra|gizona|gizona: bitarteko azal-tonua eta bizarra|gizona: bizarra
	🧔🏾‍♂️;gizona: 5. mota eta bizarra;5. mota|bizarra|gizona|gizona: 5. mota eta bizarra|gizona: bizarra
	🧔🏿‍♂️;gizona: 6. mota eta bizarra;6. mota|bizarra|gizona|gizona: 6. mota eta bizarra|gizona: bizarra
🧔‍♀️;emakumea: bizarra;bizarra|emakumea|emakumea: bizarra
	🧔🏻‍♀️;emakumea: 1–2. mota eta bizarra;1–2. mota|bizarra|emakumea|emakumea: 1–2. mota eta bizarra|emakumea: bizarra
	🧔🏼‍♀️;emakumea: 3. mota eta bizarra;3. mota|bizarra|emakumea|emakumea: 3. mota eta bizarra|emakumea: bizarra
	🧔🏽‍♀️;emakumea: bitarteko azal-tonua eta bizarra;bitarteko azal-tonua|bizarra|emakumea|emakumea: bitarteko azal-tonua eta bizarra|emakumea: bizarra
	🧔🏾‍♀️;emakumea: 5. mota eta bizarra;5. mota|bizarra|emakumea|emakumea: 5. mota eta bizarra|emakumea: bizarra
	🧔🏿‍♀️;emakumea: 6. mota eta bizarra;6. mota|bizarra|emakumea|emakumea: 6. mota eta bizarra|emakumea: bizarra
👨‍🦰;gizona: ilegorri;gizon|gizona|gizona: ilegorri|gizonezko|ilegorri
	👨🏻‍🦰;gizona: 1–2. mota eta ilegorri;1–2. mota|gizon|gizona|gizona: 1–2. mota eta ilegorri|gizonezko|ilegorri
	👨🏼‍🦰;gizona: 3. mota eta ilegorri;3. mota|gizon|gizona|gizona: 3. mota eta ilegorri|gizonezko|ilegorri
	👨🏽‍🦰;gizona: bitarteko azal-tonua eta ilegorri;bitarteko azal-tonua|gizon|gizona|gizona: bitarteko azal-tonua eta ilegorri|gizonezko|ilegorri
	👨🏾‍🦰;gizona: 5. mota eta ilegorri;5. mota|gizon|gizona|gizona: 5. mota eta ilegorri|gizonezko|ilegorri
	👨🏿‍🦰;gizona: 6. mota eta ilegorri;6. mota|gizon|gizona|gizona: 6. mota eta ilegorri|gizonezko|ilegorri
👨‍🦱;gizona: ile kizkur;gizon|gizona|gizona: ile kizkur|gizonezko|ile kizkur
	👨🏻‍🦱;gizona: 1–2. mota eta ile kizkur;1–2. mota|gizon|gizona|gizona: 1–2. mota eta ile kizkur|gizonezko|ile kizkur
	👨🏼‍🦱;gizona: 3. mota eta ile kizkur;3. mota|gizon|gizona|gizona: 3. mota eta ile kizkur|gizonezko|ile kizkur
	👨🏽‍🦱;gizona: bitarteko azal-tonua eta ile kizkur;bitarteko azal-tonua|gizon|gizona|gizona: bitarteko azal-tonua eta ile kizkur|gizonezko|ile kizkur
	👨🏾‍🦱;gizona: 5. mota eta ile kizkur;5. mota|gizon|gizona|gizona: 5. mota eta ile kizkur|gizonezko|ile kizkur
	👨🏿‍🦱;gizona: 6. mota eta ile kizkur;6. mota|gizon|gizona|gizona: 6. mota eta ile kizkur|gizonezko|ile kizkur
👨‍🦳;gizona: ilezuri;gizon|gizona|gizona: ilezuri|gizonezko|ilezuri
	👨🏻‍🦳;gizona: 1–2. mota eta ilezuri;1–2. mota|gizon|gizona|gizona: 1–2. mota eta ilezuri|gizonezko|ilezuri
	👨🏼‍🦳;gizona: 3. mota eta ilezuri;3. mota|gizon|gizona|gizona: 3. mota eta ilezuri|gizonezko|ilezuri
	👨🏽‍🦳;gizona: bitarteko azal-tonua eta ilezuri;bitarteko azal-tonua|gizon|gizona|gizona: bitarteko azal-tonua eta ilezuri|gizonezko|ilezuri
	👨🏾‍🦳;gizona: 5. mota eta ilezuri;5. mota|gizon|gizona|gizona: 5. mota eta ilezuri|gizonezko|ilezuri
	👨🏿‍🦳;gizona: 6. mota eta ilezuri;6. mota|gizon|gizona|gizona: 6. mota eta ilezuri|gizonezko|ilezuri
👨‍🦲;gizona: burusoil;burusoil|gizon|gizona|gizona: burusoil|gizonezko
	👨🏻‍🦲;gizona: 1–2. mota eta burusoil;1–2. mota|burusoil|gizon|gizona|gizona: 1–2. mota eta burusoil|gizonezko
	👨🏼‍🦲;gizona: 3. mota eta burusoil;3. mota|burusoil|gizon|gizona|gizona: 3. mota eta burusoil|gizonezko
	👨🏽‍🦲;gizona: bitarteko azal-tonua eta burusoil;bitarteko azal-tonua|burusoil|gizon|gizona|gizona: bitarteko azal-tonua eta burusoil|gizonezko
	👨🏾‍🦲;gizona: 5. mota eta burusoil;5. mota|burusoil|gizon|gizona|gizona: 5. mota eta burusoil|gizonezko
	👨🏿‍🦲;gizona: 6. mota eta burusoil;6. mota|burusoil|gizon|gizona|gizona: 6. mota eta burusoil|gizonezko
👩;emakumea;emakume|emakumea|emakumezko
	👩🏻;emakumea: 1–2. mota;1–2. mota|emakume|emakumea|emakumea: 1–2. mota|emakumezko
	👩🏼;emakumea: 3. mota;3. mota|emakume|emakumea|emakumea: 3. mota|emakumezko
	👩🏽;emakumea: bitarteko azal-tonua;bitarteko azal-tonua|emakume|emakumea|emakumea: bitarteko azal-tonua|emakumezko
	👩🏾;emakumea: 5. mota;5. mota|emakume|emakumea|emakumea: 5. mota|emakumezko
	👩🏿;emakumea: 6. mota;6. mota|emakume|emakumea|emakumea: 6. mota|emakumezko
👩‍🦰;emakumea: ilegorri;emakume|emakumea|emakumea: ilegorri|emakumezko|ilegorri
	👩🏻‍🦰;emakumea: 1–2. mota eta ilegorri;1–2. mota|emakume|emakumea|emakumea: 1–2. mota eta ilegorri|emakumezko|ilegorri
	👩🏼‍🦰;emakumea: 3. mota eta ilegorri;3. mota|emakume|emakumea|emakumea: 3. mota eta ilegorri|emakumezko|ilegorri
	👩🏽‍🦰;emakumea: bitarteko azal-tonua eta ilegorri;bitarteko azal-tonua|emakume|emakumea|emakumea: bitarteko azal-tonua eta ilegorri|emakumezko|ilegorri
	👩🏾‍🦰;emakumea: 5. mota eta ilegorri;5. mota|emakume|emakumea|emakumea: 5. mota eta ilegorri|emakumezko|ilegorri
	👩🏿‍🦰;emakumea: 6. mota eta ilegorri;6. mota|emakume|emakumea|emakumea: 6. mota eta ilegorri|emakumezko|ilegorri
🧑‍🦰;pertsona: ilegorri;genero neutroko|heldu|ilegorri|pertsona|pertsona: ilegorri
	🧑🏻‍🦰;pertsona: 1–2. mota eta ilegorri;1–2. mota|genero neutroko|heldu|ilegorri|pertsona|pertsona: 1–2. mota eta ilegorri
	🧑🏼‍🦰;pertsona: 3. mota eta ilegorri;3. mota|genero neutroko|heldu|ilegorri|pertsona|pertsona: 3. mota eta ilegorri
	🧑🏽‍🦰;pertsona: bitarteko azal-tonua eta ilegorri;bitarteko azal-tonua|genero neutroko|heldu|ilegorri|pertsona|pertsona: bitarteko azal-tonua eta ilegorri
	🧑🏾‍🦰;pertsona: 5. mota eta ilegorri;5. mota|genero neutroko|heldu|ilegorri|pertsona|pertsona: 5. mota eta ilegorri
	🧑🏿‍🦰;pertsona: 6. mota eta ilegorri;6. mota|genero neutroko|heldu|ilegorri|pertsona|pertsona: 6. mota eta ilegorri
👩‍🦱;emakumea: ile kizkur;emakume|emakumea|emakumea: ile kizkur|emakumezko|ile kizkur
	👩🏻‍🦱;emakumea: 1–2. mota eta ile kizkur;1–2. mota|emakume|emakumea|emakumea: 1–2. mota eta ile kizkur|emakumezko|ile kizkur
	👩🏼‍🦱;emakumea: 3. mota eta ile kizkur;3. mota|emakume|emakumea|emakumea: 3. mota eta ile kizkur|emakumezko|ile kizkur
	👩🏽‍🦱;emakumea: bitarteko azal-tonua eta ile kizkur;bitarteko azal-tonua|emakume|emakumea|emakumea: bitarteko azal-tonua eta ile kizkur|emakumezko|ile kizkur
	👩🏾‍🦱;emakumea: 5. mota eta ile kizkur;5. mota|emakume|emakumea|emakumea: 5. mota eta ile kizkur|emakumezko|ile kizkur
	👩🏿‍🦱;emakumea: 6. mota eta ile kizkur;6. mota|emakume|emakumea|emakumea: 6. mota eta ile kizkur|emakumezko|ile kizkur
🧑‍🦱;pertsona: ile kizkur;genero neutroko|heldu|ile kizkur|pertsona|pertsona: ile kizkur
	🧑🏻‍🦱;pertsona: 1–2. mota eta ile kizkur;1–2. mota|genero neutroko|heldu|ile kizkur|pertsona|pertsona: 1–2. mota eta ile kizkur
	🧑🏼‍🦱;pertsona: 3. mota eta ile kizkur;3. mota|genero neutroko|heldu|ile kizkur|pertsona|pertsona: 3. mota eta ile kizkur
	🧑🏽‍🦱;pertsona: bitarteko azal-tonua eta ile kizkur;bitarteko azal-tonua|genero neutroko|heldu|ile kizkur|pertsona|pertsona: bitarteko azal-tonua eta ile kizkur
	🧑🏾‍🦱;pertsona: 5. mota eta ile kizkur;5. mota|genero neutroko|heldu|ile kizkur|pertsona|pertsona: 5. mota eta ile kizkur
	🧑🏿‍🦱;pertsona: 6. mota eta ile kizkur;6. mota|genero neutroko|heldu|ile kizkur|pertsona|pertsona: 6. mota eta ile kizkur
👩‍🦳;emakumea: ilezuri;emakume|emakumea|emakumea: ilezuri|emakumezko|ilezuri
	👩🏻‍🦳;emakumea: 1–2. mota eta ilezuri;1–2. mota|emakume|emakumea|emakumea: 1–2. mota eta ilezuri|emakumezko|ilezuri
	👩🏼‍🦳;emakumea: 3. mota eta ilezuri;3. mota|emakume|emakumea|emakumea: 3. mota eta ilezuri|emakumezko|ilezuri
	👩🏽‍🦳;emakumea: bitarteko azal-tonua eta ilezuri;bitarteko azal-tonua|emakume|emakumea|emakumea: bitarteko azal-tonua eta ilezuri|emakumezko|ilezuri
	👩🏾‍🦳;emakumea: 5. mota eta ilezuri;5. mota|emakume|emakumea|emakumea: 5. mota eta ilezuri|emakumezko|ilezuri
	👩🏿‍🦳;emakumea: 6. mota eta ilezuri;6. mota|emakume|emakumea|emakumea: 6. mota eta ilezuri|emakumezko|ilezuri
🧑‍🦳;pertsona: ilezuri;genero neutroko|heldu|ilezuri|pertsona|pertsona: ilezuri
	🧑🏻‍🦳;pertsona: 1–2. mota eta ilezuri;1–2. mota|genero neutroko|heldu|ilezuri|pertsona|pertsona: 1–2. mota eta ilezuri
	🧑🏼‍🦳;pertsona: 3. mota eta ilezuri;3. mota|genero neutroko|heldu|ilezuri|pertsona|pertsona: 3. mota eta ilezuri
	🧑🏽‍🦳;pertsona: bitarteko azal-tonua eta ilezuri;bitarteko azal-tonua|genero neutroko|heldu|ilezuri|pertsona|pertsona: bitarteko azal-tonua eta ilezuri
	🧑🏾‍🦳;pertsona: 5. mota eta ilezuri;5. mota|genero neutroko|heldu|ilezuri|pertsona|pertsona: 5. mota eta ilezuri
	🧑🏿‍🦳;pertsona: 6. mota eta ilezuri;6. mota|genero neutroko|heldu|ilezuri|pertsona|pertsona: 6. mota eta ilezuri
👩‍🦲;emakumea: burusoil;burusoil|emakume|emakumea|emakumea: burusoil|emakumezko
	👩🏻‍🦲;emakumea: 1–2. mota eta burusoil;1–2. mota|burusoil|emakume|emakumea|emakumea: 1–2. mota eta burusoil|emakumezko
	👩🏼‍🦲;emakumea: 3. mota eta burusoil;3. mota|burusoil|emakume|emakumea|emakumea: 3. mota eta burusoil|emakumezko
	👩🏽‍🦲;emakumea: bitarteko azal-tonua eta burusoil;bitarteko azal-tonua|burusoil|emakume|emakumea|emakumea: bitarteko azal-tonua eta burusoil|emakumezko
	👩🏾‍🦲;emakumea: 5. mota eta burusoil;5. mota|burusoil|emakume|emakumea|emakumea: 5. mota eta burusoil|emakumezko
	👩🏿‍🦲;emakumea: 6. mota eta burusoil;6. mota|burusoil|emakume|emakumea|emakumea: 6. mota eta burusoil|emakumezko
🧑‍🦲;pertsona: burusoil;burusoil|genero neutroko|heldu|pertsona|pertsona: burusoil
	🧑🏻‍🦲;pertsona: 1–2. mota eta burusoil;1–2. mota|burusoil|genero neutroko|heldu|pertsona|pertsona: 1–2. mota eta burusoil
	🧑🏼‍🦲;pertsona: 3. mota eta burusoil;3. mota|burusoil|genero neutroko|heldu|pertsona|pertsona: 3. mota eta burusoil
	🧑🏽‍🦲;pertsona: bitarteko azal-tonua eta burusoil;bitarteko azal-tonua|burusoil|genero neutroko|heldu|pertsona|pertsona: bitarteko azal-tonua eta burusoil
	🧑🏾‍🦲;pertsona: 5. mota eta burusoil;5. mota|burusoil|genero neutroko|heldu|pertsona|pertsona: 5. mota eta burusoil
	🧑🏿‍🦲;pertsona: 6. mota eta burusoil;6. mota|burusoil|genero neutroko|heldu|pertsona|pertsona: 6. mota eta burusoil
👱‍♀️;emakume ilehoria;emakume|emakume ilehoria|emakumezko|ilehori
	👱🏻‍♀️;emakume ilehoria: 1–2. mota;1–2. mota|emakume|emakume ilehoria|emakume ilehoria: 1–2. mota|emakumezko|ilehori
	👱🏼‍♀️;emakume ilehoria: 3. mota;3. mota|emakume|emakume ilehoria|emakume ilehoria: 3. mota|emakumezko|ilehori
	👱🏽‍♀️;emakume ilehoria: bitarteko azal-tonua;bitarteko azal-tonua|emakume|emakume ilehoria|emakume ilehoria: bitarteko azal-tonua|emakumezko|ilehori
	👱🏾‍♀️;emakume ilehoria: 5. mota;5. mota|emakume|emakume ilehoria|emakume ilehoria: 5. mota|emakumezko|ilehori
	👱🏿‍♀️;emakume ilehoria: 6. mota;6. mota|emakume|emakume ilehoria|emakume ilehoria: 6. mota|emakumezko|ilehori
👱‍♂️;gizon ilehoria;gizon|gizon ilehoria|gizonezko|ilehori
	👱🏻‍♂️;gizon ilehoria: 1–2. mota;1–2. mota|gizon|gizon ilehoria|gizon ilehoria: 1–2. mota|gizonezko|ilehori
	👱🏼‍♂️;gizon ilehoria: 3. mota;3. mota|gizon|gizon ilehoria|gizon ilehoria: 3. mota|gizonezko|ilehori
	👱🏽‍♂️;gizon ilehoria: bitarteko azal-tonua;bitarteko azal-tonua|gizon|gizon ilehoria|gizon ilehoria: bitarteko azal-tonua|gizonezko|ilehori
	👱🏾‍♂️;gizon ilehoria: 5. mota;5. mota|gizon|gizon ilehoria|gizon ilehoria: 5. mota|gizonezko|ilehori
	👱🏿‍♂️;gizon ilehoria: 6. mota;6. mota|gizon|gizon ilehoria|gizon ilehoria: 6. mota|gizonezko|ilehori
🧓;agure;adineko|agure|genero neutroko
	🧓🏻;agure: 1–2. mota;1–2. mota|adineko|agure|agure: 1–2. mota|genero neutroko
	🧓🏼;agure: 3. mota;3. mota|adineko|agure|agure: 3. mota|genero neutroko
	🧓🏽;agure: bitarteko azal-tonua;adineko|agure|agure: bitarteko azal-tonua|bitarteko azal-tonua|genero neutroko
	🧓🏾;agure: 5. mota;5. mota|adineko|agure|agure: 5. mota|genero neutroko
	🧓🏿;agure: 6. mota;6. mota|adineko|agure|agure: 6. mota|genero neutroko
👴;aitona;agure|aitona|gizon|gizonezko|zahar
	👴🏻;aitona: 1–2. mota;1–2. mota|agure|aitona|aitona: 1–2. mota|gizon|gizonezko|zahar
	👴🏼;aitona: 3. mota;3. mota|agure|aitona|aitona: 3. mota|gizon|gizonezko|zahar
	👴🏽;aitona: bitarteko azal-tonua;agure|aitona|aitona: bitarteko azal-tonua|bitarteko azal-tonua|gizon|gizonezko|zahar
	👴🏾;aitona: 5. mota;5. mota|agure|aitona|aitona: 5. mota|gizon|gizonezko|zahar
	👴🏿;aitona: 6. mota;6. mota|agure|aitona|aitona: 6. mota|gizon|gizonezko|zahar
👵;amona;agure|amona|emakume|emakumezko|zahar
	👵🏻;amona: 1–2. mota;1–2. mota|agure|amona|amona: 1–2. mota|emakume|emakumezko|zahar
	👵🏼;amona: 3. mota;3. mota|agure|amona|amona: 3. mota|emakume|emakumezko|zahar
	👵🏽;amona: bitarteko azal-tonua;agure|amona|amona: bitarteko azal-tonua|bitarteko azal-tonua|emakume|emakumezko|zahar
	👵🏾;amona: 5. mota;5. mota|agure|amona|amona: 5. mota|emakume|emakumezko|zahar
	👵🏿;amona: 6. mota;6. mota|agure|amona|amona: 6. mota|emakume|emakumezko|zahar
🙍;kopeta zimurtzen ari den pertsona;keinu|kopeta|kopeta zimurtzen ari den pertsona|zimurtu
	🙍🏻;kopeta zimurtzen ari den pertsona: 1–2. mota;1–2. mota|keinu|kopeta|kopeta zimurtzen ari den pertsona|kopeta zimurtzen ari den pertsona: 1–2. mota|zimurtu
	🙍🏼;kopeta zimurtzen ari den pertsona: 3. mota;3. mota|keinu|kopeta|kopeta zimurtzen ari den pertsona|kopeta zimurtzen ari den pertsona: 3. mota|zimurtu
	🙍🏽;kopeta zimurtzen ari den pertsona: bitarteko azal-tonua;bitarteko azal-tonua|keinu|kopeta|kopeta zimurtzen ari den pertsona|kopeta zimurtzen ari den pertsona: bitarteko azal-tonua|zimurtu
	🙍🏾;kopeta zimurtzen ari den pertsona: 5. mota;5. mota|keinu|kopeta|kopeta zimurtzen ari den pertsona|kopeta zimurtzen ari den pertsona: 5. mota|zimurtu
	🙍🏿;kopeta zimurtzen ari den pertsona: 6. mota;6. mota|keinu|kopeta|kopeta zimurtzen ari den pertsona|kopeta zimurtzen ari den pertsona: 6. mota|zimurtu
🙍‍♂️;kopeta zimurtzen ari den gizona;gizon|gizonezko|keinu|kopeta|kopeta zimurtzen ari den gizona|zimurtu
	🙍🏻‍♂️;kopeta zimurtzen ari den gizona: 1–2. mota;1–2. mota|gizon|gizonezko|keinu|kopeta|kopeta zimurtzen ari den gizona|kopeta zimurtzen ari den gizona: 1–2. mota|zimurtu
	🙍🏼‍♂️;kopeta zimurtzen ari den gizona: 3. mota;3. mota|gizon|gizonezko|keinu|kopeta|kopeta zimurtzen ari den gizona|kopeta zimurtzen ari den gizona: 3. mota|zimurtu
	🙍🏽‍♂️;kopeta zimurtzen ari den gizona: bitarteko azal-tonua;bitarteko azal-tonua|gizon|gizonezko|keinu|kopeta|kopeta zimurtzen ari den gizona|kopeta zimurtzen ari den gizona: bitarteko azal-tonua|zimurtu
	🙍🏾‍♂️;kopeta zimurtzen ari den gizona: 5. mota;5. mota|gizon|gizonezko|keinu|kopeta|kopeta zimurtzen ari den gizona|kopeta zimurtzen ari den gizona: 5. mota|zimurtu
	🙍🏿‍♂️;kopeta zimurtzen ari den gizona: 6. mota;6. mota|gizon|gizonezko|keinu|kopeta|kopeta zimurtzen ari den gizona|kopeta zimurtzen ari den gizona: 6. mota|zimurtu
🙍‍♀️;kopeta zimurtzen ari den emakumea;emakume|emakumezko|keinu|kopeta|kopeta zimurtzen ari den emakumea|zimurtu
	🙍🏻‍♀️;kopeta zimurtzen ari den emakumea: 1–2. mota;1–2. mota|emakume|emakumezko|keinu|kopeta|kopeta zimurtzen ari den emakumea|kopeta zimurtzen ari den emakumea: 1–2. mota|zimurtu
	🙍🏼‍♀️;kopeta zimurtzen ari den emakumea: 3. mota;3. mota|emakume|emakumezko|keinu|kopeta|kopeta zimurtzen ari den emakumea|kopeta zimurtzen ari den emakumea: 3. mota|zimurtu
	🙍🏽‍♀️;kopeta zimurtzen ari den emakumea: bitarteko azal-tonua;bitarteko azal-tonua|emakume|emakumezko|keinu|kopeta|kopeta zimurtzen ari den emakumea|kopeta zimurtzen ari den emakumea: bitarteko azal-tonua|zimurtu
	🙍🏾‍♀️;kopeta zimurtzen ari den emakumea: 5. mota;5. mota|emakume|emakumezko|keinu|kopeta|kopeta zimurtzen ari den emakumea|kopeta zimurtzen ari den emakumea: 5. mota|zimurtu
	🙍🏿‍♀️;kopeta zimurtzen ari den emakumea: 6. mota;6. mota|emakume|emakumezko|keinu|kopeta|kopeta zimurtzen ari den emakumea|kopeta zimurtzen ari den emakumea: 6. mota|zimurtu
🙎;pertsona muturtua;keinu|muturtu|pertsona muturtua
	🙎🏻;pertsona muturtua: 1–2. mota;1–2. mota|keinu|muturtu|pertsona muturtua|pertsona muturtua: 1–2. mota
	🙎🏼;pertsona muturtua: 3. mota;3. mota|keinu|muturtu|pertsona muturtua|pertsona muturtua: 3. mota
	🙎🏽;pertsona muturtua: bitarteko azal-tonua;bitarteko azal-tonua|keinu|muturtu|pertsona muturtua|pertsona muturtua: bitarteko azal-tonua
	🙎🏾;pertsona muturtua: 5. mota;5. mota|keinu|muturtu|pertsona muturtua|pertsona muturtua: 5. mota
	🙎🏿;pertsona muturtua: 6. mota;6. mota|keinu|muturtu|pertsona muturtua|pertsona muturtua: 6. mota
🙎‍♂️;gizon muturtua;gizon|gizon muturtua|gizonezko|keinu|muturtu
	🙎🏻‍♂️;gizon muturtua: 1–2. mota;1–2. mota|gizon|gizon muturtua|gizon muturtua: 1–2. mota|gizonezko|keinu|muturtu
	🙎🏼‍♂️;gizon muturtua: 3. mota;3. mota|gizon|gizon muturtua|gizon muturtua: 3. mota|gizonezko|keinu|muturtu
	🙎🏽‍♂️;gizon muturtua: bitarteko azal-tonua;bitarteko azal-tonua|gizon|gizon muturtua|gizon muturtua: bitarteko azal-tonua|gizonezko|keinu|muturtu
	🙎🏾‍♂️;gizon muturtua: 5. mota;5. mota|gizon|gizon muturtua|gizon muturtua: 5. mota|gizonezko|keinu|muturtu
	🙎🏿‍♂️;gizon muturtua: 6. mota;6. mota|gizon|gizon muturtua|gizon muturtua: 6. mota|gizonezko|keinu|muturtu
🙎‍♀️;emakume muturtua;emakume muturtua|emakumea|emakumezkoa|keinua|muturtua
	🙎🏻‍♀️;emakume muturtua: 1–2. mota;1–2. mota|emakume muturtua|emakume muturtua: 1–2. mota|emakumea|emakumezkoa|keinua|muturtua
	🙎🏼‍♀️;emakume muturtua: 3. mota;3. mota|emakume muturtua|emakume muturtua: 3. mota|emakumea|emakumezkoa|keinua|muturtua
	🙎🏽‍♀️;emakume muturtua: bitarteko azal-tonua;bitarteko azal-tonua|emakume muturtua|emakume muturtua: bitarteko azal-tonua|emakumea|emakumezkoa|keinua|muturtua
	🙎🏾‍♀️;emakume muturtua: 5. mota;5. mota|emakume muturtua|emakume muturtua: 5. mota|emakumea|emakumezkoa|keinua|muturtua
	🙎🏿‍♀️;emakume muturtua: 6. mota;6. mota|emakume muturtua|emakume muturtua: 6. mota|emakumea|emakumezkoa|keinua|muturtua
🙅;ados ez dagoela adierazten ari den pertsona;ados ez dagoela adierazten ari den pertsona|debekatuta|esku|ez|galarazita|keinu
	🙅🏻;ados ez dagoela adierazten ari den pertsona: 1–2. mota;1–2. mota|ados ez dagoela adierazten ari den pertsona|ados ez dagoela adierazten ari den pertsona: 1–2. mota|debekatuta|esku|ez|galarazita|keinu
	🙅🏼;ados ez dagoela adierazten ari den pertsona: 3. mota;3. mota|ados ez dagoela adierazten ari den pertsona|ados ez dagoela adierazten ari den pertsona: 3. mota|debekatuta|esku|ez|galarazita|keinu
	🙅🏽;ados ez dagoela adierazten ari den pertsona: bitarteko azal-tonua;ados ez dagoela adierazten ari den pertsona|ados ez dagoela adierazten ari den pertsona: bitarteko azal-tonua|bitarteko azal-tonua|debekatuta|esku|ez|galarazita|keinu
	🙅🏾;ados ez dagoela adierazten ari den pertsona: 5. mota;5. mota|ados ez dagoela adierazten ari den pertsona|ados ez dagoela adierazten ari den pertsona: 5. mota|debekatuta|esku|ez|galarazita|keinu
	🙅🏿;ados ez dagoela adierazten ari den pertsona: 6. mota;6. mota|ados ez dagoela adierazten ari den pertsona|ados ez dagoela adierazten ari den pertsona: 6. mota|debekatuta|esku|ez|galarazita|keinu
🙅‍♂️;ados ez dagoela adierazten ari den gizona;ados ez dagoela adierazten ari den gizona|debekatuta|eskua|galarazita|gizona|gizonezkoa|keinua
	🙅🏻‍♂️;ados ez dagoela adierazten ari den gizona: 1–2. mota;1–2. mota|ados ez dagoela adierazten ari den gizona|ados ez dagoela adierazten ari den gizona: 1–2. mota|debekatuta|eskua|galarazita|gizona|gizonezkoa|keinua
