# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;barre egiten ari den aurpegia;aurpegi|barre egiten ari den aurpegia|irribarre
🫨;dardarka ari den aurpegia;aurpegia|bibratu|bibrazioa|dardarka|dardarka ari den aurpegia|harrituta|lurrikara
🙂‍↔️;horizontalki mugitzen ari den burua;buruarekin ezetz egin|ez|horizontalki mugitzen ari den burua
🙂‍↕️;bertikalki mugitzen ari den burua;bai|bertikalki mugitzen ari den burua|buruarekin baietz egin
😌;lasaitasun-aurpegia;aurpegi|lasaitasun|lasaitasun-aurpegia
😔;aurpegi pentsakorra;aurpegi|aurpegi pentsakorra|goibel|pentsakor
😪;logura-aurpegia;aurpegi|lo|logura|logura-aurpegia
🤤;aurpegia lerdea dariola;aurpegi|aurpegia lerdea dariola|lerde
😴;lo dagoen aurpegia;aurpegi|lo|lo dagoen aurpegia|zzz
😷;mediku-maskara daraman aurpegia;aurpegi|gaixo|hotzeri|maskara|mediku-maskara daraman aurpegia|medikuntza|sendagile
🤒;termometroa duen aurpegia;aurpegi|gaixo|termometro|termometroa duen aurpegia
🤕;buruan benda daraman aurpegia;aurpegi|benda|buruan benda daraman aurpegia|oinaze|zauri
🤢;aurpegi zorabiatua;aurpegi|aurpegi zorabiatua|goitika|zorabiatu
🤮;goitika ari den aurpegi;gaixo|goitika|goitika ari den aurpegi
🤧;aurpegia mukiak kentzen;aurpegi|aurpegia mukiak kentzen|kendu|muki
🥵;bero-bero dagoen aurpegia;bero|bero-bero dagoen aurpegia|bero-kolpe|gorritu|izerditan|sukartsu
🥶;aurpegi izoztu;aurpegi izoztu|hotz|izoztu|oso hotz|urdindu
🥴;tentel-aurpegia;ahoa okertuta|alai|begiak okertuta|mozkortuta|tentel-aurpegia|zorabiatuta
😵;zorabio-aurpegia;aurpegi|zorabiatu|zorabio-aurpegia
😵‍💫;kiribil-begiak dituen aurpegia;arazoa|hipnotizatuta|kiribil-begiak dituen aurpegia|kiribila|zorabiatuta
🤯;lehertzear den burua;lehertzear den burua|txundituta
🤠;behizain txanodunaren aurpegia;aurpegi|behizain|behizain txanodunaren aurpegia|txano|unai
🥳;parrandan dabilen aurpegia;adar|festa|kapelu|ospakizun|parrandan dabilen aurpegia
🥸;mozorrotutako aurpegia;aurpegi|betaurrekoak|ezkutu|mozorro|mozorrotutako aurpegia|sudur
😎;aurpegia barreka, eguzkitako betaurrekoekin;argitasun|aurpegi|aurpegia barreka|aurpegia barreka, eguzkitako betaurrekoekin|begi|cool|eguzkitako betaurreko|eguzkitako betaurrekoekin|irribarre egiten ari den aurpegia
🤓;arraro-aurpegia;arraro|arraro-aurpegia|aurpegi|berezi
🧐;monokulo bat duen aurpegia;aspergarria|monokulo bat duen aurpegia
😕;nahasketa-aurpegia;aurpegi|nahasketa-aurpegia|nahastuta
🫤;ahoa diagonalean duen aurpegia;ahoa diagonalean duen aurpegia|desengainatuta|eszeptikoa|ez nago ziur|meh
😟;aurpegi kezkatua;aurpegi|aurpegi kezkatua|kezkatu
🙁;aurpegi apur bat kopetiluna;aurpegi|aurpegi apur bat kopetiluna|kopetilun
☹️;kopeta ilunduta duen aurpegia;aurpegi|kopeta ilunduta duen aurpegia|kopetilun
😮;ahoa irekita duen aurpegia;aho|ahoa irekita duen aurpegia|aurpegi|ireki|poza
😯;harridura-aurpegia;aurpegi|harridura|harridura-aurpegia|harrituta|zur eta lur
😲;harritu-aurpegia;aurpegi|guztiz|harridura|harritu-aurpegia|sorpresa
😳;aurpegi gorritua;aurpegi|aurpegi gorritua|gorritu|nahastu
🥺;aurpegi erregutzailea;aurpegi erregutzailea|begirada erregutzaile|erregutze|gupida
🥹;malkoak dituen begiko aurpegia;aguantatzen|harro|haserre|malkoak dituen begiko aurpegia|negarrez|triste
😦;kopeta ilun eta ahoa zabalik duen aurpegia;aho|aurpegi|ireki|kopeta ilun eta ahoa zabalik duen aurpegia|kopeta ilunduta eta ahoa irekita duen aurpegia|kopetilun
😧;estutasun-aurpegia;aurpegi|estutasun|estutasun-aurpegia
😨;ikara-aurpegia;aurpegi|beldur|ikara|ikara-aurpegia|ikaratu
😰;ahoa irekita eta izerdi hotza duen aurpegia;aho|ahoa irekita eta izerdi hotza duen aurpegia|aurpegi|grinatsu|hotz|irekita|izerdi
😥;desengainatuta baina lasaiago;aurpegi|desengainatuta|desengainatuta baina lasaiago|eskerrak|lasai
😢;negarrez ari den aurpegia;aurpegi|malko|negar|negarrez ari den aurpegia|triste
😭;negar eta negar ari den aurpegia;aurpegi|malko|negar|negar eta negar ari den aurpegia|triste|zotinka
😱;beldurrez oihuka ari den aurpegia;aurpegi|beldur|beldurrez oihuka ari den aurpegia|beldurti|beldurtu|izutu
😖;hutsegite-aurpegia;aurpegi|hutsegite|hutsegite-aurpegia
😣;aurpegi nekaezina;aurpegi|aurpegi nekaezina|nekaezin|pertseberantzia
😞;etsipen-aurpegia;aurpegi|etsipen|etsipen-aurpegia
😓;izerdi hotza duen aurpegia;aurpegi|hotz|izerdi|izerdi hotza duen aurpegia
😩;neke-aurpegia;aurpegi|nazkatu|neke|neke-aurpegia
😫;nekatu-aurpegia;aurpegi|nekatu|nekatu-aurpegia
🥱;aharrausi egiten ari den aurpegia;aharrausi|aharrausi egiten ari den aurpegia|aspertuta|nekatuta
😤;sudurretik kea darion aurpegia;aurpegi|irabazi|sudurretik kea darion aurpegia|txapeldun
😡;aurpegi muturtua;amorru|aurpegi|aurpegi muturtua|ero|gorri|haserre|muturtu
😠;haserre-aurpegia;aurpegi|ero|haserre|haserre-aurpegia
🤬;ahoan ikurrak dituen aurpegia;ahoan ikurrak dituen aurpegia|izerditan
😈;irribarre egiten ari den aurpegi adarduna;adarrak|aurpegi|fantasia|ipuin|irribarre|irribarre egiten ari den aurpegi adarduna
👿;deabrua;aurpegi|deabru|deabrua|fantasia|ipuin
💀;buru-hezurra;aurpegi|buru-hezurra|gorputz|heriotz|hil|ipuin|munstro
☠️;buru-hezurra eta hezur gurutzatuak;aurpegi|buru-hezur|buru-hezurra eta hezur gurutzatuak|gorputz|heriotza|hezur gurutzatuak|hil|munstro
💩;kaka-mokordoa;aurpegi|gorotz|kaka|kaka-mokordoa|komiki|monstruo
🤡;pailazo-aurpegia;aurpegi|pailazo|pailazo-aurpegia
👹;ogroa;aurpegi|fantasia|ipuin|izaki|japoniera|munstro|ogroa
👺;iratxoa;aurpegi|fantasia|ipuin|iratxoa|izaki|japoniera|munstro
👻;mamua;aurpegi|fantasia|ipuin|izaki|mamua|munstro
👽;estralurtarra;aurpegia|espazioa|estralurtarra|fantasia|izakia|munstroa|ohe
👾;munstro estralurtarra;aurpegia|estralurtarra|fantasia|ipuina|izakia|munstro estralurtarra|munstroa|ohe
🤖;robot-aurpegia;aurpegi|munstro|robot|robot-aurpegia
😺;ahoa irekita duen katu-aurpegi irribarretsua;aho|ahoa irekita duen eta irribarre egiten ari den katu-aurpegia|ahoa irekita duen katu-aurpegi irribarretsua|aurpegi|ireki|irribarre|katu
😸;begiez barre egiten ari den katu-aurpegia;aurpegi|barre|begi|begiez barre egiten ari den katu-aurpegia|katu
😹;pozez negar ari den katu-aurpegia;aurpegi|katu|malko|poz|pozez negar ari den katu-aurpegia
😻;katu irribarretsua, bihotz-itxurako begiekin;aurpegia|begia|bihotz-itxurako begiak dituen eta irribarre egiten ari den katu-aurpegia|bihotz-itxurako begiekin|bihotza|irribarrea|katu irribarretsua|katu irribarretsua, bihotz-itxurako begiekin|katua|maitasuna
😼;irribarre maltzurra duen katu-aurpegia;aurpegi|ironiko|irribarre|irribarre maltzurra duen katu-aurpegia|katu|maltzur
😽;begiak itxita musuka ari den katu-aurpegia;aurpegi|begi|begiak itxita dituen eta musuka ari den katu-aurpegia|begiak itxita musuka ari den katu-aurpegia|katu|musu
🙀;leher eginda dagoen katu-aurpegia;aurpegi|harritu|katu|leher eginda|leher eginda dagoen katu-aurpegia|nekatu
😿;negarrez ari den katu-aurpegia;aurpegi|katu|malko|negar|negarrez ari den katu-aurpegia|triste
😾;katu-aurpegi muturtua;aurpegi|katu|katu-aurpegi muturtua|muturtu
🙈;gauza txarrik ikusi nahi ez duen tximua;aurpegia|debekatuta|gauza txarrik ikusi nahi ez duen tximua|ikusi|keinua|txarra|tximua
🙉;gauza txarrik entzun nahi ez duen tximua;aurpegia|debekatuta|entzun|gauza txarrik entzun nahi ez duen tximua|keinua|txarra|tximua
🙊;gauza txarrik esan nahi ez duen tximua;aurpegia|debekatuta|esan|gauza txarrik esan nahi ez duen tximua|keinua|txarra|tximua
💌;maitasun-gutuna;bihotz|gutun|maitasun|maitasun-gutuna|posta
💘;bihotza geziarekin;bihotz|bihotza geziarekin|gezi|kupido
💝;bihotza begiztarekin;begizta|bihotz|bihotza begiztarekin|valentin
💖;bihotz distiratsua;bihotz|bihotz distiratsua|distira|urduri
💗;handitzen ari den bihotza;bihotz|handitu|handitzen ari den bihotza|taupada|urduri|urduritasun
💓;bihotz-taupada;bihotz|bihotz-taupada|taupada
💞;biraka ari diren bihotzak;bihotz|biraka|biraka ari diren bihotzak
💕;bi bihotz;bi bihotz|bihotz|maitasun
💟;bihotz apaindua;bihotz|bihotz apaindua
