[smileys_emotion]
😀;isura imwenyura;inseko|isura|isura imwenyura
🤦‍♀️;umugore ushyize ikiganza mu maso;ikiganza mu maso|uhangayitse|ukutemera|umugore|umugore ushyize ikiganza mu maso
	🤦🏻‍♀️;umugore ushyize ikiganza mu maso: ibara ry’uruhu rwera;ibara ry’uruhu rwera|ikiganza mu maso|uhangayitse|ukutemera|umugore|umugore ushyize ikiganza mu maso|umugore ushyize ikiganza mu maso: ibara ry’uruhu rwera
	🤦🏼‍♀️;umugore ushyize ikiganza mu maso: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|ikiganza mu maso|uhangayitse|ukutemera|umugore|umugore ushyize ikiganza mu maso|umugore ushyize ikiganza mu maso: ibara ry’uruhu rwera gahoro
	🤦🏽‍♀️;umugore ushyize ikiganza mu maso: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|ikiganza mu maso|uhangayitse|ukutemera|umugore|umugore ushyize ikiganza mu maso|umugore ushyize ikiganza mu maso: ibara ry’uruhu rw’inzobe
	🤦🏾‍♀️;umugore ushyize ikiganza mu maso: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|ikiganza mu maso|uhangayitse|ukutemera|umugore|umugore ushyize ikiganza mu maso|umugore ushyize ikiganza mu maso: ibara ry’uruhu rw’inzobe yirabura
	🤦🏿‍♀️;umugore ushyize ikiganza mu maso: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|ikiganza mu maso|uhangayitse|ukutemera|umugore|umugore ushyize ikiganza mu maso|umugore ushyize ikiganza mu maso: ibara ry’uruhu rwirabura
🤷;umuntu wazamuye intugu;gutigisa intugu|kutagira icyo witaho|ubujiji|ugushidikanya|umuntu wazamuye intugu
	🤷🏻;umuntu wazamuye intugu: ibara ry’uruhu rwera;gutigisa intugu|ibara ry’uruhu rwera|kutagira icyo witaho|ubujiji|ugushidikanya|umuntu wazamuye intugu|umuntu wazamuye intugu: ibara ry’uruhu rwera
	🤷🏼;umuntu wazamuye intugu: ibara ry’uruhu rwera gahoro;gutigisa intugu|ibara ry’uruhu rwera gahoro|kutagira icyo witaho|ubujiji|ugushidikanya|umuntu wazamuye intugu|umuntu wazamuye intugu: ibara ry’uruhu rwera gahoro
	🤷🏽;umuntu wazamuye intugu: ibara ry’uruhu rw’inzobe;gutigisa intugu|ibara ry’uruhu rw’inzobe|kutagira icyo witaho|ubujiji|ugushidikanya|umuntu wazamuye intugu|umuntu wazamuye intugu: ibara ry’uruhu rw’inzobe
	🤷🏾;umuntu wazamuye intugu: ibara ry’uruhu rw’inzobe yirabura;gutigisa intugu|ibara ry’uruhu rw’inzobe yirabura|kutagira icyo witaho|ubujiji|ugushidikanya|umuntu wazamuye intugu|umuntu wazamuye intugu: ibara ry’uruhu rw’inzobe yirabura
	🤷🏿;umuntu wazamuye intugu: ibara ry’uruhu rwirabura;gutigisa intugu|ibara ry’uruhu rwirabura|kutagira icyo witaho|ubujiji|ugushidikanya|umuntu wazamuye intugu|umuntu wazamuye intugu: ibara ry’uruhu rwirabura
🤷‍♂️;umugabo utigisa intugu;gutigisa intugu|kutagira icyo yitaho|ubujiji|ugushidikanya|umugabo|umugabo utigisa intugu
	🤷🏻‍♂️;umugabo utigisa intugu: ibara ry’uruhu rwera;gutigisa intugu|ibara ry’uruhu rwera|kutagira icyo yitaho|ubujiji|ugushidikanya|umugabo|umugabo utigisa intugu|umugabo utigisa intugu: ibara ry’uruhu rwera
	🤷🏼‍♂️;umugabo utigisa intugu: ibara ry’uruhu rwera gahoro;gutigisa intugu|ibara ry’uruhu rwera gahoro|kutagira icyo yitaho|ubujiji|ugushidikanya|umugabo|umugabo utigisa intugu|umugabo utigisa intugu: ibara ry’uruhu rwera gahoro
	🤷🏽‍♂️;umugabo utigisa intugu: ibara ry’uruhu rw’inzobe;gutigisa intugu|ibara ry’uruhu rw’inzobe|kutagira icyo yitaho|ubujiji|ugushidikanya|umugabo|umugabo utigisa intugu|umugabo utigisa intugu: ibara ry’uruhu rw’inzobe
	🤷🏾‍♂️;umugabo utigisa intugu: ibara ry’uruhu rw’inzobe yirabura;gutigisa intugu|ibara ry’uruhu rw’inzobe yirabura|kutagira icyo yitaho|ubujiji|ugushidikanya|umugabo|umugabo utigisa intugu|umugabo utigisa intugu: ibara ry’uruhu rw’inzobe yirabura
	🤷🏿‍♂️;umugabo utigisa intugu: ibara ry’uruhu rwirabura;gutigisa intugu|ibara ry’uruhu rwirabura|kutagira icyo yitaho|ubujiji|ugushidikanya|umugabo|umugabo utigisa intugu|umugabo utigisa intugu: ibara ry’uruhu rwirabura
🤷‍♀️;umugore utigisa intugu;gutigisa intugu|kutagira icyo yitaho|ubujiji|ugushidikanya|umugore|umugore utigisa intugu
	🤷🏻‍♀️;umugore utigisa intugu: ibara ry’uruhu rwera;gutigisa intugu|ibara ry’uruhu rwera|kutagira icyo yitaho|ubujiji|ugushidikanya|umugore|umugore utigisa intugu|umugore utigisa intugu: ibara ry’uruhu rwera
	🤷🏼‍♀️;umugore utigisa intugu: ibara ry’uruhu rwera gahoro;gutigisa intugu|ibara ry’uruhu rwera gahoro|kutagira icyo yitaho|ubujiji|ugushidikanya|umugore|umugore utigisa intugu|umugore utigisa intugu: ibara ry’uruhu rwera gahoro
	🤷🏽‍♀️;umugore utigisa intugu: ibara ry’uruhu rw’inzobe;gutigisa intugu|ibara ry’uruhu rw’inzobe|kutagira icyo yitaho|ubujiji|ugushidikanya|umugore|umugore utigisa intugu|umugore utigisa intugu: ibara ry’uruhu rw’inzobe
	🤷🏾‍♀️;umugore utigisa intugu: ibara ry’uruhu rw’inzobe yirabura;gutigisa intugu|ibara ry’uruhu rw’inzobe yirabura|kutagira icyo yitaho|ubujiji|ugushidikanya|umugore|umugore utigisa intugu|umugore utigisa intugu: ibara ry’uruhu rw’inzobe yirabura
	🤷🏿‍♀️;umugore utigisa intugu: ibara ry’uruhu rwirabura;gutigisa intugu|ibara ry’uruhu rwirabura|kutagira icyo yitaho|ubujiji|ugushidikanya|umugore|umugore utigisa intugu|umugore utigisa intugu: ibara ry’uruhu rwirabura
🧑‍⚕️;;
	🧑🏻‍⚕️;;
	🧑🏼‍⚕️;;
	🧑🏽‍⚕️;;
	🧑🏾‍⚕️;;
	🧑🏿‍⚕️;;
👨‍⚕️;umugabo muzima w’umukozi;dogiteri|ubuvuzi|umuforomokazi|umugabo|umugabo muzima w’umukozi|umuvuzi
	👨🏻‍⚕️;umugabo muzima w’umukozi: ibara ry’uruhu rwera;dogiteri|ibara ry’uruhu rwera|ubuvuzi|umuforomokazi|umugabo|umugabo muzima w’umukozi|umugabo muzima w’umukozi: ibara ry’uruhu rwera|umuvuzi
	👨🏼‍⚕️;umugabo muzima w’umukozi: ibara ry’uruhu rwera gahoro;dogiteri|ibara ry’uruhu rwera gahoro|ubuvuzi|umuforomokazi|umugabo|umugabo muzima w’umukozi|umugabo muzima w’umukozi: ibara ry’uruhu rwera gahoro|umuvuzi
	👨🏽‍⚕️;umugabo muzima w’umukozi: ibara ry’uruhu rw’inzobe;dogiteri|ibara ry’uruhu rw’inzobe|ubuvuzi|umuforomokazi|umugabo|umugabo muzima w’umukozi|umugabo muzima w’umukozi: ibara ry’uruhu rw’inzobe|umuvuzi
	👨🏾‍⚕️;umugabo muzima w’umukozi: ibara ry’uruhu rw’inzobe yirabura;dogiteri|ibara ry’uruhu rw’inzobe yirabura|ubuvuzi|umuforomokazi|umugabo|umugabo muzima w’umukozi|umugabo muzima w’umukozi: ibara ry’uruhu rw’inzobe yirabura|umuvuzi
	👨🏿‍⚕️;umugabo muzima w’umukozi: ibara ry’uruhu rwirabura;dogiteri|ibara ry’uruhu rwirabura|ubuvuzi|umuforomokazi|umugabo|umugabo muzima w’umukozi|umugabo muzima w’umukozi: ibara ry’uruhu rwirabura|umuvuzi
👩‍⚕️;umugore ukora mu by’ubuzima;dogiteri|ubuvuzi|umuforomokazi|umugore|umugore ukora mu by’ubuzima|umuvuzi
	👩🏻‍⚕️;umugore ukora mu by’ubuzima: ibara ry’uruhu rwera;dogiteri|ibara ry’uruhu rwera|ubuvuzi|umuforomokazi|umugore|umugore ukora mu by’ubuzima|umugore ukora mu by’ubuzima: ibara ry’uruhu rwera|umuvuzi
	👩🏼‍⚕️;umugore ukora mu by’ubuzima: ibara ry’uruhu rwera gahoro;dogiteri|ibara ry’uruhu rwera gahoro|ubuvuzi|umuforomokazi|umugore|umugore ukora mu by’ubuzima|umugore ukora mu by’ubuzima: ibara ry’uruhu rwera gahoro|umuvuzi
	👩🏽‍⚕️;umugore ukora mu by’ubuzima: ibara ry’uruhu rw’inzobe;dogiteri|ibara ry’uruhu rw’inzobe|ubuvuzi|umuforomokazi|umugore|umugore ukora mu by’ubuzima|umugore ukora mu by’ubuzima: ibara ry’uruhu rw’inzobe|umuvuzi
	👩🏾‍⚕️;umugore ukora mu by’ubuzima: ibara ry’uruhu rw’inzobe yirabura;dogiteri|ibara ry’uruhu rw’inzobe yirabura|ubuvuzi|umuforomokazi|umugore|umugore ukora mu by’ubuzima|umugore ukora mu by’ubuzima: ibara ry’uruhu rw’inzobe yirabura|umuvuzi
	👩🏿‍⚕️;umugore ukora mu by’ubuzima: ibara ry’uruhu rwirabura;dogiteri|ibara ry’uruhu rwirabura|ubuvuzi|umuforomokazi|umugore|umugore ukora mu by’ubuzima|umugore ukora mu by’ubuzima: ibara ry’uruhu rwirabura|umuvuzi
🧑‍🎓;;
	🧑🏻‍🎓;;
	🧑🏼‍🎓;;
	🧑🏽‍🎓;;
	🧑🏾‍🎓;;
	🧑🏿‍🎓;;
👨‍🎓;umugabo w’umunyeshuri;kuzamura mu ntera|umugabo|umugabo w’umunyeshuri|umunyeshuri
	👨🏻‍🎓;umugabo w’umunyeshuri: ibara ry’uruhu rwera;ibara ry’uruhu rwera|kuzamura mu ntera|umugabo|umugabo w’umunyeshuri|umugabo w’umunyeshuri: ibara ry’uruhu rwera|umunyeshuri
	👨🏼‍🎓;umugabo w’umunyeshuri: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|kuzamura mu ntera|umugabo|umugabo w’umunyeshuri|umugabo w’umunyeshuri: ibara ry’uruhu rwera gahoro|umunyeshuri
	👨🏽‍🎓;umugabo w’umunyeshuri: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|kuzamura mu ntera|umugabo|umugabo w’umunyeshuri|umugabo w’umunyeshuri: ibara ry’uruhu rw’inzobe|umunyeshuri
	👨🏾‍🎓;umugabo w’umunyeshuri: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|kuzamura mu ntera|umugabo|umugabo w’umunyeshuri|umugabo w’umunyeshuri: ibara ry’uruhu rw’inzobe yirabura|umunyeshuri
	👨🏿‍🎓;umugabo w’umunyeshuri: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|kuzamura mu ntera|umugabo|umugabo w’umunyeshuri|umugabo w’umunyeshuri: ibara ry’uruhu rwirabura|umunyeshuri
👩‍🎓;umugore w’umunyeshuri;umugore|umugore w’umunyeshuri|umunyeshuri|uzamurwa mu ntera
	👩🏻‍🎓;umugore w’umunyeshuri: ibara ry’uruhu rwera;ibara ry’uruhu rwera|umugore|umugore w’umunyeshuri|umugore w’umunyeshuri: ibara ry’uruhu rwera|umunyeshuri|uzamurwa mu ntera
	👩🏼‍🎓;umugore w’umunyeshuri: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|umugore|umugore w’umunyeshuri|umugore w’umunyeshuri: ibara ry’uruhu rwera gahoro|umunyeshuri|uzamurwa mu ntera
	👩🏽‍🎓;umugore w’umunyeshuri: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|umugore|umugore w’umunyeshuri|umugore w’umunyeshuri: ibara ry’uruhu rw’inzobe|umunyeshuri|uzamurwa mu ntera
	👩🏾‍🎓;umugore w’umunyeshuri: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|umugore|umugore w’umunyeshuri|umugore w’umunyeshuri: ibara ry’uruhu rw’inzobe yirabura|umunyeshuri|uzamurwa mu ntera
	👩🏿‍🎓;umugore w’umunyeshuri: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|umugore|umugore w’umunyeshuri|umugore w’umunyeshuri: ibara ry’uruhu rwirabura|umunyeshuri|uzamurwa mu ntera
🧑‍🏫;;
	🧑🏻‍🏫;;
	🧑🏼‍🏫;;
	🧑🏽‍🏫;;
	🧑🏾‍🏫;;
	🧑🏿‍🏫;;
👨‍🏫;umugabo w’umwarimu;umugabo|umugabo w’umwarimu|umujyanama|umwarimu
	👨🏻‍🏫;umugabo w’umwarimu: ibara ry’uruhu rwera;ibara ry’uruhu rwera|umugabo|umugabo w’umwarimu|umugabo w’umwarimu: ibara ry’uruhu rwera|umujyanama|umwarimu
	👨🏼‍🏫;umugabo w’umwarimu: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|umugabo|umugabo w’umwarimu|umugabo w’umwarimu: ibara ry’uruhu rwera gahoro|umujyanama|umwarimu
	👨🏽‍🏫;umugabo w’umwarimu: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|umugabo|umugabo w’umwarimu|umugabo w’umwarimu: ibara ry’uruhu rw’inzobe|umujyanama|umwarimu
	👨🏾‍🏫;umugabo w’umwarimu: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|umugabo|umugabo w’umwarimu|umugabo w’umwarimu: ibara ry’uruhu rw’inzobe yirabura|umujyanama|umwarimu
	👨🏿‍🏫;umugabo w’umwarimu: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|umugabo|umugabo w’umwarimu|umugabo w’umwarimu: ibara ry’uruhu rwirabura|umujyanama|umwarimu
👩‍🏫;umwarimukazi;umugore|umujyanama|umwarimu|umwarimukazi
	👩🏻‍🏫;umwarimukazi: ibara ry’uruhu rwera;ibara ry’uruhu rwera|umugore|umujyanama|umwarimu|umwarimukazi|umwarimukazi: ibara ry’uruhu rwera
	👩🏼‍🏫;umwarimukazi: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|umugore|umujyanama|umwarimu|umwarimukazi|umwarimukazi: ibara ry’uruhu rwera gahoro
	👩🏽‍🏫;umwarimukazi: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|umugore|umujyanama|umwarimu|umwarimukazi|umwarimukazi: ibara ry’uruhu rw’inzobe
	👩🏾‍🏫;umwarimukazi: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|umugore|umujyanama|umwarimu|umwarimukazi|umwarimukazi: ibara ry’uruhu rw’inzobe yirabura
	👩🏿‍🏫;umwarimukazi: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|umugore|umujyanama|umwarimu|umwarimukazi|umwarimukazi: ibara ry’uruhu rwirabura
🧑‍⚖️;;
	🧑🏻‍⚖️;;
	🧑🏼‍⚖️;;
	🧑🏽‍⚖️;;
	🧑🏾‍⚖️;;
	🧑🏿‍⚖️;;
👨‍⚖️;umugabo w’umucamanza;ubutabera|umugabo|umugabo w’umucamanza|umunzani
	👨🏻‍⚖️;umugabo w’umucamanza: ibara ry’uruhu rwera;ibara ry’uruhu rwera|ubutabera|umugabo|umugabo w’umucamanza|umugabo w’umucamanza: ibara ry’uruhu rwera|umunzani
	👨🏼‍⚖️;umugabo w’umucamanza: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|ubutabera|umugabo|umugabo w’umucamanza|umugabo w’umucamanza: ibara ry’uruhu rwera gahoro|umunzani
	👨🏽‍⚖️;umugabo w’umucamanza: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|ubutabera|umugabo|umugabo w’umucamanza|umugabo w’umucamanza: ibara ry’uruhu rw’inzobe|umunzani
	👨🏾‍⚖️;umugabo w’umucamanza: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|ubutabera|umugabo|umugabo w’umucamanza|umugabo w’umucamanza: ibara ry’uruhu rw’inzobe yirabura|umunzani
	👨🏿‍⚖️;umugabo w’umucamanza: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|ubutabera|umugabo|umugabo w’umucamanza|umugabo w’umucamanza: ibara ry’uruhu rwirabura|umunzani
👩‍⚖️;umugore w’umucamanza;ubutabera|umugore|umugore w’umucamanza|umunzani
	👩🏻‍⚖️;umugore w’umucamanza: ibara ry’uruhu rwera;ibara ry’uruhu rwera|ubutabera|umugore|umugore w’umucamanza|umugore w’umucamanza: ibara ry’uruhu rwera|umunzani
	👩🏼‍⚖️;umugore w’umucamanza: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|ubutabera|umugore|umugore w’umucamanza|umugore w’umucamanza: ibara ry’uruhu rwera gahoro|umunzani
	👩🏽‍⚖️;umugore w’umucamanza: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|ubutabera|umugore|umugore w’umucamanza|umugore w’umucamanza: ibara ry’uruhu rw’inzobe|umunzani
	👩🏾‍⚖️;umugore w’umucamanza: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|ubutabera|umugore|umugore w’umucamanza|umugore w’umucamanza: ibara ry’uruhu rw’inzobe yirabura|umunzani
	👩🏿‍⚖️;umugore w’umucamanza: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|ubutabera|umugore|umugore w’umucamanza|umugore w’umucamanza: ibara ry’uruhu rwirabura|umunzani
🧑‍🌾;;
	🧑🏻‍🌾;;
	🧑🏼‍🌾;;
	🧑🏽‍🌾;;
	🧑🏾‍🌾;;
	🧑🏿‍🌾;;
👨‍🌾;umugabo w’umworozi;umugabo|umugabo w’umworozi|umunyabusitani|umutunzi|umworozi
	👨🏻‍🌾;umugabo w’umworozi: ibara ry’uruhu rwera;ibara ry’uruhu rwera|umugabo|umugabo w’umworozi|umugabo w’umworozi: ibara ry’uruhu rwera|umunyabusitani|umutunzi|umworozi
	👨🏼‍🌾;umugabo w’umworozi: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|umugabo|umugabo w’umworozi|umugabo w’umworozi: ibara ry’uruhu rwera gahoro|umunyabusitani|umutunzi|umworozi
	👨🏽‍🌾;umugabo w’umworozi: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|umugabo|umugabo w’umworozi|umugabo w’umworozi: ibara ry’uruhu rw’inzobe|umunyabusitani|umutunzi|umworozi
	👨🏾‍🌾;umugabo w’umworozi: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|umugabo|umugabo w’umworozi|umugabo w’umworozi: ibara ry’uruhu rw’inzobe yirabura|umunyabusitani|umutunzi|umworozi
	👨🏿‍🌾;umugabo w’umworozi: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|umugabo|umugabo w’umworozi|umugabo w’umworozi: ibara ry’uruhu rwirabura|umunyabusitani|umutunzi|umworozi
👩‍🌾;umworozikazi;umugore|umunyabusitani|umutunzi|umworozi|umworozikazi
	👩🏻‍🌾;umworozikazi: ibara ry’uruhu rwera;ibara ry’uruhu rwera|umugore|umunyabusitani|umutunzi|umworozi|umworozikazi|umworozikazi: ibara ry’uruhu rwera
	👩🏼‍🌾;umworozikazi: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|umugore|umunyabusitani|umutunzi|umworozi|umworozikazi|umworozikazi: ibara ry’uruhu rwera gahoro
	👩🏽‍🌾;umworozikazi: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|umugore|umunyabusitani|umutunzi|umworozi|umworozikazi|umworozikazi: ibara ry’uruhu rw’inzobe
	👩🏾‍🌾;umworozikazi: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|umugore|umunyabusitani|umutunzi|umworozi|umworozikazi|umworozikazi: ibara ry’uruhu rw’inzobe yirabura
	👩🏿‍🌾;umworozikazi: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|umugore|umunyabusitani|umutunzi|umworozi|umworozikazi|umworozikazi: ibara ry’uruhu rwirabura
🧑‍🍳;;
	🧑🏻‍🍳;;
	🧑🏼‍🍳;;
	🧑🏽‍🍳;;
	🧑🏾‍🍳;;
	🧑🏿‍🍳;;
👨‍🍳;umugabo w’umutetsi;umugabo|umugabo w’umutetsi|umutetsi|umutetsi wabyigiye
	👨🏻‍🍳;umugabo w’umutetsi: ibara ry’uruhu rwera;ibara ry’uruhu rwera|umugabo|umugabo w’umutetsi|umugabo w’umutetsi: ibara ry’uruhu rwera|umutetsi|umutetsi wabyigiye
	👨🏼‍🍳;umugabo w’umutetsi: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|umugabo|umugabo w’umutetsi|umugabo w’umutetsi: ibara ry’uruhu rwera gahoro|umutetsi|umutetsi wabyigiye
	👨🏽‍🍳;umugabo w’umutetsi: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|umugabo|umugabo w’umutetsi|umugabo w’umutetsi: ibara ry’uruhu rw’inzobe|umutetsi|umutetsi wabyigiye
	👨🏾‍🍳;umugabo w’umutetsi: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|umugabo|umugabo w’umutetsi|umugabo w’umutetsi: ibara ry’uruhu rw’inzobe yirabura|umutetsi|umutetsi wabyigiye
	👨🏿‍🍳;umugabo w’umutetsi: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|umugabo|umugabo w’umutetsi|umugabo w’umutetsi: ibara ry’uruhu rwirabura|umutetsi|umutetsi wabyigiye
👩‍🍳;umutetsikazi;umugore|umutetsi|umutetsi wabyigiye|umutetsikazi
	👩🏻‍🍳;umutetsikazi: ibara ry’uruhu rwera;ibara ry’uruhu rwera|umugore|umutetsi|umutetsi wabyigiye|umutetsikazi|umutetsikazi: ibara ry’uruhu rwera
	👩🏼‍🍳;umutetsikazi: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|umugore|umutetsi|umutetsi wabyigiye|umutetsikazi|umutetsikazi: ibara ry’uruhu rwera gahoro
	👩🏽‍🍳;umutetsikazi: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|umugore|umutetsi|umutetsi wabyigiye|umutetsikazi|umutetsikazi: ibara ry’uruhu rw’inzobe
	👩🏾‍🍳;umutetsikazi: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|umugore|umutetsi|umutetsi wabyigiye|umutetsikazi|umutetsikazi: ibara ry’uruhu rw’inzobe yirabura
	👩🏿‍🍳;umutetsikazi: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|umugore|umutetsi|umutetsi wabyigiye|umutetsikazi|umutetsikazi: ibara ry’uruhu rwirabura
🧑‍🔧;;
	🧑🏻‍🔧;;
	🧑🏼‍🔧;;
	🧑🏽‍🔧;;
	🧑🏾‍🔧;;
	🧑🏿‍🔧;;
👨‍🔧;umugabo w’umukanishi;inzobere mu mwuga|kanyamashanyazi|kanyamigezi|umugabo|umugabo w’umukanishi|umukanishi
	👨🏻‍🔧;umugabo w’umukanishi: ibara ry’uruhu rwera;ibara ry’uruhu rwera|inzobere mu mwuga|kanyamashanyazi|kanyamigezi|umugabo|umugabo w’umukanishi|umugabo w’umukanishi: ibara ry’uruhu rwera|umukanishi
	👨🏼‍🔧;umugabo w’umukanishi: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|inzobere mu mwuga|kanyamashanyazi|kanyamigezi|umugabo|umugabo w’umukanishi|umugabo w’umukanishi: ibara ry’uruhu rwera gahoro|umukanishi
	👨🏽‍🔧;umugabo w’umukanishi: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|inzobere mu mwuga|kanyamashanyazi|kanyamigezi|umugabo|umugabo w’umukanishi|umugabo w’umukanishi: ibara ry’uruhu rw’inzobe|umukanishi
	👨🏾‍🔧;umugabo w’umukanishi: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|inzobere mu mwuga|kanyamashanyazi|kanyamigezi|umugabo|umugabo w’umukanishi|umugabo w’umukanishi: ibara ry’uruhu rw’inzobe yirabura|umukanishi
	👨🏿‍🔧;umugabo w’umukanishi: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|inzobere mu mwuga|kanyamashanyazi|kanyamigezi|umugabo|umugabo w’umukanishi|umugabo w’umukanishi: ibara ry’uruhu rwirabura|umukanishi
👩‍🔧;umugore w’umukanishi;inzobere mu mwuga|kanyamashanyazi|kanyamigezi|umugore|umugore w’umukanishi|umukanishi
	👩🏻‍🔧;umugore w’umukanishi: ibara ry’uruhu rwera;ibara ry’uruhu rwera|inzobere mu mwuga|kanyamashanyazi|kanyamigezi|umugore|umugore w’umukanishi|umugore w’umukanishi: ibara ry’uruhu rwera|umukanishi
	👩🏼‍🔧;umugore w’umukanishi: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|inzobere mu mwuga|kanyamashanyazi|kanyamigezi|umugore|umugore w’umukanishi|umugore w’umukanishi: ibara ry’uruhu rwera gahoro|umukanishi
	👩🏽‍🔧;umugore w’umukanishi: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|inzobere mu mwuga|kanyamashanyazi|kanyamigezi|umugore|umugore w’umukanishi|umugore w’umukanishi: ibara ry’uruhu rw’inzobe|umukanishi
	👩🏾‍🔧;umugore w’umukanishi: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|inzobere mu mwuga|kanyamashanyazi|kanyamigezi|umugore|umugore w’umukanishi|umugore w’umukanishi: ibara ry’uruhu rw’inzobe yirabura|umukanishi
	👩🏿‍🔧;umugore w’umukanishi: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|inzobere mu mwuga|kanyamashanyazi|kanyamigezi|umugore|umugore w’umukanishi|umugore w’umukanishi: ibara ry’uruhu rwirabura|umukanishi
🧑‍🏭;;
	🧑🏻‍🏭;;
	🧑🏼‍🏭;;
	🧑🏽‍🏭;;
	🧑🏾‍🏭;;
	🧑🏿‍🏭;;
👨‍🏭;umugabo ukora mu ruganda;cy’inganda|inteko|umugabo|umugabo ukora mu ruganda|umukozi|uruganda
	👨🏻‍🏭;umugabo ukora mu ruganda: ibara ry’uruhu rwera;cy’inganda|ibara ry’uruhu rwera|inteko|umugabo|umugabo ukora mu ruganda|umugabo ukora mu ruganda: ibara ry’uruhu rwera|umukozi|uruganda
	👨🏼‍🏭;umugabo ukora mu ruganda: ibara ry’uruhu rwera gahoro;cy’inganda|ibara ry’uruhu rwera gahoro|inteko|umugabo|umugabo ukora mu ruganda|umugabo ukora mu ruganda: ibara ry’uruhu rwera gahoro|umukozi|uruganda
	👨🏽‍🏭;umugabo ukora mu ruganda: ibara ry’uruhu rw’inzobe;cy’inganda|ibara ry’uruhu rw’inzobe|inteko|umugabo|umugabo ukora mu ruganda|umugabo ukora mu ruganda: ibara ry’uruhu rw’inzobe|umukozi|uruganda
	👨🏾‍🏭;umugabo ukora mu ruganda: ibara ry’uruhu rw’inzobe yirabura;cy’inganda|ibara ry’uruhu rw’inzobe yirabura|inteko|umugabo|umugabo ukora mu ruganda|umugabo ukora mu ruganda: ibara ry’uruhu rw’inzobe yirabura|umukozi|uruganda
