[smileys_emotion]
😀;isura imwenyura;inseko|isura|isura imwenyura
😲;isura yatangaye;isura|isura yatangaye|itangaye|kibumbiye hamwe|wumiwe
😳;isura yatukuye;isura|isura yatukuye|uwahabye|yishimye
🥺;;
🥹;;
😦;isura igaragaza kutishima n’umunwa wasamye;gufungura|isura|isura igaragaza kutishima n’umunwa wasamye|kurakara|umunwa
😧;isura igaragaza inkeke;inkeke|isura igaragaza|isura igaragaza inkeke
😨;isura igaragaza kugira ubwoba;giteye ubwoba|Isura|isura igaragaza kugira ubwoba|ubwoba|uwakanzwe
😰;isura igaragaza umunwa wasamye n’ibyuya by’ubwoba;gikonje|gufungura|icyuya|isura|isura igaragaza umunwa wasamye n’ibyuya by’ubwoba|ubururu|uhihibikana|umunwa
😥;isura igaragaza guhemukirwa ariko ukaruhuka ku mutima;ahu|isura|isura igaragaza guhemukirwa ariko ukaruhuka ku mutima|uruhutse|yacitse intege
😢;isura igaragaza kurira;isura|isura igaragaza kurira|kurira|ubabaye
😭;isura igaragaza kurira cyane;ikiniga|isura|isura igaragaza kurira cyane|kurira|ubabaye
😱;isura isakuza kubera ubwoba;giteye ubwoba|guhekenya|gutabaza|isura|isura isakuza kubera ubwoba|ubwoba|yakanzwe
😖;isura igaragaza kwitiranya;isura igaragaza|isura igaragaza kwitiranya|kwitiranya
😣;isura igaragaza kutava ku izima;gutsimbarara|isura|isura igaragaza kutava ku izima
😞;isura igaragaza guhemukirwa;guhemukirwa|isura igaragaza|isura igaragaza guhemukirwa
😓;isura igaragaza ibyuya by’ubwoba;icyunzwe|isura|isura igaragaza ibyuya by’ubwoba|ubukonje
😩;isura igaragaza umunaniro;isura|isura igaragaza umunaniro|kuruha|unaniwe
😫;isura inaniwe;isura|isura inaniwe|unaniwe
🥱;;
😤;isura igaragaza umwuka uva mu mazuru;icyatsinze|insinzi|isura|isura igaragaza umwuka uva mu mazuru
😡;isura igaragaza guhakana;isura|isura igaragaza guhakana|umutuku|umwaga|urakaye|uwarakaye
😠;isura igaragaza uburakari;isura|isura igaragaza uburakari|urakaye
🤬;isura y’umuntu ufite ibimenyetso ku munwa;indahiro|isura y’umuntu ufite ibimenyetso ku munwa
😈;isura igaragaza inseko n’amahembe;amahembe|amakabyankuru|isura|isura igaragaza inseko n’amahembe|kumwenyura
👿;isura igaragaza uburakari n’amahembe;amakabyankuru|idayimoni|igini|isura|isura igaragaza uburakari n’amahembe|shitani
💀;igikanka;amakabyankuru|igikanka|igikoko|isura|urupfu
☠️;igihanga n’amagufamusaraba;igihanga|igihanga n’amagufamusaraba|igikoko|imisarabagufa|isura|urupfu
💩;icyuto;amabyi|amase|icyuto|igikoko|inkuru ishushanyije|isura
🤡;isura ya jokeri;isura|isura ya jokeri|ya jokeri
👹;igishitani;igikoko gikaze|igishitani|ikiremwa|indoto|isura|umugani
👺;ikigini;igikoko gikaze|ikigini|ikiremwa|indoto|isura|umugani
👻;umweru baringa;igikoko gikaze|ikiremwa|indoto|isura|umugani|umweru baringa
👽;ikimanuka;amakabyankur|amakabyankuru|igikoko|ikimanuka|ikintu kiguruka kitazwi|ikiremwa|ikivejuru|isura
👾;igikoko kidasanzwe;amakabyankur|amakabyankuru|igikoko|igikoko kidasanzwe|ikintu kiguruka kitazwi|ikiremwa|ikivejuru|isura
🤖;isura y’irobo;igikoko|irobo|isura|isura y’irobo
😺;isura y’injangwe iseka n’umunwa wasamye;gufungura|injangwe|isura|isura y’injangwe iseka n’umunwa wasamye|kumwenyura|umunwa
😸;isura y’injangwe igaragaza amenyo n’amaso yo guseka;igitwenge|ijisho|injangwe|isura|isura y’injangwe igaragaza amenyo n’amaso yo guseka|kumwenyura
😹;isura y’injangwe n’amarira y’ibyishimo;ibyishimo|injangwe|isura|isura y’injangwe n’amarira y’ibyishimo|kurira
😻;isura y’injangwe iseka n’amaso agaragara mu ishusho y’umutima;gukunda|ijisho|injangwe|isura|isura y’injangwe iseka n’amaso agaragara mu ishusho y’umutima|kumwenyura
😼;isura y’injangwe igaragaza inseko y’uburyarya;gushyenga|injangwe|inseko|isura|isura y’injangwe igaragaza inseko y’uburyarya|umuneguranyi
😽;isura y’injangwe isoma inahumirije;gusomana|ijisho|injangwe|isura|isura y’injangwe isoma inahumirije
🙀;isura y’injangwe y’indyarya;injangwe|isura|isura y’injangwe y’indyarya|kuruha|oh|uwatunguwe
😿;isura y’injangwe irira;injangwe|isura|isura y’injangwe irira|kurira|ubabaye
😾;isura y’injangwe igaragaza guhakana;igaragaza guhakana|isura|isura y’injangwe igaragaza guhakana|y’injangwe
🙈;inkende itareba;ikibi|ikibujijwe|ikimenyetso|inguge|inkende itareba|isura|kureba|nta|oya
🙉;inkende itumva;ikibi|ikibujijwe|ikimenyetso|inguge|inkende itumva|isura|kumva|nta|oya
🙊;inkende itavuga;ikibi|ikibujijwe|ikimenyetso|injangwe|inkende itavuga|isura|kuvuga|nta|oya
💌;ibahasha y’urukundo;ibahasha y’urukundo|ibaruwa|meyili|umutima|urukundo
💘;umutima n’akambi;akambi|ikigirwamana cy’urukundo|umutima n’akambi
💝;umutima uriho riba;riba|umutima uriho riba|valentine
