[smileys_emotion]
😀;笑臉;微笑|笑臉|臉
	🧑🏿‍🏭;工廠工人: 深膚色;工人|工廠|工廠工人|工廠工人: 深膚色|工業|深膚色|組裝
👨‍🏭;男工廠工人;工人|工廠|工業|男|男工廠工人|裝配
	👨🏻‍🏭;男工廠工人: 淺膚色;工人|工廠|工業|淺膚色|男|男工廠工人|男工廠工人: 淺膚色|裝配
	👨🏼‍🏭;男工廠工人: 中淺膚色;中淺膚色|工人|工廠|工業|男|男工廠工人|男工廠工人: 中淺膚色|裝配
	👨🏽‍🏭;男工廠工人: 中膚色;中膚色|工人|工廠|工業|男|男工廠工人|男工廠工人: 中膚色|裝配
	👨🏾‍🏭;男工廠工人: 中深膚色;中深膚色|工人|工廠|工業|男|男工廠工人|男工廠工人: 中深膚色|裝配
	👨🏿‍🏭;男工廠工人: 深膚色;工人|工廠|工業|深膚色|男|男工廠工人|男工廠工人: 深膚色|裝配
👩‍🏭;女工廠工人;女|女工廠工人|工人|工廠|工業|裝配
	👩🏻‍🏭;女工廠工人: 淺膚色;女|女工廠工人|女工廠工人: 淺膚色|工人|工廠|工業|淺膚色|裝配
	👩🏼‍🏭;女工廠工人: 中淺膚色;中淺膚色|女|女工廠工人|女工廠工人: 中淺膚色|工人|工廠|工業|裝配
	👩🏽‍🏭;女工廠工人: 中膚色;中膚色|女|女工廠工人|女工廠工人: 中膚色|工人|工廠|工業|裝配
	👩🏾‍🏭;女工廠工人: 中深膚色;中深膚色|女|女工廠工人|女工廠工人: 中深膚色|工人|工廠|工業|裝配
	👩🏿‍🏭;女工廠工人: 深膚色;女|女工廠工人|女工廠工人: 深膚色|工人|工廠|工業|深膚色|裝配
🧑‍💼;辦公室員工;商業|建築師|白領|經理|辦公室員工
	🧑🏻‍💼;辦公室員工: 淺膚色;商業|建築師|淺膚色|白領|經理|辦公室員工|辦公室員工: 淺膚色
	🧑🏼‍💼;辦公室員工: 中淺膚色;中淺膚色|商業|建築師|白領|經理|辦公室員工|辦公室員工: 中淺膚色
	🧑🏽‍💼;辦公室員工: 中膚色;中膚色|商業|建築師|白領|經理|辦公室員工|辦公室員工: 中膚色
	🧑🏾‍💼;辦公室員工: 中深膚色;中深膚色|商業|建築師|白領|經理|辦公室員工|辦公室員工: 中深膚色
	🧑🏿‍💼;辦公室員工: 深膚色;商業|建築師|深膚色|白領|經理|辦公室員工|辦公室員工: 深膚色
👨‍💼;男辦公室職員;建築師|業務|男|男辦公室職員|白領|經理|辦公室
	👨🏻‍💼;男辦公室職員: 淺膚色;建築師|業務|淺膚色|男|男辦公室職員|男辦公室職員: 淺膚色|白領|經理|辦公室
	👨🏼‍💼;男辦公室職員: 中淺膚色;中淺膚色|建築師|業務|男|男辦公室職員|男辦公室職員: 中淺膚色|白領|經理|辦公室
	👨🏽‍💼;男辦公室職員: 中膚色;中膚色|建築師|業務|男|男辦公室職員|男辦公室職員: 中膚色|白領|經理|辦公室
	👨🏾‍💼;男辦公室職員: 中深膚色;中深膚色|建築師|業務|男|男辦公室職員|男辦公室職員: 中深膚色|白領|經理|辦公室
	👨🏿‍💼;男辦公室職員: 深膚色;建築師|業務|深膚色|男|男辦公室職員|男辦公室職員: 深膚色|白領|經理|辦公室
👩‍💼;女辦公室職員;女|女辦公室職員|建築師|業務|白領|經理|辦公室
	👩🏻‍💼;女辦公室職員: 淺膚色;女|女辦公室職員|女辦公室職員: 淺膚色|建築師|業務|淺膚色|白領|經理|辦公室
	👩🏼‍💼;女辦公室職員: 中淺膚色;中淺膚色|女|女辦公室職員|女辦公室職員: 中淺膚色|建築師|業務|白領|經理|辦公室
	👩🏽‍💼;女辦公室職員: 中膚色;中膚色|女|女辦公室職員|女辦公室職員: 中膚色|建築師|業務|白領|經理|辦公室
	👩🏾‍💼;女辦公室職員: 中深膚色;中深膚色|女|女辦公室職員|女辦公室職員: 中深膚色|建築師|業務|白領|經理|辦公室
	👩🏿‍💼;女辦公室職員: 深膚色;女|女辦公室職員|女辦公室職員: 深膚色|建築師|業務|深膚色|白領|經理|辦公室
🧑‍🔬;科學家;化學家|工程師|物理學家|生物學家|科學家
	🧑🏻‍🔬;科學家: 淺膚色;化學家|工程師|淺膚色|物理學家|生物學家|科學家|科學家: 淺膚色
	🧑🏼‍🔬;科學家: 中淺膚色;中淺膚色|化學家|工程師|物理學家|生物學家|科學家|科學家: 中淺膚色
	🧑🏽‍🔬;科學家: 中膚色;中膚色|化學家|工程師|物理學家|生物學家|科學家|科學家: 中膚色
	🧑🏾‍🔬;科學家: 中深膚色;中深膚色|化學家|工程師|物理學家|生物學家|科學家|科學家: 中深膚色
	🧑🏿‍🔬;科學家: 深膚色;化學家|工程師|深膚色|物理學家|生物學家|科學家|科學家: 深膚色
👨‍🔬;男科學家;化學家|工程師|物理學家|生物學家|男科學家|科學家
	👨🏻‍🔬;男科學家: 淺膚色;化學家|工程師|淺膚色|物理學家|生物學家|男科學家|男科學家: 淺膚色|科學家
	👨🏼‍🔬;男科學家: 中淺膚色;中淺膚色|化學家|工程師|物理學家|生物學家|男科學家|男科學家: 中淺膚色|科學家
	👨🏽‍🔬;男科學家: 中膚色;中膚色|化學家|工程師|物理學家|生物學家|男科學家|男科學家: 中膚色|科學家
	👨🏾‍🔬;男科學家: 中深膚色;中深膚色|化學家|工程師|物理學家|生物學家|男科學家|男科學家: 中深膚色|科學家
	👨🏿‍🔬;男科學家: 深膚色;化學家|工程師|深膚色|物理學家|生物學家|男科學家|男科學家: 深膚色|科學家
👩‍🔬;女科學家;化學家|女科學家|工程師|物理學家|生物學家|科學家
	👩🏻‍🔬;女科學家: 淺膚色;化學家|女科學家|女科學家: 淺膚色|工程師|淺膚色|物理學家|生物學家|科學家
	👩🏼‍🔬;女科學家: 中淺膚色;中淺膚色|化學家|女科學家|女科學家: 中淺膚色|工程師|物理學家|生物學家|科學家
	👩🏽‍🔬;女科學家: 中膚色;中膚色|化學家|女科學家|女科學家: 中膚色|工程師|物理學家|生物學家|科學家
	👩🏾‍🔬;女科學家: 中深膚色;中深膚色|化學家|女科學家|女科學家: 中深膚色|工程師|物理學家|生物學家|科學家
	👩🏿‍🔬;女科學家: 深膚色;化學家|女科學家|女科學家: 深膚色|工程師|深膚色|物理學家|生物學家|科學家
🧑‍💻;技術專家;技術專家|發明家|程式編寫員|軟件|開發者
	🧑🏻‍💻;技術專家: 淺膚色;技術專家|技術專家: 淺膚色|淺膚色|發明家|程式編寫員|軟件|開發者
	🧑🏼‍💻;技術專家: 中淺膚色;中淺膚色|技術專家|技術專家: 中淺膚色|發明家|程式編寫員|軟件|開發者
	🧑🏽‍💻;技術專家: 中膚色;中膚色|技術專家|技術專家: 中膚色|發明家|程式編寫員|軟件|開發者
	🧑🏾‍💻;技術專家: 中深膚色;中深膚色|技術專家|技術專家: 中深膚色|發明家|程式編寫員|軟件|開發者
	🧑🏿‍💻;技術專家: 深膚色;技術專家|技術專家: 深膚色|深膚色|發明家|程式編寫員|軟件|開發者
👨‍💻;男技術專家;技術專家|男|男技術專家|發明家|程式編寫員|軟件|開發人員
	👨🏻‍💻;男技術專家: 淺膚色;技術專家|淺膚色|男|男技術專家|男技術專家: 淺膚色|發明家|程式編寫員|軟件|開發人員
	👨🏼‍💻;男技術專家: 中淺膚色;中淺膚色|技術專家|男|男技術專家|男技術專家: 中淺膚色|發明家|程式編寫員|軟件|開發人員
	👨🏽‍💻;男技術專家: 中膚色;中膚色|技術專家|男|男技術專家|男技術專家: 中膚色|發明家|程式編寫員|軟件|開發人員
	👨🏾‍💻;男技術專家: 中深膚色;中深膚色|技術專家|男|男技術專家|男技術專家: 中深膚色|發明家|程式編寫員|軟件|開發人員
	👨🏿‍💻;男技術專家: 深膚色;技術專家|深膚色|男|男技術專家|男技術專家: 深膚色|發明家|程式編寫員|軟件|開發人員
👩‍💻;女技術專家;女|女技術專家|技術專家|發明家|程式編寫員|軟件|開發人員
	👩🏻‍💻;女技術專家: 淺膚色;女|女技術專家|女技術專家: 淺膚色|技術專家|淺膚色|發明家|程式編寫員|軟件|開發人員
	👩🏼‍💻;女技術專家: 中淺膚色;中淺膚色|女|女技術專家|女技術專家: 中淺膚色|技術專家|發明家|程式編寫員|軟件|開發人員
	👩🏽‍💻;女技術專家: 中膚色;中膚色|女|女技術專家|女技術專家: 中膚色|技術專家|發明家|程式編寫員|軟件|開發人員
	👩🏾‍💻;女技術專家: 中深膚色;中深膚色|女|女技術專家|女技術專家: 中深膚色|技術專家|發明家|程式編寫員|軟件|開發人員
	👩🏿‍💻;女技術專家: 深膚色;女|女技術專家|女技術專家: 深膚色|技術專家|深膚色|發明家|程式編寫員|軟件|開發人員
🧑‍🎤;歌手;娛樂家|搖滾|明星|歌手|演員
	🧑🏻‍🎤;歌手: 淺膚色;娛樂家|搖滾|明星|歌手|歌手: 淺膚色|淺膚色|演員
	🧑🏼‍🎤;歌手: 中淺膚色;中淺膚色|娛樂家|搖滾|明星|歌手|歌手: 中淺膚色|演員
	🧑🏽‍🎤;歌手: 中膚色;中膚色|娛樂家|搖滾|明星|歌手|歌手: 中膚色|演員
	🧑🏾‍🎤;歌手: 中深膚色;中深膚色|娛樂家|搖滾|明星|歌手|歌手: 中深膚色|演員
	🧑🏿‍🎤;歌手: 深膚色;娛樂家|搖滾|明星|歌手|歌手: 深膚色|深膚色|演員
👨‍🎤;男歌手;搖滾|明星|歌手|演員|男|男歌手|藝人
	👨🏻‍🎤;男歌手: 淺膚色;搖滾|明星|歌手|淺膚色|演員|男|男歌手|男歌手: 淺膚色|藝人
	👨🏼‍🎤;男歌手: 中淺膚色;中淺膚色|搖滾|明星|歌手|演員|男|男歌手|男歌手: 中淺膚色|藝人
	👨🏽‍🎤;男歌手: 中膚色;中膚色|搖滾|明星|歌手|演員|男|男歌手|男歌手: 中膚色|藝人
	👨🏾‍🎤;男歌手: 中深膚色;中深膚色|搖滾|明星|歌手|演員|男|男歌手|男歌手: 中深膚色|藝人
	👨🏿‍🎤;男歌手: 深膚色;搖滾|明星|歌手|深膚色|演員|男|男歌手|男歌手: 深膚色|藝人
👩‍🎤;女歌手;女|女歌手|搖滾|明星|歌手|演員|藝人
	👩🏻‍🎤;女歌手: 淺膚色;女|女歌手|女歌手: 淺膚色|搖滾|明星|歌手|淺膚色|演員|藝人
	👩🏼‍🎤;女歌手: 中淺膚色;中淺膚色|女|女歌手|女歌手: 中淺膚色|搖滾|明星|歌手|演員|藝人
	👩🏽‍🎤;女歌手: 中膚色;中膚色|女|女歌手|女歌手: 中膚色|搖滾|明星|歌手|演員|藝人
	👩🏾‍🎤;女歌手: 中深膚色;中深膚色|女|女歌手|女歌手: 中深膚色|搖滾|明星|歌手|演員|藝人
	👩🏿‍🎤;女歌手: 深膚色;女|女歌手|女歌手: 深膚色|搖滾|明星|歌手|深膚色|演員|藝人
🧑‍🎨;藝人;藝人|調色板
	🧑🏻‍🎨;藝人: 淺膚色;淺膚色|藝人|藝人: 淺膚色|調色板
	🧑🏼‍🎨;藝人: 中淺膚色;中淺膚色|藝人|藝人: 中淺膚色|調色板
	🧑🏽‍🎨;藝人: 中膚色;中膚色|藝人|藝人: 中膚色|調色板
	🧑🏾‍🎨;藝人: 中深膚色;中深膚色|藝人|藝人: 中深膚色|調色板
	🧑🏿‍🎨;藝人: 深膚色;深膚色|藝人|藝人: 深膚色|調色板
👨‍🎨;男藝術家;男|男藝術家|藝術家|調色板
	👨🏻‍🎨;男藝術家: 淺膚色;淺膚色|男|男藝術家|男藝術家: 淺膚色|藝術家|調色板
	👨🏼‍🎨;男藝術家: 中淺膚色;中淺膚色|男|男藝術家|男藝術家: 中淺膚色|藝術家|調色板
	👨🏽‍🎨;男藝術家: 中膚色;中膚色|男|男藝術家|男藝術家: 中膚色|藝術家|調色板
	👨🏾‍🎨;男藝術家: 中深膚色;中深膚色|男|男藝術家|男藝術家: 中深膚色|藝術家|調色板
	👨🏿‍🎨;男藝術家: 深膚色;深膚色|男|男藝術家|男藝術家: 深膚色|藝術家|調色板
👩‍🎨;女藝術家;女|女藝術家|藝術家|調色板
	👩🏻‍🎨;女藝術家: 淺膚色;女|女藝術家|女藝術家: 淺膚色|淺膚色|藝術家|調色板
	👩🏼‍🎨;女藝術家: 中淺膚色;中淺膚色|女|女藝術家|女藝術家: 中淺膚色|藝術家|調色板
	👩🏽‍🎨;女藝術家: 中膚色;中膚色|女|女藝術家|女藝術家: 中膚色|藝術家|調色板
	👩🏾‍🎨;女藝術家: 中深膚色;中深膚色|女|女藝術家|女藝術家: 中深膚色|藝術家|調色板
	👩🏿‍🎨;女藝術家: 深膚色;女|女藝術家|女藝術家: 深膚色|深膚色|藝術家|調色板
🧑‍✈️;飛機師;飛機|飛機師
	🧑🏻‍✈️;飛機師: 淺膚色;淺膚色|飛機|飛機師|飛機師: 淺膚色
	🧑🏼‍✈️;飛機師: 中淺膚色;中淺膚色|飛機|飛機師|飛機師: 中淺膚色
	🧑🏽‍✈️;飛機師: 中膚色;中膚色|飛機|飛機師|飛機師: 中膚色
	🧑🏾‍✈️;飛機師: 中深膚色;中深膚色|飛機|飛機師|飛機師: 中深膚色
	🧑🏿‍✈️;飛機師: 深膚色;深膚色|飛機|飛機師|飛機師: 深膚色
👨‍✈️;男飛機師;男|男飛機師|飛機|飛機師
	👨🏻‍✈️;男飛機師: 淺膚色;淺膚色|男|男飛機師|男飛機師: 淺膚色|飛機|飛機師
	👨🏼‍✈️;男飛機師: 中淺膚色;中淺膚色|男|男飛機師|男飛機師: 中淺膚色|飛機|飛機師
	👨🏽‍✈️;男飛機師: 中膚色;中膚色|男|男飛機師|男飛機師: 中膚色|飛機|飛機師
	👨🏾‍✈️;男飛機師: 中深膚色;中深膚色|男|男飛機師|男飛機師: 中深膚色|飛機|飛機師
	👨🏿‍✈️;男飛機師: 深膚色;深膚色|男|男飛機師|男飛機師: 深膚色|飛機|飛機師
👩‍✈️;女飛機師;女|女飛機師|飛機|飛機師
	👩🏻‍✈️;女飛機師: 淺膚色;女|女飛機師|女飛機師: 淺膚色|淺膚色|飛機|飛機師
	👩🏼‍✈️;女飛機師: 中淺膚色;中淺膚色|女|女飛機師|女飛機師: 中淺膚色|飛機|飛機師
	👩🏽‍✈️;女飛機師: 中膚色;中膚色|女|女飛機師|女飛機師: 中膚色|飛機|飛機師
	👩🏾‍✈️;女飛機師: 中深膚色;中深膚色|女|女飛機師|女飛機師: 中深膚色|飛機|飛機師
	👩🏿‍✈️;女飛機師: 深膚色;女|女飛機師|女飛機師: 深膚色|深膚色|飛機|飛機師
🧑‍🚀;太空人;太空人|火箭
	🧑🏻‍🚀;太空人: 淺膚色;太空人|太空人: 淺膚色|淺膚色|火箭
	🧑🏼‍🚀;太空人: 中淺膚色;中淺膚色|太空人|太空人: 中淺膚色|火箭
	🧑🏽‍🚀;太空人: 中膚色;中膚色|太空人|太空人: 中膚色|火箭
	🧑🏾‍🚀;太空人: 中深膚色;中深膚色|太空人|太空人: 中深膚色|火箭
	🧑🏿‍🚀;太空人: 深膚色;太空人|太空人: 深膚色|深膚色|火箭
👨‍🚀;男太空人;太空人|火箭|男|男太空人
	👨🏻‍🚀;男太空人: 淺膚色;太空人|淺膚色|火箭|男|男太空人|男太空人: 淺膚色
	👨🏼‍🚀;男太空人: 中淺膚色;中淺膚色|太空人|火箭|男|男太空人|男太空人: 中淺膚色
	👨🏽‍🚀;男太空人: 中膚色;中膚色|太空人|火箭|男|男太空人|男太空人: 中膚色
	👨🏾‍🚀;男太空人: 中深膚色;中深膚色|太空人|火箭|男|男太空人|男太空人: 中深膚色
	👨🏿‍🚀;男太空人: 深膚色;太空人|深膚色|火箭|男|男太空人|男太空人: 深膚色
👩‍🚀;女太空人;太空人|女|女太空人|火箭
	👩🏻‍🚀;女太空人: 淺膚色;太空人|女|女太空人|女太空人: 淺膚色|淺膚色|火箭
	👩🏼‍🚀;女太空人: 中淺膚色;中淺膚色|太空人|女|女太空人|女太空人: 中淺膚色|火箭
	👩🏽‍🚀;女太空人: 中膚色;中膚色|太空人|女|女太空人|女太空人: 中膚色|火箭
	👩🏾‍🚀;女太空人: 中深膚色;中深膚色|太空人|女|女太空人|女太空人: 中深膚色|火箭
	👩🏿‍🚀;女太空人: 深膚色;太空人|女|女太空人|女太空人: 深膚色|深膚色|火箭
🧑‍🚒;消防員;消防員|消防車
	🧑🏻‍🚒;消防員: 淺膚色;消防員|消防員: 淺膚色|消防車|淺膚色
	🧑🏼‍🚒;消防員: 中淺膚色;中淺膚色|消防員|消防員: 中淺膚色|消防車
	🧑🏽‍🚒;消防員: 中膚色;中膚色|消防員|消防員: 中膚色|消防車
	🧑🏾‍🚒;消防員: 中深膚色;中深膚色|消防員|消防員: 中深膚色|消防車
	🧑🏿‍🚒;消防員: 深膚色;消防員|消防員: 深膚色|消防車|深膚色
👨‍🚒;男消防員;消防員|消防車|男|男消防員
	👨🏻‍🚒;男消防員: 淺膚色;消防員|消防車|淺膚色|男|男消防員|男消防員: 淺膚色
	👨🏼‍🚒;男消防員: 中淺膚色;中淺膚色|消防員|消防車|男|男消防員|男消防員: 中淺膚色
	👨🏽‍🚒;男消防員: 中膚色;中膚色|消防員|消防車|男|男消防員|男消防員: 中膚色
	👨🏾‍🚒;男消防員: 中深膚色;中深膚色|消防員|消防車|男|男消防員|男消防員: 中深膚色
	👨🏿‍🚒;男消防員: 深膚色;消防員|消防車|深膚色|男|男消防員|男消防員: 深膚色
👩‍🚒;女消防員;女|女消防員|消防員|消防車
	👩🏻‍🚒;女消防員: 淺膚色;女|女消防員|女消防員: 淺膚色|消防員|消防車|淺膚色
	👩🏼‍🚒;女消防員: 中淺膚色;中淺膚色|女|女消防員|女消防員: 中淺膚色|消防員|消防車
	👩🏽‍🚒;女消防員: 中膚色;中膚色|女|女消防員|女消防員: 中膚色|消防員|消防車
	👩🏾‍🚒;女消防員: 中深膚色;中深膚色|女|女消防員|女消防員: 中深膚色|消防員|消防車
	👩🏿‍🚒;女消防員: 深膚色;女|女消防員|女消防員: 深膚色|消防員|消防車|深膚色
👮;警察;警員|警官|警察
	👮🏻;警察: 淺膚色;淺膚色|警員|警官|警察|警察: 淺膚色
	👮🏼;警察: 中淺膚色;中淺膚色|警員|警官|警察|警察: 中淺膚色
	👮🏽;警察: 中膚色;中膚色|警員|警官|警察|警察: 中膚色
	👮🏾;警察: 中深膚色;中深膚色|警員|警官|警察|警察: 中深膚色
	👮🏿;警察: 深膚色;深膚色|警員|警官|警察|警察: 深膚色
👮‍♂️;男警察;男|男警察|警員|警官|警察
	👮🏻‍♂️;男警察: 淺膚色;淺膚色|男|男警察|男警察: 淺膚色|警員|警官|警察
	👮🏼‍♂️;男警察: 中淺膚色;中淺膚色|男|男警察|男警察: 中淺膚色|警員|警官|警察
	👮🏽‍♂️;男警察: 中膚色;中膚色|男|男警察|男警察: 中膚色|警員|警官|警察
	👮🏾‍♂️;男警察: 中深膚色;中深膚色|男|男警察|男警察: 中深膚色|警員|警官|警察
	👮🏿‍♂️;男警察: 深膚色;深膚色|男|男警察|男警察: 深膚色|警員|警官|警察
👮‍♀️;女警察;女|女警察|警員|警官|警察
	👮🏻‍♀️;女警察: 淺膚色;女|女警察|女警察: 淺膚色|淺膚色|警員|警官|警察
	👮🏼‍♀️;女警察: 中淺膚色;中淺膚色|女|女警察|女警察: 中淺膚色|警員|警官|警察
	👮🏽‍♀️;女警察: 中膚色;中膚色|女|女警察|女警察: 中膚色|警員|警官|警察
	👮🏾‍♀️;女警察: 中深膚色;中深膚色|女|女警察|女警察: 中深膚色|警員|警官|警察
	👮🏿‍♀️;女警察: 深膚色;女|女警察|女警察: 深膚色|深膚色|警員|警官|警察
🕵️;偵探;偵探|調查員|間諜
	🕵🏻;偵探: 淺膚色;偵探|偵探: 淺膚色|淺膚色|調查員|間諜
	🕵🏼;偵探: 中淺膚色;中淺膚色|偵探|偵探: 中淺膚色|調查員|間諜
	🕵🏽;偵探: 中膚色;中膚色|偵探|偵探: 中膚色|調查員|間諜
	🕵🏾;偵探: 中深膚色;中深膚色|偵探|偵探: 中深膚色|調查員|間諜
	🕵🏿;偵探: 深膚色;偵探|偵探: 深膚色|深膚色|調查員|間諜
🕵️‍♂️;男偵探;偵探|男|男偵探|調查員|間諜
	🕵🏻‍♂️;男偵探: 淺膚色;偵探|淺膚色|男|男偵探|男偵探: 淺膚色|調查員|間諜
	🕵🏼‍♂️;男偵探: 中淺膚色;中淺膚色|偵探|男|男偵探|男偵探: 中淺膚色|調查員|間諜
	🕵🏽‍♂️;男偵探: 中膚色;中膚色|偵探|男|男偵探|男偵探: 中膚色|調查員|間諜
	🕵🏾‍♂️;男偵探: 中深膚色;中深膚色|偵探|男|男偵探|男偵探: 中深膚色|調查員|間諜
	🕵🏿‍♂️;男偵探: 深膚色;偵探|深膚色|男|男偵探|男偵探: 深膚色|調查員|間諜
🕵️‍♀️;女偵探;偵探|女|女偵探|調查員|間諜
	🕵🏻‍♀️;女偵探: 淺膚色;偵探|女|女偵探|女偵探: 淺膚色|淺膚色|調查員|間諜
	🕵🏼‍♀️;女偵探: 中淺膚色;中淺膚色|偵探|女|女偵探|女偵探: 中淺膚色|調查員|間諜
	🕵🏽‍♀️;女偵探: 中膚色;中膚色|偵探|女|女偵探|女偵探: 中膚色|調查員|間諜
	🕵🏾‍♀️;女偵探: 中深膚色;中深膚色|偵探|女|女偵探|女偵探: 中深膚色|調查員|間諜
	🕵🏿‍♀️;女偵探: 深膚色;偵探|女|女偵探|女偵探: 深膚色|深膚色|調查員|間諜
💂;守衛員;守衛員
	💂🏻;守衛員: 淺膚色;守衛員|守衛員: 淺膚色|淺膚色
	💂🏼;守衛員: 中淺膚色;中淺膚色|守衛員|守衛員: 中淺膚色
	💂🏽;守衛員: 中膚色;中膚色|守衛員|守衛員: 中膚色
	💂🏾;守衛員: 中深膚色;中深膚色|守衛員|守衛員: 中深膚色
	💂🏿;守衛員: 深膚色;守衛員|守衛員: 深膚色|深膚色
💂‍♂️;男守衛員;守衛員|男|男守衛員
	💂🏻‍♂️;男守衛員: 淺膚色;守衛員|淺膚色|男|男守衛員|男守衛員: 淺膚色
	💂🏼‍♂️;男守衛員: 中淺膚色;中淺膚色|守衛員|男|男守衛員|男守衛員: 中淺膚色
	💂🏽‍♂️;男守衛員: 中膚色;中膚色|守衛員|男|男守衛員|男守衛員: 中膚色
	💂🏾‍♂️;男守衛員: 中深膚色;中深膚色|守衛員|男|男守衛員|男守衛員: 中深膚色
	💂🏿‍♂️;男守衛員: 深膚色;守衛員|深膚色|男|男守衛員|男守衛員: 深膚色
💂‍♀️;女守衛員;女|女守衛員|守衛員
	💂🏻‍♀️;女守衛員: 淺膚色;女|女守衛員|女守衛員: 淺膚色|守衛員|淺膚色
	💂🏼‍♀️;女守衛員: 中淺膚色;中淺膚色|女|女守衛員|女守衛員: 中淺膚色|守衛員
	💂🏽‍♀️;女守衛員: 中膚色;中膚色|女|女守衛員|女守衛員: 中膚色|守衛員
	💂🏾‍♀️;女守衛員: 中深膚色;中深膚色|女|女守衛員|女守衛員: 中深膚色|守衛員
	💂🏿‍♀️;女守衛員: 深膚色;女|女守衛員|女守衛員: 深膚色|守衛員|深膚色
🥷;忍者;忍者|戰鬥機|隱形|隱身
	🥷🏻;忍者: 淺膚色;忍者|忍者: 淺膚色|戰鬥機|淺膚色|隱形|隱身
	🥷🏼;忍者: 中淺膚色;中淺膚色|忍者|忍者: 中淺膚色|戰鬥機|隱形|隱身
	🥷🏽;忍者: 中膚色;中膚色|忍者|忍者: 中膚色|戰鬥機|隱形|隱身
	🥷🏾;忍者: 中深膚色;中深膚色|忍者|忍者: 中深膚色|戰鬥機|隱形|隱身
	🥷🏿;忍者: 深膚色;忍者|忍者: 深膚色|戰鬥機|深膚色|隱形|隱身
👷;建築工人;工人|帽|建築|建築工人
	👷🏻;建築工人: 淺膚色;工人|帽|建築|建築工人|建築工人: 淺膚色|淺膚色
	👷🏼;建築工人: 中淺膚色;中淺膚色|工人|帽|建築|建築工人|建築工人: 中淺膚色
	👷🏽;建築工人: 中膚色;中膚色|工人|帽|建築|建築工人|建築工人: 中膚色
	👷🏾;建築工人: 中深膚色;中深膚色|工人|帽|建築|建築工人|建築工人: 中深膚色
	👷🏿;建築工人: 深膚色;工人|帽|建築|建築工人|建築工人: 深膚色|深膚色
👷‍♂️;男建築工人;工人|建築|男|男建築工人
	👷🏻‍♂️;男建築工人: 淺膚色;工人|建築|淺膚色|男|男建築工人|男建築工人: 淺膚色
	👷🏼‍♂️;男建築工人: 中淺膚色;中淺膚色|工人|建築|男|男建築工人|男建築工人: 中淺膚色
	👷🏽‍♂️;男建築工人: 中膚色;中膚色|工人|建築|男|男建築工人|男建築工人: 中膚色
	👷🏾‍♂️;男建築工人: 中深膚色;中深膚色|工人|建築|男|男建築工人|男建築工人: 中深膚色
	👷🏿‍♂️;男建築工人: 深膚色;工人|建築|深膚色|男|男建築工人|男建築工人: 深膚色
👷‍♀️;女建築工人;女|女建築工人|工人|建築
	👷🏻‍♀️;女建築工人: 淺膚色;女|女建築工人|女建築工人: 淺膚色|工人|建築|淺膚色
	👷🏼‍♀️;女建築工人: 中淺膚色;中淺膚色|女|女建築工人|女建築工人: 中淺膚色|工人|建築
	👷🏽‍♀️;女建築工人: 中膚色;中膚色|女|女建築工人|女建築工人: 中膚色|工人|建築
	👷🏾‍♀️;女建築工人: 中深膚色;中深膚色|女|女建築工人|女建築工人: 中深膚色|工人|建築
	👷🏿‍♀️;女建築工人: 深膚色;女|女建築工人|女建築工人: 深膚色|工人|建築|深膚色
🫅;戴皇冠嘅人;君主|富豪|戴皇冠嘅人|皇室|高貴
	🫅🏻;戴皇冠嘅人: 淺膚色;君主|富豪|戴皇冠嘅人|戴皇冠嘅人: 淺膚色|淺膚色|皇室|高貴
	🫅🏼;戴皇冠嘅人: 中淺膚色;中淺膚色|君主|富豪|戴皇冠嘅人|戴皇冠嘅人: 中淺膚色|皇室|高貴
	🫅🏽;戴皇冠嘅人: 中膚色;中膚色|君主|富豪|戴皇冠嘅人|戴皇冠嘅人: 中膚色|皇室|高貴
	🫅🏾;戴皇冠嘅人: 中深膚色;中深膚色|君主|富豪|戴皇冠嘅人|戴皇冠嘅人: 中深膚色|皇室|高貴
	🫅🏿;戴皇冠嘅人: 深膚色;君主|富豪|戴皇冠嘅人|戴皇冠嘅人: 深膚色|深膚色|皇室|高貴
🤴;王子;王子
	🤴🏻;王子: 淺膚色;淺膚色|王子|王子: 淺膚色
	🤴🏼;王子: 中淺膚色;中淺膚色|王子|王子: 中淺膚色
	🤴🏽;王子: 中膚色;中膚色|王子|王子: 中膚色
	🤴🏾;王子: 中深膚色;中深膚色|王子|王子: 中深膚色
	🤴🏿;王子: 深膚色;深膚色|王子|王子: 深膚色
👸;公主;公主|幻想|童話故事
	👸🏻;公主: 淺膚色;公主|公主: 淺膚色|幻想|淺膚色|童話故事
	👸🏼;公主: 中淺膚色;中淺膚色|公主|公主: 中淺膚色|幻想|童話故事
	👸🏽;公主: 中膚色;中膚色|公主|公主: 中膚色|幻想|童話故事
	👸🏾;公主: 中深膚色;中深膚色|公主|公主: 中深膚色|幻想|童話故事
	👸🏿;公主: 深膚色;公主|公主: 深膚色|幻想|深膚色|童話故事
👳;戴頭巾嘅人;戴頭巾嘅人|頭巾
	👳🏻;戴頭巾嘅人: 淺膚色;戴頭巾嘅人|戴頭巾嘅人: 淺膚色|淺膚色|頭巾
	👳🏼;戴頭巾嘅人: 中淺膚色;中淺膚色|戴頭巾嘅人|戴頭巾嘅人: 中淺膚色|頭巾
	👳🏽;戴頭巾嘅人: 中膚色;中膚色|戴頭巾嘅人|戴頭巾嘅人: 中膚色|頭巾
