[smileys_emotion]
😀;笑臉;微笑|笑臉|臉
	👍🏿;豎起手指公: 深膚色;+1|手|手指公|深膚色|豎起|豎起手指公|豎起手指公: 深膚色
👎;手指公向下;-1|下|手|手指公|手指公向下
	👎🏻;手指公向下: 淺膚色;-1|下|手|手指公|手指公向下|手指公向下: 淺膚色|淺膚色
	👎🏼;手指公向下: 中淺膚色;-1|下|中淺膚色|手|手指公|手指公向下|手指公向下: 中淺膚色
	👎🏽;手指公向下: 中膚色;-1|下|中膚色|手|手指公|手指公向下|手指公向下: 中膚色
	👎🏾;手指公向下: 中深膚色;-1|下|中深膚色|手|手指公|手指公向下|手指公向下: 中深膚色
	👎🏿;手指公向下: 深膚色;-1|下|手|手指公|手指公向下|手指公向下: 深膚色|深膚色
✊;舉起拳頭;手|打|拳頭|握緊|舉起拳頭
	✊🏻;舉起拳頭: 淺膚色;手|打|拳頭|握緊|淺膚色|舉起拳頭|舉起拳頭: 淺膚色
	✊🏼;舉起拳頭: 中淺膚色;中淺膚色|手|打|拳頭|握緊|舉起拳頭|舉起拳頭: 中淺膚色
	✊🏽;舉起拳頭: 中膚色;中膚色|手|打|拳頭|握緊|舉起拳頭|舉起拳頭: 中膚色
	✊🏾;舉起拳頭: 中深膚色;中深膚色|手|打|拳頭|握緊|舉起拳頭|舉起拳頭: 中深膚色
	✊🏿;舉起拳頭: 深膚色;手|打|拳頭|握緊|深膚色|舉起拳頭|舉起拳頭: 深膚色
👊;迎面而來嘅拳頭;手|打|拳頭|握緊|迎面而來嘅拳頭
	👊🏻;迎面而來嘅拳頭: 淺膚色;手|打|拳頭|握緊|淺膚色|迎面而來嘅拳頭|迎面而來嘅拳頭: 淺膚色
	👊🏼;迎面而來嘅拳頭: 中淺膚色;中淺膚色|手|打|拳頭|握緊|迎面而來嘅拳頭|迎面而來嘅拳頭: 中淺膚色
	👊🏽;迎面而來嘅拳頭: 中膚色;中膚色|手|打|拳頭|握緊|迎面而來嘅拳頭|迎面而來嘅拳頭: 中膚色
	👊🏾;迎面而來嘅拳頭: 中深膚色;中深膚色|手|打|拳頭|握緊|迎面而來嘅拳頭|迎面而來嘅拳頭: 中深膚色
	👊🏿;迎面而來嘅拳頭: 深膚色;手|打|拳頭|握緊|深膚色|迎面而來嘅拳頭|迎面而來嘅拳頭: 深膚色
🤛;向左嘅拳頭;向左|向左嘅拳頭|拳頭
	🤛🏻;向左嘅拳頭: 淺膚色;向左|向左嘅拳頭|向左嘅拳頭: 淺膚色|拳頭|淺膚色
	🤛🏼;向左嘅拳頭: 中淺膚色;中淺膚色|向左|向左嘅拳頭|向左嘅拳頭: 中淺膚色|拳頭
	🤛🏽;向左嘅拳頭: 中膚色;中膚色|向左|向左嘅拳頭|向左嘅拳頭: 中膚色|拳頭
	🤛🏾;向左嘅拳頭: 中深膚色;中深膚色|向左|向左嘅拳頭|向左嘅拳頭: 中深膚色|拳頭
	🤛🏿;向左嘅拳頭: 深膚色;向左|向左嘅拳頭|向左嘅拳頭: 深膚色|拳頭|深膚色
🤜;向右嘅拳頭;向右|向右嘅拳頭|拳頭
	🤜🏻;向右嘅拳頭: 淺膚色;向右|向右嘅拳頭|向右嘅拳頭: 淺膚色|拳頭|淺膚色
	🤜🏼;向右嘅拳頭: 中淺膚色;中淺膚色|向右|向右嘅拳頭|向右嘅拳頭: 中淺膚色|拳頭
	🤜🏽;向右嘅拳頭: 中膚色;中膚色|向右|向右嘅拳頭|向右嘅拳頭: 中膚色|拳頭
	🤜🏾;向右嘅拳頭: 中深膚色;中深膚色|向右|向右嘅拳頭|向右嘅拳頭: 中深膚色|拳頭
	🤜🏿;向右嘅拳頭: 深膚色;向右|向右嘅拳頭|向右嘅拳頭: 深膚色|拳頭|深膚色
👏;拍手;手|拍手
	👏🏻;拍手: 淺膚色;手|拍手|拍手: 淺膚色|淺膚色
	👏🏼;拍手: 中淺膚色;中淺膚色|手|拍手|拍手: 中淺膚色
	👏🏽;拍手: 中膚色;中膚色|手|拍手|拍手: 中膚色
	👏🏾;拍手: 中深膚色;中深膚色|手|拍手|拍手: 中深膚色
	👏🏿;拍手: 深膚色;手|拍手|拍手: 深膚色|深膚色
🙌;舉高雙手;慶祝|手|手勢|萬歲|舉起|舉高雙手
	🙌🏻;舉高雙手: 淺膚色;慶祝|手|手勢|淺膚色|萬歲|舉起|舉高雙手|舉高雙手: 淺膚色
	🙌🏼;舉高雙手: 中淺膚色;中淺膚色|慶祝|手|手勢|萬歲|舉起|舉高雙手|舉高雙手: 中淺膚色
	🙌🏽;舉高雙手: 中膚色;中膚色|慶祝|手|手勢|萬歲|舉起|舉高雙手|舉高雙手: 中膚色
