[smileys_emotion]
😀;mata fiefia;fiefia|mata|ngutu
🥹;mata loʻimata maʻu;lotomamahi|mata|mata loʻimata maʻu|tuʻuaki
😦;mata fingo moe ngutu fakamanga;fakamanga|fingo|mata|mata fingo moe ngutu fakamanga|ngutu
😧;mata lotomamahi;lotomamahi|mata
😨;mata fakamanavahē;fakamanavahē|mata
😰;mata lotomoʻua moe tautaʻa;lotomoʻua|mata|mata lotomoʻua moe tautaʻa|pulū|tautaʻa
😥;mata lotomamahi kā fakanongononga;fakanongononga|lotomamahi|mata|mata lotomamahi kā fakanongononga
😢;mata loʻimata;loʻimata|mata|tangi
😭;mata loʻimata lahi;loʻimata|mata|mata loʻimata lahi|tangi
😱;mata ʻoku kekekeke he manavahē;kekekeke|manavahē|mata|mata ʻoku kekekeke he manavahē
😖;mata fakapuputuʻu;mata|mata fakapuputuʻu|puputuʻu
😣;mata lotokītaki;lotokītaki|mata
😞;mata fakalotomamahi;lotomamahi|mata|mata fakalotomamahi
😓;mata lototaʻotaʻomia moe tautaʻa;lototaʻotaʻomia|mata|mata lototaʻotaʻomia moe tautaʻa|tautaʻa
😩;mata ongosia;helaʻia|mata|ongosia
😫;mata helaʻia;helaʻia|mata
🥱;mata mamao;fakahela|mamao|mata
😤;mata moe mao meihe ihu;ihu|mao|mata|mata moe mao meihe ihu
😡;mata ʻita lahi;ʻita|kuolokula|mata|mata ʻita lahi
😠;mata ʻita;ʻita|mata
🤬;mata kapekape;kapekape|kulokula|mata
😈;mata malimali moe meʻatui;lanufesiʻifekika|malimali|mata|mata malimali moe meʻatui|meʻatui
👿;mata ʻita moe meʻatui;ʻita|lanufesiʻifekika|mata|mata ʻita moe meʻatui|meʻatui
💀;ʻulupoko;ʻulupoko|mate
☠️;ʻulupoko moe ongo hui fehauaki;2|fehauaki|hui|ʻulupoko|ʻulupoko moe ongo hui fehauaki|kaihaʻa ʻi tahi
💩;tuʻunga meʻakovi;meʻakovi|taʻe|tuʻunga
🤡;mata tokotaha-fieoli;fieoli|mata|mata tokotaha-fieoli
👹;nifoloa;faʻahikehe|nifoloa
👺;pīnōnō;faʻahikehe|pīnōnō
👻;fakapūloa;faʻahikehe|fakapūloa
👽;meʻamoʻuikehe;faʻahikehe|meʻamoʻuikehe
👾;meʻamoʻuikehe fakamanavahē;faʻahikehe|fakamanavahē|komipiuta|meʻamoʻuikehe
🤖;mata tangata-ukamea;mata|tangata-ukamea
😺;mataʻipusi fiefia;fiefia|mata|mataʻipusi fiefia|pusi
😸;mataʻipusi fiefia moe kanoʻimata malimali;fiefia|kanoʻimata|malimali|mata|mataʻipusi fiefia moe kanoʻimata malimali|pusi
😹;mataʻipusi moe loʻimata fiefia;fiefia|loʻimata|mata|mataʻipusi moe loʻimata fiefia|pusi
😻;mataʻipusi malimali moe kanoʻimata mafu;kanoʻimata|mafu|malimali|mata|mataʻipusi malimali moe kanoʻimata mafu|pusi
😼;mataʻipusi moe malimali feʻu;malimali feʻu|mata|mataʻipusi moe malimali feʻu|pusi
😽;mataʻipusi ʻuma;ʻuma|mata|mataʻipusi ʻuma|pusi
🙀;mataʻipusi ongosia;mata|mataʻipusi ongosia|ongosia|pusi
😿;mataʻipusi loʻimata;loʻimata|mata|mataʻipusi loʻimata|pusi
😾;mataʻipusi taʻefiemālie;mata|mataʻipusi taʻefiemālie|pusi|taʻefiemālie
🙈;ngeli ʻikai sio kovi;ʻikai|kovi|ngeli|sio
🙉;ngeli ʻikai fanongo kovi;fanongo|ʻikai|kovi|ngeli
🙊;ngeli ʻikai lea kovi;ʻikai|kovi|lea|ngeli
💌;tohi ʻofa;ʻofa|mafu|tohi
💘;mafu moe ngahau;ʻofa|mafu|mafu moe ngahau|ngahau
💝;mafu moe lipine;lipine|mafu|mafu moe lipine|ofo
💖;mafu ngingila;mafu|ngingila
💗;mafu tupu;mafu|tupu
💓;mafu ʻoku tā;mafu|mafu ʻoku tā|tā
💞;ongo mafu takai;mafu|ongo|takai
💕;ongo mafu;mafu|ongo
💟;mafu teuteuʻi;lanufesiʻifekika|mafu|teuteuʻi
❣️;mafu fakaʻilonga kalanga;ʻilonga|kalanga|mafu|mafu fakaʻilonga kalanga
💔;loto lavea;lavea|loto|mafu
❤️‍🔥;mafu afi;afi|mafu|mafu toputapu
❤️‍🩹;mafu monomono;
❤️;mafu kulokula;kulokula|mafu
🩷;mafu lanupingikī;kulokula|lanupingikī|maama|mafu
🧡;mafu lanumoli;lanumoli|mafu
💛;mafu engeenga;engeenga|mafu
💚;mafu lanumata;lanumata|mafu
💙;mafu lanupulū;lanupulū|mafu
🩵;mafu lanupulū maama;lanupulū|maama|mafu
💜;mafu lanufesiʻifekika;lanufesiʻifekika|mafu
🤎;mafu melomelo;mafu|melomelo
🖤;mafu ʻuliʻuli;ʻuliʻuli|mafu
🩶;mafu lanulavilavi;fulutui|lanulavilavi|mafu|tukumisi
🤍;mafu hinehina;hinehina|mafu|tea
💋;ʻilonga loungutu;ʻilonga|ʻuma|loungutu
💯;poini ʻe teau;ʻilonga|poini|poini ʻe teau|teau
💢;fakaʻilonga ʻita;fakaʻilonga ʻita|ʻilonga|ʻita
💥;fepaki;fepaki|ʻilonga
💫;ninimo;ʻilonga|ninimo
💦;tautaʻa tulutā;tautaʻa|tulutā
💨;ʻoho atu;atu|ʻoho
🕳️;ava;ava
💬;pulalea;lea|pulalea
👁️‍🗨️;kanoʻimata ʻi ha pulalea;kanoʻimata|kanoʻimata ʻi ha pulalea|lea|pulalea
🗨️;pulalea ʻi hema;hema|pulalea|pulalea ʻi hema
🗯️;pulalea ʻita;ʻita|pulalea
💭;pulalea fakakaukau;fakakaukau|ʻao|pulalea
💤;mohe;ʻilonga|mohe

[people_body]
👋;nima taʻataʻalo;nima|taʻataʻalo
	👋🏻;nima taʻataʻalo: kili hinehina;kili hinehina|nima|nima taʻataʻalo: kili hinehina|taʻataʻalo
	👋🏼;nima taʻataʻalo: kili kelokelo;kili kelokelo|nima|nima taʻataʻalo: kili kelokelo|taʻataʻalo
	👋🏽;nima taʻataʻalo: kili melomelo;kili melomelo|nima|nima taʻataʻalo: kili melomelo|taʻataʻalo
	👋🏾;nima taʻataʻalo: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|nima|nima taʻataʻalo: kili melomelo-ʻuliʻuli|taʻataʻalo
	👋🏿;nima taʻataʻalo: kili ʻuliʻuli;kili ʻuliʻuli|nima|nima taʻataʻalo: kili ʻuliʻuli|taʻataʻalo
🤚;tuʻanima hiki ki ʻolunga;ʻolunga|nima|tuʻanima|tuʻanima hiki ki ʻolunga
	🤚🏻;tuʻanima hiki ki ʻolunga: kili hinehina;ʻolunga|kili hinehina|nima|tuʻanima|tuʻanima hiki ki ʻolunga|tuʻanima hiki ki ʻolunga: kili hinehina
	🤚🏼;tuʻanima hiki ki ʻolunga: kili kelokelo;ʻolunga|kili kelokelo|nima|tuʻanima|tuʻanima hiki ki ʻolunga|tuʻanima hiki ki ʻolunga: kili kelokelo
	🤚🏽;tuʻanima hiki ki ʻolunga: kili melomelo;ʻolunga|kili melomelo|nima|tuʻanima|tuʻanima hiki ki ʻolunga|tuʻanima hiki ki ʻolunga: kili melomelo
	🤚🏾;tuʻanima hiki ki ʻolunga: kili melomelo-ʻuliʻuli;ʻolunga|kili melomelo-ʻuliʻuli|nima|tuʻanima|tuʻanima hiki ki ʻolunga|tuʻanima hiki ki ʻolunga: kili melomelo-ʻuliʻuli
	🤚🏿;tuʻanima hiki ki ʻolunga: kili ʻuliʻuli;ʻolunga|kili ʻuliʻuli|nima|tuʻanima|tuʻanima hiki ki ʻolunga|tuʻanima hiki ki ʻolunga: kili ʻuliʻuli
🖐️;nima fālalahi;fālalahi|nima
	🖐🏻;nima fālalahi: kili hinehina;fālalahi|kili hinehina|nima|nima fālalahi: kili hinehina
	🖐🏼;nima fālalahi: kili kelokelo;fālalahi|kili kelokelo|nima|nima fālalahi: kili kelokelo
	🖐🏽;nima fālalahi: kili melomelo;fālalahi|kili melomelo|nima|nima fālalahi: kili melomelo
	🖐🏾;nima fālalahi: kili melomelo-ʻuliʻuli;fālalahi|kili melomelo-ʻuliʻuli|nima|nima fālalahi: kili melomelo-ʻuliʻuli
	🖐🏿;nima fālalahi: kili ʻuliʻuli;fālalahi|kili ʻuliʻuli|nima|nima fālalahi: kili ʻuliʻuli
✋;nima hiki ki ʻolunga;ʻolunga|nima|nima hiki ki ʻolunga
	✋🏻;nima hiki ki ʻolunga: kili hinehina;ʻolunga|kili hinehina|nima|nima hiki ki ʻolunga|nima hiki ki ʻolunga: kili hinehina
