[smileys_emotion]
😀;mata fiefia;fiefia|mata|ngutu
	👃🏿;ihu: kili ʻuliʻuli;ihu|ihu: kili ʻuliʻuli|kili ʻuliʻuli
🧠;ʻuto;ʻuto
🫀;mafu;mafu
🫁;maʻamaʻa;maʻamaʻa
🦷;nifo;nifo
🦴;hui;hui
👀;ongo kanoʻimata;kanoʻimata|ongo
👁️;kanoʻimata;kanoʻimata
👅;ʻelelo;ʻelelo
👄;ngutu;ngutu
🫦;uʻu loungutu;hohaʻa|lotomoʻua|ngutu|uʻu loungutu
👶;valevale;valevale
	👶🏻;valevale: kili hinehina;kili hinehina|valevale|valevale: kili hinehina
	👶🏼;valevale: kili kelokelo;kili kelokelo|valevale|valevale: kili kelokelo
	👶🏽;valevale: kili melomelo;kili melomelo|valevale|valevale: kili melomelo
	👶🏾;valevale: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|valevale|valevale: kili melomelo-ʻuliʻuli
	👶🏿;valevale: kili ʻuliʻuli;kili ʻuliʻuli|valevale|valevale: kili ʻuliʻuli
🧒;fānau;fānau
	🧒🏻;fānau: kili hinehina;fānau|fānau: kili hinehina|kili hinehina
	🧒🏼;fānau: kili kelokelo;fānau|fānau: kili kelokelo|kili kelokelo
	🧒🏽;fānau: kili melomelo;fānau|fānau: kili melomelo|kili melomelo
	🧒🏾;fānau: kili melomelo-ʻuliʻuli;fānau|fānau: kili melomelo-ʻuliʻuli|kili melomelo-ʻuliʻuli
	🧒🏿;fānau: kili ʻuliʻuli;fānau|fānau: kili ʻuliʻuli|kili ʻuliʻuli
👦;tamasiʻi;tamasiʻi
	👦🏻;tamasiʻi: kili hinehina;kili hinehina|tamasiʻi|tamasiʻi: kili hinehina
	👦🏼;tamasiʻi: kili kelokelo;kili kelokelo|tamasiʻi|tamasiʻi: kili kelokelo
	👦🏽;tamasiʻi: kili melomelo;kili melomelo|tamasiʻi|tamasiʻi: kili melomelo
	👦🏾;tamasiʻi: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tamasiʻi|tamasiʻi: kili melomelo-ʻuliʻuli
	👦🏿;tamasiʻi: kili ʻuliʻuli;kili ʻuliʻuli|tamasiʻi|tamasiʻi: kili ʻuliʻuli
👧;taʻahine;taʻahine
	👧🏻;taʻahine: kili hinehina;kili hinehina|taʻahine|taʻahine: kili hinehina
	👧🏼;taʻahine: kili kelokelo;kili kelokelo|taʻahine|taʻahine: kili kelokelo
	👧🏽;taʻahine: kili melomelo;kili melomelo|taʻahine|taʻahine: kili melomelo
	👧🏾;taʻahine: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|taʻahine|taʻahine: kili melomelo-ʻuliʻuli
	👧🏿;taʻahine: kili ʻuliʻuli;kili ʻuliʻuli|taʻahine|taʻahine: kili ʻuliʻuli
🧑;kakai lalahi;kakai lalahi
	🧑🏻;kakai lalahi: kili hinehina;kakai lalahi|kakai lalahi: kili hinehina|kili hinehina
	🧑🏼;kakai lalahi: kili kelokelo;kakai lalahi|kakai lalahi: kili kelokelo|kili kelokelo
	🧑🏽;kakai lalahi: kili melomelo;kakai lalahi|kakai lalahi: kili melomelo|kili melomelo
	🧑🏾;kakai lalahi: kili melomelo-ʻuliʻuli;kakai lalahi|kakai lalahi: kili melomelo-ʻuliʻuli|kili melomelo-ʻuliʻuli
	🧑🏿;kakai lalahi: kili ʻuliʻuli;kakai lalahi|kakai lalahi: kili ʻuliʻuli|kili ʻuliʻuli
👱;tokotaha ʻulu kelo;ʻulu|kelo|tokotaha
	👱🏻;tokotaha ʻulu kelo: kili hinehina;ʻulu|kelo|kili hinehina|tokotaha|tokotaha ʻulu kelo: kili hinehina
	👱🏼;tokotaha ʻulu kelo: kili kelokelo;ʻulu|kelo|kili kelokelo|tokotaha|tokotaha ʻulu kelo: kili kelokelo
	👱🏽;tokotaha ʻulu kelo: kili melomelo;ʻulu|kelo|kili melomelo|tokotaha|tokotaha ʻulu kelo: kili melomelo
	👱🏾;tokotaha ʻulu kelo: kili melomelo-ʻuliʻuli;ʻulu|kelo|kili melomelo-ʻuliʻuli|tokotaha|tokotaha ʻulu kelo: kili melomelo-ʻuliʻuli
	👱🏿;tokotaha ʻulu kelo: kili ʻuliʻuli;ʻulu|kelo|kili ʻuliʻuli|tokotaha|tokotaha ʻulu kelo: kili ʻuliʻuli
👨;tangata;tangata
	👨🏻;tangata: kili hinehina;kili hinehina|tangata|tangata: kili hinehina
	👨🏼;tangata: kili kelokelo;kili kelokelo|tangata|tangata: kili kelokelo
	👨🏽;tangata: kili melomelo;kili melomelo|tangata|tangata: kili melomelo
	👨🏾;tangata: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata|tangata: kili melomelo-ʻuliʻuli
	👨🏿;tangata: kili ʻuliʻuli;kili ʻuliʻuli|tangata|tangata: kili ʻuliʻuli
🧔;tokotaha kava;kava|tokotaha
	🧔🏻;tokotaha kava: kili hinehina;kava|kili hinehina|tokotaha|tokotaha kava: kili hinehina
	🧔🏼;tokotaha kava: kili kelokelo;kava|kili kelokelo|tokotaha|tokotaha kava: kili kelokelo
	🧔🏽;tokotaha kava: kili melomelo;kava|kili melomelo|tokotaha|tokotaha kava: kili melomelo
	🧔🏾;tokotaha kava: kili melomelo-ʻuliʻuli;kava|kili melomelo-ʻuliʻuli|tokotaha|tokotaha kava: kili melomelo-ʻuliʻuli
	🧔🏿;tokotaha kava: kili ʻuliʻuli;kava|kili ʻuliʻuli|tokotaha|tokotaha kava: kili ʻuliʻuli
🧔‍♂️;tangata kava;
	🧔🏻‍♂️;tangata kava: kili hinehina;kava|kili hinehina|tangata|tangata kava: kili hinehina
	🧔🏼‍♂️;tangata kava: kili kelokelo;kava|kili kelokelo|tangata|tangata kava: kili kelokelo
	🧔🏽‍♂️;tangata kava: kili melomelo;kava|kili melomelo|tangata|tangata kava: kili melomelo
	🧔🏾‍♂️;tangata kava: kili melomelo-ʻuliʻuli;kava|kili melomelo-ʻuliʻuli|tangata|tangata kava: kili melomelo-ʻuliʻuli
	🧔🏿‍♂️;tangata kava: kili ʻuliʻuli;kava|kili ʻuliʻuli|tangata|tangata kava: kili ʻuliʻuli
🧔‍♀️;;
	🧔🏻‍♀️;fefine kava: kili hinehina;fefine|fefine kava: kili hinehina|kava|kili hinehina
	🧔🏼‍♀️;fefine kava: kili kelokelo;fefine|fefine kava: kili kelokelo|kava|kili kelokelo
	🧔🏽‍♀️;fefine kava: kili melomelo;fefine|fefine kava: kili melomelo|kava|kili melomelo
	🧔🏾‍♀️;fefine kava: kili melomelo-ʻuliʻuli;fefine|fefine kava: kili melomelo-ʻuliʻuli|kava|kili melomelo-ʻuliʻuli
	🧔🏿‍♀️;fefine kava: kili ʻuliʻuli;fefine|fefine kava: kili ʻuliʻuli|kava|kili ʻuliʻuli
👨‍🦰;tangata: ʻulu kulokula;ʻulu kulokula|tangata|tangata: ʻulu kulokula
	👨🏻‍🦰;tangata: kili hinehina mo e ʻulu kulokula;ʻulu kulokula|kili hinehina|tangata|tangata: kili hinehina mo e ʻulu kulokula
	👨🏼‍🦰;tangata: kili kelokelo mo e ʻulu kulokula;ʻulu kulokula|kili kelokelo|tangata|tangata: kili kelokelo mo e ʻulu kulokula
	👨🏽‍🦰;tangata: kili melomelo mo e ʻulu kulokula;ʻulu kulokula|kili melomelo|tangata|tangata: kili melomelo mo e ʻulu kulokula
	👨🏾‍🦰;tangata: kili melomelo-ʻuliʻuli mo e ʻulu kulokula;ʻulu kulokula|kili melomelo-ʻuliʻuli|tangata|tangata: kili melomelo-ʻuliʻuli mo e ʻulu kulokula
	👨🏿‍🦰;tangata: kili ʻuliʻuli mo e ʻulu kulokula;ʻulu kulokula|kili ʻuliʻuli|tangata|tangata: kili ʻuliʻuli mo e ʻulu kulokula
👨‍🦱;tangata: ʻulu mingimingi;ʻulu mingimingi|tangata|tangata: ʻulu mingimingi
	👨🏻‍🦱;tangata: kili hinehina mo e ʻulu mingimingi;ʻulu mingimingi|kili hinehina|tangata|tangata: kili hinehina mo e ʻulu mingimingi
	👨🏼‍🦱;tangata: kili kelokelo mo e ʻulu mingimingi;ʻulu mingimingi|kili kelokelo|tangata|tangata: kili kelokelo mo e ʻulu mingimingi
	👨🏽‍🦱;tangata: kili melomelo mo e ʻulu mingimingi;ʻulu mingimingi|kili melomelo|tangata|tangata: kili melomelo mo e ʻulu mingimingi
	👨🏾‍🦱;tangata: kili melomelo-ʻuliʻuli mo e ʻulu mingimingi;ʻulu mingimingi|kili melomelo-ʻuliʻuli|tangata|tangata: kili melomelo-ʻuliʻuli mo e ʻulu mingimingi
	👨🏿‍🦱;tangata: kili ʻuliʻuli mo e ʻulu mingimingi;ʻulu mingimingi|kili ʻuliʻuli|tangata|tangata: kili ʻuliʻuli mo e ʻulu mingimingi
👨‍🦳;tangata: ʻulu hinā;ʻulu hinā|tangata|tangata: ʻulu hinā
	👨🏻‍🦳;tangata: kili hinehina mo e ʻulu hinā;ʻulu hinā|kili hinehina|tangata|tangata: kili hinehina mo e ʻulu hinā
	👨🏼‍🦳;tangata: kili kelokelo mo e ʻulu hinā;ʻulu hinā|kili kelokelo|tangata|tangata: kili kelokelo mo e ʻulu hinā
	👨🏽‍🦳;tangata: kili melomelo mo e ʻulu hinā;ʻulu hinā|kili melomelo|tangata|tangata: kili melomelo mo e ʻulu hinā
	👨🏾‍🦳;tangata: kili melomelo-ʻuliʻuli mo e ʻulu hinā;ʻulu hinā|kili melomelo-ʻuliʻuli|tangata|tangata: kili melomelo-ʻuliʻuli mo e ʻulu hinā
	👨🏿‍🦳;tangata: kili ʻuliʻuli mo e ʻulu hinā;ʻulu hinā|kili ʻuliʻuli|tangata|tangata: kili ʻuliʻuli mo e ʻulu hinā
👨‍🦲;tangata: ʻulu tula;ʻulu tula|tangata|tangata: ʻulu tula
	👨🏻‍🦲;tangata: kili hinehina mo e ʻulu tula;ʻulu tula|kili hinehina|tangata|tangata: kili hinehina mo e ʻulu tula
	👨🏼‍🦲;tangata: kili kelokelo mo e ʻulu tula;ʻulu tula|kili kelokelo|tangata|tangata: kili kelokelo mo e ʻulu tula
	👨🏽‍🦲;tangata: kili melomelo mo e ʻulu tula;ʻulu tula|kili melomelo|tangata|tangata: kili melomelo mo e ʻulu tula
	👨🏾‍🦲;tangata: kili melomelo-ʻuliʻuli mo e ʻulu tula;ʻulu tula|kili melomelo-ʻuliʻuli|tangata|tangata: kili melomelo-ʻuliʻuli mo e ʻulu tula
	👨🏿‍🦲;tangata: kili ʻuliʻuli mo e ʻulu tula;ʻulu tula|kili ʻuliʻuli|tangata|tangata: kili ʻuliʻuli mo e ʻulu tula
👩;fefine;fefine
	👩🏻;fefine: kili hinehina;fefine|fefine: kili hinehina|kili hinehina
	👩🏼;fefine: kili kelokelo;fefine|fefine: kili kelokelo|kili kelokelo
	👩🏽;fefine: kili melomelo;fefine|fefine: kili melomelo|kili melomelo
	👩🏾;fefine: kili melomelo-ʻuliʻuli;fefine|fefine: kili melomelo-ʻuliʻuli|kili melomelo-ʻuliʻuli
	👩🏿;fefine: kili ʻuliʻuli;fefine|fefine: kili ʻuliʻuli|kili ʻuliʻuli
👩‍🦰;fefine: ʻulu kulokula;fefine|fefine: ʻulu kulokula|ʻulu kulokula
	👩🏻‍🦰;fefine: kili hinehina mo e ʻulu kulokula;fefine|fefine: kili hinehina mo e ʻulu kulokula|ʻulu kulokula|kili hinehina
	👩🏼‍🦰;fefine: kili kelokelo mo e ʻulu kulokula;fefine|fefine: kili kelokelo mo e ʻulu kulokula|ʻulu kulokula|kili kelokelo
	👩🏽‍🦰;fefine: kili melomelo mo e ʻulu kulokula;fefine|fefine: kili melomelo mo e ʻulu kulokula|ʻulu kulokula|kili melomelo
	👩🏾‍🦰;fefine: kili melomelo-ʻuliʻuli mo e ʻulu kulokula;fefine|fefine: kili melomelo-ʻuliʻuli mo e ʻulu kulokula|ʻulu kulokula|kili melomelo-ʻuliʻuli
	👩🏿‍🦰;fefine: kili ʻuliʻuli mo e ʻulu kulokula;fefine|fefine: kili ʻuliʻuli mo e ʻulu kulokula|ʻulu kulokula|kili ʻuliʻuli
🧑‍🦰;kakai lalahi: ʻulu kulokula;ʻulu kulokula|kakai lalahi|kakai lalahi: ʻulu kulokula
	🧑🏻‍🦰;kakai lalahi: kili hinehina mo e ʻulu kulokula;ʻulu kulokula|kakai lalahi|kakai lalahi: kili hinehina mo e ʻulu kulokula|kili hinehina
	🧑🏼‍🦰;kakai lalahi: kili kelokelo mo e ʻulu kulokula;ʻulu kulokula|kakai lalahi|kakai lalahi: kili kelokelo mo e ʻulu kulokula|kili kelokelo
	🧑🏽‍🦰;kakai lalahi: kili melomelo mo e ʻulu kulokula;ʻulu kulokula|kakai lalahi|kakai lalahi: kili melomelo mo e ʻulu kulokula|kili melomelo
	🧑🏾‍🦰;kakai lalahi: kili melomelo-ʻuliʻuli mo e ʻulu kulokula;ʻulu kulokula|kakai lalahi|kakai lalahi: kili melomelo-ʻuliʻuli mo e ʻulu kulokula|kili melomelo-ʻuliʻuli
	🧑🏿‍🦰;kakai lalahi: kili ʻuliʻuli mo e ʻulu kulokula;ʻulu kulokula|kakai lalahi|kakai lalahi: kili ʻuliʻuli mo e ʻulu kulokula|kili ʻuliʻuli
👩‍🦱;fefine: ʻulu mingimingi;fefine|fefine: ʻulu mingimingi|ʻulu mingimingi
	👩🏻‍🦱;fefine: kili hinehina mo e ʻulu mingimingi;fefine|fefine: kili hinehina mo e ʻulu mingimingi|ʻulu mingimingi|kili hinehina
	👩🏼‍🦱;fefine: kili kelokelo mo e ʻulu mingimingi;fefine|fefine: kili kelokelo mo e ʻulu mingimingi|ʻulu mingimingi|kili kelokelo
	👩🏽‍🦱;fefine: kili melomelo mo e ʻulu mingimingi;fefine|fefine: kili melomelo mo e ʻulu mingimingi|ʻulu mingimingi|kili melomelo
	👩🏾‍🦱;fefine: kili melomelo-ʻuliʻuli mo e ʻulu mingimingi;fefine|fefine: kili melomelo-ʻuliʻuli mo e ʻulu mingimingi|ʻulu mingimingi|kili melomelo-ʻuliʻuli
	👩🏿‍🦱;fefine: kili ʻuliʻuli mo e ʻulu mingimingi;fefine|fefine: kili ʻuliʻuli mo e ʻulu mingimingi|ʻulu mingimingi|kili ʻuliʻuli
🧑‍🦱;kakai lalahi: ʻulu mingimingi;ʻulu mingimingi|kakai lalahi|kakai lalahi: ʻulu mingimingi
	🧑🏻‍🦱;kakai lalahi: kili hinehina mo e ʻulu mingimingi;ʻulu mingimingi|kakai lalahi|kakai lalahi: kili hinehina mo e ʻulu mingimingi|kili hinehina
	🧑🏼‍🦱;kakai lalahi: kili kelokelo mo e ʻulu mingimingi;ʻulu mingimingi|kakai lalahi|kakai lalahi: kili kelokelo mo e ʻulu mingimingi|kili kelokelo
	🧑🏽‍🦱;kakai lalahi: kili melomelo mo e ʻulu mingimingi;ʻulu mingimingi|kakai lalahi|kakai lalahi: kili melomelo mo e ʻulu mingimingi|kili melomelo
	🧑🏾‍🦱;kakai lalahi: kili melomelo-ʻuliʻuli mo e ʻulu mingimingi;ʻulu mingimingi|kakai lalahi|kakai lalahi: kili melomelo-ʻuliʻuli mo e ʻulu mingimingi|kili melomelo-ʻuliʻuli
	🧑🏿‍🦱;kakai lalahi: kili ʻuliʻuli mo e ʻulu mingimingi;ʻulu mingimingi|kakai lalahi|kakai lalahi: kili ʻuliʻuli mo e ʻulu mingimingi|kili ʻuliʻuli
👩‍🦳;fefine: ʻulu hinā;fefine|fefine: ʻulu hinā|ʻulu hinā
	👩🏻‍🦳;fefine: kili hinehina mo e ʻulu hinā;fefine|fefine: kili hinehina mo e ʻulu hinā|ʻulu hinā|kili hinehina
	👩🏼‍🦳;fefine: kili kelokelo mo e ʻulu hinā;fefine|fefine: kili kelokelo mo e ʻulu hinā|ʻulu hinā|kili kelokelo
	👩🏽‍🦳;fefine: kili melomelo mo e ʻulu hinā;fefine|fefine: kili melomelo mo e ʻulu hinā|ʻulu hinā|kili melomelo
	👩🏾‍🦳;fefine: kili melomelo-ʻuliʻuli mo e ʻulu hinā;fefine|fefine: kili melomelo-ʻuliʻuli mo e ʻulu hinā|ʻulu hinā|kili melomelo-ʻuliʻuli
	👩🏿‍🦳;fefine: kili ʻuliʻuli mo e ʻulu hinā;fefine|fefine: kili ʻuliʻuli mo e ʻulu hinā|ʻulu hinā|kili ʻuliʻuli
🧑‍🦳;kakai lalahi: ʻulu hinā;ʻulu hinā|kakai lalahi|kakai lalahi: ʻulu hinā
	🧑🏻‍🦳;kakai lalahi: kili hinehina mo e ʻulu hinā;ʻulu hinā|kakai lalahi|kakai lalahi: kili hinehina mo e ʻulu hinā|kili hinehina
	🧑🏼‍🦳;kakai lalahi: kili kelokelo mo e ʻulu hinā;ʻulu hinā|kakai lalahi|kakai lalahi: kili kelokelo mo e ʻulu hinā|kili kelokelo
	🧑🏽‍🦳;kakai lalahi: kili melomelo mo e ʻulu hinā;ʻulu hinā|kakai lalahi|kakai lalahi: kili melomelo mo e ʻulu hinā|kili melomelo
	🧑🏾‍🦳;kakai lalahi: kili melomelo-ʻuliʻuli mo e ʻulu hinā;ʻulu hinā|kakai lalahi|kakai lalahi: kili melomelo-ʻuliʻuli mo e ʻulu hinā|kili melomelo-ʻuliʻuli
	🧑🏿‍🦳;kakai lalahi: kili ʻuliʻuli mo e ʻulu hinā;ʻulu hinā|kakai lalahi|kakai lalahi: kili ʻuliʻuli mo e ʻulu hinā|kili ʻuliʻuli
👩‍🦲;fefine: ʻulu tula;fefine|fefine: ʻulu tula|ʻulu tula
	👩🏻‍🦲;fefine: kili hinehina mo e ʻulu tula;fefine|fefine: kili hinehina mo e ʻulu tula|ʻulu tula|kili hinehina
	👩🏼‍🦲;fefine: kili kelokelo mo e ʻulu tula;fefine|fefine: kili kelokelo mo e ʻulu tula|ʻulu tula|kili kelokelo
	👩🏽‍🦲;fefine: kili melomelo mo e ʻulu tula;fefine|fefine: kili melomelo mo e ʻulu tula|ʻulu tula|kili melomelo
	👩🏾‍🦲;fefine: kili melomelo-ʻuliʻuli mo e ʻulu tula;fefine|fefine: kili melomelo-ʻuliʻuli mo e ʻulu tula|ʻulu tula|kili melomelo-ʻuliʻuli
	👩🏿‍🦲;fefine: kili ʻuliʻuli mo e ʻulu tula;fefine|fefine: kili ʻuliʻuli mo e ʻulu tula|ʻulu tula|kili ʻuliʻuli
🧑‍🦲;kakai lalahi: ʻulu tula;ʻulu tula|kakai lalahi|kakai lalahi: ʻulu tula
	🧑🏻‍🦲;kakai lalahi: kili hinehina mo e ʻulu tula;ʻulu tula|kakai lalahi|kakai lalahi: kili hinehina mo e ʻulu tula|kili hinehina
	🧑🏼‍🦲;kakai lalahi: kili kelokelo mo e ʻulu tula;ʻulu tula|kakai lalahi|kakai lalahi: kili kelokelo mo e ʻulu tula|kili kelokelo
	🧑🏽‍🦲;kakai lalahi: kili melomelo mo e ʻulu tula;ʻulu tula|kakai lalahi|kakai lalahi: kili melomelo mo e ʻulu tula|kili melomelo
	🧑🏾‍🦲;kakai lalahi: kili melomelo-ʻuliʻuli mo e ʻulu tula;ʻulu tula|kakai lalahi|kakai lalahi: kili melomelo-ʻuliʻuli mo e ʻulu tula|kili melomelo-ʻuliʻuli
	🧑🏿‍🦲;kakai lalahi: kili ʻuliʻuli mo e ʻulu tula;ʻulu tula|kakai lalahi|kakai lalahi: kili ʻuliʻuli mo e ʻulu tula|kili ʻuliʻuli
👱‍♀️;fefine ʻulu kelo;fefine ʻulu kelo
	👱🏻‍♀️;fefine ʻulu kelo: kili hinehina;fefine ʻulu kelo|fefine ʻulu kelo: kili hinehina|kili hinehina
	👱🏼‍♀️;fefine ʻulu kelo: kili kelokelo;fefine ʻulu kelo|fefine ʻulu kelo: kili kelokelo|kili kelokelo
	👱🏽‍♀️;fefine ʻulu kelo: kili melomelo;fefine ʻulu kelo|fefine ʻulu kelo: kili melomelo|kili melomelo
	👱🏾‍♀️;fefine ʻulu kelo: kili melomelo-ʻuliʻuli;fefine ʻulu kelo|fefine ʻulu kelo: kili melomelo-ʻuliʻuli|kili melomelo-ʻuliʻuli
	👱🏿‍♀️;fefine ʻulu kelo: kili ʻuliʻuli;fefine ʻulu kelo|fefine ʻulu kelo: kili ʻuliʻuli|kili ʻuliʻuli
👱‍♂️;tangata ʻulu kelo;tangata ʻulu kelo
	👱🏻‍♂️;tangata ʻulu kelo: kili hinehina;kili hinehina|tangata ʻulu kelo|tangata ʻulu kelo: kili hinehina
	👱🏼‍♂️;tangata ʻulu kelo: kili kelokelo;kili kelokelo|tangata ʻulu kelo|tangata ʻulu kelo: kili kelokelo
	👱🏽‍♂️;tangata ʻulu kelo: kili melomelo;kili melomelo|tangata ʻulu kelo|tangata ʻulu kelo: kili melomelo
	👱🏾‍♂️;tangata ʻulu kelo: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata ʻulu kelo|tangata ʻulu kelo: kili melomelo-ʻuliʻuli
	👱🏿‍♂️;tangata ʻulu kelo: kili ʻuliʻuli;kili ʻuliʻuli|tangata ʻulu kelo|tangata ʻulu kelo: kili ʻuliʻuli
🧓;tokotaha motuʻa;motuʻa|tokotaha motuʻa
	🧓🏻;tokotaha motuʻa: kili hinehina;kili hinehina|motuʻa|tokotaha motuʻa|tokotaha motuʻa: kili hinehina
	🧓🏼;tokotaha motuʻa: kili kelokelo;kili kelokelo|motuʻa|tokotaha motuʻa|tokotaha motuʻa: kili kelokelo
	🧓🏽;tokotaha motuʻa: kili melomelo;kili melomelo|motuʻa|tokotaha motuʻa|tokotaha motuʻa: kili melomelo
	🧓🏾;tokotaha motuʻa: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|motuʻa|tokotaha motuʻa|tokotaha motuʻa: kili melomelo-ʻuliʻuli
	🧓🏿;tokotaha motuʻa: kili ʻuliʻuli;kili ʻuliʻuli|motuʻa|tokotaha motuʻa|tokotaha motuʻa: kili ʻuliʻuli
👴;motuʻa;motuʻa|tangata
	👴🏻;motuʻa: kili hinehina;kili hinehina|motuʻa|motuʻa: kili hinehina|tangata
	👴🏼;motuʻa: kili kelokelo;kili kelokelo|motuʻa|motuʻa: kili kelokelo|tangata
	👴🏽;motuʻa: kili melomelo;kili melomelo|motuʻa|motuʻa: kili melomelo|tangata
	👴🏾;motuʻa: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|motuʻa|motuʻa: kili melomelo-ʻuliʻuli|tangata
	👴🏿;motuʻa: kili ʻuliʻuli;kili ʻuliʻuli|motuʻa|motuʻa: kili ʻuliʻuli|tangata
👵;finemotuʻa;fefine|finemotuʻa|motuʻa
	👵🏻;finemotuʻa: kili hinehina;fefine|finemotuʻa|finemotuʻa: kili hinehina|kili hinehina|motuʻa
	👵🏼;finemotuʻa: kili kelokelo;fefine|finemotuʻa|finemotuʻa: kili kelokelo|kili kelokelo|motuʻa
	👵🏽;finemotuʻa: kili melomelo;fefine|finemotuʻa|finemotuʻa: kili melomelo|kili melomelo|motuʻa
	👵🏾;finemotuʻa: kili melomelo-ʻuliʻuli;fefine|finemotuʻa|finemotuʻa: kili melomelo-ʻuliʻuli|kili melomelo-ʻuliʻuli|motuʻa
	👵🏿;finemotuʻa: kili ʻuliʻuli;fefine|finemotuʻa|finemotuʻa: kili ʻuliʻuli|kili ʻuliʻuli|motuʻa
🙍;tokotaha matamamahi;matamamahi|tokotaha matamamahi
	🙍🏻;tokotaha matamamahi: kili hinehina;kili hinehina|matamamahi|tokotaha matamamahi|tokotaha matamamahi: kili hinehina
	🙍🏼;tokotaha matamamahi: kili kelokelo;kili kelokelo|matamamahi|tokotaha matamamahi|tokotaha matamamahi: kili kelokelo
	🙍🏽;tokotaha matamamahi: kili melomelo;kili melomelo|matamamahi|tokotaha matamamahi|tokotaha matamamahi: kili melomelo
	🙍🏾;tokotaha matamamahi: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|matamamahi|tokotaha matamamahi|tokotaha matamamahi: kili melomelo-ʻuliʻuli
	🙍🏿;tokotaha matamamahi: kili ʻuliʻuli;kili ʻuliʻuli|matamamahi|tokotaha matamamahi|tokotaha matamamahi: kili ʻuliʻuli
🙍‍♂️;tangata matamamahi;tangata matamamahi
	🙍🏻‍♂️;tangata matamamahi: kili hinehina;kili hinehina|tangata matamamahi|tangata matamamahi: kili hinehina
	🙍🏼‍♂️;tangata matamamahi: kili kelokelo;kili kelokelo|tangata matamamahi|tangata matamamahi: kili kelokelo
	🙍🏽‍♂️;tangata matamamahi: kili melomelo;kili melomelo|tangata matamamahi|tangata matamamahi: kili melomelo
	🙍🏾‍♂️;tangata matamamahi: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata matamamahi|tangata matamamahi: kili melomelo-ʻuliʻuli
	🙍🏿‍♂️;tangata matamamahi: kili ʻuliʻuli;kili ʻuliʻuli|tangata matamamahi|tangata matamamahi: kili ʻuliʻuli
🙍‍♀️;fefine matamamahi;fefine matamamahi
	🙍🏻‍♀️;fefine matamamahi: kili hinehina;fefine matamamahi|fefine matamamahi: kili hinehina|kili hinehina
	🙍🏼‍♀️;fefine matamamahi: kili kelokelo;fefine matamamahi|fefine matamamahi: kili kelokelo|kili kelokelo
	🙍🏽‍♀️;fefine matamamahi: kili melomelo;fefine matamamahi|fefine matamamahi: kili melomelo|kili melomelo
	🙍🏾‍♀️;fefine matamamahi: kili melomelo-ʻuliʻuli;fefine matamamahi|fefine matamamahi: kili melomelo-ʻuliʻuli|kili melomelo-ʻuliʻuli
	🙍🏿‍♀️;fefine matamamahi: kili ʻuliʻuli;fefine matamamahi|fefine matamamahi: kili ʻuliʻuli|kili ʻuliʻuli
🙎;tokotaha mataʻita;mataʻita|tokotaha mataʻita
	🙎🏻;tokotaha mataʻita: kili hinehina;kili hinehina|mataʻita|tokotaha mataʻita|tokotaha mataʻita: kili hinehina
	🙎🏼;tokotaha mataʻita: kili kelokelo;kili kelokelo|mataʻita|tokotaha mataʻita|tokotaha mataʻita: kili kelokelo
	🙎🏽;tokotaha mataʻita: kili melomelo;kili melomelo|mataʻita|tokotaha mataʻita|tokotaha mataʻita: kili melomelo
	🙎🏾;tokotaha mataʻita: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|mataʻita|tokotaha mataʻita|tokotaha mataʻita: kili melomelo-ʻuliʻuli
	🙎🏿;tokotaha mataʻita: kili ʻuliʻuli;kili ʻuliʻuli|mataʻita|tokotaha mataʻita|tokotaha mataʻita: kili ʻuliʻuli
🙎‍♂️;tangata mataʻita;tangata mataʻita
	🙎🏻‍♂️;tangata mataʻita: kili hinehina;kili hinehina|tangata mataʻita|tangata mataʻita: kili hinehina
	🙎🏼‍♂️;tangata mataʻita: kili kelokelo;kili kelokelo|tangata mataʻita|tangata mataʻita: kili kelokelo
	🙎🏽‍♂️;tangata mataʻita: kili melomelo;kili melomelo|tangata mataʻita|tangata mataʻita: kili melomelo
	🙎🏾‍♂️;tangata mataʻita: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata mataʻita|tangata mataʻita: kili melomelo-ʻuliʻuli
	🙎🏿‍♂️;tangata mataʻita: kili ʻuliʻuli;kili ʻuliʻuli|tangata mataʻita|tangata mataʻita: kili ʻuliʻuli
🙎‍♀️;fefine mataʻita;fefine mataʻita
	🙎🏻‍♀️;fefine mataʻita: kili hinehina;fefine mataʻita|fefine mataʻita: kili hinehina|kili hinehina
	🙎🏼‍♀️;fefine mataʻita: kili kelokelo;fefine mataʻita|fefine mataʻita: kili kelokelo|kili kelokelo
	🙎🏽‍♀️;fefine mataʻita: kili melomelo;fefine mataʻita|fefine mataʻita: kili melomelo|kili melomelo
