[smileys_emotion]
😀;grijnzend gezicht;gezicht|grijns|grijnzend gezicht
😎;lachend gezicht met zonnebril;cool|gezicht|lachend gezicht met zonnebril|zon|zonnebril|zonnig
🤓;nerdgezicht;geek|gezicht|nerd|nerderig|nerdgezicht
🧐;gezicht met monocle;gezicht met monocle|saai
😕;verward gezicht;gezicht|verward
🫤;gezicht met schuine mond;gezicht met schuine mond|meh|onzeker|sceptisch|teleurgesteld
😟;bezorgd gezicht;bezorgd|gezicht
🙁;licht fronsend gezicht;frons|fronsend|gezicht|licht fronsend gezicht
☹️;fronsend gezicht;frons|fronsend|gezicht
😮;gezicht met open mond;gezicht|gezicht met open mond|mond|open|sympathie
😯;verstomd gezicht;gezicht|verbaasd|verrast|verstomd
😲;verbaasd gezicht;gechoqueerd|geschokt|gezicht|totaal gechoqueerd|verbaasd gezicht
😳;blozend gezicht;blozend|gezicht|verbijsterd
🥺;smekend gezicht;genade|smeken|smekend gezicht|zielig gezicht
🥹;gezicht dat tranen tegenhoudt;boos|gezicht dat tranen tegenhoudt|huilen|trots|verdrietig|verzetten
😦;fronsend gezicht met open mond;frons|fronsend gezicht met open mond|gezicht|mond|open
😧;gekweld gezicht;gekweld gezicht|gezicht|lijdend
😨;bang gezicht;angst|angstig|bang|gezicht
😰;angstig gezicht met zweetdruppel;angstig gezicht met zweetdruppel|blauw|gehaast|gezicht|koud|zweet
😥;teleurgesteld maar opgelucht gezicht;gezicht|oef|opgelucht|teleurgesteld|teleurgesteld maar opgelucht gezicht
😢;huilend gezicht;bedroefd|gezicht|huilen|huilend gezicht|traan
😭;hard huilend gezicht;bedroefd|gezicht|hard huilend gezicht|huilen|snikken|traan
😱;angstig schreeuwend gezicht;angst|angstig|angstig schreeuwend gezicht|bang|gezicht|munch|schreeuw
😖;onthutst gezicht;gezicht|onthutst
😣;volhardend gezicht;gezicht|volhardend
😞;teleurgesteld gezicht;gezicht|teleurgesteld gezicht|teleurstelling
😓;neerslachtig gezicht met zweetdruppel;gezicht|koud|neerslachtig gezicht met zweetdruppel|zweet
😩;moe gezicht;gezicht|moe|vermoeid
😫;vermoeid gezicht;gezicht|moe|vermoeid
🥱;gapend gezicht;gaap|gapend gezicht|vermoeid|verveeld
😤;gezicht blazend van woede;gewonnen|gezicht|gezicht blazend van woede|triomf
😡;pruilend gezicht;boos|gezicht|kwaad|pruilend|rood|woede
😠;boos gezicht;boos|gezicht|kwaad
🤬;gezicht met symbolen op mond;gezicht met symbolen op mond|vloeken
😈;lachend gezicht met hoorns;fantasie|gezicht|glimlach|hoorns|lach|lachend gezicht met hoorns|sprookje
👿;boos gezicht met hoorns;boos gezicht met hoorns|demon|duivel|fantasie|gezicht|kleine duivel|sprookje
💀;schedel;dood|gezicht|monster|schedel|sprookje
☠️;doodshoofd met gekruiste beenderen;dood|doodshoofd|doodshoofd met gekruiste beenderen|gekruiste beenderen|gezicht|monster
💩;drol;drol|grappig|monster
🤡;clownsgezicht;clown|clownsgezicht|gezicht
👹;boeman;boeman|fantasie|gezicht|monster|sprookje|wezen
👺;kobold;fantasie|gezicht|kobold|monster|sprookje|wezen
👻;spook;fantasie|gezicht|monster|spook|sprookje|wezen
👽;buitenaards wezen;buitenaards|fantasie|gezicht|monster|sprookje|ufo|wezen
👾;buitenaards monster;alien|buitenaards|gezicht|monster|ufo|wezen
🤖;robot;gezicht|monster|robot
😺;grijnzende kat;gezicht|grijnzen|grijnzende kat|kat|lach|mond|open
😸;grijnzende kat met lachende ogen;gezicht|grijns|grijnzende kat met lachende ogen|kat|lach|oog
😹;kat met tranen van vreugde;gezicht|kat|kat met tranen van vreugde|traan|vreugde
😻;lachende kat met hartvormige ogen;gezicht|hart|kat|lach|lachende kat met hartvormige ogen|liefde|oog
😼;gniffelende kat;gezicht|gniffelende kat|ironisch|kat|lach|spottend
😽;kussende kat;gezicht|kat|kus|kussende kat|oog
🙀;vermoeide kat;gezicht|kat|oh nee|vermoeid|vermoeide kat|verrast
😿;huilende kat;gezicht|huilen|huilende kat|kat|traan|verdrietig
😾;pruilende kat;gezicht|kat|pruilen|pruilende kat
🙈;geen kwaad zien;aap|geen kwaad zien|gezicht|kwaad|verboden|zie
🙉;geen kwaad horen;aap|geen kwaad horen|gezicht|horen|kwaad|verboden
🙊;geen kwaad spreken;aap|geen kwaad spreken|gezicht|kwaad|spreken|verboden
💌;liefdesbrief;brief|hart|liefde|liefdesbrief|post
💘;hart met pijl;cupido|hart met pijl|pijl
💝;hart met strik;hart met strik|strik|valentijn
💖;fonkelend hart;fonkelend|fonkelend hart|spannend
💗;groeiend hart;groeiend|groeiend hart|hartslag|nerveus|spannend
💓;kloppend hart;hartslag|kloppen|kloppend hart|slaan
💞;ronddraaiende harten;draaien|hart|ronddraaiende harten
💕;twee harten;liefde|twee harten
💟;decoratief hart;decoratief hart|hart
❣️;hart als uitroepteken;hart als uitroepteken|interpunctie|teken|uitroep
💔;gebroken hart;breken|gebroken|gebroken hart
❤️‍🔥;hart in vuur en vlam;branden|hart|hart in vuur en vlam|heilig hart|liefde|lust
❤️‍🩹;helend hart;gezond|gezonder|helend|helend hart|herstellen|herstellend|verbeterend
❤️;rood hart;hart|rood hart
🩷;roze hart;hart|leuk|liefde|roze|schattig
🧡;oranje hart;oranje|oranje hart
💛;geel hart;geel|geel hart
💚;groen hart;groen|groen hart
💙;blauw hart;blauw|blauw hart
🩵;lichtblauw hart;blauwgroen|groenblauw|hart|lichtblauw
💜;paars hart;paars|paars hart
🤎;bruin hart;bruin|hart
🖤;zwart hart;slecht|verdorven|zwart|zwart hart
🩶;grijs hart;grijs|hart|leigrijs|zilver
🤍;wit hart;hart|wit
💋;lipafdruk;kus|lipafdruk|lippen
💯;maximumscore;100|100 punten|maximumscore|score
💢;woedesymbool;boos|kwaad|strip|woedesymbool
💥;botsing;boem|botsing|strip
💫;duizelig;duizelig|ster|strip
💦;zweetdruppels;druppels|strip|zweet|zweetdruppels
💨;wegrennen;rennen|strip|wegrennen
🕳️;gat;gat
💬;spraakballon;ballon|dialoog|spraak|spraakballon|strip|tekstballon
👁️‍🗨️;spraakballon met oog;ballon|getuige|oog|oog in tekstballon|spraak|spraakballon|spraakballon met oog
🗨️;spraakballon naar links;dialoog|spraak|spraakballon naar links
🗯️;boze spraakballon naar rechts;ballon|boze spraakballon naar rechts|kwaad|woede|woedeballon
💭;gedachteballon;ballon|denkwolkje|gedachteballon|gedachten|strip
💤;slaapsymbool;slaapsymbool|slapen|strip

[people_body]
👋;zwaaiende hand;hand|zwaai|zwaaien|zwaaiende hand
	👋🏻;zwaaiende hand: lichte huidskleur;hand|lichte huidskleur|zwaai|zwaaien|zwaaiende hand|zwaaiende hand: lichte huidskleur
	👋🏼;zwaaiende hand: lichtgetinte huidskleur;hand|lichtgetinte huidskleur|zwaai|zwaaien|zwaaiende hand|zwaaiende hand: lichtgetinte huidskleur
	👋🏽;zwaaiende hand: getinte huidskleur;getinte huidskleur|hand|zwaai|zwaaien|zwaaiende hand|zwaaiende hand: getinte huidskleur
	👋🏾;zwaaiende hand: donkergetinte huidskleur;donkergetinte huidskleur|hand|zwaai|zwaaien|zwaaiende hand|zwaaiende hand: donkergetinte huidskleur
	👋🏿;zwaaiende hand: donkere huidskleur;donkere huidskleur|hand|zwaai|zwaaien|zwaaiende hand|zwaaiende hand: donkere huidskleur
🤚;achterkant van opgeheven hand;achterkant van opgeheven hand|hand|handrug|opgestoken
	🤚🏻;achterkant van opgeheven hand: lichte huidskleur;achterkant van opgeheven hand|achterkant van opgeheven hand: lichte huidskleur|hand|handrug|lichte huidskleur|opgestoken
	🤚🏼;achterkant van opgeheven hand: lichtgetinte huidskleur;achterkant van opgeheven hand|achterkant van opgeheven hand: lichtgetinte huidskleur|hand|handrug|lichtgetinte huidskleur|opgestoken
	🤚🏽;achterkant van opgeheven hand: getinte huidskleur;achterkant van opgeheven hand|achterkant van opgeheven hand: getinte huidskleur|getinte huidskleur|hand|handrug|opgestoken
	🤚🏾;achterkant van opgeheven hand: donkergetinte huidskleur;achterkant van opgeheven hand|achterkant van opgeheven hand: donkergetinte huidskleur|donkergetinte huidskleur|hand|handrug|opgestoken
	🤚🏿;achterkant van opgeheven hand: donkere huidskleur;achterkant van opgeheven hand|achterkant van opgeheven hand: donkere huidskleur|donkere huidskleur|hand|handrug|opgestoken
🖐️;opgeheven hand met uitgestoken vingers;gespreid|hand|opgeheven hand met uitgestoken vingers|vinger
	🖐🏻;opgeheven hand met uitgestoken vingers: lichte huidskleur;gespreid|hand|lichte huidskleur|opgeheven hand met uitgestoken vingers|opgeheven hand met uitgestoken vingers: lichte huidskleur|vinger
	🖐🏼;opgeheven hand met uitgestoken vingers: lichtgetinte huidskleur;gespreid|hand|lichtgetinte huidskleur|opgeheven hand met uitgestoken vingers|opgeheven hand met uitgestoken vingers: lichtgetinte huidskleur|vinger
	🖐🏽;opgeheven hand met uitgestoken vingers: getinte huidskleur;gespreid|getinte huidskleur|hand|opgeheven hand met uitgestoken vingers|opgeheven hand met uitgestoken vingers: getinte huidskleur|vinger
	🖐🏾;opgeheven hand met uitgestoken vingers: donkergetinte huidskleur;donkergetinte huidskleur|gespreid|hand|opgeheven hand met uitgestoken vingers|opgeheven hand met uitgestoken vingers: donkergetinte huidskleur|vinger
	🖐🏿;opgeheven hand met uitgestoken vingers: donkere huidskleur;donkere huidskleur|gespreid|hand|opgeheven hand met uitgestoken vingers|opgeheven hand met uitgestoken vingers: donkere huidskleur|vinger
✋;opgeheven hand;hand|opgeheven hand
	✋🏻;opgeheven hand: lichte huidskleur;hand|lichte huidskleur|opgeheven hand|opgeheven hand: lichte huidskleur
	✋🏼;opgeheven hand: lichtgetinte huidskleur;hand|lichtgetinte huidskleur|opgeheven hand|opgeheven hand: lichtgetinte huidskleur
	✋🏽;opgeheven hand: getinte huidskleur;getinte huidskleur|hand|opgeheven hand|opgeheven hand: getinte huidskleur
	✋🏾;opgeheven hand: donkergetinte huidskleur;donkergetinte huidskleur|hand|opgeheven hand|opgeheven hand: donkergetinte huidskleur
	✋🏿;opgeheven hand: donkere huidskleur;donkere huidskleur|hand|opgeheven hand|opgeheven hand: donkere huidskleur
🖖;Vulcaanse groet;hand|spock|vinger|Vulcaanse groet|vulcan
	🖖🏻;Vulcaanse groet: lichte huidskleur;hand|lichte huidskleur|spock|vinger|Vulcaanse groet|Vulcaanse groet: lichte huidskleur|vulcan
	🖖🏼;Vulcaanse groet: lichtgetinte huidskleur;hand|lichtgetinte huidskleur|spock|vinger|Vulcaanse groet|Vulcaanse groet: lichtgetinte huidskleur|vulcan
	🖖🏽;Vulcaanse groet: getinte huidskleur;getinte huidskleur|hand|spock|vinger|Vulcaanse groet|Vulcaanse groet: getinte huidskleur|vulcan
	🖖🏾;Vulcaanse groet: donkergetinte huidskleur;donkergetinte huidskleur|hand|spock|vinger|Vulcaanse groet|Vulcaanse groet: donkergetinte huidskleur|vulcan
	🖖🏿;Vulcaanse groet: donkere huidskleur;donkere huidskleur|hand|spock|vinger|Vulcaanse groet|Vulcaanse groet: donkere huidskleur|vulcan
🫱;hand naar rechts;hand|hand naar rechts|naar rechts|rechts
	🫱🏻;hand naar rechts: lichte huidskleur;hand|hand naar rechts|hand naar rechts: lichte huidskleur|lichte huidskleur|naar rechts|rechts
	🫱🏼;hand naar rechts: lichtgetinte huidskleur;hand|hand naar rechts|hand naar rechts: lichtgetinte huidskleur|lichtgetinte huidskleur|naar rechts|rechts
	🫱🏽;hand naar rechts: getinte huidskleur;getinte huidskleur|hand|hand naar rechts|hand naar rechts: getinte huidskleur|naar rechts|rechts
	🫱🏾;hand naar rechts: donkergetinte huidskleur;donkergetinte huidskleur|hand|hand naar rechts|hand naar rechts: donkergetinte huidskleur|naar rechts|rechts
	🫱🏿;hand naar rechts: donkere huidskleur;donkere huidskleur|hand|hand naar rechts|hand naar rechts: donkere huidskleur|naar rechts|rechts
🫲;hand naar links;hand|hand naar links|links|naar links
	🫲🏻;hand naar links: lichte huidskleur;hand|hand naar links|hand naar links: lichte huidskleur|lichte huidskleur|links|naar links
	🫲🏼;hand naar links: lichtgetinte huidskleur;hand|hand naar links|hand naar links: lichtgetinte huidskleur|lichtgetinte huidskleur|links|naar links
