[smileys_emotion]
😀;grijnzend gezicht;gezicht|grijns|grijnzend gezicht
	👩🏿‍🍳;kokkin: donkere huidskleur;chef-kok|donkere huidskleur|kokkin|kokkin: donkere huidskleur|vrouw
🧑‍🔧;monteur;elektricien|handelsman|loodgieter|monteur
	🧑🏻‍🔧;monteur: lichte huidskleur;elektricien|handelsman|lichte huidskleur|loodgieter|monteur|monteur: lichte huidskleur
	🧑🏼‍🔧;monteur: lichtgetinte huidskleur;elektricien|handelsman|lichtgetinte huidskleur|loodgieter|monteur|monteur: lichtgetinte huidskleur
	🧑🏽‍🔧;monteur: getinte huidskleur;elektricien|getinte huidskleur|handelsman|loodgieter|monteur|monteur: getinte huidskleur
	🧑🏾‍🔧;monteur: donkergetinte huidskleur;donkergetinte huidskleur|elektricien|handelsman|loodgieter|monteur|monteur: donkergetinte huidskleur
	🧑🏿‍🔧;monteur: donkere huidskleur;donkere huidskleur|elektricien|handelsman|loodgieter|monteur|monteur: donkere huidskleur
👨‍🔧;mannelijke monteur;elektricien|handelsman|loodgieter|man|mannelijke monteur|monteur
	👨🏻‍🔧;mannelijke monteur: lichte huidskleur;elektricien|handelsman|lichte huidskleur|loodgieter|man|mannelijke monteur|mannelijke monteur: lichte huidskleur|monteur
	👨🏼‍🔧;mannelijke monteur: lichtgetinte huidskleur;elektricien|handelsman|lichtgetinte huidskleur|loodgieter|man|mannelijke monteur|mannelijke monteur: lichtgetinte huidskleur|monteur
	👨🏽‍🔧;mannelijke monteur: getinte huidskleur;elektricien|getinte huidskleur|handelsman|loodgieter|man|mannelijke monteur|mannelijke monteur: getinte huidskleur|monteur
	👨🏾‍🔧;mannelijke monteur: donkergetinte huidskleur;donkergetinte huidskleur|elektricien|handelsman|loodgieter|man|mannelijke monteur|mannelijke monteur: donkergetinte huidskleur|monteur
	👨🏿‍🔧;mannelijke monteur: donkere huidskleur;donkere huidskleur|elektricien|handelsman|loodgieter|man|mannelijke monteur|mannelijke monteur: donkere huidskleur|monteur
👩‍🔧;monteuse;elektricien|handelsvrouw|loodgieter|monteuse|vrouw
	👩🏻‍🔧;monteuse: lichte huidskleur;elektricien|handelsvrouw|lichte huidskleur|loodgieter|monteuse|monteuse: lichte huidskleur|vrouw
	👩🏼‍🔧;monteuse: lichtgetinte huidskleur;elektricien|handelsvrouw|lichtgetinte huidskleur|loodgieter|monteuse|monteuse: lichtgetinte huidskleur|vrouw
	👩🏽‍🔧;monteuse: getinte huidskleur;elektricien|getinte huidskleur|handelsvrouw|loodgieter|monteuse|monteuse: getinte huidskleur|vrouw
	👩🏾‍🔧;monteuse: donkergetinte huidskleur;donkergetinte huidskleur|elektricien|handelsvrouw|loodgieter|monteuse|monteuse: donkergetinte huidskleur|vrouw
	👩🏿‍🔧;monteuse: donkere huidskleur;donkere huidskleur|elektricien|handelsvrouw|loodgieter|monteuse|monteuse: donkere huidskleur|vrouw
🧑‍🏭;fabrieksarbeider;arbeider|fabriek|fabrieksarbeider|industrieel|lopende band
	🧑🏻‍🏭;fabrieksarbeider: lichte huidskleur;arbeider|fabriek|fabrieksarbeider|fabrieksarbeider: lichte huidskleur|industrieel|lichte huidskleur|lopende band
	🧑🏼‍🏭;fabrieksarbeider: lichtgetinte huidskleur;arbeider|fabriek|fabrieksarbeider|fabrieksarbeider: lichtgetinte huidskleur|industrieel|lichtgetinte huidskleur|lopende band
	🧑🏽‍🏭;fabrieksarbeider: getinte huidskleur;arbeider|fabriek|fabrieksarbeider|fabrieksarbeider: getinte huidskleur|getinte huidskleur|industrieel|lopende band
	🧑🏾‍🏭;fabrieksarbeider: donkergetinte huidskleur;arbeider|donkergetinte huidskleur|fabriek|fabrieksarbeider|fabrieksarbeider: donkergetinte huidskleur|industrieel|lopende band
	🧑🏿‍🏭;fabrieksarbeider: donkere huidskleur;arbeider|donkere huidskleur|fabriek|fabrieksarbeider|fabrieksarbeider: donkere huidskleur|industrieel|lopende band
👨‍🏭;mannelijke fabrieksarbeider;arbeider|fabriek|industrieel|lopende band|man|mannelijke fabrieksarbeider
	👨🏻‍🏭;mannelijke fabrieksarbeider: lichte huidskleur;arbeider|fabriek|industrieel|lichte huidskleur|lopende band|man|mannelijke fabrieksarbeider|mannelijke fabrieksarbeider: lichte huidskleur
	👨🏼‍🏭;mannelijke fabrieksarbeider: lichtgetinte huidskleur;arbeider|fabriek|industrieel|lichtgetinte huidskleur|lopende band|man|mannelijke fabrieksarbeider|mannelijke fabrieksarbeider: lichtgetinte huidskleur
	👨🏽‍🏭;mannelijke fabrieksarbeider: getinte huidskleur;arbeider|fabriek|getinte huidskleur|industrieel|lopende band|man|mannelijke fabrieksarbeider|mannelijke fabrieksarbeider: getinte huidskleur
	👨🏾‍🏭;mannelijke fabrieksarbeider: donkergetinte huidskleur;arbeider|donkergetinte huidskleur|fabriek|industrieel|lopende band|man|mannelijke fabrieksarbeider|mannelijke fabrieksarbeider: donkergetinte huidskleur
	👨🏿‍🏭;mannelijke fabrieksarbeider: donkere huidskleur;arbeider|donkere huidskleur|fabriek|industrieel|lopende band|man|mannelijke fabrieksarbeider|mannelijke fabrieksarbeider: donkere huidskleur
👩‍🏭;fabrieksarbeidster;arbeidster|fabriek|fabrieksarbeidster|industrieel|lopende band|vrouw
	👩🏻‍🏭;fabrieksarbeidster: lichte huidskleur;arbeidster|fabriek|fabrieksarbeidster|fabrieksarbeidster: lichte huidskleur|industrieel|lichte huidskleur|lopende band|vrouw
	👩🏼‍🏭;fabrieksarbeidster: lichtgetinte huidskleur;arbeidster|fabriek|fabrieksarbeidster|fabrieksarbeidster: lichtgetinte huidskleur|industrieel|lichtgetinte huidskleur|lopende band|vrouw
	👩🏽‍🏭;fabrieksarbeidster: getinte huidskleur;arbeidster|fabriek|fabrieksarbeidster|fabrieksarbeidster: getinte huidskleur|getinte huidskleur|industrieel|lopende band|vrouw
	👩🏾‍🏭;fabrieksarbeidster: donkergetinte huidskleur;arbeidster|donkergetinte huidskleur|fabriek|fabrieksarbeidster|fabrieksarbeidster: donkergetinte huidskleur|industrieel|lopende band|vrouw
	👩🏿‍🏭;fabrieksarbeidster: donkere huidskleur;arbeidster|donkere huidskleur|fabriek|fabrieksarbeidster|fabrieksarbeidster: donkere huidskleur|industrieel|lopende band|vrouw
🧑‍💼;kantoormedewerker;architect|bedrijf|kantoormedewerker|manager
	🧑🏻‍💼;kantoormedewerker: lichte huidskleur;architect|bedrijf|kantoormedewerker|kantoormedewerker: lichte huidskleur|lichte huidskleur|manager
	🧑🏼‍💼;kantoormedewerker: lichtgetinte huidskleur;architect|bedrijf|kantoormedewerker|kantoormedewerker: lichtgetinte huidskleur|lichtgetinte huidskleur|manager
	🧑🏽‍💼;kantoormedewerker: getinte huidskleur;architect|bedrijf|getinte huidskleur|kantoormedewerker|kantoormedewerker: getinte huidskleur|manager
	🧑🏾‍💼;kantoormedewerker: donkergetinte huidskleur;architect|bedrijf|donkergetinte huidskleur|kantoormedewerker|kantoormedewerker: donkergetinte huidskleur|manager
	🧑🏿‍💼;kantoormedewerker: donkere huidskleur;architect|bedrijf|donkere huidskleur|kantoormedewerker|kantoormedewerker: donkere huidskleur|manager
👨‍💼;mannelijke kantoormedewerker;architect|bedrijf|kantoor|kantoormedewerker|man|manager|mannelijke kantoormedewerker
	👨🏻‍💼;mannelijke kantoormedewerker: lichte huidskleur;architect|bedrijf|kantoor|kantoormedewerker|lichte huidskleur|man|manager|mannelijke kantoormedewerker|mannelijke kantoormedewerker: lichte huidskleur
	👨🏼‍💼;mannelijke kantoormedewerker: lichtgetinte huidskleur;architect|bedrijf|kantoor|kantoormedewerker|lichtgetinte huidskleur|man|manager|mannelijke kantoormedewerker|mannelijke kantoormedewerker: lichtgetinte huidskleur
	👨🏽‍💼;mannelijke kantoormedewerker: getinte huidskleur;architect|bedrijf|getinte huidskleur|kantoor|kantoormedewerker|man|manager|mannelijke kantoormedewerker|mannelijke kantoormedewerker: getinte huidskleur
	👨🏾‍💼;mannelijke kantoormedewerker: donkergetinte huidskleur;architect|bedrijf|donkergetinte huidskleur|kantoor|kantoormedewerker|man|manager|mannelijke kantoormedewerker|mannelijke kantoormedewerker: donkergetinte huidskleur
	👨🏿‍💼;mannelijke kantoormedewerker: donkere huidskleur;architect|bedrijf|donkere huidskleur|kantoor|kantoormedewerker|man|manager|mannelijke kantoormedewerker|mannelijke kantoormedewerker: donkere huidskleur
👩‍💼;kantoormedewerkster;architecte|bedrijf|kantoor|kantoormedewerkster|manager|vrouw
	👩🏻‍💼;kantoormedewerkster: lichte huidskleur;architecte|bedrijf|kantoor|kantoormedewerkster|kantoormedewerkster: lichte huidskleur|lichte huidskleur|manager|vrouw
	👩🏼‍💼;kantoormedewerkster: lichtgetinte huidskleur;architecte|bedrijf|kantoor|kantoormedewerkster|kantoormedewerkster: lichtgetinte huidskleur|lichtgetinte huidskleur|manager|vrouw
	👩🏽‍💼;kantoormedewerkster: getinte huidskleur;architecte|bedrijf|getinte huidskleur|kantoor|kantoormedewerkster|kantoormedewerkster: getinte huidskleur|manager|vrouw
	👩🏾‍💼;kantoormedewerkster: donkergetinte huidskleur;architecte|bedrijf|donkergetinte huidskleur|kantoor|kantoormedewerkster|kantoormedewerkster: donkergetinte huidskleur|manager|vrouw
	👩🏿‍💼;kantoormedewerkster: donkere huidskleur;architecte|bedrijf|donkere huidskleur|kantoor|kantoormedewerkster|kantoormedewerkster: donkere huidskleur|manager|vrouw
🧑‍🔬;wetenschapper;bioloog|ingenieur|natuurkundige|scheikundige|wetenschapper
	🧑🏻‍🔬;wetenschapper: lichte huidskleur;bioloog|ingenieur|lichte huidskleur|natuurkundige|scheikundige|wetenschapper|wetenschapper: lichte huidskleur
	🧑🏼‍🔬;wetenschapper: lichtgetinte huidskleur;bioloog|ingenieur|lichtgetinte huidskleur|natuurkundige|scheikundige|wetenschapper|wetenschapper: lichtgetinte huidskleur
	🧑🏽‍🔬;wetenschapper: getinte huidskleur;bioloog|getinte huidskleur|ingenieur|natuurkundige|scheikundige|wetenschapper|wetenschapper: getinte huidskleur
	🧑🏾‍🔬;wetenschapper: donkergetinte huidskleur;bioloog|donkergetinte huidskleur|ingenieur|natuurkundige|scheikundige|wetenschapper|wetenschapper: donkergetinte huidskleur
	🧑🏿‍🔬;wetenschapper: donkere huidskleur;bioloog|donkere huidskleur|ingenieur|natuurkundige|scheikundige|wetenschapper|wetenschapper: donkere huidskleur
👨‍🔬;mannelijke wetenschapper;bioloog|ingenieur|man|mannelijke wetenschapper|natuurkundige|scheikundige|wetenschapper
	👨🏻‍🔬;mannelijke wetenschapper: lichte huidskleur;bioloog|ingenieur|lichte huidskleur|man|mannelijke wetenschapper|mannelijke wetenschapper: lichte huidskleur|natuurkundige|scheikundige|wetenschapper
	👨🏼‍🔬;mannelijke wetenschapper: lichtgetinte huidskleur;bioloog|ingenieur|lichtgetinte huidskleur|man|mannelijke wetenschapper|mannelijke wetenschapper: lichtgetinte huidskleur|natuurkundige|scheikundige|wetenschapper
	👨🏽‍🔬;mannelijke wetenschapper: getinte huidskleur;bioloog|getinte huidskleur|ingenieur|man|mannelijke wetenschapper|mannelijke wetenschapper: getinte huidskleur|natuurkundige|scheikundige|wetenschapper
	👨🏾‍🔬;mannelijke wetenschapper: donkergetinte huidskleur;bioloog|donkergetinte huidskleur|ingenieur|man|mannelijke wetenschapper|mannelijke wetenschapper: donkergetinte huidskleur|natuurkundige|scheikundige|wetenschapper
	👨🏿‍🔬;mannelijke wetenschapper: donkere huidskleur;bioloog|donkere huidskleur|ingenieur|man|mannelijke wetenschapper|mannelijke wetenschapper: donkere huidskleur|natuurkundige|scheikundige|wetenschapper
👩‍🔬;wetenschapster;biologe|ingenieur|natuurkundige|scheikundige|vrouw|wetenschapster
	👩🏻‍🔬;wetenschapster: lichte huidskleur;biologe|ingenieur|lichte huidskleur|natuurkundige|scheikundige|vrouw|wetenschapster|wetenschapster: lichte huidskleur
	👩🏼‍🔬;wetenschapster: lichtgetinte huidskleur;biologe|ingenieur|lichtgetinte huidskleur|natuurkundige|scheikundige|vrouw|wetenschapster|wetenschapster: lichtgetinte huidskleur
	👩🏽‍🔬;wetenschapster: getinte huidskleur;biologe|getinte huidskleur|ingenieur|natuurkundige|scheikundige|vrouw|wetenschapster|wetenschapster: getinte huidskleur
	👩🏾‍🔬;wetenschapster: donkergetinte huidskleur;biologe|donkergetinte huidskleur|ingenieur|natuurkundige|scheikundige|vrouw|wetenschapster|wetenschapster: donkergetinte huidskleur
	👩🏿‍🔬;wetenschapster: donkere huidskleur;biologe|donkere huidskleur|ingenieur|natuurkundige|scheikundige|vrouw|wetenschapster|wetenschapster: donkere huidskleur
🧑‍💻;technoloog;ontwikkelaar|programmeur|techneut|technoloog|uitvinder
	🧑🏻‍💻;technoloog: lichte huidskleur;lichte huidskleur|ontwikkelaar|programmeur|techneut|technoloog|technoloog: lichte huidskleur|uitvinder
	🧑🏼‍💻;technoloog: lichtgetinte huidskleur;lichtgetinte huidskleur|ontwikkelaar|programmeur|techneut|technoloog|technoloog: lichtgetinte huidskleur|uitvinder
	🧑🏽‍💻;technoloog: getinte huidskleur;getinte huidskleur|ontwikkelaar|programmeur|techneut|technoloog|technoloog: getinte huidskleur|uitvinder
	🧑🏾‍💻;technoloog: donkergetinte huidskleur;donkergetinte huidskleur|ontwikkelaar|programmeur|techneut|technoloog|technoloog: donkergetinte huidskleur|uitvinder
	🧑🏿‍💻;technoloog: donkere huidskleur;donkere huidskleur|ontwikkelaar|programmeur|techneut|technoloog|technoloog: donkere huidskleur|uitvinder
👨‍💻;mannelijke technoloog;man|mannelijke technoloog|ontwikkelaar|programmeur|techneut|technoloog
	👨🏻‍💻;mannelijke technoloog: lichte huidskleur;lichte huidskleur|man|mannelijke technoloog|mannelijke technoloog: lichte huidskleur|ontwikkelaar|programmeur|techneut|technoloog
	👨🏼‍💻;mannelijke technoloog: lichtgetinte huidskleur;lichtgetinte huidskleur|man|mannelijke technoloog|mannelijke technoloog: lichtgetinte huidskleur|ontwikkelaar|programmeur|techneut|technoloog
	👨🏽‍💻;mannelijke technoloog: getinte huidskleur;getinte huidskleur|man|mannelijke technoloog|mannelijke technoloog: getinte huidskleur|ontwikkelaar|programmeur|techneut|technoloog
	👨🏾‍💻;mannelijke technoloog: donkergetinte huidskleur;donkergetinte huidskleur|man|mannelijke technoloog|mannelijke technoloog: donkergetinte huidskleur|ontwikkelaar|programmeur|techneut|technoloog
	👨🏿‍💻;mannelijke technoloog: donkere huidskleur;donkere huidskleur|man|mannelijke technoloog|mannelijke technoloog: donkere huidskleur|ontwikkelaar|programmeur|techneut|technoloog
👩‍💻;technologe;ontwikkelaar|programmeur|techneut|technologe|vrouw
	👩🏻‍💻;technologe: lichte huidskleur;lichte huidskleur|ontwikkelaar|programmeur|techneut|technologe|technologe: lichte huidskleur|vrouw
	👩🏼‍💻;technologe: lichtgetinte huidskleur;lichtgetinte huidskleur|ontwikkelaar|programmeur|techneut|technologe|technologe: lichtgetinte huidskleur|vrouw
	👩🏽‍💻;technologe: getinte huidskleur;getinte huidskleur|ontwikkelaar|programmeur|techneut|technologe|technologe: getinte huidskleur|vrouw
	👩🏾‍💻;technologe: donkergetinte huidskleur;donkergetinte huidskleur|ontwikkelaar|programmeur|techneut|technologe|technologe: donkergetinte huidskleur|vrouw
	👩🏿‍💻;technologe: donkere huidskleur;donkere huidskleur|ontwikkelaar|programmeur|techneut|technologe|technologe: donkere huidskleur|vrouw
🧑‍🎤;zanger;acteur|entertainer|rock|ster|zanger
	🧑🏻‍🎤;zanger: lichte huidskleur;acteur|entertainer|lichte huidskleur|rock|ster|zanger|zanger: lichte huidskleur
	🧑🏼‍🎤;zanger: lichtgetinte huidskleur;acteur|entertainer|lichtgetinte huidskleur|rock|ster|zanger|zanger: lichtgetinte huidskleur
	🧑🏽‍🎤;zanger: getinte huidskleur;acteur|entertainer|getinte huidskleur|rock|ster|zanger|zanger: getinte huidskleur
	🧑🏾‍🎤;zanger: donkergetinte huidskleur;acteur|donkergetinte huidskleur|entertainer|rock|ster|zanger|zanger: donkergetinte huidskleur
	🧑🏿‍🎤;zanger: donkere huidskleur;acteur|donkere huidskleur|entertainer|rock|ster|zanger|zanger: donkere huidskleur
👨‍🎤;mannelijke zanger;acteur|entertainer|man|mannelijke zanger|rock|ster|zanger
	👨🏻‍🎤;mannelijke zanger: lichte huidskleur;acteur|entertainer|lichte huidskleur|man|mannelijke zanger|mannelijke zanger: lichte huidskleur|rock|ster|zanger
	👨🏼‍🎤;mannelijke zanger: lichtgetinte huidskleur;acteur|entertainer|lichtgetinte huidskleur|man|mannelijke zanger|mannelijke zanger: lichtgetinte huidskleur|rock|ster|zanger
	👨🏽‍🎤;mannelijke zanger: getinte huidskleur;acteur|entertainer|getinte huidskleur|man|mannelijke zanger|mannelijke zanger: getinte huidskleur|rock|ster|zanger
	👨🏾‍🎤;mannelijke zanger: donkergetinte huidskleur;acteur|donkergetinte huidskleur|entertainer|man|mannelijke zanger|mannelijke zanger: donkergetinte huidskleur|rock|ster|zanger
	👨🏿‍🎤;mannelijke zanger: donkere huidskleur;acteur|donkere huidskleur|entertainer|man|mannelijke zanger|mannelijke zanger: donkere huidskleur|rock|ster|zanger
👩‍🎤;zangeres;actrice|entertainer|rock|ster|vrouw|zangeres
	👩🏻‍🎤;zangeres: lichte huidskleur;actrice|entertainer|lichte huidskleur|rock|ster|vrouw|zangeres|zangeres: lichte huidskleur
	👩🏼‍🎤;zangeres: lichtgetinte huidskleur;actrice|entertainer|lichtgetinte huidskleur|rock|ster|vrouw|zangeres|zangeres: lichtgetinte huidskleur
	👩🏽‍🎤;zangeres: getinte huidskleur;actrice|entertainer|getinte huidskleur|rock|ster|vrouw|zangeres|zangeres: getinte huidskleur
	👩🏾‍🎤;zangeres: donkergetinte huidskleur;actrice|donkergetinte huidskleur|entertainer|rock|ster|vrouw|zangeres|zangeres: donkergetinte huidskleur
	👩🏿‍🎤;zangeres: donkere huidskleur;actrice|donkere huidskleur|entertainer|rock|ster|vrouw|zangeres|zangeres: donkere huidskleur
🧑‍🎨;kunstenaar;kunstenaar|palet
	🧑🏻‍🎨;kunstenaar: lichte huidskleur;kunstenaar|kunstenaar: lichte huidskleur|lichte huidskleur|palet
	🧑🏼‍🎨;kunstenaar: lichtgetinte huidskleur;kunstenaar|kunstenaar: lichtgetinte huidskleur|lichtgetinte huidskleur|palet
	🧑🏽‍🎨;kunstenaar: getinte huidskleur;getinte huidskleur|kunstenaar|kunstenaar: getinte huidskleur|palet
	🧑🏾‍🎨;kunstenaar: donkergetinte huidskleur;donkergetinte huidskleur|kunstenaar|kunstenaar: donkergetinte huidskleur|palet
	🧑🏿‍🎨;kunstenaar: donkere huidskleur;donkere huidskleur|kunstenaar|kunstenaar: donkere huidskleur|palet
👨‍🎨;mannelijke kunstenaar;kunstenaar|man|mannelijke kunstenaar|palet
	👨🏻‍🎨;mannelijke kunstenaar: lichte huidskleur;kunstenaar|lichte huidskleur|man|mannelijke kunstenaar|mannelijke kunstenaar: lichte huidskleur|palet
	👨🏼‍🎨;mannelijke kunstenaar: lichtgetinte huidskleur;kunstenaar|lichtgetinte huidskleur|man|mannelijke kunstenaar|mannelijke kunstenaar: lichtgetinte huidskleur|palet
	👨🏽‍🎨;mannelijke kunstenaar: getinte huidskleur;getinte huidskleur|kunstenaar|man|mannelijke kunstenaar|mannelijke kunstenaar: getinte huidskleur|palet
	👨🏾‍🎨;mannelijke kunstenaar: donkergetinte huidskleur;donkergetinte huidskleur|kunstenaar|man|mannelijke kunstenaar|mannelijke kunstenaar: donkergetinte huidskleur|palet
	👨🏿‍🎨;mannelijke kunstenaar: donkere huidskleur;donkere huidskleur|kunstenaar|man|mannelijke kunstenaar|mannelijke kunstenaar: donkere huidskleur|palet
👩‍🎨;kunstenares;kunstenares|palet|vrouw
	👩🏻‍🎨;kunstenares: lichte huidskleur;kunstenares|kunstenares: lichte huidskleur|lichte huidskleur|palet|vrouw
	👩🏼‍🎨;kunstenares: lichtgetinte huidskleur;kunstenares|kunstenares: lichtgetinte huidskleur|lichtgetinte huidskleur|palet|vrouw
	👩🏽‍🎨;kunstenares: getinte huidskleur;getinte huidskleur|kunstenares|kunstenares: getinte huidskleur|palet|vrouw
	👩🏾‍🎨;kunstenares: donkergetinte huidskleur;donkergetinte huidskleur|kunstenares|kunstenares: donkergetinte huidskleur|palet|vrouw
	👩🏿‍🎨;kunstenares: donkere huidskleur;donkere huidskleur|kunstenares|kunstenares: donkere huidskleur|palet|vrouw
🧑‍✈️;piloot;piloot|vliegtuig
	🧑🏻‍✈️;piloot: lichte huidskleur;lichte huidskleur|piloot|piloot: lichte huidskleur|vliegtuig
	🧑🏼‍✈️;piloot: lichtgetinte huidskleur;lichtgetinte huidskleur|piloot|piloot: lichtgetinte huidskleur|vliegtuig
	🧑🏽‍✈️;piloot: getinte huidskleur;getinte huidskleur|piloot|piloot: getinte huidskleur|vliegtuig
	🧑🏾‍✈️;piloot: donkergetinte huidskleur;donkergetinte huidskleur|piloot|piloot: donkergetinte huidskleur|vliegtuig
	🧑🏿‍✈️;piloot: donkere huidskleur;donkere huidskleur|piloot|piloot: donkere huidskleur|vliegtuig
👨‍✈️;mannelijke piloot;man|mannelijke piloot|piloot|vliegtuig
	👨🏻‍✈️;mannelijke piloot: lichte huidskleur;lichte huidskleur|man|mannelijke piloot|mannelijke piloot: lichte huidskleur|piloot|vliegtuig
	👨🏼‍✈️;mannelijke piloot: lichtgetinte huidskleur;lichtgetinte huidskleur|man|mannelijke piloot|mannelijke piloot: lichtgetinte huidskleur|piloot|vliegtuig
	👨🏽‍✈️;mannelijke piloot: getinte huidskleur;getinte huidskleur|man|mannelijke piloot|mannelijke piloot: getinte huidskleur|piloot|vliegtuig
	👨🏾‍✈️;mannelijke piloot: donkergetinte huidskleur;donkergetinte huidskleur|man|mannelijke piloot|mannelijke piloot: donkergetinte huidskleur|piloot|vliegtuig
	👨🏿‍✈️;mannelijke piloot: donkere huidskleur;donkere huidskleur|man|mannelijke piloot|mannelijke piloot: donkere huidskleur|piloot|vliegtuig
👩‍✈️;pilote;pilote|vliegtuig|vrouw
	👩🏻‍✈️;pilote: lichte huidskleur;lichte huidskleur|pilote|pilote: lichte huidskleur|vliegtuig|vrouw
	👩🏼‍✈️;pilote: lichtgetinte huidskleur;lichtgetinte huidskleur|pilote|pilote: lichtgetinte huidskleur|vliegtuig|vrouw
	👩🏽‍✈️;pilote: getinte huidskleur;getinte huidskleur|pilote|pilote: getinte huidskleur|vliegtuig|vrouw
	👩🏾‍✈️;pilote: donkergetinte huidskleur;donkergetinte huidskleur|pilote|pilote: donkergetinte huidskleur|vliegtuig|vrouw
	👩🏿‍✈️;pilote: donkere huidskleur;donkere huidskleur|pilote|pilote: donkere huidskleur|vliegtuig|vrouw
🧑‍🚀;astronaut;astronaut|raket
	🧑🏻‍🚀;astronaut: lichte huidskleur;astronaut|astronaut: lichte huidskleur|lichte huidskleur|raket
	🧑🏼‍🚀;astronaut: lichtgetinte huidskleur;astronaut|astronaut: lichtgetinte huidskleur|lichtgetinte huidskleur|raket
	🧑🏽‍🚀;astronaut: getinte huidskleur;astronaut|astronaut: getinte huidskleur|getinte huidskleur|raket
	🧑🏾‍🚀;astronaut: donkergetinte huidskleur;astronaut|astronaut: donkergetinte huidskleur|donkergetinte huidskleur|raket
	🧑🏿‍🚀;astronaut: donkere huidskleur;astronaut|astronaut: donkere huidskleur|donkere huidskleur|raket
👨‍🚀;mannelijke astronaut;astronaut|man|mannelijke astronaut|raket
	👨🏻‍🚀;mannelijke astronaut: lichte huidskleur;astronaut|lichte huidskleur|man|mannelijke astronaut|mannelijke astronaut: lichte huidskleur|raket
	👨🏼‍🚀;mannelijke astronaut: lichtgetinte huidskleur;astronaut|lichtgetinte huidskleur|man|mannelijke astronaut|mannelijke astronaut: lichtgetinte huidskleur|raket
	👨🏽‍🚀;mannelijke astronaut: getinte huidskleur;astronaut|getinte huidskleur|man|mannelijke astronaut|mannelijke astronaut: getinte huidskleur|raket
	👨🏾‍🚀;mannelijke astronaut: donkergetinte huidskleur;astronaut|donkergetinte huidskleur|man|mannelijke astronaut|mannelijke astronaut: donkergetinte huidskleur|raket
	👨🏿‍🚀;mannelijke astronaut: donkere huidskleur;astronaut|donkere huidskleur|man|mannelijke astronaut|mannelijke astronaut: donkere huidskleur|raket
👩‍🚀;astronaute;astronaute|raket|vrouw
	👩🏻‍🚀;astronaute: lichte huidskleur;astronaute|astronaute: lichte huidskleur|lichte huidskleur|raket|vrouw
	👩🏼‍🚀;astronaute: lichtgetinte huidskleur;astronaute|astronaute: lichtgetinte huidskleur|lichtgetinte huidskleur|raket|vrouw
	👩🏽‍🚀;astronaute: getinte huidskleur;astronaute|astronaute: getinte huidskleur|getinte huidskleur|raket|vrouw
	👩🏾‍🚀;astronaute: donkergetinte huidskleur;astronaute|astronaute: donkergetinte huidskleur|donkergetinte huidskleur|raket|vrouw
	👩🏿‍🚀;astronaute: donkere huidskleur;astronaute|astronaute: donkere huidskleur|donkere huidskleur|raket|vrouw
🧑‍🚒;brandweerman;brandweerman|brandweerwagen
	🧑🏻‍🚒;brandweerman: lichte huidskleur;brandweerman|brandweerman: lichte huidskleur|brandweerwagen|lichte huidskleur
	🧑🏼‍🚒;brandweerman: lichtgetinte huidskleur;brandweerman|brandweerman: lichtgetinte huidskleur|brandweerwagen|lichtgetinte huidskleur
	🧑🏽‍🚒;brandweerman: getinte huidskleur;brandweerman|brandweerman: getinte huidskleur|brandweerwagen|getinte huidskleur
	🧑🏾‍🚒;brandweerman: donkergetinte huidskleur;brandweerman|brandweerman: donkergetinte huidskleur|brandweerwagen|donkergetinte huidskleur
	🧑🏿‍🚒;brandweerman: donkere huidskleur;brandweerman|brandweerman: donkere huidskleur|brandweerwagen|donkere huidskleur
👨‍🚒;mannelijke brandweerman;brandweerman|brandweerwagen|man|mannelijke brandweerman
	👨🏻‍🚒;mannelijke brandweerman: lichte huidskleur;brandweerman|brandweerwagen|lichte huidskleur|man|mannelijke brandweerman|mannelijke brandweerman: lichte huidskleur
	👨🏼‍🚒;mannelijke brandweerman: lichtgetinte huidskleur;brandweerman|brandweerwagen|lichtgetinte huidskleur|man|mannelijke brandweerman|mannelijke brandweerman: lichtgetinte huidskleur
	👨🏽‍🚒;mannelijke brandweerman: getinte huidskleur;brandweerman|brandweerwagen|getinte huidskleur|man|mannelijke brandweerman|mannelijke brandweerman: getinte huidskleur
	👨🏾‍🚒;mannelijke brandweerman: donkergetinte huidskleur;brandweerman|brandweerwagen|donkergetinte huidskleur|man|mannelijke brandweerman|mannelijke brandweerman: donkergetinte huidskleur
	👨🏿‍🚒;mannelijke brandweerman: donkere huidskleur;brandweerman|brandweerwagen|donkere huidskleur|man|mannelijke brandweerman|mannelijke brandweerman: donkere huidskleur
👩‍🚒;brandweervrouw;brandweervrouw|brandweerwagen|vrouw
	👩🏻‍🚒;brandweervrouw: lichte huidskleur;brandweervrouw|brandweervrouw: lichte huidskleur|brandweerwagen|lichte huidskleur|vrouw
	👩🏼‍🚒;brandweervrouw: lichtgetinte huidskleur;brandweervrouw|brandweervrouw: lichtgetinte huidskleur|brandweerwagen|lichtgetinte huidskleur|vrouw
	👩🏽‍🚒;brandweervrouw: getinte huidskleur;brandweervrouw|brandweervrouw: getinte huidskleur|brandweerwagen|getinte huidskleur|vrouw
	👩🏾‍🚒;brandweervrouw: donkergetinte huidskleur;brandweervrouw|brandweervrouw: donkergetinte huidskleur|brandweerwagen|donkergetinte huidskleur|vrouw
	👩🏿‍🚒;brandweervrouw: donkere huidskleur;brandweervrouw|brandweervrouw: donkere huidskleur|brandweerwagen|donkere huidskleur|vrouw
